阿和,a'he
巨鲸兽,ju'jing'shou
巨岩兽,ju'yan'shou
矩阵进化,ju'zhen'jin'hua
卡玛拉兽,ka'ma'la'shou
卡片抽换,ka'pian'chou'huan
铠甲加鲁鲁,kai'jia'jia'lu'lu
铠甲加鲁鲁兽,kai'jia'jia'lu'lu'shou
铠龙兽,kai'long'shou
凯撒暴龙兽,kai'sa'bao'long'shou
凯撒狮子兽,kai'sa'shi'zi'shou
科学飞龙兽,ke'xue'fei'long'shou
孔雀兽,kong'que'shou
矿石兽,kuang'shi'shou
拉比兽,la'bi'shou
拉拉兽,la'la'shou
拉娜兽,la'na'shou
蓝卡,lan'ka
雷光兽,lei'guang'shou
雷龙兽,lei'long'shou
冷冻坚冰,leng'dong'jian'bing
李建良,li'jian'liang
粒粒兽,li'li'shou
力神比多兽,li'shen'bi'duo'shou
李小春,li'xiao'chun
烈焰蝴蝶兽,lie'yan'hu'die'shou
烈焰兽,lie'yan'shou
灵猴兽,ling'hou'shou
灵牛兽,ling'niu'shou
溜冰兽,liu'bing'shou
留姬,liu'ji
绿叶兽,lv'ye'shou
玛格纳加鲁鲁兽,ma'ge'na'jia'lu'lu'shou
马赫加奥加兽,ma'he'jia'ao'jia'shou
麻鹰兽,ma'ying'shou
蛮牛兽,man'niu'shou
猫猫兽,mao'mao'shou
猫头鹰兽,mao'tou'ying'shou
玫瑰兽,mei'gui'shou
美美,mei'mei
蜜蜂兽,mi'feng'shou
麋鹿兽,mi'lu'shou
绵羊兽,mian'yang'shou
明石激,ming'shi'ji
命运之石,ming'yun'zhi'shi
魔弹兽,mo'dan'shou
莫慢待,mo'man'dai
木村辉一,mu'cun'hui'yi
木乃伊兽,mu'nai'yi'shou
木偶兽,mu'ou'shou
牧野留姬,mu'ye'liu'ji
娜娜兽,na'na'shou
南瓜兽,nan'gua'shou
尼菲迪兽,ni'fei'di'shou
年糕兽,nian'gao'shou
女恶魔兽,nv'e'mo'shou
女战神兽,nv'zhan'shen'shou
泡沫兽,pao'mo'shou
裴欧沃夫兽,pei'ou'wo'fu'shou
普尼兽,pu'ni'shou
气球鼠兽,qi'qiu'shu'shou
启人,qi'ren
启示录兽,qi'shi'lu'shou
潜鲨兽,qian'sha'shou
蔷薇兽,qiang'wei'shou
青龙兽,qing'long'shou
秋山辽,qiu'shan'liao
泉光子郎,quan'guang'zi'lang
犬神兽,quan'shen'shou
人马兽,ren'ma'shou
人面战鹰兽,ren'mian'zhan'ying'shou
忍者兽,ren'zhe'shou
软糖兽,ruan'tang'shou
撒多格杜兽,sa'duo'ge'du'shou
萨古牙兽,sa'gu'ya'shou
萨摩廉太郎,sa'mo'lian'tai'lang
塞拉菲兽,sai'la'fei'shou
丧尸暴龙兽,sang'shi'bao'long'shou
沙古牙兽,sha'gu'ya'shou
莎古牙兽,sha'gu'ya'shou
闪光暴龙兽,shan'guang'bao'long'shou
山猫兽,shan'mao'shou
山木,shan'mu
山木室长,shan'mu'shi'zhang
山羊兽,shan'yang'shou
射手兽,she'shou'shou
神圣天女兽,shen'sheng'tian'nv'shou
神圣天使兽,shen'sheng'tian'shi'shou
神源拓也,shen'yuan'tuo'ye
圣加鲁哥兽,sheng'jia'lu'ge'shou
圣龙兽,sheng'long'shou
圣树兽,sheng'shu'shou
十数兽,shi'shu'shou
石田大和,shi'tian'da'he
狮子兽,shi'zi'shou
兽人加鲁鲁,shou'ren'jia'lu'lu
守卫兽,shou'wei'shou
树莉,shu'li
数码宝贝,shu'ma'bao'bei
数码暴龙,shu'ma'bao'long
数码暴龙机,shu'ma'bao'long'ji
数码暴龙卡,shu'ma'bao'long'ka
数码大门,shu'ma'da'men
数码徽章,shu'ma'hui'zhang
数码密码,shu'ma'mi'ma
数码世界,shu'ma'shi'jie
数码之魂,shu'ma'zhi'hun
数码装甲,shu'ma'zhuang'jia
淑乃,shu'nai
树蛙兽,shu'wa'shou
水银兽,shui'yin'shou
松田启人,song'tian'qi'ren
搜索兽,sou'suo'shou
素娜,su'na
太刀川美美,tai'dao'chuan'mei'mei
太一,tai'yi
弹弹兽,tan'tan'shou
汤岛浩,tang'dao'hao
藤枝淑乃,teng'zhi'shu'nai
天鹅兽,tian'e'shou
天龙兽,tian'long'shou
天马兽,tian'ma'shou
天女兽,tian'nv'shou
天使兽,tian'shi'shou
铁鸡兽,tie'ji'shou
铁鹰兽,tie'ying'shou
土拔鼠兽,tu'ba'shu'shou
土人兽,tu'ren'shou
兔仔兽,tu'zai'shou
托马,tuo'ma
拓也,tuo'ye
完全体,wan'quan'ti
万圣兽,wan'sheng'shou
网络进化,wang'luo'jin'hua
维京毛人兽,wei'jing'mao'ren'shou
维京兽,wei'jing'shou
问答兽,wen'da'shou
乌龟兽,wu'gui'shou
悟空兽,wu'kong'shou
巫师兽,wu'shi'shou
乌贼兽,wu'zei'shou
武之内空,wu'zhi'nei'kong
武之内素娜,wu'zhi'nei'su'na
犀牛兽,xi'niu'shou
希望,xi'wang
吸血魔兽,xi'xue'mo'shou
仙女兽,xian'nv'shou
仙人掌兽,xian'ren'zhang'shou
向日葵兽,xiang'ri'kui'shou
小丑皇,xiao'chou'huang
小春,xiao'chun
小恶魔兽,xiao'e'mo'shou
小狗兽,xiao'gou'shou
小光,xiao'guang
小狐兽,xiao'hu'shou
小京,xiao'jing
小泉,xiao'quan
小贤,xiao'xian
小妖精兽,xiao'yao'jing'shou
小妖兽,xiao'yao'shou
邪恶斗士,xie'e'dou'shi
须佐之男兽,xu'zuo'zhi'nan'shou
玄内,xuan'nei
玄内老人,xuan'nei'lao'ren
玄武兽,xuan'wu'shou
雪球兽,xue'qiu'shou
雪人亚古兽,xue'ren'ya'gu'shou
亚古拉兽,ya'gu'la'shou
亚古兽,ya'gu'shou
亚基利兽,ya'ji'li'shou
炎龙兽,yan'long'shou
盐田博和,yan'tian'bo'he
妖狐兽,yao'hu'shou
妖精兽,yao'jing'shou
妖女兽,yao'nv'shou
妖巫兽,yao'wu'shou
夜叉兽,ye'cha'shou
野口郁人,ye'kou'yu'ren
野狼兽,ye'lang'shou
野生数码暴龙,ye'sheng'shu'ma'bao'long
也也兽,ye'ye'shou
野猪兽,ye'zhu'shou
一乘寺贤,yi'cheng'si'xian
异龙兽,yi'long'shou
翼龙兽,yi'long'shou
伊织,yi'zhi
银镜兽,yin'jing'shou
银狼兽,yin'lang'shou
勇气,yong'qi
幼虫兽,you'chong'shou
幼年期,you'nian'qi
友情,you'qing
友树,you'shu
御台场,yu'tai'chang
玉兔兽,yu'tu'shou
鱼仔兽,yu'zi'shou
源辉二,yuan'hui'er
跃升暴龙兽,yue'sheng'bao'long'shou
云迪兽,yun'di'shou
战斗暴龙兽,zhan'dou'bao'long'shou
战甲兽,zhan'jia'shou
战狼兽,zhan'lang'shou
战马兽,zhan'ma'shou
战术卡,zhan'shu'ka
真红莲形态,zhen'hong'lian'xing'tai
震震兽,zhen'zhen'shou
织本泉,zhi'ben'quan
芝高兽,zhi'gao'shou
芝蒙兽,zhi'meng'shou
知识,zhi'shi
种子兽,zhong'zi'shou
朱雀兽,zhu'que'shou
装甲进化,zhuang'jia'jin'hua
仔兽,zi'shou
祖顿兽,zu'dun'shou
