阿飞,a'fei
手鞠,shou'ju
手里剑,shou'li'jian
手里剑影分身,shou'li'jian'ying'fen'shen
鼠蛟,shu'jiao
树界降诞,shu'jie'jiang'dan
双蛇相杀,shuang'she'xiang'sha
水遁,shui'dun
水分身之术,shui'fen'shen'zhi'shu
水牢之术,shui'lao'zhi'shu
水龙弹之术,shui'long'tan'zhi'shu
水木,shui'mu
水阵壁,shui'zhen'bi
水之国,shui'zhi'guo
四代,si'dai
死魂之术,si'hun'zhi'shu
四脚之术,si'jiao'zhi'shu
死门,si'men
四紫炎阵,si'zi'yan'zhen
桃地再不斩,tao'di'zai'bu'zhan
替身术,ti'shen'shu
体术,ti'shu
天才忍者,tian'cai'ren'zhe
天天,tian'tian
田园之国,tian'yuan'zhi'guo
天照,tian'zhao
铁炮玉,tie'pao'yu
铁血凯,tie'xue'kai
通灵术,tong'ling'shu
通灵之术,tong'ling'zhi'shu
土遁,tu'dun
土流壁,tu'liu'bi
土之国,tu'zhi'guo
万花筒写轮眼,wan'hua'tong'xie'lun'yan
万蛇,wan'she
我爱罗,wo'ai'luo
五行封印,wu'xing'feng'yin
雾隐术,wu'yin'shu
夕日红,xi'ri'hong
霞从者之术,xia'cong'zhe'zhi'shu
下忍,xia'ren
小南,xiao'nan
写轮眼,xie'lun'yan
心转身之术,xin'zhuan'shen'zhi'shu
休门,xiu'men
漩涡鸣人,xuan'wo'ming'ren
旋涡齐奈,xuan'wo'qi'nai
玄武,xuan'wu
血继限界,xue'ji'xian'jie
压垮摊贩术,ya'kua'tan'fan'shu
牙通牙,ya'tong'ya
药师兜,yao'shi'dou
一代,yi'dai
一乐拉面,yi'le'la'mian
影分之身术,ying'fen'zhi'shen'shu
影缚颈之术,ying'fu'jing'zhi'shu
影子模仿术,ying'zi'mo'fang'shu
鼬,you
右近,you'jin
油女志乃,you'nv'zhi'nai
雨露千针,yu'lu'qian'zhen
玉女,yu'nv
雨忍,yu'ren
御手洗红豆,yu'shou'xi'hong'dou
宇智波鼬,yu'zhi'bo'you
宇智波佐助,yu'zhi'bo'zuo'zhu
猿飞,yuan'fei
猿飞阿斯玛,yuan'fei'a'si'ma
月读,yue'du
月光疾风,yue'guang'ji'feng
斩空波,zhan'kong'bo
斩空极波,zhan'kong'ji'bo
针地藏,zhen'di'zang
蜘蛛缚,zhi'zhu'fu
中忍,zhong'ren
咒印,zhou'yin
朱雀,zhu'que
追牙之术,zhui'ya'zhi'shu
自来也,zi'lai'ye
自杀斩首之术,zi'sha'zhan'shou'zhi'shu
左近,zuo'jin
