阿拉伯式柱头,a'la'bo'shi'zhu'tou
城市经济,cheng'shi'jing'ji
城市勘察,cheng'shi'kan'cha
城市绿地,cheng'shi'lv'di
城市绿化覆盖率,cheng'shi'lv'hua'fu'gai'lv
城市美学,cheng'shi'mei'xue
城市排水,cheng'shi'pai'shui
城市排水系统,cheng'shi'pai'shui'xi'tong
城市人口规模,cheng'shi'ren'kou'gui'mo
城市人口流动,cheng'shi'ren'kou'liu'dong
城市社会学,cheng'shi'she'hui'xue
城市生态系统,cheng'shi'sheng'tai'xi'tong
城市史,cheng'shi'shi
城市通信系统,cheng'shi'tong'xin'xi'tong
城市问题,cheng'shi'wen'ti
城市吸引力,cheng'shi'xi'yin'li
城市形式,cheng'shi'xing'shi
城市形体环境,cheng'shi'xing'ti'huan'jing
城市形象,cheng'shi'xing'xiang
城市选址,cheng'shi'xuan'zhi
城市用地,cheng'shi'yong'di
城市用电负荷,cheng'shi'yong'dian'fu'he
城市职能,cheng'shi'zhi'neng
城市总体规划,cheng'shi'zong'ti'gui'hua
城市组团,cheng'shi'zu'tuan
城镇体系规划,cheng'zhen'ti'xi'gui'hua
迟到席,chi'dao'xi
齿轮厂,chi'lun'chang
池座前排,chi'zuo'qian'pai
充电站,chong'dian'zhan
重复,chong'fu
虫胶,chong'jiao
重檐,chong'yan
储藏室,chu'cang'shi
橱窗,chu'chuang
厨房排烟机,chu'fang'pai'yan'ji
出口加工区,chu'kou'jia'gong'qu
畜力剪草机,chu'li'jian'cao'ji
出纳处,chu'na'chu
出生率,chu'sheng'lv
出行分布,chu'xing'fen'bu
出行生成,chu'xing'sheng'cheng
厨园,chu'yuan
出租汽车,chu'zu'qi'che
传递窗,chuan'di'chuang
传热,chuan're
传统园林建筑,chuan'tong'yuan'lin'jian'zhu
传质,chuan'zhi
窗,chuang
窗玻璃,chuang'bo'li
窗插销,chuang'cha'xiao
窗撑头,chuang'cheng'tou
窗扇,chuang'shan
床上用品店,chuang'shang'yong'pin'dian
窗台绿化,chuang'tai'lv'hua
窗园,chuang'yuan
垂带,chui'dai
垂台钩栏,chui'tai'gou'lan
垂直绿化,chui'zhi'lv'hua
垂枝盆景,chui'zhi'pen'jing
垂直遮阳,chui'zhi'zhe'yang
纯林,chun'lin
纯音,chun'yin
祠,ci
次干路,ci'gan'lu
磁砖壁画,ci'zhuan'bi'hua
葱花券,cong'hua'quan
丛植,cong'zhi
粗野主义,cu'ye'zhu'yi
攒,cuan
错铺路,cuo'pu'lu
大城市连绵区,da'cheng'shi'lian'mian'qu
打底,da'di
大斗,da'dou
大街坊,da'jie'fang
大空间布局,da'kong'jian'bu'ju
大理石,da'li'shi
大理石厂,da'li'shi'chang
大面,da'mian
大木作,da'mu'zuo
大式,da'shi
大树移植,da'shu'yi'zhi
大学建筑,da'xue'jian'zhu
带植,dai'zhi
单步梁,dan'bu'liang
单材拱,dan'cai'gong
单风道系统,dan'feng'dao'xi'tong
单管系统,dan'guan'xi'tong
单色谐调,dan'se'xie'tiao
单一材料,dan'yi'cai'liao
档案室,dang'an'shi
挡板,dang'ban
档板式遮阳,dang'ban'shi'zhe'yang
倒槽式拱,dao'cao'shi'gong
导轨,dao'gui
道路面积密度,dao'lu'mian'ji'mi'du
道路容量,dao'lu'rong'liang
道路设计,dao'lu'she'ji
道路网,dao'lu'wang
导温系数,dao'wen'xi'shu
导线穿管敷设,dao'xian'chuan'guan'fu'she
倒影池,dao'ying'chi
导游图,dao'you'tu
岛状冻土,dao'zhuang'dong'tu
灯光渡桥,deng'guang'du'qiao
灯光控制室,deng'guang'kong'zhi'shi
登机口,deng'ji'kou
灯具亮度限制曲线,deng'ju'liang'du'xian'zhi'qu'xian
等效连续声级,deng'xiao'lian'a'sheng'ji
等效吸声面积,deng'xiao'xi'sheng'mian'ji
等照度曲线,deng'zhao'du'qu'xian
灯柱,deng'zhu
堤岸种植,di'an'zhong'zhi
第二产业,di'er'chan'ye
地方性气候,di'fang'xing'qi'hou
滴灌,di'guan
地基,di'ji
地窖,di'jiao
地理景观,di'li'jing'guan
地沥青,di'li'qing
地垄墙,di'long'qiang
地面升起,di'mian'sheng'qi
地坪,di'ping
地热能源,di're'neng'yuan
滴水,di'shui
滴水兽,di'shui'shou
地弹簧,di'tan'huang
帝王宫苑,di'wang'gong'yuan
地下仓库,di'xia'cang'ku
地下建筑,di'xia'jian'zhu
地下街,di'xia'jie
地下冷库,di'xia'leng'ku
地下商场,di'xia'shang'chang
地下室,di'xia'shi
地下试验室,di'xia'shi'yan'shi
地下铁道,di'xia'tie'dao
地下通道,di'xia'tong'dao
地下珍宝馆,di'xia'zhen'bao'guan
低压电器设备,di'ya'dian'qi'she'bei
低压钠灯,di'ya'na'deng
地役权,di'yi'quan
电除尘器,dian'chu'chen'qi
电磁场控制自动门,dian'ci'chang'kong'zhi'zi'dong'men
电动吊杆,dian'dong'diao'gan
电动走道,dian'dong'zou'dao
电话设备,dian'hua'she'bei
电机厂,dian'ji'chang
电解厂,dian'jie'chang
电解车间,dian'jie'che'jian
电力配电箱,dian'li'pei'dian'xiang
电瓶车库,dian'ping'che'ku
电气竖井,dian'qi'shu'jing
电热风炉,dian're'feng'lu
电声设备,dian'sheng'she'bei
电视塔,dian'shi'ta
点式住宅,dian'shi'zhu'zhai
电视转播室,dian'shi'zhuan'bo'shi
电梯式公寓,dian'ti'shi'gong'yu
电线管,dian'xian'guan
电信楼,dian'xin'lou
电压表,dian'ya'biao
点状绿地,dian'zhuang'lv'di
电子计算机房,dian'zi'ji'suan'ji'fang
电子吸声器,dian'zi'xi'sheng'qi
吊灯,diao'deng
吊顶,diao'ding
吊顶龙骨,diao'ding'long'gu
调光器,diao'guang'qi
吊环,diao'huan
雕塑公园,diao'su'gong'yuan
叠石,die'shi
顶层,ding'ceng
顶椽,ding'chuan
丁顺隔皮砌式,ding'shun'ge'pi'qi'shi
动力吸振器,dong'li'xi'zhen'qi
动力站,dong'li'zhan
动态漫游,dong'tai'man'you
冬园,dong'yuan
斗,dou
斗口,dou'kou
斗牛场,dou'niu'chang
都城,du'cheng
独户住宅,du'hu'zhu'zhai
犊牛舍,du'niu'she
锻造车间,duan'zao'che'jian
对比色突出,dui'bi'se'tu'chu
堆场,dui'chang
对称配光型灯具,dui'chen'pei'guang'xing'deng'ju
对景,dui'jing
对流,dui'liu
对流环路,dui'liu'huan'lu
对外交通用地,dui'wai'jiao'tong'yong'di
对植,dui'zhi
对重,dui'zhong
多层建筑,duo'ceng'jian'zhu
多功能厅,duo'gong'neng'ting
多核心理论,duo'he'xin'li'lun
多孔吸声材料,duo'kong'xi'sheng'cai'liao
多立克柱式,duo'li'ke'zhu'shi
多区域系统,duo'qu'yu'xi'tong
掇山五法,duo'shan'wu'fa
多用途观众厅,duo'yong'tu'guan'zhong'ting
多元性,duo'yuan'xing
额枋,e'fang
二次污染,er'ci'wu'ran
儿科医院,er'ke'yi'yuan
儿童公园,er'tong'gong'yuan
儿童活动区,er'tong'huo'dong'qu
二维制图系统,er'wei'zhi'tu'xi'tong
二氧化碳灭火器,er'yang'hua'tan'mie'huo'qi
法庭,fa'ting
法向入射吸声系数,fa'xiang'ru'she'xi'sheng'xi'shu
反差,fan'cha
帆拱,fan'gong
泛光照明,fan'guang'zhao'ming
反馈系统,fan'kui'xi'tong
反射,fan'she
泛水,fan'shui
繁殖温室,fan'zhi'wen'shi
房,fang
枋,fang
方案估算,fang'an'gu'suan
方案设计,fang'an'she'ji
防爆装甲门,fang'bao'zhuang'jia'men
防潮层,fang'chao'ceng
房地产业,fang'di'chan'ye
防辐射设计,fang'fu'she'she'ji
防核尘地下室,fang'he'chen'di'xia'shi
防洪工程,fang'hong'gong'cheng
防滑条,fang'hua'tiao
防火间距,fang'huo'jian'ju
防火门,fang'huo'men
防火幕,fang'huo'mu
防火墙,fang'huo'qiang
防火设计,fang'huo'she'ji
方尖碑,fang'jian'bei
房间常数,fang'jian'chang'shu
方穹顶,fang'qiong'ding
房山石,fang'shan'shi
放射部,fang'she'bu
放射路,fang'she'lu
放射形道路系统,fang'she'xing'dao'lu'xi'tong
防渗墙,fang'shen'qiang
防水材料,fang'shui'cai'liao
防水层,fang'shui'ceng
防水砂浆,fang'shui'sha'jiang
枋头,fang'tou
防卫性空间,fang'wei'xing'kong'jian
方向照明,fang'xiang'zhao'ming
枋心,fang'xin
防锈漆,fang'xiu'qi
防烟挡板,fang'yan'dang'ban
防疫站,fang'yi'zhan
防音绿地,fang'yin'lv'di
放映室,fang'ying'shi
防振设计,fang'zhen'she'ji
非承重墙,fei'cheng'zhong'qiang
非规整园林,fei'gui'zheng'yuan'lin
非农业人口,fei'nong'ye'ren'kou
非燃烧体,fei'ran'shao'ti
废声,fei'sheng
沸石,fei'shi
肥效分析器,fei'xiao'fen'xi'qi
飞檐椽,fei'yan'chuan
费用效益,fei'yong'xiao'yi
非游览区,fei'you'lan'qu
分贝,fen'bei
粪便污水,fen'bian'wu'shui
分车带绿化,fen'che'dai'lv'hua
粉红噪声,fen'hong'zao'sheng
分流制排水系统,fen'liu'zhi'pai'shui'xi'tong
粉煤灰砖,fen'mei'hui'zhuan
分区规划,fen'qu'gui'hua
分区一般照明,fen'qu'yi'ban'zhao'ming
分体式空调器,fen'ti'shi'kong'tiao'qi
封闭楼梯间,feng'bi'lou'ti'jian
枫丹白露宫园,feng'dan'bai'lu'gong'yuan
风管,feng'guan
风机盘管空调系统,feng'ji'pan'guan'kong'tiao'xi'tong
风景林,feng'jing'lin
风景名胜,feng'jing'ming'sheng
风景设计,feng'jing'she'ji
风景学,feng'jing'xue
丰满度,feng'man'du
风玫瑰图,feng'mei'gui'tu
风水学,feng'shui'xue
风味餐厅,feng'wei'can'ting
风向针,feng'xiang'zhen
峰值因数,feng'zhi'yin'shu
袱,fu
扶壁,fu'bi
附壁石,fu'bi'shi
腹地,fu'di
覆盖物分散机,fu'gai'wu'fen'san'ji
复古主义,fu'gu'zhu'yi
复合墙,fu'he'qiang
副景,fu'jing
妇科医院,fu'ke'yi'yuan
副热带气候,fu're'dai'qi'hou
辐射采暖系统,fu'she'cai'nuan'xi'tong
辐射对称,fu'she'dui'chen
辐射阻抗,fu'she'zu'kang
副食店,fu'shi'dian
复式吊杆,fu'shi'diao'gan
俯视景观,fu'shi'jing'guan
扶手,fu'shou
附属绿地,fu'shu'lv'di
覆土建筑,fu'tu'jian'zhu
服务半径,fu'wu'ban'jing
服务电梯,fu'wu'dian'ti
服务区,fu'wu'qu
服务中心,fu'wu'zhong'xin
复印室,fu'yin'shi
副中心,fu'zhong'xin
副轴,fu'zhou
服装厂,fu'zhuang'chang
服装店,fu'zhuang'dian
盖土机,gai'tu'ji
盖瓦,gai'wa
改性沥青,gai'xing'li'qing
干粉灭火器,gan'fen'mie'huo'qi
干砌石,gan'qi'shi
干热气候,gan're'qi'hou
干涉,gan'she
感烟火灾探测器,gan'yan'huo'zai'tan'ce'qi
钢板网抹灰吊顶,gang'ban'wang'mo'hui'diao'ding
钢抹压光,gang'mo'ya'guang
钢铁厂,gang'tie'chang
刚性防水屋面,gang'xing'fang'shui'wu'mian
高层办公楼,gao'ceng'ban'gong'lou
高度限制,gao'du'xian'zhi
高尔夫球场,gao'er'fu'qiu'chang
高分子材料,gao'fen'zi'cai'liao
高技术产业开发区,gao'ji'shu'chan'ye'kai'fa'qu
高篱,gao'li
高山草甸风景区,gao'shan'cao'dian'feng'jing'qu
高山植物,gao'shan'zhi'wu
高山植物园,gao'shan'zhi'wu'yuan
高设花台,gao'she'hua'tai
高水位池塘,gao'shui'wei'chi'tang
高水箱,gao'shui'xiang
高压供电系统,gao'ya'gong'dian'xi'tong
高压开关设备,gao'ya'kai'guan'she'bei
隔断,ge'duan
歌剧院,ge'ju'yuan
隔离病房,ge'li'bing'fang
隔离室,ge'li'shi
格片,ge'pian
隔热层,ge're'ceng
隔声层,ge'sheng'ceng
隔声量,ge'sheng'liang
隔声门,ge'sheng'men
隔声幕,ge'sheng'mu
隔声罩,ge'sheng'zhao
哥特式建筑,ge'te'shi'jian'zhu
格形管,ge'xing'guan
艮岳,gen'yue
更换费用,geng'huan'fei'yong
宫,gong
拱,gong
工程管线,gong'cheng'guan'xian
工程决算,gong'cheng'jue'suan
工程量表,gong'cheng'liang'biao
工程验收,gong'cheng'yan'shou
工程预算,gong'cheng'yu'suan
拱顶,gong'ding
公共活动室,gong'gong'huo'dong'shi
公共绿地,gong'gong'lv'di
公共绿地指标,gong'gong'lv'di'zhi'biao
公害,gong'hai
拱廊,gong'lang
公路,gong'lu
公路绿化,gong'lu'lv'hua
功率因数补偿,gong'lv'yin'shu'bu'chang
功能分析,gong'neng'fen'xi
功能空间一览表,gong'neng'kong'jian'yi'lan'biao
拱桥,gong'qiao
共生,gong'sheng
拱石,gong'shi
供水干管,gong'shui'gan'guan
工业建筑,gong'ye'jian'zhu
工业区,gong'ye'qu
工业区规划,gong'ye'qu'gui'hua
工业用地,gong'ye'yong'di
工业用水,gong'ye'yong'shui
工艺美术厂,gong'yi'mei'shu'chang
工艺美术品店,gong'yi'mei'shu'pin'dian
公寓式住宅,gong'yu'shi'zhu'zhai
公园道路,gong'yuan'dao'lu
公园类型,gong'yuan'lei'xing
公园形式,gong'yuan'xing'shi
共振吸收,gong'zhen'xi'shou
工作面,gong'zuo'mian
工作台,gong'zuo'tai
构成主义,gou'cheng'zhu'yi
钩栏,gou'lan
古埃及建筑,gu'ai'ji'jian'zhu
古典建筑,gu'dian'jian'zhu
固定百页窗,gu'ding'bai'ye'chuang
固定窗,gu'ding'chuang
固定设备,gu'ding'she'bei
固定座位,gu'ding'zuo'wei
估价师,gu'jia'shi
鼓楼,gu'lou
孤赏石,gu'shang'shi
固体废弃物污染,gu'ti'fei'qi'wu'wu'ran
固体声,gu'ti'sheng
箍头,gu'tou
古希腊建筑,gu'xi'la'jian'zhu
鼓座,gu'zuo
瓜拱,gua'gong
挂镜线,gua'jing'xian
挂瓦条,gua'wa'tiao
观察窗,guan'cha'chuang
管道消声,guan'dao'xiao'sheng
管道炸裂,guan'dao'zha'lie
管端喷灌器,guan'duan'pen'guan'qi
观果植物,guan'guo'zhi'wu
管理费用,guan'li'fei'yong
灌木花境,guan'mu'hua'jing
灌木花坛,guan'mu'hua'tan
观赏昆虫类,guan'shang'kun'chong'lei
观赏鸟类,guan'shang'niao'lei
观赏树木,guan'shang'shu'mu
观赏园艺学,guan'shang'yuan'yi'xue
观赏植物区,guan'shang'zhi'wu'qu
关厢,guan'xiang
观众厅,guan'zhong'ting
广播楼,guang'bo'lou
广场用地,guang'chang'yong'di
光电池,guang'dian'chi
光电感烟探测器,guang'dian'gan'yan'tan'ce'qi
广角型灯具,guang'jiao'xing'deng'ju
光学试验室,guang'xue'shi'yan'shi
光影,guang'ying
光照气候系数,guang'zhao'qi'hou'xi'shu
圭角,gui'jue
规整式道路系统,gui'zheng'shi'dao'lu'xi'tong
滚涂,gun'tu
国际会议大厦,guo'ji'hui'yi'da'sha
国际建筑师协会,guo'ji'jian'zhu'shi'xie'hui
国际自然及自然资源保护联合会,guo'ji'zi'ran'ji'zi'ran'zi'yuan'bao'hu'lian'he'hui
过梁,guo'liang
锅炉厂,guo'lu'chang
锅炉间,guo'lu'jian
果市,guo'shi
国树,guo'shu
哈斯效应,ha'si'xiao'ying
海滨风景区,hai'bin'feng'jing'qu
海滨公园,hai'bin'gong'yuan
海墁天花,hai'man'tian'hua
海洋性气候,hai'yang'xing'qi'hou
颔版,han'ban
含肥泥炭盆,han'fei'ni'tan'pen
焊接车间,han'jie'che'jian
夯土墙,hang'tu'qiang
河滨公园,he'bin'gong'yuan
合成树脂溶液系涂料,he'cheng'shu'zhi'rong'ye'xi'tu'liao
合成橡胶系胶结剂,he'cheng'xiang'jiao'xi'jiao'jie'ji
合流制,he'liu'zhi
和玺彩画,he'xi'cai'hua
横槛,heng'kan
恒温器,heng'wen'qi
红丹漆,hong'dan'qi
候机楼,hou'ji'lou
候机厅,hou'ji'ting
厚漆,hou'qi
后庭,hou'ting
后现代主义,hou'xian'dai'zhu'yi
候诊室,hou'zhen'shi
后缀装土机,hou'zhui'zhuang'tu'ji
湖,hu
护耳器,hu'er'qi
华版,hua'ban
华表,hua'biao
滑冰场,hua'bing'chang
花店,hua'dian
画舫,hua'fang
化粪池,hua'fen'chi
花岗石面层,hua'gang'shi'mian'ceng
花岗石墙面,hua'gang'shi'qiang'mian
花格架,hua'ge'jia
华拱,hua'gong
花架椽,hua'jia'chuan
画廊,hua'lang
花篱,hua'li
花色窗棂,hua'se'chuang'ling
花坛分界隔板,hua'tan'fen'jie'ge'ban
花桶,hua'tong
花纹路,hua'wen'lu
化验室,hua'yan'shi
滑轴窗,hua'zhou'chuang
化妆柜,hua'zhuang'gui
化妆室,hua'zhuang'shi
环境保护,huan'jing'bao'hu
环境分析,huan'jing'fen'xi
环境适宜性,huan'jing'shi'yi'xing
环境心理学,huan'jing'xin'li'xue
环境压力,huan'jing'ya'li
环境艺术,huan'jing'yi'shu
环境影响评价,huan'jing'ying'xiang'ping'jia
环境噪声,huan'jing'zao'sheng
环境质量指数,huan'jing'zhi'liang'zhi'shu
换盆机,huan'pen'ji
环形道路系统,huan'xing'dao'lu'xi'tong
环行交叉,huan'xing'jiao'cha
环氧树脂系胶结剂,huan'yang'shu'zhi'xi'jiao'jie'ji
环状管网,huan'zhuang'guan'wang
环状绿型,huan'zhuang'lv'xing
黄金分割,huang'jin'fen'ge
黄石,huang'shi
回风管道,hui'feng'guan'dao
回水温度,hui'shui'wen'du
会堂,hui'tang
灰土地面,hui'tu'di'mian
会议室,hui'yi'shi
混合材料,hun'he'cai'liao
混合阀,hun'he'fa
混凝土,hun'ning'tu
混凝土地面,hun'ning'tu'di'mian
混响室,hun'xiang'shi
混响时间,hun'xiang'shi'jian
火车站,huo'che'zhan
活动房屋,huo'dong'fang'wu
活动花坛,huo'dong'hua'tan
活动空间,huo'dong'kong'jian
活动舞台,huo'dong'wu'tai
货架,huo'jia
活塞式冷水机,huo'sai'shi'leng'shui'ji
活树亭,huo'shu'ting
火灾分类,huo'zai'fen'lei
火灾自动报警系统,huo'zai'zi'dong'bao'jing'xi'tong
基本人口,ji'ben'ren'kou
机车车辆厂,ji'che'che'liang'chang
基础产业,ji'chu'chan'ye
机动车道,ji'dong'che'dao
机房,ji'fang
积分球,ji'fen'qiu
季风,ji'feng
脊瓜柱,ji'gua'zhu
集会广场,ji'hui'guang'chang
击剑场地,ji'jian'chang'di
集聚,ji'ju
集料,ji'liao
纪念碑,ji'nian'bei
纪念林,ji'nian'lin
纪念堂,ji'nian'tang
基频,ji'pin
鸡舍,ji'she
技术经济论证,ji'shu'jing'ji'lun'zheng
技术设计,ji'shu'she'ji
集水管,ji'shui'guan
计算机辅助建筑设计,ji'suan'ji'fu'zhu'jian'zhu'she'ji
计算机管理系统,ji'suan'ji'guan'li'xi'tong
机械系统,ji'xie'xi'tong
机修车间,ji'xiu'che'jian
急诊部,ji'zhen'bu
集中报警器,ji'zhong'bao'jing'qi
集中供热,ji'zhong'gong're
夹层,jia'ceng
夹景,jia'jing
家俱,jia'ju
假山,jia'shan
加湿器,jia'shi'qi
假台口,jia'tai'kou
加油站,jia'you'zhan
假植,jia'zhi
剪草机,jian'cao'ji
检查井,jian'cha'jing
检查室,jian'cha'shi
剪刀式楼梯,jian'dao'shi'lou'ti
鉴定室,jian'ding'shi
间接采暖,jian'jie'cai'nuan
间接加热热水供应系统,jian'jie'jia're're'shui'gong'ying'xi'tong
间接照明,jian'jie'zhao'ming
尖券,jian'quan
建设场址,jian'she'chang'zhi
建设项目,jian'she'xiang'mu
建设用地规划许可证,jian'she'yong'di'gui'hua'xu'ke'zheng
健身房,jian'shen'fang
监听室,jian'ting'shi
检修孔,jian'xiu'kong
减压阀,jian'ya'fa
监狱,jian'yu
建筑安全,jian'zhu'an'quan
建筑壁画,jian'zhu'bi'hua
建筑病理,jian'zhu'bing'li
建筑材料,jian'zhu'cai'liao
建筑材料厂,jian'zhu'cai'liao'chang
建筑策划,jian'zhu'ce'hua
建筑创作,jian'zhu'chuang'zuo
建筑法,jian'zhu'fa
建筑防火,jian'zhu'fang'huo
建筑风格,jian'zhu'feng'ge
建筑隔热,jian'zhu'ge're
建筑工程,jian'zhu'gong'cheng
建筑功能,jian'zhu'gong'neng
建筑供暖系统,jian'zhu'gong'nuan'xi'tong
建筑工业化,jian'zhu'gong'ye'hua
建筑构造,jian'zhu'gou'zao
建筑管理,jian'zhu'guan'li
建筑光学,jian'zhu'guang'xue
建筑环境模型,jian'zhu'huan'jing'mo'xing
建筑间距,jian'zhu'jian'ju
建筑节能,jian'zhu'jie'neng
建筑经济寿命,jian'zhu'jing'ji'shou'ming
建筑经济学,jian'zhu'jing'ji'xue
建筑勘探,jian'zhu'kan'tan
建筑立法,jian'zhu'li'fa
建筑模数,jian'zhu'mo'shu
建筑内部得热,jian'zhu'nei'bu'de're
建筑评价,jian'zhu'ping'jia
建筑平面图,jian'zhu'ping'mian'tu
建筑剖面图,jian'zhu'pou'mian'tu
建筑气候学,jian'zhu'qi'hou'xue
建筑缺陷,jian'zhu'que'xian
建筑设备,jian'zhu'she'bei
建筑设计院,jian'zhu'she'ji'yuan
建筑设施,jian'zhu'she'shi
建筑生物气候图,jian'zhu'sheng'wu'qi'hou'tu
建筑声学,jian'zhu'sheng'xue
建筑师,jian'zhu'shi
建筑受潮,jian'zhu'shou'chao
建筑陶瓷厂,jian'zhu'tao'ci'chang
建筑条件,jian'zhu'tiao'jian
建筑维护,jian'zhu'wei'hu
建筑文脉,jian'zhu'wen'mai
建筑物设计,jian'zhu'wu'she'ji
建筑物体型系数,jian'zhu'wu'ti'xing'xi'shu
建筑细部,jian'zhu'xi'bu
建筑形态学,jian'zhu'xing'tai'xue
建筑学,jian'zhu'xue
建筑隐喻,jian'zhu'yin'yu
建筑造型,jian'zhu'zao'xing
建筑诊断,jian'zhu'zhen'duan
建筑制图,jian'zhu'zhi'tu
建筑专业词汇,jian'zhu'zhuan'ye'ci'hui
建筑装修,jian'zhu'zhuang'xiu
建筑综合症,jian'zhu'zong'he'zheng
建筑总面积,jian'zhu'zong'mian'ji
江河风景区,jiang'he'feng'jing'qu
讲台,jiang'tai
讲坛,jiang'tan
降噪系数,jiang'zao'xi'shu
