哀莫大于心死,ai'mo'da'yu'xin'si
城门失火殃及池鱼,cheng'men'shi'huo'yang'ji'chi'yu
成人不自在自在不成人,cheng'ren'bu'zi'zai'zi'zai'bu'cheng'ren
成事不足败事有余,cheng'shi'bu'zu'bai'shi'you'yu
乘兴而来败兴而去,cheng'xing'er'lai'bai'xing'er'qu
成也萧何败也萧何,cheng'ye'xiao'he'bai'ye'xiao'he
成则为王败则为寇,cheng'ze'wei'wang'bai'ze'wei'kou
吃力不讨好,chi'li'bu'tao'hao
吃软不吃硬,chi'ruan'bu'chi'ying
吃一堑长一智,chi'yi'qian'zhang'yi'zhi
尺有所短寸有所长,chi'you'suo'duan'cun'you'suo'chang
杵臼交,chu'jiu'jiao
初生牛犊不怕虎,chu'sheng'niu'du'bu'pa'hu
出师未捷身先死,chu'shi'wei'jie'shen'xian'si
出污泥而不染,chu'wu'ni'er'bu'ran
船到江心补漏迟,chuan'dao'jiang'xin'bu'lou'chi
船到桥门自会直,chuan'dao'qiao'men'zi'hui'zhi
船多不碍路,chuan'duo'bu'ai'lu
吹胡子瞪眼,chui'hu'zi'deng'yan
吹皱一池春水,chui'zhou'yi'chi'chun'shui
春秋无义战,chun'qiu'wu'yi'zhan
此处不留人自有留人处,ci'chu'bu'liu'ren'zi'you'liu'ren'chu
此地无银三百两,ci'di'wu'yin'san'bai'liang
此地无银三百两隔壁阿二不曾偷,ci'di'wu'yin'san'bai'liang'ge'bi'a'er'bu'ceng'tou
此一时彼一时,ci'yi'shi'bi'yi'shi
聪明一世糊涂一时,cong'ming'yi'shi'hu'tu'yi'shi
从善如登从恶如崩,cong'shan'ru'deng'cong'e'ru'beng
大旱望云霓,da'han'wang'yun'ni
打破沙锅问到底,da'po'sha'guo'wen'dao'di
大事不糊涂,da'shi'bu'hu'tu
单丝不成线,dan'si'bu'cheng'xian
当局者迷旁观者清,dang'ju'zhe'mi'pang'guan'zhe'qing
当面鼓对面锣,dang'mian'gu'dui'mian'luo
道不拾移夜不闭户,dao'bu'shi'yi'ye'bu'bi'hu
道不同不相谋,dao'bu'tong'bu'xiang'mou
道不同不相为谋,dao'bu'tong'bu'xiang'wei'mou
道高一尺魔高一丈,dao'gao'yi'chi'mo'gao'yi'zhang
道三不道两,dao'san'bu'dao'liang
得道多助失道寡助,de'dao'duo'zhu'shi'dao'gua'zhu
得饶人处且饶人,de'rao'ren'chu'qie'rao'ren
得人者昌失人者亡,de'ren'zhe'chang'shi'ren'zhe'wang
貂不足狍尾续,diao'bu'zu'pao'wei'xu
掉书袋,diao'shu'dai
丁是丁卯是卯,ding'shi'ding'mao'shi'mao
东道主,dong'dao'zhu
东风吹马耳,dong'feng'chui'ma'er
东风射马耳,dong'feng'she'ma'er
东风压倒西风,dong'feng'ya'dao'xi'feng
东西南北人,dong'xi'nan'bei'ren
独木不成林,du'mu'bu'cheng'lin
读书破万卷,du'shu'po'wan'juan
躲得和尚躲不得寺,duo'de'he'shang'duo'bu'de'si
多行不义必自毙,duo'xing'bu'yi'bi'zi'bi
多一事不如少一事,duo'yi'shi'bu'ru'shao'yi'shi
恶龙不斗地头蛇,e'long'bu'dou'di'tou'she
恶事传千里,e'shi'chuan'qian'li
恶事行千里,e'shi'xing'qian'li
饿死事小失节事大,e'si'shi'xiao'shi'jie'shi'da
恶作剧,e'zuo'ju
耳边风,er'bian'feng
二人同心其利断金,er'ren'tong'xin'qi'li'duan'jin
二桃杀三士,er'tao'sha'san'shi
耳闻不如目见,er'wen'bu'ru'mu'jian
反其道而行之,fan'qi'dao'er'xing'zhi
反其意而用之,fan'qi'yi'er'yong'zhi
凡事预则立不预则废,fan'shi'yu'ze'li'bu'yu'ze'fei
翻手为云覆手为雨,fan'shou'wei'yun'fu'shou'wei'yu
翻手为云覆手雨,fan'shou'wei'yun'fu'shou'yu
犯天下之大不韪,fan'tian'xia'zhi'da'bu'wei
防患于未然,fang'huan'yu'wei'ran
放下屠刀立地成佛,fang'xia'tu'dao'li'di'cheng'fo
放之四海而皆准,fang'zhi'si'hai'er'jie'zhun
非四字成语合集,fei'si'zi'cheng'yu'he'ji
非我族类其心必异,fei'wo'zu'lei'qi'xin'bi'yi
粪土之墙不可朽,fen'tu'zhi'qiang'bu'ke'xiu
风里来雨里去,feng'li'lai'yu'li'qu
风马牛不相及,feng'ma'niu'bu'xiang'ji
逢山开路遇水填桥,feng'shan'kai'lu'yu'shui'tian'qiao
风声鹤唳草木皆兵,feng'sheng'he'li'cao'mu'jie'bing
佛高一尺魔高一丈,fo'gao'yi'chi'mo'gao'yi'zhang
覆巢无完卵,fu'chao'wu'wan'luan
富贵不能淫,fu'gui'bu'neng'yin
父母官,fu'mu'guan
父母在不远游,fu'mu'zai'bu'yuan'you
福无双至祸不单行,fu'wu'shuang'zhi'huo'bu'dan'xing
父子兵,fu'zi'bing
敢怒而不敢言,gan'nu'er'bu'gan'yan
赶着鸭子上架,gan'zhe'ya'zi'shang'jia
高不成低不就,gao'bu'cheng'di'bu'jiu
高兴而来扫兴而归,gao'xing'er'lai'sao'xing'er'gui
各人自扫门前雪休管他人瓦上霜,ge'ren'zi'sao'men'qian'xue'xiu'guan'ta'ren'wa'shang'shuang
更上一层楼,geng'shang'yi'ceng'lou
功到自然成,gong'dao'zi'ran'cheng
恭敬不如从命,gong'jing'bu'ru'cong'ming
攻其不备出其不意,gong'qi'bu'bei'chu'qi'bu'yi
攻无不克战无不胜,gong'wu'bu'ke'zhan'wu'bu'sheng
工欲善其事必先利其器,gong'yu'shan'qi'shi'bi'xian'li'qi'qi
狗咬吕洞宾,gou'yao'lv'dong'bin
狗嘴里吐不出象牙,gou'zui'li'tu'bu'chu'xiang'ya
顾前不顾后,gu'qian'bu'gu'hou
顾三不顾四,gu'san'bu'gu'si
顾头不顾尾,gu'tou'bu'gu'wei
顾左右而言他,gu'zuo'you'er'yan'ta
瓜田不纳履李下不整冠,gua'tian'bu'na'lv'li'xia'bu'zheng'guan
挂羊头卖狗肉,gua'yang'tou'mai'gou'rou
贵人多忘事,gui'ren'duo'wang'shi
国家兴亡匹夫有责,guo'jia'xing'wang'pi'fu'you'ze
过五关斩六将,guo'wu'guan'zhan'liu'jiang
海尔谆谆听我藐藐,hai'er'zhun'zhun'ting'wo'miao'miao
海阔从鱼跃天空任鸟飞,hai'kuo'cong'yu'yue'tian'kong'ren'niao'fei
海内存知己天涯若比邻,hai'nei'cun'zhi'ji'tian'ya'ruo'bi'lin
海水不可斗量,hai'shui'bu'ke'dou'liang
邯郸梦,han'dan'meng
旱鸭子,han'ya'zi
汉贼不两立,han'zei'bu'liang'li
行行出状元,hang'hang'chu'zhuang'yuan
黑云压城城欲摧,hei'yun'ya'cheng'cheng'yu'cui
恨铁不成钢,hen'tie'bu'cheng'gang
鸿门宴,hong'men'yan
后浪推前浪,hou'lang'tui'qian'lang
虎毒不食儿,hu'du'bu'shi'er
猢狲入布袋,hu'sun'ru'bu'dai
呼之即来挥之即去,hu'zhi'ji'lai'hui'zhi'ji'qu
化腐朽为神奇,hua'fu'xiu'wei'shen'qi
化干戈为玉帛,hua'gan'ge'wei'yu'bo
画虎不成反类狗,hua'hu'bu'cheng'fan'lei'gou
花无百日红,hua'wu'bai'ri'hong
换汤不换药,huan'tang'bu'huan'yao
欢娱嫌夜短,huan'yu'xian'ye'duan
火上无冰凌,huo'shang'wu'bing'ling
祸兮福所倚福兮祸所伏,huo'xi'fu'suo'yi'fu'xi'huo'suo'fu
机不可失时不再来,ji'bu'ke'shi'shi'bu'zai'lai
积财千万不如薄技在身,ji'cai'qian'wan'bu'ru'bo'ji'zai'shen
疾风扫落叶,ji'feng'sao'luo'ye
疾风知劲草,ji'feng'zhi'jin'cao
既来之则安之,ji'lai'zhi'ze'an'zhi
鸡犬之声相闻老死不相往来,ji'quan'zhi'sheng'xiang'wen'lao'si'bu'xiang'wang'lai
积善之家必有余庆,ji'shan'zhi'jia'bi'you'yu'qing
祭神如神在,ji'shen'ru'shen'zai
寄生虫,ji'sheng'chong
己所不欲勿施于人,ji'suo'bu'yu'wu'shi'yu'ren
既有今日何必当初,ji'you'jin'ri'he'bi'dang'chu
既知今日何必当初,ji'zhi'jin'ri'he'bi'dang'chu
家丑不可外扬,jia'chou'bu'ke'wai'yang
家丑不外扬,jia'chou'bu'wai'yang
夹袋中人物,jia'dai'zhong'ren'wu
家书抵万金,jia'shu'di'wan'jin
家有敝帚享之千金,jia'you'bi'zhou'xiang'zhi'qian'jin
兼听则明偏信则暗,jian'ting'ze'ming'pian'xin'ze'an
江山易改本性难移,jiang'shan'yi'gai'ben'xing'nan'yi
姜太公钓鱼愿者上钩,jiang'tai'gong'diao'yu'yuan'zhe'shang'gou
将在外君命有所不受,jiang'zai'wai'jun'ming'you'suo'bu'shou
狡兔死良犬烹,jiao'tu'si'liang'quan'peng
解铃须用系铃人,jie'ling'xu'yong'ji'ling'ren
紧箍咒,jin'gu'zhou
近水楼台先得月,jin'shui'lou'tai'xian'de'yue
金玉其外败絮其中,jin'yu'qi'wai'bai'xu'qi'zhong
今朝有酒今朝醉,jin'zhao'you'jiu'jin'zhao'zui
近朱者赤近墨者黑,jin'zhu'zhe'chi'jin'mo'zhe'hei
精诚所至金石为开,jing'cheng'suo'zhi'jin'shi'wei'kai
静如处女动如脱兔,jing'ru'chu'nv'dong'ru'tuo'tu
井水不犯河水,jing'shui'bu'fan'he'shui
经一事长一智,jing'yi'shi'zhang'yi'zhi
久旱逢甘雨,jiu'han'feng'gan'yu
九牛二虎之力,jiu'niu'er'hu'zhi'li
旧瓶装新酒,jiu'ping'zhuang'xin'jiu
救人一命胜造七级浮屠,jiu'ren'yi'ming'sheng'zao'qi'ji'fu'tu
九字成语,jiu'zi'cheng'yu
鞠躬尽瘁死而后已,ju'gong'jin'cui'si'er'hou'yi
拒人千里之外,ju'ren'qian'li'zhi'wai
君子一言快马一鞭,jun'zi'yi'yan'kuai'ma'yi'bian
君子之交淡如水,jun'zi'zhi'jiao'dan'ru'shui
看菜吃饭量体裁衣,kan'cai'chi'fan'liang'ti'cai'yi
慷他人之慨,kang'ta'ren'zhi'kai
靠山吃山靠水吃水,kao'shan'chi'shan'kao'shui'chi'shui
可望不可即,ke'wang'bu'ke'ji
渴望不可及,ke'wang'bu'ke'ji
可望而不可即,ke'wang'er'bu'ke'ji
苛政猛与虎,ke'zheng'meng'yu'hu
苛政猛于虎,ke'zheng'meng'yu'hu
空城计,kong'cheng'ji
空口说白话,kong'kou'shuo'bai'hua
口头禅,kou'tou'chan
快刀斩乱麻,kuai'dao'zhan'luan'ma
快马一鞭快人一言,kuai'ma'yi'bian'kuai'ren'yi'yan
拉大旗作虎皮,la'da'qi'zuo'hu'pi
来而不往非礼也,lai'er'bu'wang'fei'li'ye
癞蛤蟆,lai'ha'ma
来者不善善者不来,lai'zhe'bu'shan'shan'zhe'bu'lai
老死不相往来,lao'si'bu'xiang'wang'lai
雷声大雨点小,lei'sheng'da'yu'dian'xiao
礼多人不怪,li'duo'ren'bu'guai
篱牢犬不入,li'lao'quan'bu'ru
礼轻情义重,li'qing'qing'yi'zhong
礼轻情意重,li'qing'qing'yi'zhong
立于不败之地,li'yu'bu'bai'zhi'di
礼之用和为贵,li'zhi'yong'he'wei'gui
临时抱佛脚,lin'shi'bao'fo'jiao
留得青山在不怕没柴烧,liu'de'qing'shan'zai'bu'pa'mei'chai'shao
流言止于智者,liu'yan'zhi'yu'zhi'zhe
六字成语,liu'zi'cheng'yu
龙生龙凤生凤,long'sheng'long'feng'sheng'feng
漏翁沃焦釜,lou'weng'wo'jiao'fu
路见不平拔刀相助,lu'jian'bu'ping'ba'dao'xiang'zhu
庐山真面目,lu'shan'zhen'mian'mu
庐山正面目,lu'shan'zheng'mian'mu
鹿死不择音,lu'si'bu'ze'yin
禄无常家福无定门,lu'wu'chang'jia'fu'wu'ding'men
路遥知马力日久见人心,lu'yao'zhi'ma'li'ri'jiu'jian'ren'xin
乱弹琴,luan'tan'qin
落花有意流水无情,luo'hua'you'yi'liu'shui'wu'qing
落汤鸡,luo'tang'ji
驴头不对马嘴,lv'tou'bu'dui'ma'zui
马大哈,ma'da'ha
马后炮,ma'hou'pao
马前卒,ma'qian'zu
麻雀虽小肝胆俱全,ma'que'sui'xiao'gan'dan'ju'quan
谩上不谩下,man'shang'bu'man'xia
瞒上不瞒下,man'shang'bu'man'xia
茫然不知所措,mang'ran'bu'zhi'suo'cuo
盲人骑瞎马,mang'ren'qi'xia'ma
冒天下之大不韪,mao'tian'xia'zhi'da'bu'wei
眉头一皱计上心来,mei'tou'yi'zhou'ji'shang'xin'lai
闷葫芦,men'hu'lu
门外汉,men'wai'han
靡不有初鲜克有终,mi'bu'you'chu'xian'ke'you'zhong
猕猴骑土牛,mi'hou'qi'tu'niu
迷魂汤,mi'hun'tang
迷魂阵,mi'hun'zhen
绵中针,mian'zhong'zhen
民不畏死何以死惧之,min'bu'wei'si'he'yi'si'ju'zhi
民以食为天,min'yi'shi'wei'tian
明枪易躲暗箭难防,ming'qiang'yi'duo'an'jian'nan'fang
明人不作暗事,ming'ren'bu'zuo'an'shi
明修栈道暗渡陈仓,ming'xiu'zhan'dao'an'du'chen'cang
莫须有,mo'xu'you
谋事在人成事在天,mou'shi'zai'ren'cheng'shi'zai'tian
牡丹虽好全凭绿叶扶持,mu'dan'sui'hao'quan'ping'lv'ye'fu'chi
牡丹虽好全凭绿叶抚持,mu'dan'sui'hao'quan'ping'lv'ye'fu'chi
南山可移判不可摇,nan'shan'ke'yi'pan'bu'ke'yao
泥菩萨过河自身难保,ni'pu'sa'guo'he'zi'shen'nan'bao
宁为鸡口不为牛后,ning'wei'ji'kou'bu'wei'niu'hou
宁为玉碎不为瓦全,ning'wei'yu'sui'bu'wei'wa'quan
驽马恋栈豆,nu'ma'lian'zhan'dou
女大不中留,nv'da'bu'zhong'liu
女大十八变,nv'da'shi'ba'bian
炮筒子,pao'tong'zi
赔了夫人又折兵,pei'le'fu'ren'you'zhe'bing
蚍蜉撼大树,pi'fu'han'da'shu
皮笑肉不笑,pi'xiao'rou'bu'xiao
皮之不存毛将焉附,pi'zhi'bu'cun'mao'jiang'yan'fu
贫贱不能移,pin'jian'bu'neng'yi
平地一声雷,ping'di'yi'sheng'lei
平原十日饭,ping'yuan'shi'ri'fan
破天荒,po'tian'huang
骑鹤上扬州,qi'he'shang'yang'zhou
七字成语,qi'zi'cheng'yu
千叮咛万嘱咐,qian'ding'ning'wan'zhu'fu
千金之子坐不垂堂,qian'jin'zhi'zi'zuo'bu'chui'tang
千军易得一将难求,qian'jun'yi'de'yi'jiang'nan'qiu
千里驹,qian'li'ju
千里送鹅毛,qian'li'song'e'mao
千里之堤溃于蚁穴,qian'li'zhi'di'kui'yu'yi'xue
千里之行始于足下,qian'li'zhi'xing'shi'yu'zu'xia
前门拒虎后门进狼,qian'men'ju'hu'hou'men'jin'lang
前怕狼后怕虎,qian'pa'lang'hou'pa'hu
前人栽树后人乘凉,qian'ren'zai'shu'hou'ren'cheng'liang
前事不忘后事之师,qian'shi'bu'wang'hou'shi'zhi'shi
谦受益满招损,qian'shou'yi'man'zhao'sun
牵一发而动全身,qian'yi'fa'er'dong'quan'shen
墙倒众人推,qiang'dao'zhong'ren'tui
强将之下无弱兵,qiang'jiang'zhi'xia'wu'ruo'bing
墙里开花墙外香,qiang'li'kai'hua'qiang'wai'xiang
强龙不压地头蛇,qiang'long'bu'ya'di'tou'she
强中更有强中手,qiang'zhong'geng'you'qiang'zhong'shou
敲边鼓,qiao'bian'gu
巧妇难为无米之炊,qiao'fu'nan'wei'wu'mi'zhi'chui
敲门砖,qiao'men'zhuan
敲竹杠,qiao'zhu'gang
擒贼先擒王,qin'zei'xian'qin'wang
青出于蓝而胜于蓝,qing'chu'yu'lan'er'sheng'yu'lan
庆父不死鲁难未已,qing'fu'bu'si'lu'nan'wei'yi
清官难断家务事,qing'guan'nan'duan'jia'wu'shi
清君侧,qing'jun'ce
求大同存小异,qiu'da'tong'cun'xiao'yi
求人不如求己,qiu'ren'bu'ru'qiu'ji
求生不得求死不能,qiu'sheng'bu'de'qiu'si'bu'neng
取其精华去其糟粕,qu'qi'jing'hua'qu'qi'zao'po
取之不尽用之不竭,qu'zhi'bu'jin'yong'zhi'bu'jie
拳不离手曲不离口,quan'bu'li'shou'qu'bu'li'kou
群居终日言不及义,qun'ju'zhong'ri'yan'bu'ji'yi
热锅上蚂蚁,re'guo'shang'ma'yi
人不犯我我不犯人,ren'bu'fan'wo'wo'bu'fan'ren
人不知鬼不觉,ren'bu'zhi'gui'bu'jue
人而无信不知其可,ren'er'wu'xin'bu'zhi'qi'ke
人非圣贤孰能无过,ren'fei'sheng'xian'shu'neng'wu'guo
人逢喜事精神爽,ren'feng'xi'shi'jing'shen'shuang
人穷志不穷,ren'qiong'zhi'bu'qiong
人生何处不相逢,ren'sheng'he'chu'bu'xiang'feng
人生七十古来稀,ren'sheng'qi'shi'gu'lai'xi
人同此心心同此理,ren'tong'ci'xin'xin'tong'ci'li
人为刀俎我为鱼肉,ren'wei'dao'zu'wo'wei'yu'rou
人无远虑必有近忧,ren'wu'yuan'lv'bi'you'jin'you
人心隔肚皮,ren'xin'ge'du'pi
人以群分物以类聚,ren'yi'qun'fen'wu'yi'lei'ju
仁者见仁智者见智,ren'zhe'jian'ren'zhi'zhe'jian'zhi
人之将死其言也善,ren'zhi'jiang'si'qi'yan'ye'shan
日出而作日入而息,ri'chu'er'zuo'ri'ru'er'xi
日近长安远,ri'jin'chang'an'yuan
日久见人心,ri'jiu'jian'ren'xin
如临深渊如履薄冰,ru'lin'shen'yuan'ru'lv'bo'bing
如切如磋如琢如磨,ru'qie'ru'cuo'ru'zuo'ru'mo
如人饮水冷暖自知,ru'ren'yin'shui'leng'nuan'zi'zhi
如入无人之境,ru'ru'wu'ren'zhi'jing
如闻其声如见其人,ru'wen'qi'sheng'ru'jian'qi'ren
如坠五里云雾,ru'zhui'wu'li'yun'wu
若要人不知除非己莫为,ruo'yao'ren'bu'zhi'chu'fei'ji'mo'wei
三百六十行,san'bai'liu'shi'hang
三寸不烂之舌,san'cun'bu'lan'zhi'she
三分像人七分像鬼,san'fen'xiang'ren'qi'fen'xiang'gui
三过其门而不入,san'guo'qi'men'er'bu'ru
三句话不离本行,san'ju'hua'bu'li'ben'hang
三年不窥园,san'nian'bu'kui'yuan
三人行必有我师,san'ren'xing'bi'you'wo'shi
三十六计走为上计,san'shi'liu'ji'zou'wei'shang'ji
三天打鱼两天晒网,san'tian'da'yu'liang'tian'shai'wang
三字成语,san'zi'cheng'yu
煞风景,sha'feng'jing
杀鸡焉用牛刀,sha'ji'yan'yong'niu'dao
杀人偿命欠债还钱,sha'ren'chang'ming'qian'zhai'huan'qian
山河易改本性难移,shan'he'yi'gai'ben'xing'nan'yi
山雨欲来风满楼,shan'yu'yu'lai'feng'man'lou
上不沾天下不着地,shang'bu'zhan'tian'xia'bu'zhao'di
上梁不正下梁歪,shang'liang'bu'zheng'xia'liang'wai
上天无路入地无门,shang'tian'wu'lu'ru'di'wu'men
上无片瓦下无立锥之地,shang'wu'pian'wa'xia'wu'li'zhui'zhi'di
上知天文下知地理,shang'zhi'tian'wen'xia'zhi'di'li
少壮不努力老大徒伤悲,shao'zhuang'bu'nu'li'lao'da'tu'shang'bei
射人先射马,she'ren'xian'she'ma
神不知鬼不觉,shen'bu'zhi'gui'bu'jue
神而明之存乎其人,shen'er'ming'zhi'cun'hu'qi'ren
身教重于言教,shen'jiao'zhong'yu'yan'jiao
神龙见首不见尾,shen'long'jian'shou'bu'jian'wei
身在曹营心在汉,shen'zai'cao'ying'xin'zai'han
胜败乃兵家常事,sheng'bai'nai'bing'jia'chang'shi
胜不骄败不馁,sheng'bu'jiao'bai'bu'nei
生公说法顽石点头,sheng'gong'shuo'fa'wan'shi'dian'tou
盛名之下其实难副,sheng'ming'zhi'xia'qi'shi'nan'fu
生死由命富贵在天,sheng'si'you'ming'fu'gui'zai'tian
生于忧患死于安乐,sheng'yu'you'huan'si'yu'an'le
十步之内必有芳草,shi'bu'zhi'nei'bi'you'fang'cao
视而不见听而不闻,shi'er'bu'jian'ting'er'bu'wen
十二字成语,shi'er'zi'cheng'yu
时光似箭日月如梭,shi'guang'si'jian'ri'yue'ru'suo
事后诸葛亮,shi'hou'zhu'ge'liang
试金石,shi'jin'shi
是可忍孰不可忍,shi'ke'ren'shu'bu'ke'ren
十目所视十手所指,shi'mu'suo'shi'shi'shou'suo'zhi
十年九不遇,shi'nian'jiu'bu'yu
十年树木百年树人,shi'nian'shu'mu'bai'nian'shu'ren
十日一水五日一石,shi'ri'yi'shui'wu'ri'yi'dan
世上无难事,shi'shang'wu'nan'shi
世上无难事只怕有心人,shi'shang'wu'nan'shi'zhi'pa'you'xin'ren
事实胜于雄辩,shi'shi'sheng'yu'xiong'bian
识时务者为俊杰,shi'shi'wu'zhe'wei'jun'jie
时势造英雄,shi'shi'zao'ying'xiong
十室之邑必有忠信,shi'shi'zhi'yi'bi'you'zhong'xin
十四字成语,shi'si'zi'cheng'yu
十万八千里,shi'wan'ba'qian'li
士为知己者死,shi'wei'zhi'ji'zhe'si
十五个吊桶打水七上八下,shi'wu'ge'diao'tong'da'shui'qi'shang'ba'xia
十一字成语,shi'yi'zi'cheng'yu
失之东隅收之桑榆,shi'zhi'dong'yu'shou'zhi'sang'yu
失之毫厘差之千里,shi'zhi'hao'li'cha'zhi'qian'li
食之无味弃之可惜,shi'zhi'wu'wei'qi'zhi'ke'xi
十指有长短,shi'zhi'you'chang'duan
诗中有画画中有诗,shi'zhong'you'hua'hua'zhong'you'shi
狮子搏兔亦用全力,shi'zi'bo'tu'yi'yong'quan'li
十字成语,shi'zi'cheng'yu
手无缚鸡之力,shou'wu'fu'ji'zhi'li
书不尽言言不尽意,shu'bu'jin'yan'yan'bu'jin'yi
树倒猢狲散,shu'dao'hu'sun'san
树高千丈叶落归根,shu'gao'qian'zhang'ye'luo'gui'gen
树犹如此人何以堪,shu'you'ru'ci'ren'he'yi'kan
树欲静而风不止,shu'yu'jing'er'feng'bu'zhi
水底涝月亮,shui'di'lao'yue'liang
水火不相容,shui'huo'bu'xiang'rong
水能载舟亦能覆舟,shui'neng'zai'zhou'yi'neng'fu'zhou
水至清而无鱼,shui'zhi'qing'er'wu'yu
顺我者昌逆我者亡,shun'wo'zhe'chang'ni'wo'zhe'wang
死不死活不活,si'bu'si'huo'bu'huo
私仇不及公,si'chou'bu'ji'gong
四海之内皆兄弟,si'hai'zhi'nei'jie'xiong'di
死马当活马医,si'ma'dang'huo'ma'yi
司马昭之心路人皆知,si'ma'zhao'zhi'xin'lu'ren'jie'zhi
四体不勤五谷不分,si'ti'bu'qin'wu'gu'bu'fen
死无葬身之地,si'wu'zang'shen'zhi'di
送君千里终有一别,song'jun'qian'li'zhong'you'yi'bie
岁寒知松柏,sui'han'zhi'song'bai
岁月不待人,sui'yue'bu'dai'ren
损有余补不足,sun'you'yu'bu'bu'zu
所答非所问,suo'da'fei'suo'wen
踏破铁鞋无觅处,ta'po'tie'xie'wu'mi'chu
踏破铁鞋无觅处得来全不费功夫,ta'po'tie'xie'wu'mi'chu'de'lai'quan'bu'fei'gong'fu
太公钓鱼愿者上钩,tai'gong'diao'yu'yuan'zhe'shang'gou
太岁头上动土,tai'sui'tou'shang'dong'tu
贪多嚼不烂,tan'duo'jiao'bu'lan
螳螂捕蝉黄雀在后,tang'lang'bu'chan'huang'que'zai'hou
堂上一呼阶下百诺,tang'shang'yi'hu'jie'xia'bai'nuo
桃花源,tao'hua'yuan
桃李不言下自成蹊,tao'li'bu'yan'xia'zi'cheng'xi
桃李满天下,tao'li'man'tian'xia
替古人耽忧,ti'gu'ren'dan'you
替古人担忧,ti'gu'ren'dan'you
替罪羊,ti'zui'yang
天高皇帝远,tian'gao'huang'di'yuan
天机不可泄露,tian'ji'bu'ke'xie'lou
