安成铺,an'cheng'pu
田五小,tian'wu'xiao
铁路新村,tie'lu'xin'cun
铁三处,tie'san'chu
通商银行,tong'shang'yin'hang
土坝孜,tu'ba'zi
图书馆,tu'shu'guan
望峰岗,wang'feng'gang
望峰岗矿,wang'feng'gang'kuang
文汇学校,wen'hui'xue'xiao
武警支队,wu'jing'zhi'dui
物流大市场,wu'liu'da'shi'chang
夏郢孜,xia'ying'zi
谢二矿,xie'er'kuang
谢家集,xie'jia'ji
谢一矿,xie'yi'kuang
新淮村,xin'huai'cun
新建村,xin'jian'cun
新康医院,xin'kang'yi'yuan
兴化公司,xing'hua'gong'si
兴华公司,xing'hua'gong'si
许郢,xu'ying
选煤厂,xuan'mei'chang
选煤村,xuan'mei'cun
姚家湾,yao'jia'wan
益益集团,yi'yi'ji'tuan
一中,yi'zhong
应台孜路,ying'tai'zi'lu
赵店新村,zhao'dian'xin'cun
朝阳村,zhao'yang'cun
朝阳东路,zhao'yang'dong'lu
朝阳西路,zhao'yang'xi'lu
朝阳中路,zhao'yang'zhong'lu
纸厂,zhi'chang
职业技校,zhi'ye'ji'xiao
中北巴士,zhong'bei'ba'shi
中国移动,zhong'guo'yi'dong
中行,zhong'hang
中兴村,zhong'xing'cun
种子公司,zhong'zi'gong'si
砖厂,zhuan'chang
