阿兄中举与你何干,a'xiong'zhong'ju'yu'ni'he'gan
大柴牌,da'chai'pai
大从看做大入,da'cong'kan'zuo'da'ru
大鼎大灶,da'ding'da'zao
大鼎未邢烧鼎仔先滚,da'ding'wei'xing'shao'ding'zai'xian'gun
大吉利市,da'ji'li'shi
大舅写做大鼻,da'jiu'xie'zuo'da'bi
大开大使,da'kai'da'shi
大老大人,da'lao'da'ren
大哩大拉,da'li'da'la
大麦双头出,da'mai'shuang'tou'chu
大奶吓细仔,da'nai'xia'xi'zai
大年大节,da'nian'da'jie
大炮嘴,da'pao'zui
大舌好递,da'she'hao'di
大声伯喉,da'sheng'bo'hou
大头蚶开嘴就生虫,da'tou'han'kai'zui'jiu'sheng'chong
大头好脸,da'tou'hao'lian
大头开嘴住哈,da'tou'kai'zui'zhu'ha
大头揉蚁个来个死,da'tou'rou'yi'ge'lai'ge'si
大唔北光细唔北担到枝旗甲条衬,da'wu'bei'guang'xi'wu'bei'dan'dao'zhi'qi'jia'tiao'chen
大姓免撑,da'xing'mian'cheng
大样大相,da'yang'da'xiang
大鱼大肉,da'yu'da'rou
胆大过蚊,dan'da'guo'wen
担到粿冻,dan'dao'guo'dong
担到粿薛,dan'dao'guo'xue
担到龙虎狮象,dan'dao'long'hu'shi'xiang
担到面变变,dan'dao'mian'bian'bian
担到面青面绿,dan'dao'mian'qing'mian'lv
担到青筋帐项担到有影有迹,dan'dao'qing'jin'zhang'xiang'dan'dao'you'ying'you'ji
担到枝枝叫,dan'dao'zhi'zhi'jiao
担到嘴边二堆沫,dan'dao'zui'bian'er'dui'mo
担到嘴名名,dan'dao'zui'ming'ming
担到嘴酸,dan'dao'zui'suan
单方独味,dan'fang'du'wei
旦话好听过笑曲东街一移无二移,dan'hua'hao'ting'guo'xiao'qu'dong'jie'yi'yi'wu'er'yi
但话人短听话人塘,dan'hua'ren'duan'ting'hua'ren'tang
单脚独手,dan'jiao'du'shou
担破无酒食,dan'po'wu'jiu'shi
担蜀张椅头,dan'shu'zhang'yi'tou
担死卖变,dan'si'mai'bian
担梯看唔着数簿,dan'ti'kan'wu'zhao'shu'bu
担无三成话,dan'wu'san'cheng'hua
担唔听叫唔采,dan'wu'ting'jiao'wu'cai
担雅话,dan'ya'hua
担盐生虫,dan'yan'sheng'chong
啖在啖营神正二月,dan'zai'dan'ying'shen'zheng'er'yue
当面是人僻后做鬼,dang'mian'shi'ren'pi'hou'zuo'gui
当头对面,dang'tou'dui'mian
刀过水无痕,dao'guo'shui'wu'hen
佃鱼硬枝嘴,dian'yu'ying'zhi'zui
掉斗着知走,diao'dou'zhe'zhi'zou
吊渴人,diao'ke'ren
掉篱色桷,diao'li'se'jue
顶真过和尚,ding'zhen'guo'he'shang
冬瓜虽大还是菜,dong'gua'sui'da'hai'shi'cai
兜根缚骨,dou'gen'fu'gu
杜猴不吃洞口草,du'hou'bu'chi'dong'kou'cao
肚困胆大,du'kun'dan'da
堵着正切要,du'zhe'zheng'qie'yao
短命仔心性,duan'ming'zai'xin'xing
蹲宫歇庙,dun'gong'xie'miao
多仔饿死父,duo'zai'e'si'fu
恶过金章婆,e'guo'jin'zhang'po
恶人怕胆,e'ren'pa'dan
恶人先告状,e'ren'xian'gao'zhuang
额信未凝,e'xin'wei'ning
恶嘴毒舌,e'zui'du'she
二百钱工夫,er'bai'qian'gong'fu
二报客,er'bao'ke
二报食粉葛屎,er'bao'shi'fen'ge'shi
二顿缅党一顿暹二句话做一句担,er'dun'mian'dang'yi'dun'xian'er'ju'hua'zuo'yi'ju'dan
耳飞飞,er'fei'fei
而过蜘蛛网,er'guo'zhi'zhu'wang
二目烧嗯领独目看正定,er'mu'shao'en'ling'du'mu'kan'zheng'ding
耳乞屎塞瞇,er'qi'shi'sai'mi
而杉母祠,er'shan'mu'ci
二山相叠出,er'shan'xiang'die'chu
耳屎柳落一粪箕,er'shi'liu'luo'yi'fen'ji
耳梭胶落,er'suo'jiao'luo
耳头耳尾听着,er'tou'er'wei'ting'zhe
珐龙珐虎,fa'long'fa'hu
珐七道八,fa'qi'dao'ba
番畔钱银唐山福,fan'pan'qian'yin'tang'shan'fu
番神番鬼,fan'shen'fan'gui
番薯怕霜霜怕日,fan'shu'pa'shuang'shuang'pa'ri
番仔唐味,fan'zai'tang'wei
坟康瓮底也有戏,fen'kang'weng'di'ye'you'xi
风大大水透透,feng'da'da'shui'tou'tou
佛也贪财一片心格折目骨咬爆齿,fo'ye'tan'cai'yi'pian'xin'ge'zhe'mu'gu'yao'bao'chi
富到浏汤浏馅,fu'dao'liu'tang'liu'xian
父老仔细,fu'lao'zi'xi
浮萍草萨,fu'ping'cao'sa
浮情躁气,fu'qing'zao'qi
斧头孬削柄,fu'tou'nao'xue'bing
浮虚火,fu'xu'huo
戆过毛知事,gang'guo'mao'zhi'shi
戆过知事,gang'guo'zhi'shi
高冲下筛,gao'chong'xia'shai
嗝董过过番安个耳乞屎塞瞇,ge'dong'guo'guo'fan'an'ge'er'qi'shi'sai'mi
个耳聋到拍贡衬,ge'er'long'dao'pai'gong'chen
个狗呐双头,ge'gou'na'shuang'tou
个目乞鬼柳去,ge'mu'qi'gui'liu'qu
个钱看做大铜锣,ge'qian'kan'zuo'da'tong'luo
革色水,ge'se'shui
个碗双箸,ge'wan'shuang'zhu
个心扮扮,ge'xin'ban'ban
工夫有限脚手行重,gong'fu'you'xian'jiao'shou'xing'zhong
工字出头磨做只猴,gong'zi'chu'tou'mo'zuo'zhi'hou
狗浪花开,gou'lang'hua'kai
孤焦寂寞无奈何,gu'jiao'ji'mo'wu'nai'he
骨头总爱回唐山鼓槌未扣鼓先响,gu'tou'zong'ai'hui'tang'shan'gu'chui'wei'kou'gu'xian'xiang
鼓无扣卖响话无旦唔知,gu'wu'kou'mai'xiang'hua'wu'dan'wu'zhi
骨质乌过墨,gu'zhi'wu'guo'mo
关掉门来作皇帝,guan'diao'men'lai'zuo'huang'di
掼屐缀唔着人走庵,guan'ji'zhui'wu'zhe'ren'zou'an
关门投喜,guan'men'tou'xi
官去秀才在,guan'qu'xiu'cai'zai
官司唔如屎尿紧,guan'si'wu'ru'shi'niao'jin
官样官相,guan'yang'guan'xiang
关嘴赢关门,guan'zui'ying'guan'men
龟灵圣母,gui'ling'sheng'mu
龟殊鸟自有飞来虫,gui'shu'niao'zi'you'fei'lai'chong
龟样鳖相,gui'yang'bie'xiang
鬼样鬼相,gui'yang'gui'xiang
过关送文凭,guo'guan'song'wen'ping
过无无过少,guo'wu'wu'guo'shao
害人免看天,hai'ren'mian'kan'tian
亥时得份妈祖福,hai'shi'de'fen'ma'zu'fu
亥爷得份妈祖宫戆过阿网伊阿母,hai'ye'de'fen'ma'zu'gong'gang'guo'a'wang'yi'a'mu
海贼描番客,hai'zei'miao'fan'ke
憨性浮土过牛,han'xing'fu'tu'guo'niu
好歹都忍受,hao'dai'dou'ren'shou
好花插在牛屎堆,hao'hua'cha'zai'niu'shi'dui
好话孬过三人耳,hao'hua'nao'guo'san'ren'er
好话唔过三人耳好马不吃回头草,hao'hua'wu'guo'san'ren'er'hao'ma'bu'chi'hui'tou'cao
好驾好势,hao'jia'hao'shi
好看孬挟,hao'kan'nao'xie
好马就来,hao'ma'jiu'lai
好人做到底,hao'ren'zuo'dao'di
好头好面,hao'tou'hao'mian
好头好面臭脚仓,hao'tou'hao'mian'chou'jiao'cang
号头未起锣鼓先响,hao'tou'wei'qi'luo'gu'xian'xiang
好头唔如好尾,hao'tou'wu'ru'hao'wei
好戏好皮猴,hao'xi'hao'pi'hou
好心当做歹意,hao'xin'dang'zuo'dai'yi
好心好想,hao'xin'hao'xiang
好心无好报,hao'xin'wu'hao'bao
好种好族,hao'zhong'hao'zu
和尚尼姑唔同道,he'shang'ni'gu'wu'tong'dao
何世何领面皮晶晶,he'shi'he'ling'mian'pi'jing'jing
恨到入骨,hen'dao'ru'gu
红鼻食玻璃,hong'bi'shi'bo'li
猴猴仓,hou'hou'cang
猴龙鼠相,hou'long'shu'xiang
猴戏无茂,hou'xi'wu'mao
护护叫,hu'hu'jiao
胡秋霸拉沙,hu'qiu'ba'la'sha
呼三喝六,hu'san'he'liu
话话叫,hua'hua'jiao
花猎百舌,hua'lie'bai'she
画龙画虎,hua'long'hua'hu
画龙画虎上客厅,hua'long'hua'hu'shang'ke'ting
话娶话,hua'qu'hua
话唔烧符免担家活灯看完看纱灯,hua'wu'shao'fu'mian'dan'jia'huo'deng'kan'wan'kan'sha'deng
话唔烧符赚钱平分也无用,hua'wu'shao'fu'zhuan'qian'ping'fen'ye'wu'yong
话言口气,hua'yan'kou'qi
话中有话,hua'zhong'you'hua
欢喜面笑,huan'xi'mian'xiao
皇帝生理,huang'di'sheng'li
活活气死,huo'huo'qi'si
激到大项归,ji'dao'da'xiang'gui
激到浮脚行,ji'dao'fu'jiao'xing
祭到五都食番薯圈,ji'dao'wu'dou'shi'fan'shu'quan
机会来到唔知,ji'hui'lai'dao'wu'zhi
机会一条,ji'hui'yi'tiao
机会做向作,ji'hui'zuo'xiang'zuo
鸡身湿众人谗祭到五都六尾,ji'shen'shi'zhong'ren'chan'ji'dao'wu'dou'liu'wei
激心激命,ji'xin'ji'ming
寄许无官做,ji'xu'wu'guan'zuo
家内爱伞,jia'nei'ai'san
家内第一出外无匹,jia'nei'di'yi'chu'wai'wu'pi
假青宅笑,jia'qing'zhai'xiao
嫁人勿嫁田,jia'ren'wu'jia'tian
家虱卖知痒家债免想,jia'shi'mai'zhi'yang'jia'zhai'mian'xiang
家无三分,jia'wu'san'fen
见年过纸见年少人,jian'nian'guo'zhi'jian'nian'shao'ren
见笑大家,jian'xiao'da'jia
见着棺材头住叩,jian'zhao'guan'cai'tou'zhu'kou
见着石狮无担,jian'zhao'shi'shi'wu'dan
讲粗罗错散吐屎,jiang'cu'luo'cuo'san'tu'shi
讲书评理,jiang'shu'ping'li
脚痹假好胆,jiao'bi'jia'hao'dan
脚步手角,jiao'bu'shou'jiao
脚缠绊死鸡,jiao'chan'ban'si'ji
脚打手打入门乞人叫阿爸,jiao'da'shou'da'ru'men'qi'ren'jiao'a'ba
叫父叫母作死人金锁匙开咸菜瓮,jiao'fu'jiao'mu'zuo'si'ren'jin'suo'chi'kai'xian'cai'weng
叫感累谢,jiao'gan'lei'xie
脚猛手快,jiao'meng'shou'kuai
脚盘踏脚底,jiao'pan'ta'jiao'di
脚皮欠路债,jiao'pi'qian'lu'zhai
脚瘸手折,jiao'que'shou'zhe
叫神累救,jiao'shen'lei'jiu
脚湿嘴臭腥,jiao'shi'zui'chou'xing
脚手溜目色紧,jiao'shou'liu'mu'se'jin
教死卖上蜀,jiao'si'mai'shang'shu
胶已做枷胶已担,jiao'yi'zuo'jia'jiao'yi'dan
借人牛还人马,jie'ren'niu'hai'ren'ma
近日亲日,jin'ri'qin'ri
惊大惊细,jing'da'jing'xi
惊到拍青衬,jing'dao'pai'qing'chen
井底水鸡唔知天若阔,jing'di'shui'ji'wu'zhi'tian'ruo'kuo
静过老三正,jing'guo'lao'san'zheng
静过三弦,jing'guo'san'xian
睛盲还有睛盲叠,jing'mang'hai'you'jing'mang'die
净你到婆罗洲,jing'ni'dao'po'luo'zhou
经死也是三分三,jing'si'ye'shi'san'fen'san
经心设事,jing'xin'she'shi
荆州借久成己业,jing'zhou'jie'jiu'cheng'ji'ye
九本一利官正生理,jiu'ben'yi'li'guan'zheng'sheng'li
九成金十足铜锯丛树掠只鸟,jiu'cheng'jin'shi'zu'tong'ju'cong'shu'lue'zhi'niao
九三则无六五看见鬼粿闩墙,jiu'san'ze'wu'liu'wu'kan'jian'gui'guo'shuan'qiang
救星来,jiu'xing'lai
就做乌鸦地,jiu'zuo'wu'ya'di
拒到六百六,ju'dao'liu'bai'liu
巨拉母耸,ju'la'mu'song
开嘴堵死三番仔,kai'zui'du'si'san'fan'zai
开嘴堵着人个胶衬,kai'zui'du'zhe'ren'ge'jiao'chen
开嘴咬着舌,kai'zui'yao'zhe'she
开嘴一把火,kai'zui'yi'ba'huo
看到无摄目,kan'dao'wu'she'mu
看风掠舵返来猛,kan'feng'lue'duo'fan'lai'meng
看狗甫死猫,kan'gou'fu'si'mao
看脚看手,kan'jiao'kan'shou
看三唵四,kan'san'an'si
看酸目想闲肚,kan'suan'mu'xiang'xian'du
看戏无了局去钱参落肉,kan'xi'wu'le'ju'qu'qian'can'luo'rou
看有爱无,kan'you'ai'wu
看着抽脚筋,kan'zhe'chou'jiao'jin
空城计无用二蜀口白好过清泉丑,kong'cheng'ji'wu'yong'er'shu'kou'bai'hao'guo'qing'quan'chou
空脚白手,kong'jiao'bai'shou
空手白舌,kong'shou'bai'she
哭凄哭惨,ku'qi'ku'can
哙得过更无能过夜,kuai'de'guo'geng'wu'neng'guo'ye
块头大过脚,kuai'tou'da'guo'jiao
哙行哙走,kuai'xing'kuai'zou
困过双林,kun'guo'shuang'lin
来代人死,lai'dai'ren'si
懒过虫,lan'guo'chong
览戏遇着好日子,lan'xi'yu'zhe'hao'ri'zi
浪比鼻蜀丈二,lang'bi'bi'shu'zhang'er
浪佛唔归袋,lang'fo'wu'gui'dai
浪无畔离骨,lang'wu'pan'li'gu
老步总久在,lao'bu'zong'jiu'zai
老丑旦白话老猴无把戏,lao'chou'dan'bai'hua'lao'hou'wu'ba'xi
老丑老鹅旦有旦无,lao'chou'lao'e'dan'you'dan'wu
老虎直目,lao'hu'zhi'mu
老老老得道,lao'lao'lao'de'dao
老老戏跌落棚下,lao'lao'xi'die'luo'peng'xia
老婆无娶恨难消鲤鱼剥脱金钩钓,lao'po'wu'qu'hen'nan'xiao'li'yu'bo'tuo'jin'gou'diao
老人如细仔,lao'ren'ru'xi'zai
老实过鲁肃伯,lao'shi'guo'lu'su'bo
老实总久在,lao'shi'zong'jiu'zai
老亚王,lao'ya'wang
老在行,lao'zai'xing
擂锣拍鼓,lei'luo'pai'gu
礼多人不怪,li'duo'ren'bu'guai
离家散宅,li'jia'san'zhai
鲢鱼缀食草鱼屎,lian'yu'zhui'shi'cao'yu'shi
良心乞狗咬去,liang'xin'qi'gou'yao'qu
临钱水点点滴,lin'qian'shui'dian'dian'di
临死蹬破三领草蓆,lin'si'deng'po'san'ling'cao'xi
六月初六担西瓜,liu'yue'chu'liu'dan'xi'gua
六月初六要早些,liu'yue'chu'liu'yao'zao'xie
六月雨水毒过鬼六月雨水如冰霜,liu'yue'yu'shui'du'guo'gui'liu'yue'yu'shui'ru'bing'shuang
龙船扒上官厅,long'chuan'ba'shang'guan'ting
龙头凤尾,long'tou'feng'wei
漏屎军师,lou'shi'jun'shi
卤人富恨人穷,lu'ren'fu'hen'ren'qiong
路条恨戏仔细,lu'tiao'hen'xi'zi'xi
路在嘴,lu'zai'zui
乱胶母格,luan'jiao'mu'ge
掠柑堵柿,lue'gan'du'shi
掠虾走蟹,lue'xia'zou'xie
锣鼓声近近,luo'gu'sheng'jin'jin
罗罗嗦嗦担有担无,luo'luo'suo'suo'dan'you'dan'wu
落棚讨无咸菜媒人蚀本走仔,luo'peng'tao'wu'xian'cai'mei'ren'shi'ben'zou'zai
啰猪啰大,luo'zhu'luo'da
麻豆菽麦,ma'dou'shu'mai
骂父拍母不肖儿,ma'fu'pai'mu'bu'xiao'er
骂仔拍儿肚情孬盲人拾着金戒指,ma'zai'pai'er'du'qing'nao'mang'ren'shi'zhe'jin'jie'zhi
卖花头,mai'hua'tou
买卖算分,mai'mai'suan'fen
猫声浪说,mao'sheng'lang'shuo
猫声猫说,mao'sheng'mao'shuo
眉弯额皱,mei'wan'e'zhou
门窗户扇,men'chuang'hu'shan
猛过映电影迷魂汤灌着,meng'guo'ying'dian'ying'mi'hun'tang'guan'zhe
猛过纸影担竹椅,meng'guo'zhi'ying'dan'zhu'yi
觅缝觅历觅冤家,mi'feng'mi'li'mi'yuan'jia
觅话觅柄,mi'hua'mi'bing
觅无身尸,mi'wu'shen'shi
面白心肝乌,mian'bai'xin'gan'wu
面皮薄过芝璃纸,mian'pi'bo'guo'zhi'li'zhi
面皮厚过街路石目刺毛着知打浮,mian'pi'hou'guo'jie'lu'shi'mu'ci'mao'zhe'zhi'da'fu
命好免给阿姑牵牛,ming'hao'mian'gei'a'gu'qian'niu
命仔四正,ming'zai'si'zheng
沫撮无个,mo'cuo'wu'ge
沫是沫营神正二月,mo'shi'mo'ying'shen'zheng'er'yue
沫做古,mo'zuo'gu
目涩无闲耳,mu'se'wu'xian'er
目无仙人头,mu'wu'xian'ren'tou
哪到缀齿,na'dao'zhui'chi
南无上北无落,na'mo'shang'bei'wu'luo
难事多过招商局,nan'shi'duo'guo'zhao'shang'ju
孬钱百百错,nao'qian'bai'bai'cuo
嫩到必盖,nen'dao'bi'gai
嫩到卖开嘴,nen'dao'mai'kai'zui
嫩气食塘,nen'qi'shi'tang
年头唔对马嘴,nian'tou'wu'dui'ma'zui
尿行水邢,niao'hang'shui'xing
鸟嘴客拉做历,niao'zui'ke'la'zuo'li
鸟嘴鸟舌,niao'zui'niao'she
凝星猛梦,ning'xing'meng'meng
牛仔唔识虎平安当大赚,niu'zai'wu'shi'hu'ping'an'dang'da'zhuan
奴仔老大,nu'zai'lao'da
拍被棉,pai'bei'mian
拍而锣,pai'er'luo
捧屎糊面,peng'shi'hu'mian
棚戏做伊一人,peng'xi'zuo'yi'yi'ren
平流死水,ping'liu'si'shui
破谷答住知,po'gu'da'zhu'zhi
铺陈被席,pu'chen'bei'xi
气到槌心肝气到秋翘翘,qi'dao'chui'xin'gan'qi'dao'qiu'qiao'qiao
气到粿捏,qi'dao'guo'nie
气到粿爬粿烂钱无赚色无干,qi'dao'guo'pa'guo'lan'qian'wu'zhuan'se'wu'gan
气到孬耐,qi'dao'nao'nai
气到无能担,qi'dao'wu'neng'dan
气到咬舌死,qi'dao'yao'she'si
欺负无脚猴,qi'fu'wu'jiao'hou
欺负无脚蟹,qi'fu'wu'jiao'xie
气了季着断,qi'le'ji'zhe'duan
七穷遇着八溜,qi'qiong'yu'zhe'ba'liu
乞人尔乌面,qi'ren'er'wu'mian
乞人掠去抽皮猴乞食身皇帝嘴,qi'ren'lue'qu'chou'pi'hou'qi'shi'shen'huang'di'zui
气死冲冲潮,qi'si'chong'chong'chao
气死闲人,qi'si'xian'ren
气头过凶,qi'tou'guo'xiong
崎骰看大面,qi'tou'kan'da'mian
起头煞尾,qi'tou'sha'wei
七凶八煞,qi'xiong'ba'sha
七凶遇着八煞,qi'xiong'yu'zhe'ba'sha
千兵号万二,qian'bing'hao'wan'er
千兵入城报十万,qian'bing'ru'cheng'bao'shi'wan
钱出人平安钱家戏孬看,qian'chu'ren'ping'an'qian'jia'xi'nao'kan
千斤白四百曲,qian'jin'bai'si'bai'qu
千句万句当无一句,qian'ju'wan'ju'dang'wu'yi'ju
千支灯当无支烛,qian'zhi'deng'dang'wu'zhi'zhu
牵猪哥过暹罗欠钱划在脚大腿,qian'zhu'ge'guo'xian'luo'qian'qian'hua'zai'jiao'da'tui
强脚硬马,qiang'jiao'ying'ma
强人强人敌,qiang'ren'qiang'ren'di
跷到垅龙,qiao'dao'long'long
跷哩勿上世无银输过死,qiao'li'wu'shang'shi'wu'yin'shu'guo'si
翘兴撬衰,qiao'xing'qiao'shuai
亲情朋友,qin'qing'peng'you
亲家亲姆送全夜,qing'jia'qin'mu'song'quan'ye
青筋目特,qing'jin'mu'te
青盲鸡啄着死猫鼠,qing'mang'ji'zhuo'zhe'si'mao'shu
青盲唔知目珠光,qing'mang'wu'zhi'mu'zhu'guang
擎箸遮目,qing'zhu'zhe'mu
求如吞三尺剑,qiu'ru'tun'san'chi'jian
蛆虫狗蚁,qu'chong'gou'yi
去到浮娄州,qu'dao'fu'lou'zhou
去到吕宋胶拉巴热你枝鼻去熬胶,qu'dao'lv'song'jiao'la'ba're'ni'zhi'bi'qu'ao'jiao
娶个媳妇死个仔,qu'ge'xi'fu'si'ge'zai
全棚戏做着亚如兰,quan'peng'xi'zuo'zhe'ya'ru'lan
人担贼也担,ren'dan'zei'ye'dan
人地生疏番仔骑刀,ren'di'sheng'shu'fan'zai'qi'dao
人逢喜事眉头开,ren'feng'xi'shi'mei'tou'kai
人龟人奴,ren'gui'ren'nu
人家出韩信,ren'jia'chu'han'xin
忍了着死,ren'le'zhe'si
人群百众,ren'qun'bai'zhong
人身狗骨头,ren'shen'gou'gu'tou
人心肝牛屎肚,ren'xin'gan'niu'shi'du
人心枭恶,ren'xin'xiao'e
人在曹营心在汉,ren'zai'cao'ying'xin'zai'han
人走茶凉,ren'zou'cha'liang
人嘴毒过蛇肉身无所出,ren'zui'du'guo'she'rou'shen'wu'suo'chu
人做戏戏做人日做仔夜做安,ren'zuo'xi'xi'zuo'ren'ri'zuo'zai'ye'zuo'an
日出鸡卵影雨落摆钵仔,ri'chu'ji'luan'ying'yu'luo'bai'bo'zai
肉痒去擦石,rou'yang'qu'ca'shi
入门看人意,ru'men'kan'ren'yi
软风软日,ruan'feng'ruan'ri
软涂深掘,ruan'tu'shen'jue
枘唔着批担鼻,rui'wu'zhe'pi'dan'bi
三宝公屎变榴连,san'bao'gong'shi'bian'liu'lian
三出老虎四出鬼,san'chu'lao'hu'si'chu'gui
三代清白,san'dai'qing'bai
三多老福顺,san'duo'lao'fu'shun
三分亲赢别人,san'fen'qin'ying'bie'ren
三个婆娘凑个墟,san'ge'po'niang'cou'ge'xu
三国看到死唔北李推甲郭己,san'guo'kan'dao'si'wu'bei'li'tui'jia'guo'ji
三国看无刘备,san'guo'kan'wu'liu'bei
三句乌二句白三句咸二句整,san'ju'wu'er'ju'bai'san'ju'xian'er'ju'zheng
三两卖挈四两卖拈,san'liang'mai'qie'si'liang'mai'nian
三面六目,san'mian'liu'mu
三面六目看定定,san'mian'liu'mu'kan'ding'ding
三目看四目,san'mu'kan'si'mu
三瓢涎四瓢鼻,san'piao'xian'si'piao'bi
三人扛四人随,san'ren'kang'si'ren'sui
三人四姓,san'ren'si'xing
三日早起当个工三下三下慢慢扣,san'ri'zao'qi'dang'ge'gong'san'xia'san'xia'man'man'kou
三牲敢食灯球敢搬,san'sheng'gan'shi'deng'qiu'gan'ban
三筒欺侮二斗上天讨落地还,san'tong'qi'wu'er'dou'shang'tian'tao'luo'di'hai
三下斧头花,san'xia'fu'tou'hua
三弦琵琶筝凑磨心住清,san'xian'pi'pa'zheng'cou'mo'xin'zhu'qing
三字,san'zi
三祖六代,san'zu'liu'dai
色仔弟,se'zai'di
砂陇祠堂华美厝,sha'long'ci'tang'hua'mei'cuo
杀死个人食无蚶壳血,sha'si'ge'ren'shi'wu'han'ke'xue
上高落下,shang'gao'luo'xia
上棚免喊,shang'peng'mian'han
上棚戏仔落南猪,shang'peng'xi'zai'luo'nan'zhu
烧脚烫手,shao'jiao'tang'shou
舍衰人,she'shuai'ren
舌土涎浏,she'tu'xian'liu
舌仔尖尖好台人,she'zai'jian'jian'hao'tai'ren
神侯祭泼,shen'hou'ji'po
伸手摸着天生人张生计,shen'shou'mo'zhe'tian'sheng'ren'zhang'sheng'ji
伸无只脚,shen'wu'zhi'jiao
神仙拍鼓有时禾生阿弟卖阿兄,shen'xian'pai'gu'you'shi'he'sheng'a'di'mai'a'xiong
生事勿做熟事勿忘,sheng'shi'wu'zuo'shu'shi'wu'wang
生死隔重纸,sheng'si'ge'zhong'zhi
生头唔北面,sheng'tou'wu'bei'mian
生无带来死无带去,sheng'wu'dai'lai'si'wu'dai'qu
十八棚头做到透,shi'ba'peng'tou'zuo'dao'tou
食饱饭买包,shi'bao'fan'mai'bao
食饱菊花糕无巧,shi'bao'ju'hua'gao'wu'qiao
时到花住开,shi'dao'hua'zhu'kai
时到花自开,shi'dao'hua'zi'kai
十二生肖相轮流,shi'er'sheng'xiao'xiang'lun'liu
食番薯问米价,shi'fan'shu'wen'mi'jia
食肥跳高,shi'fei'tiao'gao
食父兄赚私家,shi'fu'xiong'zhuan'si'jia
食过乌水,shi'guo'wu'shui
十极无路,shi'ji'wu'lu
食蠘试身份,shi'jie'shi'shen'fen
食尽无怨恨,shi'jin'wu'yuan'hen
食力薤吐蒜,shi'li'xie'tu'suan
屎流尿滴,shi'liu'niao'di
时年八节,shi'nian'ba'jie
食棚脚,shi'peng'jiao
食人酒肉赠人福,shi'ren'jiu'rou'zeng'ren'fu
是人是鬼,shi'ren'shi'gui
是三是二,shi'san'shi'er
十三猪正有你份,shi'san'zhu'zheng'you'ni'fen
食少烦恼家硬虎无能生,shi'shao'fan'nao'jia'ying'hu'wu'neng'sheng
食蛇配血,shi'she'pei'xue
食省行猛,shi'sheng'hang'meng
十啼五哭,shi'ti'wu'ku
食碗内说碗外,shi'wan'nei'shuo'wan'wai
