按级任教,an'ji'ren'jiao
训练规划,xun'lian'gui'hua
训练基地,xun'lian'ji'di
训练计划,xun'lian'ji'hua
训练科目,xun'lian'ke'mu
训练摩托小时,xun'lian'mo'tuo'xiao'shi
训练器材,xun'lian'qi'cai
训练日,xun'lian'ri
训练试点,xun'lian'shi'dian
训练时间比例,xun'lian'shi'jian'bi'li
训练指标,xun'lian'zhi'biao
训练指导思想,xun'lian'zhi'dao'si'xiang
训练制度,xun'lian'zhi'du
训练指示,xun'lian'zhi'shi
训练准备会,xun'lian'zhun'bei'hui
演习,yan'xi
演习场,yan'xi'chang
演习导演部,yan'xi'dao'yan'bu
演习计划,yan'xi'ji'hua
演习时间,yan'xi'shi'jian
演习实施计划,yan'xi'shi'shi'ji'hua
演习文书,yan'xi'wen'shu
养成教育,yang'cheng'jiao'yu
夜间训练,ye'jian'xun'lian
业务技能,ye'wu'ji'neng
野营训练,ye'ying'xun'lian
一兵多用,yi'bing'duo'yong
一专多能,yi'zhuan'duo'neng
因人施教,yin'ren'shi'jiao
英勇牺牲,ying'yong'xi'sheng
应用训练,ying'yong'xun'lian
优良的战斗作风,you'liang'de'zhan'dou'zuo'feng
有效部位,you'xiao'bu'wei
预科,yu'ke
预演,yu'yan
院校工作条例,yuan'xiao'gong'zuo'tiao'li
院校教学协作中心,yuan'xiao'jiao'xue'xie'zuo'zhong'xin
院校体制,yuan'xiao'ti'zhi
院校训练,yuan'xiao'xun'lian
月表,yue'biao
越野训练,yue'ye'xun'lian
在职训练,zai'zhi'xun'lian
战备训练,zhan'bei'xun'lian
战场练兵,zhan'chang'lian'bing
战斗勤务训练,zhan'dou'qin'wu'xun'lian
战斗条令,zhan'dou'tiao'ling
战斗作风,zhan'dou'zuo'feng
战例教育,zhan'li'jiao'yu
战例研究,zhan'li'yan'jiu
战术分段训练,zhan'shu'fen'duan'xun'lian
战术技术水平,zhan'shu'ji'shu'shui'ping
战术训练,zhan'shu'xun'lian
战术演习,zhan'shu'yan'xi
战术演习教令,zhan'shu'yan'xi'jiao'ling
战术作业,zhan'shu'zuo'ye
战役训练,zhan'yi'xun'lian
战役演习,zhan'yi'yan'xi
阵地练兵,zhen'di'lian'bing
政治学院,zheng'zhi'xue'yuan
指挥学院,zhi'hui'xue'yuan
制式训练器材,zhi'shi'xun'lian'qi'cai
周表,zhou'biao
专长任教,zhuan'chang'ren'jiao
专修室,zhuan'xiu'shi
专业技术教室,zhuan'ye'ji'shu'jiao'shi
专业想定,zhuan'ye'xiang'ding
专业训练,zhuan'ye'xun'lian
专业院校,zhuan'ye'yuan'xiao
专业战术训练,zhuan'ye'zhan'shu'xun'lian
综合想定,zong'he'xiang'ding
综合训练,zong'he'xun'lian
综合训练场,zong'he'xun'lian'chang
综合演习,zong'he'yan'xi
组织指挥能力,zu'zhi'zhi'hui'neng'li
作业,zuo'ye
作业指导法,zuo'ye'zhi'dao'fa
