阿部丰,a'bu'feng
不纯的大搜索,bu'chun'de'da'sou'suo
不辞而别,bu'ci'er'bie
不光彩的英雄,bu'guang'cai'de'ying'xiong
不合群,bu'he'qun
不怀疑吗,bu'huai'yi'ma
不及格的魔术师,bu'ji'ge'de'mo'shu'shi
不可能犯罪,bu'ke'neng'fan'zui
不可思议的春天甲壳虫,bu'ke'si'yi'de'chun'tian'jia'ke'chong
不可思议的打工,bu'ke'si'yi'de'da'gong
不可思议的天使之馆后篇,bu'ke'si'yi'de'tian'shi'zhi'guan'hou'pian
不可思议的天使之馆前篇,bu'ke'si'yi'de'tian'shi'zhi'guan'qian'pian
步美被绑事件,bu'mei'bei'bang'shi'jian
步美传达的讯息,bu'mei'chuan'da'de'xun'xi
步美的担心,bu'mei'di'dan'xin
不灭,bu'mie
不明的暗号,bu'ming'de'an'hao
不能成为狼人的人,bu'neng'cheng'wei'lang'ren'de'ren
不速之客,bu'su'zhi'ke
不协调的感觉,bu'xie'tiao'de'gan'jue
不在场证明的隐身术,bu'zai'chang'zheng'ming'de'yin'shen'shu
不在场证明杀人事件,bu'zai'chang'zheng'ming'sha'ren'shi'jian
猜谜婆婆失踪事件,cai'mi'po'po'shi'zong'shi'jian
采摘苹果之时,cai'zhai'ping'guo'zhi'shi
操纵,cao'zong
厕所里隐藏的秘密后篇,ce'suo'li'yin'cang'de'mi'mi'hou'pian
厕所里隐藏的秘密前篇,ce'suo'li'yin'cang'de'mi'mi'qian'pian
茶风林,cha'feng'lin
插画画家杀人事件,cha'hua'hua'jia'sha'ren'shi'jian
柴田杏花,chai'tian'xing'hua
缠在网子中的谜团上集,chan'zai'wang'zi'zhong'de'mi'tuan'shang'ji
缠在网子中的谜团下集,chan'zai'wang'zi'zhong'de'mi'tuan'xia'ji
长岛茂雄,chang'dao'mao'xiong
超级汽车陷阱上集,chao'ji'qi'che'xian'jing'shang'ji
超级汽车陷阱下集,chao'ji'qi'che'xian'jing'xia'ji
超秘密的上学路后篇,chao'mi'mi'de'shang'xue'lu'hou'pian
超秘密的上学路前篇,chao'mi'mi'de'shang'xue'lu'qian'pian
超人,chao'ren
超越时空,chao'yue'shi'kong
沉默的分钟,chen'mo'de'fen'zhong
沉没的航线后篇,chen'mo'de'hang'xian'hou'pian
沉没的航线前篇,chen'mo'de'hang'xian'qian'pian
沉默的环状线,chen'mo'de'huan'zhuang'xian
池波静华,chi'bo'jing'hua
赤井的过去,chi'jing'de'guo'qu
赤井秀一,chi'jing'xiu'yi
赤马的目击者,chi'ma'de'mu'ji'zhe
赤马的主人,chi'ma'de'zhu'ren
赤马之影,chi'ma'zhi'ying
吃人的房屋,chi'ren'de'fang'wu
池塘边的奇怪事件,chi'tang'bian'de'qi'guai'shi'jian
池田秀一,chi'tian'xiu'yi
持有疑惑的小兰,chi'you'yi'huo'de'xiao'lan
冲矢昴,chong'shi'mao
冲田一,chong'tian'yi
冲撞王子,chong'zhuang'wang'zi
触动的琴弦,chu'dong'de'qin'xian
初恋情人回忆事件上集,chu'lian'qing'ren'hui'yi'shi'jian'shang'ji
初恋情人回忆事件下集,chu'lian'qing'ren'hui'yi'shi'jian'xia'ji
初恋再会别离,chu'lian'zai'hui'bie'li
锤子的原形,chui'zi'de'yuan'xing
锤子男的真实身份,chui'zi'nan'de'zhen'shi'shen'fen
纯白,chun'bai
纯黑的噩梦,chun'hei'de'e'meng
春天到了,chun'tian'dao'le
此五郎非彼五郎,ci'wu'lang'fei'bi'wu'lang
从他到她,cong'ta'dao'ta
从天国到地狱,cong'tian'guo'dao'di'yu
从天空到地面,cong'tian'kong'dao'di'mian
从右向左的招财猫,cong'you'xiang'zuo'de'zhao'cai'mao
从自杀到他杀,cong'zi'sha'dao'ta'sha
错误的电话,cuo'wu'de'dian'hua
打不开的窗,da'bu'kai'de'chuang
大都会暗号地图藏宝事件,da'du'hui'an'hao'di'tu'cang'bao'shi'jian
大谷育江,da'gu'yu'jiang
大怪兽哥梅拉杀人事件,da'guai'shou'ge'mei'la'sha'ren'shi'jian
大泷警官,da'long'jing'guan
大鹰和洋,da'ying'he'yang
当红歌星绑架事件上集,dang'hong'ge'xing'bang'jia'shi'jian'shang'ji
当红歌星绑架事件下集,dang'hong'ge'xing'bang'jia'shi'jian'xia'ji
岛本须美,dao'ben'xu'mei
倒数计时,dao'shu'ji'shi
德休拉别墅杀人事件上集,de'xiu'la'bie'shu'sha'ren'shi'jian'shang'ji
德休拉别墅杀人事件下集,de'xiu'la'bie'shu'sha'ren'shi'jian'xia'ji
的意思,de'yi'si
帝丹高中的学校怪谈后篇,di'dan'gao'zhong'de'xue'xiao'guai'tan'hou'pian
帝丹高中的学校怪谈前篇,di'dan'gao'zhong'de'xue'xiao'guai'tan'qian'pian
帝丹小学七大离奇事件,di'dan'xiao'xue'qi'da'li'qi'shi'jian
第个乘客上集,di'ge'cheng'ke'shang'ji
第个乘客下集,di'ge'cheng'ke'xia'ji
第根线,di'gen'xian
第九个门大搜查,di'jiu'ge'men'da'sou'cha
第年的冲击,di'nian'de'chong'ji
第三个指纹杀人事件,di'san'ge'zhi'wen'sha'ren'shi'jian
地上电车紧急煞车事件,di'shang'dian'che'jin'ji'sha'che'shi'jian
第十四个目标,di'shi'si'ge'mu'biao
第一次购物杀人事件,di'yi'ci'gou'wu'sha'ren'shi'jian
颠倒的场景后篇,dian'dao'de'chang'jing'hou'pian
颠倒的场景前篇,dian'dao'de'chang'jing'qian'pian
电视台的恶魔,dian'shi'tai'de'e'mo
电视台杀人事件,dian'shi'tai'sha'ren'shi'jian
电视台外景队杀人事件,dian'shi'tai'wai'jing'dui'sha'ren'shi'jian
电梯杀人事件,dian'ti'sha'ren'shi'jian
电玩公司杀人事件,dian'wan'gong'si'sha'ren'shi'jian
玷污的假面英雄后篇,dian'wu'de'jia'mian'ying'xiong'hou'pian
玷污的假面英雄前篇,dian'wu'de'jia'mian'ying'xiong'qian'pian
钓饵上有毒,diao'er'shang'you'du
钓鱼大会的悲剧后篇,diao'yu'da'hui'de'bei'ju'hou'pian
钓鱼大会的悲剧前篇,diao'yu'da'hui'de'bei'ju'qian'pian
订婚戒指,ding'hun'jie'zhi
钉与蛇,ding'yu'she
东京风和日丽,dong'jing'feng'he'ri'li
东京现影所的秘密前篇,dong'jing'xian'ying'suo'de'mi'mi'qian'pian
董事长千金诱拐事件,dong'shi'zhang'qian'jin'you'guai'shi'jian
都市的乌鸦,du'shi'de'wu'ya
杜松子酒,du'song'zi'jiu
毒物的下落,du'wu'de'xia'luo
短时间的休息,duan'shi'jian'de'xiu'xi
恶灵栖息的屋宇,e'ling'qi'xi'de'wu'yu
俄罗斯蓝猫,e'luo'si'lan'mao
俄罗斯蓝猫的秘密,e'luo'si'lan'mao'de'mi'mi
恶魔的手段,e'mo'de'shou'duan
恶魔来临,e'mo'lai'lin
恶魔之箭,e'mo'zhi'jian
恶魔之泪,e'mo'zhi'lei
恶意与胜者的行进上集,e'yi'yu'sheng'zhe'de'xing'jin'shang'ji
恶意与胜者的行进下集,e'yi'yu'sheng'zhe'de'xing'jin'xia'ji
恶意中的行进,e'yi'zhong'de'xing'jin
厄运大奖,e'yun'da'jiang
恶作剧的孩子,e'zuo'ju'de'hai'zi
耳环型手机,er'huan'xing'shou'ji
二阶堂,er'jie'tang
发不出声,fa'bu'chu'sheng
法庭的对决目击者是检察官,fa'ting'de'dui'jue'mu'ji'zhe'shi'jian'cha'guan
反击,fan'ji
反击的头绪,fan'ji'de'tou'xu
犯人追踪眼镜,fan'ren'zhui'zong'yan'jing
犯罪的遗物上集,fan'zui'de'yi'wu'shang'ji
犯罪的遗物下集,fan'zui'de'yi'wu'xia'ji
非常奇怪的天谴动画原创,fei'chang'qi'guai'de'tian'qian'dong'hua'yuan'chuang
飞天密室工藤新一最初的事件,fei'tian'mi'shi'gong'teng'xin'yi'zui'chu'de'shi'jian
妃英理,fei'ying'li
妃英理律师之恋,fei'ying'li'lv'shi'zhi'lian
分之一的恶魔,fen'zhi'yi'de'e'mo
峰莉亚,feng'li'ya
风林火山,feng'lin'huo'shan
风雪中的复仇,feng'xue'zhong'de'fu'chou
封印,feng'yin
佛灭前出现的恶灵解决篇,fo'mie'qian'chu'xian'de'e'ling'jie'jue'pian
佛灭前出现的恶灵事件篇,fo'mie'qian'chu'xian'de'e'ling'shi'jian'pian
佛灭前出现的恶灵推理篇,fo'mie'qian'chu'xian'de'e'ling'tui'li'pian
服部静华,fu'bu'jing'hua
服部平蔵,fu'bu'ping'cang
服部平次,fu'bu'ping'ci
服部平次一筹莫展,fu'bu'ping'ci'yi'chou'mo'zhan
服部平次一筹莫展后篇,fu'bu'ping'ci'yi'chou'mo'zhan'hou'pian
服部平次一筹莫展前篇,fu'bu'ping'ci'yi'chou'mo'zhan'qian'pian
富豪家族连续惨死事件上集,fu'hao'jia'zu'lian'xu'can'si'shi'jian'shang'ji
富豪家族连续惨死事件下集,fu'hao'jia'zu'lian'xu'can'si'shi'jian'xia'ji
复活的死亡讯息上集,fu'huo'de'si'wang'xun'xi'shang'ji
复活的死亡讯息下集,fu'huo'de'si'wang'xun'xi'xia'ji
腐烂的苹果,fu'lan'de'ping'guo
敷面膜杀人事件,fu'mian'mo'sha'ren'shi'jian
芙莎绘,fu'sha'hui
负伤的侦探团,fu'shang'de'zhen'tan'tuan
复苏的恶灵,fu'su'de'e'ling
伏特加,fu'te'jia
绀碧之棺,gan'bi'zhi'guan
刚好一对,gang'hao'yi'dui
钢琴奏鸣曲月光杀人事件,gang'qin'zou'ming'qu'yue'guang'sha'ren'shi'jian
钢楔,gang'xie
高岛雅罗,gao'dao'ya'luo
高尔夫练习场杀人事件,gao'er'fu'lian'xi'chang'sha'ren'shi'jian
高木涉,gao'mu'she
高山南,gao'shan'nan
格斗游戏的陷阱上集,ge'dou'you'xi'de'xian'jing'shang'ji
格斗游戏的陷阱下集,ge'dou'you'xi'de'xian'jing'xia'ji
给兰的情书,gei'lan'de'qing'shu
跟踪然后,gen'zong'ran'hou
宫本由美,gong'ben'you'mei
宫村优子,gong'cun'you'zi
共时性事件后篇,gong'shi'xing'shi'jian'hou'pian
共时性事件前篇,gong'shi'xing'shi'jian'qian'pian
公司,gong'si
工藤新一,gong'teng'xin'yi
工藤新一登场,gong'teng'xin'yi'deng'chang
工藤新一纽约事件,gong'teng'xin'yi'niu'yue'shi'jian
工藤新一纽约事件解决篇,gong'teng'xin'yi'niu'yue'shi'jian'jie'jue'pian
工藤新一纽约事件事件篇,gong'teng'xin'yi'niu'yue'shi'jian'shi'jian'pian
工藤新一纽约事件推理篇,gong'teng'xin'yi'niu'yue'shi'jian'tui'li'pian
工藤新一杀人,gong'teng'xin'yi'sha'ren
工藤新一少的冒险后篇,gong'teng'xin'yi'shao'de'mao'xian'hou'pian
工藤新一少的冒险前篇,gong'teng'xin'yi'shao'de'mao'xian'qian'pian
工藤有希子,gong'teng'you'xi'zi
工藤优作,gong'teng'you'zuo
宫野明美,gong'ye'ming'mei
宫野志保,gong'ye'zhi'bao
公寓坠落事件,gong'yu'zhui'luo'shi'jian
公主与龙宫城,gong'zhu'yu'long'gong'cheng
谷川登志夫,gu'chuan'deng'zhi'fu
孤岛的公主与龙宫城解决篇,gu'dao'de'gong'zhu'yu'long'gong'cheng'jie'jue'pian
孤岛的公主与龙宫城事件篇,gu'dao'de'gong'zhu'yu'long'gong'cheng'shi'jian'pian
孤岛的公主与龙宫城追求篇,gu'dao'de'gong'zhu'yu'long'gong'cheng'zhui'qiu'pian
古董品收藏家杀人事件,gu'dong'pin'shou'cang'jia'sha'ren'shi'jian
古装演员杀人事件上集,gu'zhuang'yan'yuan'sha'ren'shi'jian'shang'ji
古装演员杀人事件下集,gu'zhuang'yan'yuan'sha'ren'shi'jian'xia'ji
怪盗基德,guai'dao'ji'de
怪盗基德的惊异空中步行,guai'dao'ji'de'de'jing'yi'kong'zhong'bu'xing
怪人二百面相,guai'ren'er'bai'mian'xiang
怪人循规蹈矩的男人,guai'ren'xun'gui'dao'ju'de'nan'ren
怪屋大冒险操纵篇,guai'wu'da'mao'xian'cao'zong'pian
怪屋大冒险封印篇,guai'wu'da'mao'xian'feng'yin'pian
怪屋大冒险解决篇,guai'wu'da'mao'xian'jie'jue'pian
观测星,guan'ce'xing
关东的高中生侦探,guan'dong'de'gao'zhong'sheng'zhen'tan
关西来的线索,guan'xi'lai'de'xian'suo
光天化日下的潜伏,guang'tian'hua'ri'xia'de'qian'fu
广田雅美,guang'tian'ya'mei
诡密的乘客上集,gui'mi'de'cheng'ke'shang'ji
诡密的乘客下集,gui'mi'de'cheng'ke'xia'ji
鬼婆传说杀人事件,gui'po'chuan'shuo'sha'ren'shi'jian
桧山修之,gui'shan'xiu'zhi
鬼丸,gui'wan
鬼屋杀人事件,gui'wu'sha'ren'shi'jian
诡异的五重塔传说上集,gui'yi'de'wu'zhong'ta'chuan'shuo'shang'ji
诡异的五重塔传说下集,gui'yi'de'wu'zhong'ta'chuan'shuo'xia'ji
滚落的轨迹,gun'luo'de'gui'ji
滚筒洗衣机,gun'tong'xi'yi'ji
海上密室,hai'shang'mi'shi
还有半年,hai'you'ban'nian
豪华客轮连续杀人事件上集,hao'hua'ke'lun'lian'xu'sha'ren'shi'jian'shang'ji
豪华客轮连续杀人事件下集,hao'hua'ke'lun'lian'xu'sha'ren'shi'jian'xia'ji
豪斯登堡的新娘,hao'si'deng'bao'de'xin'niang
好运男子的历险,hao'yun'nan'zi'de'li'xian
和服部平次在一起的天,he'fu'bu'ping'ci'zai'yi'qi'de'tian
黑暗冲击组织魔爪伸来的瞬间,hei'an'chong'ji'zu'zhi'mo'zhao'shen'lai'de'shun'jian
黑暗的足迹,hei'an'de'zu'ji
黑暗是死亡陷阱之门,hei'an'shi'si'wang'xian'jing'zhi'men
黑暗之中,hei'an'zhi'zhong
黑暗之中的死角上集,hei'an'zhi'zhong'de'si'jiao'shang'ji
黑暗之中的死角下集,hei'an'zhi'zhong'de'si'jiao'xia'ji
黑暗中的无声杀人,hei'an'zhong'de'wu'sheng'sha'ren
黑暗组织的影子谜样的高额报酬,hei'an'zu'zhi'de'ying'zi'mi'yang'de'gao'e'bao'chou
黑暗组织的影子奇妙的照明,hei'an'zu'zhi'de'ying'zi'qi'miao'de'zhao'ming
黑暗组织的影子幼的目击者,hei'an'zu'zhi'de'ying'zi'you'de'mu'ji'zhe
黑暗组织的影子珍珠的流星,hei'an'zu'zhi'de'ying'zi'zhen'zhu'de'liu'xing
黑暗组织亿抢劫事件,hei'an'zu'zhi'yi'qiang'jie'shi'jian
黑白君,hei'bai'jun
黑川智花,hei'chuan'zhi'hua
黑色光线之谜,hei'se'guang'xian'zhi'mi
黑色星期五,hei'se'xing'qi'wu
黑色照片的去向后篇,hei'se'zhao'pian'de'qu'xiang'hou'pian
黑色照片的去向前篇,hei'se'zhao'pian'de'qu'xiang'qian'pian
黑夜的怪男爵杀人事件解决篇,hei'ye'de'guai'nan'jue'sha'ren'shi'jian'jie'jue'pian
黑夜的怪男爵杀人事件事件篇,hei'ye'de'guai'nan'jue'sha'ren'shi'jian'shi'jian'pian
黑夜的怪男爵杀人事件疑惑篇,hei'ye'de'guai'nan'jue'sha'ren'shi'jian'yi'huo'pian
黑衣组织,hei'yi'zu'zhi
黑羽盗一,hei'yu'dao'yi
黑羽快斗,hei'yu'kuai'dou
横沟参悟,heng'gou'can'wu
横沟重悟,heng'gou'zhong'wu
红白黄色,hong'bai'huang'se
红白黄色与侦探团,hong'bai'huang'se'yu'zhen'tan'tuan
红鬼村火祭杀人事件,hong'gui'cun'huo'ji'sha'ren'shi'jian
红莲,hong'lian
红牌,hong'pai
红色的杀机夜想曲上集,hong'se'de'sha'ji'ye'xiang'qu'shang'ji
红色的杀机夜想曲下集,hong'se'de'sha'ji'ye'xiang'qu'xia'ji
红色的痣,hong'se'de'zhi
红色陷阱,hong'se'xian'jing
红与黑的碰撞昏睡,hong'yu'hei'de'peng'zhuang'hun'shui
红与黑的碰撞搅乱,hong'yu'hei'de'peng'zhuang'jiao'luan
红与黑的碰撞洁白,hong'yu'hei'de'peng'zhuang'jie'bai
红与黑的碰撞绝叫,hong'yu'hei'de'peng'zhuang'jue'jiao
红与黑的碰撞决死,hong'yu'hei'de'peng'zhuang'jue'si
红与黑的碰撞觉醒,hong'yu'hei'de'peng'zhuang'jue'xing
红与黑的碰撞开端,hong'yu'hei'de'peng'zhuang'kai'duan
红与黑的碰撞冥土,hong'yu'hei'de'peng'zhuang'ming'tu
红与黑的碰撞侵入,hong'yu'hei'de'peng'zhuang'qin'ru
红与黑的碰撞伪装,hong'yu'hei'de'peng'zhuang'wei'zhuang
红与黑的碰撞嫌疑,hong'yu'hei'de'peng'zhuang'xian'yi
红与黑的碰撞血缘,hong'yu'hei'de'peng'zhuang'xue'yuan
红与黑的碰撞殉职,hong'yu'hei'de'peng'zhuang'xun'zhi
红与黑的碰撞遗言,hong'yu'hei'de'peng'zhuang'yi'yan
呼叫救护车的男子,hu'jiao'jiu'hu'che'de'nan'zi
花的生命,hua'de'sheng'ming
花香杀人事件,hua'xiang'sha'ren'shi'jian
滑雪别墅杀人事件上集,hua'xue'bie'shu'sha'ren'shi'jian'shang'ji
滑雪别墅杀人事件下集,hua'xue'bie'shu'sha'ren'shi'jian'xia'ji
怀古饭店的神秘事件,huai'gu'fan'dian'de'shen'mi'shi'jian
幻想曲,huan'xiang'qu
黄色不在场证明,huang'se'bu'zai'chang'zheng'ming
荒唐的作战,huang'tang'de'zuo'zhan
回忆的场所,hui'yi'de'chang'suo
回忆的网球场,hui'yi'de'wang'qiu'chang
灰原哀,hui'yuan'ai
灰原哀的决定,hui'yuan'ai'de'jue'ding
混合的诡计,hun'he'de'gui'ji
婚礼大战,hun'li'da'zhan
婚礼现场的恐慌,hun'li'xian'chang'de'kong'huang
火焰中的红马解决篇,huo'yan'zhong'de'hong'ma'jie'jue'pian
火焰中的红马事件篇,huo'yan'zhong'de'hong'ma'shi'jian'pian
火焰中的红马搜索篇,huo'yan'zhong'de'hong'ma'sou'suo'pian
火种,huo'zhong
基德与水晶之母,ji'de'yu'shui'jing'zhi'mu
急忙掩饰的忽略上集,ji'mang'yan'shi'de'hu'lue'shang'ji
急忙掩饰的忽略下集,ji'mang'yan'shi'de'hu'lue'xia'ji
即时分钟,ji'shi'fen'zhong
计算机杀人事件,ji'suan'ji'sha'ren'shi'jian
吉田步美,ji'tian'bu'mei
极限赛车表演,ji'xian'sai'che'biao'yan
即兴曲,ji'xing'qu
记忆中的场所,ji'yi'zhong'de'chang'suo
假面超人录音卡,jia'mian'chao'ren'lu'yin'ka
假面超人杀人事件,jia'mian'chao'ren'sha'ren'shi'jian
假面下的真相,jia'mian'xia'de'zhen'xiang
假球迷,jia'qiu'mi
加油园子,jia'you'yuan'zi
坚不可摧的雪人后篇,jian'bu'ke'cui'de'xue'ren'hou'pian
坚不可摧的雪人前篇,jian'bu'ke'cui'de'xue'ren'qian'pian
坚强的名侦探们,jian'qiang'de'ming'zhen'tan'men
健身俱乐部杀人事件,jian'shen'ju'le'bu'sha'ren'shi'jian
江户川柯南诱拐事件,jiang'hu'chuan'ke'nan'you'guai'shi'jian
降雪之夜的恐怖传说上集,jiang'xue'zhi'ye'de'kong'bu'chuan'shuo'shang'ji
降雪之夜的恐怖传说下集,jiang'xue'zhi'ye'de'kong'bu'chuan'shuo'xia'ji
脚力增强鞋,jiao'li'zeng'qiang'xie
脚印在哪里,jiao'yin'zai'na'li
姐弟,jie'di
结婚前夕密室事件上集,jie'hun'qian'xi'mi'shi'shi'jian'shang'ji
结婚前夕密室事件下集,jie'hun'qian'xi'mi'shi'shi'jian'xia'ji
解救,jie'jiu
解开个数字之谜,jie'kai'ge'shu'zi'zhi'mi
解开锁定,jie'kai'suo'ding
金比罗剧院的怪人,jin'bi'luo'ju'yuan'de'guai'ren
金苹果,jin'ping'guo
紧迫的联谊会,jin'po'de'lian'yi'hui
金融公司社长杀人事件,jin'rong'gong'si'she'zhang'sha'ren'shi'jian
金色,jin'se
警察手册丢失事件,jing'cha'shou'ce'diu'shi'shi'jian
惊愕,jing'e
警官的推理,jing'guan'de'tui'li
竞技场无差别胁迫事件上集,jing'ji'chang'wu'cha'bie'xie'po'shi'jian'shang'ji
竞技场无差别胁迫事件下集,jing'ji'chang'wu'cha'bie'xie'po'shi'jian'xia'ji
京极真,jing'ji'zhen
井上和彦,jing'shang'he'yan
镜子中的真相,jing'zi'zhong'de'zhen'xiang
巨毒蜘蛛的陷阱,ju'du'zhi'zhu'de'xian'jing
聚集,ju'ji
聚焦侦探团的取材后篇,ju'jiao'zhen'tan'tuan'de'qu'cai'hou'pian
聚焦侦探团的取材前篇,ju'jiao'zhen'tan'tuan'de'qu'cai'qian'pian
崛川亮,jue'chuan'liang
绝海的名侦探,jue'hai'de'ming'zhen'tan
咖啡厅卡车突然撞入事件,ka'fei'ting'ka'che'tu'ran'zhuang'ru'shi'jian
咖啡厅杀人事件,ka'fei'ting'sha'ren'shi'jian
卡迈尔的过去,ka'mai'er'de'guo'qu
开放的密室,kai'fang'de'mi'shi
铠甲武士,kai'jia'wu'shi
开始调查,kai'shi'diao'cha
看不见的恐怖,kan'bu'jian'de'kong'bu
看不见的嫌疑犯后篇,kan'bu'jian'de'xian'yi'fan'hou'pian
看不见的嫌疑犯前篇,kan'bu'jian'de'xian'yi'fan'qian'pian
看不见的凶器小兰的初次推理,kan'bu'jian'de'xiong'qi'xiao'lan'de'chu'ci'tui'li
柯哀,ke'ai
科恩,ke'en
克里斯,ke'li'si
柯南,ke'nan
柯南和平次的推理魔术公馆篇,ke'nan'he'ping'ci'de'tui'li'mo'shu'gong'guan'pian
柯南和平次的推理魔术解决篇,ke'nan'he'ping'ci'de'tui'li'mo'shu'jie'jue'pian
柯南和平次的推理魔术装置篇,ke'nan'he'ping'ci'de'tui'li'mo'shu'zhuang'zhi'pian
柯南平次与消失的少年,ke'nan'ping'ci'yu'xiao'shi'de'shao'nian
柯南奇怪的孩子,ke'nan'qi'guai'de'hai'zi
可疑的球迷,ke'yi'de'qiu'mi
可遇见的码头惨剧后篇,ke'yu'jian'de'ma'tou'can'ju'hou'pian
可遇见的码头惨剧前篇,ke'yu'jian'de'ma'tou'can'ju'qian'pian
恐怖的登山杀人事件上集,kong'bu'de'deng'shan'sha'ren'shi'jian'shang'ji
恐怖的登山杀人事件下集,kong'bu'de'deng'shan'sha'ren'shi'jian'xia'ji
恐怖的女人,kong'bu'de'nv'ren
恐怖的敲门声,kong'bu'de'qiao'men'sheng
恐怖降临,kong'bu'jiang'lin
空降的尸体,kong'jiang'de'shi'ti
空中掉下的人,kong'zhong'diao'xia'de'ren
空中密室,kong'zhong'mi'shi
口罩型变声器,kou'zhao'xing'bian'sheng'qi
苦的真实,ku'de'zhen'shi
堀田三兄弟杀人事件,ku'tian'san'xiong'di'sha'ren'shi'jian
堀秀行,ku'xiu'xing
堀之纪,ku'zhi'ji
狂想曲,kuang'xiang'qu
