安大西门,an'da'xi'men
绿海商务学院,lv'hai'shang'wu'xue'yuan
旅游汽车站,lv'you'qi'che'zhan
曼迪新集团,man'di'xin'ji'tuan
梅兰,mei'lan
煤气制气厂,mei'qi'zhi'qi'chang
煤炭设计院,mei'tan'she'ji'yuan
蒙城路桥,meng'cheng'lu'qiao
梦园小区,meng'yuan'xiao'qu
民航宿舍,min'hang'su'she
民主党派办公楼,min'zhu'dang'pai'ban'gong'lou
明珠广场,ming'zhu'guang'chang
南岗村,nan'gang'cun
南国花园,nan'guo'hua'yuan
南门换乘中心,nan'men'huan'cheng'zhong'xin
南七里站,nan'qi'li'zhan
南三十岗,nan'san'shi'gang
南新庄,nan'xin'zhuang
宁国路,ning'guo'lu
宁国路菜场,ning'guo'lu'cai'chang
农场,nong'chang
农业示范园,nong'ye'shi'fan'yuan
派河大桥,pai'he'da'qiao
炮院靶场,pao'yuan'ba'chang
彭大郢,peng'da'ying
淠河路,pi'he'lu
平塘站,ping'tang'zhan
汽车东站,qi'che'dong'zhan
七公里,qi'gong'li
七里塘,qi'li'tang
七里塘镇,qi'li'tang'zhen
祁圣路口,qi'sheng'lu'kou
钱小店,qian'xiao'dian
桥田岗,qiao'tian'gang
轻机厂,qing'ji'chang
青年北路,qing'nian'bei'lu
青年路口,qing'nian'lu'kou
青史站,qing'shi'zhan
青阳路,qing'yang'lu
阮小郢,ruan'xiao'ying
三里街,san'li'jie
三十二中,san'shi'er'zhong
三十六中,san'shi'liu'zhong
三十头乡政府,san'shi'tou'xiang'zheng'fu
三十头医院,san'shi'tou'yi'yuan
三十中,san'shi'zhong
三孝口,san'xiao'kou
三元开发区,san'yuan'kai'fa'qu
上小路口,shang'xiao'lu'kou
邵大郢,shao'da'ying
沈大坝,shen'da'ba
沈河,shen'he
盛达站,sheng'da'zhan
胜利北路,sheng'li'bei'lu
省立儿童医院,sheng'li'er'tong'yi'yuan
胜利广场,sheng'li'guang'chang
省立新安医院,sheng'li'xin'an'yi'yuan
省旅游学校,sheng'lv'you'xue'xiao
省农机校,sheng'nong'ji'xiao
省人大,sheng'ren'da
省医科大新区,sheng'yi'ke'da'xin'qu
省中医院,sheng'zhong'yi'yuan
十八岗,shi'ba'gang
市城建医院,shi'cheng'jian'yi'yuan
市二院,shi'er'yuan
师范附小,shi'fan'fu'xiao
市府广场,shi'fu'guang'chang
市府广场枢纽站,shi'fu'guang'chang'shu'niu'zhan
世纪阳光花园,shi'ji'yang'guang'hua'yuan
十里庙,shi'li'miao
市委党校,shi'wei'dang'xiao
十五里河,shi'wu'li'he
十一中,shi'yi'zhong
石油库,shi'you'ku
市政务办公区,shi'zheng'wu'ban'gong'qu
舒大郢,shu'da'ying
曙光新村,shu'guang'xin'cun
曙光影院,shu'guang'ying'yuan
蜀山公园管理处,shu'shan'gong'yuan'guan'li'chu
蜀山区,shu'shan'qu
蜀山森林公园,shu'shan'sen'lin'gong'yuan
双岗,shuang'gang
双河村,shuang'he'cun
双井,shuang'jing
四牌楼,si'pai'lou
四十六中,si'shi'liu'zhong
四十铺,si'shi'pu
宿松路,su'song'lu
太宁路口,tai'ning'lu'kou
探矿厂,tan'kuang'chang
塘拐,tang'guai
桃花源,tao'hua'yuan
天都路,tian'du'lu
天锦路,tian'jin'lu
铁四局,tie'si'ju
桐城北路,tong'cheng'bei'lu
桐城路,tong'cheng'lu
通机所,tong'ji'suo
铜陵北路,tong'ling'bei'lu
铜陵新村,tong'ling'xin'cun
屯溪路,tun'xi'lu
外经大厦,wai'jing'da'sha
万大郢,wan'da'ying
皖江厂,wan'jiang'chang
望城店,wang'cheng'dian
王岗,wang'gang
王拐岗,wang'guai'gang
望湖北路,wang'hu'bei'lu
望湖南路,wang'hu'nan'lu
王老家,wang'lao'jia
望塘,wang'tang
王卫,wang'wei
王下份,wang'xia'fen
卫材总厂,wei'cai'zong'chang
卫岗,wei'gang
卫楼,wei'lou
卫塘,wei'tang
卫田村,wei'tian'cun
卫星社区,wei'xing'she'qu
吴大郢,wu'da'ying
芜湖路,wu'hu'lu
五里冲,wu'li'chong
五里村,wu'li'cun
五里墩,wu'li'dun
五里井,wu'li'jing
五十四中,wu'shi'si'zhong
邬郢,wu'ying
五爪塘,wu'zhao'tang
西门换乘中心,xi'men'huan'cheng'zhong'xin
习友村,xi'you'cun
下分许,xia'fen'xu
香樟站,xiang'zhang'zhan
小板桥,xiao'ban'qiao
消防巷,xiao'fang'xiang
小庙,xiao'miao
小蜀山,xiao'shu'shan
孝肃桥,xiao'su'qiao
晓星集,xiao'xing'ji
逍遥津,xiao'yao'jin
小余岗,xiao'yu'gang
晓珠,xiao'zhu
谢岗,xie'gang
新城花园,xin'cheng'hua'yuan
新大桥,xin'da'qiao
新店,xin'dian
新华街,xin'hua'jie
新加坡花园城,xin'jia'po'hua'yuan'cheng
新年村,xin'nian'cun
信旺华府骏苑,xin'wang'hua'fu'jun'yuan
新亚汽车站,xin'ya'qi'che'zhan
新庄,xin'zhuang
杏花村,xing'hua'cun
兴华苑,xing'hua'yuan
杏林小区,xing'lin'xiao'qu
秀水花园,xiu'shui'hua'yuan
薛河,xue'he
牙膏厂,ya'gao'chang
杨岗,yang'gang
养鸡场,yang'ji'chang
杨老岗,yang'lao'gang
姚公庙,yao'gong'miao
瑶海家具大市场,yao'hai'jia'ju'da'shi'chang
瑶海区,yao'hai'qu
仪表厂,yi'biao'chang
义城,yi'cheng
义城农贸市场,yi'cheng'nong'mao'shi'chang
义城小学,yi'cheng'xiao'xue
一里井,yi'li'jing
义兴中心小学,yi'xing'zhong'xin'xiao'xue
一中,yi'zhong
裕丰花市,yu'feng'hua'shi
余郢,yu'ying
院塘,yuan'tang
元一时代广场,yuan'yi'shi'dai'guang'chang
跃进村,yue'jin'cun
运管处,yun'guan'chu
站前路,zhan'qian'lu
站全路口,zhan'quan'lu'kou
张大慎,zhang'da'shen
张洼,zhang'wa
张小郢,zhang'xiao'ying
郑河,zheng'he
中国科技大学,zhong'guo'ke'ji'da'xue
中绿广场,zhong'lv'guang'chang
轴承厂,zhou'cheng'chang
周谷堆,zhou'gu'dui
紫金路口,zi'jin'lu'kou
紫莲路口,zi'lian'lu'kou
紫青路口,zi'qing'lu'kou
自行车厂,zi'xing'che'chang
总参干休所,zong'can'gan'xiu'suo
