暗袋,an'dai
杜永涛,du'yong'tao
短接,duan'jie
短路,duan'lu
断路器,duan'lu'qi
断路器动特性测试仪,duan'lu'qi'dong'te'xing'ce'shi'yi
段万龙,duan'wan'long
段文鹏,duan'wen'peng
对地,dui'di
多功能校准仪,duo'gong'neng'jiao'zhun'yi
多用插座,duo'yong'cha'zuo
额定电流,e'ding'dian'liu
额定电压,e'ding'dian'ya
额定容量,e'ding'rong'liang
鳄鱼夹,e'yu'jia
二次侧,er'ci'ce
二次回路,er'ci'hui'lu
二次设备,er'ci'she'bei
二极管,er'ji'guan
二相插头,er'xiang'cha'tou
二氧化碳压力表,er'yang'hua'tan'ya'li'biao
发电机,fa'dian'ji
发放,fa'fang
帆布手套,fan'bu'shou'tao
反差增强剂,fan'cha'zeng'qiang'ji
樊鹏飞,fan'peng'fei
反时限,fan'shi'xian
防尘口罩,fang'chen'kou'zhao
放电,fang'dian
方乃林,fang'nai'lin
方强,fang'qiang
非电量,fei'dian'liang
分接,fen'jie
分裂,fen'lie
分闸,fen'zha
风量仪,feng'liang'yi
伏安表,fu'an'biao
伏安特性,fu'an'te'xing
负荷开关,fu'he'kai'guan
副经理,fu'jing'li
符蕾,fu'lei
富明威胶片,fu'ming'wei'jiao'pian
符双来,fu'shuang'lai
富希来,fu'xi'lai
复印件,fu'yin'jian
付智,fu'zhi
副主任,fu'zhu'ren
副总经理,fu'zong'jing'li
感抗,gan'kang
干式变压器,gan'shi'bian'ya'qi
感性负载,gan'xing'fu'zai
杠杆千分表,gang'gan'qian'fen'biao
钢丝钳,gang'si'qian
高广徽,gao'guang'hui
高级工程师,gao'ji'gong'cheng'shi
高级经济师,gao'ji'jing'ji'shi
高级会计师,gao'ji'kuai'ji'shi
高级政工师,gao'ji'zheng'gong'shi
高强螺栓检测仪,gao'qiang'luo'shuan'jian'ce'yi
高小宝,gao'xiao'bao
高压,gao'ya
高压开关测试仪,gao'ya'kai'guan'ce'shi'yi
高压开关机械特性,gao'ya'kai'guan'ji'xie'te'xing
高压熔断器,gao'ya'rong'duan'qi
高优红,gao'you'hong
高志友,gao'zhi'you
隔离开关,ge'li'kai'guan
个人报警仪,ge'ren'bao'jing'yi
工程技术质量部,gong'cheng'ji'shu'zhi'liang'bu
工程师,gong'cheng'shi
工会,gong'hui
工具包,gong'ju'bao
功率,gong'lv
功率因数,gong'lv'yin'shu
公司,gong'si
工作,gong'zuo
工作票,gong'zuo'piao
工作位置,gong'zuo'wei'zhi
管理,guan'li
观片灯,guan'pian'deng
光谱分析仪,guang'pu'fen'xi'yi
过程校验仪,guo'cheng'jiao'yan'yi
过电流,guo'dian'liu
过电压,guo'dian'ya
过负荷,guo'fu'he
郭海兵,guo'hai'bing
过流,guo'liu
焊接检验尺,han'jie'jian'yan'chi
焊枪,han'qiang
焊丝,han'si
合环,he'huan
核相,he'xiang
核相器,he'xiang'qi
合约部,he'yue'bu
合闸,he'zha
黑白密度计,hei'bai'mi'du'ji
黑白密度片,hei'bai'mi'du'pian
恒速驱动装置,heng'su'qu'dong'zhuang'zhi
后备用,hou'bei'yong
胡斌定,hu'bin'ding
互感器,hu'gan'qi
互感器综合测试仪,hu'gan'qi'zong'he'ce'shi'yi
胡四平,hu'si'ping
胡西湖,hu'xi'hu
胡贻保,hu'yi'bao
胡移山,hu'yi'shan
花星,hua'xing
宦磊,huan'lei
黄斌,huang'bin
黄德海,huang'de'hai
黄洁,huang'jie
黄腊带,huang'la'dai
黄萍,huang'ping
黄玮,huang'wei
黄霞,huang'xia
黄银,huang'yin
回路电阻测试仪,hui'lu'dian'zu'ce'shi'yi
回收,hui'shou
活动扳手,huo'dong'ban'shou
基本工资,ji'ben'gong'zi
击穿电压,ji'chuan'dian'ya
继电保护,ji'dian'bao'hu
继电器,ji'dian'qi
极化指数,ji'hua'zhi'shu
计量检定员证,ji'liang'jian'ding'yuan'zheng
记录仪,ji'lu'yi
记录纸,ji'lu'zhi
技术负责人,ji'shu'fu'ze'ren
纪书宁,ji'shu'ning
贾洪冰,jia'hong'bing
贾杰,jia'jie
加热棒,jia're'bang
检测,jian'ce
检测报告,jian'ce'bao'gao
检测员,jian'ce'yuan
建造师,jian'zao'shi
尖嘴钳,jian'zui'qian
姜本领,jiang'ben'ling
姜波,jiang'bo
姜超,jiang'chao
姜庚,jiang'geng
奖金,jiang'jin
蒋黎明,jiang'li'ming
姜涛,jiang'tao
焦冬,jiao'dong
交接试验标准,jiao'jie'shi'yan'biao'zhun
交流电,jiao'liu'dian
交流电动机,jiao'liu'dian'dong'ji
交流电流表,jiao'liu'dian'liu'biao
交流耐压,jiao'liu'nai'ya
交直流微安表,jiao'zhi'liu'wei'an'biao
接触器,jie'chu'qi
接地电阻测量仪,jie'di'dian'zu'ce'liang'yi
接地电阻仪检定装置,jie'di'dian'zu'yi'jian'ding'zhuang'zhi
接地极,jie'di'ji
接地网,jie'di'wang
接地线,jie'di'xian
接地装置,jie'di'zhuang'zhi
紧固器,jin'gu'qi
金红芳,jin'hong'fang
近后备保护,jin'hou'bei'bao'hu
金伟,jin'wei
进线柜,jin'xian'gui
经济师,jing'ji'shi
警戒绳,jing'jie'sheng
经理,jing'li
精密电流互感器,jing'mi'dian'liu'hu'gan'qi
精密数字压力表,jing'mi'shu'zi'ya'li'biao
精密压力表,jing'mi'ya'li'biao
警示标牌,jing'shi'biao'pai
静态应变测试仪,jing'tai'ying'bian'ce'shi'yi
卷尺,juan'chi
绝缘,jue'yuan
绝缘电阻表,jue'yuan'dian'zu'biao
绝缘电阻表标准高阻箱,jue'yuan'dian'zu'biao'biao'zhun'gao'zu'xiang
绝缘胶布,jue'yuan'jiao'bu
绝缘油,jue'yuan'you
绝缘子,jue'yuan'zi
开关特性测试仪,kai'guan'te'xing'ce'shi'yi
抗干扰电桥,kang'gan'rao'dian'qiao
抗干扰介质,kang'gan'rao'jie'zhi
抗滑移系数,kang'hua'yi'xi'shu
康彦军,kang'yan'jun
考勤,kao'qin
柯达胶片,ke'da'jiao'pian
柯用星,ke'yong'xing
孔元元,kong'yuan'yuan
空载,kong'zai
跨步电压,kua'bu'dian'ya
会计师,kuai'ji'shi
馈线柜,kui'xian'gui
垃圾袋,la'ji'dai
浪涌保护器,lang'yong'bao'hu'qi
劳动合同,lao'dong'he'tong
劳资,lao'zi
冷备用,leng'bei'yong
冷却方式,leng'que'fang'shi
李波,li'bo
李超峰,li'chao'feng
李诚益,li'cheng'yi
李矗,li'chu
励磁机,li'ci'ji
李峰,li'feng
李桂红,li'gui'hong
李华,li'hua
理化,li'hua
李华杰,li'hua'jie
李磊,li'lei
李林,li'lin
李楠,li'nan
李强,li'qiang
李生江,li'sheng'jiang
李松杰,li'song'jie
李松茂,li'song'mao
李雪莲,li'xue'lian
李杨,li'yang
李尧,li'yao
粒子计数器,li'zi'ji'shu'qi
梁刚,liang'gang
梁剑,liang'jian
量块,liang'kuai
量块夹,liang'kuai'jia
梁旭伟,liang'xu'wei
林从洲,lin'cong'zhou
林中,lin'zhong
林子辉,lin'zi'hui
灵敏度试片,ling'min'du'shi'pian
零序互感器,ling'xu'hu'gan'qi
刘超,liu'chao
刘大永,liu'da'yong
六氟化硫断路器,liu'fu'hua'liu'duan'lu'qi
刘国华,liu'guo'hua
刘汉云,liu'han'yun
刘红,liu'hong
刘建新,liu'jian'xin
刘瑾,liu'jin
刘金良,liu'jin'liang
刘金平,liu'jin'ping
刘军,liu'jun
刘淑娟,liu'shu'juan
刘祥乐,liu'xiang'le
刘永宏,liu'yong'hong
刘咏梅,liu'yong'mei
漏电开关,lou'dian'kai'guan
陆雁齐,lu'yan'qi
罗凯,luo'kai
螺丝刀,luo'si'dao
吕文,lv'wen
马班,ma'ban
马达保护器,ma'da'bao'hu'qi
马强华,ma'qiang'hua
马伟强,ma'wei'qiang
马显君,ma'xian'jun
马哲浩,ma'zhe'hao
毛发式温湿度表,mao'fa'shi'wen'shi'du'biao
毛军,mao'jun
茆乐斌,mao'le'bin
梅晟瑕,mei'sheng'xia
孟军,meng'jun
秒表,miao'biao
苗中州,miao'zhong'zhou
灭磁,mie'ci
铭牌,ming'pai
母联柜,mu'lian'gui
母排,mu'pai
母线,mu'xian
耐压测试仪,nai'ya'ce'shi'yi
内六角扳手,nei'liu'jiao'ban'shou
逆变,ni'bian
倪建成,ni'jian'cheng
盘号,pan'hao
潘银,pan'yin
庞玉友,pang'yu'you
配电室,pei'dian'shi
配电箱,pei'dian'xiang
喷壶,pen'hu
频率,pin'lv
屏蔽层,ping'bi'ceng
平衡误差检具,ping'heng'wu'cha'jian'ju
平行平晶,ping'xing'ping'jing
启动电流,qi'dong'dian'liu
启辉器,qi'hui'qi
祁路平,qi'lu'ping
乞晓霞,qi'xiao'xia
前备用,qian'bei'yong
千分表检定仪,qian'fen'biao'jian'ding'yi
钳形表,qian'xing'biao
钳形接地电阻仪,qian'xing'jie'di'dian'zu'yi
铅字,qian'zi
乔宇轩,qiao'yu'xuan
轻瓦斯,qing'wa'si
全罗节能灯管,quan'luo'jie'neng'deng'guan
全数字超声波探伤仪,quan'shu'zi'chao'sheng'bo'tan'shang'yi
全自动,quan'zi'dong
全自动变比组别测试仪,quan'zi'dong'bian'bi'zu'bie'ce'shi'yi
绕组,rao'zu
热备用,re'bei'yong
热电偶,re'dian'ou
热电偶检定炉,re'dian'ou'jian'ding'lu
热继电器,re'ji'dian'qi
热敏风速仪,re'min'feng'su'yi
热线式风速仪,re'xian'shi'feng'su'yi
任怀玉,ren'huai'yu
人力资源,ren'li'zi'yuan
人力资源部,ren'li'zi'yuan'bu
人员资质,ren'yuan'zi'zhi
熔断器,rong'duan'qi
容抗,rong'kang
塞尺,sai'chi
三角形接法,san'jiao'xing'jie'fa
三项电能表检定装置,san'xiang'dian'neng'biao'jian'ding'zhuang'zhi
三相四线有功电能表,san'xiang'si'xian'you'gong'dian'neng'biao
扫把,sao'ba
扫描件,sao'miao'jian
射线底片袋,she'xian'di'pian'dai
渗透剂,shen'tou'ji
声级计,sheng'ji'ji
石承业,shi'cheng'ye
石峰,shi'feng
史继鹏,shi'ji'peng
时间继电器,shi'jian'ji'dian'qi
试验位置,shi'yan'wei'zhi
试验员,shi'yan'yuan
事业部,shi'ye'bu
视在功率,shi'zai'gong'lv
手电筒,shou'dian'tong
书记,shu'ji
数显扭矩扳子,shu'xian'niu'ju'ban'zi
数显千分尺,shu'xian'qian'fen'chi
数字超声波探伤仪,shu'zi'chao'sheng'bo'tan'shang'yi
数字高压绝缘电阻表,shu'zi'gao'ya'jue'yuan'dian'zu'biao
数字光电转速表,shu'zi'guang'dian'zhuan'su'biao
数字接地电阻测量仪,shu'zi'jie'di'dian'zu'ce'liang'yi
数字接地电阻测试仪,shu'zi'jie'di'dian'zu'ce'shi'yi
数字绝缘电阻表,shu'zi'jue'yuan'dian'zu'biao
数字钳型电流表,shu'zi'qian'xing'dian'liu'biao
数字式微压计,shu'zi'shi'wei'ya'ji
数字万用表,shu'zi'wan'yong'biao
数字温度计,shu'zi'wen'du'ji
数字温湿度计,shu'zi'wen'shi'du'ji
数字压力表,shu'zi'ya'li'biao
数字压力校验仪,shu'zi'ya'li'jiao'yan'yi
数字照度计,shu'zi'zhao'du'ji
数字转速表,shu'zi'zhuan'su'biao
双晶探头线,shuang'jing'tan'tou'xian
水瓶,shui'ping
宋啟华,song'qi'hua
速断,su'duan
塑料簸箕,su'liao'bo'ji
塑料盆,su'liao'pen
塑料桶,su'liao'tong
孙长鹏,sun'chang'peng
孙冠群,sun'guan'qun
损耗测试仪,sun'hao'ce'shi'yi
孙威,sun'wei
孙玮,sun'wei
台秤,tai'cheng
谭莉,tan'li
探伤剂,tan'shang'ji
探头,tan'tou
探头线,tan'tou'xian
套管,tao'guan
提升力试块,ti'sheng'li'shi'kuai
调试,tiao'shi
调试员,tiao'shi'yuan
调相机,tiao'xiang'ji
跳闸,tiao'zha
贴片框,tie'pian'kuang
铁锹,tie'qiao
同步电动机,tong'bu'dian'dong'ji
同步发电机,tong'bu'fa'dian'ji
投影仪,tou'ying'yi
涂层测厚仪,tu'ceng'ce'hou'yi
拖把,tuo'ba
脱水剂,tuo'shui'ji
外径千分尺,wai'jing'qian'fen'chi
万能材料试验机,wan'neng'cai'liao'shi'yan'ji
万用表,wan'yong'biao
王国刚,wang'guo'gang
王国辉,wang'guo'hui
王国鹏,wang'guo'peng
王国伟,wang'guo'wei
王海,wang'hai
王海浪,wang'hai'lang
王海平,wang'hai'ping
王开红,wang'kai'hong
汪开祥,wang'kai'xiang
王明星,wang'ming'xing
王朋朋,wang'peng'peng
王庆祥,wang'qing'xiang
王小龙,wang'xiao'long
王新兵,wang'xin'bing
王雪刚,wang'xue'gang
王燕松,wang'yan'song
王玉宝,wang'yu'bao
王振江,wang'zhen'jiang
王竹娟,wang'zhu'juan
微机继电保护系统,wei'ji'ji'dian'bao'hu'xi'tong
温度计,wen'du'ji
文件,wen'jian
武飞,wu'fei
无功功率,wu'gong'gong'lv
吴军,wu'jun
吴丽娟,wu'li'juan
吴攀峰,wu'pan'feng
无损检测,wu'sun'jian'ce
武子昂,wu'zi'ang
吸收比,xi'shou'bi
夏嘉骏,xia'jia'jun
线电压,xian'dian'ya
线圈,xian'quan
线手套,xian'shou'tao
纤维素,xian'wei'su
显像剂,xian'xiang'ji
显影粉,xian'ying'fen
相电压,xiang'dian'ya
橡胶管,xiang'jiao'guan
项目负责人,xiang'mu'fu'ze'ren
项目经理,xiang'mu'jing'li
相位,xiang'wei
相序,xiang'xu
像质计,xiang'zhi'ji
消弧,xiao'hu
小罗节能灯,xiao'luo'jie'neng'deng
小母线,xiao'mu'xian
泄漏电流,xie'lou'dian'liu
行程开关,xing'cheng'kai'guan
邢丽娟,xing'li'juan
邢琪,xing'qi
星形接法,xing'xing'jie'fa
徐彬彬,xu'bin'bin
徐海湾,xu'hai'wan
许俊峰,xu'jun'feng
徐少波,xu'shao'bo
许星,xu'xing
胥远庆,xu'yuan'qing
压力校验仪,ya'li'jiao'yan'yi
压力模块,ya'li'mo'kuai
压力释放,ya'li'shi'fang
氩气压力表,ya'qi'ya'li'biao
闫聪,yan'cong
闫利民,yan'li'min
延时开关,yan'shi'kai'guan
岩石平板,yan'shi'ping'ban
杨春波,yang'chun'bo
杨大征,yang'da'zheng
杨贵,yang'gui
杨红心,yang'hong'xin
杨建斌,yang'jian'bin
杨莉,yang'li
氧压表,yang'ya'biao
杨志,yang'zhi
叶轮式风速仪,ye'lun'shi'feng'su'yi
业务经理,ye'wu'jing'li
异步电动机,yi'bu'dian'dong'ji
一次侧,yi'ci'ce
一次设备,yi'ci'she'bei
仪用互感器,yi'yong'hu'gan'qi
尹春平,yin'chun'ping
硬度计,ying'du'ji
荧光磁粉,ying'guang'ci'fen
荧光灯,ying'guang'deng
游标卡尺,you'biao'ka'chi
油断路器,you'duan'lu'qi
有功功率,you'gong'gong'lv
游桂祥,you'gui'xiang
油浸式变压器,you'jin'shi'bian'ya'qi
油漆笔,you'qi'bi
油性记号笔,you'xing'ji'hao'bi
于春江,yu'chun'jiang
余国柱,yu'guo'zhu
余炎清,yu'yan'qing
余勇,yu'yong
远红外测温仪,yuan'hong'wai'ce'wen'yi
远后备保护,yuan'hou'bei'bao'hu
袁葵,yuan'kui
袁新忠,yuan'xin'zhong
袁晔,yuan'ye
责任师,ze'ren'shi
增感屏,zeng'gan'ping
曾含森,zeng'han'sen
张地,zhang'di
张福俊,zhang'fu'jun
张贺鑫,zhang'he'xin
张宏,zhang'hong
张建建,zhang'jian'jian
张杰,zhang'jie
张进,zhang'jin
张林,zhang'lin
张宁,zhang'ning
张双,zhang'shuang
张小飞,zhang'xiao'fei
张营,zhang'ying
张友清,zhang'you'qing
张宇,zhang'yu
张曾超,zhang'zeng'chao
赵蕾,zhao'lei
兆欧表,zhao'ou'biao
赵全耀,zhao'quan'yao
赵文辉,zhao'wen'hui
赵奕,zhao'yi
真空断路器,zhen'kong'duan'lu'qi
郑长周,zheng'chang'zhou
整定,zheng'ding
政工师,zheng'gong'shi
整流,zheng'liu
郑孟良,zheng'meng'liang
直读光谱仪,zhi'du'guang'pu'yi
质量负责人,zhi'liang'fu'ze'ren
直流标准电阻,zhi'liu'biao'zhun'dian'zu
直流标准电阻箱,zhi'liu'biao'zhun'dian'zu'xiang
直流电,zhi'liu'dian
直流电动机,zhi'liu'dian'dong'ji
直流电阻,zhi'liu'dian'zu
直流电阻测试仪,zhi'liu'dian'zu'ce'shi'yi
直流电阻速测仪,zhi'liu'dian'zu'su'ce'yi
直流耐压,zhi'liu'nai'ya
直流双臂电桥,zhi'liu'shuang'bi'dian'qiao
智能环境测试仪,zhi'neng'huan'jing'ce'shi'yi
智能回路,zhi'neng'hui'lu
支柱子,zhi'zhu'zi
中间继电器,zhong'jian'ji'dian'qi
中频发电机,zhong'pin'fa'dian'ji
重瓦斯,zhong'wa'si
中性点端子,zhong'xing'dian'duan'zi
中压,zhong'ya
周刚宏,zhou'gang'hong
周家齐,zhou'jia'qi
轴力扭矩检测仪,zhou'li'niu'ju'jian'ce'yi
周明,zhou'ming
周陶,zhou'tao
周万,zhou'wan
周宇,zhou'yu
主保护,zhu'bao'hu
注册,zhu'ce
朱广财,zhu'guang'cai
朱海兵,zhu'hai'bing
朱锦涛,zhu'jin'tao
朱珂珂,zhu'ke'ke
助理工程师,zhu'li'gong'cheng'shi
助理经济师,zhu'li'jing'ji'shi
助理会计师,zhu'li'kuai'ji'shi
助理政工师,zhu'li'zheng'gong'shi
主任,zhu'ren
朱世智,zhu'shi'zhi
转换开关,zhuan'huan'kai'guan
转速,zhuan'su
专用环规,zhuan'yong'huan'gui
转子,zhuan'zi
着色剂,zhuo'se'ji
自动开关,zi'dong'kai'guan
自感,zi'gan
资格证,zi'ge'zheng
资料,zi'liao
紫外辐射照度计,zi'wai'fu'she'zhao'du'ji
总工程师,zong'gong'cheng'shi
综合测试仪,zong'he'ce'shi'yi
综合管理部,zong'he'guan'li'bu
总经济师,zong'jing'ji'shi
总经理,zong'jing'li
总经理助理,zong'jing'li'zhu'li
总会计师,zong'kuai'ji'shi
宗文,zong'wen
邹珏,zou'jue
组别,zu'bie
阻抗,zu'kang
左龙,zuo'long
