爱崩,ai'beng
江南皮革厂,jiang'nan'pi'ge'chang
劲脆防晒霜,jin'cui'fang'shai'shuang
京城四瘫,jing'cheng'si'tan
精分,jing'fen
鲸落,jing'luo
经拿滚,jing'na'gun
镜头僵硬症,jing'tou'jiang'ying'zheng
局座,ju'zuo
绝食男,jue'shi'nan
扛把子,kang'ba'zi
科科,ke'ke
空耳,kong'er
空心病,kong'xin'bing
口红势力,kou'hong'shi'li
口拒体诚,kou'ju'ti'cheng
阔怕,kuo'pa
阔以,kuo'yi
辣耳朵,la'er'duo
辣鸡,la'ji
拉郎配,la'lang'pei
拉尼娜,la'ni'na
辣眼睛,la'yan'jing
兰方人,lan'fang'ren
蓝瘦香菇,lan'shou'xiang'gu
老爹肚,lao'die'du
老翻颠,lao'fan'dian
老九门,lao'jiu'men
老司机,lao'si'ji
厉害了,li'hai'le
李涛,li'tao
梨涡妹妹,li'wo'mei'mei
里约有毒,li'yue'you'du
莲言莲语,lian'yan'lian'yu
量化青年,liang'hua'qing'nian
两米八,liang'mi'ba
良性自虐,liang'xing'zi'nue
撩粉,liao'fen
僚机,liao'ji
尥蹶子,liao'jue'zi
邻居吃花椒,lin'ju'chi'hua'jiao
灵魂画手,ling'hun'hua'shou
凌乱萌,ling'luan'meng
陆垚知马俐,lu'yao'zhi'ma'li
略略略,lue'lue'lue
落差萌,luo'cha'meng
马猴烧酒,ma'hou'shao'jiu
妈觉你冷,ma'jue'ni'leng
马了看,ma'le'kan
玛丽苏,ma'li'su
马男波杰克,ma'nan'bo'jie'ke
马赛克盛会,ma'sai'ke'sheng'hui
漫酒,man'jiu
慢就业,man'jiu'ye
猫饼,mao'bing
猫猫监控,mao'mao'jian'kong
美籍华熊,mei'ji'hua'xiong
米饭党,mi'fan'dang
迷妹,mi'mei
蜜汁微笑,mi'zhi'wei'xiao
蜜汁自信,mi'zhi'zi'xin
明明病,ming'ming'bing
摩卡短波波,mo'ka'duan'bo'bo
墨鲤抄,mo'li'chao
磨人的小妖精,mo'ren'de'xiao'yao'jing
摸头杀,mo'tou'sha
魔性萌,mo'xing'meng
奶奶抱,nai'nai'bao
耐撕,nai'si
南海仲裁,nan'hai'zhong'cai
男男约,nan'nan'yue
脑好望有,nao'hao'wang'you
能者多锅,neng'zhe'duo'guo
妮妲,ni'da
尼奏凯,ni'zou'kai
黏妻族,nian'qi'zu
宁孤生,ning'gu'sheng
妞蜜,niu'mi
暖渣男,nuan'zha'nan
虐狗秀,nue'gou'xiu
拍散拖,pai'san'tuo
胖达,pang'da
皮肤鸦片,pi'fu'ya'pian
噼里啪啦酱,pi'li'pa'la'jiang
乒乒乓乓,ping'ping'pang'pang
气候难民,qi'hou'nan'min
七夕之歌,qi'xi'zhi'ge
钱币眼,qian'bi'yan
潜台词,qian'tai'ci
欠我一个肖奈,qian'wo'yi'ge'xiao'nai
敲级,qiao'ji
轻粉,qing'fen
情深不瘦,qing'shen'bu'shou
青云志,qing'yun'zhi
穷萌,qiong'meng
求心理阴影面积,qiu'xin'li'yin'ying'mian'ji
屈黑,qu'hei
然鹅,ran'e
热射病,re'she'bing
人从众,ren'cong'zhong
人工置顶,ren'gong'zhi'ding
人设崩塌,ren'she'beng'ta
日本眯,ri'ben'mi
萨德,sa'de
三自带,san'zi'dai
丧逼,sang'bi
丧偶式育儿,sang'ou'shi'yu'er
沙币,sha'bi
傻脸,sha'lian
杀时间,sha'shi'jian
沙式料理,sha'shi'liao'li
杀熟,sha'shu
晒被长猫,shai'bei'chang'mao
闪电博尔特,shan'dian'bo'er'te
少女脸,shao'nv'lian
烧洗吹,shao'xi'chui
神还原颜王,shen'huan'yuan'yan'wang
神舟十一号,shen'zhou'shi'yi'hao
神转折,shen'zhuan'zhe
圣典心,sheng'dian'xin
盛世美颜,sheng'shi'mei'yan
十八线,shi'ba'xian
诗和远方,shi'he'yuan'fang
时间饥荒,shi'jian'ji'huang
世界波,shi'jie'bo
实力种草,shi'li'zhong'cao
售罄男,shou'qing'nan
帅不过三秒,shuai'bu'guo'san'miao
睡服,shui'fu
水逆,shui'ni
死肥宅,si'fei'zhai
撕漫男,si'man'nan
死亡凝视,si'wang'ning'shi
虽现狗,sui'xian'gou
损蜜,sun'mi
泰迪男,tai'di'nan
太空易,tai'kong'yi
泰式假摔,tai'shi'jia'shuai
躺赢,tang'ying
套路深,tao'lu'shen
天鹅颈,tian'e'jing
天宫二号,tian'gong'er'hao
甜辣卤,tian'la'lu
天下无双,tian'xia'wu'shuang
天仙范,tian'xian'fan
铁刘海,tie'liu'hai
铁直女,tie'zhi'nv
土杀,tu'sha
土文艺,tu'wen'yi
腿癌,tui'ai
腿咚,tui'dong
驼峰日,tuo'feng'ri
脱团,tuo'tuan
外向孤独症,wai'xiang'gu'du'zheng
挽尊,wan'zun
王凯莉,wang'kai'li
网约车,wang'yue'che
王之蔑视,wang'zhi'mie'shi
望周知,wang'zhou'zhi
威力古得,wei'li'gu'de
维密体,wei'mi'ti
围笑,wei'xiao
我的弟,wo'de'di
沃德玛雅,wo'de'ma'ya
我的天哪,wo'de'tian'na
我的愿望是世界和平,wo'de'yuan'wang'shi'shi'jie'he'ping
我的哥,wo'di'ge
我方了,wo'fang'le
我刚知道我多火,wo'gang'zhi'dao'wo'duo'huo
无敌是多么寂寞,wu'di'shi'duo'me'ji'mo
物归原处癖,wu'gui'yuan'chu'pi
无力反驳,wu'li'fan'bo
污力女友,wu'li'nv'you
五连跪,wu'lian'gui
五楼轰顶,wu'lou'hong'ding
无脑喷,wu'nao'pen
五十度黑,wu'shi'du'hei
无秀波,wu'xiu'bo
无言以对,wu'yan'yi'dui
污友,wu'you
污中生友,wu'zhong'sheng'you
细软跑,xi'ruan'pao
细思极恐,xi'si'ji'kong
细嗅,xi'xiu
想嚎,xiang'hao
销婊,xiao'biao
笑昏古七,xiao'hun'gu'qi
小目标,xiao'mu'biao
小确肥,xiao'que'fei
小确丧,xiao'que'sang
小甜饼,xiao'tian'bing
小戏骨,xiao'xi'gu
笑招,xiao'zhao
卸妆万圣节,xie'zhuang'wan'sheng'jie
新大鹿,xin'da'lu
新葫芦娃,xin'hu'lu'wa
心流,xin'liu
星辰,xing'chen
幸福肥,xing'fu'fei
星星眼,xing'xing'yan
熊父母,xiong'fu'mu
雄三,xiong'san
羞愧综合征,xiu'kui'zong'he'zheng
血槽已空,xue'cao'yi'kong
学废,xue'fei
颜表立,yan'biao'li
颜性恋,yan'xing'lian
盐颜,yan'yan
颜正义,yan'zheng'yi
养殖女,yang'zhi'nv
要娃狂,yao'wa'kuang
野性暖,ye'xing'nuan
一本正经的胡说八道,yi'ben'zheng'jing'de'hu'shuo'ba'dao
衣橱血拼,yi'chu'xue'pin
易峰胖,yi'feng'pang
一脸懵逼,yi'lian'meng'bi
姨妈躁,yi'ma'zao
仪式感,yi'shi'gan
一言不合体,yi'yan'bu'he'ti
因缺思厅,yin'que'si'ting
阴阳师,yin'yang'shi
硬币眼,ying'bi'yan
永动机,yong'dong'ji
友荒,you'huang
游戏寡妇,you'xi'gua'fu
优衣库青年,you'yi'ku'qing'nian
雨露均沾体,yu'lu'jun'zhan'ti
语死早,yu'si'zao
预言帝,yu'yan'di
宇宙葬,yu'zhou'zang
月牙笑,yue'ya'xiao
云聊天,yun'liao'tian
云养猫,yun'yang'mao
葬爱家族,zang'ai'jia'zu
藏獒张,zang'ao'zhang
渣渣,zha'zha
站撸不哭,zhan'lu'bu'ku
斩男色,zhan'nan'se
支付鸨,zhi'fu'bao
直女癌,zhi'nv'ai
致郁系,zhi'yu'xi
中国新歌声,zhong'guo'xin'ge'sheng
钟秋杰,zhong'qiu'jie
种太阳,zhong'tai'yang
朱碧石,zhu'bi'shi
主播热,zhu'bo're
装垫儿台,zhuang'dian'er'tai
撞梗,zhuang'geng
资讯癖,zi'xun'pi
卒婚,zu'hun
做人不要太,zuo'ren'bu'yao'tai
