阿伯丁测试中心,a'bo'ding'ce'shi'zhong'xin
第二代航母,di'er'dai'hang'mu
第二艘新航母,di'er'sou'xin'hang'mu
敌方海区,di'fang'hai'qu
敌方潜艇,di'fang'qian'ting
敌舰队,di'jian'dui
第七舰队,di'qi'jian'dui
地区海军,di'qu'hai'jun
蒂森克虏伯海事系统公司,di'sen'ke'lu'bo'hai'shi'xi'tong'gong'si
第一次世界大战,di'yi'ci'shi'jie'da'zhan
第一艘,di'yi'sou
第一优先,di'yi'you'xian
电能传输,dian'neng'chuan'shu
电子化,dian'zi'hua
电子设备,dian'zi'she'bei
电子战系统,dian'zi'zhan'xi'tong
订购的,ding'gou'de
定翼飞机,ding'yi'fei'ji
定翼机,ding'yi'ji
动力来源,dong'li'lai'yuan
动力输出大,dong'li'shu'chu'da
动力续航高,dong'li'xu'hang'gao
动力装置,dong'li'zhuang'zhi
都属,dou'shu
渡海登陆,du'hai'deng'lu
独立地,du'li'de
独立的,du'li'de
独立作战,du'li'zuo'zhan
短小灵活,duan'xiao'ling'huo
对敌方,dui'di'fang
对地攻击,dui'di'gong'ji
对地攻击战机,dui'di'gong'ji'zhan'ji
对海,dui'hai
对空,dui'kong
对空导弹,dui'kong'dao'dan
对潜,dui'qian
对蒸汽,dui'zheng'qi
吨以上,dun'yi'shang
吨以下,dun'yi'xia
多国部队,duo'guo'bu'dui
多机编队,duo'ji'bian'dui
多斯,duo'si
多用途,duo'yong'tu
多用途导弹驱逐舰,duo'yong'tu'dao'dan'qu'zhu'jian
多用途的,duo'yong'tu'de
多用途航空母舰,duo'yong'tu'hang'kong'mu'jian
多种武器,duo'zhong'wu'qi
多种型号,duo'zhong'xing'hao
多种作战能力,duo'zhong'zuo'zhan'neng'li
俄亥俄级,e'hai'e'ji
俄轰炸机,e'hong'zha'ji
俄机,e'ji
俄罗斯海军,e'luo'si'hai'jun
俄罗斯轰炸机,e'luo'si'hong'zha'ji
俄罗斯图式轰炸机,e'luo'si'tu'shi'hong'zha'ji
二套该装置,er'tao'gai'zhuang'zhi
发射导弹,fa'she'dao'dan
发射重量,fa'she'zhong'liang
发射装置,fa'she'zhuang'zhi
发展重点,fa'zhan'zhong'dian
反舰,fan'jian
反舰导弹,fan'jian'dao'dan
反舰导弹发射装置,fan'jian'dao'dan'fa'she'zhuang'zhi
反舰作战,fan'jian'zuo'zhan
反潜,fan'qian
反潜导弹,fan'qian'dao'dan
反潜导弹和,fan'qian'dao'dan'he
反潜飞机,fan'qian'fei'ji
反潜航空母舰,fan'qian'hang'kong'mu'jian
反潜舰,fan'qian'jian
反潜能力,fan'qian'neng'li
反潜驱逐舰,fan'qian'qu'zhu'jian
反潜巡防舰,fan'qian'xun'fang'jian
反潜直升机,fan'qian'zhi'sheng'ji
防空,fang'kong
防空导弹,fang'kong'dao'dan
防空导弹垂直发射装置,fang'kong'dao'dan'chui'zhi'fa'she'zhuang'zhi
防空导弹发射装置,fang'kong'dao'dan'fa'she'zhuang'zhi
防空驱逐舰,fang'kong'qu'zhu'jian
防卫或搜索,fang'wei'huo'sou'suo
防务官员,fang'wu'guan'yuan
防御能力,fang'yu'neng'li
防御武器,fang'yu'wu'qi
菲茨杰拉德,fei'ci'jie'la'de
非核动力潜艇,fei'he'dong'li'qian'ting
非核武器,fei'he'wu'qi
飞机弹射器,fei'ji'tan'she'qi
飞机武备,fei'ji'wu'bei
非舰用,fei'jian'yong
飞行副舰长,fei'xing'fu'jian'zhang
飞行甲板,fei'xing'jia'ban
分布在,fen'bu'zai
分导式多弹头,fen'dao'shi'duo'dan'tou
伏的,fu'de
弗吉尼亚州,fu'ji'ni'ya'zhou
福特号,fu'te'hao
服役的,fu'yi'de
服役后,fu'yi'hou
复杂程度,fu'za'cheng'du
辅助舰船,fu'zhu'jian'chuan
该发射装置,gai'fa'she'zhuang'zhi
该发射装置装备于,gai'fa'she'zhuang'zhi'zhuang'bei'yu
该舰,gai'jian
改进后的,gai'jin'hou'de
该炮,gai'pao
该炮主要装备于,gai'pao'zhu'yao'zhuang'bei'yu
该炮主要装备于白根,gai'pao'zhu'yao'zhuang'bei'yu'bai'gen
该炮主要装备于村雨,gai'pao'zhu'yao'zhuang'bei'yu'cun'yu
该艇,gai'ting
该项工作,gai'xiang'gong'zuo
该鱼雷发射管,gai'yu'lei'fa'she'guan
刚性充气艇,gang'xing'chong'qi'ting
钢制隔板,gang'zhi'ge'ban
高爆,gao'bao
高爆穿透,gao'bao'chuan'tou
高爆碎裂,gao'bao'sui'lie
高波级驱逐舰,gao'bo'ji'qu'zhu'jian
高级顾问,gao'ji'gu'wen
高技术,gao'ji'shu
高技术密集,gao'ji'shu'mi'ji
高难课目,gao'nan'ke'mu
高能武器系统,gao'neng'wu'qi'xi'tong
高速小型飞机,gao'su'xiao'xing'fei'ji
个半壳潜艇,ge'ban'ke'qian'ting
格公司,ge'gong'si
各国海军,ge'guo'hai'jun
格里莎,ge'li'sha
格鲁曼公司,ge'lu'man'gong'si
各种飞机,ge'zhong'fei'ji
更高职务,geng'gao'zhi'wu
更加轻巧,geng'jia'qing'qiao
工程兵,gong'cheng'bing
工程技术人员,gong'cheng'ji'shu'ren'yuan
攻防作战,gong'fang'zuo'zhan
攻击岸上目标,gong'ji'an'shang'mu'biao
攻击航空母舰,gong'ji'hang'kong'mu'jian
攻击机,gong'ji'ji
攻击潜舰,gong'ji'qian'jian
攻击潜艇,gong'ji'qian'ting
攻击任务,gong'ji'ren'wu
攻击与防卫,gong'ji'yu'fang'wei
公开展示,gong'kai'zhan'shi
功率大,gong'lv'da
共同合作,gong'tong'he'zuo
固定翼飞机,gu'ding'yi'fei'ji
固定翼飞机航空母舰,gu'ding'yi'fei'ji'hang'kong'mu'jian
惯性加雷达,guan'xing'jia'lei'da
广泛的,guang'fan'de
归属于,gui'shu'yu
国防部长,guo'fang'bu'zhang
国防合作,guo'fang'he'zuo
国防技术,guo'fang'ji'shu
国外基地,guo'wai'ji'di
过于昂贵,guo'yu'ang'gui
海巴,hai'ba
海底窃听,hai'di'qie'ting
海军岸防兵,hai'jun'an'fang'bing
海军步兵,hai'jun'bu'bing
海军的,hai'jun'de
海军发言人,hai'jun'fa'yan'ren
海军官方,hai'jun'guan'fang
海军航空兵,hai'jun'hang'kong'bing
海军机构,hai'jun'ji'gou
海军舰队,hai'jun'jian'dui
海军陆战队,hai'jun'lu'zhan'dui
海军庆典,hai'jun'qing'dian
海军学院世界战斗舰队导航,hai'jun'xue'yuan'shi'jie'zhan'dou'jian'dui'dao'hang
海军中,hai'jun'zhong
海军装备,hai'jun'zhuang'bei
海狼,hai'lang
海狼号,hai'lang'hao
海麻雀防空导弹,hai'ma'que'fang'kong'dao'dan
海上低空,hai'shang'di'kong
海上多面手,hai'shang'duo'mian'shou
海上封锁,hai'shang'feng'suo
海上交通线,hai'shang'jiao'tong'xian
海上救援,hai'shang'jiu'yuan
海上巨无霸,hai'shang'ju'wu'ba
海上军备竞赛,hai'shang'jun'bei'jing'sai
海上力量,hai'shang'li'liang
海上联合编队,hai'shang'lian'he'bian'dui
海上联合演习,hai'shang'lian'he'yan'xi
海上勤务部队,hai'shang'qin'wu'bu'dui
海上驱逐舰,hai'shang'qu'zhu'jian
海上系统事业部,hai'shang'xi'tong'shi'ye'bu
海上现代化,hai'shang'xian'dai'hua
海上巡逻机,hai'shang'xun'luo'ji
海上阅兵,hai'shang'yue'bing
海上作战,hai'shang'zuo'zhan
海参崴,hai'shen'wai
海试,hai'shi
海洋机动作战,hai'yang'ji'dong'zuo'zhan
海洋区域,hai'yang'qu'yu
航舰,hang'jian
航舰的,hang'jian'de
航舰战斗群,hang'jian'zhan'dou'qun
航空兵,hang'kong'bing
航空母舰,hang'kong'mu'jian
航空母舰战斗群,hang'kong'mu'jian'zhan'dou'qun
航母,hang'mu
航母编队,hang'mu'bian'dui
航母型号,hang'mu'xing'hao
航母战斗群,hang'mu'zhan'dou'qun
航母指挥官,hang'mu'zhi'hui'guan
航速,hang'su
号的,hao'de
号航母,hao'hang'mu
号护卫舰,hao'hu'wei'jian
毫米鱼雷发射管,hao'mi'yu'lei'fa'she'guan
号驱逐舰,hao'qu'zhu'jian
号巡洋舰,hao'xun'yang'jian
核动力,he'dong'li
核动力航空母舰,he'dong'li'hang'kong'mu'jian
核动力航母,he'dong'li'hang'mu
核动力潜艇,he'dong'li'qian'ting
核动力水面舰艇,he'dong'li'shui'mian'jian'ting
核动力系统,he'dong'li'xi'tong
核动力巡洋舰,he'dong'li'xun'yang'jian
核动力重型导弹巡洋舰,he'dong'li'zhong'xing'dao'dan'xun'yang'jian
核反应堆,he'fan'ying'dui
合格的,he'ge'de
核攻击潜艇,he'gong'ji'qian'ting
和旗风,he'qi'feng
和潜艇,he'qian'ting
核潜艇,he'qian'ting
核袭击,he'xi'ji
和谐海洋,he'xie'hai'yang
和正在建造的,he'zheng'zai'jian'zao'de
核子动力,he'zi'dong'li
核子反应炉,he'zi'fan'ying'lu
黑海舰队,hei'hai'jian'dui
很复杂,hen'fu'za
护航,hu'hang
护航航空母舰,hu'hang'hang'kong'mu'jian
护航舰艇,hu'hang'jian'ting
护卫舰,hu'wei'jian
护卫任务,hu'wei'ren'wu
华盛顿号,hua'sheng'dun'hao
毁灭式打击,hui'mie'shi'da'ji
活动和作战,huo'dong'he'zuo'zhan
活动区域,huo'dong'qu'yu
火力支援,huo'li'zhi'yuan
基本建制,ji'ben'jian'zhi
基本实现,ji'ben'shi'xian
级柴电潜艇,ji'chai'dian'qian'ting
集成武器控制系统,ji'cheng'wu'qi'kong'zhi'xi'tong
级等驱逐舰,ji'deng'qu'zhu'jian
机动演练,ji'dong'yan'lian
基辅,ji'fu
基辅级航母,ji'fu'ji'hang'mu
级航空母舰,ji'hang'kong'mu'jian
级航母,ji'hang'mu
机库,ji'ku
基洛,ji'luo
级潜艇,ji'qian'ting
级潜艇的,ji'qian'ting'de
级驱逐舰,ji'qu'zhu'jian
级驱逐舰装备,ji'qu'zhu'jian'zhuang'bei
及时发现,ji'shi'fa'xian
技术难度大,ji'shu'nan'du'da
技术缺陷,ji'shu'que'xian
计算机辅助设计,ji'suan'ji'fu'zhu'she'ji
继续向,ji'xu'xiang
级战略核潜艇,ji'zhan'lue'he'qian'ting
甲板,jia'ban
架苏,jia'su
架图,jia'tu
监测船,jian'ce'chuan
舰船知识,jian'chuan'zhi'shi
舰队,jian'dui
舰队防空,jian'dui'fang'kong
舰队防空雷达哨舰,jian'dui'fang'kong'lei'da'shao'jian
舰队航空兵,jian'dui'hang'kong'bing
舰队司令部,jian'dui'si'ling'bu
舰队司令部驻,jian'dui'si'ling'bu'zhu
舰炮,jian'pao
舰上搭载的,jian'shang'da'zai'de
简氏防务周刊,jian'shi'fang'wu'zhou'kan
简氏战舰年鉴,jian'shi'zhan'jian'nian'jian
舰体,jian'ti
舰体空间,jian'ti'kong'jian
舰体组件,jian'ti'zu'jian
舰艇本身的,jian'ting'ben'shen'de
舰艇编队,jian'ting'bian'dui
舰艇部队,jian'ting'bu'dui
舰艇舰队,jian'ting'jian'dui
舰艇学院,jian'ting'xue'yuan
舰艇指挥专业,jian'ting'zhi'hui'zhuan'ye
检验工作,jian'yan'gong'zuo
舰载反舰导弹,jian'zai'fan'jian'dao'dan
舰载反潜设备,jian'zai'fan'qian'she'bei
舰载火炮,jian'zai'huo'pao
舰载机,jian'zai'ji
舰载机飞行员,jian'zai'ji'fei'xing'yuan
舰载机性能,jian'zai'ji'xing'neng
舰载雷达,jian'zai'lei'da
建造费用高,jian'zao'fei'yong'gao
建造时间,jian'zao'shi'jian
建造现场,jian'zao'xian'chang
建造新航母,jian'zao'xin'hang'mu
建造周期,jian'zao'zhou'qi
舰长,jian'zhang
舰只,jian'zhi
舰种,jian'zhong
降低到,jiang'di'dao
江河级驱逐舰,jiang'he'ji'qu'zhu'jian
较长时间,jiao'chang'shi'jian
界定为,jie'ding'wei
结构简单,jie'gou'jian'dan
揭开了,jie'kai'le
接受检阅,jie'shou'jian'yue
金刚级,jin'gang'ji
金刚级驱逐舰,jin'gang'ji'qu'zhu'jian
进攻性的,jin'gong'xing'de
进攻性武器,jin'gong'xing'wu'qi
近海地区,jin'hai'di'qu
近海侦察机,jin'hai'zhen'cha'ji
近海作战武器,jin'hai'zuo'zhan'wu'qi
仅仅依靠,jin'jin'yi'kao
进行拦截,jin'xing'lan'jie
进行水下发射,jin'xing'shui'xia'fa'she
经济中心,jing'ji'zhong'xin
就开始了,jiu'kai'shi'le
就占了,jiu'zhan'le
据称村雨级第,ju'cheng'cun'yu'ji'di
拒绝接收,ju'jue'jie'shou
巨浪,ju'lang
距离航母,ju'li'hang'mu
绝大部分制图,jue'da'bu'fen'zhi'tu
郡级驱逐舰,jun'ji'qu'zhu'jian
军情观察室,jun'qing'guan'cha'shi
军事问题专家,jun'shi'wen'ti'zhuan'jia
军事系统工程,jun'shi'xi'tong'gong'cheng
均使用,jun'shi'yong
军事组织,jun'shi'zu'zhi
军演,jun'yan
军用飞机,jun'yong'fei'ji
军用潜艇,jun'yong'qian'ting
军用直升机,jun'yong'zhi'sheng'ji
军种,jun'zhong
均装备,jun'zhuang'bei
均装备该炮,jun'zhuang'bei'gai'pao
卡辛级驱逐舰,ka'xin'ji'qu'zhu'jian
开工前的,kai'gong'qian'de
开始安装,kai'shi'an'zhuang
开始出现,kai'shi'chu'xian
开始取代,kai'shi'qu'dai
开始使用,kai'shi'shi'yong
抗登陆,kang'deng'lu
抗敌截击,kang'di'jie'ji
可产生,ke'chan'sheng
可垂直起降,ke'chui'zhi'qi'jiang
可发射,ke'fa'she
可节省,ke'jie'sheng
可靠性高,ke'kao'xing'gao
克拉克号,ke'la'ke'hao
克莱尔,ke'lai'er
克里希纳,ke'li'xi'na
可满足,ke'man'zu
可携带,ke'xie'dai
可以借助,ke'yi'jie'zhu
可以看成,ke'yi'kan'cheng
可以提供,ke'yi'ti'gong
空母,kong'mu
控制系统,kong'zhi'xi'tong
空中导弹,kong'zhong'dao'dan
空中武力,kong'zhong'wu'li
快速攻击,kuai'su'gong'ji
快速战斗支持舰,kuai'su'zhan'dou'zhi'chi'jian
来攻击,lai'gong'ji
莱特湾,lai'te'wan
兰利,lan'li
蓝岭,lan'ling
雷声公司,lei'sheng'gong'si
里根号,li'gen'hao
里海舰队,li'hai'jian'dui
里海小型舰队,li'hai'xiao'xing'jian'dui
联邦国防技术与采购局,lian'bang'guo'fang'ji'shu'yu'cai'gou'ju
联合国安理会,lian'he'guo'an'li'hui
联合研制,lian'he'yan'zhi
连锁反应,lian'suo'fan'ying
两个系统,liang'ge'xi'tong
两舰,liang'jian
两栖攻击舰,liang'qi'gong'ji'jian
两艘巡洋舰,liang'sou'xun'yang'jian
两洋舰队,liang'yang'jian'dui
灵活配置,ling'huo'pei'zhi
另外一艘,ling'wai'yi'sou
另装备一套,ling'zhuang'bei'yi'tao
刘易斯,liu'yi'si
陆上目标,lu'shang'mu'biao
陆上战略目标,lu'shang'zhan'lue'mu'biao
陆上重要目标,lu'shang'zhong'yao'mu'biao
露天场地,lu'tian'chang'di
陆战步兵,lu'zhan'bu'bing
掠海武器,lue'hai'wu'qi
马鼎盛,ma'ding'sheng
马拉巴尔,ma'la'ba'er
满载排水量,man'zai'pai'shui'liang
美国的,mei'guo'de
美国国务卿,mei'guo'guo'wu'qing
美国海军,mei'guo'hai'jun
美国海军的,mei'guo'hai'jun'de
美国海军官员,mei'guo'hai'jun'guan'yuan
美国海军舰只,mei'guo'hai'jun'jian'zhi
美国海军时报,mei'guo'hai'jun'shi'bao
美国航母,mei'guo'hang'mu
美国航母试验舰,mei'guo'hang'mu'shi'yan'jian
美国军方,mei'guo'jun'fang
美国军舰,mei'guo'jun'jian
美国陆军,mei'guo'lu'jun
美国潜艇,mei'guo'qian'ting
美国战斗机,mei'guo'zhan'dou'ji
美国中央情报局,mei'guo'zhong'yang'qing'bao'ju
美海军,mei'hai'jun
美航母,mei'hang'mu
美军,mei'jun
美军的,mei'jun'de
美军航舰战斗群,mei'jun'hang'jian'zhan'dou'qun
美印军舰,mei'yin'jun'jian
没有被,mei'you'bei
密集阵近防炮,mi'ji'zhen'jin'fang'pao
瞄准吊舱,miao'zhun'diao'cang
敏感的,min'gan'de
民主党政府,min'zhu'dang'zheng'fu
末端红外成像,mo'duan'hong'wai'cheng'xiang
某些部件,mou'xie'bu'jian
目前的,mu'qian'de
木质模型,mu'zhi'mo'xing
内部变化,nei'bu'bian'hua
能利用,neng'li'yong
能潜入水下,neng'qian'ru'shui'xia
能投射,neng'tou'she
逆火轰炸机,ni'huo'hong'zha'ji
拟建,ni'jian
尼米兹,ni'mi'zi
尼米兹号,ni'mi'zi'hao
年春季,nian'chun'ji
鸟海,niao'hai
纽波特纽斯造船厂,niu'bo'te'niu'si'zao'chuan'chang
努曼西亚,nu'man'xi'ya
诺斯罗普,nuo'si'luo'pu
帕帕尼科利斯,pa'pa'ni'ke'li'si
排水量,pai'shui'liang
配备有,pei'bei'you
喷气式飞机,pen'qi'shi'fei'ji
平均寿命,ping'jun'shou'ming
破坏敌方,po'huai'di'fang
旗风,qi'feng
旗舰,qi'jian
起降,qi'jiang
其射程为,qi'she'cheng'wei
其它舰艇,qi'ta'jian'ting
其他军种,qi'ta'jun'zhong
其他型号的,qi'ta'xing'hao'de
企业号,qi'ye'hao
企业号航母,qi'ye'hao'hang'mu
恰巴年科海军上将,qia'ba'nian'ke'hai'jun'shang'jiang
千克高爆碎裂,qian'ke'gao'bao'sui'lie
潜入水下,qian'ru'shui'xia
潜射弹道导弹,qian'she'dan'dao'dao'dan
潜射巡航导弹,qian'she'xun'hang'dao'dan
签署协议,qian'shu'xie'yi
潜水艇,qian'shui'ting
前苏联,qian'su'lian
潜艇兵力群,qian'ting'bing'li'qun
潜艇部队,qian'ting'bu'dui
潜艇大修,qian'ting'da'xiu
潜艇的,qian'ting'de
潜艇抵御,qian'ting'di'yu
潜艇活动,qian'ting'huo'dong
潜艇数量,qian'ting'shu'liang
潜艇项目执行办公室,qian'ting'xiang'mu'zhi'xing'ban'gong'shi
潜艇质量,qian'ting'zhi'liang
强电磁干扰,qiang'dian'ci'gan'rao
强击机,qiang'ji'ji
轻型航母,qing'xing'hang'mu
轻型护卫舰,qing'xing'hu'wei'jian
轻巡洋舰,qing'xun'yang'jian
驱护舰部队,qu'hu'jian'bu'dui
区域直流配电系统,qu'yu'zhi'liu'pei'dian'xi'tong
驱逐舰,qu'zhu'jian
驱逐舰的,qu'zhu'jian'de
驱逐舰上,qu'zhu'jian'shang
全铝质豪华高速客渡船,quan'lv'zhi'hao'hua'gao'su'ke'du'chuan
全球导航系统,quan'qiu'dao'hang'xi'tong
全球现有,quan'qiu'xian'you
全新设计的,quan'xin'she'ji'de
燃气轮机,ran'qi'lun'ji
人民海军,ren'min'hai'jun
人员的,ren'yuan'de
日本冲绳,ri'ben'chong'sheng
日本防卫省,ri'ben'fang'wei'sheng
日本防务分析家,ri'ben'fang'wu'fen'xi'jia
日本海军,ri'ben'hai'jun
日本海上自卫队,ri'ben'hai'shang'zi'wei'dui
日本海上自卫队主力战舰,ri'ben'hai'shang'zi'wei'dui'zhu'li'zhan'jian
日本舰船,ri'ben'jian'chuan
日海上自卫队,ri'hai'shang'zi'wei'dui
日文汉字,ri'wen'han'zi
日向,ri'xiang
如此复杂,ru'ci'fu'za
塞瓦斯托波尔,sai'wa'si'tuo'bo'er
塞维罗莫斯克,sai'wei'luo'mo'si'ke
三略管理科学院,san'lue'guan'li'ke'xue'yuan
三艘驱逐舰,san'sou'qu'zhu'jian
三种方式,san'zhong'fang'shi
扫描范围,sao'miao'fan'wei
设计错误,she'ji'cuo'wu
设计工作,she'ji'gong'zuo
设计过程中的,she'ji'guo'cheng'zhong'de
设计航母,she'ji'hang'mu
设计建造,she'ji'jian'zao
设计模型,she'ji'mo'xing
设置的,she'zhi'de
深潜,shen'qian
升级改造,sheng'ji'gai'zao
升级工作,sheng'ji'gong'zuo
圣玛利亚级,sheng'ma'li'ya'ji
声纳系统,sheng'na'xi'tong
实弹训练,shi'dan'xun'lian
实地探访,shi'di'tan'fang
式反潜鱼雷发射管,shi'fan'qian'yu'lei'fa'she'guan
适航性,shi'hang'xing
世界上最大,shi'jie'shang'zui'da
势力范围,shi'li'fan'wei
使潜艇,shi'qian'ting
实施核袭击,shi'shi'he'xi'ji
是世界上,shi'shi'jie'shang
实施搜索,shi'shi'sou'suo
试图降低,shi'tu'jiang'di
是一种,shi'yi'zhong
是中国,shi'zhong'guo
首舰,shou'jian
首艘,shou'sou
数百吨,shu'bai'dun
数百公里之外,shu'bai'gong'li'zhi'wai
数量多,shu'liang'duo
数量最多,shu'liang'zui'duo
双壳潜艇,shuang'ke'qian'ting
水层,shui'ceng
水雷武器,shui'lei'wu'qi
水面舰船,shui'mian'jian'chuan
水面舰艇,shui'mian'jian'ting
水面舰艇部队,shui'mian'jian'ting'bu'dui
水面与水下舰艇,shui'mian'yu'shui'xia'jian'ting
水下发射导弹,shui'xia'fa'she'dao'dan
水下发射试验,shui'xia'fa'she'shi'yan
水下环境,shui'xia'huan'jing
水下续航能力,shui'xia'xu'hang'neng'li
水下巡航,shui'xia'xun'hang
水中武器,shui'zhong'wu'qi
四个舰队,si'ge'jian'dui
四年防务审查,si'nian'fang'wu'shen'cha
斯普鲁恩斯级驱逐舰,si'pu'lu'en'si'ji'qu'zhu'jian
四支舰队,si'zhi'jian'dui
宋晓军,song'xiao'jun
艘航母,sou'hang'mu
艘舰艇,sou'jian'ting
搜救工作,sou'jiu'gong'zuo
艘起,sou'qi
艘潜艇,sou'qian'ting
速度快,su'du'kuai
苏联的,su'lian'de
随行舰只,sui'xing'jian'zhi
所以需要,suo'yi'xu'yao
