艾森豪威尔访问台湾,ai'sen'hao'wei'er'fang'wen'tai'wan
荷兰殖民者据台,he'lan'zhi'min'zhe'ju'tai
荷西冲突,he'xi'chong'tu
洪纪起义,hong'ji'qi'yi
胡嘉猷陈秋菊林李成抗日事件,hu'jia'you'chen'qiu'ju'lin'li'cheng'kang'ri'shi'jian
湖口兵变,hu'kou'bing'bian
华航事件,hua'hang'shi'jian
黄诚起义,huang'cheng'qi'yi
黄斗奶起义,huang'dou'nai'qi'yi
黄教起义,huang'jiao'qi'yi
皇民化运动,huang'min'hua'yun'dong
黄位起义,huang'wei'qi'yi
黄植诚驾机起义,huang'zhi'cheng'jia'ji'qi'yi
基隆爆炸事件,ji'long'bao'zha'shi'jian
蒋介石病故,jiang'jie'shi'bing'gu
蒋介石杜勒斯会谈,jiang'jie'shi'du'le'si'hui'tan
蒋介石将国库财物偷运台湾,jiang'jie'shi'jiang'guo'ku'cai'wu'tou'yun'tai'wan
蒋介石在台湾编练新军,jiang'jie'shi'zai'tai'wan'bian'lian'xin'jun
蒋经国任国民党主席,jiang'jing'guo'ren'guo'min'dang'zhu'xi
蒋经国在美遇刺事件,jiang'jing'guo'zai'mei'yu'ci'shi'jian
江南命案,jiang'nan'ming'an
噍吧哖事件,jiao'ba'nian'shi'jian
解除戒严,jie'chu'jie'yan
金门炮战,jin'men'pao'zhan
九二庄遂中事件,jiu'er'zhuang'sui'zhong'shi'jian
九股美蒋武装特务窜犯大陆事件,jiu'gu'mei'jiang'wu'zhuang'te'wu'cuan'fan'da'lu'shi'jian
久留米油库爆炸事件,jiu'liu'mi'you'ku'bao'zha'shi'jian
开放报禁,kai'fang'bao'jin
开放台湾民众赴大陆探亲,kai'fang'tai'wan'min'zhong'fu'da'lu'tan'qin
赖唇起义,lai'chun'qi'yi
雷震案,lei'zhen'an
李敖事件,li'ao'shi'jian
李大维驾机起义,li'da'wei'jia'ji'qi'yi
李建兴事件,li'jian'xing'shi'jian
李石林恭起义,li'shi'lin'gong'qi'yi
李亚频事件,li'ya'pin'shi'jian
梁启超赴台,liang'qi'chao'fu'tai
林本源制糖会社事件,lin'ben'yuan'zhi'tang'hui'she'shi'jian
林大北起义,lin'da'bei'qi'yi
林圮埔起义,lin'pi'pu'qi'yi
林瓶起义,lin'ping'qi'yi
林少猫事件,lin'shao'mao'shi'jian
林爽文起义,lin'shuang'wen'qi'yi
林武力学生起义,lin'wu'li'xue'sheng'qi'yi
林永春起义,lin'yong'chun'qi'yi
林宅血案,lin'zhai'xue'an
刘德杓起义,liu'de'biao'qi'yi
六甲事件,liu'jia'shi'jian
刘却起义,liu'que'qi'yi
六三法撤废运动,liu'san'fa'che'fei'yun'dong
刘自然事件,liu'zi'ran'shi'jian
麻豆社抗荷起义,ma'dou'she'kang'he'qi'yi
美船罗发号事件,mei'chuan'luo'fa'hao'shi'jian
美丽岛事件,mei'li'dao'shi'jian
苗栗事件,miao'li'shi'jian
民族主义事件,min'zu'zhu'yi'shi'jian
南投起义,nan'tou'qi'yi
派兵进驻南沙,pai'bing'jin'zhu'nan'sha
彭明敏事件,peng'ming'min'shi'jian
埔里社事件,pu'li'she'shi'jian
朴仔脚事件,pu'zi'jiao'shi'jian
旗山事件,qi'shan'shi'jian
浅野水泥工厂罢工,qian'ye'shui'ni'gong'chang'ba'gong
清朝设置台湾府,qing'chao'she'zhi'tai'wan'fu
清郑和谈,qing'zheng'he'tan
犬羊祸,quan'yang'huo
日本语中心运动,ri'ben'yu'zhong'xin'yun'dong
扫黑运动,sao'hei'yun'dong
扫黄专案,sao'huang'zhuan'an
施九缎起义,shi'jiu'duan'qi'yi
十三颗将星陨落事件,shi'san'ke'jiang'xing'yun'luo'shi'jian
十四名无党籍台湾省议员集体辞职事件,shi'si'ming'wu'dang'ji'tai'wan'sheng'yi'yuan'ji'ti'ci'zhi'shi'jian
十信事件,shi'xin'shi'jian
私立台阳中学事件,si'li'tai'yang'zhong'xue'shi'jian
苏澳渔民事件,su'ao'yu'min'shi'jian
孙立人事件,sun'li'ren'shi'jian
太鲁阁斗争,tai'lu'ge'dou'zheng
太平公学事件,tai'ping'gong'xue'shi'jian
台湾重归中国版图,tai'wan'chong'gui'zhong'guo'ban'tu
台湾当局收回红毛城,tai'wan'dang'ju'shou'hui'hong'mao'cheng
台湾国民党当局代表被逐出联合国,tai'wan'guo'min'dang'dang'ju'dai'biao'bei'zhu'chu'lian'he'guo
台湾建省,tai'wan'jian'sheng
台湾教案,tai'wan'jiao'an
台湾抗英斗争,tai'wan'kang'ying'dou'zheng
台湾铁工厂全岛性同情罢工,tai'wan'tie'gong'chang'quan'dao'xing'tong'qing'ba'gong
台湾议会设置运动,tai'wan'yi'hui'she'zhi'yun'dong
台中事件,tai'zhong'shi'jian
台中一中事件,tai'zhong'yi'zhong'shi'jian
陶肯起义,tao'ken'qi'yi
铁国山起义,tie'guo'shan'qi'yi
土库事件,tu'ku'shi'jian
吞霄社起义,tun'xiao'she'qi'yi
王世杰事件,wang'shi'jie'shi'jian
王哲甫案,wang'zhe'fu'an
王字事件,wang'zi'shi'jian
威里社事件,wei'li'she'shi'jian
卫温诸葛直访问夷洲,wei'wen'zhu'ge'zhi'fang'wen'yi'zhou
吴瑳林汶英起义,wu'cuo'lin'wen'ying'qi'yi
吴德福事件,wu'de'fu'shi'jian
五二七事件,wu'er'qi'shi'jian
五二事件,wu'er'shi'jian
五二四事件,wu'er'si'shi'jian
吴福生起义,wu'fu'sheng'qi'yi
吴国桢事件,wu'guo'zhen'shi'jian
吴球起义,wu'qiu'qi'yi
雾社事件,wu'she'shi'jian
毋忘在莒运动,wu'wang'zai'ju'yun'dong
吴维泗起义,wu'wei'si'qi'yi
五一九绿色行动,wu'yi'jiu'lv'se'xing'dong
西班牙殖民者侵台,xi'ban'ya'zhi'min'zhe'qin'tai
惜别宴会事件,xi'bie'yan'hui'shi'jian
西来庵事件,xi'lai'an'shi'jian
乡土文学事件,xiang'tu'wen'xue'shi'jian
向退职官员批售开垦地事件,xiang'tui'zhi'guan'yuan'pi'shou'kai'ken'di'shi'jian
萧佛恭事件,xiao'fo'gong'shi'jian
新竹大湖事件,xin'zhu'da'hu'shi'jian
新庄事件,xin'zhuang'shi'jian
许成起义,xu'cheng'qi'yi
许尚杨良斌起义,xu'shang'yang'liang'bin'qi'yi
徐廷泽驾机起义,xu'ting'ze'jia'ji'qi'yi
杨兆事件,yang'zhao'shi'jian
一江山岛战役,yi'jiang'shan'dao'zhan'yi
一九事件,yi'jiu'shi'jian
宜兰矿工暴动,yi'lan'kuang'gong'bao'dong
一清专案,yi'qing'zhuan'an
有力者大会,you'li'zhe'da'hui
有马晴信事件,you'ma'qing'xin'shi'jian
余登发案件,yu'deng'fa'an'jian
余新民案,yu'xin'min'an
云林大惨案,yun'lin'da'can'an
在押战犯武装特务和国民党县团以上党政军特人员被全部特赦释放,zai'ya'zhan'fan'wu'zhuang'te'wu'he'guo'min'dang'xian'tuan'yi'shang'dang'zheng'jun'te'ren'yuan'bei'quan'bu'te'she'shi'fang
詹阿瑞黄茂松起义,zhan'a'rui'huang'mao'song'qi'yi
张丙起义,zhang'bing'qi'yi
张浩张进察访瑠求,zhang'hao'zhang'jin'cha'fang'liu'qiu
樟脑战争,zhang'nao'zhan'zheng
章太炎去台湾,zhang'tai'yan'qu'tai'wan
招抚琉求,zhao'fu'liu'qiu
赵明河事件,zhao'ming'he'shi'jian
郑成功收复台湾,zheng'cheng'gong'shou'fu'tai'wan
郑和至台湾,zheng'he'zhi'tai'wan
芷江洽降会谈,zhi'jiang'qia'jiang'hui'tan
治警事件,zhi'jing'shi'jian
芝山岩事件,zhi'shan'yan'shi'jian
中法台湾战争,zhong'fa'tai'wan'zhan'zheng
中国民主党组党运动,zhong'guo'min'zhu'dang'zu'dang'yun'dong
中国统一运动,zhong'guo'tong'yi'yun'dong
中坜事件,zhong'li'shi'jian
中山堂事件,zhong'shan'tang'shi'jian
中央民意代表机构改选,zhong'yang'min'yi'dai'biao'ji'gou'gai'xuan
众友会起义,zhong'you'hui'qi'yi
朱濆事件,zhu'fen'shi'jian
朱宽求访异俗,zhu'kuan'qiu'fang'yi'su
朱一贵起义,zhu'yi'gui'qi'yi
