爱景欲挂扶桑,ai'jing'yu'gua'fu'sang
故应难看梅花,gu'ying'nan'kan'mei'hua
关锁千重,guan'suo'qian'zhong
贵妃醉脸,gui'fei'zui'lian
归逢佳偶,gui'feng'jia'ou
归鸿声断残云碧,gui'hong'sheng'duan'can'yun'bi
归来也,gui'lai'ye
闺门多暇,gui'men'duo'xia
海燕未来人斗草,hai'yan'wei'lai'ren'dou'cao
汉阜解佩,han'fu'jie'pei
汉皋解佩,han'gao'jie'pei
韩令偷香,han'ling'tou'xiang
寒梅点缀琼枝腻,han'mei'dian'zhui'qiong'zhi'ni
寒日萧萧上锁窗,han'ri'xiao'xiao'shang'suo'chuang
好把音书凭过雁,hao'ba'yin'shu'ping'guo'yan
好黄昏,hao'huang'hun
何事当年不见收,he'shi'dang'nian'bu'jian'shou
和羞走,he'xiu'zou
何须更忆,he'xu'geng'yi
何须浅碧深红色,he'xu'qian'bi'shen'hong'se
何逊在杨州,he'xun'zai'yang'zhou
恨潇潇,hen'xiao'xiao
恨萧萧,hen'xiao'xiao
红梅些子破,hong'mei'xie'zi'po
红藕香残玉簟秋,hong'ou'xiang'can'yu'dian'qiu
红酥肯放琼苞碎,hong'su'ken'fang'qiong'bao'sui
红稀香少,hong'xi'xiang'shao
虎符熊轼,hu'fu'xiong'shi
湖上风来波浩渺,hu'shang'feng'lai'bo'hao'miao
花光月影宜相照,hua'guang'yue'ying'yi'xiang'zhao
画栏开处冠中秋,hua'lan'kai'chu'guan'zhong'qiu
画阑开处冠中秋,hua'lan'kai'chu'guan'zhong'qiu
画堂无限深幽,hua'tang'wu'xian'shen'you
花影压重门,hua'ying'ya'zhong'men
花自飘零水自流,hua'zi'piao'ling'shui'zi'liu
黄昏疏雨湿秋千,huang'hun'shu'yu'shi'qiu'qian
黄昏院落,huang'hun'yuan'luo
魂梦不堪幽怨,hun'meng'bu'kan'you'yuan
记得偏重三五,ji'de'pian'zhong'san'wu
几点催花雨,ji'dian'cui'hua'yu
寂寥恰似,ji'liao'qia'si
寂寞深闺,ji'mo'shen'gui
几枝先近日边匀,ji'zhi'xian'jin'ri'bian'yun
髻子伤春慵更梳,ji'zi'shang'chun'yong'geng'shu
夹河分守,jia'he'fen'shou
佳节又重阳,jia'jie'you'chong'yang
夹衫乍著心情好,jia'shan'zha'zhu'xin'qing'hao
剪成碧玉叶层层,jian'cheng'bi'yu'ye'ceng'ceng
见客入来,jian'ke'ru'lai
渐秋阑,jian'qiu'lan
渐一番风,jian'yi'fan'feng
见有人来,jian'you'ren'lai
江楼楚馆,jiang'lou'chu'guan
江梅已过柳生绵,jiang'mei'yi'guo'liu'sheng'mian
角声催晓漏,jiao'sheng'cui'xiao'lou
阶蓂初秀,jie'mi'chu'xiu
借指松椿比寿,jie'zhi'song'chun'bi'shou
今年海角天涯,jin'nian'hai'jiao'tian'ya
今年恨探梅又晚,jin'nian'hen'tan'mei'you'wan
禁幄低张,jin'wo'di'zhang
金销藕叶稀,jin'xiao'ou'ye'xi
惊落梧桐,jing'luo'wu'tong
经年才见,jing'nian'cai'jian
惊破一瓯春,jing'po'yi'ou'chun
惊起一滩鸥鹭,jing'qi'yi'tan'ou'lu
竞走香轮,jing'zou'xiang'lun
旧家时,jiu'jia'shi
酒阑歌罢玉尊空,jiu'lan'ge'ba'yu'zun'kong
酒阑更喜团茶苦,jiu'lan'geng'xi'tuan'cha'ku
酒美梅酸,jiu'mei'mei'suan
旧时天气旧时衣,jiu'shi'tian'qi'jiu'shi'yi
九万里风鹏正举,jiu'wan'li'feng'peng'zheng'ju
酒醒时往事愁肠,jiu'xing'shi'wang'shi'chou'chang
酒醒熏破春睡,jiu'xing'xun'po'chun'shui
酒意诗情谁与共,jiu'yi'shi'qing'shui'yu'gong
酒盏深和浅,jiu'zhan'shen'he'qian
就中独占残春,jiu'zhong'du'zhan'can'chun
居士擘开真有意,ju'shi'bo'kai'zhen'you'yi
菊应羞,ju'ying'xiu
看彩衣争献,kan'cai'yi'zheng'xian
看取晚来风势,kan'qu'wan'lai'feng'shi
客华淡伫,ke'hua'dan'zhu
可怜人似春将老,ke'lian'ren'si'chun'jiang'lao
空梦长安,kong'meng'chang'an
况青云咫尺,kuang'qing'yun'zhi'chi
来相召,lai'xiang'zhao
兰羞玉酎,lan'xiu'yu'zhou
朗月清风,lang'yue'qing'feng
泪染轻匀,lei'ran'qing'yun
泪融残粉花钿重,lei'rong'can'fen'hua'dian'zhong
泪湿罗衣脂粉满,lei'shi'luo'yi'zhi'fen'man
冷冷清清,leng'leng'qing'qing
梨花欲谢恐难禁,li'hua'yu'xie'kong'nan'jin
帘垂四面,lian'chui'si'mian
帘儿底下,lian'er'di'xia
帘卷西风,lian'juan'xi'feng
连天衰草,lian'tian'shuai'cao
帘外拥红堆雪,lian'wai'yong'hong'dui'xue
莲子已成荷叶老,lian'zi'yi'cheng'he'ye'lao
两处闲愁,liang'chu'xian'chou
良窗淡月,liang'chuang'dan'yue
凉生枕簟泪痕滋,liang'sheng'zhen'dian'lei'hen'zi
临高阁,lin'gao'ge
临水登楼,lin'shui'deng'lou
留得几多时,liu'de'ji'duo'shi
柳梢梅萼渐分明,liu'shao'mei'e'jian'fen'ming
留晓梦,liu'xiao'meng
柳眼梅腮,liu'yan'mei'sai
漏残银箭,lou'can'yin'jian
楼上几日春寒,lou'shang'ji'ri'chun'han
漏声长,lou'sheng'chang
露浓花瘦,lu'nong'hua'shou
乱山平野烟光薄,luan'shan'ping'ye'yan'guang'bo
落日熔金,luo'ri'rong'jin
绿蚁新尝,lv'yi'xin'chang
买得一枝春欲放,mai'de'yi'zhi'chun'yu'fang
卖花担上,mai'hua'dan'shang
满地黄花堆积,man'di'huang'hua'dui'ji
梅定妒,mei'ding'du
梅萼插残枝,mei'e'cha'can'zhi
没个人堪寄,mei'ge'ren'kan'ji
梅花鬓上残,mei'hua'bin'shang'can
梅蕊重重何俗甚,mei'rui'chong'chong'he'su'shen
梅心惊破,mei'xin'jing'po
门前风景雨来佳,men'qian'feng'jing'yu'lai'jia
闷损阑干愁不倚,men'sun'lan'gan'chou'bu'yi
梦断不成归,meng'duan'bu'cheng'gui
梦断偏宜瑞脑香,meng'duan'pian'yi'rui'nao'xiang
梦回山枕隐花钿,meng'hui'shan'zhen'yin'hua'dian
梦远不成归,meng'yuan'bu'cheng'gui
眠沙鸥鹭不回头,mian'sha'ou'lu'bu'hui'tou
明月空床,ming'yue'kong'chuang
莫辞醉,mo'ci'zui
莫待西楼,mo'dai'xi'lou
莫道不消魂,mo'dao'bu'xiao'hun
莫分茶,mo'fen'cha
莫负东篱菊蕊黄,mo'fu'dong'li'ju'rui'huang
莫恨香消玉减,mo'hen'xiang'xiao'yu'jian
莫将比拟未新奇,mo'jiang'bi'ni'wei'xin'qi
莫是离中,mo'shi'li'zhong
莫许杯深琥珀浓,mo'xu'bei'shen'hu'po'nong
暮天闻角,mu'tian'wen'jiao
木犀花,mu'xi'hua
暮云合璧,mu'yun'he'bi
那堪永夜,na'kan'yong'ye
南昌生日,nan'chang'sheng'ri
难堪雨藉,nan'kan'yu'ji
南楼羌管休吹,nan'lou'qiang'guan'xiu'chui
南陌上,nan'mo'shang
难言处,nan'yan'chu
南枝可插,nan'zhi'ke'cha
拈金雪柳,nian'jin'xue'liu
捻金雪柳,nian'jin'xue'liu
年年雪里,nian'nian'xue'li
念武陵人远,nian'wu'ling'ren'yuan
凝眸处,ning'mou'chu
浓睡不消残酒,nong'shui'bu'xiao'can'jiu
浓香吹尽有谁知,nong'xiang'chui'jin'you'shui'zhi
浓烟暗雨,nong'yan'an'yu
奴面不如花面好,nu'mian'bu'ru'hua'mian'hao
暖风迟日也,nuan'feng'chi'ri'ye
暖日晴风初破冻,nuan'ri'qing'feng'chu'po'dong
暖雨晴风初破冻,nuan'yu'qing'feng'chu'po'dong
挪尽梅花无好意,nuo'jin'mei'hua'wu'hao'yi
怕见夜间出去,pa'jian'ye'jian'chu'qu
怕郎猜道,pa'lang'cai'dao
彷佛梦魂归帝所,pang'fo'meng'hun'gui'di'suo
蓬舟吹取三山去,peng'zhou'chui'qu'san'shan'qu
辟寒金小髻鬟松,pi'han'jin'xiao'ji'huan'song
苹花汀草,ping'hua'ting'cao
凭栏翠帘低卷,ping'lan'cui'lian'di'juan
铺翠冠儿,pu'cui'guan'er
起解罗衣聊问,qi'jie'luo'yi'liao'wen
起来慵整纤纤手,qi'lai'yong'zheng'xian'xian'shou
起来慵自梳头,qi'lai'yong'zi'shu'tou
凄凄惨惨戚戚,qi'qi'can'can'qi'qi
凄凄惶惶,qi'qi'huang'huang
栖鸦归後,qi'ya'gui'hou
绮筵散日,qi'yan'san'ri
恰称人怀抱,qia'cheng'ren'huai'bao
千行泪,qian'hang'lei
牵牛织女,qian'niu'zhi'nv
千万遍阳关,qian'wan'bian'yang'guan
憔悴损,qiao'cui'sun
清芬酝藉,qing'fen'yun'jie
青缸暗明灭,qing'gang'an'ming'mie
庆高闳此际,qing'gao'hong'ci'ji
轻解罗裳,qing'jie'luo'shang
清露晨流,qing'lu'chen'liu
青露洗,qing'lu'xi
情疏迹远只香留,qing'shu'ji'yuan'zhi'xiang'liu
清昼永,qing'zhou'yong
蛩声细,qiong'sheng'xi
秋已尽,qiu'yi'jin
秋已暮,qiu'yi'mu
屈平陶令,qu'ping'tao'ling
却把青梅嗅,que'ba'qing'mei'xiu
却道海棠依旧,que'dao'hai'tang'yi'jiu
却上心头,que'shang'xin'tou
却是旧时相识,que'shi'jiu'shi'xiang'shi
却无情,que'wu'qing
染柳烟浓,ran'liu'yan'nong
任宝奁尘满,ren'bao'lian'chen'man
人比黄花瘦,ren'bi'huang'hua'shou
人道山长水又断,ren'dao'shan'chang'shui'you'duan
人归早,ren'gui'zao
人何处,ren'he'chu
人间帘幕垂,ren'jian'lian'mu'chui
人间天上,ren'jian'tian'shang
人老建康城,ren'lao'jian'kang'cheng
人悄悄,ren'qiao'qiao
人情好,ren'qing'hao
认取长安道,ren'qu'chang'an'dao
人在何处,ren'zai'he'chu
日高烟敛,ri'gao'yan'lian
日上帘钩,ri'shang'lian'gou
日晚倦梳头,ri'wan'juan'shu'tou
日影下帘钩,ri'ying'xia'lian'gou
日犹长,ri'you'chang
融和天气,rong'he'tian'qi
荣耀,rong'yao
柔肠一寸愁千缕,rou'chang'yi'cun'chou'qian'lv
揉破黄金万点轻,rou'po'huang'jin'wan'dian'qing
如今老去无成,ru'jin'lao'qu'wu'cheng
如今憔悴,ru'jin'qiao'cui
如今有谁堪摘,ru'jin'you'shui'kan'zhai
如韵胜,ru'yun'sheng
瑞脑香消魂梦断,rui'nao'xiang'xiao'hun'meng'duan
瑞脑消金兽,rui'nao'xiao'jin'shou
挼尽梅花无好意,ruo'jin'mei'hua'wu'hao'yi
三杯两盏淡酒,san'bei'liang'zhan'dan'jiu
扫迹难留,sao'ji'nan'liu
骚人可煞无情思,sao'ren'ke'sha'wu'qing'si
霎儿风,sha'er'feng
霎儿雨,sha'er'yu
山枕斜欹,shan'zhen'xie'qi
伤心枕上三更雨,shang'xin'zhen'shang'san'geng'yu
谁人可继芳尘,shei'ren'ke'ji'fang'chen
甚霎儿晴,shen'sha'er'qing
沈水卧时烧,shen'shui'wo'shi'shao
沈香烟断玉炉寒,shen'xiang'yan'duan'yu'lu'han
生当作人杰,sheng'dang'zuo'ren'jie
生怕离怀别苦,sheng'pa'li'huai'bie'ku
试灯无意思,shi'deng'wu'yi'si
试问卷帘人,shi'wen'juan'lian'ren
守着窗儿,shou'zhe'chuang'er
手种江梅更好,shou'zhong'jiang'mei'geng'hao
舒卷有馀情,shu'juan'you'yu'qing
疏帘铺淡月,shu'lian'pu'dan'yue
曙色回牛斗,shu'se'hui'niu'dou
数声羌管,shu'sheng'qiang'guan
疏影尚风流,shu'ying'shang'feng'liu
疏钟已应晚来风,shu'zhong'yi'ying'wan'lai'feng
水光山色与人亲,shui'guang'shan'se'yu'ren'qin
谁教并蒂连枝摘,shui'jiao'bing'di'lian'zhi'zhai
谁怜流落江湖上,shui'lian'liu'luo'jiang'hu'shang
谁怜憔悴更雕零,shui'lian'qiao'cui'geng'diao'ling
睡起觉微寒,shui'qi'jue'wei'han
说不尽,shuo'bu'jin
似愁凝,si'chou'ning
四叠阳关,si'die'yang'guan
似泪洒,si'lei'sa
似也恨,si'ye'hen
死亦为鬼雄,si'yi'wei'gui'xiong
随意杯盘虽草草,sui'yi'bei'pan'sui'cao'cao
孙寿愁眉,sun'shou'chou'mei
踏雪没心情,ta'xue'mei'xin'qing
太鲜明,tai'xian'ming
探金英知近重阳,tan'jin'ying'zhi'jin'chong'yang
檀深雪散,tan'shen'xue'san
探著南枝开遍末,tan'zhu'nan'zhi'kai'bian'mo
藤床纸帐朝眠起,teng'chuang'zhi'zhang'chao'mian'qi
天教憔悴度芳姿,tian'jiao'qiao'cui'du'fang'zi
天教憔悴瘦芳姿,tian'jiao'qiao'cui'shou'fang'zi
天接云涛连晓雾,tian'jie'yun'tao'lian'xiao'wu
天上愁浓,tian'shang'chou'nong
天上星河转,tian'shang'xing'he'zhuan
天与秋光,tian'yu'qiu'guang
听人笑语,ting'ren'xiao'yu
庭院深深深几许,ting'yuan'shen'shen'shen'ji'xu
通犀还解辟寒无,tong'xi'hai'jie'pi'han'wu
徒要教郎比并看,tu'yao'jiao'lang'bi'bing'kan
袜刬金钗溜,wa'chan'jin'chai'liu
袜铲金钗溜,wa'chan'jin'chai'liu
晚风庭院落梅初,wan'feng'ting'yuan'luo'mei'chu
晚来风急,wan'lai'feng'ji
万千心事难寄,wan'qian'xin'shi'nan'ji
纨扇题诗,wan'shan'ti'shi
望断归来路,wang'duan'gui'lai'lu
忘了除非醉,wang'le'chu'fei'zui
忘了临行,wang'le'lin'xing
望日边六叶,wang'ri'bian'liu'ye
为报今年春色好,wei'bao'jin'nian'chun'se'hao
未必明朝风不起,wei'bi'ming'chao'feng'bu'qi
未成沈醉意先融,wei'cheng'shen'zui'yi'xian'rong
微风起,wei'feng'qi
微寒应候,wei'han'ying'hou
未开匀,wei'kai'yun
为谁憔悴损芳姿,wei'shui'qiao'cui'sun'fang'zi
惟有楼前流水,wei'you'lou'qian'liu'shui
文步紫禁,wen'bu'zi'jin
闻说双溪春尚好,wen'shuo'shuang'xi'chun'shang'hao
闻天语,wen'tian'yu
闻砧声捣,wen'zhen'sheng'dao
我报路长嗟日暮,wo'bao'lu'chang'jie'ri'mu
卧看残月上窗纱,wo'kan'can'yue'shang'chuang'sha
无佳思,wu'jia'si
无情风雨,wu'qing'feng'yu
无穷好,wu'qiong'hao
无人到,wu'ren'dao
误入藕花深处,wu'ru'ou'hua'shen'chu
物是人非事事休,wu'shi'ren'fei'shi'shi'xiu
梧桐更兼细雨,wu'tong'geng'jian'xi'yu
梧桐落,wu'tong'luo
梧桐应恨夜来霜,wu'tong'ying'hen'ye'lai'shuang
惜别伤离方寸乱,xi'bie'shang'li'fang'cun'luan
惜春春去,xi'chun'chun'qu
细风吹雨弄轻阴,xi'feng'chui'yu'nong'qing'yin
西风催衬梧桐落,xi'feng'cui'chen'wu'tong'luo
西风留旧寒,xi'feng'liu'jiu'han
细看取,xi'kan'qu
闲窗销昼,xian'chuang'xiao'zhou
险韵诗成,xian'yun'shi'cheng
香车宝马,xiang'che'bao'ma
香冷金猊,xiang'leng'jin'ni
想离情,xiang'li'qing
香脸半开娇旖旎,xiang'lian'ban'kai'jiao'yi'ni
向人无限依依,xiang'ren'wu'xian'yi'yi
香消酒未消,xiang'xiao'jiu'wei'xiao
小风疏雨萧萧地,xiao'feng'shu'yu'xiao'xiao'di
小阁藏春,xiao'ge'cang'chun
小楼寒,xiao'lou'han
萧条庭院,xiao'tiao'ting'yuan
萧萧两鬓生华,xiao'xiao'liang'bin'sheng'hua
潇潇微雨闻孤馆,xiao'xiao'wei'yu'wen'gu'guan
萧萧微雨闻孤馆,xiao'xiao'wei'yu'wen'gu'guan
小院闲窗春已深,xiao'yuan'xian'chuang'chun'yi'shen
斜飞宝鸭衬香腮,xie'fei'bao'ya'chen'xiang'sai
谢他酒朋诗侣,xie'ta'jiu'peng'shi'lv
斜偎宝鸭亲香腮,xie'wei'bao'ya'qin'xiang'sai
新来瘦,xin'lai'shou
新桐初引,xin'tong'chu'yin
星河欲转千帆舞,xing'he'yu'zhuan'qian'fan'wu
兴尽晚回舟,xing'jin'wan'hui'zhou
星桥鹊驾,xing'qiao'que'jia
醒时空对烛花红,xing'shi'kong'dui'zhu'hua'hong
绣面芙蓉一笑开,xiu'mian'fu'rong'yi'xiao'kai
绣幕芙蓉一笑开,xiu'mu'fu'rong'yi'xiao'kai
休休,xiu'xiu
许多愁,xu'duo'chou
徐娘傅粉,xu'niang'fu'fen
须信道,xu'xin'dao
雪里已知春信至,xue'li'yi'zhi'chun'xin'zhi
雪清玉瘦,xue'qing'yu'shou
学诗漫有惊人句,xue'shi'man'you'jing'ren'ju
学诗谩有惊人句,xue'shi'man'you'jing'ren'ju
熏透愁人千里梦,xun'tou'chou'ren'qian'li'meng
寻寻觅觅,xun'xun'mi'mi
眼波才动被人猜,yan'bo'cai'dong'bei'ren'cai
烟光薄,yan'guang'bo
雁过也,yan'guo'ye
烟锁秦楼,yan'suo'qin'lou
雁字回时,yan'zi'hui'shi
要来小看便来休,yao'lai'xiao'kan'bian'lai'xiu
妖娆艳态,yao'rao'yan'tai
要吟风味两家新,yao'yin'feng'wei'liang'jia'xin
也不似,ye'bu'si
夜长帘幕低垂,ye'chang'lian'mu'di'chui
夜何其,ye'he'qi
夜来沉醉卸妆迟,ye'lai'chen'zui'xie'zhuang'chi
夜来清梦好,ye'lai'qing'meng'hao
夜来揉损琼肌,ye'lai'rou'sun'qiong'ji
夜来沈醉卸妆迟,ye'lai'shen'zui'xie'zhuang'chi
夜阑犹剪灯花弄,ye'lan'you'jian'deng'hua'nong
夜阑犹翦灯花弄,ye'lan'you'jian'deng'hua'nong
也拟泛轻舟,ye'ni'fan'qing'zhou
叶叶心心,ye'ye'xin'xin
也则难留,ye'ze'nan'liu
倚遍栏干,yi'bian'lan'gan
倚遍阑干,yi'bian'lan'gan
一段新愁,yi'duan'xin'chou
一番风露晓妆新,yi'fan'feng'lu'xiao'zhuang'xin
一番凉,yi'fan'liang
一番雨,yi'fan'yu
已觉春心动,yi'jue'chun'xin'dong
倚楼无语理瑶琴,yi'lou'wu'yu'li'yao'qin
倚门回首,yi'men'hui'shou
一面风情深有韵,yi'mian'feng'qing'shen'you'yun
一一金章绿绶,yi'yi'jin'zhang'lv'shou
一枝折得,yi'zhi'zhe'de
一种相思,yi'zhong'xiang'si
阴满中庭,yin'man'zhong'ting
殷勤问我归何处,yin'qin'wen'wo'gui'he'chu
赢得满衣清泪,ying'de'man'yi'qing'lei
应念我,ying'nian'wo
应是发南枝,ying'shi'fa'nan'zhi
应是绿肥红瘦,ying'shi'lv'fei'hong'shou
永夜恹恹欢意少,yong'ye'yan'yan'huan'yi'shao
有暗香盈袖,you'an'xiang'ying'xiu
又催下,you'cui'xia
犹带彤霞晓露痕,you'dai'tong'xia'xiao'lu'hen
又还寂寞,you'hai'ji'mo
又还秋色,you'hai'qiu'se
又何必,you'he'bi
有令容淑质,you'ling'rong'shu'zhi
又斜风细雨,you'xie'feng'xi'yu
玉骨冰肌未肯枯,yu'gu'bing'ji'wei'ken'ku
玉栏干慵倚,yu'lan'gan'yong'yi
玉炉沉水袅残烟,yu'lu'chen'shui'niao'can'yan
玉炉沈水袅残烟,yu'lu'shen'shui'niao'can'yan
玉人浴出新妆洗,yu'ren'yu'chu'xin'zhuang'xi
玉瘦檀轻无限恨,yu'shou'tan'qing'wu'xian'hen
玉瘦香浓,yu'shou'xiang'nong
欲说还休,yu'shuo'huan'xiu
玉鸭薰炉闲瑞脑,yu'ya'xun'lu'xian'rui'nao
欲语泪先流,yu'yu'lei'xian'liu
玉枕纱橱,yu'zhen'sha'chu
元宵佳节,yuan'xiao'jia'jie
远岫出山催薄暮,yuan'xiu'chu'shan'cui'bo'mu
远岫出云催薄暮,yuan'xiu'chu'yun'cui'bo'mu
月满西楼,yue'man'xi'lou
月移花影约重来,yue'yi'hua'ying'yue'chong'lai
月依依,yue'yi'yi
云鬓斜簪,yun'bin'xie'zan
云窗雾阁常扃,yun'chuang'wu'ge'chang'jiong
云窗雾阁春迟,yun'chuang'wu'ge'chun'chi
云间水远,yun'jian'shui'yuan
云阶月地,yun'jie'yue'di
云中谁寄锦书来,yun'zhong'shui'ji'jin'shu'lai
载不动,zai'bu'dong
载不动许多愁,zai'bu'dong'xu'duo'chou
造化可能偏有意,zao'hua'ke'neng'pian'you'yi
泽畔东篱,ze'pan'dong'li
怎敌他,zen'di'ta
怎一个愁字了得,zen'yi'ge'chou'zi'liao'de
乍暖还寒时候,zha'nuan'hai'han'shi'hou
乍试夹衫金缕缝,zha'shi'jia'shan'jin'lv'feng
掌上一颗明珠剖,zhang'shang'yi'ke'ming'zhu'pou
朝暮入承明后,zhao'mu'ru'cheng'ming'hou
这次第,zhe'ci'di
这回去也,zhe'hui'qu'ye
枕上诗书闲处好,zhen'shang'shi'shu'xian'chu'hao
枕损钗头凤,zhen'sun'chai'tou'feng
争渡争渡,zheng'du'zheng'du
征鸿过尽,zheng'hong'guo'jin
正人间,zheng'ren'jian
正日烘池馆,zheng'ri'hong'chi'guan
正伤心,zheng'shang'xin
正是伤春时节,zheng'shi'shang'chun'shi'jie
知否知否,zhi'fou'zhi'fou
至今思项羽,zhi'jin'si'xiang'yu
只恐双溪舴艋舟,zhi'kong'shuang'xi'ze'meng'zhou
只是无情绪,zhi'shi'wu'qing'xu
只有情怀不似,zhi'you'qing'huai'bu'si
重帘未卷影沉沉,zhong'lian'wei'juan'ying'chen'chen
重帘未卷影沈沈,zhong'lian'wei'juan'ying'shen'shen
重门须闭,zhong'men'xu'bi
终日凝眸,zhong'ri'ning'mou
终日向人多酝藉,zhong'ri'xiang'ren'duo'yun'jie
仲宣怀远更凄凉,zhong'xuan'huai'yuan'geng'qi'liang
种种恼人天气,zhong'zhong'nao'ren'tian'qi
中州盛日,zhong'zhou'sheng'ri
昼锦满堂贵胄,zhou'jin'man'tang'gui'zhou
烛底凤钗明,zhu'di'feng'chai'ming
