哀长吉,ai'chang'ji
陈寡言,chen'gua'yan
陈瓘,chen'guan
陈光,chen'guang
陈沆,chen'hang
陈合,chen'he
陈鹄,chen'hu
陈祜,chen'hu
陈季,chen'ji
陈纪,chen'ji
陈季卿,chen'ji'qing
陈济翁,chen'ji'weng
陈嘉言,chen'jia'yan
陈京,chen'jing
陈景沂,chen'jing'yi
陈九流,chen'jiu'liu
陈居仁,chen'ju'ren
陈垲,chen'kai
陈康伯,chen'kang'bo
陈克,chen'ke
陈贶,chen'kuang
陈亮,chen'liang
陈琳,chen'lin
陈梦协,chen'meng'xie
沈明叔,chen'ming'shu
陈睦,chen'mu
陈楠,chen'nan
陈凝,chen'ning
陈蓬,chen'peng
陈朴,chen'pu
陈耆卿,chen'qi'qing
陈潜心,chen'qian'xin
陈峤,chen'qiao
陈去疾,chen'qu'ji
沉佺期,chen'quan'qi
陈人杰,chen'ren'jie
陈日章,chen'ri'zhang
陈汝羲,chen'ru'xi
陈润,chen'run
陈若晦,chen'ruo'hui
陈三立,chen'san'li
陈三聘,chen'san'pin
陈善,chen'shan
陈上美,chen'shang'mei
陈诜,chen'shen
陈深,chen'shen
陈师道,chen'shi'dao
陈师穆,chen'shi'mu
陈述,chen'shu
陈叔达,chen'shu'da
陈恕可,chen'shu'ke
陈舜翁,chen'shun'weng
陈孙,chen'sun
陈坦之,chen'tan'zhi
陈陶,chen'tao
陈通方,chen'tong'fang
陈韡,chen'wei
陈维崧,chen'wei'song
陈惟哲,chen'wei'zhe
陈文述,chen'wen'shu
陈无咎,chen'wu'jiu
陈希烈,chen'xi'lie
陈袭善,chen'xi'shan
陈偕,chen'xie
陈嶰,chen'xie
陈亚,chen'ya
陈彦博,chen'yan'bo
陈彦章妻,chen'yan'zhang'qi
陈尧佐,chen'yao'zuo
陈晔,chen'ye
陈义,chen'yi
陈毅,chen'yi
陈翊,chen'yi
陈以庄,chen'yi'zhuang
陈郁,chen'yu
陈羽,chen'yu
陈玉兰,chen'yu'lan
陈与兴,chen'yu'xing
陈与义,chen'yu'yi
陈元初,chen'yuan'chu
陈元光,chen'yuan'guang
陈元裕,chen'yuan'yu
沈约,chen'yue
陈允平,chen'yun'ping
陈云厓,chen'yun'ya
陈造,chen'zao
陈慥,chen'zao
陈政,chen'zheng
陈至,chen'zhi
陈知柔,chen'zhi'rou
陈之贤,chen'zhi'xian
陈中师,chen'zhong'shi
陈著,chen'zhu
陈翥,chen'zhu
陈子昂,chen'zi'ang
陈子良,chen'zi'liang
陈子龙,chen'zi'long
陈祖安,chen'zu'an
程珌,cheng'bi
程伯春,cheng'bo'chun
程长文,cheng'chang'wen
程大昌,cheng'da'chang
程东湾,cheng'dong'wan
成都醉道,cheng'du'zui'dao
成崿,cheng'e
成辅端,cheng'fu'duan
程垓,cheng'gai
程公许,cheng'gong'xu
程过,cheng'guo
程颢,cheng'hao
程贺,cheng'he
程和仲,cheng'he'zhong
程霁岩,cheng'ji'yan
程节斋,cheng'jie'zhai
程邻,cheng'lin
程洛宾,cheng'luo'bin
程梅斋,cheng'mei'zhai
程弥纶,cheng'mi'lun
程师孟,cheng'shi'meng
程武,cheng'wu
程先,cheng'xian
程行谌,cheng'xing'chen
成彦雄,cheng'yan'xiong
成真人,cheng'zhen'ren
程正同,cheng'zheng'tong
程准,cheng'zhun
程紫霄,cheng'zi'xiao
崇圣寺鬼,chong'sheng'si'gui
仇远,chou'yuan
楚儿,chu'er
储光羲,chu'guang'xi
处默,chu'mo
楚娘,chu'niang
储嗣宗,chu'si'zong
储泳,chu'yong
春娘,chun'niang
春台仙,chun'tai'xian
慈恩寺沙,ci'en'si'sha
慈恩院女,ci'en'yuan'nv
崔安潜,cui'an'qian
崔备,cui'bei
崔邠,cui'bin
崔常侍,cui'chang'shi
崔成甫,cui'cheng'fu
崔琮,cui'cong
崔澹,cui'dan
崔道融,cui'dao'rong
崔涤,cui'di
崔峒,cui'dong
崔敦礼,cui'dun'li
崔敦诗,cui'dun'shi
崔藩,cui'fan
崔亘,cui'gen
崔耿,cui'geng
崔恭,cui'gong
崔公信,cui'gong'xin
崔公远,cui'gong'yuan
崔公佐客,cui'gong'zuo'ke
崔瓘,cui'guan
崔珪,cui'gui
崔国辅,cui'guo'fu
崔颢,cui'hao
崔何,cui'he
崔护,cui'hu
崔怀宝,cui'huai'bao
崔惠童,cui'hui'tong
崔绩,cui'ji
崔季卿,cui'ji'qing
崔江,cui'jiang
崔郊,cui'jiao
崔居俭,cui'ju'jian
崔珏,cui'jue
崔立言,cui'li'yan
崔立之,cui'li'zhi
崔橹,cui'lu
崔璐,cui'lu
崔沔,cui'mian
崔敏童,cui'min'tong
崔木,cui'mu
崔璞,cui'pu
崔翘,cui'qiao
崔日用,cui'ri'yong
崔日知,cui'ri'zhi
崔融,cui'rong
崔若砺,cui'ruo'li
崔善为,cui'shan'wei
崔尚,cui'shang
崔少玄,cui'shao'xuan
崔氏,cui'shi
崔湜,cui'shi
崔曙,cui'shu
崔枢,cui'shu
崔颂,cui'song
崔素娥,cui'su'e
崔泰之,cui'tai'zhi
崔涂,cui'tu
翠微翁,cui'wei'weng
崔信明,cui'xin'ming
崔兴宗,cui'xing'zong
崔萱,cui'xuan
崔轩,cui'xuan
崔铉,cui'xuan
崔玄亮,cui'xuan'liang
崔玄童,cui'xuan'tong
崔涯,cui'ya
崔郾,cui'yan
崔液,cui'ye
崔膺,cui'ying
崔莺莺,cui'ying'ying
崔庸,cui'yong
崔禹锡,cui'yu'xi
崔与之,cui'yu'zhi
崔元范,cui'yuan'fan
崔元翰,cui'yuan'han
崔元略,cui'yuan'lue
崔知贤,cui'zhi'xian
崔中,cui'zhong
崔仲容,cui'zhong'rong
崔子向,cui'zi'xiang
崔紫云,cui'zi'yun
崔宗之,cui'zong'zhi
大易,da'yi
大愚,da'yu
戴察,dai'cha
戴复古,dai'fu'gu
戴复古妻,dai'fu'gu'qi
戴公怀,dai'gong'huai
戴敏,dai'min
戴平之,dai'ping'zhi
戴衢,dai'qu
戴山隐,dai'shan'yin
戴叔伦,dai'shu'lun
戴司颜,dai'si'yan
戴休珽,dai'xiu'ting
戴翼,dai'yi
澹交,dan'jiao
淡然,dan'ran
耽章,dan'zhang
道恭,dao'gong
道会,dao'hui
德诚,de'cheng
德宗宫人,de'zong'gong'ren
邓剡,deng'shan
邓肃,deng'su
邓洵美,deng'xun'mei
邓倚,deng'yi
邓有功,deng'you'gong
邓陟,deng'zhi
狄归昌,di'gui'chang
狄焕,di'huan
狄仁杰,di'ren'jie
丁察院,ding'cha'yuan
丁持正,ding'chi'zheng
丁黼,ding'fu
丁几仲,ding'ji'zhong
丁居晦,ding'ju'hui
丁棱,ding'leng
丁默,ding'mo
丁求安,ding'qiu'an
丁谓,ding'wei
丁位,ding'wei
丁无悔,ding'wu'hui
丁羲叟,ding'xi'sou
丁仙现,ding'xian'xian
丁仙芝,ding'xian'zhi
丁宥,ding'you
丁元和,ding'yuan'he
丁泽,ding'ze
丁注,ding'zhu
董德元,dong'de'yuan
东方虬,dong'fang'qiu
东冈,dong'gang
董嗣杲,dong'si'gao
董思恭,dong'si'gong
洞庭龙君,dong'ting'long'jun
董武子,dong'wu'zi
董乂,dong'yi
董颖,dong'ying
窦参,dou'can
窦常,dou'chang
窦昉,dou'fang
窦夫人,dou'fu'ren
窦巩,dou'gong
窦弘余,dou'hong'yu
窦冀,dou'ji
窦梁宾,dou'liang'bin
豆卢复,dou'lu'fu
豆卢回,dou'lu'hui
豆卢荣,dou'lu'rong
窦蒙,dou'meng
窦牟,dou'mou
窦群,dou'qun
窦叔向,dou'shu'xiang
窦威,dou'wei
窦希玠,dou'xi'jie
都下妓,dou'xia'ji
窦庠,dou'xiang
窦洵直,dou'xun'zhi
窦裕,dou'yu
杜安道,du'an'dao
杜安世,du'an'shi
杜常,du'chang
杜大中妾,du'da'zhong'qie
杜东,du'dong
杜甫,du'fu
杜羔,du'gao
独孤及,du'gu'ji
独孤良弼,du'gu'liang'bi
独孤良器,du'gu'liang'qi
独孤申叔,du'gu'shen'shu
独孤实,du'gu'shi
独孤授,du'gu'shou
独孤绶,du'gu'shou
独孤铉,du'gu'xuan
杜光庭,du'guang'ting
杜兼,du'jian
杜建徽,du'jian'hui
杜耒,du'lei
杜良臣,du'liang'chen
杜龙沙,du'long'sha
杜牧,du'mu
杜秋娘,du'qiu'niang
杜审言,du'shen'yan
杜诵,du'song
杜頠,du'wei
杜荀鹤,du'xun'he
杜俨,du'yan
杜淹,du'yan
杜奕,du'yi
杜易简,du'yi'jian
杜旟,du'yu
杜于皇,du'yu'huang
杜元颖,du'yuan'ying
杜旃,du'zhan
杜正伦,du'zheng'lun
杜之松,du'zhi'song
杜周士,du'zhou'shi
段成式,duan'cheng'shi
段穀,duan'gu
段弘古,duan'hong'gu
段宏章,duan'hong'zhang
段怀然,duan'huai'ran
段文昌,duan'wen'chang
段倚,duan'yi
敦诚,dun'cheng
敦煌曲子,dun'huang'qu'zi
萼岭书生,e'ling'shu'sheng
尔鸟,er'niao
法常,fa'chang
法轮,fa'lun
法宣,fa'xuan
法照,fa'zhao
法振,fa'zhen
范朝,fan'chao
樊忱,fan'chen
范成大,fan'cheng'da
范传正,fan'chuan'zheng
范传质,fan'chuan'zhi
范纯仁,fan'chun'ren
范灯,fan'deng
范端臣,fan'duan'chen
范飞,fan'fei
樊夫人,fan'fu'ren
樊晃,fan'huang
范宽之,fan'kuan'zhi
范梦龙,fan'meng'long
繁钦,fan'qin
范晞文,fan'xi'wen
樊骧,fan'xiang
樊珣,fan'xun
范炎,fan'yan
樊阳源,fan'yang'yuan
范尧佐,fan'yao'zuo
范夜,fan'ye
范元凯,fan'yuan'kai
范云,fan'yun
范智闻,fan'zhi'wen
范致虚,fan'zhi'xu
繁知一,fan'zhi'yi
范仲淹,fan'zhong'yan
范周,fan'zhou
樊宗师,fan'zong'shi
范祖禹,fan'zu'yu
房白,fang'bai
方干,fang'gan
房琯,fang'guan
方衡,fang'heng
方壶居士,fang'hu'ju'shi
方君遇,fang'jun'yu
房千里,fang'qian'li
方千里,fang'qian'li
房融,fang'rong
房孺复,fang'ru'fu
房舜卿,fang'shun'qing
方味道,fang'wei'dao
方信孺,fang'xin'ru
方有开,fang'you'kai
方愚,fang'yu
方棫,fang'yu
方岳,fang'yue
方泽,fang'ze
方资,fang'zi
费冠卿,fei'guan'qing
费时举,fei'shi'ju
妃之,fei'zhi
瀵水神,fen'shui'shen
封敖,feng'ao
冯班,feng'ban
封抱一,feng'bao'yi
冯待征,feng'dai'zheng
冯道,feng'dao
冯道幕客,feng'dao'mu'ke
冯道之,feng'dao'zhi
丰干,feng'gan
冯衮,feng'gun
封行高,feng'hang'gao
冯晖,feng'hui
冯涓,feng'juan
冯伉,feng'kang
封孟绅,feng'meng'shen
冯去非,feng'qu'fei
冯取洽,feng'qu'qia
冯熔,feng'rong
冯少吉,feng'shao'ji
冯时行,feng'shi'xing
冯宿,feng'su
冯伟寿,feng'wei'shou
冯涯,feng'ya
封彦卿,feng'yan'qing
冯延巳,feng'yan'si
冯应瑞,feng'ying'rui
冯至,feng'zhi
冯著,feng'zhu
傅伯达,fu'bo'da
富春沙际,fu'chun'sha'ji
傅大询,fu'da'xun
辅国将军,fu'guo'jiang'jun
富嘉谟,fu'jia'mo
福建士子,fu'jian'shi'zi
赋梅,fu'mei
傅玄,fu'xuan
符载,fu'zai
傅自得,fu'zi'de
符子珪,fu'zi'gui
甘露寺鬼,gan'lu'si'gui
高弁,gao'bian
高伯达,gao'bo'da
高傪,gao'can
高蟾,gao'chan
高崇文,gao'chong'wen
高登,gao'deng
高观国,gao'guan'guo
高瑾,gao'jin
高力士,gao'li'shi
高辇,gao'nian
高骈,gao'pian
高启,gao'qi
高峤,gao'qiao
高球,gao'qiu
高衢,gao'qu
高璩,gao'qu
高绍,gao'shao
高适,gao'shi
高適,gao'shi
高适适,gao'shi'shi
高似孙,gao'si'sun
高亭,gao'ting
高退之,gao'tui'zhi
高惟月,gao'wei'yue
高晞远,gao'xi'yuan
高湘,gao'xiang
高宣教,gao'xuan'jiao
高越,gao'yue
高拯,gao'zheng
高正臣,gao'zheng'chen
高铢,gao'zhu
高子芳,gao'zi'fang
戈壁舟,ge'bi'zhou
葛长庚,ge'chang'geng
隔窗鬼,ge'chuang'gui
戈牢,ge'lao
葛胜仲,ge'sheng'zhong
葛氏女,ge'shi'nv
葛郯,ge'tan
葛鸦儿,ge'ya'er
耿时举,geng'shi'ju
耿湋,geng'wei
耿玮,geng'wei
耿纬,geng'wei
公乘亿,gong'cheng'yi
龚大明,gong'da'ming
宫嫔,gong'pin
龚日升,gong'ri'sheng
弓嗣初,gong'si'chu
公孙杲,gong'sun'gao
龚自珍,gong'zi'zhen
顾卞,gu'bian
顾朝阳,gu'chao'yang
顾春,gu'chun
顾非熊,gu'fei'xiong
鼓峰,gu'feng
顾封人,gu'feng'ren
顾况,gu'kuang
故台城妓,gu'tai'cheng'ji
顾伟,gu'wei
顾夐,gu'xiong
顾敻,gu'xiong
顾炎武,gu'yan'wu
顾云,gu'yun
顾在镕,gu'zai'rong
顾甄远,gu'zhen'yuan
古之奇,gu'zhi'qi
关汉卿,guan'han'qing
管鉴,guan'jian
关盼盼,guan'pan'pan
官舍尘生,guan'she'chen'sheng
管雄甫,guan'xiong'fu
贯休,guan'xiu
关咏,guan'yong
关注,guan'zhu
广利王女,guang'li'wang'nv
广陵道士,guang'ling'dao'shi
广宣,guang'xuan
归登,gui'deng
归仁,gui'ren
归氏子,gui'shi'zi
郭澹,guo'dan
国风,guo'feng
郭恭,guo'gong
郭讵,guo'ju
郭居安,guo'ju'an
郭夔,guo'kui
郭利贞,guo'li'zhen
郭良,guo'liang
郭良骥,guo'liang'ji
郭密之,guo'mi'zhi
郭求,guo'qiu
郭仁表,guo'ren'biao
郭汭,guo'rui
郭绍兰,guo'shao'lan
国邵南,guo'shao'nan
郭世模,guo'shi'mo
郭受,guo'shou
郭向,guo'xiang
郭祥正,guo'xiang'zheng
国学生,guo'xue'sheng
郭应祥,guo'ying'xiang
郭邕,guo'yong
郭圆,guo'yuan
郭元振,guo'yuan'zhen
郭郧,guo'yun
郭章,guo'zhang
郭震,guo'zhen
郭正一,guo'zheng'yi
郭仲宣,guo'zhong'xuan
郭仲循,guo'zhong'xun
郭周藩,guo'zhou'fan
郭子仪,guo'zi'yi
郭子正,guo'zi'zheng
郭遵,guo'zun
海哥,hai'ge
海顺,hai'shun
海印,hai'yin
海子,hai'zi
韩淲,han'biao
韩察,han'cha
韩常侍,han'chang'shi
韩垂,han'chui
韩琮,han'cong
韩定辞,han'ding'ci
韩溉,han'gai
韩翃,han'hong
韩滉,han'huang
韩璜,han'huang
韩嘉彦,han'jia'yan
韩绛,han'jiang
韩驹,han'ju
韩濬,han'jun
韩疁,han'liu
韩琦,han'qi
寒山,han'shan
韩世忠,han'shi'zhong
韩思复,han'si'fu
韩思彦,han'si'yan
韩维,han'wei
韩偓,han'wo
汉无名氏,han'wu'ming'shi
含曦,han'xi
韩熙载,han'xi'zai
韩仙姑,han'xian'gu
韩湘,han'xiang
韩襄客,han'xiang'ke
韩信同,han'xin'tong
韩休,han'xiu
韩弇,han'yan
韩彦古,han'yan'gu
韩仪,han'yi
韩屿,han'yu
韩愈,han'yu
韩玉,han'yu
韩元吉,han'yuan'ji
韩昭,han'zhao
韩昭裔,han'zhao'yi
韩缜,han'zhen
韩缜姬,han'zhen'ji
韩仲宣,han'zhong'xuan
韩准,han'zhun
浩虚舟,hao'xu'zhou
郝子直,hao'zi'zhi
贺敱,he'ai
河北士人,he'bei'shi'ren
何昌龄,he'chang'ling
贺朝,he'chao
何承裕,he'cheng'yu
何锄翁,he'chu'weng
何大圭,he'da'gui
何澹,he'dan
何得之,he'dei'zhi
何扶,he'fu
纥干讽,he'gan'feng
纥干著,he'gan'zhu
何光远,he'guang'yuan
贺及,he'ji
何敬,he'jing
贺敬之,he'jing'zhi
贺兰进明,he'lan'jin'ming
贺兰朋吉,he'lan'peng'ji
何令修,he'ling'xiu
何鸾,he'luan
河湄鬼,he'mei'gui
何梦桂,he'meng'gui
和凝,he'ning
何频瑜,he'pin'yu
何其芳,he'qi'fang
何儒亮,he'ru'liang
何师心,he'shi'xin
贺遂亮,he'sui'liang
贺遂涉,he'sui'she
何蓑衣道,he'suo'yi'dao
何希尧,he'xi'yao
和岘,he'xian
何象,he'xiang
何逊,he'xun
何元上,he'yuan'shang
何赞,he'zan
何兆,he'zhao
贺知章,he'zhi'zhang
河中鬼,he'zhong'gui
何仲举,he'zhong'ju
何仲宣,he'zhong'xuan
何籀,he'zhou
贺铸,he'zhu
何作善,he'zuo'shan
恒超,heng'chao
衡州舟子,heng'zhou'zhou'zi
洪皓,hong'hao
洪适,hong'shi
洪瑹,hong'shu
红绡妓,hong'xiao'ji
弘一,hong'yi
洪州将军,hong'zhou'jiang'jun
洪子大,hong'zi'da
洪咨夔,hong'zi'kui
洪子舆,hong'zi'yu
侯道华,hou'dao'hua
侯冽,hou'lie
侯蒙,hou'meng
侯彭老,hou'peng'lao
侯氏,hou'shi
侯置,hou'zhi
胡曾,hu'ceng
胡传美,hu'chuan'mei
胡德芳,hu'de'fang
胡玢,hu'fen
胡夫人,hu'fu'ren
胡杲,hu'gao
护国,hu'guo
胡皓,hu'hao
胡浩然,hu'hao'ran
胡惠斋,hu'hui'zhai
胡令能,hu'ling'neng
胡骈,hu'pian
胡平仲,hu'ping'zhong
虎丘石壁,hu'qiu'shi'bi
胡铨,hu'quan
胡权,hu'quan
胡世将,hu'shi'jiang
胡舜陟,hu'shun'zhi
胡松年,hu'song'nian
胡宿,hu'su
胡文卿,hu'wen'qing
胡雄,hu'xiong
胡翼龙,hu'yi'long
胡寅,hu'yin
胡幼黄,hu'you'huang
胡幽贞,hu'you'zhen
胡于,hu'yu
胡元范,hu'yuan'fan
扈载,hu'zai
胡证,hu'zheng
胡直钧,hu'zhi'jun
胡仲弓,hu'zhong'gong
胡仔,hu'zi
华清淑,hua'qing'shu
花蕊夫人,hua'rui'fu'ren
华山老人,hua'shan'lao'ren
华岳,hua'yue
花仲胤,hua'zhong'yin
花仲胤妻,hua'zhong'yin'qi
怀楚,huai'chu
怀濬,huai'jun
怀浦,huai'pu
淮上女,huai'shang'nv
怀素,huai'su
黄巢,huang'chao
黄诚之,huang'cheng'zhi
黄崇嘏,huang'chong'gu
黄大临,huang'da'lin
黄大舆,huang'da'yu
黄定,huang'ding
黄幡绰,huang'fan'chuo
皇甫曾,huang'fu'ceng
皇甫澈,huang'fu'che
皇甫大夫,huang'fu'dai'fu
皇甫冉,huang'fu'ran
黄夫人,huang'fu'ren
皇甫湜,huang'fu'shi
皇甫曙,huang'fu'shu
皇甫松,huang'fu'song
皇甫镛,huang'fu'yong
黄革,huang'ge
黄格,huang'ge
黄公度,huang'gong'du
黄公绍,huang'gong'shao
黄冠野夫,huang'guan'ye'fu
黄机,huang'ji
黄霁宇,huang'ji'yu
黄简,huang'jian
黄静淑,huang'jing'shu
黄麟,huang'lin
黄陵美人,huang'ling'mei'ren
黄某,huang'mou
黄判院,huang'pan'yuan
黄颇,huang'po
黄任,huang'ren
黄人杰,huang'ren'jie
黄仁荣,huang'ren'rong
黄山隐,huang'shan'yin
黄裳,huang'shang
黄升,huang'sheng
黄师参,huang'shi'can
黄时龙,huang'shi'long
黄叔达,huang'shu'da
黄水村,huang'shui'cun
黄舜英,huang'shun'ying
黄损,huang'sun
黄谈,huang'tan
黄滔,huang'tao
黄庭坚,huang'ting'jian
黄廷璹,huang'ting'shu
黄庭佐,huang'ting'zuo
黄童,huang'tong
黄文,huang'wen
黄孝迈,huang'xiao'mai
黄岩叟,huang'yan'sou
黄应武,huang'ying'wu
黄右曹,huang'you'cao
黄载,huang'zai
黄宰,huang'zai
黄中,huang'zhong
黄中辅,huang'zhong'fu
黄铢,huang'zhu
黄铸,huang'zhu
黄子功,huang'zi'gong
黄子行,huang'zi'xing
晦庵,hui'an
惠洪,hui'hong
慧寂,hui'ji
慧净,hui'jing
慧偘,hui'kan
惠能,hui'neng
慧宣,hui'xuan
霍安人,huo'an'ren
霍总,huo'zong
吉皎,ji'jiao
嵇康,ji'kang
吉师老,ji'shi'lao
纪唐夫,ji'tang'fu
乩仙,ji'xian
纪元皋,ji'yuan'gao
纪昀,ji'yun
吉中孚,ji'zhong'fu
吉中孚妻,ji'zhong'fu'qi
贾逋,jia'bu
贾曾,jia'ceng
贾昌朝,jia'chang'chao
贾驰,jia'chi
贾躭,jia'dan
贾岛,jia'dao
贾棱,jia'leng
贾谟,jia'mo
贾少卿,jia'shao'qing
家铉翁,jia'xuan'weng
贾弇,jia'yan
贾彦璋,jia'yan'zhang
贾奕,jia'yi
贾逸祖,jia'yi'zu
贾应,jia'ying
贾邕,jia'yong
贾至,jia'zhi
贾宗,jia'zong
鉴堂,jian'tang
建业卜者,jian'ye'bo'zhe
江采萍,jiang'cai'ping
蒋璨,jiang'can
蒋防,jiang'fang
江妃,jiang'fei
姜个翁,jiang'ge'weng
蒋肱,jiang'gong
江汉,jiang'han
蒋涣,jiang'huan
蒋吉,jiang'ji
姜皎,jiang'jiao
蒋捷,jiang'jie
江开,jiang'kai
姜夔,jiang'kui
蒋冽,jiang'lie
江陵士子,jiang'ling'shi'zi
江袤,jiang'mao
蒋氏,jiang'shi
江史君,jiang'shi'jun
蒋氏女,jiang'shi'nv
蒋思恭,jiang'si'gong
姜特立,jiang'te'li
蒋挺,jiang'ting
江万里,jiang'wan'li
江为,jiang'wei
江纬,jiang'wei
蒋维翰,jiang'wei'han
姜晞,jiang'xi
蒋兴祖女,jiang'xing'zu'nv
江衍,jiang'yan
江淹,jiang'yan
蒋贻恭,jiang'yi'gong
蒋元龙,jiang'yuan'long
江致和,jiang'zhi'he
蒋智由,jiang'zhi'you
蒋子云,jiang'zi'yun
江总,jiang'zong
皎然,jiao'ran
焦郁,jiao'yu
解昉,jie'fang
解琬,jie'wan
揭傒斯,jie'xi'si
解彦融,jie'yan'rong
介胄鬼,jie'zhou'gui
金昌绪,jin'chang'xu
金车美人,jin'che'mei'ren
金地藏,jin'di'cang
金厚载,jin'hou'zai
金淑柔,jin'shu'rou
锦溪,jin'xi
金真德,jin'zhen'de
景池,jing'chi
荆冬倩,jing'dong'qian
净端,jing'duan
荆浩,jing'hao
荆轲,jing'ke
敬括,jing'kuo
景龙文馆,jing'long'wen'guan
荆人,jing'ren
静山,jing'shan
景审,jing'shen
荆叔,jing'shu
京镗,jing'tang
净显,jing'xian
净圆,jing'yuan
景云,jing'yun
京兆女子,jing'zhao'nv'zi
京兆韦氏,jing'zhao'wei'shi
荆州僧,jing'zhou'seng
九华山白,jiu'hua'shan'bai
酒肆布衣,jiu'si'bu'yi
鞠华翁,ju'hua'weng
菊翁,ju'weng
开元宫人,kai'yuan'gong'ren
康骈,kang'pian
康庭芝,kang'ting'zhi
康翊仁,kang'yi'ren
康与之,kang'yu'zhi
康仲伯,kang'zhong'bo
柯崇,ke'chong
客户里女,ke'hu'li'nv
可隆,ke'long
