安全带,an'quan'dai
可行性研究,ke'xing'xing'yan'jiu
啃边,ken'bian
坑探,keng'tan
空腹拱桥,kong'fu'gong'qiao
空间平均速度,kong'jian'ping'jun'su'du
空隙比,kong'xi'bi
空隙率,kong'xi'lv
空心桥墩,kong'xin'qiao'dun
跨径,kua'jing
跨线桥,kua'xian'qiao
块料路面,kuai'liao'lu'mian
块石,kuai'shi
块石基层,kuai'shi'ji'ceng
矿粉,kuang'fen
矿料,kuang'liao
扩大基础,kuo'da'ji'chu
喇叭形立体交叉,la'ba'xing'li'ti'jiao'cha
拉杆,la'gan
缆索吊装法,lan'suo'diao'zhuang'fa
缆索吊装设备,lan'suo'diao'zhuang'she'bei
老化,lao'hua
冷拔钢丝,leng'ba'gang'si
冷拌法,leng'ban'fa
冷拉钢筋,leng'la'gang'jin
冷铺法,leng'pu'fa
粒径,li'jing
粒料,li'liao
沥青,li'qing
沥青泵,li'qing'beng
沥青表面处治,li'qing'biao'mian'chu'zhi
沥青膏,li'qing'gao
沥青贯入碎石路面,li'qing'guan'ru'sui'shi'lu'mian
沥青混合料,li'qing'hun'he'liao
沥青混合料拌和设备,li'qing'hun'he'liao'ban'huo'she'bei
沥青混合料摊铺机,li'qing'hun'he'liao'tan'pu'ji
沥青混凝土混合料,li'qing'hun'ning'tu'hun'he'liao
沥青混凝土路面,li'qing'hun'ning'tu'lu'mian
沥青加热器,li'qing'jia're'qi
沥青路面,li'qing'lu'mian
沥青洒布车,li'qing'sa'bu'che
沥青洒布机,li'qing'sa'bu'ji
沥青砂,li'qing'sha
沥青碎石混合料,li'qing'sui'shi'hun'he'liao
沥青碎石路面,li'qing'sui'shi'lu'mian
砾石,li'shi
立体交叉,li'ti'jiao'cha
离析,li'xi
联合梁桥,lian'he'liang'qiao
联结层,lian'jie'ceng
连续刚构桥,lian'xu'gang'gou'qiao
连续梁,lian'xu'liang
连续梁桥,lian'xu'liang'qiao
梁桥,liang'qiao
料石,liao'shi
临界速度,lin'jie'su'du
临时性桥,lin'shi'xing'qiao
菱形立体交叉,ling'xing'li'ti'jiao'cha
流冰,liu'bing
流沙,liu'sha
流域,liu'yu
路拌法,lu'ban'fa
路槽,lu'cao
路侧,lu'ce
路堤,lu'di
路拱,lu'gong
路拱横坡,lu'gong'heng'po
露骨,lu'gu
路基,lu'ji
路基宽度,lu'ji'kuan'du
路基排水,lu'ji'pai'shui
路基沙垫层,lu'ji'sha'dian'ceng
路基设计高程,lu'ji'she'ji'gao'cheng
路肩,lu'jian
路况,lu'kuang
路况调查,lu'kuang'diao'cha
路面,lu'mian
路面标线,lu'mian'biao'xian
路面补强,lu'mian'bu'qiang
路面沉陷,lu'mian'chen'xian
路面粗糙度,lu'mian'cu'cao'du
路面搓板,lu'mian'cuo'ban
路面冻胀,lu'mian'dong'zhang
路面翻修,lu'mian'fan'xiu
路面滑溜,lu'mian'hua'liu
路面结构层,lu'mian'jie'gou'ceng
路面龟裂,lu'mian'jun'lie
路面坑槽,lu'mian'keng'cao
路面宽度,lu'mian'kuan'du
路面摩擦系数,lu'mian'mo'ca'xi'shu
路面平整度,lu'mian'ping'zheng'du
路面平整度测定仪,lu'mian'ping'zheng'du'ce'ding'yi
路面曲率半径测定仪,lu'mian'qu'lv'ban'jing'ce'ding'yi
路面碎裂,lu'mian'sui'lie
路面透水度测定仪,lu'mian'tou'shui'du'ce'ding'yi
路面网裂,lu'mian'wang'lie
路堑,lu'qian
路容,lu'rong
路线交叉,lu'xian'jiao'cha
路线控制点,lu'xian'kong'zhi'dian
路线平面图,lu'xian'ping'mian'tu
路线纵断面图,lu'xian'zong'duan'mian'tu
路用沥青,lu'yong'li'qing
路缘带,lu'yuan'dai
路缘石,lu'yuan'shi
路政管理,lu'zheng'guan'li
卵石,luan'shi
绿波,lv'bo
绿信比,lv'xin'bi
马歇尔试验,ma'xie'er'shi'yan
马歇尔稳定度仪,ma'xie'er'wen'ding'du'yi
埋置式桥台,mai'zhi'shi'qiao'tai
漫水桥,man'shui'qiao
盲沟,mang'gou
锚碇板式桥台,mao'ding'ban'shi'qiao'tai
锚碇式挡土墙,mao'ding'shi'dang'tu'qiang
锚杆式挡土墙,mao'gan'shi'dang'tu'qiang
毛细水,mao'xi'shui
煤沥青,mei'li'qing
面层,mian'ceng
面控制,mian'kong'zhi
民工建勤,min'gong'jian'qin
摩擦桩,mo'ca'zhuang
磨耗层,mo'hao'ceng
磨耗度,mo'hao'du
模量比,mo'liang'bi
木桥,mu'qiao
苜蓿页形立体交叉,mu'xu'ye'xing'li'ti'jiao'cha
挠度,nao'du
内燃夯实机,nei'ran'hang'shi'ji
泥浆泵,ni'jiang'beng
泥结石路面,ni'jie'shi'lu'mian
泥石流,ni'shi'liu
泥炭,ni'tan
泥沼,ni'zhao
年第位最大小时交通量,nian'di'wei'zui'da'xiao'shi'jiao'tong'liang
粘度,nian'du
年平均日交通量,nian'ping'jun'ri'jiao'tong'liang
年最大小时交通量,nian'zui'da'xiao'shi'jiao'tong'liang
偶然荷载,ou'ran'he'zai
爬坡车道,pa'po'che'dao
排架桩墩,pai'jia'zhuang'dun
排水沟,pai'shui'gou
抛石,pao'shi
抛掷爆破,pao'zhi'bao'po
膨胀土,peng'zhang'tu
疲劳试验,pi'lao'shi'yan
劈裂试验,pi'lie'shi'yan
偏角,pian'jiao
片石,pian'shi
贫混凝土,pin'hun'ning'tu
平板车,ping'ban'che
平地机,ping'di'ji
平均速度,ping'jun'su'du
平均纵坡,ping'jun'zong'po
平面交叉,ping'mian'jiao'cha
平面交叉口,ping'mian'jiao'cha'kou
平面线形,ping'mian'xian'xing
平曲线,ping'qu'xian
平原区,ping'yuan'qu
破冰体,po'bing'ti
坡长限制,po'chang'xian'zhi
坡顶,po'ding
坡脚,po'jiao
坡桥,po'qiao
铺砌法,pu'qi'fa
铺砂法,pu'sha'fa
起讫点调查,qi'qi'dian'diao'cha
弃土,qi'tu
弃土堆,qi'tu'dui
气硬性,qi'ying'xing
起重葫芦,qi'zhong'hu'lu
起重机,qi'zhong'ji
千斤顶,qian'jin'ding
前墙,qian'qiang
牵引车,qian'yin'che
强度,qiang'du
强夯法,qiang'hang'fa
抢修,qiang'xiu
桥墩,qiao'dun
桥墩局部冲刷,qiao'dun'ju'bu'chong'shua
桥涵计算跨径,qiao'han'ji'suan'kua'jing
桥涵净跨径,qiao'han'jing'kua'jing
桥梁,qiao'liang
桥梁建筑高度,qiao'liang'jian'zhu'gao'du
桥梁全长,qiao'liang'quan'chang
桥面净空,qiao'mian'jing'kong
桥面铺装,qiao'mian'pu'zhuang
桥面伸缩装置,qiao'mian'shen'suo'zhuang'zhi
桥面系,qiao'mian'xi
桥台,qiao'tai
桥头搭板,qiao'tou'da'ban
桥位,qiao'wei
桥下净空,qiao'xia'jing'kong
桥下一般冲刷,qiao'xia'yi'ban'chong'shua
切线长,qie'xian'chang
清扫车,qing'sao'che
轻质混凝土,qing'zhi'hun'ning'tu
渠化交通,qu'hua'jiao'tong
区间速度,qu'jian'su'du
取土坑,qu'tu'keng
曲线长,qu'xian'chang
全能法测图,quan'neng'fa'ce'tu
绕行公路,rao'xing'gong'lu
热拌法,re'ban'fa
热铺法,re'pu'fa
热稳性,re'wen'xing
人口事故率,ren'kou'shi'gu'lv
人行道,ren'xing'dao
人行地道,ren'xing'di'dao
人行横道,ren'xing'heng'dao
人行桥,ren'xing'qiao
人行天桥,ren'xing'tian'qiao
溶解度,rong'jie'du
柔性墩,rou'xing'dun
柔性路面,rou'xing'lu'mian
乳化沥青,ru'hua'li'qing
软化点,ruan'hua'dian
软练胶砂强度试验,ruan'lian'jiao'sha'qiang'du'shi'yan
软弱地基,ruan'ruo'di'ji
软土,ruan'tu
撒布机,sa'bu'ji
洒水车,sa'shui'che
三轴试验,san'zhou'shi'yan
散装水泥运输车,san'zhuang'shui'ni'yun'shu'che
沙害,sha'hai
砂浆泵,sha'jiang'beng
砂浆稠度仪,sha'jiang'chou'du'yi
沙井,sha'jing
沙砾,sha'li
砂筒,sha'tong
筛分,shai'fen
闪点,shan'dian
山脊线,shan'ji'xian
山岭区,shan'ling'qu
山坡线,shan'po'xian
山腰线,shan'yao'xian
上部结构,shang'bu'jie'gou
上承式桥,shang'cheng'shi'qiao
设计车速,she'ji'che'su
设计高程,she'ji'gao'cheng
设计荷载,she'ji'he'zai
设计洪水频率,she'ji'hong'shui'pin'lv
设计流量,she'ji'liu'liang
设计流速,she'ji'liu'su
设计水位,she'ji'shui'wei
设计通行能力,she'ji'tong'xing'neng'li
设计小时交通量,she'ji'xiao'shi'jiao'tong'liang
摄影测量,she'ying'ce'liang
渗水井,shen'shui'jing
伸缩缝,shen'suo'feng
省道,sheng'dao
省干线公路,sheng'gan'xian'gong'lu
实腹拱桥,shi'fu'gong'qiao
施工,shi'gong
施工测量,shi'gong'ce'liang
施工缝,shi'gong'feng
施工荷载,shi'gong'he'zai
石灰砂浆,shi'hui'sha'jiang
时间平均速度,shi'jian'ping'jun'su'du
视距,shi'ju
矢跨径,shi'kua'jing
石块路面,shi'kuai'lu'mian
石笼,shi'long
实体桥墩,shi'ti'qiao'dun
石屑,shi'xie
石油沥青,shi'you'li'qing
市政道路,shi'zheng'dao'lu
湿周,shi'zhou
十字形交叉,shi'zi'xing'jiao'cha
手扶式单轮压路机,shou'fu'shi'dan'lun'ya'lu'ji
手拉葫芦,shou'la'hu'lu
竖曲线,shu'qu'xian
输送机,shu'song'ji
双曲拱桥,shuang'qu'gong'qiao
水泵,shui'beng
水滑现象,shui'hua'xian'xiang
水毁,shui'hui
水灰比,shui'hui'bi
水结碎石路面,shui'jie'sui'shi'lu'mian
水力半径,shui'li'ban'jing
水力计算,shui'li'ji'suan
水面比降,shui'mian'bi'jiang
水泥安定性试验,shui'ni'an'ding'xing'shi'yan
水泥标号,shui'ni'biao'hao
水泥混凝土,shui'ni'hun'ning'tu
水泥混凝土标号,shui'ni'hun'ning'tu'biao'hao
水泥混凝土混合料,shui'ni'hun'ning'tu'hun'he'liao
水泥混凝土混合料拌和设备,shui'ni'hun'ning'tu'hun'he'liao'ban'huo'she'bei
水泥混凝土混合料泵,shui'ni'hun'ning'tu'hun'he'liao'beng
水泥混凝土混合料搅拌运输车,shui'ni'hun'ning'tu'hun'he'liao'jiao'ban'yun'shu'che
水泥混凝土混合料摊铺机,shui'ni'hun'ning'tu'hun'he'liao'tan'pu'ji
水泥混凝土混合料整面机,shui'ni'hun'ning'tu'hun'he'liao'zheng'mian'ji
水泥混凝土路面,shui'ni'hun'ning'tu'lu'mian
水泥混凝土路面锯缝机,shui'ni'hun'ning'tu'lu'mian'ju'feng'ji
水泥混凝土路面切缝机,shui'ni'hun'ning'tu'lu'mian'qie'feng'ji
水泥混凝土路面清缝机,shui'ni'hun'ning'tu'lu'mian'qing'feng'ji
水泥混凝土配合比,shui'ni'hun'ning'tu'pei'he'bi
水泥砂浆,shui'ni'sha'jiang
水头,shui'tou
水位,shui'wei
水文测量,shui'wen'ce'liang
水文计算,shui'wen'ji'suan
水稳性,shui'wen'xing
水硬性,shui'ying'xing
水准测量,shui'zhun'ce'liang
水准点,shui'zhun'dian
顺坝,shun'ba
松动爆破,song'dong'bao'po
松土机,song'tu'ji
松土搅拌机,song'tu'jiao'ban'ji
速度检测器,su'du'jian'ce'qi
塑限,su'xian
塑性指数,su'xing'zhi'shu
碎落,sui'luo
碎落台,sui'luo'tai
碎石,sui'shi
碎石机,sui'shi'ji
碎石摊铺机,sui'shi'tan'pu'ji
索鞍,suo'an
缩缝,suo'feng
索塔,suo'ta
缩限,suo'xian
塌方,ta'fang
踏勘,ta'kan
塌落度,ta'luo'du
塌落度圆锥仪,ta'luo'du'yuan'zhui'yi
台地,tai'di
台口式路基,tai'kou'shi'lu'ji
台帽,tai'mao
台身,tai'shen
弹性层状体系理论,tan'xing'ceng'zhuang'ti'xi'li'lun
弹性模量,tan'xing'mo'liang
提升机,ti'sheng'ji
填方,tian'fang
天然地基,tian'ran'di'ji
天然沥青,tian'ran'li'qing
调治构造物,tiao'zhi'gou'zao'wu
停车场,ting'che'chang
停车带,ting'che'dai
停车视距,ting'che'shi'ju
通航水位,tong'hang'shui'wei
通行能力,tong'xing'neng'li
透层,tou'ceng
透水路堤,tou'shui'lu'di
透水性试验,tou'shui'xing'shi'yan
土方调配,tu'fang'tiao'pei
土方调配经济运距,tu'fang'tiao'pei'jing'ji'yun'ju
土方调配图,tu'fang'tiao'pei'tu
土石方爆破,tu'shi'fang'bao'po
推土机,tui'tu'ji
推移质,tui'yi'zhi
拓宽路口式交叉口,tuo'kuan'lu'kou'shi'jiao'cha'kou
拖头车,tuo'tou'che
挖方,wa'fang
挖沟机,wa'gou'ji
蛙式打夯机,wa'shi'da'hang'ji
外掺剂,wai'chan'ji
外距,wai'ju
弯沉试验,wan'chen'shi'yan
弯道反光镜,wan'dao'fan'guang'jing
弯道加宽,wan'dao'jia'kuan
万能杆件,wan'neng'gan'jian
万能试验机,wan'neng'shi'yan'ji
弯桥,wan'qiao
微分法测图,wei'fen'fa'ce'tu
微丘区,wei'qiu'qu
围堰,wei'yan
位移,wei'yi
稳定土拌和机,wen'ding'tu'ban'he'ji
稳定土基层,wen'ding'tu'ji'ceng
稳定性,wen'ding'xing
圬工桥,wu'gong'qiao
无机结合物,wu'ji'jie'he'wu
无压力式涵洞,wu'ya'li'shi'han'dong
细度,xi'du
系杆拱桥,xi'gan'gong'qiao
洗净剂喷布车,xi'jing'ji'pen'bu'che
下部结构,xia'bu'jie'gou
下承式桥,xia'cheng'shi'qiao
县道,xian'dao
县公路,xian'gong'lu
线控制,xian'kong'zhi
纤维混凝土,xian'wei'hun'ning'tu
线形设计,xian'xing'she'ji
线形要素,xian'xing'yao'su
先张法,xian'zhang'fa
乡道,xiang'dao
相对密度,xiang'dui'mi'du
箱涵,xiang'han
相片索引图,xiang'pian'suo'yin'tu
相片镶嵌图,xiang'pian'xiang'qian'tu
相位差,xiang'wei'cha
象限角,xiang'xian'jiao
小修保养,xiao'xiu'bao'yang
斜交叉,xie'jiao'cha
斜交桥,xie'jiao'qiao
斜拉桥,xie'la'qiao
斜桥,xie'qiao
斜腿刚构桥,xie'tui'gang'gou'qiao
信号相位,xin'hao'xiang'wei
信号周期,xin'hao'zhou'qi
行车道,xing'che'dao
形刚构桥,xing'gang'gou'qiao
行架桥,xing'jia'qiao
行近流速,xing'jin'liu'su
行驶速度,xing'shi'su'du
徐变,xu'bian
虚交线,xu'jiao'xian
悬壁浇筑法,xuan'bi'jiao'zhu'fa
悬壁梁,xuan'bi'liang
悬臂梁桥,xuan'bi'liang'qiao
悬壁拼装法,xuan'bi'pin'zhuang'fa
悬臂式挡土墙,xuan'bi'shi'dang'tu'qiang
悬索桥,xuan'suo'qiao
选线,xuan'xian
悬移质,xuan'yi'zhi
雪害,xue'hai
巡回养护,xun'hui'yang'hu
垭口,ya'kou
压力式涵洞,ya'li'shi'han'dong
压路机,ya'lu'ji
压实,ya'shi
压实度,ya'shi'du
压实度试验,ya'shi'du'shi'yan
压碎率试模,ya'sui'lv'shi'mo
压碎值,ya'sui'zhi
延度,yan'du
岩溶,yan'rong
延误,yan'wu
沿溪区,yan'xi'qu
沿线设施,yan'xian'she'shi
盐渍土,yan'zi'tu
养护,yang'hu
养护质量综合值,yang'hu'zhi'liang'zong'he'zhi
氧化沥青,yang'hua'li'qing
养路道班,yang'lu'dao'ban
养路费,yang'lu'fei
羊足碾,yang'zu'nian
液化,ye'hua
液限,ye'xian
移动支架逐跨施工法,yi'dong'zhi'jia'zhu'kua'shi'gong'fa
翼墙,yi'qiang
一字形桥台,yi'zi'xing'qiao'tai
引桥,yin'qiao
硬化,ying'hua
硬练胶砂强度试验,ying'lian'jiao'sha'qiang'du'shi'yan
影像地图,ying'xiang'di'tu
壅包,yong'bao
永久荷载,yong'jiu'he'zai
永久性桥,yong'jiu'xing'qiao
壅水,yong'shui
有机结合料,you'ji'jie'he'liao
油石比,you'shi'bi
预拱度,yu'gong'du
淤积,yu'ji
淤泥,yu'ni
预压法,yu'ya'fa
预应力钢材,yu'ying'li'gang'cai
预应力混凝土,yu'ying'li'hun'ning'tu
预应力混凝土桥,yu'ying'li'hun'ning'tu'qiao
预制桩,yu'zhi'zhuang
越岭线,yue'ling'xian
月平均日交通量,yue'ping'jun'ri'jiao'tong'liang
运行事故率,yun'xing'shi'gu'lv
运行速度,yun'xing'su'du
匝道,za'dao
