阿归养血颗粒,a'gui'yang'xue'ke'li
寿比山片,shou'bi'shan'pian
舒肝和胃丸,shu'gan'he'wei'wan
舒肝健胃丸,shu'gan'jian'wei'wan
双黄连咀嚼片,shuang'huang'lian'ju'jue'pian
双黄连口服液,shuang'huang'lian'kou'fu'ye
双克片,shuang'ke'pian
双氯灭痛片,shuang'lv'mie'tong'pian
双氧水,shuang'yang'shui
双唑泰栓,shuang'zuo'tai'shuan
四环素,si'huan'su
思密达,si'mi'da
四神丸,si'shen'wan
速效救心丸,su'xiao'jiu'xin'wan
速效伤风胶囊,su'xiao'shang'feng'jiao'nang
速效止泻胶囊,su'xiao'zhi'xie'jiao'nang
糖酸钙口服液,tang'suan'gai'kou'fu'ye
天麻胶囊,tian'ma'jiao'nang
听诊器,ting'zhen'qi
通便灵胶囊,tong'bian'ling'jiao'nang
通脉冲剂,tong'mai'chong'ji
通巧鼻炎片,tong'qiao'bi'yan'pian
头痛粉,tou'tong'fen
土霉素片,tu'mei'su'pian
妥布霉素滴眼液,tuo'bu'mei'su'di'yan'ye
万通筋骨片,wan'tong'jin'gu'pian
胃必治,wei'bi'zhi
胃康灵胶囊,wei'kang'ling'jiao'nang
维霉素片,wei'mei'su'pian
胃膜素胶囊,wei'mo'su'jiao'nang
维脑路通片,wei'nao'lu'tong'pian
维生素丸,wei'sheng'e'wan
胃舒平片,wei'shu'ping'pian
无极膏,wu'ji'gao
洗必太栓,xi'bi'tai'shuan
西瓜霜,xi'gua'shuang
西瓜霜喷剂,xi'gua'shuang'pen'ji
西沙比利片,xi'sha'bi'li'pian
先锋四号胶囊,xian'feng'si'hao'jiao'nang
香砂六味丸,xiang'sha'liu'wei'wan
小儿感冒颗粒,xiao'er'gan'mao'ke'li
小儿鸡内金散,xiao'er'ji'nei'jin'san
小儿利宝,xiao'er'li'bao
小儿消食片,xiao'er'xiao'shi'pian
消渴丸,xiao'ke'wan
消炎利胆片,xiao'yan'li'dan'pian
消炎片,xiao'yan'pian
消炎痛片,xiao'yan'tong'pian
消炎止咳片,xiao'yan'zhi'ke'pian
泻痢停片,xie'li'ting'pian
泻停胶囊,xie'ting'jiao'nang
心宝丸,xin'bao'wan
新康泰克胶囊,xin'kang'tai'ke'jiao'nang
新速效感冒片,xin'su'xiao'gan'mao'pian
心痛定片,xin'tong'ding'pian
虚汗停,xu'han'ting
眩晕停,xuan'yun'ting
血压计,xue'ya'ji
盐酸氟桂利秦胶,yan'suan'fu'gui'li'qin'jiao
烟酸肌醇脂片,yan'suan'ji'chun'zhi'pian
盐酸雷尼替丁胶囊,yan'suan'lei'ni'ti'ding'jiao'nang
盐酸羟苄唑,yan'suan'qiang'bian'zuo
盐酸左氧氟沙星,yan'suan'zuo'yang'fu'sha'xing
咽炎片,yan'yan'pian
氧氟沙星片,yang'fu'sha'xing'pian
氧氟沙星眼水,yang'fu'sha'xing'yan'shui
养血安神片,yang'xue'an'shen'pian
养血安神糖浆,yang'xue'an'shen'tang'jiang
养血生发胶囊,yang'xue'sheng'fa'jiao'nang
腰痛宁胶囊,yao'tong'ning'jiao'nang
腰痛片,yao'tong'pian
野木瓜片,ye'mu'gua'pian
夜宁冲剂,ye'ning'chong'ji
乙肝扶正胶囊,yi'gan'fu'zheng'jiao'nang
乙肝解毒胶囊,yi'gan'jie'du'jiao'nang
已肝解毒胶囊,yi'gan'jie'du'jiao'nang
医用橡皮膏,yi'yong'xiang'pi'gao
英太青胶囊,ying'tai'qing'jiao'nang
优卡丹,you'ka'dan
愈伤灵胶囊,yu'shang'ling'jiao'nang
云南白药创可贴,yun'nan'bai'yao'chuang'ke'tie
云南白药粉,yun'nan'bai'yao'fen
珍菊降压片,zhen'ju'jiang'ya'pian
珍视明眼水,zhen'shi'ming'yan'shui
珍珠明目液,zhen'zhu'ming'mu'ye
正红花油,zheng'hong'hua'you
止咳丸,zhi'ke'wan
痔速宁片,zhi'su'ning'pian
重感灵,zhong'gan'ling
竹林胺,zhu'lin'an
壮骨麝香止痛膏,zhuang'gu'she'xiang'zhi'tong'gao
壮腰健肾丸,zhuang'yao'jian'shen'wan
足光粉,zu'guang'fen
