阿昆娜丝,a'kun'na'si
武藏野,wu'zang'ye
雾之丘女子学院,wu'zhi'qiu'nv'zi'xue'yuan
西班牙星教,xi'ban'ya'xing'jiao
席琪桃尔,xi'qi'tao'er
吸血鬼杀手,xi'xue'gui'sha'shou
香烧,xiang'shao
心理掌握,xin'li'zhang'wo
新生之光,xin'sheng'zhi'guang
修丝风斩,xiu'si'feng'zhan
虚数学区,xu'shu'xue'qu
削板军霸,xue'ban'jun'ba
雪莉,xue'li
学园都市,xue'yuan'du'shi
亚得里亚海女王,ya'de'li'ya'hai'nv'wang
亚雷斯塔,ya'lei'si'ta
亚历山大,ya'li'shan'da
亚涅赛,ya'nie'sai
亚涅赛部队,ya'nie'sai'bu'dui
演算枪炮,yan'suan'qiang'pao
焰形剑,yan'xing'jian
野母崎,ye'mu'qi
移动教会,yi'dong'jiao'hui
一方通行,yi'fang'tong'xing
意见分析,yi'jian'fen'xi
异能力,yi'neng'li
伊萨德,yi'sa'de
茵蒂克丝,yin'di'ke'si
英国清教,ying'guo'qing'jiao
右方之火,you'fang'zhi'huo
有翼者的归来,you'yi'zhe'de'gui'lai
御坂旅挂,yu'ban'lv'gua
御坂美玲,yu'ban'mei'ling
御坂妹妹,yu'ban'mei'mei
御坂美琴,yu'ban'mei'qin
御坂网络,yu'ban'wang'luo
垣根帝督,yuan'gen'di'du
原子崩坏,yuan'zi'beng'huai
月兔术式,yue'tu'shu'shi
月兔之骨,yue'tu'zhi'gu
月咏小萌,yue'yong'xiao'meng
杂乱开放,za'luan'kai'fang
灾误,zai'wu
姫神秋沙,zhen'shen'qiu'sha
窒素装甲,zhi'su'zhuang'jia
枝先绊理,zhi'xian'ban'li
重福省帆,zhong'fu'sheng'fan
重野森和子,zhong'ye'sen'he'zi
梓弓,zi'gong
最后之作,zui'hou'zhi'zuo
坐标移动,zuo'biao'yi'dong
左方之地,zuo'fang'zhi'di
佐久辰彥,zuo'jiu'chen'yan
佐天泪子,zuo'tian'lei'zi
