阿莱多尼罗德尔,a'lai'duo'ni'luo'de'er
射场铁左卫门,she'chang'tie'zuo'wei'men
蛇尾丸,she'wei'wan
神枪,shen'qiang
圣哭螳螂,sheng'ku'tang'lang
矢胴丸世里,shi'dong'wan'shi'li
尸魂界,shi'hun'jie
始解,shi'jie
十刃,shi'ren
石田龙弦,shi'tian'long'xian
石田雨龙,shi'tian'yu'long
石田宗弦,shi'tian'zong'xian
市丸银,shi'wan'yin
噬虚,shi'xu
狩矢神,shou'shi'shen
受胎告知,shou'tai'gao'zhi
戍吊,shu'diao
双殛,shuang'ji
双莲苍火坠,shuang'lian'cang'huo'zhui
双鱼理,shuang'yu'li
水天逆卷,shui'tian'ni'juan
瞬步,shun'bu
瞬閧,shun'hong
瞬花,shun'hua
瞬开,shun'kai
舜樱,shun'ying
兕丹坊,si'dan'fang
四枫院夜一,si'feng'yuan'ye'yi
松本乱菊,song'ben'luan'ju
碎蜂,sui'feng
荪荪,sun'sun
索多尼奥,suo'duo'ni'ao
锁结,suo'jie
锁倏锁缚,suo'shu'suo'fu
探査回路,tan'cha'hui'lu
唐观音寺,tang'guan'yin'si
特制滋养强壮剂,te'zhi'zi'yang'qiang'zhuang'ji
藤孔雀,teng'kong'que
缇鲁蒂,ti'lu'di
天风乱天魔笑,tian'feng'luan'tian'mo'xiao
天谴,tian'qian
天锁斩月,tian'suo'zhan'yue
天踏绚,tian'ta'xuan
天挺空罗,tian'ting'kong'luo
同步认知,tong'bu'ren'zhi
通廷证,tong'ting'zheng
瓦史托德,wa'shi'tuo'de
歪面反应,wai'mian'fan'ying
卍解,wan'jie
万物皆归于灰烬,wan'wu'jie'gui'yu'hui'jin
汪达克达,wang'da'ke'da
王虚的闪光,wang'xu'de'shan'guang
嵬腕,wei'wan
握菱铁斋,wo'ling'tie'zhai
乌尔奇奥拉,wu'er'qi'ao'la
五铗虫,wu'jia'chong
五形头,wu'xing'tou
屋雨,wu'yu
五柱铁贯,wu'zhu'tie'guan
悉数雷光皆为吾刃,xi'shu'lei'guang'jie'wei'wu'ren
悉数流波皆为吾盾,xi'shu'liu'bo'jie'wei'wu'dun
夏井真花,xia'jing'zhen'hua
相马芳野,xiang'ma'fang'ye
响转,xiang'zhuan
小菖,xiao'chang
小川美知留,xiao'chuan'mei'zhi'liu
小椿仙太郎,xiao'chun'xian'tai'lang
小岛水色,xiao'dao'shui'se
萧隆库方,xiao'long'ku'fang
邪淫妃,xie'yin'fei
刑军,xing'jun
刑战装,xing'zhan'zhuang
袖白雪,xiu'bai'xue
朽木白哉,xiu'mu'bai'zai
朽木露琪亚,xiu'mu'lu'qi'ya
虚弹,xu'dan
虚浮,xu'fu
虚化,xu'hua
虚圈,xu'quan
虚闪,xu'shan
虚闪重奏,xu'shan'chong'zou
牙铠士,ya'kai'shi
亚罗尼洛,ya'luo'ni'luo
牙密,ya'mi
亚丘卡斯,ya'qiu'ka'si
压抑言灵,ya'yi'yan'ling
严灵丸,yan'ling'wan
阎魔蟋蟀,yan'mo'xi'shuai
曳舟桐生,ye'zhou'tong'sheng
伊尔姆,yi'er'mu
一贯坂慈楼坊,yi'guan'ban'ci'lou'fang
义骸,yi'hai
义魂丸,yi'hun'wan
伊势七绪,yi'shi'qi'xu
因果之锁,yin'guo'zhi'suo
隐秘机动,yin'mi'ji'dong
银彦,yin'yan
萤蔓,ying'man
咏唱的毁弃,yong'chang'de'hui'qi
有泽龙贵,you'ze'long'gui
有昭田钵玄,you'zhao'tian'bo'xuan
羽里色,yu'li'se
宇柿,yu'shi
宇田川棱,yu'tian'chuan'leng
羽织,yu'zhi
圆乘寺辰房,yuan'cheng'si'chen'fang
猿柿日世里,yuan'shi'ri'shi'li
越智美谕,yue'zhi'mei'yu
葬讨,zang'tao
葬讨部队,zang'tao'bu'dui
沢,ze
沢渡,ze'du
斩魄刀,zhan'po'dao
斩月,zhan'yue
遮魂膜,zhe'hun'mo
震点,zhen'dian
真央灵术学院,zhen'yang'ling'shu'xue'yuan
之芭,zhi'ba
志波都,zhi'bo'dou
志波海燕,zhi'bo'hai'yan
志波空鹤,zhi'bo'kong'he
志波岩鹫,zhi'bo'yan'jiu
中央四十六室,zhong'yang'si'shi'liu'shi
呪眼僧伽,zhou'yan'seng'ga
竹添幸吉郎,zhu'tian'xing'ji'lang
自体归刃,zi'ti'gui'ren
诅咒人形,zu'zhou'ren'xing
佐嬢,zuo'niang
