哀对乐,ai'dui'le
波浪千层,bo'lang'qian'ceng
伯乐马,bo'le'ma
伯氏善吹埙,bo'shi'shan'chui'xun
布袄对荆钗,bu'ao'dui'jing'chai
不愧对无渐,bu'kui'dui'wu'jian
不疑金,bu'yi'jin
布衣樵,bu'yi'qiao
不雨汤王方剪爪,bu'yu'tang'wang'fang'jian'zhao
蔡惠对刘蕡,cai'hui'dui'liu'fen
彩槛对雕栏,cai'kan'dui'diao'lan
采莲娃,cai'lian'wa
残蟾犹照半窗明,can'chan'you'zhao'ban'chuang'ming
藏有节,cang'you'jie
草根荄,cao'gen'gai
草履对芒鞋,cao'lv'dui'mang'xie
草蒙茸,cao'meng'rong
草衣木食,cao'yi'mu'shi
策马对骑牛,ce'ma'dui'qi'niu
曾点瑟,ceng'dian'se
茶敌睡,cha'di'shui
茶对酒,cha'dui'jiu
柴门夜永有僧敲,chai'men'ye'yong'you'seng'qiao
蝉鸣对暮夏,chan'ming'dui'mu'xia
禅心对道眼,chan'xin'dui'dao'yan
长川一带,chang'chuan'yi'dai
肠断秋闺,chang'duan'qiu'gui
长亭送客,chang'ting'song'ke
常忆花明柳媚,chang'yi'hua'ming'liu'mei
朝车对禁鼓,chao'che'dui'jin'gu
朝东万水自滔滔,chao'dong'wan'shui'zi'tao'tao
朝旭对晚曛,chao'xu'dui'wan'xun
朝宰锦衣,chao'zai'jin'yi
车轮终就洛阳埋,che'lun'zhong'jiu'luo'yang'mai
沉沉春夜,chen'chen'chun'ye
陈后主,chen'hou'zhu
尘虑萦心,chen'lv'ying'xin
尘生边将旧征袍,chen'sheng'bian'jiang'jiu'zheng'pao
澄澄碧水,cheng'cheng'bi'shui
城对市,cheng'dui'shi
赪鳞对白鹭,cheng'lin'dui'bai'lu
澄明如白玉盘,cheng'ming'ru'bai'yu'pan
成屋必诛茅,cheng'wu'bi'zhu'mao
乘五马,cheng'wu'ma
赤岸对朱崖,chi'an'dui'zhu'ya
赤豹对玄猿,chi'bao'dui'xuan'yuan
赤壁对青田,chi'bi'dui'qing'tian
迟迟晚照,chi'chi'wan'zhao
侈对悭,chi'dui'qian
持管莫窥天,chi'guan'mo'kui'tian
齿皓对唇红,chi'hao'dui'chun'hong
驰驿骑,chi'yi'qi
池中濯足水,chi'zhong'zhuo'zu'shui
充国功名当画阁,chong'guo'gong'ming'dang'hua'ge
愁中对梦里,chou'zhong'dui'meng'li
楚曹齐伐责包茅,chu'cao'qi'fa'ze'bao'mao
处处舟中争系粽,chu'chu'zhou'zhong'zheng'xi'zong
楚甸对商郊,chu'dian'dui'shang'jiao
出关老子,chu'guan'lao'zi
楚国大夫沉汩水,chu'guo'dai'fu'chen'gu'shui
楚狂歌,chu'kuang'ge
出没浴波鸥对对,chu'mo'yu'bo'ou'dui'dui
出妻为种后园葵,chu'qi'wei'zhong'hou'yuan'kui
楚人谁识屈原醒,chu'ren'shui'shi'qu'yuan'xing
出使振威冯奉世,chu'shi'zhen'wei'feng'feng'shi
传对经,chuan'dui'jing
传信子卿千里雁,chuan'xin'zi'qing'qian'li'yan
窗前莺并语,chuang'qian'ying'bing'yu
窗下读书灯,chuang'xia'du'shu'deng
窗下佳人,chuang'xia'jia'ren
窗下书生时讽咏,chuang'xia'shu'sheng'shi'feng'yong
吹玉笛,chui'yu'di
春残对夏老,chun'can'dui'xia'lao
春朝花发,chun'chao'hua'fa
春朝频泛绿杨骄,chun'chao'pin'fan'lv'yang'jiao
唇对齿,chun'dui'chi
春对夏,chun'dui'xia
春分对夏至,chun'fen'dui'xia'zhi
春风帘幕,chun'feng'lian'mu
春风两岸武陵桃,chun'feng'liang'an'wu'ling'tao
春风袅袅,chun'feng'niao'niao
春既老,chun'ji'lao
春暖杏开花,chun'nuan'xing'kai'hua
春泮水池冰,chun'pan'shui'chi'bing
春日园中莺恰恰,chun'ri'yuan'zhong'ying'qia'qia
春日正宜朝看蝶,chun'ri'zheng'yi'chao'kan'die
春时供农妇之蚕,chun'shi'gong'nong'fu'zhi'can
春水才深,chun'shui'cai'shen
春棠经雨放,chun'tang'jing'yu'fang
春喧桃李本无言,chun'xuan'tao'li'ben'wu'yan
春暄资日气,chun'xuan'zi'ri'qi
春饮方归,chun'yin'fang'gui
春园花柳地,chun'yuan'hua'liu'di
啜卢同七碗之茶,chuo'lu'tong'qi'wan'zhi'cha
词人对赋客,ci'ren'dui'fu'ke
翠巘对苍崖,cui'yan'dui'cang'ya
翠竹对黄花,cui'zhu'dui'huang'hua
寸阴尺璧,cun'yin'chi'bi
嵯峨十二危峰,cuo'e'shi'er'wei'feng
戴逵琴,dai'kui'qin
担当月一,dan'dang'yue'yi
淡对浓,dan'dui'nong
淡而如水,dan'er'ru'shui
弹冠对结绶,dan'guan'dui'jie'shou
丹荔传来自海南,dan'li'chuan'lai'zi'hai'nan
荡荡对巍巍,dang'dang'dui'wei'wei
当垆沽酒叹文君,dang'lu'gu'jiu'tan'wen'jun
刀笔仰萧何,dao'bi'yang'xiao'he
道旁系剑子婴降,dao'pang'xi'jian'zi'ying'jiang
道院对禅庵,dao'yuan'dui'chan'an
德被对恩罩,de'bei'dui'en'zhao
德对恩,de'dui'en
德有邻,de'you'lin
等对差,deng'dui'cha
地北对天南,di'bei'dui'tian'nan
地对天,di'dui'tian
地迥对天高,di'jiong'dui'tian'gao
地久对天长,di'jiu'dui'tian'chang
荻芦洲,di'lu'zhou
地围棋,di'wei'qi
弟兄让国有夷齐,di'xiong'rang'guo'you'yi'qi
笛韵和谐,di'yun'he'xie
殿对楼,dian'dui'lou
颠猿饮涧,dian'yuan'yin'jian
钓对耕,diao'dui'geng
钓客对耕夫,diao'ke'dui'geng'fu
丁固梦松,ding'gu'meng'song
董对晁,dong'dui'chao
动江上之琵琶,dong'jiang'shang'zhi'pi'pa
冻雀对昏鸦,dong'que'dui'hun'ya
东堂蕉绿影摇摇,dong'tang'jiao'lv'ying'yao'yao
动有时,dong'you'shi
独步时同登,du'bu'shi'tong'deng
度城头之筚篥,du'cheng'tou'zhi'bi'li
独鹤对双鹇,du'he'dui'shuang'xian
杜鹃对孔雀,du'juan'dui'kong'que
杜陵不作海堂诗,du'ling'bu'zuo'hai'tang'shi
读书甘刺股,du'shu'gan'ci'gu
独卧对同行,du'wo'dui'tong'hang
笃志诗书,du'zhi'shi'shu
短对长,duan'dui'chang
短褐对华裾,duan'he'dui'hua'ju
断机只有乐羊妻,duan'ji'zhi'you'le'yang'qi
多对少,duo'dui'shao
亸柳对垂杨,duo'liu'dui'chui'yang
夺槊至三唐敬德,duo'shuo'zhi'san'tang'jing'de
峨冠对博带,e'guan'dui'bo'dai
额下现一弯新月,e'xia'xian'yi'wan'xin'yue
儿对女,er'dui'nv
迩听对遥闻,er'ting'dui'yao'wen
二为三,er'wei'san
繁对简,fan'dui'jian
梵宫寂寞倚云岩,fan'gong'ji'mo'yi'yun'yan
翻几重之密藻,fan'ji'chong'zhi'mi'zao
泛仙槎,fan'xian'cha
范甑对颜瓢,fan'zeng'dui'yan'piao
芳池鱼戏芰荷风,fang'chi'yu'xi'ji'he'feng
放鹤对观鹅,fang'he'dui'guan'e
访友对寻僧,fang'you'dui'xun'seng
方知天地泰交,fang'zhi'tian'di'tai'jiao
妃子骑,fei'zi'qi
分金齐鲍叔,fen'jin'qi'bao'shu
豮豕对童牛,fen'shi'dui'tong'niu
汾水鼎,fen'shui'ding
奉壁对探镮,feng'bi'dui'tan'huan
奉璧蔺相如,feng'bi'lin'xiang'ru
风搓细柳亚夫营,feng'cuo'xi'liu'ya'fu'ying
丰对俭,feng'dui'jian
风对雅,feng'dui'ya
逢对遇,feng'dui'yu
凤飞方翙翙,feng'fei'fang'hui'hui
冯妇虎,feng'fu'hu
风急撼庭梧,feng'ji'han'ting'wu
风柳舞纤腰,feng'liu'wu'xian'yao
峰峦夫地秀,feng'luan'fu'di'xiu
峰峦绕舍,feng'luan'rao'she
丰年先兆,feng'nian'xian'zhao
风清对月朗,feng'qing'dui'yue'lang
风绕铎,feng'rao'duo
风绕屋,feng'rao'wu
风声对月色,feng'sheng'dui'yue'se
风淅淅,feng'xi'xi
风飁飁,feng'xi'xi
凤兮洵众禽长,feng'xi'xun'zhong'qin'chang
蜂腰对蝶翅,feng'yao'dui'die'chi
风月窟,feng'yue'ku
凤翥对鸾栖,feng'zhu'dui'luan'qi
佛时僧,fo'shi'seng
佛堂对仙洞,fo'tang'dui'xian'dong
抚动琴弦,fu'dong'qin'xian
附对攀,fu'dui'pan
富对贫,fu'dui'pin
赋对诗,fu'dui'shi
福对灾,fu'dui'zai
傅粉对施朱,fu'fen'dui'shi'zhu
馥馥早梅思驿使,fu'fu'zao'mei'si'yi'shi
服美对乘肥,fu'mei'dui'cheng'fei
夫人轩,fu'ren'xuan
扶疏绿竹正盈窗,fu'shu'lv'zhu'zheng'ying'chuang
抚养群黎,fu'yang'qun'li
赋缁衣而美德,fu'zi'yi'er'mei'de
盖对撞,gai'dui'zhuang
橄榄对葡萄,gan'lan'dui'pu'tao
高对下,gao'dui'xia
高楼对邃阁,gao'lou'dui'sui'ge
高矣若天,gao'yi'ruo'tian
高张翠幄,gao'zhang'cui'wo
歌北鄙,ge'bei'bi
歌贝锦以伤谗,ge'bei'jin'yi'shang'chan
葛被汤征因仇饷,ge'bei'tang'zheng'yin'chou'xiang
歌对歌,ge'dui'ge
戈对甲,ge'dui'jia
葛巾对藜杖,ge'jin'dui'li'zhang
歌旧曲,ge'jiu'qu
歌廉对借寇,ge'lian'dui'jie'kou
拱北众星常灿灿,gong'bei'zhong'xing'chang'can'can
恭对慢,gong'dui'man
共服宣尼休假盖,gong'fu'xuan'ni'xiu'jia'gai
宫花对御柳,gong'hua'dui'yu'liu
宫人宝髻,gong'ren'bao'ji
宫中高插九光灯,gong'zhong'gao'cha'jiu'guang'deng
公子追欢,gong'zi'zhui'huan
古堤垂亸柳,gu'di'chui'duo'liu
古对今,gu'dui'jin
鼓对旗,gu'dui'qi
故国对他邦,gu'guo'dui'ta'bang
鼓琴对舍瑟,gu'qin'dui'she'se
谷水对山涛,gu'shui'dui'shan'tao
古贤尝笃厚,gu'xian'chang'du'hou
鼓振对钟撞,gu'zhen'dui'zhong'zhuang
孤舟对短棹,gu'zhou'dui'duan'zhao
挂百尺之垂藤,gua'bai'chi'zhi'chui'teng
瓜对果,gua'dui'guo
挂鱼罾,gua'yu'zeng
冠对带,guan'dui'dai
关河地隔雨潇潇,guan'he'di'ge'yu'xiao'xiao
观棋不觉烂樵柯,guan'qi'bu'jue'lan'qiao'ke
观山对玩水,guan'shan'dui'wan'shui
贯双雕,guan'shuang'diao
观韦编,guan'wei'bian
规对矩,gui'dui'ju
桂岭对梅溪,gui'ling'dui'mei'xi
贵束乌犀之带,gui'shu'wu'xi'zhi'dai
龟曳尾,gui'ye'wei
衮衣微惹御炉香,gun'yi'wei're'yu'lu'xiang
国士吞变形之炭,guo'shi'tun'bian'xing'zhi'tan
海蟾轮满,hai'chan'lun'man
海对河,hai'dui'he
海门翻夕浪,hai'men'fan'xi'lang
海棠春睡早,hai'tang'chun'shui'zao
海棠枝上子规啼,hai'tang'zhi'shang'zi'gui'ti
骇舟人之水宿,hai'zhou'ren'zhi'shui'su
寒冰三尺厚,han'bing'san'chi'hou
汉代宫中生秀柞,han'dai'gong'zhong'sheng'xiu'zuo
汉对淮,han'dui'huai
寒对暑,han'dui'shu
寒堆阴岭雪,han'dui'yin'ling'xue
汉皇置酒未央宫,han'huang'zhi'jiu'wei'yang'gong
寒集谢庄衣上雪,han'ji'xie'zhuang'yi'shang'xue
韩卢对苏雁,han'lu'dui'su'yan
汉露对汤霓,han'lu'dui'tang'ni
汉社对周邦,han'she'dui'zhou'bang
韩生尝窃贾公香,han'sheng'chang'qie'jia'gong'xiang
寒食芳辰花烂熳,han'shi'fang'chen'hua'lan'man
汉室既能分四姓,han'shi'ji'neng'fen'si'xing
寒天鸳帐酒,han'tian'yuan'zhang'jiu
韩五鬼,han'wu'gui
韩信武能增四海,han'xin'wu'neng'zeng'si'hai
寒毡对暖席,han'zhan'dui'nuan'xi
汉致太平三尺剑,han'zhi'tai'ping'san'chi'jian
汉中宗,han'zhong'zong
寒烛影煌煌,han'zhu'ying'huang'huang
毫尖对笔底,hao'jian'dui'bi'di
豪矜王济,hao'jin'wang'ji
好景有期,hao'jing'you'qi
豪客寻春,hao'ke'xun'chun
好马君王曾市骨,hao'ma'jun'wang'ceng'shi'gu
皓眉溪叟晒渔蓑,hao'mei'xi'sou'shai'yu'suo
浩然驴,hao'ran'lv
好友对嘉宾,hao'you'dui'jia'bin
皓月照楼台,hao'yue'zhao'lou'tai
皓月照书窗,hao'yue'zhao'shu'chuang
鹤长对凫短,he'chang'dui'fu'duan
鹤乘轩,he'cheng'xuan
何处春朝风景好,he'chu'chun'chao'feng'jing'hao
河对海,he'dui'hai
赫赫丽天秋日,he'he'li'tian'qiu'ri
何郎鼻上集青蝇,he'lang'bi'shang'ji'qing'ying
荷盘从雨洗,he'pan'cong'yu'xi
合浦有珠还,he'pu'you'zhu'huan
鹤梳翎,he'shu'ling
河水一源形弥弥,he'shui'yi'yuan'xing'mi'mi
何妥难,he'tuo'nan
黑志对弹丸,hei'zhi'dui'dan'wan
横对竖,heng'dui'shu
衡峰秋早,heng'feng'qiu'zao
横槊赋诗传孟德,heng'shuo'fu'shi'chuan'meng'de
横醉眼,heng'zui'yan
红对紫,hong'dui'zi
轰轰出地春雷,hong'hong'chu'di'chun'lei
轰羯鼓以奚催,hong'jie'gu'yi'xi'cui
红罗帐,hong'luo'zhang
后对先,hou'dui'xian
后甲对先庚,hou'jia'dui'xian'geng
虎豹对熊罴,hu'bao'dui'xiong'pi
户对窗,hu'dui'chuang
虎节对龙旗,hu'jie'dui'long'qi
虎踞对龙蟠,hu'ju'dui'long'pan
虎咆哮,hu'pao'xiao
虎视已眈眈,hu'shi'yi'dan'dan
虎兕对猿猱,hu'si'dui'yuan'nao
狐威不假,hu'wei'bu'jia
虎啸对龙吟,hu'xiao'dui'long'yin
虎穴对龙渊,hu'xue'dui'long'yuan
虎也真百兽尊,hu'ye'zhen'bai'shou'zun
虎爪对龙麟,hu'zhao'dui'long'lin
壶中日月,hu'zhong'ri'yue
花蓓蕾,hua'bei'lei
花残无戏蝶,hua'can'wu'xi'die
花藏沽酒市,hua'cang'gu'jiu'shi
花笺对草字,hua'jian'dui'cao'zi
花间双粉蝶,hua'jian'shuang'fen'die
花径起香尘,hua'jing'qi'xiang'chen
花开红锦绣,hua'kai'hong'jin'xiu
花开唐苑,hua'kai'tang'yuan
画屏误笔作飞蝇,hua'ping'wu'bi'zuo'fei'ying
花圃春残无客到,hua'pu'chun'can'wu'ke'dao
花圃月浓浓,hua'pu'yue'nong'nong
画色间丹青,hua'se'jian'dan'qing
画堂施锦帐,hua'tang'shi'jin'zhang
花有艳,hua'you'yan
华岳对湘江,hua'yue'dui'xiang'jiang
花灼烁,hua'zhuo'shuo
怀仁称足足,huai'ren'cheng'zu'zu
缓抚琴弦,huan'fu'qin'xian
宦情对旅况,huan'qing'dui'lv'kuang
环绕似青罗带,huan'rao'si'qing'luo'dai
黄耳解传书,huang'er'jie'chuan'shu
黄发村童推牧笠,huang'fa'cun'tong'tui'mu'li
黄茅对白荻,huang'mao'dui'bai'di
黄鸟语交友,huang'niao'yu'jiao'you
黄牛峡,huang'niu'xia
挥戈能退日,hui'ge'neng'tui'ri
回文锦字窦滔书,hui'wen'jin'zi'dou'tao'shu
火对灰,huo'dui'hui
冀北对辽东,ji'bei'dui'liao'dong
几点鹭鸶,ji'dian'lu'si
几点晓天星,ji'dian'xiao'tian'xing
疾对徐,ji'dui'xu
寂对喧,ji'dui'xuan
既逢周后,ji'feng'zhou'hou
寂寂秋朝,ji'ji'qiu'chao
季路对高柴,ji'lu'dui'gao'chai
寄梅谁信一枝多,ji'mei'shui'xin'yi'zhi'duo
鸡鸣人已出函关,ji'ming'ren'yi'chu'han'guan
箕裘对杖履,ji'qiu'dui'zhang'lv
击石磬,ji'shi'qing
几丝杨柳残烟,ji'si'yang'liu'can'yan
吉凶异画,ji'xiong'yi'hua
积雪拥袁门,ji'xue'yong'yuan'men
几夜霜飞,ji'ye'shuang'fei
几阵秋风能应候,ji'zhen'qiu'feng'neng'ying'hou
家对国,jia'dui'guo
假对真,jia'dui'zhen
嘉遁幽人,jia'dun'you'ren
嘉禾忧夏旱,jia'he'you'xia'han
家家台上竞穿针,jia'jia'tai'shang'jing'chuan'zhen
佳人倦绣,jia'ren'juan'xiu
佳人颜貌海棠娇,jia'ren'yan'mao'hai'tang'jiao
郏鄏鼎,jia'ru'ding
郏鄏对邯郸,jia'ru'dui'han'dan
贾谊赋成伤鵩鸟,jia'yi'fu'cheng'shang'fu'niao
剑重磨,jian'chong'mo
剑对刀,jian'dui'dao
减对添,jian'dui'tian
见对闻,jian'dui'wen
涧对溪,jian'dui'xi
剑阁孟阳铭,jian'ge'meng'yang'ming
谏苦对言甘,jian'ku'dui'yan'gan
犍牛对牝马,jian'niu'dui'pin'ma
剑时琴,jian'shi'qin
涧水对池冰,jian'shui'dui'chi'bing
煎异茗,jian'yi'ming
降对升,jiang'dui'sheng
将对欲,jiang'dui'yu
江风对海雾,jiang'feng'dui'hai'wu
江汉接天流,jiang'han'jie'tian'liu
将军鹅,jiang'jun'e
将军元晖,jiang'jun'yuan'hui
江楼宏敞,jiang'lou'hong'chang
江浦认归帆,jiang'pu'ren'gui'fan
江水流长,jiang'shui'liu'chang
江头日出,jiang'tou'ri'chu
绛霄唐帝殿,jiang'xiao'tang'di'dian
角对头,jiao'dui'tou
狡兔对妖狐,jiao'tu'dui'yao'hu
结草对衔环,jie'cao'dui'xian'huan
截发惟闻陶侃母,jie'fa'wei'wen'tao'kan'mu
街泥双紫燕,jie'ni'shuang'zi'yan
桀王失道杀龙逄,jie'wang'shi'dao'sha'long'pang
金城三月柳,jin'cheng'san'yue'liu
金对玉,jin'dui'yu
金翡翠,jin'fei'cui
禁鼓对征鼙,jin'gu'dui'zheng'pi
今古无人能手荷,jin'gu'wu'ren'neng'shou'he
晋机云,jin'ji'yun
金匼匝,jin'ke'za
金龙对彩凤,jin'long'dui'cai'feng
金马山,jin'ma'shan
锦瑟对瑶琴,jin'se'dui'yao'qin
晋士特奇,jin'shi'te'qi
晋士只知山简醉,jin'shi'zhi'zhi'shan'jian'zui
晋宋对隋唐,jin'song'dui'sui'tang
锦绣对琼瑶,jin'xiu'dui'qiong'yao
锦绣对珠玑,jin'xiu'dui'zhu'ji
旌对旆,jing'dui'pei
径菊对池荷,jing'ju'dui'chi'he
惊看雕鹗横秋,jing'kan'diao'e'heng'qiu
镜奁对衣笥,jing'lian'dui'yi'si
鸠哺子,jiu'bu'zi
九回肠,jiu'hui'chang
旧交犹脱馆人骖,jiu'jiao'you'tuo'guan'ren'can
九经对三史,jiu'jing'dui'san'shi
酒阑对歌罢,jiu'lan'dui'ge'ba
酒量洪深周仆射,jiu'liang'hong'shen'zhou'pu'ye
九牛毛,jiu'niu'mao
酒钱对诗债,jiu'qian'dui'shi'zhai
酒市舞青帘,jiu'shi'wu'qing'lian
酒艇对渔舟,jiu'ting'dui'yu'zhou
九夏对三冬,jiu'xia'dui'san'dong
酒消愁,jiu'xiao'chou
九霄鹏,jiu'xiao'peng
九泽对三江,jiu'ze'dui'san'jiang
菊馥对兰芬,ju'fu'dui'lan'fen
巨海对长江,ju'hai'dui'chang'jiang
据胡床而可玩,ju'hu'chuang'er'ke'wan
菊径对苔阶,ju'jing'dui'tai'jie
遽觉座中风雨至,ju'jue'zuo'zhong'feng'yu'zhi
橘堪怀,ju'kan'huai
巨鲤跃池,ju'li'yue'chi
巨蟒对长蛟,ju'mang'dui'chang'jiao
居无庐,ju'wu'lu
卷珠帘,juan'zhu'lian
峻阁对高台,jun'ge'dui'gao'tai
俊士居官,jun'shi'ju'guan
开道竟还瓜,kai'dao'jing'hai'gua
开对落,kai'dui'luo
堪为五总之龟,kan'wei'wu'zong'zhi'gui
可比一斑之豹,ke'bi'yi'ban'zhi'bao
客乘金络马,ke'cheng'jin'luo'ma
可对堪,ke'dui'kan
客居江右,ke'ju'jiang'you
客路对渔矶,ke'lu'dui'yu'ji
课密几黄蜂,ke'mi'ji'huang'feng
可使渔人结网,ke'shi'yu'ren'jie'wang
柯叶忽然生腹上,ke'ye'hu'ran'sheng'fu'shang
客斟菊酒,ke'zhen'ju'jiu
可知青者胜于蓝,ke'zhi'qing'zhe'sheng'yu'lan
孔北海,kong'bei'hai
恐彰已吝,kong'zhang'yi'lin
孔子作春秋,kong'zi'zuo'chun'qiu
口对心,kou'dui'xin
苦对咸,ku'dui'xian
宽对猛,kuan'dui'meng
狂蛱蝶,kuang'jia'die
旷野对平原,kuang'ye'dui'ping'yuan
昆山惟玉集,kun'shan'wei'yu'ji
剌吏鸭,la'li'ya
来对往,lai'dui'wang
来鸿对去燕,lai'hong'dui'qu'yan
懒抚七弦绿绮,lan'fu'qi'xian'lv'qi
懒折腰,lan'zhe'yao
浪对波,lang'dui'bo
阆苑对蓬莱,lang'yuan'dui'peng'lai
老对庄,lao'dui'zhuang
老莱新爱着衣斑,lao'lai'xin'ai'zhe'yi'ban
乐隐者之山居,le'yin'zhe'zhi'shan'ju
乐奏八音谐,le'zou'ba'yin'xie
类过雁之相挨,lei'guo'yan'zhi'xiang'ai
雷焕剑,lei'huan'jian
雷声对电影,lei'sheng'dui'dian'ying
泪痛湿青衫,lei'tong'shi'qing'shan
李白对杨朱,li'bai'dui'yang'zhu
李白能诗时秉笔,li'bai'neng'shi'shi'bing'bi
礼别尊卑,li'bie'zun'bei
犁锄对耒耜,li'chu'dui'lei'si
离对坎,li'dui'kan
李对桃,li'dui'tao
礼多君子屡谦谦,li'duo'jun'zi'lv'qian'qian
李广汉将军,li'guang'han'jiang'jun
唳鹤对啼猿,li'he'dui'ti'yuan
离魂不觉黯然消,li'hun'bu'jue'an'ran'xiao
利口覆家邦,li'kou'fu'jia'bang
李苦对瓜甜,li'ku'dui'gua'tian
离曲听阳关,li'qu'ting'yang'guan
李三人,li'san'ren
李膺门,li'ying'men
里咏对途歌,li'yong'dui'tu'ge
礼由公旦作,li'you'gong'dan'zuo
藜杖叟,li'zhang'sou
练横树杪,lian'heng'shu'miao
帘外燕双飞,lian'wai'yan'shuang'fei
两岸晓烟杨柳绿,liang'an'xiao'yan'yang'liu'lv
两鬓风霜,liang'bin'feng'shuang
凉吹已侵垂被冷,liang'chui'yi'qin'chui'bei'leng
梁帝讲经同泰寺,liang'di'jiang'jing'tong'tai'si
两对三,liang'dui'san
梁父咏,liang'fu'yong
两曜迭明,liang'yao'die'ming
两曜对三台,liang'yao'dui'san'tai
麟对凤,lin'dui'feng
吝对骄,lin'dui'jiao
林茂鸟频栖,lin'mao'niao'pin'qi
麟薮对鹊巢,lin'sou'dui'que'chao
林下风生,lin'xia'feng'sheng
岭北对江东,ling'bei'dui'jiang'dong
柳岸对桃源,liu'an'dui'tao'yuan
六朝对三国,liu'chao'dui'san'guo
柳对颜,liu'dui'yan
六钧弓,liu'jun'gong
刘伶爱酒每馎糟,liu'ling'ai'jiu'mei'bo'zao
柳内几黄莺,liu'nei'ji'huang'ying
柳杞对松杉,liu'qi'dui'song'shan
柳塘风淡淡,liu'tang'feng'dan'dan
柳塘生细浪,liu'tang'sheng'xi'lang
柳线任风槎,liu'xian'ren'feng'cha
刘向阁,liu'xiang'ge
柳枭对葵倾,liu'xiao'dui'kui'qing
柳摇春白昼,liu'yao'chun'bai'zhou
柳依依,liu'yi'yi
柳影对花香,liu'ying'dui'hua'xiang
龙池对凤沼,long'chi'dui'feng'zhao
龙马呈河,long'ma'cheng'he
龙生矫,long'sheng'jiao
龙涎三炷博山垆,long'xian'san'zhu'bo'shan'lu
龙也吠,long'ye'fei
龙舟对凤辇,long'zhou'dui'feng'nian
楼对阁,lou'dui'ge
楼阁天凉风飒飒,lou'ge'tian'liang'feng'sa'sa
楼前公子,lou'qian'gong'zi
楼外晚山千仞,lou'wai'wan'shan'qian'ren
鲁班梯,lu'ban'ti
露草对霜菅,lu'cao'dui'shuang'jian
鹭飞对鱼跃,lu'fei'dui'yu'yue
陆橘对庄椿,lu'ju'dui'zhuang'chun
鹭立对鱼潜,lu'li'dui'yu'qian
鹭立蓼花滩,lu'li'liao'hua'tan
鹭立崖头沙,lu'li'ya'tou'sha
橹声咿轧,lu'sheng'yi'ya
露桃匀嫩脸,lu'tao'yun'nen'lian
露浥好花潘岳县,lu'yi'hao'hua'pan'yue'xian
鲁隐对齐桓,lu'yin'dui'qi'huan
露重对烟微,lu'zhong'dui'yan'wei
炉中煎药火,lu'zhong'jian'yao'huo
露漙漙,lu'zhuan'zhuan
栾棋第一晋王恬,luan'qi'di'yi'jin'wang'tian
论著钱神,lun'zhu'qian'shen
螺髻青浓,luo'ji'qing'nong
落日对流霞,luo'ri'dui'liu'xia
落絮对游丝,luo'xu'dui'you'si
洛阳才子谪长沙,luo'yang'cai'zi'zhe'chang'sha
