暗动,an'dong
丁己禄在午,ding'ji'lu'zai'wu
丁己沐浴在申,ding'ji'mu'yu'zai'shen
丁己墓在丑,ding'ji'mu'zai'chou
丁己刃在巳,ding'ji'ren'zai'si
丁己衰在辰,ding'ji'shuai'zai'chen
丁己死在寅,ding'ji'si'zai'yin
丁己胎亥,ding'ji'tai'hai
丁己养在戌,ding'ji'yang'zai'xu
丁卯,ding'mao
丁年,ding'nian
丁奇,ding'qi
丁壬合,ding'ren'he
丁壬合化木,ding'ren'he'hua'mu
丁壬卯酉六,ding'ren'mao'you'liu
丁壬相合,ding'ren'xiang'he
丁巳,ding'si
丁未,ding'wei
定应期,ding'ying'qi
丁酉,ding'you
动绊,dong'ban
动变组合,dong'bian'zu'he
东方木,dong'fang'mu
动卦,dong'gua
动静,dong'jing
动墓,dong'mu
冬蛇掩目,dong'she'yan'mu
洞下水,dong'xia'shui
动爻,dong'yao
斗君,dou'jun
杜传,du'chuan
杜门,du'men
独足,du'zu
断卦,duan'gua
兑二,dui'er
兑宫,dui'gong
兑宫八卦,dui'gong'ba'gua
兑卦,dui'gua
兑七宫,dui'qi'gong
兑上缺,dui'shang'que
兑为泽,dui'wei'ze
遁干,dun'gan
恩光,en'guang
二七为火,er'qi'wei'huo
二四为肩,er'si'wei'jian
二五爻,er'wu'yao
二爻,er'yao
发用,fa'yong
反弓忌,fan'gong'ji
反吟,fan'yin
返吟法,fan'yin'fa
返吟课,fan'yin'ke
反吟蛇刑,fan'yin'she'xing
飞化,fei'hua
飞克伏,fei'ke'fu
蜚廉,fei'lian
飞鸟归巢,fei'niao'gui'chao
飞刃,fei'ren
分类占断,fen'lei'zhan'duan
逢冲,feng'chong
风地观,feng'de'guan
风遁,feng'dun
凤阁,feng'ge
风火家人,feng'huo'jia'ren
逢空,feng'kong
风雷益,feng'lei'yi
风山渐,feng'shan'jian
风水,feng'shui
风水涣,feng'shui'huan
风天小畜,feng'tian'xiao'chu
风泽中孚,feng'ze'zhong'fu
逢值逢冲,feng'zhi'feng'chong
逢值逢合,feng'zhi'feng'he
佛灯火,fo'deng'huo
福德,fu'de
覆灯火,fu'deng'huo
复见腾蛇,fu'jian'teng'she
伏克飞,fu'ke'fei
父母,fu'mu
父母辰土,fu'mu'chen'tu
父母辰土持世,fu'mu'chen'tu'chi'shi
父母持世,fu'mu'chi'shi
父母丑土,fu'mu'chou'tu
父母丑土持世,fu'mu'chou'tu'chi'shi
父母亥水,fu'mu'hai'shui
父母亥水持世,fu'mu'hai'shui'chi'shi
父母卯木,fu'mu'mao'mu
父母卯木持世,fu'mu'mao'mu'chi'shi
父母申金,fu'mu'shen'jin
父母申金持世,fu'mu'shen'jin'chi'shi
父母巳火,fu'mu'si'huo
父母巳火持世,fu'mu'si'huo'chi'shi
父母未土,fu'mu'wei'tu
父母未土持世,fu'mu'wei'tu'chi'shi
父母午火,fu'mu'wu'huo
父母午火持世,fu'mu'wu'huo'chi'shi
父母戌土,fu'mu'xu'tu
父母戌土持世,fu'mu'xu'tu'chi'shi
父母寅木,fu'mu'yin'mu
父母寅木持世,fu'mu'yin'mu'chi'shi
父母酉金,fu'mu'you'jin
父母酉金持世,fu'mu'you'jin'chi'shi
父母子水,fu'mu'zi'shui
父母子水持世,fu'mu'zi'shui'chi'shi
夫妻,fu'qi
伏神,fu'shen
伏爻,fu'yao
伏吟,fu'yin
伏吟法,fu'yin'fa
伏吟课,fu'yin'ke
伏吟天庭,fu'yin'tian'ting
干合悖师,gan'he'bei'shi
干合蛇刑,gan'he'she'xing
干支的,gan'zhi'de
格局,ge'ju
艮八宫,gen'ba'gong
艮覆碗,gen'fu'wan
艮宫,gen'gong
艮宫八卦,gen'gong'ba'gua
艮卦,gen'gua
艮七,gen'qi
艮为山,gen'wei'shan
庚病在亥,geng'bing'zai'hai
庚长生在巳,geng'chang'sheng'zai'si
庚辰,geng'chen
庚辰辛巳白蜡金,geng'chen'xin'si'bai'la'jin
庚帝旺在酉,geng'di'wang'zai'you
庚冠带在未,geng'guan'dai'zai'wei
庚金,geng'jin
庚绝在寅,geng'jue'zai'yin
庚临官在申,geng'lin'guan'zai'shen
庚禄在申,geng'lu'zai'shen
庚沐浴在午,geng'mu'yu'zai'wu
庚墓在丑,geng'mu'zai'chou
庚年,geng'nian
庚刃在酉,geng'ren'zai'you
庚申,geng'shen
庚申辛酉石榴木,geng'shen'xin'you'shi'liu'mu
庚衰在戌,geng'shuai'zai'xu
庚死在子,geng'si'zai'zi
庚胎在卯,geng'tai'zai'mao
庚午,geng'wu
庚午辛未路旁土,geng'wu'xin'wei'lu'pang'tu
庚辛逢马虎,geng'xin'feng'ma'hu
庚戌,geng'xu
庚戌辛亥钗钏金,geng'xu'xin'hai'chai'chuan'jin
庚养在辰,geng'yang'zai'chen
庚寅,geng'yin
庚寅辛卯松柏木,geng'yin'xin'mao'song'bai'mu
庚猪辛鼠壬逢虎,geng'zhu'xin'shu'ren'feng'hu
庚子,geng'zi
庚子辛丑壁上土,geng'zi'xin'chou'bi'shang'tu
拱局,gong'ju
宫位,gong'wei
宫垣,gong'yuan
勾陈,gou'chen
孤辰,gu'chen
孤辰和寡宿,gu'chen'he'gua'su
古筮,gu'shi
卦理,gua'li
寡宿,gua'su
卦象,gua'xiang
卦意,gua'yi
冠带,guan'dai
官鬼,guan'gui
官鬼辰土,guan'gui'chen'tu
官鬼辰土持世,guan'gui'chen'tu'chi'shi
官鬼持世,guan'gui'chi'shi
官鬼丑土,guan'gui'chou'tu
官鬼丑土持世,guan'gui'chou'tu'chi'shi
官鬼亥水,guan'gui'hai'shui
官鬼亥水持世,guan'gui'hai'shui'chi'shi
官鬼卯木,guan'gui'mao'mu
官鬼卯木持世,guan'gui'mao'mu'chi'shi
官鬼申金,guan'gui'shen'jin
官鬼申金持世,guan'gui'shen'jin'chi'shi
官鬼巳火,guan'gui'si'huo
官鬼巳火持世,guan'gui'si'huo'chi'shi
官鬼未土,guan'gui'wei'tu
官鬼未土持世,guan'gui'wei'tu'chi'shi
官鬼午火,guan'gui'wu'huo
官鬼午火持世,guan'gui'wu'huo'chi'shi
官鬼戌土,guan'gui'xu'tu
官鬼戌土持世,guan'gui'xu'tu'chi'shi
官鬼寅木,guan'gui'yin'mu
官鬼寅木持世,guan'gui'yin'mu'chi'shi
官鬼酉金,guan'gui'you'jin
官鬼酉金持世,guan'gui'you'jin'chi'shi
官鬼子水,guan'gui'zi'shui
官鬼子水持世,guan'gui'zi'shui'chi'shi
官禄,guan'lu
官运,guan'yun
癸病在酉,gui'bing'zai'you
癸长生在卯,gui'chang'sheng'zai'mao
癸丑,gui'chou
癸帝旺在亥,gui'di'wang'zai'hai
鬼谷子,gui'gu'zi
癸冠带在丑,gui'guan'dai'zai'chou
癸亥,gui'hai
归魂,gui'hun
癸绝在午,gui'jue'zai'wu
癸临官在子,gui'lin'guan'zai'zi
癸禄在子,gui'lu'zai'zi
癸卯,gui'mao
癸沐浴在寅,gui'mu'yu'zai'yin
癸墓在未,gui'mu'zai'wei
癸年,gui'nian
贵人,gui'ren
癸人见卯入云梯,gui'ren'jian'mao'ru'yun'ti
贵人入狱,gui'ren'ru'yu
贵人升殿,gui'ren'sheng'dian
癸刃在亥,gui'ren'zai'hai
癸衰在戌,gui'shuai'zai'xu
癸水,gui'shui
癸巳,gui'si
癸死在申,gui'si'zai'shen
癸胎在巳,gui'tai'zai'si
癸未,gui'wei
癸养在辰,gui'yang'zai'chen
癸酉,gui'you
国印,guo'yin
亥藏人甲,hai'cang'ren'jia
亥卯未,hai'mao'wei
亥卯未合化木,hai'mao'wei'he'hua'mu
亥卯未见甲为月德,hai'mao'wei'jian'jia'wei'yue'de
亥卯未见卯为将星,hai'mao'wei'jian'mao'wei'jiang'xing
亥卯未见申为劫煞,hai'mao'wei'jian'shen'wei'jie'sha
亥卯未见巳为驿马,hai'mao'wei'jian'si'wei'yi'ma
亥卯未见未为华盖,hai'mao'wei'jian'wei'wei'hua'gai
亥卯未见寅为亡神,hai'mao'wei'jian'yin'wei'wang'shen
亥卯未见酉为灾煞,hai'mao'wei'jian'you'wei'zai'sha
亥卯未见子为桃花,hai'mao'wei'jian'zi'wei'tao'hua
亥卯未马在巳,hai'mao'wei'ma'zai'si
亥日,hai'ri
亥时,hai'shi
亥水,hai'shui
亥水父母,hai'shui'fu'mu
亥水父母持世,hai'shui'fu'mu'chi'shi
亥水官鬼,hai'shui'guan'gui
亥水官鬼持世,hai'shui'guan'gui'chi'shi
亥水妻财,hai'shui'qi'cai
亥水妻财持世,hai'shui'qi'cai'chi'shi
亥水兄弟,hai'shui'xiong'di
亥水兄弟持世,hai'shui'xiong'di'chi'shi
亥水子孙,hai'shui'zi'sun
亥水子孙持世,hai'shui'zi'sun'chi'shi
亥月,hai'yue
海中金,hai'zhong'jin
亥子丑,hai'zi'chou
亥子丑人见寅为孤见戌为寡,hai'zi'chou'ren'jian'yin'wei'gu'jian'xu'wei'gua
蒿矢,hao'shi
耗泄,hao'xie
合拌,he'ban
合绊,he'ban
合化,he'hua
合火局,he'huo'ju
合金局,he'jin'ju
合木局,he'mu'ju
合起,he'qi
合水局,he'shui'ju
红鸾,hong'luan
互宫,hu'gong
互卦,hu'gua
虎视,hu'shi
互刑,hu'xing
壶中子,hu'zhong'zi
化绊,hua'ban
化冲,hua'chong
华盖,hua'gai
华盖悖师,hua'gai'bei'shi
华盖地户,hua'gai'di'hu
华盖逢星,hua'gai'feng'xing
化合,hua'he
化回头克,hua'hui'tou'ke
化回头生,hua'hui'tou'sheng
化忌,hua'ji
化进,hua'jin
化克,hua'ke
化科,hua'ke
化空,hua'kong
化禄,hua'lu
化墓,hua'mu
化破,hua'po
化权,hua'quan
化散,hua'san
化生,hua'sheng
化退,hua'tui
黄帝内经,huang'di'nei'jing
皇极经世,huang'ji'jing'shi
黄金策,huang'jin'ce
回头克,hui'tou'ke
回头生,hui'tou'sheng
浑天甲子,hun'tian'jia'zi
婚姻,hun'yin
火悖地户,huo'bei'di'hu
火悖入刑,huo'bei'ru'xing
火地晋,huo'di'jin
火风鼎,huo'feng'ding
火局,huo'ju
火克金,huo'ke'jin
火库,huo'ku
火雷噬嗑,huo'lei'shi'ke
火人申子令人贱,huo'ren'shen'zi'ling'ren'jian
火入勾陈,huo'ru'gou'chen
火入天罗,huo'ru'tian'luo
火山旅,huo'shan'lv
火生土,huo'sheng'tu
火水未济,huo'shui'wei'ji
火天大有,huo'tian'da'you
火星,huo'xing
火爻,huo'yao
火灾,huo'zai
火泽癸,huo'ze'gui
火泽睽,huo'ze'kui
火主礼,huo'zhu'li
火珠林,huo'zhu'lin
疾病,ji'bing
己丑,ji'chou
疾厄,ji'e
吉格,ji'ge
己亥,ji'hai
吉化,ji'hua
己卯,ji'mao
己年,ji'nian
忌入,ji'ru
忌神,ji'shen
己巳,ji'si
己土,ji'tu
己未,ji'wei
击刑,ji'xing
吉凶,ji'xiong
吉耀,ji'yao
己酉,ji'you
甲丙戊庚壬,jia'bing'wu'geng'ren
甲病在巳,jia'bing'zai'si
甲长生在亥,jia'chang'sheng'zai'hai
甲辰,jia'chen
甲辰壬,jia'chen'ren
甲辰乙巳覆灯火,jia'chen'yi'si'fu'deng'huo
甲帝旺在卯,jia'di'wang'zai'mao
甲冠带在丑,jia'guan'dai'zai'chou
甲己合,jia'ji'he
甲己合化土,jia'ji'he'hua'tu
甲己子午九,jia'ji'zi'wu'jiu
甲绝在申,jia'jue'zai'shen
甲临官在寅,jia'lin'guan'zai'yin
甲禄在寅,jia'lu'zai'yin
甲木,jia'mu
甲沐浴在子,jia'mu'yu'zai'zi
甲墓在未,jia'mu'zai'wei
甲年,jia'nian
甲刃在卯,jia'ren'zai'mao
甲申,jia'shen
甲申庚,jia'shen'geng
甲申乙酉井泉水,jia'shen'yi'you'jing'quan'shui
甲衰在辰,jia'shuai'zai'chen
甲巳乙午报君知,jia'si'yi'wu'bao'jun'zhi
甲死在午,jia'si'zai'wu
甲胎在酉,jia'tai'zai'you
甲午,jia'wu
甲戊并牛羊,jia'wu'bing'niu'yang
甲戊庚牛羊,jia'wu'geng'niu'yang
甲午辛,jia'wu'xin
甲午乙未沙中金,jia'wu'yi'wei'sha'zhong'jin
甲戌,jia'xu
甲戌己,jia'xu'ji
甲戌乙亥山头火,jia'xu'yi'hai'shan'tou'huo
甲养在戌,jia'yang'zai'xu
甲乙丙丁戊己庚辛壬癸,jia'yi'bing'ding'wu'ji'geng'xin'ren'gui
甲寅,jia'yin
甲寅癸,jia'yin'gui
甲寅乙卯大溪水,jia'yin'yi'mao'da'xi'shui
甲子,jia'zi
甲子戊,jia'zi'wu
甲子乙丑海中金,jia'zi'yi'chou'hai'zhong'jin
剑锋金,jian'feng'jin
见机,jian'ji
涧下水,jian'xia'shui
将星,jiang'xing
劫财,jie'cai
截空,jie'kong
截路,jie'lu
姐妹,jie'mei
接气,jie'qi
劫杀,jie'sha
劫煞,jie'sha
金箔金,jin'bo'jin
金局,jin'ju
金克木,jin'ke'mu
金库,jin'ku
进马忌,jin'ma'ji
金木水火土,jin'mu'shui'huo'tu
金人巳亥始为先,jin'ren'si'hai'shi'wei'xian
金生水,jin'sheng'shui
金四局,jin'si'ju
进退马,jin'tui'ma
金爻,jin'yao
金舆,jin'yu
金猪岂有郎,jin'zhu'qi'you'lang
金主义,jin'zhu'yi
静卦,jing'gua
井栏冲,jing'lan'chong
井栏射,jing'lan'she
惊门,jing'men
景门,jing'men
井泉水,jing'quan'shui
静爻,jing'yao
九丙十居乙,jiu'bing'shi'ju'yi
纠缠忌,jiu'chan'ji
九地,jiu'di
九二,jiu'er
九三,jiu'san
九四,jiu'si
九天,jiu'tian
九五,jiu'wu
九一,jiu'yi
巨门,ju'men
绝命忌,jue'ming'ji
君爻,jun'yao
开门,kai'men
坎宫,kan'gong
坎宫八卦,kan'gong'ba'gua
坎卦,kan'gua
坎六,kan'liu
坎为水,kan'wei'shui
坎一宫,kan'yi'gong
坎中满,kan'zhong'man
科入,ke'ru
克泄,ke'xie
空亡,kong'wang
坤八,kun'ba
坤二宫,kun'er'gong
坤宫,kun'gong
坤宫八卦,kun'gong'ba'gua
坤卦,kun'gua
坤六断,kun'liu'duan
困龙被伤,kun'long'bei'shang
坤为地,kun'wei'di
老阳,lao'yang
老阴,lao'yin
雷地豫,lei'di'yu
雷风恒,lei'feng'heng
雷火丰,lei'huo'feng
雷山小过,lei'shan'xiao'guo
雷水解,lei'shui'jie
雷天大壮,lei'tian'da'zhuang
雷泽归妹,lei'ze'gui'mei
离宫,li'gong
离宫八卦,li'gong'ba'gua
离卦,li'gua
离九宫,li'jiu'gong
离三,li'san
离为火,li'wei'huo
李虚中,li'xu'zhong
离中虚,li'zhong'xu
廉贞,lian'zhen
连珠局,lian'zhu'ju
两仪,liang'yi
临官,lin'guan
铃星,ling'xing
六八为足,liu'ba'wei'zu
流财,liu'cai
六冲,liu'chong
六冲卦,liu'chong'gua
六二,liu'er
流父,liu'fu
流福,liu'fu
流官,liu'guan
六害,liu'hai
流疾,liu'ji
流命,liu'ming
流年,liu'nian
流年太岁,liu'nian'tai'sui
流仆,liu'pu
流妻,liu'qi
流迁,liu'qian
六亲,liu'qin
六壬,liu'ren
流日,liu'ri
六三,liu'san
六神,liu'shen
六十花甲,liu'shi'hua'jia
六十甲子,liu'shi'jia'zi
六十四卦,liu'shi'si'gua
六兽,liu'shou
六四,liu'si
流田,liu'tian
刘文元,liu'wen'yuan
六五,liu'wu
六辛逢虎马,liu'xin'feng'hu'ma
流兄,liu'xiong
六爻,liu'yao
六一,liu'yi
六仪击刑,liu'yi'ji'xing
流月,liu'yue
流子,liu'zi
龙池,long'chi
龙遁,long'dun
路傍土,lu'bang'tu
禄存,lu'cun
六合,lu'he
六合卦,lu'he'gua
禄忌交战,lu'ji'jiao'zhan
路碌子,lu'lu'zi
路旁土,lu'pang'tu
禄入,lu'ru
禄神,lu'shen
禄随忌走,lu'sui'ji'zou
炉中火,lu'zhong'huo
曼倩子,man'qian'zi
卯辰,mao'chen
卯辰害,mao'chen'hai
卯木,mao'mu
卯木父母,mao'mu'fu'mu
卯木父母持世,mao'mu'fu'mu'chi'shi
卯木官鬼,mao'mu'guan'gui
卯木官鬼持世,mao'mu'guan'gui'chi'shi
卯木妻财,mao'mu'qi'cai
卯木妻财持世,mao'mu'qi'cai'chi'shi
卯木兄弟,mao'mu'xiong'di
卯木兄弟持世,mao'mu'xiong'di'chi'shi
卯木子孙,mao'mu'zi'sun
卯木子孙持世,mao'mu'zi'sun'chi'shi
卯日,mao'ri
卯时,mao'shi
昴星法,mao'xing'fa
昴星课,mao'xing'ke
卯戌,mao'xu
卯戌合,mao'xu'he
卯戌合化火,mao'xu'he'hua'huo
卯酉,mao'you
卯月,mao'yue
梅花易,mei'hua'yi
门克宫,men'ke'gong
门迫,men'po
孟仲季,meng'zhong'ji
明动,ming'dong
命宫,ming'gong
命理,ming'li
命理探原,ming'li'tan'yuan
命运,ming'yun
末传,mo'chuan
谋星,mou'xing
木虎定居孀,mu'hu'ding'ju'shuang
木火蛇无婿,mu'huo'she'wu'xu
木局,mu'ju
墓绝胎养,mu'jue'tai'yang
木克土,mu'ke'tu
木库,mu'ku
木人亥卯四野眼,mu'ren'hai'mao'si'ye'yan
木三局,mu'san'ju
墓神不明,mu'shen'bu'ming
木生火,mu'sheng'huo
木爻,mu'yao
沐浴,mu'yu
沐浴败地,mu'yu'bai'di
沐浴桃花,mu'yu'tao'hua
木主仁,mu'zhu'ren
纳甲,na'jia
纳音,na'yin
南方火,nan'fang'huo
内卦,nei'gua
内外,nei'wai
逆水忌,ni'shui'ji
逆总顺零,ni'zong'shun'ling
年干,nian'gan
年命,nian'ming
年月日,nian'yue'ri
年柱,nian'zhu
年柱管岁运程,nian'zhu'guan'sui'yun'cheng
鸟跌穴,niao'die'xue
排卦,pai'gua
旁通卦,pang'tong'gua
抛钱,pao'qian
霹雷火,pi'lei'huo
霹雳火,pi'li'huo
偏财,pian'cai
偏官,pian'guan
平地木,ping'di'mu
平土木,ping'tu'mu
平相,ping'xiang
破财,po'cai
破军,po'jun
破碎,po'sui
仆役,pu'yi
妻财,qi'cai
妻财辰土,qi'cai'chen'tu
妻财辰土持世,qi'cai'chen'tu'chi'shi
妻财持世,qi'cai'chi'shi
妻财丑土,qi'cai'chou'tu
妻财丑土持世,qi'cai'chou'tu'chi'shi
妻财亥水,qi'cai'hai'shui
妻财亥水持世,qi'cai'hai'shui'chi'shi
妻财卯木,qi'cai'mao'mu
妻财卯木持世,qi'cai'mao'mu'chi'shi
妻财申金,qi'cai'shen'jin
妻财申金持世,qi'cai'shen'jin'chi'shi
妻财巳火,qi'cai'si'huo
妻财巳火持世,qi'cai'si'huo'chi'shi
妻财未土,qi'cai'wei'tu
妻财未土持世,qi'cai'wei'tu'chi'shi
妻财午火,qi'cai'wu'huo
妻财午火持世,qi'cai'wu'huo'chi'shi
妻财戌土,qi'cai'xu'tu
妻财戌土持世,qi'cai'xu'tu'chi'shi
妻财寅木,qi'cai'yin'mu
妻财寅木持世,qi'cai'yin'mu'chi'shi
妻财酉金,qi'cai'you'jin
妻财酉金持世,qi'cai'you'jin'chi'shi
妻财子水,qi'cai'zi'shui
妻财子水持世,qi'cai'zi'shui'chi'shi
起卦,qi'gua
七癸八寅中,qi'gui'ba'yin'zhong
奇门,qi'men
奇门遁甲,qi'men'dun'jia
七杀,qi'sha
气数,qi'shu
奇仪顺遂,qi'yi'shun'sui
奇仪相佐,qi'yi'xiang'zuo
乾宫,qian'gong
乾宫八卦,qian'gong'ba'gua
乾卦,qian'gua
千里命稿,qian'li'ming'gao
乾六宫,qian'liu'gong
乾三连,qian'san'lian
乾为天,qian'wei'tian
乾一,qian'yi
迁移,qian'yi
钦天门,qin'tian'men
青龙,qing'long
青龙返首,qing'long'fan'shou
青龙和会,qing'long'he'hui
青龙华盖,qing'long'hua'gai
青龙入天牢,qing'long'ru'tian'lao
青龙逃走,qing'long'tao'zou
青龙耀明,qing'long'yao'ming
青龙折足,qing'long'zhe'zu
青龙转光,qing'long'zhuan'guang
擎羊,qing'yang
取用,qu'yong
权忌交战,quan'ji'jiao'zhan
权入,quan'ru
全息结构,quan'xi'jie'gou
泉中水,quan'zhong'shui
壬病在寅,ren'bing'zai'yin
壬长生在申,ren'chang'sheng'zai'shen
壬辰,ren'chen
壬辰癸巳长流水,ren'chen'gui'si'chang'liu'shui
壬帝旺在子,ren'di'wang'zai'zi
人遁,ren'dun
人遁吉格,ren'dun'ji'ge
壬冠带在戌,ren'guan'dai'zai'xu
壬癸兔蛇藏,ren'gui'tu'she'cang
壬绝在巳,ren'jue'zai'si
壬临官在亥,ren'lin'guan'zai'hai
壬禄在亥,ren'lu'zai'hai
壬沐浴在酉,ren'mu'yu'zai'you
壬墓在辰,ren'mu'zai'chen
壬年,ren'nian
人盘,ren'pan
壬刃在子,ren'ren'zai'zi
壬申,ren'shen
壬申癸酉剑锋金,ren'shen'gui'you'jian'feng'jin
壬衰在丑,ren'shuai'zai'chou
壬水,ren'shui
壬死在卯,ren'si'zai'mao
壬胎在午,ren'tai'zai'wu
壬午,ren'wu
壬午癸未杨柳木,ren'wu'gui'wei'yang'liu'mu
壬戌,ren'xu
壬戌癸亥大海水,ren'xu'gui'hai'da'hai'shui
壬养在未,ren'yang'zai'wei
壬寅,ren'yin
壬寅癸卯金箔金,ren'yin'gui'mao'jin'bo'jin
壬子,ren'zi
壬子癸丑桑柘木,ren'zi'gui'chou'sang'zhe'mu
日辰,ri'chen
日冲,ri'chong
日扶,ri'fu
日合,ri'he
日建,ri'jian
日克,ri'ke
日令,ri'ling
日墓,ri'mu
日破,ri'po
