报废装备,bao'fei'zhuang'bei
非战斗损耗,fei'zhan'dou'sun'hao
非战斗损失,fei'zhan'dou'sun'shi
分队,fen'dui
分列式,fen'lie'shi
服现役,fu'xian'yi
复员军人,fu'yuan'jun'ren
改编,gai'bian
工改兵,gong'gai'bing
共同条令,gong'tong'tiao'ling
固定装备,gu'ding'zhuang'bei
合成军队,he'cheng'jun'dui
后勤处,hou'qin'chu
火器,huo'qi
基干民兵,ji'gan'min'bing
纪律条令,ji'lv'tiao'ling
技术兵,ji'shu'bing
技术兵器,ji'shu'bing'qi
技术鉴定,ji'shu'jian'ding
技术配套,ji'shu'pei'tao
技术装备,ji'shu'zhuang'bei
集团军,ji'tuan'jun
机械化部队,ji'xie'hua'bu'dui
简编,jian'bian
减员,jian'yuan
肩章,jian'zhang
建制,jian'zhi
建制单位,jian'zhi'dan'wei
将官,jiang'guan
校阅,jiao'yue
紧急集合,jin'ji'ji'he
警备部队,jing'bei'bu'dui
警备区,jing'bei'qu
敬礼,jing'li
警卫勤务,jing'wei'qin'wu
举手礼,ju'shou'li
军兵种符号,jun'bing'zhong'fu'hao
军队定额,jun'dui'ding'e
军队干部,jun'dui'gan'bu
军队建设,jun'dui'jian'she
军队内务,jun'dui'nei'wu
军队体制,jun'dui'ti'zhi
军队统帅机关,jun'dui'tong'shuai'ji'guan
军分区,jun'fen'qu
军风纪,jun'feng'ji
军服,jun'fu
军官,jun'guan
军徽,jun'hui
军籍,jun'ji
军礼,jun'li
军龄,jun'ling
军旗,jun'qi
军区,jun'qu
军人,jun'ren
军人举止,jun'ren'ju'zhi
军人通行证,jun'ren'tong'xing'zheng
军人仪表,jun'ren'yi'biao
军人职称,jun'ren'zhi'cheng
军人职责,jun'ren'zhi'ze
军人姿态,jun'ren'zi'tai
军容风纪,jun'rong'feng'ji
军士,jun'shi
军事代表,jun'shi'dai'biao
军事机关,jun'shi'ji'guan
军事科学研究机构,jun'shi'ke'xue'yan'jiu'ji'gou
军事落实,jun'shi'luo'shi
军事实力统计,jun'shi'shi'li'tong'ji
军团,jun'tuan
军务,jun'wu
军衔,jun'xian
军衔肩章,jun'xian'jian'zhang
军衔领章,jun'xian'ling'zhang
军衔制,jun'xian'zhi
军制,jun'zhi
军种,jun'zhong
课外活动,ke'wai'huo'dong
扩编,kuo'bian
劳务结合,lao'wu'jie'he
隶属,li'shu
列编,lie'bian
列兵,lie'bing
领导机关,ling'dao'ji'guan
令行禁止,ling'xing'jin'zhi
领章,ling'zhang
留守人员,liu'shou'ren'yuan
陆军,lu'jun
略表,lue'biao
满员,man'yuan
帽徽,mao'hui
民兵,min'bing
民兵参战支前,min'bing'can'zhan'zhi'qian
民兵传统战法,min'bing'chuan'tong'zhan'fa
民兵干部,min'bing'gan'bu
民兵工作三落实,min'bing'gong'zuo'san'luo'shi
民兵工作条例,min'bing'gong'zuo'tiao'li
民兵联防,min'bing'lian'fang
民兵哨所,min'bing'shao'suo
民兵战备勤务,min'bing'zhan'bei'qin'wu
民兵专业技术兵,min'bing'zhuan'ye'ji'shu'bing
民兵专业技术分队,min'bing'zhuan'ye'ji'shu'fen'dui
民兵组织,min'bing'zu'zhi
摩托化部队,mo'tuo'hua'bu'dui
内务条令,nei'wu'tiao'ling
内务卫生,nei'wu'wei'sheng
内务制度,nei'wu'zhi'du
平时编制,ping'shi'bian'zhi
普通民兵,pu'tong'min'bing
骑兵,qi'bing
齐装,qi'zhuang
齐装满员,qi'zhuang'man'yuan
轻装,qing'zhuang
区队,qu'dui
缺编,que'bian
人民武装,ren'min'wu'zhuang
人民武装部,ren'min'wu'zhuang'bu
人武部,ren'wu'bu
三结合武装力量体制,san'jie'he'wu'zhuang'li'liang'ti'zhi
三军仪仗队,san'jun'yi'zhang'dui
三野,san'ye
三总部,san'zong'bu
上等兵,shang'deng'bing
上级,shang'ji
上将,shang'jiang
上士,shang'shi
上尉,shang'wei
上校,shang'xiao
少将,shao'jiang
少尉,shao'wei
少校,shao'xiao
设计定型,she'ji'ding'xing
生产定型,sheng'chan'ding'xing
省军区,sheng'jun'qu
士兵,shi'bing
事故,shi'gu
师旅,shi'lv
试验场试验,shi'yan'chang'shi'yan
守备部队,shou'bei'bu'dui
守备区,shou'bei'qu
首长,shou'zhang
四野,si'ye
条列,tiao'lie
条令,tiao'ling
同类装备,tong'lei'zhuang'bei
通用装备,tong'yong'zhuang'bei
退出现役,tui'chu'xian'yi
退伍军人,tui'wu'jun'ren
退休,tui'xiu
退役,tui'yi
退役装备,tui'yi'zhuang'bei
退职,tui'zhi
晚点名,wan'dian'ming
卫兵守则,wei'bing'shou'ze
卫兵特别守则,wei'bing'te'bie'shou'ze
尉官,wei'guan
卫戍部队,wei'shu'bu'dui
卫戍勤务,wei'shu'qin'wu
卫戍区,wei'shu'qu
武工队,wu'gong'dui
武器,wu'qi
武器管理,wu'qi'guan'li
武器装备,wu'qi'zhuang'bei
武装力量,wu'zhuang'li'liang
下级,xia'ji
下士,xia'shi
现役,xian'yi
现有装备,xian'you'zhuang'bei
校官,xiao'guan
行政管理教育,xing'zheng'guan'li'jiao'yu
行政责任事故,xing'zheng'ze'ren'shi'gu
学兵,xue'bing
要塞区,yao'sai'qu
业务部门,ye'wu'bu'men
野战军,ye'zhan'jun
野战装备,ye'zhan'zhuang'bei
一切行动听指挥,yi'qie'xing'dong'ting'zhi'hui
义务兵役制,yi'wu'bing'yi'zhi
一野,yi'ye
仪仗队,yi'zhang'dui
因战致残,yin'zhan'zhi'can
应征公民,ying'zheng'gong'min
游击队,you'ji'dui
有禁则止,you'jin'ze'zhi
有令则行,you'ling'ze'xing
预备役,yu'bei'yi
预防事故,yu'fang'shi'gu
元帅,yuan'shuai
阅兵,yue'bing
阅兵式,yue'bing'shi
暂行编制,zan'xing'bian'zhi
增编,zeng'bian
战备观念,zhan'bei'guan'nian
战场管理,zhan'chang'guan'li
战斗部队,zhan'dou'bu'dui
战斗减员,zhan'dou'jian'yuan
战斗损耗,zhan'dou'sun'hao
战斗损失,zhan'dou'sun'shi
战斗统计,zhan'dou'tong'ji
战斗序列,zhan'dou'xu'lie
战斗员,zhan'dou'yuan
战士,zhan'shi
战时编制,zhan'shi'bian'zhi
战术技术论证,zhan'shu'ji'shu'lun'zheng
战术技术性能,zhan'shu'ji'shu'xing'neng
战术技术要求,zhan'shu'ji'shu'yao'qiu
战术配套,zhan'shu'pei'tao
整编,zheng'bian
征兵,zheng'bing
整齐划一,zheng'qi'hua'yi
政治处,zheng'zhi'chu
政治落实,zheng'zhi'luo'shi
政治事故,zheng'zhi'shi'gu
值班制度,zhi'ban'zhi'du
支队,zhi'dui
直接首长,zhi'jie'shou'zhang
值勤,zhi'qin
制式装备,zhi'shi'zhuang'bei
直属单位,zhi'shu'dan'wei
志愿兵制,zhi'yuan'bing'zhi
中队,zhong'dui
中将,zhong'jiang
中士,zhong'shi
中尉,zhong'wei
重武器,zhong'wu'qi
中校,zhong'xiao
诸军兵种合成军队,zhu'jun'bing'zhong'he'cheng'jun'dui
注目礼,zhu'mu'li
专业兵,zhuan'ye'bing
专业部队,zhuan'ye'bu'dui
专业分队,zhuan'ye'fen'dui
专业符号,zhuan'ye'fu'hao
转业军人,zhuan'ye'jun'ren
专用装备,zhuan'yong'zhuang'bei
装备,zhuang'bei
装备订货,zhuang'bei'ding'huo
装备定型,zhuang'bei'ding'xing
装备动员计划,zhuang'bei'dong'yuan'ji'hua
装备发展方向,zhuang'bei'fa'zhan'fang'xiang
装备管理,zhuang'bei'guan'li
装备技术革新,zhuang'bei'ji'shu'ge'xin
装备命名,zhuang'bei'ming'ming
装备体制,zhuang'bei'ti'zhi
装备系列化,zhuang'bei'xi'lie'hua
装备型号,zhuang'bei'xing'hao
装备验收,zhuang'bei'yan'shou
准尉,zhun'wei
着装,zhuo'zhuang
自然灾害制度,zi'ran'zai'hai'zhi'du
总部,zong'bu
总参谋部,zong'can'mou'bu
总队,zong'dui
总后勤部,zong'hou'qin'bu
总减员,zong'jian'yuan
总政治部,zong'zheng'zhi'bu
总装备部,zong'zhuang'bei'bu
组织健全,zu'zhi'jian'quan
组织落实,zu'zhi'luo'shi
作息制度,zuo'xi'zhi'du
