曾几何时,ceng'ji'he'shi
椎心饮泣,chui'xin'yin'qi
椎胸跌足,chui'xiong'die'zu
椎胸顿足,chui'xiong'dun'zu
椎膺顿足,chui'ying'dun'zu
攒锋聚镝,cuan'feng'ju'di
攒零合整,cuan'ling'he'zheng
攒眉蹙额,cuan'mei'cu'e
攒三集五,cuan'san'ji'wu
攒三聚五,cuan'san'ju'wu
攒心盒子,cuan'xin'he'zi
粘皮带骨,nian'pi'dai'gu
召父杜母,shao'fu'du'mu
折本买卖,she'ben'mai'mai
折箭为誓,she'jian'wei'shi
折腰五斗,she'yao'wu'dou
属纩含饭,shu'kuang'han'fan
属纩之际,shu'kuang'zhi'ji
属托不行,shu'tuo'bu'xing
擿伏发奸,ti'fu'fa'jian
擿伏发隐,ti'fu'fa'yin
擿奸发伏,ti'jian'fa'fu
擿抉细微,ti'jue'xi'wei
摘瑕指瑜,ti'xia'zhi'yu
擿埴冥行,ti'zhi'ming'xing
擿埴索涂,ti'zhi'suo'tu
擿植索涂,ti'zhi'suo'tu
轧敚排很,ya'dui'pai'hen
陨雹飞霜,yun'bao'fei'shuang
运策决机,yun'ce'jue'ji
运策帷幄,yun'ce'wei'wo
运筹出奇,yun'chou'chu'qi
运筹画策,yun'chou'hua'ce
运筹建策,yun'chou'jian'ce
运筹借箸,yun'chou'jie'zhu
运筹决策,yun'chou'jue'ce
运筹决胜,yun'chou'jue'sheng
运筹决算,yun'chou'jue'suan
运筹谋画,yun'chou'mou'hua
运筹千里,yun'chou'qian'li
运筹设策,yun'chou'she'ce
运筹帏幄,yun'chou'wei'wo
运筹帷幄,yun'chou'wei'wo
运筹帷帐,yun'chou'wei'zhang
运筹演谋,yun'chou'yan'mou
运筹制胜,yun'chou'zhi'sheng
孕大含深,yun'da'han'shen
运掉自如,yun'diao'zi'ru
运动健将,yun'dong'jian'jiang
韫匵藏珠,yun'du'cang'zhu
韫椟藏珠,yun'du'cang'zhu
韫椟待价,yun'du'dai'jia
韫匵而藏,yun'du'er'cang
韫椟而藏,yun'du'er'cang
韫椟未酤,yun'du'wei'gu
运斧般门,yun'fu'ban'men
允恭克让,yun'gong'ke'rang
运乖时蹇,yun'guai'shi'jian
缊褐瓢箪,yun'he'piao'dan
匀红点翠,yun'hong'dian'cui
运计铺谋,yun'ji'pu'mou
运蹇时低,yun'jian'shi'di
运蹇时乖,yun'jian'shi'guai
蕴藉风流,yun'jie'feng'liu
酝藉风流,yun'jie'feng'liu
运斤成风,yun'jin'cheng'feng
运斤如风,yun'jin'ru'feng
运开时泰,yun'kai'shi'tai
允理惬情,yun'li'qie'qing
晕眉约鬓,yun'mei'yue'bin
缊袍不耻,yun'pao'bu'chi
蕴奇待价,yun'qi'dai'jia
殒身不恤,yun'shen'bu'xu
陨身糜骨,yun'shen'mi'gu
殒身碎首,yun'shen'sui'shou
云树之思,yun'shu'zhi'si
云水全真,yun'shui'quan'zhen
云水散人,yun'shui'san'ren
云台主帅,yun'tai'zhu'shuai
云天高谊,yun'tian'gao'yi
云天雾地,yun'tian'wu'di
云亭山人,yun'ting'shan'ren
晕头打脑,yun'tou'da'nao
晕头转向,yun'tou'zhuan'xiang
云屯飙散,yun'tun'biao'san
云屯鸟散,yun'tun'niao'san
云屯森立,yun'tun'sen'li
云屯雾集,yun'tun'wu'ji
云屯雾散,yun'tun'wu'san
云屯席卷,yun'tun'xi'juan
云屯星聚,yun'tun'xing'ju
云屯蚁聚,yun'tun'yi'ju
云屯雨集,yun'tun'yu'ji
运旺时盛,yun'wang'shi'sheng
运亡为存,yun'wang'wei'cun
运亡爲存,yun'wang'wei'cun
云蔚霞起,yun'wei'xia'qi
允文允武,yun'wen'yun'wu
云雾迷蒙,yun'wu'mi'meng
云溪醉侯,yun'xi'zui'hou
云霞满纸,yun'xia'man'zhi
云消雾散,yun'xiao'wu'san
云消雨散,yun'xiao'yu'san
云心鹤眼,yun'xin'he'yan
云心水性,yun'xin'shui'xing
云心月性,yun'xin'yue'xing
云兴霞蔚,yun'xing'xia'wei
云行雨洽,yun'xing'yu'qia
云行雨施,yun'xing'yu'shi
云烟过眼,yun'yan'guo'yan
云耶山耶,yun'ye'shan'ye
运移时易,yun'yi'shi'yi
云涌飙发,yun'yong'biao'fa
云涌风飞,yun'yong'feng'fei
云涌雾集,yun'yong'wu'ji
运用自如,yun'yong'zi'ru
云游四海,yun'you'si'hai
云游天下,yun'you'tian'xia
云尤雨殢,yun'you'yu'ti
韫玉待价,yun'yu'dai'jia
云雨高唐,yun'yu'gao'tang
云雨巫娥,yun'yu'wu'e
云雨巫山,yun'yu'wu'shan
晕晕沉沉,yun'yun'chen'chen
晕晕乎乎,yun'yun'hu'hu
晕晕忽忽,yun'yun'hu'hu
晕晕糊糊,yun'yun'hu'hu
芸芸众生,yun'yun'zhong'sheng
运载火箭,yun'zai'huo'jian
云遮雾障,yun'zhe'wu'zhang
云遮雾罩,yun'zhe'wu'zhao
云蒸础润,yun'zheng'chu'run
云蒸龙变,yun'zheng'long'bian
云蒸泉涌,yun'zheng'quan'yong
云蒸雾集,yun'zheng'wu'ji
云蒸霞蔚,yun'zheng'xia'wei
云蒸雨降,yun'zheng'yu'jiang
允执厥中,yun'zhi'jue'zhong
匀脂抹粉,yun'zhi'mo'fen
运智铺谋,yun'zhi'pu'mou
允执其中,yun'zhi'qi'zhong
运之掌上,yun'zhi'zhang'shang
云中白鹤,yun'zhong'bai'he
云中太守,yun'zhong'tai'shou
云中仙鹤,yun'zhong'xian'he
运转时来,yun'zhuan'shi'lai
运拙时乖,yun'zhuo'shi'guai
运拙时艰,yun'zhuo'shi'jian
杂采众说,za'cai'zhong'shuo
匝地烟尘,za'di'yan'chen
杂泛差役,za'fan'chai'yi
杂歌謡辞,za'ge'yao'ci
砸锅卖铁,za'guo'mai'tie
砸姜磨蒜,za'jiang'mo'suan
杂教九流,za'jiao'jiu'liu
杂进巧拙,za'jin'qiao'zhuo
杂乱无序,za'luan'wu'xu
杂乱无章,za'luan'wu'zhang
杂七碎八,za'qi'sui'ba
杂七杂八,za'qi'za'ba
杂然相许,za'ran'xiang'xu
咂舌攒眉,za'she'cuan'mei
杂沓而至,za'ta'er'zhi
杂学旁收,za'xue'pang'shou
杂杂嘈嘈,za'za'cao'cao
咋指吐舌,za'zhi'tu'she
咂嘴弄唇,za'zui'nong'chun
咂嘴弄舌,za'zui'nong'she
咂嘴舔唇,za'zui'tian'chun
砸嘴舔唇,za'zui'tian'chun
咂嘴咂舌,za'zui'za'she
再拜稽首,zai'bai'qi'shou
再不其然,zai'bu'qi'ran
载沉载浮,zai'chen'zai'fu
在陈之厄,zai'chen'zhi'e
载驰载驱,zai'chi'zai'qu
在此存照,zai'ci'cun'zhao
在此一举,zai'ci'yi'ju
再当冯妇,zai'dang'feng'fu
再蹈覆辙,zai'dao'fu'zhe
载道怨声,zai'dao'yuan'sheng
在耳历历,zai'er'li'li
载歌且舞,zai'ge'qie'wu
载歌载舞,zai'ge'zai'wu
在谷满谷,zai'gu'man'gu
在官言官,zai'guan'yan'guan
载懽载笑,zai'guan'zai'xiao
载鬼一车,zai'gui'yi'che
在行嫌行,zai'hang'xian'xing
再合余烬,zai'he'yu'jin
栽花先生,zai'hua'xian'sheng
载欢载笑,zai'huan'zai'xiao
载戢干戈,zai'ji'gan'ge
宰鷄教猴,zai'ji'jiao'hou
宰鸡教猴,zai'ji'jiao'hou
在家出家,zai'jia'chu'jia
在劫难逃,zai'jie'nan'tao
再接再捷,zai'jie'zai'jie
再接再历,zai'jie'zai'li
再接再厉,zai'jie'zai'li
再接再砺,zai'jie'zai'li
载酒问字,zai'jiu'wen'zi
灾梨祸枣,zai'li'huo'zao
宰木已拱,zai'mu'yi'gong
灾难深重,zai'nan'shen'zhong
载驱载驰,zai'qu'zai'chi
在人耳目,zai'ren'er'mu
在人口耳,zai'ren'kou'er
再三再四,zai'san'zai'si
在色之戒,zai'se'zhi'jie
再生父母,zai'sheng'fu'mu
再生之德,zai'sheng'zhi'de
再衰三涸,zai'shuai'san'he
再衰三竭,zai'shuai'san'jie
在水一方,zai'shui'yi'fang
在所不辞,zai'suo'bu'ci
在所不免,zai'suo'bu'mian
在所不惜,zai'suo'bu'xi
在所难免,zai'suo'nan'mian
在所自处,zai'suo'zi'chu
在天之灵,zai'tian'zhi'ling
载笑载言,zai'xiao'zai'yan
载欣载奔,zai'xin'zai'ben
载一抱素,zai'yi'bao'su
载营抱魄,zai'ying'bao'po
载誉而归,zai'yu'er'gui
在在皆是,zai'zai'jie'shi
再造之恩,zai'zao'zhi'en
载舟覆舟,zai'zhou'fu'zhou
再作道理,zai'zuo'dao'li
再做道理,zai'zuo'dao'li
再作冯妇,zai'zuo'feng'fu
赞拜不名,zan'bai'bu'ming
簪笔磬折,zan'bi'qing'zhe
赞不絶口,zan'bu'jue'kou
赞不绝口,zan'bu'jue'kou
赞不容口,zan'bu'rong'kou
簪蒿席草,zan'hao'xi'cao
簪盍良朋,zan'he'liang'peng
赞口不绝,zan'kou'bu'jue
暂劳永逸,zan'lao'yong'yi
攒眉苦脸,zan'mei'ku'lian
赞声不绝,zan'sheng'bu'jue
赞叹不已,zan'tan'bu'yi
赞叹不置,zan'tan'bu'zhi
簪星曳月,zan'xing'ye'yue
簪缨门第,zan'ying'men'di
簪缨世胄,zan'ying'shi'zhou
簪缨世族,zan'ying'shi'zu
簪缨之族,zan'ying'zhi'zu
臧仓小人,zang'cang'xiao'ren
牂羝不辨,zang'di'bu'bian
臧谷两亡,zang'gu'liang'wang
臧穀亡羊,zang'gu'wang'yang
臧谷亡羊,zang'gu'wang'yang
臧谷之羊,zang'gu'zhi'yang
脏官污吏,zang'guan'wu'li
赃官污吏,zang'guan'wu'li
赃官汚吏,zang'guan'yu'li
赃秽狼藉,zang'hui'lang'ji
赃贿狼籍,zang'hui'lang'ji
赃贿狼藉,zang'hui'lang'ji
赃货狼藉,zang'huo'lang'ji
臧否人物,zang'pi'ren'wu
葬身鱼腹,zang'shen'yu'fu
赃私狼籍,zang'si'lang'ji
赃私狼藉,zang'si'lang'ji
脏污狼藉,zang'wu'lang'ji
赃汙狼藉,zang'wu'lang'ji
赃污狼籍,zang'wu'lang'ji
赃污狼藉,zang'wu'lang'ji
脏心烂肺,zang'xin'lan'fei
赃心烂肺,zang'xin'lan'fei
赃盈恶贯,zang'ying'e'guan
葬用柔日,zang'yong'rou'ri
赃汚狼籍,zang'yu'lang'ji
赃汚狼藉,zang'yu'lang'ji
葬玉埋香,zang'yu'mai'xiang
早八辈子,zao'ba'bei'zi
皂白不分,zao'bai'bu'fen
皂白沟分,zao'bai'gou'fen
皂白难分,zao'bai'nan'fen
皂白须分,zao'bai'xu'fen
造谤生事,zao'bang'sheng'shi
凿壁借光,zao'bi'jie'guang
凿壁偷光,zao'bi'tou'guang
凿壁悬梁,zao'bi'xuan'liang
早朝晏罢,zao'chao'yan'ba
早朝晏退,zao'chao'yan'tui
蚤朝晏退,zao'chao'yan'tui
造车合辙,zao'che'he'zhe
凿齿磨牙,zao'chi'mo'ya
蚤出莫入,zao'chu'mo'ru
早出暮归,zao'chu'mu'gui
早出晚归,zao'chu'wan'gui
蚤出夜入,zao'chu'ye'ru
造次颠沛,zao'ci'dian'pei
造次行事,zao'ci'xing'shi
燥荻枯柴,zao'di'ku'chai
造端倡始,zao'duan'chang'shi
造端托始,zao'duan'tuo'shi
造端讬始,zao'duan'tuo'shi
造恶不悛,zao'e'bu'quan
噪儿巴喝,zao'er'ba'he
遭逢不偶,zao'feng'bu'ou
遭逢会遇,zao'feng'hui'yu
遭逢际会,zao'feng'ji'hui
遭逢时会,zao'feng'shi'hui
枣膏昏钝,zao'gao'hun'dun
澡垢索疵,zao'gou'suo'ci
凿骨捣髓,zao'gu'dao'sui
凿龟数策,zao'gui'shu'ce
凿龟数筴,zao'gui'shu'jia
造化弄人,zao'hua'nong'ren
造化小儿,zao'hua'xiao'er
遭际不偶,zao'ji'bu'ou
造极登峯,zao'ji'deng'feng
造极登峰,zao'ji'deng'feng
遭际时会,zao'ji'shi'hui
遭家不造,zao'jia'bu'zao
造茧自缚,zao'jian'zi'fu
遭劫在数,zao'jie'zai'shu
早韭晚菘,zao'jiu'wan'song
糟糠不厌,zao'kang'bu'yan
糟糠之妇,zao'kang'zhi'fu
糟糠之妻,zao'kang'zhi'qi
凿空立论,zao'kong'li'lun
凿空取办,zao'kong'qu'ban
凿空投隙,zao'kong'tou'xi
凿空指鹿,zao'kong'zhi'lu
凿空之论,zao'kong'zhi'lun
皂隶老官,zao'li'lao'guan
造谋布穽,zao'mou'bu'jing
造谋布阱,zao'mou'bu'jing
蚤谋先定,zao'mou'xian'ding
造难生患,zao'nan'sheng'huan
凿坏而遁,zao'pi'er'dun
凿坯而遁,zao'pi'er'dun
凿坏以遁,zao'pi'yi'dun
凿破浑沌,zao'po'hun'dun
灶前老虎,zao'qian'lao'hu
竈前老虎,zao'qian'lao'hu
蚤寝晏起,zao'qin'yan'qi
遭倾遇祸,zao'qing'yu'huo
蚤入晏出,zao'ru'yan'chu
凿枘圆方,zao'rui'yuan'fang
灶上扫除,zao'shang'sao'chu
灶上骚除,zao'shang'sao'chu
竈上骚除,zao'shang'sao'chu
澡身浴德,zao'shen'yu'de
遭时不偶,zao'shi'bu'ou
遭时定制,zao'shi'ding'zhi
凿石索玉,zao'shi'suo'yu
遭事制宜,zao'shi'zhi'yi
遭时制宜,zao'shi'zhi'yi
皂丝麻线,zao'si'ma'xian
凿隧入井,zao'sui'ru'jing
造天立极,zao'tian'li'ji
皂王老爷,zao'wang'lao'ye
澡慰故俗,zao'wei'gu'su
造微入妙,zao'wei'ru'miao
早为之所,zao'wei'zhi'suo
凿险缒幽,zao'xian'zhui'you
凿性斧身,zao'xing'fu'shen
蚤兴夜寐,zao'xing'ye'mei
澡雪精神,zao'xue'jing'shen
凿穴为居,zao'xue'wei'ju
躁言丑句,zao'yan'chou'ju
造言惑众,zao'yan'huo'zhong
造言捏词,zao'yan'nie'ci
造言生事,zao'yan'sheng'shi
造言之刑,zao'yan'zhi'xing
造谣惑众,zao'yao'huo'zhong
造谣生非,zao'yao'sheng'fei
造谣生事,zao'yao'sheng'shi
造谣中伤,zao'yao'zhong'shang
造因得果,zao'yin'de'guo
凿饮耕食,zao'yin'geng'shi
造因结果,zao'yin'jie'guo
凿楹纳书,zao'ying'na'shu
遭遇不偶,zao'yu'bu'ou
遭遇际会,zao'yu'ji'hui
遭遇运会,zao'yu'yun'hui
凿圆枘方,zao'yuan'rui'fang
澡熨故俗,zao'yun'gu'su
凿凿可据,zao'zao'ke'ju
噪噪切切,zao'zao'qie'qie
凿凿言之,zao'zao'yan'zhi
凿凿有据,zao'zao'you'ju
早占勿药,zao'zhan'wu'yao
凿柱取书,zao'zhu'qu'shu
造作矫揉,zao'zuo'jiao'rou
早作夜息,zao'zuo'ye'xi
泽被后世,ze'bei'hou'shi
责备求全,ze'bei'qiu'quan
责备贤者,ze'bei'xian'zhe
择地而蹈,ze'di'er'dao
择肥而噬,ze'fei'er'shi
择福宜重,ze'fu'yi'zhong
责躬省过,ze'gong'xing'guo
责躬引咎,ze'gong'yin'jiu
责躬罪己,ze'gong'zui'ji
择祸从轻,ze'huo'cong'qing
泽及髊骨,ze'ji'ci'gu
泽及枯骨,ze'ji'ku'gu
泽及万世,ze'ji'wan'shi
择交而友,ze'jiao'er'you
择利行权,ze'li'xing'quan
择邻而居,ze'lin'er'ju
择木而处,ze'mu'er'chu
择木而栖,ze'mu'er'qi
择人而事,ze'ren'er'shi
择人任势,ze'ren'ren'shi
择善而从,ze'shan'er'cong
择善而行,ze'shan'er'xing
择善固执,ze'shan'gu'zhi
咋舌不下,ze'she'bu'xia
齰舌缄唇,ze'she'jian'chun
泽深恩重,ze'shen'en'zhong
昃食宵衣,ze'shi'xiao'yi
责实循名,ze'shi'xun'ming
赜探隐索,ze'tan'yin'suo
泽吻磨牙,ze'wen'mo'ya
责无旁贷,ze'wu'pang'dai
责先利后,ze'xian'li'hou
择焉不精,ze'yan'bu'jing
啧有烦言,ze'you'fan'yan
择优录取,ze'you'lu'qu
择优录用,ze'you'lu'yong
责有所归,ze'you'suo'gui
责有攸归,ze'you'you'gui
啧啧称美,ze'ze'cheng'mei
啧啧称奇,ze'ze'cheng'qi
啧啧称赏,ze'ze'cheng'shang
啧啧称羡,ze'ze'cheng'xian
啧啧称赞,ze'ze'cheng'zan
啧啧赞美,ze'ze'zan'mei
责重山岳,ze'zhong'shan'yue
择主而事,ze'zhu'er'shi
贼不空手,zei'bu'kong'shou
贼臣乱子,zei'chen'luan'zi
贼臣逆子,zei'chen'ni'zi
贼出关门,zei'chu'guan'men
贼喊捉贼,zei'han'zhuo'zei
贼眉溜眼,zei'mei'liu'yan
贼眉鼠眼,zei'mei'shu'yan
贼眉贼眼,zei'mei'zei'yan
贼皮贼骨,zei'pi'zei'gu
贼去关门,zei'qu'guan'men
贼人胆虚,zei'ren'dan'xu
贼人心虚,zei'ren'xin'xu
贼手贼脚,zei'shou'zei'jiao
贼忒嬉嬉,zei'tei'xi'xi
贼头狗脑,zei'tou'gou'nao
贼头鬼脑,zei'tou'gui'nao
贼头鼠脑,zei'tou'shu'nao
贼头贼脑,zei'tou'zei'nao
贼心不死,zei'xin'bu'si
贼子乱臣,zei'zi'luan'chen
贼走关门,zei'zou'guan'men
谮下谩上,zen'xia'man'shang
憎爱分明,zeng'ai'fen'ming
曾不惨然,zeng'bu'can'ran
甑尘釜鱼,zeng'chen'fu'yu
缯贩之士,zeng'fan'zhi'shi
甑釜生尘,zeng'fu'sheng'chen
综光瓦亮,zeng'guang'wa'liang
鋥光瓦亮,zeng'guang'wa'liang
锃光瓦亮,zeng'guang'wa'liang
鋥明彻亮,zeng'ming'che'liang
锃明彻亮,zeng'ming'che'liang
曾母投杼,zeng'mu'tou'zhu
曾参杀人,zeng'shen'sha'ren
增收节支,zeng'shou'jie'zhi
增砖添瓦,zeng'zhuan'tian'wa
曾子杀彘,zeng'zi'sha'zhi
曾祖王父,zeng'zu'wang'fu
曾祖王母,zeng'zu'wang'mu
诈败佯输,zha'bai'yang'shu
诈痴不颠,zha'chi'bu'dian
诈痴佯呆,zha'chi'yang'dai
扎根串连,zha'gen'chuan'lian
诈瞽徉聋,zha'gu'yang'long
诈奸不及,zha'jian'bu'ji
扎脚勒手,zha'jiao'le'shou
扎口辣舌,zha'kou'la'she
扎老女坟,zha'lao'nv'fen
乍凉咋凉,zha'liang'za'liang
乍毛变色,zha'mao'bian'se
诈谋奇计,zha'mou'qi'ji
乍暖还寒,zha'nuan'hai'han
乍暖乍寒,zha'nuan'zha'han
乍前乍却,zha'qian'zha'que
诈取豪夺,zha'qu'hao'duo
扎手舞脚,zha'shou'wu'jiao
札手舞脚,zha'shou'wu'jiao
札闼洪休,zha'ta'hong'xiu
乍同乍异,zha'tong'zha'yi
乍往乍来,zha'wang'zha'lai
诈瞎装聋,zha'xia'zhuang'long
诈哑佯聋,zha'ya'yang'long
乍雨乍晴,zha'yu'zha'qing
咋咋唬唬,zha'zha'hu'hu
喳喳嘁嘁,zha'zha'qi'qi
扎扎实实,zha'zha'shi'shi
扎寨夫人,zha'zhai'fu'ren
渣滓浊沫,zha'zi'zhuo'mo
摘胆剜心,zhai'dan'wan'xin
债多不愁,zhai'duo'bu'chou
摘瓜抱蔓,zhai'gua'bao'man
摘奸发伏,zhai'jian'fa'fu
斋居蔬食,zhai'ju'shu'shi
摘句搜章,zhai'ju'sou'zhang
摘句寻章,zhai'ju'xun'zhang
窄门窄户,zhai'men'zhai'hu
摘山煮海,zhai'shan'zhu'hai
债台高筑,zhai'tai'gao'zhu
斋心涤虑,zhai'xin'di'lv
宅心仁厚,zhai'xin'ren'hou
宅心知训,zhai'xin'zhi'xun
宅心忠厚,zhai'xin'zhong'hou
摘艳熏香,zhai'yan'xun'xiang
摘艳薰香,zhai'yan'xun'xiang
窄窄别别,zhai'zhai'bie'bie
窄窄弓弓,zhai'zhai'gong'gong
窄窄轻轻,zhai'zhai'qing'qing
摘埴索涂,zhai'zhi'suo'tu
宅中图大,zhai'zhong'tu'da
斋钟衙鼓,zhai'zhong'ya'gu
斩岸堙溪,zhan'an'yin'xi
瞻博迦花,zhan'bo'jia'hua
战不旋踵,zhan'bu'xuan'zhong
站不住脚,zhan'bu'zhu'jiao
斩草除根,zhan'cao'chu'gen
展草垂缰,zhan'cao'chui'jiang
栈车牝马,zhan'che'pin'ma
展翅高飞,zhan'chi'gao'fei
斩钉截铁,zhan'ding'jie'tie
斩钉切铁,zhan'ding'qie'tie
战鬭英雄,zhan'dou'ying'xiong
湛恩汪濊,zhan'en'wang'hun
沾风惹草,zhan'feng're'cao
占风使帆,zhan'feng'shi'fan
占风望气,zhan'feng'wang'qi
沾丐后人,zhan'gai'hou'ren
沾溉后人,zhan'gai'hou'ren
站干岸儿,zhan'gan'an'er
斩竿揭木,zhan'gan'jie'mu
斩钢截铁,zhan'gang'jie'tie
瞻顾前后,zhan'gu'qian'hou
斩关夺隘,zhan'guan'duo'ai
沾花惹草,zhan'hua're'cao
粘花惹草,zhan'hua're'cao
粘花惹絮,zhan'hua're'xu
战火纷飞,zhan'huo'fen'fei
斩将夺旗,zhan'jiang'duo'qi
斩将搴旗,zhan'jiang'qian'qi
斩将刈旗,zhan'jiang'yi'qi
展脚伸腰,zhan'jiao'shen'yao
斩尽杀絶,zhan'jin'sha'jue
斩尽杀绝,zhan'jin'sha'jue
斩荆披棘,zhan'jing'pi'ji
战慄,zhan'li
战栗失箸,zhan'li'shi'zhu
粘吝缴绕,zhan'lin'jiao'rao
崭露锋芒,zhan'lu'feng'mang
崭露头脚,zhan'lu'tou'jiao
崭露头角,zhan'lu'tou'jiao
战略战术,zhan'lue'zhan'shu
展眉解颐,zhan'mei'jie'yi
斩木揭竿,zhan'mu'jie'gan
沾泥带水,zhan'ni'dai'shui
粘皮着骨,zhan'pi'zhe'gu
粘皮著骨,zhan'pi'zhu'gu
瞻蒲劝穑,zhan'pu'quan'se
展其骥足,zhan'qi'ji'zu
瞻前顾后,zhan'qian'gu'hou
瞻前忽后,zhan'qian'hu'hou
瞻前虑后,zhan'qian'lv'hou
瞻前思后,zhan'qian'si'hou
沾亲带故,zhan'qin'dai'gu
沾亲带友,zhan'qin'dai'you
沾亲挂拐,zhan'qin'gua'guai
瞻情顾意,zhan'qing'gu'yi
栈山航海,zhan'shan'hang'hai
占山为王,zhan'shan'wei'wang
毡上拖毛,zhan'shang'tuo'mao
斩蛇逐鹿,zhan'she'zhu'lu
战胜攻取,zhan'sheng'gong'qu
鹯视狼顾,zhan'shi'lang'gu
旃檀瑞像,zhan'tan'rui'xiang
沾体涂足,zhan'ti'tu'zu
霑體塗足,zhan'ti'tu'zu
战天斗地,zhan'tian'dou'di
瞻天恋阙,zhan'tian'lian'que
斩头沥血,zhan'tou'li'xue
斩头去尾,zhan'tou'qu'wei
展土开疆,zhan'tu'kai'jiang
瞻望咨嗟,zhan'wang'zi'jie
占为己有,zhan'wei'ji'you
站稳脚跟,zhan'wen'jiao'gen
战无不克,zhan'wu'bu'ke
战无不胜,zhan'wu'bu'sheng
瞻星揆地,zhan'xing'kui'di
詹言曲说,zhan'yan'qu'shuo
展眼舒眉,zhan'yan'shu'mei
詀言詀语,zhan'yan'zhan'yu
瞻予马首,zhan'yu'ma'shou
瞻云就日,zhan'yun'jiu'ri
瞻云望日,zhan'yun'wang'ri
瞻云陟屺,zhan'yun'zhi'qi
战战惶惶,zhan'zhan'huang'huang
战战兢兢,zhan'zhan'jing'jing
战战栗栗,zhan'zhan'li'li
湛湛青天,zhan'zhan'qing'tian
詹詹炎炎,zhan'zhan'yan'yan
战战业业,zhan'zhan'ye'ye
沾沾自好,zhan'zhan'zi'hao
沾沾自满,zhan'zhan'zi'man
沾沾自喜,zhan'zhan'zi'xi
沾沾自衒,zhan'zhan'zi'xuan
沾沾自足,zhan'zhan'zi'zu
战争贩子,zhan'zheng'fan'zi
展转反侧,zhan'zhuan'fan'ce
辗转反侧,zhan'zhuan'fan'ce
辗转伏枕,zhan'zhuan'fu'zhen
辗转思念,zhan'zhuan'si'nian
展转推托,zhan'zhuan'tui'tuo
辗转推托,zhan'zhuan'tui'tuo
辗转相传,zhan'zhuan'xiang'chuan
丈八蛇矛,zhang'ba'she'mao
张本继末,zhang'ben'ji'mo
杖策窥园,zhang'ce'kui'yuan
