安管办,an'guan'ban
活鸡兔,huo'ji'tu
活着不,huo'zhe'bu
机尾,ji'wei
假日烤吧,jia'ri'kao'ba
佳县,jia'xian
佳县人,jia'xian'ren
检修班,jian'xiu'ban
检修工,jian'xiu'gong
胶带机,jiao'dai'ji
金刚寺,jin'gang'si
金鸡滩,jin'ji'tan
锦界,jin'jie
晋剧,jin'ju
靖边,jing'bian
靖边的,jing'bian'de
靖边了,jing'bian'le
靖边县,jing'bian'xian
井下,jing'xia
泾阳县,jing'yang'xian
经营办,jing'ying'ban
就那么个,jiu'na'me'ge
局劲,ju'jin
掘进,jue'jin
开门市,kai'men'shi
开着了,kai'zhe'le
看不哈,kan'bu'ha
看来来,kan'lai'lai
看来了,kan'lai'le
看娃娃,kan'wa'wa
康巴什,kang'ba'shi
可亲了,ke'qin'le
瞌睡的,ke'shui'de
瞌睡的我,ke'shui'de'wo
可呀,ke'ya
扣扣团,kou'kou'tuan
快对了,kuai'dui'le
快可,kuai'ke
矿领导,kuang'ling'dao
啦啦话,la'la'hua
来来么,lai'lai'me
来神木,lai'shen'mu
来榆林,lai'yu'lin
兰么,lan'me
兰炭,lan'tan
老高川,lao'gao'chuan
老榆林,lao'yu'lin
楞种子,leng'zhong'zi
立即整改,li'ji'zheng'gai
李家村,li'jia'cun
李家畔,li'jia'pan
李家塔,li'jia'ta
凉水井,liang'shui'jing
聊着了,liao'zhe'le
林校,lin'xiao
楼底,lou'di
罗夫,luo'fu
驴日的,lv'ri'de
麻地湾,ma'di'wan
麻黄梁,ma'huang'liang
马家塔,ma'jia'ta
马莲滩,ma'lian'tan
马蹄沟,ma'ti'gou
马扎梁,ma'zha'liang
买的吃,mai'de'chi
买上个,mai'shang'ge
慢性胃炎,man'xing'wei'yan
忙了不,mang'le'bu
忙甚,mang'shen
忙着不,mang'zhe'bu
忙着了,mang'zhe'le
毛蛋,mao'dan
锚杆机,mao'gan'ji
毛女,mao'nv
毛女子,mao'nv'zi
锚索,mao'suo
毛娃,mao'wa
毛乌素,mao'wu'su
么办法,me'ban'fa
么必要,me'bi'yao
么吃,me'chi
么吃饭,me'chi'fan
么电,me'dian
么电了,me'dian'le
么发现,me'fa'xian
么反应,me'fan'ying
么回来,me'hui'lai
么见,me'jian
么见过,me'jian'guo
么见你,me'jian'ni
么看见,me'kan'jian
么来了,me'lai'le
么兰,me'lan
么脸,me'lian
么良心,me'liang'xin
么拿,me'na
么事吧,me'shi'ba
么事做,me'shi'zuo
么收到,me'shou'dao
么睡,me'shui
么听见,me'ting'jian
么完,me'wan
么网,me'wang
么问,me'wen
么戏,me'xi
么想到,me'xiang'dao
么有的,me'you'de
么走,me'zou
煤尘,mei'chen
煤化,mei'hua
煤机,mei'ji
煤矿,mei'kuang
美丽会,mei'li'hui
煤泥,mei'ni
煤炭局,mei'tan'ju
镁业,mei'ye
煤质,mei'zhi
煤制油,mei'zhi'you
孟家湾,meng'jia'wan
米脂,mi'zhi
米脂县,mi'zhi'xian
庙沟,miao'gou
庙沟门,miao'gou'men
民乐园,min'le'yuan
明乐园,ming'le'yuan
那敢,na'gan
那个女女,na'ge'nv'nv
那么个,na'me'ge
那娃娃,na'wa'wa
那咋接,na'za'jie
难活,nan'huo
南门口,nan'men'kou
脑供血不足,nao'gong'xue'bu'zu
呢说,ne'shuo
能了吧,neng'le'ba
能了么,neng'le'me
能行了,neng'xing'le
你残,ni'can
你常,ni'chang
你干嘛着了,ni'gan'ma'zhe'le
你干什么着了,ni'gan'shen'me'zhe'le
你敢是,ni'gan'shi
你哈来,ni'ha'lai
你拉了,ni'la'le
你来来,ni'lai'lai
你忙着了,ni'mang'zhe'le
你哪了,ni'na'le
你日你妈,ni'ri'ni'ma
你榆林,ni'yu'lin
你咋接,ni'za'jie
你在拉了,ni'zai'la'le
你在榆林,ni'zai'yu'lin
你作甚,ni'zuo'shen
你作甚了,ni'zuo'shen'le
念着了,nian'zhe'le
柠条塔,ning'tiao'ta
牛家梁,niu'jia'liang
农家宴,nong'jia'yan
耨个,nou'ge
诺曼琦,nuo'man'qi
女女了,nv'nv'le
怕接,pa'jie
怕进,pa'jin
怕人了,pa'ren'le
怕什么了,pa'shen'me'le
怕死我了,pa'si'wo'le
牌板,pai'ban
拍看,pai'kan
片帮,pian'bang
破碎机,po'sui'ji
婆姨,po'yi
蒲城,pu'cheng
前柳塔,qian'liu'ta
前石畔,qian'shi'pan
千狮桥,qian'shi'qiao
乔沟湾,qiao'gou'wan
清涧,qing'jian
清涧县,qing'jian'xian
青龙寺,qing'long'si
青山路,qing'shan'lu
清水沟,qing'shui'gou
青阳岔,qing'yang'cha
去串,qu'chuan
区队,qu'dui
去神木,qu'shen'mu
去西安,qu'xi'an
去延安,qu'yan'an
去榆林,qu'yu'lin
全矿,quan'kuang
认不见,ren'bu'jian
人几,ren'ji
认见,ren'jian
人接,ren'jie
人民大厦,ren'min'da'sha
人人家,ren'ren'jia
容大,rong'da
入井,ru'jing
塞上风,sai'shang'feng
塞维利亚,sai'wei'li'ya
三查,san'cha
三岔湾,san'cha'wan
三道沟,san'dao'gou
三街,san'jie
三违,san'wei
三原,san'yuan
沙圪堵,sha'ge'du
陕北,shan'bei
陕北的,shan'bei'de
陕北民歌,shan'bei'min'ge
陕北人,shan'bei'ren
陕煤,shan'mei
陕西,shan'xi
陕西省,shan'xi'sheng
陕西省榆林市,shan'xi'sheng'yu'lin'shi
陕西榆林,shan'xi'yu'lin
上班着,shang'ban'zhe
上班着了,shang'ban'zhe'le
上感,shang'gan
上郡,shang'jun
上郡路,shang'jun'lu
上可,shang'ke
上课着了,shang'ke'zhe'le
上湾,shang'wan
上夜机,shang'ye'ji
上榆林,shang'yu'lin
上着了,shang'zhe'le
神东,shen'dong
身哈,shen'ha
神湖,shen'hu
神华,shen'hua
神华集团,shen'hua'ji'tuan
什么也不,shen'me'ye'bu
神木,shen'mu
神木的,shen'mu'de
神木了,shen'mu'le
神木人,shen'mu'ren
神木县,shen'mu'xian
甚时候,shen'shi'hou
神朔,shen'shuo
甚也,shen'ye
甚也不,shen'ye'bu
甚意思,shen'yi'si
身着了,shen'zhuo'le
剩哈,sheng'ha
石圪台,shi'ge'tai
石沟,shi'gou
是了吧,shi'le'ba
是了不,shi'le'bu
十特,shi'te
收假了,shou'jia'le
淑女坊,shu'nv'fang
耍着了,shua'zhe'le
水仓,shui'cang
睡个吧,shui'ge'ba
睡个哇,shui'ge'wa
睡哈了,shui'ha'le
睡觉也,shui'jiao'ye
睡可,shui'ke
睡兰,shui'lan
睡也,shui'ye
顺槽,shun'cao
顺车,shun'che
说给哈,shuo'gei'ha
说话了吧,shuo'hua'le'ba
说来来,shuo'lai'lai
说来了,shuo'lai'le
说兰,shuo'lan
说上的,shuo'shang'de
说甚,shuo'shen
说着了,shuo'zhe'le
死哈了,si'ha'le
死女子,si'nv'zi
四十里铺,si'shi'li'pu
四十铺,si'shi'pu
怂样子,song'yang'zi
苏州中学,su'zhou'zhong'xue
苏庄则,su'zhuang'ze
苏庄子,su'zhuang'zi
绥德,sui'de
绥德了,sui'de'le
绥德县,sui'de'xian
碎皮,sui'pi
岁娃娃,sui'wa'wa
孙家岔,sun'jia'cha
谈着了,tan'zhe'le
天赐湾,tian'ci'wan
天隆,tian'long
听见不,ting'jian'bu
通风队,tong'feng'dui
潼关,tong'guan
统万路,tong'wan'lu
通镇,tong'zhen
透你妈,tou'ni'ma
透他妈,tou'ta'ma
驼峰路,tuo'feng'lu
脱笑,tuo'xiao
外委,wai'wei
外爷,wai'ye
完了给你,wan'le'gei'ni
完了看,wan'le'kan
完了看吧,wan'le'kan'ba
完了联系,wan'le'lian'xi
完了聊,wan'le'liao
完了说,wan'le'shuo
完了说吧,wan'le'shuo'ba
完了在,wan'le'zai
完了再聊,wan'le'zai'liao
完了这,wan'le'zhe
玩着了,wan'zhe'le
王二妮,wang'er'ni
往哈,wang'ha
望湖路,wang'hu'lu
往回来,wang'hui'lai
王家楼,wang'jia'lou
王盘山,wang'pan'shan
渭南,wei'nan
渭南的,wei'nan'de
为甚,wei'shen
危险源,wei'xian'yuan
维修中心,wei'xiu'zhong'xin
韦庄,wei'zhuang
文投,wen'tou
我队,wo'dui
我敢是,wo'gan'shi
我给说了,wo'gei'shuo'le
我矿,wo'kuang
我忙着了,wo'mang'zhe'le
我陕西,wo'shan'xi
我睡也,wo'shui'ye
我榆林,wo'yu'lin
我咋接,wo'za'jie
我在陕西,wo'zai'shan'xi
我在榆林,wo'zai'yu'lin
吴堡县,wu'bao'xian
吴堡,wu'bu
无定河,wu'ding'he
武家庄,wu'jia'zhuang
乌兰木伦,wu'lan'mu'lun
乌审旗,wu'shen'qi
西安了,xi'an'le
西安医学院,xi'an'yi'xue'yuan
西二路,xi'er'lu
洗煤厂,xi'mei'chang
西沙,xi'sha
洗选,xi'xuan
西一路,xi'yi'lu
西庄,xi'zhuang
下着了,xia'zhe'le
咸阳的,xian'yang'de
咸阳湖,xian'yang'hu
咸阳了,xian'yang'le
小壕兔,xiao'hao'tu
小纪汗,xiao'ji'han
笑什么了,xiao'shen'me'le
小寨,xiao'zhai
小竹签,xiao'zhu'qian
新楼巷,xin'lou'xiang
新民镇,xin'min'zhen
行不上,xing'bu'shang
杏花滩,xing'hua'tan
兴茂,xing'mao
星元,xing'yuan
星元医院,xing'yuan'yi'yuan
薛家湾,xue'jia'wan
呀来了,ya'lai'le
雅泰来,ya'tai'lai
延安,yan'an
延安大学,yan'an'da'xue
延安的,yan'an'de
延安了,yan'an'le
延长石油,yan'chang'shi'you
盐池,yan'chi
延川,yan'chuan
盐沟,yan'gou
燕家塔,yan'jia'ta
阳光广场,yang'guang'guang'chang
养哈,yang'ha
杨家沟,yang'jia'gou
杨井,yang'jing
羊老大,yang'lao'da
杨桥畔,yang'qiao'pan
羊肉面,yang'rou'mian
羊杂碎,yang'za'sui
窑洞,yao'dong
也好着了,ye'hao'zhe'le
夜机,ye'ji
也能了,ye'neng'le
也是了,ye'shi'le
夜天,ye'tian
一半次,yi'ban'ci
移变,yi'bian
义合,yi'he
伊金霍洛旗,yi'jin'huo'luo'qi
一满,yi'man
以为了,yi'wei'le
一这,yi'zhe
有谁了,you'shui'le
鱼河,yu'he
榆横,yu'heng
榆佳,yu'jia
榆家梁,yu'jia'liang
榆林,yu'lin
榆林的,yu'lin'de
榆林了,yu'lin'le
榆林吗,yu'lin'ma
榆林呢,yu'lin'ne
榆林人,yu'lin'ren
榆林市,yu'lin'shi
榆林学院,yu'lin'xue'yuan
榆林中学,yu'lin'zhong'xue
榆树湾,yu'shu'wan
榆天化,yu'tian'hua
榆溪桥,yu'xi'qiao
榆阳,yu'yang
榆阳区,yu'yang'qu
元驰,yuan'chi
袁家村,yuan'jia'cun
鸳鸯湖,yuan'yang'hu
运输机,yun'shu'ji
运顺,yun'shun
咋班,za'ban
咋表,za'biao
杂技,za'ji
杂家,za'jia
咋见,za'jian
咋接,za'jie
咋接了,za'jie'le
咋接呀,za'jie'ya
咋来来,za'lai'lai
咋来了,za'lai'le
咋兰,za'lan
咋两个,za'liang'ge
杂么,za'me
咋也不,za'ye'bu
在表,zai'biao
再的,zai'de
在定边,zai'ding'bian
在府谷,zai'fu'gu
在靖边,zai'jing'bian
在拉了,zai'la'le
在了不,zai'le'bu
在陕北,zai'shan'bei
在陕西,zai'shan'xi
在神木,zai'shen'mu
在绥德,zai'sui'de
在渭南,zai'wei'nan
在延安,zai'yan'an
在榆林,zai'yu'lin
灶房,zao'fang
早机,zao'ji
早了么,zao'le'me
则表,ze'biao
则就,ze'jiu
柞水,zha'shui
寨山,zhai'shan
张家峁,zhang'jia'mao
张家畔,zhang'jia'pan
找不哈,zhao'bu'ha
找不上,zhao'bu'shang
着不,zhe'bu
这不了,zhe'bu'le
着来来,zhe'lai'lai
着来了,zhe'lai'le
着了,zhe'le
着了么,zhe'le'me
镇北台,zhen'bei'tai
知道兰,zhi'dao'lan
中鸡,zhong'ji
中煤,zhong'mei
周个,zhou'ge
朱盖塔,zhu'gai'ta
住着了,zhu'zhe'le
抓家,zhua'jia
抓兰,zhua'lan
转角楼,zhuan'jiao'lou
砖井,zhuan'jing
转载机,zhuan'zai'ji
卓多姿,zhuo'duo'zi
子长,zi'chang
子洲,zi'zhou
子洲人,zi'zhou'ren
子洲县,zi'zhou'xian
综采,zong'cai
综采队,zong'cai'dui
综掘,zong'jue
走着了,zou'zhe'le
钻采,zuan'cai
做上的,zuo'shang'de
作甚得了,zuo'shen'de'le
作甚了,zuo'shen'le
做什么着了,zuo'shen'me'zhe'le
作甚着了,zuo'shen'zhe'le
坐着了,zuo'zhe'le
