阿昌族服饰,a'chang'zu'fu'shi
蝙蝠袖,bian'fu'xiu
边鼓帽,bian'gu'mao
便帽,bian'mao
弁冕,bian'mian
辫线袄,bian'xian'ao
便眼觉,bian'yan'jue
表袋,biao'dai
标志服装,biao'zhi'fu'zhuang
鹁角,bo'jiao
波浪边,bo'lang'bian
波浪裙,bo'lang'qun
波浪式时装,bo'lang'shi'shi'zhuang
钹笠冠,bo'li'guan
驳领,bo'ling
钹帽,bo'mao
僰人服式,bo'ren'fu'shi
踣样巾,bo'yang'jin
钵盂头,bo'yu'tou
补服,bu'fu
不借,bu'jie
布拉吉,bu'la'ji
布朗族服饰,bu'lang'zu'fu'shi
步摇鬓,bu'yao'bin
步摇冠,bu'yao'guan
布依族服饰,bu'yi'zu'fu'shi
补子,bu'zi
补子纹饰,bu'zi'wen'shi
不走落,bu'zou'luo
擦尔瓦,ca'er'wa
裁缝,cai'feng
藏袍,cang'pao
草服,cao'fu
草袴,cao'ku
草帽,cao'mao
岑牟,cen'mou
插袋,cha'dai
插肩袖,cha'jian'xiu
插手袋,cha'shou'dai
虿发,chai'fa
蝉鬓,chan'bin
蝉冠,chan'guan
蝉冕,chan'mian
襜裙,chan'qun
禅衣,chan'yi
长鬓,chang'bin
长冠,chang'guan
长袍,chang'pao
长衫,chang'shan
超短裙,chao'duan'qun
朝服,chao'fu
朝褂,chao'gua
朝天髻,chao'tian'ji
朝鲜族服装,chao'xian'zu'fu'zhuang
衬衫袖,chen'shan'xiu
尘香履,chen'xiang'lv
晨衣,chen'yi
成衣,cheng'yi
程子衣,cheng'zi'yi
絺冕,chi'mian
赤舄,chi'xi
愁眉,chou'mei
垂髻,chui'ji
纯阳巾,chun'yang'jin
绰子,chuo'zi
丛髻,cong'ji
翠眉,cui'mei
毳衣,cui'yi
搭包,da'bao
褡膊,da'bo
大布绷子,da'bu'beng'zi
大氅,da'chang
搭耳帽,da'er'mao
大盖帽,da'gai'mao
褡护,da'hu
大襟马褂,da'jin'ma'gua
大科,da'ke
大窠,da'ke
搭裢,da'lian
大帽子,da'mao'zi
搭面,da'mian
大盘髻,da'pan'ji
大裘,da'qiu
大手髻,da'shou'ji
大首结,da'shou'jie
大手结,da'shou'jie
达斡尔族服装,da'wo'er'zu'fu'zhuang
大袖,da'xiu
大衣,da'yi
大障日帽,da'zhang'ri'mao
黛眉,dai'mei
傣族服饰,dai'zu'fu'shi
单刀髻,dan'dao'ji
单环高髻,dan'huan'gao'ji
单丝碧罗笼裙,dan'si'bi'luo'long'qun
荡条,dang'tiao
道袍,dao'pao
倒甩领,dao'shuai'ling
稻田衣,dao'tian'yi
刀形半翻髻,dao'xing'ban'fan'ji
刀形双翻髻,dao'xing'shuang'fan'ji
道衣,dao'yi
得胜褂,de'sheng'gua
灯笼裤,deng'long'ku
灯笼袖,deng'long'xiu
低髻,di'ji
貂蝉冠,diao'chan'guan
吊带裙,diao'dai'qun
雕花皮鞋,diao'hua'pi'xie
叠影裙,die'ying'qun
顶戴,ding'dai
顶卡花,ding'ka'hua
钉撬花边,ding'qiao'hua'bian
定型裙,ding'xing'qun
顶珠,ding'zhu
顶子,ding'zi
东方衫,dong'fang'shan
东方式时装,dong'fang'shi'shi'zhuang
东坡巾,dong'po'jin
侗族服饰,dong'zu'fu'shi
斗袯,dou'bo
兜肚,dou'du
兜勒,dou'le
兜鍪,dou'mou
斗篷,dou'peng
肚绑,du'bang
犊鼻褌,du'bi'kun
肚兜,du'dou
独幅裙,du'fu'qun
独科花,du'ke'hua
杜韦娘髻,du'wei'niang'ji
短袄,duan'ao
短衫,duan'shan
端衣,duan'yi
端罩,duan'zhao
对襟马褂,dui'jin'ma'gua
堕马髻,duo'ma'ji
多纽马甲,duo'niu'ma'jia
蛾翠,e'cui
蛾黛,e'dai
额黄,e'huang
峨髻,e'ji
鄂伦春族狍皮女服,e'lun'chun'zu'pao'pi'nv'fu
蛾眉,e'mei
额帕,e'pa
额子,e'zi
耳套,er'tao
儿童虎头帽,er'tong'hu'tou'mao
耳衣,er'yi
法冠,fa'guan
法国帽,fa'guo'mao
法衣,fa'yi
翻驳领,fan'bo'ling
饭单裤,fan'dan'ku
饭单裙,fan'dan'qun
繁冠,fan'guan
樊哙冠,fan'kuai'guan
翻领,fan'ling
翻毛皮马褂,fan'mao'pi'ma'gua
反绾髻,fan'wan'ji
防弹衣,fang'dan'yi
方巾,fang'jin
方山冠,fang'shan'guan
方山巾,fang'shan'jin
仿生服装,fang'sheng'fu'zhuang
纺衣,fang'yi
飞天髻,fei'tian'ji
飞鱼服,fei'yu'fu
粉米,fen'mi
分梢眉,fen'shao'mei
风兜,feng'dou
凤冠,feng'guan
凤髻,feng'ji
风帽,feng'mao
凤头鞋,feng'tou'xie
凤尾裙,feng'wei'qun
风雪帽,feng'xue'mao
缝掖,feng'ye
逢衣,feng'yi
风衣,feng'yi
冯翼衣,feng'yi'yi
佛光袴,fo'guang'ku
佛妆,fo'zhuang
黼黻,fu'fu
拂拂娇,fu'fu'jiao
服官,fu'guan
黻冕,fu'mian
黼裘,fu'qiu
芙蓉冠子,fu'rong'guan'zi
服饰,fu'shi
服饰色彩,fu'shi'se'cai
服饰式样,fu'shi'shi'yang
服饰纹样,fu'shi'wen'yang
福田衣,fu'tian'yi
襆头,fu'tou
幞头,fu'tou
腹围,fu'wei
复舄,fu'xi
黻衣,fu'yi
黼衣,fu'yi
服制,fu'zhi
服装,fu'zhuang
服装分类,fu'zhuang'fen'lei
服装功能,fu'zhuang'gong'neng
服装功效,fu'zhuang'gong'xiao
服装号型系列,fu'zhuang'hao'xing'xi'lie
服装结构,fu'zhuang'jie'gou
服装设计,fu'zhuang'she'ji
服装装饰工艺,fu'zhuang'zhuang'shi'gong'yi
盖巾,gai'jin
盖头,gai'tou
橄榄帽,gan'lan'mao
赶上裙,gan'shang'qun
高髻,gao'ji
高领,gao'ling
羔裘,gao'qiu
高山冠,gao'shan'guan
高山族贝衣,gao'shan'zu'bei'yi
高山族服饰,gao'shan'zu'fu'shi
高屋帽,gao'wu'mao
高腰节裙,gao'yao'jie'qun
犵狫裙,ge'dong'qun
革华,ge'hua
葛巾,ge'jin
葛屦,ge'ju
蛤壳耳式皮鞋,ge'ke'er'shi'pi'xie
革履,ge'lv
公服,gong'fu
功裘,gong'qiu
弓鞋,gong'xie
工装裤,gong'zhuang'ku
工作帽,gong'zuo'mao
狗头帽,gou'tou'mao
钩针衣,gou'zhen'yi
古代服色,gu'dai'fu'se
顾姑,gu'gu
固姑,gu'gu
故姑,gu'gu
姑姑冠,gu'gu'guan
罟罟冠,gu'gu'guan
瓜皮帽,gua'pi'mao
纶巾,guan'jin
冠子,guan'zi
广告衫,guang'gao'shan
滚边,gun'bian
衮服,gun'fu
滚条,gun'tiao
衮衣,gun'yi
哈萨克族服饰,ha'sa'ke'zu'fu'shi
海魂衫,hai'hun'shan
海军领,hai'jun'ling
海军帽,hai'jun'mao
海派服装,hai'pai'fu'zhuang
韩公帕,han'gong'pa
汗襦,han'ru
汗衫,han'shan
汗搨,han'ta
汗衣,han'yi
航海式时装,hang'hai'shi'shi'zhuang
浩然巾,hao'ran'jin
貉袖,hao'xiu
鹤氅,he'chang
和服,he'fu
鹖冠,he'guan
核桃钮,he'tao'niu
荷叶边,he'ye'bian
赫哲族服饰,he'zhe'zu'fu'shi
黑三郎,hei'san'lang
黑豸,hei'zhi
红轮,hong'lun
红缨帽,hong'ying'mao
后枪袋,hou'qiang'dai
胡服,hu'fu
胡服骑射,hu'fu'qi'she
胡帽,hu'mao
护帽,hu'mao
胡桃结巾,hu'tao'jie'jin
笏头带,hu'tou'dai
虎头帽,hu'tou'mao
虎头鞋,hu'tou'xie
狐尾衣,hu'wei'yi
护胸裙,hu'xiong'qun
画帛,hua'bo
华虫,hua'chong
花钿,hua'dian
花冠,hua'guan
花黄,hua'huang
花髻,hua'ji
花结领,hua'jie'ling
桦巾,hua'jin
花翎,hua'ling
花笼裙,hua'long'qun
花面,hua'mian
花绦,hua'tao
花套袜,hua'tao'wa
华阳巾,hua'yang'jin
花衣,hua'yi
花竹帽,hua'zhu'mao
花子,hua'zi
坏衣,huai'yi
环幅,huan'fu
圜冠,huan'guan
黄马褂,huang'ma'gua
黄袍,huang'pao
黄衫,huang'shan
回鹘装,hui'hu'zhuang
惠文冠,hui'wen'guan
茴香髻,hui'xiang'ji
袆衣,hui'yi
浑裹,hun'guo
浑脱帽,hun'tuo'mao
浑脱毡帽,hun'tuo'zhan'mao
混元巾,hun'yuan'jin
祭服,ji'fu
吉服冠,ji'fu'guan
祭冠,ji'guan
击剑衫,ji'jian'shan
基诺族服饰,ji'nuo'zu'fu'shi
缉塔克,ji'ta'ke
缉细裥,ji'xi'jian
鸡心边,ji'xin'bian
机恤,ji'xu
济逊,ji'xun
芰制,ji'zhi
缉止口,ji'zhi'kou
假纷,jia'fen
贾哈,jia'ha
假髻,jia'ji
茄克衫,jia'ke'shan
夹克衫,jia'ke'shan
袈裟,jia'sha
夹衣,jia'yi
甲胄,jia'zhou
间隔裥裙,jian'ge'jian'qun
建华冠,jian'hua'guan
菅屦,jian'ju
健康袜,jian'kang'wa
健身鞋,jian'shen'xie
箭袖,jian'xiu
箭衣,jian'yi
简易西装,jian'yi'xi'zhuang
角冠,jiao'guan
角巾,jiao'jin
交领,jiao'ling
胶木钮扣,jiao'mu'niu'kou
蕉衣,jiao'yi
解散帻,jie'san'ze
结衣,jie'yi
介帻,jie'ze
介胄,jie'zhou
金貂,jin'diao
金甲,jin'jia
紧身褡,jin'shen'da
紧身棉袄,jin'shen'mian'ao
紧身衣,jin'shen'yi
金锁甲,jin'suo'jia
金舄,jin'xi
进贤冠,jin'xian'guan
锦靿,jin'yao
惊鹄髻,jing'hu'ji
景颇族服饰,jing'po'zu'fu'shi
京族服饰,jing'zu'fu'shi
絅衣,jiong'yi
救生衣,jiu'sheng'yi
九章纹,jiu'zhang'wen
具服,ju'fu
鞠衣,ju'yi
卷荷帽,juan'he'mao
卷衣,juan'yi
卷云冠,juan'yun'guan
爵弁,jue'bian
军便服,jun'bian'fu
军容头,jun'rong'tou
袀袨,jun'xuan
袀玄,jun'xuan
卡曲,ka'qu
铠甲,kai'jia
开襟裙,kai'jin'qun
开浦帽,kai'pu'mao
开衫,kai'shan
开贴袋,kai'tie'dai
坎肩,kan'jian
拷钮裙,kao'niu'qun
柯尔克孜族服饰,ke'er'ke'zi'zu'fu'shi
可脱卸棉袄,ke'tuo'xie'mian'ao
空顶帻,kong'ding'ze
孔雀翎,kong'que'ling
扣子衫,kou'zi'shan
裤套,ku'tao
袴褶,ku'zhe
纩紘,kuang'hong
盔甲,kui'jia
髡发,kun'fa
喇叭裤,la'ba'ku
喇叭裙,la'ba'qun
喇叭袖,la'ba'xiu
拉祜族服饰,la'hu'zu'fu'shi
拉链衫,la'lian'shan
蜡烛包,la'zhu'bao
蓝翎,lan'ling
蓝衫,lan'shan
褴衫,lan'shan
襕衫,lan'shan
懒收网,lan'shou'wang
劳动防护服装,lao'dong'fang'hu'fu'zhuang
络头,lao'tou
乐天巾,le'tian'jin
雷巾,lei'jin
泪妆,lei'zhuang
立笔,li'bi
离尘服,li'chen'fu
礼服,li'fu
立领,li'ling
礼帽,li'mao
利屣,li'xi
礼仪服装,li'yi'fu'zhuang
黎族服饰,li'zu'fu'shi
连驳领,lian'bo'ling
莲花冠,lian'hua'guan
练甲,lian'jia
莲蓬衣,lian'peng'yi
连衫裤,lian'shan'ku
连衫裙,lian'shan'qun
连袜裤,lian'wa'ku
连袖,lian'xiu
莲叶帽,lian'ye'mao
连衣裤,lian'yi'ku
连衣裙,lian'yi'qun
两博鬓,liang'bo'bin
两当,liang'dang
两髦,liang'mao
凉帽,liang'mao
凉衫,liang'shan
两用衫,liang'yong'shan
列宁装,lie'ning'zhuang
猎装,lie'zhuang
林宗巾,lin'zong'jin
领带,ling'dai
领带夹,ling'dai'jia
翎根铠,ling'gen'kai
领结,ling'jie
领巾,ling'jin
领圈,ling'quan
灵蛇髻,ling'she'ji
领套,ling'tao
翎子,ling'zi
六缝靴,liu'feng'xue
六服,liu'fu
六冕,liu'mian
刘氏冠,liu'shi'guan
流苏髻,liu'su'ji
柳叶眉,liu'ye'mei
龙火衣,long'huo'yi
笼巾,long'jin
龙卷,long'juan
龙鳞,long'lin
龙袍,long'pao
笼裙,long'qun
笼衫,long'shan
龙章,long'zhang
鲁风鞋,lu'feng'xie
六合靴,lu'he'xue
六合一统帽,lu'he'yi'tong'mao
芦花靴,lu'hua'xue
鹿巾,lu'jin
鹿皮冠,lu'pi'guan
鹿皮巾,lu'pi'jin
珞巴族服饰,luo'ba'zu'fu'shi
络鞮,luo'di
螺髻,luo'ji
罗胜,luo'sheng
罗宋帽,luo'song'mao
履袍,lv'pao
旅游服装,lv'you'fu'zhuang
绿帻,lv'ze
马褂,ma'gua
马甲,ma'jia
马甲裙,ma'jia'qun
马甲袖,ma'jia'xiu
马裤,ma'ku
马帽,ma'mao
麻冕,ma'mian
马面裙,ma'mian'qun
马蹄袖,ma'ti'xiu
马尾裙,ma'wei'qun
麻鞋,ma'xie
麻衣,ma'yi
缦衫,man'shan
缦衣,man'yi
缦缘,man'yuan
满族妇女服饰,man'zu'fu'nv'fu'shi
满族服饰,man'zu'fu'shi
蟒袍,mang'pao
蟒衣,mang'yi
毛连,mao'lian
毛难族服饰,mao'nan'zu'fu'shi
猫头鞋,mao'tou'xie
冒絮,mao'xu
茅靴,mao'xue
梅花妆,mei'hua'zhuang
媚子,mei'zi
门巴族服饰,men'ba'zu'fu'shi
蒙古袍,meng'gu'pao
蒙古族服饰,meng'gu'zu'fu'shi
蒙古族摔跤服,meng'gu'zu'shuai'jiao'fu
蒙靴,meng'xue
麛裘,mi'qiu
米纹,mi'wen
冕服,mian'fu
冕旒,mian'liu
面纱,mian'sha
面衣,mian'yi
苗族服饰,miao'zu'fu'shi
苗族花带,miao'zu'hua'dai
苗族细褶裙,miao'zu'xi'zhe'qun
民丰出土东汉菱纹阳字锦袜,min'feng'chu'tu'dong'han'ling'wen'yang'zi'jin'wa
民丰出土延年益寿大宜子孙锦袜,min'feng'chu'tu'yan'nian'yi'shou'da'yi'zi'sun'jin'wa
民族服装,min'zu'fu'zhuang
命服,ming'fu
明光铠,ming'guang'kai
抹额,mo'e
帞头,mo'tou
抹胸,mo'xiong
抹胸肚,mo'xiong'du
牟追,mou'zhui
牡丹头,mu'dan'tou
木耳边,mu'er'bian
木屐,mu'ji
仫佬族服饰,mu'lao'zu'fu'shi
氁衫,mu'shan
纳西族服饰,na'xi'zu'fu'shi
衲衣,na'yi
南宋漆纱幞头,nan'song'qi'sha'fu'tou
闹扫妆髻,nao'sao'zhuang'ji
能通话安全帽,neng'tong'hua'an'quan'mao
麑裘,ni'qiu
钮袢条装饰,niu'pan'tiao'zhuang'shi
牛皮直缝靴,niu'pi'zhi'feng'xue
牛舌头,niu'she'tou
牛仔裤,niu'zai'ku
怒族服饰,nu'zu'fu'shi
暖耳,nuan'er
煖耳,nuan'er
暖帽,nuan'mao
暖靴,nuan'xue
藕覆,ou'fu
藕丝衫,ou'si'shan
帕头,pa'tou
派对服装,pai'dui'fu'zhuang
盘福龙,pan'fu'long
盘恒髻,pan'heng'ji
盘花,pan'hua
盘花钮,pan'hua'niu
盘领衣,pan'ling'yi
抛家髻,pao'jia'ji
跑凌鞋,pao'ling'xie
狍头皮帽,pao'tou'pi'mao
帔肩,pei'jian
配套服装,pei'tao'fu'zhuang
皮袄,pi'ao
皮弁,pi'bian
皮弁服,pi'bian'fu
披帛,pi'bo
披风,pi'feng
皮冠,pi'guan
披红,pi'hong
皮甲,pi'jia
披肩领,pi'jian'ling
披领,pi'ling
毗卢帽,pi'lu'mao
毗卢帽子,pi'lu'mao'zi
毗罗帽,pi'luo'mao
琵琶襟马褂,pi'pa'jin'ma'gua
皮衣出锋,pi'yi'chu'feng
偏顶,pian'ding
偏衫,pian'shan
偏衣,pian'yi
飘带领,piao'dai'ling
飘飘巾,piao'piao'jin
品服,pin'fu
品色衣,pin'se'yi
平驳领,ping'bo'ling
瓶裆衬裤,ping'dang'chen'ku
平顶冠,ping'ding'guan
平脚裤,ping'jiao'ku
軿罗衣,ping'luo'yi
平冕,ping'mian
平上帻,ping'shang'ze
平天冠,ping'tian'guan
婆焦,po'jiao
蒲履,pu'lv
普米族服饰,pu'mi'zu'fu'shi
蒲桃髻,pu'tao'ji
齐裆,qi'dang
綦会,qi'hui
跂蹻,qi'jiao
麒麟袍,qi'lin'pao
旗袍,qi'pao
旗袍裙,qi'pao'qun
旗袍裙衫,qi'pao'qun'shan
漆纱笼冠,qi'sha'long'guan
岐头履,qi'tou'lv
帢帽,qia'mao
钱包,qian'bao
嵌花边,qian'hua'bian
前刘海,qian'liu'hai
茜裙,qian'qun
蒨裙,qian'qun
茜衫,qian'shan
潜水衣,qian'shui'yi
嵌线,qian'xian
抢驳领,qiang'bo'ling
抢驳头,qiang'bo'tou
羌族彩花腰带,qiang'zu'cai'hua'yao'dai
羌族服饰,qiang'zu'fu'shi
巧士冠,qiao'shi'guan
帩头,qiao'tou
幧头,qiao'tou
樵头,qiao'tou
秦代铠甲,qin'dai'kai'jia
轻便装,qing'bian'zhuang
清代朝裙,qing'dai'chao'qun
清代皇后朝冠,qing'dai'huang'hou'chao'guan
清代胄甲,qing'dai'zhou'jia
青果领,qing'guo'ling
庆忌冠,qing'ji'guan
青金,qing'jin
青年式皮鞋,qing'nian'shi'pi'xie
青霜,qing'shuang
青铜甲,qing'tong'jia
青紫,qing'zi
穷袴,qiong'ku
囚髻,qiu'ji
曲领,qu'ling
雀弁,que'bian
阙狄,que'di
却敌冠,que'di'guan
雀顶,que'ding
却非冠,que'fei'guan
鹊尾冠,que'wei'guan
却月眉,que'yue'mei
裙裤,qun'ku
帬帔,qun'pei
裙掌,qun'zhang
染服,ran'fu
人民装,ren'min'zhuang
日光裤,ri'guang'ku
戎服,rong'fu
绒球,rong'qiu
绒线编结开衫门襟边结法,rong'xian'bian'jie'kai'shan'men'jin'bian'jie'fa
绒线编结裤裆结法,rong'xian'bian'jie'ku'dang'jie'fa
绒线编结纽空结法,rong'xian'bian'jie'niu'kong'jie'fa
绒线编结配色花,rong'xian'bian'jie'pei'se'hua
绒线编结衫鸡心领结法,rong'xian'bian'jie'shan'ji'xin'ling'jie'fa
绒线编结衫袖管结法,rong'xian'bian'jie'shan'xiu'guan'jie'fa
绒线编结衫圆领收针法,rong'xian'bian'jie'shan'yuan'ling'shou'zhen'fa
绒线编织物,rong'xian'bian'zhi'wu
戎装,rong'zhuang
儒巾,ru'jin
乳罩,ru'zhao
软裹,ruan'guo
软木帽,ruan'mu'mao
靸鞋,sa'xie
三服官,san'fu'guan
三骨裤,san'gu'ku
三鬟髻,san'huan'ji
三髻丫,san'ji'ya
三加,san'jia
三角边,san'jiao'bian
三角髻,san'jiao'ji
三节裙,san'jie'qun
三翟,san'zhai
三髽,san'zhua
缫缟,sao'gao
僧服,seng'fu
僧伽黎,seng'ga'li
纱帽,sha'mao
沙滩装,sha'tan'zhuang
山龙,shan'long
山冕,shan'mian
山水纳,shan'shui'na
商代发式,shang'dai'fa'shi
少彩,shao'cai
畲族服饰,she'zu'fu'shi
深衣,shen'yi
绳菲,sheng'fei
石黛,shi'dai
十二章纹,shi'er'zhang'wen
十二章纹色彩,shi'er'zhang'wen'se'cai
石榴裙,shi'liu'qun
时世妆,shi'shi'zhuang
饰装,shi'zhuang
饰妆,shi'zhuang
时装,shi'zhuang
十字髻,shi'zi'ji
手臂袋,shou'bi'dai
手绘,shou'hui
手绘服装,shou'hui'fu'zhuang
手巾袋,shou'jin'dai
首铠,shou'kai
手笼,shou'long
手套,shou'tao
手筒,shou'tong
兽头,shou'tou
收音机帽,shou'yin'ji'mao
收皱裥,shou'zhou'jian
竖领,shu'ling
术士冠,shu'shi'guan
梳头衣,shu'tou'yi
衰经,shuai'jing
双垂环髻,shuang'chui'huan'ji
双垂髻,shuang'chui'ji
双裆衬裤,shuang'dang'chen'ku
双刀髻,shuang'dao'ji
双环高髻,shuang'huan'gao'ji
双环望仙髻,shuang'huan'wang'xian'ji
双髻丫,shuang'ji'ya
双角髻,shuang'jiao'ji
双蟠髻,shuang'pan'ji
双童髻,shuang'tong'ji
双丫髻,shuang'ya'ji
水兵领,shui'bing'ling
水兵帽,shui'bing'mao
睡袋,shui'dai
睡袍,shui'pao
水手领,shui'shou'ling
水田衣,shui'tian'yi
睡衣,shui'yi
水族服饰,shui'zu'fu'shi
四边净,si'bian'jing
四方平定巾,si'fang'ping'ding'jin
四脚,si'jiao
四角方巾,si'jiao'fang'jin
四眼式皮鞋,si'yan'shi'pi'xie
四周巾,si'zhou'jin
宋代品官时服,song'dai'pin'guan'shi'fu
苏公笠,su'gong'li
苏广成衣,su'guang'cheng'yi
素纱禅衣,su'sha'chan'yi
素头式皮鞋,su'tou'shi'pi'xie
碎妆,sui'zhuang
绥组之裴,sui'zu'zhi'pei
锁边,suo'bian
琐伏,suo'fu
锁甲,suo'jia
锁子甲,suo'zi'jia
蹋鸱,ta'chi
塔吉克族服装,ta'ji'ke'zu'fu'zhuang
獭皮冠,ta'pi'guan
塔式裙,ta'shi'qun
塔塔尔族服饰,ta'ta'er'zu'fu'shi
太清氅,tai'qing'chang
太阳裤,tai'yang'ku
太阳能帽,tai'yang'neng'mao
弹力衫,tan'li'shan
昙笼,tan'long
弹墨裙,tan'mo'qun
襢衣,tan'yi
唐巾,tang'jin
唐文官袍袄服,tang'wen'guan'pao'ao'fu
唐装,tang'zhuang
桃花面,tao'hua'mian
套肩袖,tao'jian'xiu
套裤,tao'ku
套裤袖,tao'ku'xiu
套衫,tao'shan
套式皮鞋,tao'shi'pi'xie
套装,tao'zhuang
特种服装,te'zhong'fu'zhuang
藤衣,teng'yi
啼妆,ti'zhuang
田鸡裤,tian'ji'ku
挑心髻,tiao'xin'ji
贴袋,tie'dai
铁冠,tie'guan
贴花袋,tie'hua'dai
铁甲,tie'jia
铁衣,tie'yi
铁柱,tie'zhu
筒裤,tong'ku
筒帽,tong'mao
筒帕,tong'pa
铜盆领,tong'pen'ling
铜盆帽,tong'pen'mao
通裙,tong'qun
桶裙,tong'qun
筒裙,tong'qun
统裙,tong'qun
通天冠,tong'tian'guan
通心锦,tong'xin'jin
筒袖铠,tong'xiu'kai
铜胄,tong'zhou
童装,tong'zhuang
童子帻,tong'zi'ze
头盖,tou'gai
头盔,tou'kui
头鍪,tou'mou
土家族服装,tu'jia'zu'fu'zhuang
吐麻克,tu'ma'ke
突骑帽,tu'qi'mao
土族服饰,tu'zu'fu'shi
团冠,tuan'guan
团衫,tuan'shan
褖衣,tuan'yi
腿绷,tui'beng
挖袋,wa'dai
袜肚,wa'du
瓦楞帽,wa'leng'mao
袜子,wa'zi
晚会服装,wan'hui'fu'zhuang
弯月眉,wan'yue'mei
王冠,wang'guan
网巾,wang'jin
围瀺,wei'chan
危冠,wei'guan
围巾,wei'jin
围巾领,wei'jin'ling
委貌,wei'mao
帷帽,wei'mao
帷裳,wei'shang
维吾尔族方帽,wei'wu'er'zu'fang'mao
维吾尔族服饰,wei'wu'er'zu'fu'shi
文公帕,wen'gong'pa
文化衫,wen'hua'shan
温帽,wen'mao
倭堕髻,wo'duo'ji
武弁,wu'bian
午达,wu'da
五毒帽,wu'du'mao
五服,wu'fu
吴服,wu'fu
无垢衣,wu'gou'yi
武冠,wu'guan
乌角巾,wu'jiao'jin
乌巾,wu'jin
乌克兰衫,wu'ke'lan'shan
五梁,wu'liang
乌蛮髻,wu'man'ji
乌帽,wu'mao
五冕,wu'mian
乌纱帽,wu'sha'mao
五时衣,wu'shi'yi
舞台时装,wu'tai'shi'zhuang
无畏衣,wu'wei'yi
五香豆式皮鞋,wu'xiang'dou'shi'pi'xie
无颜帢,wu'yan'qia
乌毡帽,wu'zhan'mao
五章,wu'zhang
毋追,wu'zhui
乌孜别克族服饰,wu'zi'bie'ke'zu'fu'shi
锡伯族服饰,xi'bo'zu'fu'shi
西服,xi'fu
西汉铁甲,xi'han'tie'jia
犀甲,xi'jia
膝裤,xi'ku
席帽,xi'mao
西式服装,xi'shi'fu'zhuang
西装,xi'zhuang
下摆,xia'bai
霞冠,xia'guan
霞帔,xia'pei
夏威夷衫,xia'wei'yi'shan
仙桃巾,xian'tao'jin
线鞋,xian'xie
香槟式皮鞋,xiang'bin'shi'pi'xie
象邸,xiang'di
象服,xiang'fu
香港衫,xiang'gang'shan
镶色,xiang'se
小冠,xiao'guan
小帽,xiao'mao
小盘髻,xiao'pan'ji
消瘦服,xiao'shou'fu
绡头,xiao'tou
晓霞妆,xiao'xia'zhuang
笑靥,xiao'ye
谢公屐,xie'gong'ji
斜红,xie'hong
蟹钳领,xie'qian'ling
斜裙,xie'qun
血晕妆,xie'yun'zhuang
獬豸冠,xie'zhi'guan
獬豸纹,xie'zhi'wen
撷子髻,xie'zi'ji
缬子髻,xie'zi'ji
