暗煤,an'mei
磁力脱水槽,ci'li'tuo'shui'cao
次梁,ci'liang
磁铁矿粉,ci'tie'kuang'fen
磁性物,ci'xing'wu
磁性物含量测量仪,ci'xing'wu'han'liang'ce'liang'yi
磁选,ci'xuan
磁选机,ci'xuan'ji
磁选设备,ci'xuan'she'bei
从动辊,cong'dong'gun
促进剂,cu'jin'ji
粗精煤,cu'jing'mei
粗精煤脱水筛,cu'jing'mei'tuo'shui'shai
粗煤泥,cu'mei'ni
粗磨,cu'mo
粗碎,cu'sui
粗选,cu'xuan
脆度,cui'du
大地工程开发有限公司,da'di'gong'cheng'kai'fa'you'xian'gong'si
大地文,da'di'wen
大放脚,da'fang'jiao
打滑保护,da'hua'bao'hu
大块煤破碎资料,da'kuai'mei'po'sui'zi'liao
大筛分,da'shai'fen
大修,da'xiu
带式输送机,dai'shi'shu'song'ji
单槽,dan'cao
单车推动微机轨道衡,dan'che'tui'dong'wei'ji'gui'dao'heng
单齿辊破碎机,dan'chi'gun'po'sui'ji
单点装车,dan'dian'zhuang'che
单独基础,dan'du'ji'chu
单段泵供料,dan'duan'beng'gong'liao
单盖板,dan'gai'ban
单盖板阀,dan'gai'ban'fa
单轨,dan'gui
单辊,dan'gun
单滚筒磁选机,dan'gun'tong'ci'xuan'ji
单级单吸离心泵,dan'ji'dan'xi'li'xin'beng
单面卸料,dan'mian'xie'liao
单面卸料式,dan'mian'xie'liao'shi
单台面,dan'tai'mian
单台面微机动态轨道衡,dan'tai'mian'wei'ji'dong'tai'gui'dao'heng
单位负荷定额,dan'wei'fu'he'ding'e
单线装车,dan'xian'zhuang'che
单悬臂回转堆料机,dan'xuan'bi'hui'zhuan'dui'liao'ji
单元浮沉试验,dan'yuan'fu'chen'shi'yan
单轴振动筛,dan'zhou'zhen'dong'shai
挡轮,dang'lun
挡水坝,dang'shui'ba
导槽,dao'cao
倒立型,dao'li'xing
导料,dao'liao
导料槽,dao'liao'cao
导流板,dao'liu'ban
刀刃式,dao'ren'shi
导向辊,dao'xiang'gun
等厚,deng'hou
等厚筛,deng'hou'shai
等降比,deng'jiang'bi
等压强,deng'ya'qiang
地磅房,di'bang'fang
地沟,di'gou
低灰,di'hui
低挥发分,di'hui'fa'fen
低灰分煤,di'hui'fen'mei
低灰煤,di'hui'mei
地理图,di'li'tu
低硫,di'liu
底流泵,di'liu'beng
底流槽,di'liu'cao
低硫分煤,di'liu'fen'mei
低硫精煤,di'liu'jing'mei
底流口,di'liu'kou
低硫煤,di'liu'mei
低密度级,di'mi'du'ji
地面运输,di'mian'yun'shu
低热值煤,di're'zhi'mei
地上式,di'shang'shi
低式,di'shi
低式头架,di'shi'tou'jia
低速恒速机车,di'su'heng'su'ji'che
地下式受煤坑,di'xia'shi'shou'mei'keng
地下贮煤仓,di'xia'zhu'mei'cang
地形图,di'xing'tu
地质勘查资料,di'zhi'kan'cha'zi'liao
低中灰煤,di'zhong'hui'mei
低中硫煤,di'zhong'liu'mei
电磁胶带滚筒,dian'ci'jiao'dai'gun'tong
电磁吸铁器,dian'ci'xi'tie'qi
电磁振动,dian'ci'zhen'dong
电磁振动给料机,dian'ci'zhen'dong'gei'liao'ji
电动单梁起重机,dian'dong'dan'liang'qi'zhong'ji
电动蝶形阀,dian'dong'die'xing'fa
电动滚筒,dian'dong'gun'tong
电动葫芦,dian'dong'hu'lu
电动小车,dian'dong'xiao'che
电动小车式,dian'dong'xiao'che'shi
电动闸门,dian'dong'zha'men
电机综合保护器,dian'ji'zong'he'bao'hu'qi
电控气动,dian'kong'qi'dong
电控气动单盖板风阀,dian'kong'qi'dong'dan'gai'ban'feng'fa
电力专业,dian'li'zhuan'ye
电量变换器,dian'liang'bian'huan'qi
电流变换器,dian'liu'bian'huan'qi
电流监测装置,dian'liu'jian'ce'zhuang'zhi
电煤,dian'mei
电气施工图,dian'qi'shi'gong'tu
电气式金属检出机,dian'qi'shi'jin'shu'jian'chu'ji
电气专业,dian'qi'zhuan'ye
电热板,dian're'ban
电容液位计,dian'rong'ye'wei'ji
电选,dian'xuan
电讯专业,dian'xun'zhuan'ye
电子轨道衡,dian'zi'gui'dao'heng
调车机车,diao'che'ji'che
调车绞车,diao'che'jiao'che
吊挂装置,diao'gua'zhuang'zhi
跌落试验法,die'luo'shi'yan'fa
蝶形阀,die'xing'fa
碟形弹簧,die'xing'tan'huang
顶紧,ding'jin
顶紧滤板,ding'jin'lv'ban
定量称量,ding'liang'cheng'liang
定量漏斗,ding'liang'lou'dou
定量装车,ding'liang'zhuang'che
定硫仪,ding'liu'yi
定筛跳汰机,ding'shai'tiao'tai'ji
定压,ding'ya
定压给料几何高,ding'ya'gei'liao'ji'he'gao
定压漏斗,ding'ya'lou'dou
定压箱,ding'ya'xiang
定因,ding'yin
定因模型,ding'yin'mo'xing
动颚,dong'e
冻结调节剂,dong'jie'tiao'jie'ji
动力煤,dong'li'mei
动力煤选煤厂,dong'li'mei'xuan'mei'chang
动筛,dong'shai
动筛车间,dong'shai'che'jian
动筛跳汰车间,dong'shai'tiao'tai'che'jian
动筛跳汰机,dong'shai'tiao'tai'ji
动态轨道衡,dong'tai'gui'dao'heng
动锥,dong'zhui
斗链,dou'lian
斗轮,dou'lun
斗轮半门式,dou'lun'ban'men'shi
斗轮半门式圆形料场堆取料机,dou'lun'ban'men'shi'yuan'xing'liao'chang'dui'qu'liao'ji
斗轮堆取料机,dou'lun'dui'qu'liao'ji
斗轮取料机,dou'lun'qu'liao'ji
斗式,dou'shi
斗式提升机,dou'shi'ti'sheng'ji
斗式卸车机,dou'shi'xie'che'ji
斗式卸煤机,dou'shi'xie'mei'ji
斗提机,dou'ti'ji
斗子,dou'zi
斗子捞坑,dou'zi'lao'keng
斗子提升机,dou'zi'ti'sheng'ji
堵料,du'liao
堵料保护,du'liao'bao'hu
堵塞开关,du'se'kai'guan
断面系数,duan'mian'xi'shu
短锥,duan'zhui
堆料,dui'liao
堆料机,dui'liao'ji
堆料开关,dui'liao'kai'guan
堆煤,dui'mei
堆煤保护,dui'mei'bao'hu
堆取,dui'qu
堆取料机,dui'qu'liao'ji
堆取设备,dui'qu'she'bei
吨煤,dun'mei
吨煤电耗,dun'mei'dian'hao
吨煤电耗量,dun'mei'dian'hao'liang
吨煤介耗,dun'mei'jie'hao
吨煤介耗量,dun'mei'jie'hao'liang
吨煤水耗,dun'mei'shui'hao
吨煤水耗量,dun'mei'shui'hao'liang
多点跨线装车,duo'dian'kua'xian'zhuang'che
多点装车,duo'dian'zhuang'che
多段破碎车间,duo'duan'po'sui'che'jian
颚板,e'ban
颚式,e'shi
颚式破碎机,e'shi'po'sui'ji
颚式闸门,e'shi'zha'men
二段磁选,er'duan'ci'xuan
二分器,er'fen'qi
发热量测量仪,fa're'liang'ce'liang'yi
筏式基础,fa'shi'ji'chu
发展远景,fa'zhan'yuan'jing
翻板,fan'ban
翻车机,fan'che'ji
翻车机房,fan'che'ji'fang
反击板,fan'ji'ban
反击式破碎机,fan'ji'shi'po'sui'ji
返煤,fan'mei
返煤漏斗,fan'mei'lou'dou
方案设计,fang'an'she'ji
方仓,fang'cang
防尘链,fang'chen'lian
防尘链斗式卸车机,fang'chen'lian'dou'shi'xie'che'ji
防冻剂,fang'dong'ji
防寒型,fang'han'xing
方孔,fang'kong
放矿,fang'kuang
方框流程图,fang'kuang'liu'cheng'tu
放料,fang'liao
放料口,fang'liao'kou
放料速度,fang'liao'su'du
放料系数,fang'liao'xi'shu
放料闸门,fang'liao'zha'men
防爬轨,fang'pa'gui
放射性选,fang'she'xing'xuan
防碎,fang'sui
芳香核,fang'xiang'he
非标件,fei'biao'jian
非标件安装图,fei'biao'jian'an'zhuang'tu
非磁性物,fei'ci'xing'wu
肥精煤,fei'jing'mei
肥煤,fei'mei
废水浓缩机,fei'shui'nong'suo'ji
沸腾床层干燥机,fei'teng'chuang'ceng'gan'zao'ji
沸腾煤,fei'teng'mei
分布释放,fen'bu'shi'fang
分布释放浮选试验,fen'bu'shi'fang'fu'xuan'shi'yan
分采,fen'cai
分叉溜槽,fen'cha'liu'cao
分岔溜槽,fen'cha'liu'cao
分级,fen'ji
分级磁选,fen'ji'ci'xuan
分级粒度,fen'ji'li'du
分级破碎,fen'ji'po'sui
分级破碎机,fen'ji'po'sui'ji
分级入洗,fen'ji'ru'xi
分级入选分级入洗,fen'ji'ru'xuan'fen'ji'ru'xi
分级筛,fen'ji'shai
分级脱水,fen'ji'tuo'shui
分级旋流器,fen'ji'xuan'liu'qi
分界灰分,fen'jie'hui'fen
分解窑,fen'jie'yao
分离辊,fen'li'gun
分离托辊,fen'li'tuo'gun
分离因数,fen'li'yin'shu
分流控制箱,fen'liu'kong'zhi'xiang
分流量,fen'liu'liang
分流箱,fen'liu'xiang
分配盘,fen'pei'pan
分配器,fen'pei'qi
分配曲线法,fen'pei'qu'xian'fa
分配头,fen'pei'tou
分配箱,fen'pei'xiang
粉碎机,fen'sui'ji
分选,fen'xuan
分选槽,fen'xuan'cao
分选机,fen'xuan'ji
分选加工,fen'xuan'jia'gong
分选介质,fen'xuan'jie'zhi
分选密度,fen'xuan'mi'du
分选上限,fen'xuan'shang'xian
分选设备,fen'xuan'she'bei
分选下限,fen'xuan'xia'xian
分选效果,fen'xuan'xiao'guo
分选效率,fen'xuan'xiao'lv
分选作业,fen'xuan'zuo'ye
分运,fen'yun
分展辊,fen'zhan'gun
分组入洗,fen'zu'ru'xi
风包,feng'bao
封闭式,feng'bi'shi
封闭式圆盘给料机,feng'bi'shi'yuan'pan'gei'liao'ji
封闭型,feng'bi'xing
风机,feng'ji
风力分选机,feng'li'fen'xuan'ji
风力跳汰机,feng'li'tiao'tai'ji
风力选矸机,feng'li'xuan'gan'ji
风炮,feng'pao
风炮清仓,feng'pao'qing'cang
风炮清仓法,feng'pao'qing'cang'fa
风选机,feng'xuan'ji
复摆型,fu'bai'xing
浮标传感器,fu'biao'chuan'gan'qi
浮沉试验,fu'chen'shi'yan
浮沉资料,fu'chen'zi'liao
浮沉组成,fu'chen'zu'cheng
赋存特性,fu'cun'te'xing
副井,fu'jing
浮煤,fu'mei
浮煤样,fu'mei'yang
腐泥,fu'ni
腐泥层,fu'ni'ceng
腐泥基质,fu'ni'ji'zhi
腐泥煤,fu'ni'mei
浮物,fu'wu
浮物累计,fu'wu'lei'ji
浮物累计产率,fu'wu'lei'ji'chan'lv
服务年限,fu'wu'nian'xian
浮物曲线,fu'wu'qu'xian
浮选槽,fu'xuan'cao
浮选车间,fu'xuan'che'jian
浮选床,fu'xuan'chuang
浮选法,fu'xuan'fa
浮选工艺,fu'xuan'gong'yi
浮选活性,fu'xuan'huo'xing
浮选机,fu'xuan'ji
浮选精矿池,fu'xuan'jing'kuang'chi
浮选精煤,fu'xuan'jing'mei
浮选入料,fu'xuan'ru'liao
浮选入料泵,fu'xuan'ru'liao'beng
浮选入料池,fu'xuan'ru'liao'chi
浮选入料缓冲池,fu'xuan'ru'liao'huan'chong'chi
浮选试验,fu'xuan'shi'yan
浮选尾矿,fu'xuan'wei'kuang
浮选尾煤,fu'xuan'wei'mei
浮选药剂,fu'xuan'yao'ji
浮选药剂库,fu'xuan'yao'ji'ku
浮选柱,fu'xuan'zhu
浮选作业,fu'xuan'zuo'ye
浮游选煤,fu'you'xuan'mei
复振,fu'zhen
腐植煤,fu'zhi'mei
辅助建筑物,fu'zhu'jian'zhu'wu
辅助设备,fu'zhu'she'bei
辅助设施,fu'zhu'she'shi
概率分级筛,gai'lv'fen'ji'shai
概率筛,gai'lv'shai
概算书,gai'suan'shu
概算专业,gai'suan'zhuan'ye
改向托辊,gai'xiang'tuo'gun
干法分选机,gan'fa'fen'xuan'ji
干法筛分,gan'fa'shai'fen
干基,gan'ji
干扰沉降速度,gan'rao'chen'jiang'su'du
干扰床,gan'rao'chuang
干扰床分选机,gan'rao'chuang'fen'xuan'ji
矸石仓,gan'shi'cang
矸石段,gan'shi'duan
矸石粉,gan'shi'fen
矸石分级筛,gan'shi'fen'ji'shai
矸石高频筛,gan'shi'gao'pin'shai
矸石灰分,gan'shi'hui'fen
矸石溜槽,gan'shi'liu'cao
矸石泥化性试验资料,gan'shi'ni'hua'xing'shi'yan'zi'liao
矸石破碎机,gan'shi'po'sui'ji
矸石筛,gan'shi'shai
矸石室,gan'shi'shi
矸石脱介筛,gan'shi'tuo'jie'shai
矸石脱介脱水筛,gan'shi'tuo'jie'tuo'shui'shai
矸石脱水筛,gan'shi'tuo'shui'shai
矸石脱水脱介筛,gan'shi'tuo'shui'tuo'jie'shai
矸石稀介桶,gan'shi'xi'jie'tong
矸石线,gan'shi'xian
矸石岩性,gan'shi'yan'xing
干物料,gan'wu'liao
干选,gan'xuan
干选厂,gan'xuan'chang
干选法,gan'xuan'fa
干燥车间,gan'zao'che'jian
干燥管,gan'zao'guan
干燥基,gan'zao'ji
干燥室,gan'zao'shi
干燥无灰基,gan'zao'wu'hui'ji
干燥无灰基态,gan'zao'wu'hui'ji'tai
干燥物料,gan'zao'wu'liao
干燥系统,gan'zao'xi'tong
干燥压滤机,gan'zao'ya'lv'ji
杠杆式轨道衡,gang'gan'shi'gui'dao'heng
高处理能力,gao'chu'li'neng'li
高灰,gao'hui
高挥发分,gao'hui'fa'fen
高灰分煤,gao'hui'fen'mei
高灰煤,gao'hui'mei
高硫,gao'liu
高硫分煤,gao'liu'fen'mei
高硫煤,gao'liu'mei
高炉喷吹煤,gao'lu'pen'chui'mei
高炉喷吹用煤,gao'lu'pen'chui'yong'mei
高密度级,gao'mi'du'ji
高频筛,gao'pin'shai
高频脱水筛,gao'pin'tuo'shui'shai
高频振动筛,gao'pin'zhen'dong'shai
高热值煤,gao're'zhi'mei
高式,gao'shi
高式头架,gao'shi'tou'jia
高效斗式提升机,gao'xiao'dou'shi'ti'sheng'ji
高效浓缩机,gao'xiao'nong'suo'ji
高效湿式过滤除尘器,gao'xiao'shi'shi'guo'lv'chu'chen'qi
高压离心通风机,gao'ya'li'xin'tong'feng'ji
格筛,ge'shai
格室,ge'shi
格子型,ge'zi'xing
给料泵,gei'liao'beng
给料仓,gei'liao'cang
给料辊,gei'liao'gun
给料机,gei'liao'ji
给料口,gei'liao'kou
给料漏斗,gei'liao'lou'dou
给料盘,gei'liao'pan
给料式,gei'liao'shi
给料压力,gei'liao'ya'li
给煤,gei'mei
给煤机,gei'mei'ji
给煤式,gei'mei'shi
给入,gei'ru
给水,gei'shui
给水排水,gei'shui'pai'shui
给药管,gei'yao'guan
工程地质,gong'cheng'di'zhi
工程概算,gong'cheng'gai'suan
供配电原则系统图,gong'pei'dian'yuan'ze'xi'tong'tu
工业场地总平面布置图,gong'ye'chang'di'zong'ping'mian'bu'zhi'tu
工业电视,gong'ye'dian'shi
工业用水,gong'ye'yong'shui
工艺布置,gong'yi'bu'zhi
工艺布置图,gong'yi'bu'zhi'tu
工艺建筑物联系图,gong'yi'jian'zhu'wu'lian'xi'tu
工艺流程,gong'yi'liu'cheng
工艺流程设计,gong'yi'liu'cheng'she'ji
工艺流程图,gong'yi'liu'cheng'tu
工艺设备,gong'yi'she'bei
工艺设备选型,gong'yi'she'bei'xuan'xing
工艺设计,gong'yi'she'ji
工艺原则流程图,gong'yi'yuan'ze'liu'cheng'tu
工艺总平面布置图,gong'yi'zong'ping'mian'bu'zhi'tu
共振筛,gong'zhen'shai
工作面,gong'zuo'mian
钩头,gou'tou
钩头重力式提升机,gou'tou'zhong'li'shi'ti'sheng'ji
固定齿辊,gu'ding'chi'gun
固定颚,gu'ding'e
固定筛,gu'ding'shai
固定条缝筛,gu'ding'tiao'feng'shai
固定脱水筛,gu'ding'tuo'shui'shai
固定轴承,gu'ding'zhou'cheng
鼓风机,gu'feng'ji
固相密度,gu'xiang'mi'du
固相质量,gu'xiang'zhi'liang
刮板,gua'ban
刮板式分级机,gua'ban'shi'fen'ji'ji
刮板输送机,gua'ban'shu'song'ji
刮刀排料,gua'dao'pai'liao
刮刀式,gua'dao'shi
刮刀卸料,gua'dao'xie'liao
刮刀转子,gua'dao'zhuan'zi
刮泡,gua'pao
刮泡器,gua'pao'qi
拐折,guai'zhe
管路图,guan'lu'tu
管桥,guan'qiao
管式干燥机,guan'shi'gan'zao'ji
惯性排料,guan'xing'pai'liao
惯性式,guan'xing'shi
惯性卸料,guan'xing'xie'liao
惯性振动给料机,guan'xing'zhen'dong'gei'liao'ji
光电选,guang'dian'xuan
光面,guang'mian
光面辊,guang'mian'gun
轨长,gui'chang
轨道衡,gui'dao'heng
辊齿,gun'chi
辊间距,gun'jian'ju
辊轮,gun'lun
滚轮,gun'lun
辊面,gun'mian
辊式破碎机,gun'shi'po'sui'ji
滚筒干燥机,gun'tong'gan'zao'ji
滚筒碎选机,gun'tong'sui'xuan'ji
滚轴筛,gun'zhou'shai
滚柱,gun'zhu
过渡区,guo'du'qu
锅炉房,guo'lu'fang
锅炉离心引风机,guo'lu'li'xin'yin'feng'ji
过滤板,guo'lv'ban
过滤除尘器,guo'lv'chu'chen'qi
过滤机,guo'lv'ji
过滤介质,guo'lv'jie'zhi
过滤区,guo'lv'qu
过滤室,guo'lv'shi
过滤液池,guo'lv'ye'chi
过滤圆盘,guo'lv'yuan'pan
含矸,han'gan
含矸量,han'gan'liang
含矸率,han'gan'lv
焊接条缝,han'jie'tiao'feng
焊接条缝筛篮,han'jie'tiao'feng'shai'lan
合格介质桶,he'ge'jie'zhi'tong
合介,he'jie
合介泵,he'jie'beng
合介段,he'jie'duan
合介桶,he'jie'tong
褐煤,he'mei
核密度计,he'mi'du'ji
核子密度计,he'zi'mi'du'ji
横剖,heng'pou
横剖图,heng'pou'tu
衡器,heng'qi
喉管,hou'guan
后评价,hou'ping'jia
后推式,hou'tui'shi
呼吸器,hu'xi'qi
弧形筛,hu'xing'shai
弧形条缝筛,hu'xing'tiao'feng'shai
滑动风阀,hua'dong'feng'fa
滑动轴承,hua'dong'zhou'cheng
化工学院,hua'gong'xue'yuan
化合水,hua'he'shui
化学选,hua'xue'xuan
环保专业,huan'bao'zhuan'ye
缓冲仓,huan'chong'cang
缓冲水池,huan'chong'shui'chi
缓冲托辊,huan'chong'tuo'gun
环境保护专业,huan'jing'bao'hu'zhuan'ye
环境影响评价,huan'jing'ying'xiang'ping'jia
换气筒,huan'qi'tong
环形浮标传感器,huan'xing'fu'biao'chuan'gan'qi
挥发分产率,hui'fa'fen'chan'lv
灰分测量仪,hui'fen'ce'liang'yi
灰分基,hui'fen'ji
灰分特性曲线,hui'fen'te'xing'qu'xian
灰分仪,hui'fen'yi
灰熔融性,hui'rong'rong'xing
回药管,hui'yao'guan
回转轴,hui'zhuan'zhou
混合类,hun'he'lei
混合入洗,hun'he'ru'xi
混合跳汰,hun'he'tiao'tai
混合桶,hun'he'tong
混合重介,hun'he'zhong'jie
混块,hun'kuai
混料桶,hun'liao'tong
混煤,hun'mei
混煤场,hun'mei'chang
混洗,hun'xi
混中块,hun'zhong'kuai
活动齿辊,huo'dong'chi'gun
活动轴承,huo'dong'zhou'cheng
活塞风阀,huo'sai'feng'fa
活塞式,huo'sai'shi
活塞跳汰机,huo'sai'tiao'tai'ji
基本建设程序,ji'ben'jian'she'cheng'xu
基本型,ji'ben'xing
机车调车,ji'che'diao'che
集尘器,ji'chen'qi
激磁线圈,ji'ci'xian'quan
机底,ji'di
机电结合轨道衡,ji'dian'jie'he'gui'dao'heng
几何高,ji'he'gao
机架,ji'jia
基坑,ji'keng
集料槽,ji'liao'cao
极难选煤,ji'nan'xuan'mei
给排水,ji'pai'shui
给排水专业,ji'pai'shui'zhuan'ye
技术比较,ji'shu'bi'jiao
技术经济比较,ji'shu'jing'ji'bi'jiao
技术经济指标表,ji'shu'jing'ji'zhi'biao'biao
技术经济专业,ji'shu'jing'ji'zhuan'ye
技术设计,ji'shu'she'ji
集水器,ji'shui'qi
机头溜槽,ji'tou'liu'cao
机械轨道衡,ji'xie'gui'dao'heng
机械联系图,ji'xie'lian'xi'tu
机械排矸车间,ji'xie'pai'gan'che'jian
机械专业,ji'xie'zhuan'ye
极易选煤,ji'yi'xuan'mei
激振,ji'zhen
激振电机,ji'zhen'dian'ji
激振力,ji'zhen'li
激振器,ji'zhen'qi
激振头,ji'zhen'tou
机制专业,ji'zhi'zhuan'ye
集中水池,ji'zhong'shui'chi
集中装车,ji'zhong'zhuang'che
机组安装图,ji'zu'an'zhuang'tu
假底,jia'di
夹矸,jia'gan
夹矸层,jia'gan'ceng
夹矸量,jia'gan'liang
夹矸煤,jia'gan'mei
加固圈,jia'gu'quan
夹壳,jia'ke
架空式,jia'kong'shi
加煤,jia'mei
加热器,jia're'qi
加压过滤,jia'ya'guo'lv
加压过滤机,jia'ya'guo'lv'ji
加药漏斗,jia'yao'lou'dou
加载阀,jia'zai'fa
加重质,jia'zhong'zhi
简摆型,jian'bai'xing
检查孔,jian'cha'kong
