敖山,ao'shan
樟树市,zhang'shu'shi
这样是吧,zhe'yang'shi'ba
正荣街,zheng'rong'jie
中药城,zhong'yao'cheng
主教楼,zhu'jiao'lou
株潭,zhu'tan
竹亭,zhu'ting
状元洲,zhuang'yuan'zhou
资溪,zi'xi
坐下子,zuo'xia'zi
