嗳气吞酸,ai'qi'tun'suan
柴胡芍桔牛膝等,chai'hu'shao'ju'niu'xi'deng
柴胡疏肝散,chai'hu'shu'gan'san
柴苓朮草加姜薄,chai'ling'shu'cao'jia'jiang'bao
产复康颗粒,chan'fu'kang'ke'li
常多自利,chang'duo'zi'li
肠风崩漏总能医,chang'feng'beng'lou'zong'neng'yi
肠鸣下利,chang'ming'xia'li
肠鸣泄泻腹又痛,chang'ming'xie'xie'fu'you'tong
菖蒲半夏焦山栀,chang'pu'ban'xia'jiao'shan'zhi
肠胃康颗粒,chang'wei'kang'ke'li
潮热谵语,chao're'zhan'yu
陈皮远志加姜枣,chen'pi'yuan'zhi'jia'jiang'zao
陈夏茯苓加碧玉,chen'xia'fu'ling'jia'bi'yu
赤白相兼,chi'bai'xiang'jian
赤多白少,chi'duo'bai'shao
赤涩热痛,chi'se're'tong
齿松牙衄,chi'song'ya'nv
重订严氏济生方,chong'ding'yan'shi'ji'sheng'fang
臭秽不可瞻视,chou'hui'bu'ke'zhan'shi
处判针药,chu'pan'zhen'yao
除去川芎五味联,chu'qu'chuan'xiong'wu'wei'lian
除却半夏名异功,chu'que'ban'xia'ming'yi'gong
处以珍贵之药,chu'yi'zhen'gui'zhi'yao
喘而无汗服之宜,chuan'er'wu'han'fu'zhi'yi
喘咳,chuan'ke
喘咳短气,chuan'ke'duan'qi
喘咳痰血肺家伤,chuan'ke'tan'xue'fei'jia'shang
喘咳证,chuan'ke'zheng
川芎茶调散,chuan'xiong'cha'tiao'san
川芎茶调散荆防,chuan'xiong'cha'tiao'san'jing'fang
疮疡疔毒,chuang'yang'ding'du
炊饼为丸白汤下,chui'bing'wei'wan'bai'tang'xia
唇暗,chun'an
此是阳郁成厥逆,ci'shi'yang'yu'cheng'jue'ni
此系胆虚痰上扰,ci'xi'dan'xu'tan'shang'rao
此医人之膏肓也,ci'yi'ren'zhi'gao'huang'ye
腠理不固,cou'li'bu'gu
大便不解,da'bian'bu'jie
大便不通,da'bian'bu'tong
大便干结,da'bian'gan'jie
大便秘结,da'bian'mi'jie
大便稀溏,da'bian'xi'tang
大便泄泻,da'bian'xie'xie
大补阴丸,da'bu'yin'wan
大柴胡汤,da'chai'hu'tang
大柴胡汤用大黄,da'chai'hu'tang'yong'da'huang
大承气汤,da'cheng'qi'tang
大承气汤用硝黄,da'cheng'qi'tang'yong'xiao'huang
大腹蔻通合煎灵,da'fu'kou'tong'he'jian'ling
大黄庶虫丸,da'huang'shu'chong'wan
大活络胶囊,da'huo'luo'jiao'nang
大青龙汤,da'qing'long'tang
大青龙汤桂麻黄,da'qing'long'tang'gui'ma'huang
大医精诚,da'yi'jing'cheng
大枣阿胶加酒服,da'zao'e'jiao'jia'jiu'fu
大枣合之治虚痞,da'zao'he'zhi'zhi'xu'pi
大枣生姜为丸服,da'zao'sheng'jiang'wei'wan'fu
怠惰嗜卧,dai'duo'shi'wo
丹莪妇康煎膏,dan'e'fu'kang'jian'gao
但发惭愧凄怜忧恤之意,dan'fa'can'kui'qi'lian'you'xu'zhi'yi
但满而不痛,dan'man'er'bu'tong
丹皮苓泽加桂附,dan'pi'ling'ze'jia'gui'fu
丹七片,dan'qi'pian
胆石片,dan'shi'pian
丹石栀甘竹叶寻,dan'shi'zhi'gan'zhu'ye'xun
胆舒胶囊,dan'shu'jiao'nang
丹溪心法,dan'xi'xin'fa
丹香清脂颗粒,dan'xiang'qing'zhi'ke'li
丹栀加入热能排,dan'zhi'jia'ru're'neng'pai
丹栀逍遥散,dan'zhi'xiao'yao'san
丹枝逍遥丸,dan'zhi'xiao'yao'wan
但作救苦之心,dan'zuo'jiu'ku'zhi'xin
当归川楝水煎服,dang'gui'chuan'lian'shui'jian'fu
当归六黄二地黄,dang'gui'liu'huang'er'di'huang
当归六黄汤,dang'gui'liu'huang'tang
导赤散,dao'chi'san
导赤生地与木通,dao'chi'sheng'di'yu'mu'tong
盗汗,dao'han
道说是非,dao'shuo'shi'fei
灯银脑通胶囊,deng'yin'nao'tong'jiao'nang
灯盏细辛胶囊,deng'zhan'xi'xin'jiao'nang
地奥心血康胶囊,di'ao'xin'xue'kang'jiao'nang
地芍贝茹茯草襄,di'shao'bei'ru'fu'cao'xiang
涤痰汤,di'tan'tang
涤痰汤用竹茹星,di'tan'tang'yong'zhu'ru'xing
地榆升白片,di'yu'sheng'bai'pian
巅顶头痛,dian'ding'tou'tong
巅顶作痛,dian'ding'zuo'tong
跌打七厘片,die'da'qi'li'pian
定喘白果与麻黄,ding'chuan'bai'guo'yu'ma'huang
定喘汤,ding'chuan'tang
冬凌草片,dong'ling'cao'pian
读方三年,du'fang'san'nian
独活寄生艽防辛,du'huo'ji'sheng'jiao'fang'xin
独活寄生汤,du'huo'ji'sheng'tang
杜仲牛膝人参草,du'zhong'niu'xi'ren'shen'cao
杜仲牛膝桑寄生,du'zhong'niu'xi'sang'ji'sheng
短气而咳,duan'qi'er'ke
短气自汗,duan'qi'zi'han
多用生命以济危急,duo'yong'sheng'ming'yi'ji'wei'ji
恶风发热,e'feng'fa're
恶寒发热,e'han'fa're
恶寒蜷卧,e'han'quan'wo
恶寒无汗,e'han'wu'han
呃逆日久不止,e'ni'ri'jiu'bu'zhi
恶心呕吐,e'xin'ou'tu
恶心欲呕,e'xin'yu'ou
二陈场用半夏陈,er'chen'chang'yong'ban'xia'chen
二陈汤,er'chen'tang
而寸口关尺,er'cun'kou'guan'chi
二冬生地当归身,er'dong'sheng'di'dang'gui'shen
而况病人苦楚,er'kuang'bing'ren'ku'chu
耳聋,er'long
耳鸣耳聋,er'ming'er'long
二十五味鬼臼丸,er'shi'wu'wei'gui'jiu'wan
二十五味珊瑚丸,er'shi'wu'wei'shan'hu'wan
而望其生,er'wang'qi'sheng
而言医道已了,er'yan'yi'dao'yi'le
而医者安然欢娱,er'yi'zhe'an'ran'huan'yu
而有自许之貌,er'you'zi'xu'zhi'mao
二至丸,er'zhi'wan
耳肿,er'zhong
发汗升阳有异功,fa'han'sheng'yang'you'yi'gong
发狂,fa'kuang
发热,fa're
发热盗汗,fa're'dao'han
发热恶寒头项痛,fa're'e'han'tou'xiang'tong
发热而汗出不解,fa're'er'han'chu'bu'jie
发热倦怠,fa're'juan'dai
发热咽痛服之瘥,fa're'yan'tong'fu'zhi'chai
法在降阳而和阴,fa'zai'jiang'yang'er'he'yin
凡大医治病,fan'da'yi'zhi'bing
泛泛欲呕,fan'fan'yu'ou
烦渴引饮,fan'ke'yin'yin
烦渴欲饮,fan'ke'yu'yin
烦狂火热兼谵妄,fan'kuang'huo're'jian'zhan'wang
烦热干渴,fan're'gan'ke
烦躁不宁,fan'zao'bu'ning
反之則是含靈鉅賊,fan'zhi'ze'shi'han'ling'ju'zei
方名柴胡疏肝散,fang'ming'chai'hu'shu'gan'san
肺热喘嗽此方施,fei're'chuan'sou'ci'fang'shi
肺肾两调金水生,fei'shen'liang'diao'jin'shui'sheng
肺肾阴亏,fei'shen'yin'kui
肺痈,fei'yong
肺痈痰热兼瘀血,fei'yong'tan're'jian'yu'xue
风寒两解此为良,feng'han'liang'jie'ci'wei'liang
风寒束表饮停胸,feng'han'shu'biao'yin'ting'xiong
风寒暑湿并能除,feng'han'shu'shi'bing'neng'chu
风湿骨痛胶囊,feng'shi'gu'tong'jiao'nang
风痰上扰证,feng'tan'shang'rao'zheng
风温咳嗽服之消,feng'wen'ke'sou'fu'zhi'xiao
风邪犯肺,feng'xie'fan'fei
腹部胀满,fu'bu'zhang'man
夫大医之体,fu'da'yi'zhi'ti
复方斑蝥胶囊,fu'fang'ban'mao'jiao'nang
复方鳖甲软肝片,fu'fang'bie'jia'ruan'gan'pian
复方草珊瑚,fu'fang'cao'shan'hu
复方陈香胃片,fu'fang'chen'xiang'wei'pian
复方丹参滴丸,fu'fang'dan'shen'di'wan
复方丹参片,fu'fang'dan'shen'pian
复方地茯口服液,fu'fang'di'fu'kou'fu'ye
复方丁香开胃贴,fu'fang'ding'xiang'kai'wei'tie
复方阿胶浆,fu'fang'e'jiao'jiang
复方谷氨酰胺肠溶胶囊,fu'fang'gu'an'xian'an'chang'rong'jiao'nang
复方黄藤洗液,fu'fang'huang'teng'xi'ye
复方炉甘石外用散,fu'fang'lu'gan'shi'wai'yong'san
复方罗布麻片,fu'fang'luo'bu'ma'pian
复方满山白糖浆,fu'fang'man'shan'bai'tang'jiang
复方南星止痛膏,fu'fang'nan'xing'zhi'tong'gao
复方鲜竹沥液,fu'fang'xian'zhu'li'ye
复方血栓通胶囊,fu'fang'xue'shuan'tong'jiao'nang
复方枣仁胶囊,fu'fang'zao'ren'jiao'nang
附桂骨痛颗粒,fu'gui'gu'tong'ke'li
肤疾洗剂,fu'ji'xi'ji
夫经方之难精,fu'jing'fang'zhi'nan'jing
茯苓生姜共紫苏,fu'ling'sheng'jiang'gong'zi'su
复明片,fu'ming'pian
妇女崩漏,fu'nv'beng'lou
妇女带下,fu'nv'dai'xia
妇人伤寒,fu'ren'shang'han
妇人月经不调,fu'ren'yue'jing'bu'tiao
夫杀生求生,fu'sha'sheng'qiu'sheng
茯神夜交安神宁,fu'shen'ye'jiao'an'shen'ning
浮数,fu'shu
腹痛,fu'tong
腹痛拒按,fu'tong'ju'an
腹痛吐泻脉微细,fu'tong'tu'xie'mai'wei'xi
腹痛喜温,fu'tong'xi'wen
腹痛下利,fu'tong'xia'li
夫为医之法,fu'wei'yi'zhi'fa
妇炎康复片,fu'yan'kang'fu'pian
妇炎舒胶囊,fu'yan'shu'jiao'nang
夫一人向隅,fu'yi'ren'xiang'yu
肤痔清软膏,fu'zhi'qing'ruan'gao
甘草菖蒲兼枳实,gan'cao'chang'pu'jian'zhi'shi
甘草粳米四般宜,gan'cao'jing'mi'si'ban'yi
甘草木香大腹加,gan'cao'mu'xiang'da'fu'jia
肝胆实火上炎,gan'dan'shi'huo'shang'yan
肝风上扰,gan'feng'shang'rao
干黄,gan'huang
干姜甘草与人参,gan'jiang'gan'cao'yu'ren'shen
肝经湿热力能排,gan'jing'shi're'li'neng'pai
肝经湿热下注,gan'jing'shi're'xia'zhu
甘桔陈苓朮朴具,gan'ju'chen'ling'shu'pu'ju
甘桔芦根凉解法,gan'ju'lu'gen'liang'jie'fa
干咳少痰,gan'ke'shao'tan
干咳痰少,gan'ke'tan'shao
甘露消毒蔻藿香,gan'lu'xiao'du'kou'huo'xiang
甘露消毒饮,gan'lu'xiao'du'yin
甘蔓藁本与防风,gan'man'gao'ben'yu'fang'feng
感冒灵颗粒,gan'mao'ling'ke'li
干呕,gan'ou
肝脾气郁证,gan'pi'qi'yu'zheng
肝脾血虚,gan'pi'xue'xu
肝气郁结证,gan'qi'yu'jie'zheng
肝气郁滞证,gan'qi'yu'zhi'zheng
肝热生风急煎尝,gan're'sheng'feng'ji'jian'chang
肝肾阴虚,gan'shen'yin'xu
感特灵胶囊,gan'te'ling'jiao'nang
肝胃虚寒,gan'wei'xu'han
肝阳偏亢,gan'yang'pian'kang
肛门灼热,gang'men'zhuo're
肛泰栓,gang'tai'shuan
膏知牛膝麦冬襄,gao'zhi'niu'xi'mai'dong'xiang
葛根黄芩黄连汤,ge'gen'huang'qin'huang'lian'tang
葛根芩连甘草伍,ge'gen'qin'lian'gan'cao'wu
葛蒲半夏焦山栀,ge'pu'ban'xia'jiao'shan'zhi
咯痰不爽,ge'tan'bu'shuang
咯吐不出,ge'tu'bu'chu
更加知柏成八味,geng'jia'zhi'bai'cheng'ba'wei
更用黄芩加姜枣,geng'yong'huang'qin'jia'jiang'zao
更有丹栀逍遥散,geng'you'dan'zhi'xiao'yao'san
功劳去火片,gong'lao'qu'huo'pian
宫宁颗粒,gong'ning'ke'li
狗皮膏,gou'pi'gao
固本益肠片,gu'ben'yi'chang'pian
故必须博极医源,gu'bi'xu'bo'ji'yi'yuan
固表止汗,gu'biao'zhi'han
固肠止泻,gu'chang'zhi'xie
固肠止泻丸,gu'chang'zhi'xie'wan
固非耳目之所察,gu'fei'er'mu'zhi'suo'cha
古今录验方,gu'jin'lu'yan'fang
骨疏康颗粒,gu'shu'kang'ke'li
骨通贴膏,gu'tong'tie'gao
故五脏六腑之盈虚,gu'wu'zang'liu'fu'zhi'ying'xu
故医方卜筮,gu'yi'fang'bu'shi
故亦曲碎论之,gu'yi'qu'sui'lun'zhi
骨折挫伤胶囊,gu'zhe'cuo'shang'jiao'nang
骨蒸潮热,gu'zheng'chao're
冠脉宁片,guan'mai'ning'pian
归草茯神远志随,gui'cao'fu'shen'yuan'zhi'sui
归草黑栀惔竹叶,gui'cao'hei'zhi'dan'zhu'ye
桂附地黄丸,gui'fu'di'huang'wan
桂林西瓜霜,gui'lin'xi'gua'shuang
归脾汤,gui'pi'tang
归脾汤用术参芪,gui'pi'tang'yong'shu'can'qi
归脾丸,gui'pi'wan
鬼神报之,gui'shen'bao'zhi
鬼神害之,gui'shen'hai'zhi
归尾通经佐地龙,gui'wei'tong'jing'zuo'di'long
归芎地芍桂苓均,gui'xiong'di'shao'gui'ling'jun
桂枝汤,gui'zhi'tang
桂枝汤治太阳风,gui'zhi'tang'zhi'tai'yang'feng
海珠喘息定,hai'zhu'chuan'xi'ding
汗出恶风,han'chu'e'feng
汗出恶热,han'chu'e're
汗多神疲,han'duo'shen'pi
寒而冷之,han'er'leng'zhi
寒厥证,han'jue'zheng
寒热错杂,han're'cuo'za
寒热发作有时,han're'fa'zuo'you'shi
寒热平调,han're'ping'diao
韩氏医通,han'shi'yi'tong
耗气伤阴证,hao'qi'shang'yin'zheng
蒿芩清胆汤,hao'qin'qing'dan'tang
蒿芩清胆枳竹茹,hao'qin'qing'dan'zhi'zhu'ru
荷丹片,he'dan'pian
和解少阳,he'jie'shao'yang
和胃生津,he'wei'sheng'jin
何以得其幽微,he'yi'de'qi'you'wei
恒古骨伤愈合剂,heng'gu'gu'shang'yu'he'ji
红花甘草壳赤芍,hong'hua'gan'cao'ke'chi'shao
厚腻,hou'ni
猴枣牛黄散,hou'zao'niu'huang'san
呼多吸少,hu'duo'xi'shao
护肝宁片,hu'gan'ning'pian
呼吸少气,hu'xi'shao'qi
护惜身命,hu'xi'shen'ming
花蛇解痒胶囊,hua'she'jie'yang'jiao'nang
滑数,hua'shu
化痰平喘,hua'tan'ping'chuan
化痰熄风,hua'tan'xi'feng
华夷愚智,hua'yi'yu'zhi
化浊排脓病自宁,hua'zhuo'pai'nong'bing'zi'ning
黄臭,huang'chou
黄疸,huang'dan
黄豆苷元片,huang'dou'gan'yuan'pian
黄葵胶囊,huang'kui'jiao'nang
黄连,huang'lian
黄连阿胶鸡子黄,huang'lian'e'jiao'ji'zi'huang
黄连阿胶汤,huang'lian'e'jiao'tang
黄连黄柏与秦皮,huang'lian'huang'bo'yu'qin'pi
黄连解毒柏栀芩,huang'lian'jie'du'bai'zhi'qin
黄连解毒汤,huang'lian'jie'du'tang
黄芩滑石汤,huang'qin'hua'shi'tang
黄芩滑石猪茯苓,huang'qin'hua'shi'zhu'fu'ling
黄芩芍药合自良,huang'qin'shao'yao'he'zi'liang
黄氏响声丸,huang'shi'xiang'sheng'wan
黄藤素片,huang'teng'su'pian
黄杨宁片,huang'yang'ning'pian
回阳救逆,hui'yang'jiu'ni
或加沉香去肉桂,huo'jia'chen'xiang'qu'rou'gui
或加茯苓共煎尝,huo'jia'fu'ling'gong'jian'chang
或加石膏泻胃火,huo'jia'shi'gao'xie'wei'huo
或加香砂气滞使,huo'jia'xiang'sha'qi'zhi'shi
霍乱论,huo'luan'lun
藿朴夏苓汤,huo'pu'xia'ling'tang
藿朴夏苓有三仁,huo'pu'xia'ling'you'san'ren
藿砂口服液,huo'sha'kou'fu'ye
藿香正气滴丸,huo'xiang'zheng'qi'di'wan
藿香正气腹皮苏,huo'xiang'zheng'qi'fu'pi'su
藿香正气口服液,huo'xiang'zheng'qi'kou'fu'ye
藿香正气散,huo'xiang'zheng'qi'san
藿香正气水,huo'xiang'zheng'qi'shui
活血化瘀,huo'xue'hua'yu
活血通脉胶囊,huo'xue'tong'mai'jiao'nang
季德胜蛇药片,ji'de'sheng'she'yao'pian
既非神授,ji'fei'shen'shou
肌肤筋骨,ji'fu'jin'gu
飢渴疲勞,ji'ke'pi'lao
积劳虚损,ji'lao'xu'sun
肌热烦渴,ji're'fan'ke
济生方,ji'sheng'fang
急投此方可回阳,ji'tou'ci'fang'ke'hui'yang
悸眩瞤惕急煎尝,ji'xuan'shun'ti'ji'jian'chang
鸡血藤颗粒,ji'xue'teng'ke'li
急躁易怒,ji'zao'yi'nu
及治病三年,ji'zhi'bing'san'nian
加减运用在胸中,jia'jian'yun'yong'zai'xiong'zhong
瘕聚,jia'ju
瘕块硬结,jia'kuai'ying'jie
加入人参气津生,jia'ru'ren'shen'qi'jin'sheng
加用香砂气滞使,jia'yong'xiang'sha'qi'zhi'shi
加枣同煎名四七,jia'zao'tong'jian'ming'si'qi
见彼苦恼,jian'bi'ku'nao
煎加灯草痛淋蠲,jian'jia'deng'cao'tong'lin'juan
煎加姜枣表兼里,jian'jia'jiang'zao'biao'jian'li
煎加姜枣调营卫,jian'jia'jiang'zao'tiao'ying'wei
煎加姜枣益心脾,jian'jia'jiang'zao'yi'xin'pi
煎加生姜与乌梅,jian'jia'sheng'jiang'yu'wu'mei
健脾祛湿,jian'pi'qu'shi
健脾祛痰治相当,jian'pi'qu'tan'zhi'xiang'dang
健脾养心,jian'pi'yang'xin
健脾益气,jian'pi'yi'qi
健忘失眠,jian'wang'shi'mian
简要济众方,jian'yao'ji'zhong'fang
姜挂麻黄芍药同,jiang'gua'ma'huang'shao'yao'tong
降逆化痰,jiang'ni'hua'tan
降逆止呕,jiang'ni'zhi'ou
降气平喘,jiang'qi'ping'chuan
姜汤调服止嗽频,jiang'tang'tiao'fu'zhi'sou'pin
姜枣细辛款冬花,jiang'zao'xi'xin'kuan'dong'hua
绞股兰总甙软胶囊,jiao'gu'lan'zong'dai'ruan'jiao'nang
交泰丸,jiao'tai'wan
交通心肾,jiao'tong'xin'shen
校注妇人良方,jiao'zhu'fu'ren'liang'fang
解表散寒,jie'biao'san'han
解毒坚阴功效奇,jie'du'jian'yin'gong'xiao'qi
桔梗上浮兼保肺,jie'geng'shang'fu'jian'bao'fei
解肌发表调营卫,jie'ji'fa'biao'tiao'ying'wei
皆如至亲之想,jie'ru'zhi'qin'zhi'xiang
结石康胶囊,jie'shi'kang'jiao'nang
解郁安神冲剂,jie'yu'an'shen'chong'ji
今病有内同而外异,jin'bing'you'nei'tong'er'wai'yi
金刚藤胶囊,jin'gang'teng'jiao'nang
金果饮,jin'guo'yin
金匮肾气丸,jin'kui'shen'qi'wan
金匮肾气治肾虚,jin'kui'shen'qi'zhi'shen'xu
金匮要略,jin'kui'yao'lue
金莲花胶囊,jin'lian'hua'jiao'nang
金嗓开音丸,jin'sang'kai'yin'wan
金嗓散结丸,jin'sang'san'jie'wan
金水宝胶囊,jin'shui'bao'jiao'nang
金天格胶囊,jin'tian'ge'jiao'nang
筋痿,jin'wei
津虚内热证,jin'xu'nei're'zheng
津液亏损,jin'ye'kui'sun
今以至精至微之事,jin'yi'zhi'jing'zhi'wei'zhi'shi
经闭不行,jing'bi'bu'xing
痉病,jing'bing
经带胎产俱可治,jing'dai'tai'chan'ju'ke'zhi
颈复康颗粒,jing'fu'kang'ke'li
荆花胃康胶丸,jing'hua'wei'kang'jiao'wan
精勤不倦,jing'qin'bu'juan
颈舒颗粒,jing'shu'ke'li
经霜收下冬桑叶,jing'shuang'shou'xia'dong'sang'ye
经水适断,jing'shui'shi'duan
景岳全书,jing'yue'quan'shu
久咳伤肺,jiu'ke'shang'fei
久泻不愈,jiu'xie'bu'yu
救心丸,jiu'xin'wan
厥阴头痛皆能保,jue'yin'tou'tong'jie'neng'bao
峻下热结,jun'xia're'jie
看有若无,kan'you'ruo'wu
康妇消炎栓,kang'fu'xiao'yan'shuan
咳嗽气喘,ke'sou'qi'chuan
咳嗽气逆,ke'sou'qi'ni
咳嗽痰多,ke'sou'tan'duo
咳嗽痰稀,ke'sou'tan'xi
咳嗽咽痒,ke'sou'yan'yang
渴欲饮水,ke'yu'yin'shui
咳止痰化病自痊,ke'zhi'tan'hua'bing'zi'quan
口唇,kou'chun
口淡无味,kou'dan'wu'wei
口干唇燥,kou'gan'chun'zao
口干舌燥,kou'gan'she'zao
口渴不欲多饮,kou'ke'bu'yu'duo'yin
口渴面赤,kou'ke'mian'chi
口苦,kou'ku
口苦面红,kou'ku'mian'hong
口糜淋痛小肠火,kou'mi'lin'tong'xiao'chang'huo
口舌干燥,kou'she'gan'zao
口舌生疮,kou'she'sheng'chuang
口燥咽干,kou'zao'yan'gan
苦胆草片,ku'dan'cao'pian
款冬半夏白皮桑,kuan'dong'ban'xia'bai'pi'sang
宽胸散结,kuan'xiong'san'jie
宽裕汪汪,kuan'yu'wang'wang
况于人乎,kuang'yu'ren'hu
兰室秘藏,lan'shi'mi'cang
老君曰,lao'jun'yue
乐脉颗粒,le'mai'ke'li
冷风顽痹屈能伸,leng'feng'wan'bi'qu'neng'shen
利便解表治水停,li'bian'jie'biao'zhi'shui'ting
理肺化痰,li'fei'hua'tan
利肝隆颗粒,li'gan'long'ke'li
里急腹痛自安康,li'ji'fu'tong'zi'an'kang
里急后重,li'ji'hou'zhong
理气和中,li'qi'he'zhong
利气和中燥湿痰,li'qi'he'zhong'zao'shi'tan
里热实证之热厥,li're'shi'zheng'zhi're'jue
利湿化浊,li'shi'hua'zhuo
利水渗湿,li'shui'shen'shi
利水通淋,li'shui'tong'lin
理中丸,li'zhong'wan
理中丸主温中阳,li'zhong'wan'zhu'wen'zhong'yang
连朴饮,lian'pu'yin
连朴饮用香豆豉,lian'pu'yin'yong'xiang'dou'chi
敛阴止汗,lian'yin'zhi'han
量多色淡,liang'duo'se'dan
谅非忠恕之道,liang'fei'zhong'shu'zhi'dao
凉肝熄风又养阴,liang'gan'xi'feng'you'yang'yin
两目暗黑,liang'mu'an'hei
量少,liang'shao
凉血止痢,liang'xue'zhi'li
凉血止血,liang'xue'zhi'xue
良由此也,liang'you'ci'ye
淋沥不畅,lin'li'bu'chang
淋漓不止,lin'li'bu'zhi
淋浊流连自可除,lin'zhuo'liu'lian'zi'ke'chu
令彼难求,ling'bi'nan'qiu
苓草橘红大枣姜,ling'cao'ju'hong'da'zao'jiang
苓桂术甘化饮剂,ling'gui'shu'gan'hua'yin'ji
苓桂术甘汤,ling'gui'shu'gan'tang
羚角钩藤菊花桑,ling'jiao'gou'teng'ju'hua'sang
羚角钩藤汤,ling'jiao'gou'teng'tang
醽醁,ling'lu
苓芍朮附加生姜,ling'shao'shu'fu'jia'sheng'jiang
