阿兰,a'lan
口祷,kou'dao
宽仁,kuan'ren
宽恕,kuan'shu
来临,lai'lin
老太太,lao'tai'tai
勒乌本,le'wu'ben
肋未,lei'wei
肋未纪,lei'wei'ji
肋未人,lei'wei'ren
李铎,li'duo
礼仪,li'yi
怜悯,lian'min
练选,lian'xuan
炼狱,lian'yu
良善,liang'shan
列上,lie'shang
列王纪上,lie'wang'ji'shang
列王纪下,lie'wang'ji'xia
列下,lie'xia
吝啬,lin'se
临在,lin'zai
领导人,ling'dao'ren
灵魂,ling'hun
领圣体,ling'sheng'ti
领受,ling'shou
聆听,ling'ting
领悟,ling'wu
灵修,ling'xiu
露德,lu'de
卢德传,lu'de'chuan
路加福音,lu'jia'fu'yin
禄宗,lu'zong
罗马,luo'ma
罗马书,luo'ma'shu
罗哲,luo'zhe
罗哲弟兄,luo'zhe'di'xiong
履行,lv'xing
马槽,ma'cao
玛窦,ma'dou
玛窦福音,ma'dou'fu'yin
马尔谷福音,ma'er'gu'fu'yin
玛加伯上,ma'jia'bo'shang
玛加伯下,ma'jia'bo'xia
玛拉基亚,ma'la'ji'ya
玛利亚,ma'li'ya
玛纳,ma'na
玫瑰经,mei'gui'jing
梅瑟,mei'se
梅瑟五书,mei'se'wu'shu
门徒,men'tu
梦境,meng'jing
盟约,meng'yue
蒙主,meng'zhu
米该亚,mi'gai'ya
米纳,mi'na
弥撒,mi'sa
迷色,mi'se
面饼,mian'bing
面的,mian'di
面容,mian'rong
民长,min'chang
民长纪,min'chang'ji
民族,min'zu
摩阿布,mo'a'bu
默祷,mo'dao
默感,mo'gan
默观,mo'guan
魔鬼,mo'gui
默纳协,mo'na'xie
末期,mo'qi
默示录,mo'shi'lu
默西亚,mo'xi'ya
默想,mo'xiang
模型,mo'xing
牧灵,mu'ling
目录,mu'lu
牧民,mu'min
牧人,mu'ren
牧师,mu'shi
牧养,mu'yang
牧者,mu'zhe
纳斐塔里,na'fei'ta'li
纳鸿,na'hong
纳匝肋,na'za'lei
内心,nei'xin
能力,neng'li
尼尼微,ni'ni'wei
年时,nian'shi
奴隶,nu'li
奴役,nu'yi
诺厄,nuo'e
欧瑟亚,ou'se'ya
判官,pan'guan
盘石,pan'shi
磐石,pan'shi
培肋舍特,pei'lei'she'te
疲乏,pi'fa
平安,ping'an
迫害,po'hai
迫切,po'qie
普陵节,pu'ling'jie
仆人,pu'ren
葡萄酒,pu'tao'jiu
葡萄园,pu'tao'yuan
祈祷,qi'dao
奇迹,qi'ji
奇妙,qi'miao
祈求,qi'qiu
起身,qi'shen
启示,qi'shi
奇事,qi'shi
妻子,qi'zi
谦卑,qian'bei
虔敬,qian'jing
前躯,qian'qu
谦逊,qian'xun
前言,qian'yan
亲子,qin'zi
倾向,qing'xiang
倾注,qing'zhu
穷苦,qiong'ku
驱魔,qu'mo
权柄,quan'bing
全能,quan'neng
全体,quan'ti
痊愈,quan'yu
全知,quan'zhi
缺乏,que'fa
热诚,re'cheng
热心,re'xin
仁慈,ren'ci
人类,ren'lei
人子,ren'zi
日课,ri'ke
荣福,rong'fu
融和,rong'he
荣耀,rong'yao
肉身,rou'shen
若二,ruo'er
若翰,ruo'han
若三,ruo'san
若瑟,ruo'se
若苏厄,ruo'su'e
若苏厄书,ruo'su'e'shu
若望,ruo'wang
若望二书,ruo'wang'er'shu
若望福音,ruo'wang'fu'yin
若望三书,ruo'wang'san'shu
若望一书,ruo'wang'yi'shu
若一,ruo'yi
撒殚,sa'dan
撒拉,sa'la
撒罗满,sa'luo'man
撒慕尔纪上,sa'mu'er'ji'shang
撒幕尔记下,sa'mu'er'ji'xia
撒上,sa'shang
三位一体,san'wei'yi'ti
散下,san'xia
丧内在,sang'nei'zai
沙粒,sha'li
善度,shan'du
善牧,shan'mu
山中圣训,shan'zhong'sheng'xun
赏报,shang'bao
上主,shang'zhu
上主的断语,shang'zhu'de'duan'yu
上主说,shang'zhu'shuo
舍根,she'gen
赦免,she'mian
舌音,she'yin
深处,shen'chu
神恩,shen'en
神恩复兴运动,shen'en'fu'xing'yun'dong
神恩祈祷,shen'en'qi'dao
神父,shen'fu
神国,shen'guo
神迹,shen'ji
申命记,shen'ming'ji
审判,shen'pan
神圣,shen'sheng
神视,shen'shi
神性,shen'xing
神修,shen'xiu
神学,shen'xue
神学家,shen'xue'jia
深意,shen'yi
神谕,shen'yu
圣保禄,sheng'bao'lu
圣伯多禄,sheng'bo'duo'lu
圣宠,sheng'chong
圣德,sheng'de
圣父,sheng'fu
圣歌,sheng'ge
圣歌集,sheng'ge'ji
圣化,sheng'hua
圣祭,sheng'ji
圣教会,sheng'jiao'hui
圣洁,sheng'jie
圣经,sheng'jing
牲口,sheng'kou
圣玛利亚,sheng'ma'li'ya
圣名,sheng'ming
圣母,sheng'mu
圣女,sheng'nv
圣人,sheng'ren
圣若望,sheng'ruo'wang
圣三,sheng'san
圣神,sheng'shen
圣事,sheng'shi
圣死,sheng'si
圣堂,sheng'tang
圣堂中,sheng'tang'zhong
圣体,sheng'ti
圣体圣事,sheng'ti'sheng'shi
升天,sheng'tian
圣统,sheng'tong
圣洗,sheng'xi
圣贤,sheng'xian
圣心,sheng'xin
圣血,sheng'xue
圣言,sheng'yan
盛宴,sheng'yan
圣意,sheng'yi
圣婴,sheng'ying
圣永,sheng'yong
圣咏集,sheng'yong'ji
圣召,sheng'zhao
圣者,sheng'zhe
圣枝主日,sheng'zhi'zhu'ri
圣子,sheng'zi
圣子降生,sheng'zi'jiang'sheng
圣祖,sheng'zu
圣座,sheng'zuo
是爱,shi'ai
时代,shi'dai
十二位,shi'er'wei
侍奉,shi'feng
十诫,shi'jie
施救,shi'jiu
使命,shi'ming
世人,shi'ren
施舍,shi'she
始胎,shi'tai
试探,shi'tan
十字架,shi'zi'jia
受傅者,shou'fu'zhe
守护,shou'hu
受难,shou'nan
受迫害,shou'po'hai
受洗,shou'xi
受造物,shou'zao'wu
枢机,shu'ji
属下,shu'xia
税史,shui'shi
顺服,shun'fu
司铎,si'duo
司祭,si'ji
思念,si'nian
斯塔狄,si'ta'di
颂念,song'nian
宋体,song'ti
索福尼亚,suo'fu'ni'ya
塔冷通,ta'leng'tong
泰泽,tai'ze
泰泽祈祷,tai'ze'qi'dao
贪饕,tan'tao
堂区,tang'qu
特恩,te'en
天父,tian'fu
天国,tian'guo
天上,tian'shang
天使,tian'shi
天文学家,tian'wen'xue'jia
天主,tian'zhu
天主保佑,tian'zhu'bao'you
天主的国,tian'zhu'de'guo
天主圣三,tian'zhu'sheng'san
天主圣神,tian'zhu'sheng'shen
天主圣子,tian'zhu'sheng'zi
天主十诫,tian'zhu'shi'jie
天主说,tian'zhu'shuo
天主之母,tian'zhu'zhi'mu
天主子民,tian'zhu'zi'min
听从,ting'cong
痛悔,tong'hui
同心合意,tong'xin'he'yi
同性同体,tong'xing'tong'ti
通谕,tong'yu
同在,tong'zai
童贞,tong'zhen
突明,tu'ming
兔子,tu'zi
团体,tuan'ti
退省,tui'xing
托付,tuo'fu
外邦人,wai'bang'ren
外教,wai'jiao
晚餐厅,wan'can'ting
万军的,wan'jun'de
万民,wan'min
万世万代,wan'shi'wan'dai
万物,wan'wu
望德,wang'de
王国,wang'guo
尾声,wei'sheng
未世,wei'shi
委员会,wei'yuan'hui
为主,wei'zhu
稳固,wen'gu
无玷,wu'dian
无玷圣心,wu'dian'sheng'xin
乌尔,wu'er
无酵节,wu'jiao'jie
乌陵,wu'ling
无缺,wu'que
污辱,wu'ru
五旬节,wu'xun'jie
吾主,wu'zhu
希伯来书,xi'bo'lai'shu
喜乐,xi'le
洗礼,xi'li
西满,xi'man
西默盎,xi'mo'ang
西乃山,xi'nai'shan
牺牲,xi'sheng
喜悦,xi'yue
瑕疵,xia'ci
显视,xian'shi
显示,xian'shi
先兆,xian'zhao
先知,xian'zhi
先知话,xian'zhi'hua
降服,xiang'fu
相信,xiang'xin
象征,xiang'zheng
效法,xiao'fa
小提琴,xiao'ti'qin
肖像,xiao'xiang
小组,xiao'zu
小罪,xiao'zui
协刻耳,xie'ke'er
邪念,xie'nian
信德,xin'de
信赖,xin'lai
新郎,xin'lang
心灵,xin'ling
新娘,xin'niang
信徒,xin'tu
信望爱三德,xin'wang'ai'san'de
信仰,xin'yang
信友们,xin'you'men
新约,xin'yue
幸福,xing'fu
行径,xing'jing
兄弟姐妹,xiong'di'jie'mei
修道院,xiu'dao'yuan
修会,xiu'hui
修女,xiu'nv
修士,xiu'shi
修院,xiu'yuan
许诺,xu'nuo
序言,xu'yan
宣讲,xuan'jiang
选民,xuan'min
学区,xue'qu
血肉,xue'rou
学习班,xue'xi'ban
训道篇,xun'dao'pian
寻求,xun'qiu
讯息,xun'xi
亚巴郎,ya'ba'lang
亚北低亚,ya'bei'di'ya
亚伯耳,ya'bo'er
亚当,ya'dang
雅歌,ya'ge
雅各伯,ya'ge'bo
雅格伯,ya'ge'bo
雅各伯书,ya'ge'bo'shu
亚郎,ya'lang
亚毛斯,ya'mao'si
雅威,ya'wei
压抑,ya'yi
厌倦,yan'juan
羊群,yang'qun
要账,yao'zhang
耶肋米亚,ye'lei'mi'ya
耶肋米亚哀歌,ye'lei'mi'ya'ai'ge
耶路撒冷,ye'lu'sa'leng
耶稣,ye'su
耶稣爱你,ye'su'ai'ni
耶稣基督,ye'su'ji'du
耶稣基督说,ye'su'ji'du'shuo
耶稣内,ye'su'nei
耶稣圣心,ye'su'sheng'xin
耶稣说,ye'su'shuo
异端,yi'duan
以民,yi'min
义人,yi'ren
依撒各,yi'sa'ge
依撒加尔,yi'sa'jia'er
依撒意亚,yi'sa'yi'ya
以色列,yi'se'lie
义务,yi'wu
异象,yi'xiang
异语,yi'yu
饮食,yin'shi
因小失大,yin'xiao'shi'da
隐修,yin'xiu
隐修院,yin'xiu'yuan
音乐系,yin'yue'xi
应许,ying'xu
应验,ying'yan
永生,yong'sheng
永远,yong'yuan
永在,yong'zai
犹大,you'da
犹大书,you'da'shu
犹达斯,you'da'si
友弟德传,you'di'de'chuan
忧闷,you'men
犹太,you'tai
于我们同在,yu'wo'men'tong'zai
预像,yu'xiang
预言,yu'yan
逾越节,yu'yue'jie
园丁,yuan'ding
远古,yuan'gu
圆满,yuan'man
源泉,yuan'quan
元始,yuan'shi
原则,yuan'ze
援助,yuan'zhu
原祖,yuan'zu
原罪,yuan'zui
约伯传,yue'bo'chuan
约旦河,yue'dan'he
岳厄尔,yue'e'er
约柜,yue'gui
约纳,yue'na
运动,yun'dong
匝加利亚,za'jia'li'ya
灾祸,zai'huo
在世,zai'shi
赞美,zan'mei
造成,zao'cheng
则步隆,ze'bu'long
增饼,zeng'bing
增长,zeng'zhang
战胜,zhan'sheng
丈夫,zhang'fu
掌管,zhang'guan
帐棚节,zhang'peng'jie
长上,zhang'shang
彰显,zhang'xian
照顾,zhao'gu
召唤,zhao'huan
照耀,zhao'yao
真福,zhen'fu
真理,zhen'li
贞女,zhen'nv
箴言,zhen'yan
拯救,zheng'jiu
拯救者,zheng'jiu'zhe
证言,zheng'yan
征兆,zheng'zhao
智慧,zhi'hui
智慧篇,zhi'hui'pian
治理,zhi'li
支派,zhi'pai
至圣,zhi'sheng
治愈,zhi'yu
智者,zhi'zhe
中保,zhong'bao
终结,zhong'jie
终末,zhong'mo
忠信,zhong'xin
咒诅,zhou'zu
祝福,zhu'fu
主教,zhu'jiao
主内,zhu'nei
祝圣,zhu'sheng
主耶稣,zhu'ye'su
主佑,zhu'you
主佑平安,zhu'you'ping'an
主宰,zhu'zai
转求,zhuan'qiu
专务,zhuan'wu
子民,zi'min
宗徒,zong'tu
宗徒大事录,zong'tu'da'shi'lu
宗徒们,zong'tu'men
阻碍,zu'ai
罪恶,zui'e
遵守,zun'shou
遵行,zun'xing
尊重,zun'zhong
