安安送米,an'an'song'mi
古琴案,gu'qin'an
挂画,gua'hua
鬼怨杀生,gui'yuan'sha'sheng
柜中缘,gui'zhong'yuan
海阳县二堂,hai'yang'xian'er'tang
汉宫双后惠来,han'gong'shuang'hou'hui'lai
韩文公冻雪,han'wen'gong'dong'xue
汉文皇后,han'wen'huang'hou
红灯记,hong'deng'ji
洪湖赤卫队,hong'hu'chi'wei'dui
红楼梦,hong'lou'meng
红鬃烈马,hong'zong'lie'ma
蝴蝶梦,hu'die'meng
护国乘龙,hu'guo'cheng'long
葫芦庙,hu'lu'miao
画龙点睛,hua'long'dian'jing
华莹山上,hua'ying'shan'shang
华子良下山,hua'zi'liang'xia'shan
槐荫别,huai'yin'bie
换偶记,huan'ou'ji
皇帝与村姑,huang'di'yu'cun'gu
皇妃告夫,huang'fei'gao'fu
皇妃戏太子锦丰,huang'fei'xi'tai'zi'jin'feng
黄府花园,huang'fu'hua'yuan
皇亲国戚,huang'qin'guo'qi
回书,hui'shu
回窑,hui'yao
火烧碧云宫,huo'shao'bi'yun'gong
火烧临江楼,huo'shao'lin'jiang'lou
火烧太白楼,huo'shao'tai'bai'lou
活捉三郎,huo'zhuo'san'lang
活捉孙富,huo'zhuo'sun'fu
江姐,jiang'jie
江姐潮州团,jiang'jie'chao'zhou'tuan
江姐上山,jiang'jie'shang'shan
绛玉掼粿,jiang'yu'guan'guo
焦桂英,jiao'gui'ying
揭阳电台,jie'yang'dian'tai
晋宫风云,jin'gong'feng'yun
金猴巧斗蜘蛛女,jin'hou'qiao'dou'zhi'zhu'nv
金花牧羊,jin'hua'mu'yang
金花女,jin'hua'nv
井边会,jing'bian'hui
井边会前传,jing'bian'hui'qian'zhuan
荆钗记,jing'chai'ji
京娘送兄,jing'niang'song'xiong
救风尘,jiu'feng'chen
扛石,kang'shi
寇准闯殿,kou'zhun'chuang'dian
蓝继子,lan'ji'zi
老兵回乡,lao'bing'hui'xiang
荔镜记,li'jing'ji
李唔直,li'wu'zhi
李元霸东山,li'yuan'ba'dong'shan
李子长活画,li'zi'chang'huo'hua
梁玉君救主外景,liang'yu'jun'jiu'zhu'wai'jing
林大鼻抢亲,lin'da'bi'qiang'qin
六国封相云宵青年,liu'guo'feng'xiang'yun'xiao'qing'nian
柳明月义救孤儿,liu'ming'yue'yi'jiu'gu'er
刘明珠,liu'ming'zhu
柳玉娘,liu'yu'niang
六月雪,liu'yue'xue
龙江颂,long'jiang'song
龙井渡头,long'jing'du'tou
龙井渡头老版本,long'jing'du'tou'lao'ban'ben
龙女情,long'nv'qing
芦花荡,lu'hua'dang
芦林会,lu'lin'hui
陆文龙,lu'wen'long
掠帽风会李后外景,lue'mao'feng'hui'li'hou'wai'jing
梅花簪,mei'hua'zan
美人泪,mei'ren'lei
美人蟹,mei'ren'xie
梅亭雪,mei'ting'xue
梅英表花,mei'ying'biao'hua
孟姜女过关,meng'jiang'nv'guo'guan
孟丽君,meng'li'jun
蜢舍落难,meng'she'luo'nan
莫愁女,mo'chou'nv
末代皇后,mo'dai'huang'hou
磨房会,mo'fang'hui
穆桂英招亲,mu'gui'ying'zhao'qin
闹钗,nao'chai
闹开封,nao'kai'feng
怒斩杨廷芳,nu'zhan'yang'ting'fang
女皇武则天,nv'huang'wu'ze'tian
彭湃,peng'pai
琵琶记,pi'pa'ji
奇婚记普宁,qi'hun'ji'pu'ning
齐女情,qi'nv'qing
七日红,qi'ri'hong
七尸八命九重冤,qi'shi'ba'ming'jiu'chong'yuan
千里送京娘,qian'li'song'jing'niang
乾元山,qian'yuan'shan
秦凤兰救夫,qin'feng'lan'jiu'fu
秦香莲,qin'xiang'lian
庆元霄,qing'yuan'xiao
三凤求凰潮州团,san'feng'qiu'huang'chao'zhou'tuan
三竿恨,san'gan'hen
三篙恨,san'gao'hen
三家福,san'jia'fu
三王复国,san'wang'fu'guo
扫窗会,sao'chuang'hui
沙家浜,sha'jia'bang
沈园绝唱,shen'yuan'jue'chang
十五贯,shi'wu'guan
十仙庆寿,shi'xian'qing'shou
石秀探庄,shi'xiu'tan'zhuang
双睛盲,shuang'jing'mang
双联玉锁饶平,shuang'lian'yu'suo'rao'ping
双跑城,shuang'pao'cheng
双玉鱼,shuang'yu'yu
水牢案,shui'lao'an
思凡,si'fan
四告状,si'gao'zhuang
苏后复国,su'hou'fu'guo
苏六娘,su'liu'niang
桃花过渡,tao'hua'guo'du
桃园奇冤,tao'yuan'qi'yuan
天赐奇缘,tian'ci'qi'yuan
投江,tou'jiang
偷诗,tou'shi
王金龙,wang'jin'long
王金真告御状南澳,wang'jin'zhen'gao'yu'zhuang'nan'ao
王茂生进酒,wang'mao'sheng'jin'jiu
王茂生进酒舞台,wang'mao'sheng'jin'jiu'wu'tai
王熙凤,wang'xi'feng
围城记云霄团,wei'cheng'ji'yun'xiao'tuan
文武香球,wen'wu'xiang'qiu
文武香球桃花寨,wen'wu'xiang'qiu'tao'hua'zhai
武大郎卖饼,wu'da'lang'mai'bing
五福连,wu'fu'lian
吴汉杀妻,wu'han'sha'qi
五女拜寿,wu'nv'bai'shou
武松杀嫂,wu'song'sha'sao
无意神医,wu'yi'shen'yi
武则天李治登基,wu'ze'tian'li'zhi'deng'ji
五子挂帅,wu'zi'gua'shuai
洗马桥,xi'ma'qiao
喜门环,xi'men'huan
西施归越,xi'shi'gui'yue
下金山,xia'jin'shan
仙姬送子惠来,xian'ji'song'zi'hui'lai
香壶案,xiang'hu'an
香罗帕,xiang'luo'pa
小放牛,xiao'fang'niu
孝妇杀家姑,xiao'fu'sha'jia'gu
小土哥,xiao'tu'ge
潇湘秋雨,xiao'xiang'qiu'yu
小宴,xiao'yan
谢瑶环,xie'yao'huan
兄弟亲仇潮州,xiong'di'qin'chou'chao'zhou
徐策救孤,xu'ce'jiu'gu
徐策救孤潮州,xu'ce'jiu'gu'chao'zhou
续荔镜记,xu'li'jing'ji
薛丁山哭灵,xue'ding'shan'ku'ling
血溅南梁宫,xue'jian'nan'liang'gong
血溅三宝袍,xue'jian'san'bao'pao
烟花女与状元郎,yan'hua'nv'yu'zhuang'yuan'lang
严兰贞打破玉花瓶,yan'lan'zhen'da'po'yu'hua'ping
杨令婆辩本,yang'ling'po'bian'ben
益春,yi'chun
益春藏书,yi'chun'cang'shu
一门三进士,yi'men'san'jin'shi
义民册,yi'min'ce
忆十八相送,yi'shi'ba'xiang'song
玉观音,yu'guan'yin
袁崇焕,yuan'chong'huan
岳母刺字,yue'mu'ci'zi
岳银瓶,yue'yin'ping
斩蛾,zhan'e
斩韩信,zhan'han'xin
战马超,zhan'ma'chao
张春郎削发,zhang'chun'lang'xue'fa
赵宠写状,zhao'chong'xie'zhuang
赵少卿,zhao'shao'qing
赵五娘进京,zhao'wu'niang'jin'jing
真假金牡丹,zhen'jia'jin'mu'dan
珍珠塔,zhen'zhu'ta
掷娇媚,zhi'jiao'mei
智破红丸案,zhi'po'hong'wan'an
智取威虎山,zhi'qu'wei'hu'shan
终南魂,zhong'nan'hun
周不错卖卜,zhou'bu'cuo'mai'bu
朱玉莲洛神,zhu'yu'lian'luo'shen
状元认亲,zhuang'yuan'ren'qin
状元新娘,zhuang'yuan'xin'niang
追舟,zhui'zhou
