阿姆达尔定律,a'mu'da'er'ding'lv
传递函数依赖,chuan'di'han'shu'yi'lai
串联端接,chuan'lian'duan'jie
串联阻尼,chuan'lian'zu'ni
传输媒体,chuan'shu'mei'ti
传输通路延迟,chuan'shu'tong'lu'yan'chi
磁表面记录,ci'biao'mian'ji'lu
磁带控制器,ci'dai'kong'zhi'qi
磁带库,ci'dai'ku
磁带头标,ci'dai'tou'biao
磁道格式,ci'dao'ge'shi
磁道宽度,ci'dao'kuan'du
词法,ci'fa
磁盘高速缓存,ci'pan'gao'su'huan'cun
磁盘记录块,ci'pan'ji'lu'kuai
磁盘镜像,ci'pan'jing'xiang
磁盘驱动器,ci'pan'qu'dong'qi
磁盘适配器,ci'pan'shi'pei'qi
词使用频度,ci'shi'yong'pin'du
磁头起落区,ci'tou'qi'luo'qu
磁心,ci'xin
词语切分,ci'yu'qie'fen
粗糙集,cu'cao'ji
粗定位,cu'ding'wei
存储保护,cun'chu'bao'hu
存储单元,cun'chu'dan'yuan
存储模块,cun'chu'mo'kuai
存储器层次,cun'chu'qi'ceng'ci
存储器存取模式,cun'chu'qi'cun'qu'mo'shi
存储器停顿,cun'chu'qi'ting'dun
存储体冲突,cun'chu'ti'chong'tu
存储系统,cun'chu'xi'tong
存储芯片,cun'chu'xin'pian
存储栈,cun'chu'zhan
存储周期,cun'chu'zhou'qi
存取方法,cun'qu'fang'fa
存取透明性,cun'qu'tou'ming'xing
错误代码,cuo'wu'dai'ma
错误恢复过程,cuo'wu'hui'fu'guo'cheng
错误检验码,cuo'wu'jian'yan'ma
错误扩散,cuo'wu'kuo'san
错误类别,cuo'wu'lei'bie
错误模式,cuo'wu'mo'shi
错误诊断,cuo'wu'zhen'duan
大型计算机,da'xing'ji'suan'ji
打印机托架,da'yin'ji'tuo'jia
打印质量,da'yin'zhi'liang
带符号,dai'fu'hao
代码扩充,dai'ma'kuo'chong
代码移动,dai'ma'yi'dong
代码转换器,dai'ma'zhuan'huan'qi
带头,dai'tou
单板计算机,dan'ban'ji'suan'ji
单播,dan'bo
单步法,dan'bu'fa
单纯形,dan'chun'xing
单点故障,dan'dian'gu'zhang
单调曲率螺线,dan'diao'qu'lv'luo'xian
单调推理,dan'diao'tui'li
单个地址,dan'ge'di'zhi
单击,dan'ji
单列直插封装,dan'lie'zhi'cha'feng'zhuang
单列直插式内存组件,dan'lie'zhi'cha'shi'nei'cun'zu'jian
单片系统,dan'pian'xi'tong
单色显示适配器,dan'se'xian'shi'shi'pei'qi
单事件锁定,dan'shi'jian'suo'ding
单位,dan'wei
单向栈自动机,dan'xiang'zhan'zi'dong'ji
单一编址空间,dan'yi'bian'zhi'kong'jian
单元测试,dan'yuan'ce'shi
单指令流多数据流,dan'zhi'ling'liu'duo'shu'ju'liu
单总线,dan'zong'xian
档案文件,dang'an'wen'jian
当前优先级,dang'qian'you'xian'ji
导出规则,dao'chu'gui'ze
倒焊,dao'han
导入规约,dao'ru'gui'yue
等价关系,deng'jia'guan'xi
等式逻辑,deng'shi'luo'ji
等值线图,deng'zhi'xian'tu
低电压正电源射极耦合逻辑,di'dian'ya'zheng'dian'yuan'she'ji'ou'he'luo'ji
递归计算,di'gui'ji'suan
递归语言,di'gui'yu'yan
低级格式化,di'ji'ge'shi'hua
低级语言,di'ji'yu'yan
递阶控制,di'jie'kong'zhi
第三代语言,di'san'dai'yu'yan
第五代计算机,di'wu'dai'ji'suan'ji
第一代计算机,di'yi'dai'ji'suan'ji
地址总线,di'zhi'zong'xian
点对点连接,dian'dui'dian'lian'jie
电荷耦合存储器,dian'he'ou'he'cun'chu'qi
点击设备,dian'ji'she'bei
电路交换数据网,dian'lu'jiao'huan'shu'ju'wang
电平敏感扫描设计,dian'ping'min'gan'sao'miao'she'ji
电容式触摸屏,dian'rong'shi'chu'mo'ping
电压阶跃,dian'ya'jie'yue
电源控制微码,dian'yuan'kong'zhi'wei'ma
点阵打印机,dian'zhen'da'yin'ji
电灼式印刷机,dian'zhuo'shi'yin'shua'ji
电子表格,dian'zi'biao'ge
电子媒体,dian'zi'mei'ti
电子市场,dian'zi'shi'chang
电子文本,dian'zi'wen'ben
电阻损耗,dian'zu'sun'hao
调度表,diao'du'biao
调用者,diao'yong'zhe
叠片式磁头,die'pian'shi'ci'tou
定点数,ding'dian'shu
定时炸弹,ding'shi'zha'dan
定性描述,ding'xing'miao'shu
定义域,ding'yi'yu
冻结标记,dong'jie'biao'ji
动态重定位,dong'tai'chong'ding'wei
动态错误,dong'tai'cuo'wu
动态地址转换,dong'tai'di'zhi'zhuan'huan
动态分配,dong'tai'fen'pei
动态规划法,dong'tai'gui'hua'fa
动态控制,dong'tai'kong'zhi
动态扭斜,dong'tai'niu'xie
独立程序,du'li'cheng'xu
度量,du'liang
读写磁头,du'xie'ci'tou
读写孔,du'xie'kong
读写周期,du'xie'zhou'qi
读信号,du'xin'hao
端接电阻器,duan'jie'dian'zu'qi
短线,duan'xian
断言,duan'yan
对比度扩展,dui'bi'du'kuo'zhan
对比灵敏度,dui'bi'ling'min'du
对称式多处理机,dui'chen'shi'duo'chu'li'ji
对话控制块,dui'hua'kong'zhi'kuai
对角线测试,dui'jiao'xian'ce'shi
对流,dui'liu
堆排序,dui'pai'xu
对象建模技术,dui'xiang'jian'mo'ji'shu
对象连接,dui'xiang'lian'jie
多层模式,duo'ceng'mo'shi
多处理器,duo'chu'li'qi
多地址计算机,duo'di'zhi'ji'suan'ji
多点控制器,duo'dian'kong'zhi'qi
多点通信,duo'dian'tong'xin
多端口存储器,duo'duan'kou'cun'chu'qi
多分辨率分析,duo'fen'bian'lv'fen'xi
多工序实体造型,duo'gong'xu'shi'ti'zao'xing
多故障,duo'gu'zhang
多回路控制,duo'hui'lu'kong'zhi
多级高速缓存,duo'ji'gao'su'huan'cun
多级网络,duo'ji'wang'luo
多路转换通道,duo'lu'zhuan'huan'tong'dao
多媒体计算机,duo'mei'ti'ji'suan'ji
多媒体数据模型,duo'mei'ti'shu'ju'mo'xing
多米诺效应,duo'mi'nuo'xiao'ying
多面体裁剪,duo'mian'ti'cai'jian
多面体模型,duo'mian'ti'mo'xing
多任务管理,duo'ren'wu'guan'li
多属性决策系统,duo'shu'xing'jue'ce'xi'tong
多头图灵机,duo'tou'tu'ling'ji
多项式对数时间,duo'xiang'shi'dui'shu'shi'jian
多项式可归约的,duo'xiang'shi'ke'gui'yue'de
多用户,duo'yong'hu
多用户系统,duo'yong'hu'xi'tong
多值逻辑,duo'zhi'luo'ji
多重集,duo'zhong'ji
多周期实现,duo'zhou'qi'shi'xian
额定负载,e'ding'fu'zai
二叉排序树,er'cha'pai'xu'shu
二叉判定图,er'cha'pan'ding'tu
二次型性能指标,er'ci'xing'xing'neng'zhi'biao
二点透视,er'dian'tou'shi
二级高速缓存,er'ji'gao'su'huan'cun
二阶参数连续,er'jie'can'shu'lian'xu
二元关系,er'yuan'guan'xi
发射,fa'she
反编译程序,fan'bian'yi'cheng'xu
反冲,fan'chong
范畴,fan'chou
反传网络,fan'chuan'wang'luo
反读,fan'du
泛关系,fan'guan'xi
反馈边集合,fan'kui'bian'ji'he
范例,fan'li
范例修正,fan'li'xiu'zheng
反射体,fan'she'ti
范式,fan'shi
范围,fan'wei
反向恢复,fan'xiang'hui'fu
反向局域网信道,fan'xiang'ju'yu'wang'xin'dao
防病毒,fang'bing'du
放缩,fang'suo
方位角磁记录,fang'wei'jiao'ci'ji'lu
访问共享,fang'wen'gong'xiang
仿真,fang'zhen
非屏蔽双绞线,fei'ping'bi'shuang'jiao'xian
非确定计算,fei'que'ding'ji'suan
非确定型有穷自动机,fei'que'ding'xing'you'qiong'zi'dong'ji
非易失性存储器,fei'yi'shi'xing'cun'chu'qi
非预定维修,fei'yu'ding'wei'xiu
分布等待图,fen'bu'deng'dai'tu
分布电容,fen'bu'dian'rong
分布负载,fen'bu'fu'zai
分布式程序设计,fen'bu'shi'cheng'xu'she'ji
分布式多媒体,fen'bu'shi'duo'mei'ti
分布式计算机,fen'bu'shi'ji'suan'ji
分布式控制,fen'bu'shi'kong'zhi
分布式排序算法,fen'bu'shi'pai'xu'suan'fa
分布式人工智能,fen'bu'shi'ren'gong'zhi'neng
分布式数据库,fen'bu'shi'shu'ju'ku
分段,fen'duan
分级网,fen'ji'wang
分立电路,fen'li'dian'lu
分派,fen'pai
分片模式,fen'pian'mo'shi
分情况语句,fen'qing'kuang'yu'ju
分区表,fen'qu'biao
分散式处理,fen'san'shi'chu'li
分时操作系统,fen'shi'cao'zuo'xi'tong
分时动态分配程序,fen'shi'dong'tai'fen'pei'cheng'xu
分时就绪方式,fen'shi'jiu'xu'fang'shi
分时控制任务,fen'shi'kong'zhi'ren'wu
分析攻击,fen'xi'gong'ji
分析阶段,fen'xi'jie'duan
分析属性,fen'xi'shu'xing
分支限界搜索,fen'zhi'xian'jie'sou'suo
峰值检测,feng'zhi'jian'ce
副本,fu'ben
浮动块,fu'dong'kuai
幅度分割,fu'du'fen'ge
符号分析,fu'hao'fen'xi
符号逻辑,fu'hao'luo'ji
符号智能,fu'hao'zhi'neng
符号执行,fu'hao'zhi'xing
赋逻辑论,fu'luo'ji'lun
附属处理器,fu'shu'chu'li'qi
复位,fu'wei
服务发起者,fu'wu'fa'qi'zhe
服务例程,fu'wu'li'cheng
负跃变,fu'yue'bian
负载,fu'zai
辅助副本,fu'zhu'fu'ben
概率密度,gai'lv'mi'du
概念模型,gai'nian'mo'xing
概念图,gai'nian'tu
盖写,gai'xie
高阶语言,gao'jie'yu'yan
高宽比,gao'kuan'bi
高密度组装,gao'mi'du'zu'zhuang
高速缓存,gao'su'huan'cun
高维索引,gao'wei'suo'yin
高性能计算机,gao'xing'neng'ji'suan'ji
哥德尔配数,ge'de'er'pei'shu
隔行,ge'hang
个人计算机,ge'ren'ji'suan'ji
格式化容量,ge'shi'hua'rong'liang
个性标记,ge'xing'biao'ji
铬氧磁带,ge'yang'ci'dai
更新事务处理,geng'xin'shi'wu'chu'li
公共对象模型,gong'gong'dui'xiang'mo'xing
公共接地点,gong'gong'jie'di'dian
公共资源,gong'gong'zi'yuan
公理复杂性,gong'li'fu'za'xing
功率密度,gong'lv'mi'du
功能块,gong'neng'kuai
功能设计,gong'neng'she'ji
公平网,gong'ping'wang
公平性,gong'ping'xing
共享高速缓存,gong'xiang'gao'su'huan'cun
共享虚拟区,gong'xiang'xu'ni'qu
工业标准体系结构,gong'ye'biao'zhun'ti'xi'jie'gou
工业计算机,gong'ye'ji'suan'ji
公正,gong'zheng
工作流,gong'zuo'liu
工作温度,gong'zuo'wen'du
构件块,gou'jian'kuai
构件软件工程,gou'jian'ruan'jian'gong'cheng
构造程序,gou'zao'cheng'xu
构造性证明,gou'zao'xing'zheng'ming
固定字长,gu'ding'zi'chang
孤儿消息,gu'er'xiao'xi
故事分析,gu'shi'fen'xi
固有多义性,gu'you'duo'yi'xing
故障,gu'zhang
故障包容,gu'zhang'bao'rong
故障测试,gu'zhang'ce'shi
故障等效,gu'zhang'deng'xiao
故障定位测试,gu'zhang'ding'wei'ce'shi
故障冻结,gu'zhang'dong'jie
故障矩阵,gu'zhang'ju'zhen
故障模拟,gu'zhang'mo'ni
故障弱化能力,gu'zhang'ruo'hua'neng'li
故障诊断程序,gu'zhang'zhen'duan'cheng'xu
故障注入,gu'zhang'zhu'ru
挂起时间,gua'qi'shi'jian
观察学习,guan'cha'xue'xi
观察允许角,guan'cha'yun'xu'jiao
管理程序,guan'li'cheng'xu
管理程序调用中断,guan'li'cheng'xu'diao'yong'zhong'duan
管理计算机,guan'li'ji'suan'ji
关联处理机,guan'lian'chu'li'ji
关联失效,guan'lian'shi'xiao
关系逻辑,guan'xi'luo'ji
关系系统,guan'xi'xi'tong
惯性矩,guan'xing'ju
光碟,guang'die
光碟读头,guang'die'du'tou
光碟塔,guang'die'ta
光记录介质,guang'ji'lu'jie'zhi
光栅扫描,guang'shan'sao'miao
光学图像,guang'xue'tu'xiang
广义随机距离网,guang'yi'sui'ji'ju'li'wang
硅编译器,gui'bian'yi'qi
归并,gui'bing
规范名,gui'fan'ming
规格化处理,gui'ge'hua'chu'li
规划系统,gui'hua'xi'tong
归零道,gui'ling'dao
归纳公理,gui'na'gong'li
归纳逻辑程序设计,gui'na'luo'ji'cheng'xu'she'ji
归约机,gui'yue'ji
过程同步,guo'cheng'tong'bu
国家信息基础设施,guo'jia'xin'xi'ji'chu'she'shi
过孔,guo'kong
过期数据,guo'qi'shu'ju
哈密顿回路,ha'mi'dun'hui'lu
哈密顿回路问题,ha'mi'dun'hui'lu'wen'ti
汉明码,han'ming'ma
函数,han'shu
汉语,han'yu
汉语生成,han'yu'sheng'cheng
汉语信息处理,han'yu'xin'xi'chu'li
汉语语音识别,han'yu'yu'yin'shi'bie
汉字编码,han'zi'bian'ma
汉字编码技术,han'zi'bian'ma'ji'shu
汉字扩展内码规范,han'zi'kuo'zhan'nei'ma'gui'fan
汉字流通频度,han'zi'liu'tong'pin'du
汉字喷墨印刷机,han'zi'pen'mo'yin'shua'ji
汉字终端,han'zi'zhong'duan
行地址选通,hang'di'zhi'xuan'tong
行主向量存储,hang'zhu'xiang'liang'cun'chu
合成器,he'cheng'qi
合成视频,he'cheng'shi'pin
合取范式,he'qu'fan'shi
盒式磁带,he'shi'ci'dai
盒式磁盘,he'shi'ci'pan
合一部件,he'yi'bu'jian
黑板协调,hei'ban'xie'tiao
黑底屏,hei'di'ping
黑箱测试,hei'xiang'ce'shi
黑信号,hei'xin'hao
恒线速度,heng'xian'su'du
横向检验,heng'xiang'jian'yan
横向扫描,heng'xiang'sao'miao
后备软盘,hou'bei'ruan'pan
厚层压板,hou'ceng'ya'ban
后端网,hou'duan'wang
后加安全,hou'jia'an'quan
后进先出,hou'jin'xian'chu
后门,hou'men
后台任务,hou'tai'ren'wu
后同步码,hou'tong'bu'ma
互换性,hu'huan'xing
呼叫进行信号,hu'jiao'jin'xing'xin'hao
划分算法,hua'fen'suan'fa
话音,hua'yin
话语分析,hua'yu'fen'xi
缓冲器,huan'chong'qi
环境映射,huan'jing'ying'she
唤醒,huan'xing
汇编语言,hui'bian'yu'yan
灰度变换,hui'du'bian'huan
恢复能力,hui'fu'neng'li
会话层,hui'hua'ceng
回叫,hui'jiao
回路,hui'lu
回扫时间,hui'sao'shi'jian
回送,hui'song
回弹力,hui'tan'li
绘图机,hui'tu'ji
混合结构,hun'he'jie'gou
混洗交换,hun'xi'jiao'huan
基本块,ji'ben'kuai
畸变,ji'bian
集成自动化,ji'cheng'zi'dong'hua
寄存器长度,ji'cun'qi'chang'du
击打式打印机,ji'da'shi'da'yin'ji
击打噪声,ji'da'zao'sheng
计费,ji'fei
积分控制,ji'fen'kong'zhi
激光印刷机,ji'guang'yin'shua'ji
几何平均,ji'he'ping'jun
级联,ji'lian
计量语言学,ji'liang'yu'yan'xue
机器翻译评价,ji'qi'fan'yi'ping'jia
机器浪费时间,ji'qi'lang'fei'shi'jian
机器码,ji'qi'ma
机器人学,ji'qi'ren'xue
机器运行,ji'qi'yun'xing
寄生电容,ji'sheng'dian'rong
基数排序,ji'shu'pai'xu
计算机操作指导,ji'suan'ji'cao'zuo'zhi'dao
计算机辅助测试,ji'suan'ji'fu'zhu'ce'shi
计算机辅助工程设计,ji'suan'ji'fu'zhu'gong'cheng'she'ji
计算机辅助后勤保障,ji'suan'ji'fu'zhu'hou'qin'bao'zhang
计算机辅助教学,ji'suan'ji'fu'zhu'jiao'xue
计算机技术,ji'suan'ji'ji'shu
计算机控制,ji'suan'ji'kong'zhi
计算机理解,ji'suan'ji'li'jie
计算机体系结构,ji'suan'ji'ti'xi'jie'gou
计算机显示,ji'suan'ji'xian'shi
计算机疫苗,ji'suan'ji'yi'miao
计算机硬件,ji'suan'ji'ying'jian
计算机应用技术,ji'suan'ji'ying'yong'ji'shu
计算机专业词汇,ji'suan'ji'zhuan'ye'ci'hui
极限优先级,ji'xian'you'xian'ji
机械学习,ji'xie'xue'xi
基于代价的查询优化,ji'yu'dai'jia'de'cha'xun'you'hua
基于类型理论的方法,ji'yu'lei'xing'li'lun'de'fang'fa
迹语言,ji'yu'yan
基于知识的推理,ji'yu'zhi'shi'de'tui'li
基于知识的咨询系统,ji'yu'zhi'shi'de'zi'xun'xi'tong
机制,ji'zhi
集中式缓冲池,ji'zhong'shi'huan'chong'chi
基准网络,ji'zhun'wang'luo
基准线,ji'zhun'xian
加法器,jia'fa'qi
加密,jia'mi
加密协议,jia'mi'xie'yi
加权同步距离,jia'quan'tong'bu'ju'li
假色,jia'se
加锁,jia'suo
假信号,jia'xin'hao
鉴别,jian'bie
鉴别信息,jian'bie'xin'xi
检查表,jian'cha'biao
检查程序,jian'cha'cheng'xu
监督控制,jian'du'kong'zhi
简洁性,jian'jie'xing
键码,jian'ma
兼容性,jian'rong'xing
监视器,jian'shi'qi
减速时间,jian'su'shi'jian
检索,jian'suo
检索型业务,jian'suo'xing'ye'wu
键位布局,jian'wei'bu'ju
检验板测试,jian'yan'ban'ce'shi
检验电路,jian'yan'dian'lu
检验码,jian'yan'ma
检验位,jian'yan'wei
减震器,jian'zhen'qi
降级运行,jiang'ji'yun'xing
脚本,jiao'ben
交叉存储器,jiao'cha'cun'chu'qi
交叉开关,jiao'cha'kai'guan
交叉链接文件,jiao'cha'lian'jie'wen'jian
交叉耦合,jiao'cha'ou'he
角度位置传感器,jiao'du'wei'zhi'chuan'gan'qi
交互错误,jiao'hu'cuo'wu
交互故障,jiao'hu'gu'zhang
交互式查找,jiao'hu'shi'cha'zhao
交互式批处理,jiao'hu'shi'pi'chu'li
交互式协议,jiao'hu'shi'xie'yi
交互式证明,jiao'hu'shi'zheng'ming
交互运作,jiao'hu'yun'zuo
交换排列,jiao'huan'pai'lie
交谈服务,jiao'tan'fu'wu
接触压力,jie'chu'ya'li
接地系统,jie'di'xi'tong
结点,jie'dian
截断误差,jie'duan'wu'cha
结构,jie'gou
结构冲突,jie'gou'chong'tu
结构分页系统,jie'gou'fen'ye'xi'tong
接口,jie'kou
接口分析,jie'kou'fen'xi
截面,jie'mian
解释程序,jie'shi'cheng'xu
进程存储器开关表示,jin'cheng'cun'chu'qi'kai'guan'biao'shi
进程同步,jin'cheng'tong'bu
紧急断电,jin'ji'duan'dian
金属化陶瓷模块,jin'shu'hua'tao'ci'mo'kuai
近似算法,jin'si'suan'fa
禁用字符,jin'yong'zi'fu
禁止电路,jin'zhi'dian'lu
禁止脉冲,jin'zhi'mai'chong
禁止状态,jin'zhi'zhuang'tai
金字塔结构,jin'zi'ta'jie'gou
静电绘图机,jing'dian'hui'tu'ji
精简指令,jing'jian'zhi'ling
精简指令集计算机,jing'jian'zhi'ling'ji'ji'suan'ji
静态缓冲区分配,jing'tai'huan'chong'qu'fen'pei
静态冒险,jing'tai'mao'xian
静态随机存储器,jing'tai'sui'ji'cun'chu'qi
静态相关性检查,jing'tai'xiang'guan'xing'jian'cha
静态字词重码率,jing'tai'zi'ci'chong'ma'lv
晶体管晶体管逻辑,jing'ti'guan'jing'ti'guan'luo'ji
竞争变迁,jing'zheng'bian'qian
静止图像,jing'zhi'tu'xiang
就绪,jiu'xu
巨磁变阻头,ju'ci'bian'zu'tou
聚光,ju'guang
聚集,ju'ji
拒绝服务,ju'jue'fu'wu
句型,ju'xing
局域网单个地址,ju'yu'wang'dan'ge'di'zhi
句子歧义消除,ju'zi'qi'yi'xiao'chu
卷回恢复,juan'hui'hui'fu
决策函数,jue'ce'han'shu
决策控制,jue'ce'kong'zhi
决策问题,jue'ce'wen'ti
绝对分辨率,jue'dui'fen'bian'lv
均衡器,jun'heng'qi
卡洛变换,ka'luo'bian'huan
卡片读入机,ka'pian'du'ru'ji
卡纸,ka'zhi
开发进展,kai'fa'jin'zhan
开关电流,kai'guan'dian'liu
开关时间,kai'guan'shi'jian
开始符号,kai'shi'fu'hao
抗震,kang'zhen
可安装性,ke'an'zhuang'xing
可编程逻辑阵列,ke'bian'cheng'luo'ji'zhen'lie
可擦可编程只读存储器,ke'ca'ke'bian'cheng'zhi'du'cun'chu'qi
可穿戴计算机,ke'chuan'dai'ji'suan'ji
可存取性,ke'cun'qu'xing
可达标识集,ke'da'biao'zhi'ji
可达标识图,ke'da'biao'zhi'tu
可分页区域,ke'fen'ye'qu'yu
可覆盖图,ke'fu'gai'tu
可复用构件,ke'fu'yong'gou'jian
可管理性,ke'guan'li'xing
可归约性,ke'gui'yue'xing
可计算函数,ke'ji'suan'han'shu
可靠性分析,ke'kao'xing'fen'xi
可靠性工程,ke'kao'xing'gong'cheng
可靠性数据,ke'kao'xing'shu'ju
可靠性统计,ke'kao'xing'tong'ji
可扩充性,ke'kuo'chong'xing
可扩缩一致性接口,ke'kuo'suo'yi'zhi'xing'jie'kou
可扩展置标语言,ke'kuo'zhan'zhi'biao'yu'yan
可视编程语言,ke'shi'bian'cheng'yu'yan
可维护性,ke'wei'hu'xing
可信度函数,ke'xin'du'han'shu
可信计算,ke'xin'ji'suan
可修改性,ke'xiu'gai'xing
空集,kong'ji
空间,kong'jian
空间局部性,kong'jian'ju'bu'xing
空间需要量,kong'jian'xu'yao'liang
空间有界图灵机,kong'jian'you'jie'tu'ling'ji
空气流,kong'qi'liu
控制顶点,kong'zhi'ding'dian
控制工程,kong'zhi'gong'cheng
控制精度,kong'zhi'jing'du
控制流程图,kong'zhi'liu'cheng'tu
控制系统,kong'zhi'xi'tong
控制箱,kong'zhi'xiang
控制字符,kong'zhi'zi'fu
口令句,kou'ling'ju
跨接,kua'jie
块净荷,kuai'jing'he
扩充转移网络语法,kuo'chong'zhuan'yi'wang'luo'yu'fa
扩展视频图形适配器,kuo'zhan'shi'pin'tu'xing'shi'pei'qi
扩张规则,kuo'zhang'gui'ze
拉偏测试,la'pian'ce'shi
老化试验,lao'hua'shi'yan
累加寄存器,lei'jia'ji'cun'qi
冷启动,leng'qi'dong
例程,li'cheng
立即地址,li'ji'di'zhi
离散对数问题,li'san'dui'shu'wen'ti
