按钮,an'niu
接地扁铁,jie'di'bian'tie
接地刀闸,jie'di'dao'zha
接地外露,jie'di'wai'lu
接地网调试,jie'di'wang'tiao'shi
接地引下线,jie'di'yin'xia'xian
接地引下线被盗,jie'di'yin'xia'xian'bei'dao
接地圆钢,jie'di'yuan'gang
结论,jie'lun
截面,jie'mian
接头温度,jie'tou'wen'du
接线端子,jie'xian'duan'zi
接线端子板,jie'xian'duan'zi'ban
接新建段,jie'xin'jian'duan
紧急事故停机,jin'ji'shi'gu'ting'ji
金具,jin'ju
静态,jing'tai
距离,ju'li
距离保护,ju'li'bao'hu
绝缘电阻表,jue'yuan'dian'zu'biao
绝缘靴子绝缘手套,jue'yuan'xue'zi'jue'yuan'shou'tao
绝缘罩,jue'yuan'zhao
绝缘子,jue'yuan'zi
绝缘子试验,jue'yuan'zi'shi'yan
竣工报告,jun'gong'bao'gao
开关站,kai'guan'zhan
砍修树木,kan'xiu'shu'mu
抗干扰能力,kang'gan'rao'neng'li
可靠动作,ke'kao'dong'zuo
可倾瓦,ke'qing'wa
空侧,kong'ce
空导,kong'dao
空冷,kong'leng
空心导线,kong'xin'dao'xian
空载电流,kong'zai'dian'liu
空载损耗,kong'zai'sun'hao
控制按钮,kong'zhi'an'niu
苦莲子,ku'lian'zi
库容量,ku'rong'liang
快速地刀,kuai'su'de'dao
框图,kuang'tu
馈线柜,kui'xian'gui
拉棒,la'bang
拉盘,la'pan
拉线,la'xian
拉线绝缘子,la'xian'jue'yuan'zi
拉线麻箍,la'xian'ma'gu
拉线太松,la'xian'tai'song
拉闸限电,la'zha'xian'dian
浪涌保护器,lang'yong'bao'hu'qi
冷备用,leng'bei'yong
冷却水温度表,leng'que'shui'wen'du'biao
冷却水中断,leng'que'shui'zhong'duan
篱笆剪,li'ba'jian
励磁,li'ci
励磁电流转子电流,li'ci'dian'liu'zhuan'zi'dian'liu
励磁机,li'ci'ji
励磁机端,li'ci'ji'duan
励磁器,li'ci'qi
励端,li'duan
隶属函数,li'shu'han'shu
离线,li'xian
领料人,ling'liao'ren
领料日期,ling'liao'ri'qi
领料用途,ling'liao'yong'tu
灵敏性,ling'min'xing
零序保护,ling'xu'bao'hu
零序电流保护,ling'xu'dian'liu'bao'hu
零序阻抗,ling'xu'zu'kang
漏电断路器,lou'dian'duan'lu'qi
落点,luo'dian
螺栓,luo'shuan
螺栓型耐张线夹,luo'shuan'xing'nai'zhang'xian'jia
铝包带,lv'bao'dai
铝并沟线夹,lv'bing'gou'xian'jia
铝接续管,lv'jie'xu'guan
铝排,lv'pai
麻箍,ma'gu
麻线,ma'xian
每相电流,mei'xiang'dian'liu
门槛值,men'kan'zhi
名称,ming'cheng
模糊规则,mo'hu'gui'ze
模糊控制,mo'hu'kong'zhi
模糊神经网络,mo'hu'shen'jing'wang'luo
模糊推理,mo'hu'tui'li
模糊推理矩阵,mo'hu'tui'li'ju'zhen
母线,mu'xian
母线保护,mu'xian'bao'hu
耐张,nai'zhang
耐张段,nai'zhang'duan
耐张线夹,nai'zhang'xian'jia
南方电网公司,nan'fang'dian'wang'gong'si
能量输送,neng'liang'shu'song
配电系统,pei'dian'xi'tong
配电箱,pei'dian'xiang
偏移,pian'yi
偏移量,pian'yi'liang
频率,pin'lv
频率变阻器,pin'lv'bian'zu'qi
频率表,pin'lv'biao
坪空线,ping'kong'xian
破坏,po'huai
启动器,qi'dong'qi
起动失败停机,qi'dong'shi'bai'ting'ji
汽端,qi'duan
其它故障显示及输入,qi'ta'gu'zhang'xian'shi'ji'shu'ru
起重滑车,qi'zhong'hua'che
起子,qi'zi
千阀,qian'fa
千伏安,qian'fu'an
千瓦,qian'wa
钳型接地电阻测试仪,qian'xing'jie'di'dian'zu'ce'shi'yi
墙档,qiang'dang
强行励磁,qiang'xing'li'ci
切机,qie'ji
氢侧,qing'ce
清单,qing'dan
倾斜比,qing'xie'bi
倾斜方向,qing'xie'fang'xiang
倾斜值,qing'xie'zhi
求和器,qiu'he'qi
球头,qiu'tou
球头挂环,qiu'tou'gua'huan
区内故障,qu'nei'gu'zhang
全面地,quan'mian'di
热备用,re'bei'yong
热电偶,re'dian'ou
热继电器,re'ji'dian'qi
热控,re'kong
日期,ri'qi
熔断器,rong'duan'qi
容量,rong'liang
容器熔,rong'qi'rong
三角形隶属度函数,san'jiao'xing'li'shu'du'han'shu
三菱,san'ling
三绕组变压器,san'rao'zu'bian'ya'qi
三相电度表,san'xiang'dian'du'biao
三相电压,san'xiang'dian'ya
三相故障,san'xiang'gu'zhang
三相钳型电力参数向量仪,san'xiang'qian'xing'dian'li'can'shu'xiang'liang'yi
三相三线三相三线,san'xiang'san'xian'san'xiang'san'xian
三相四线,san'xiang'si'xian
沙树,sha'shu
山体下滑,shan'ti'xia'hua
上限,shang'xian
设备缺陷,she'bei'que'xian
审核人,shen'he'ren
神经网络,shen'jing'wang'luo
神经元,shen'jing'yuan
声控开关,sheng'kong'kai'guan
升压变压器,sheng'ya'bian'ya'qi
实测弧垂,shi'ce'hu'chui
视点高,shi'dian'gao
施工单位,shi'gong'dan'wei
事故底油压,shi'gu'di'you'ya
事故停机,shi'gu'ting'ji
实际决算费用,shi'ji'jue'suan'fei'yong
实际完成日期,shi'ji'wan'cheng'ri'qi
实际完成主要工作量,shi'ji'wan'cheng'zhu'yao'gong'zuo'liang
时间继电器,shi'jian'ji'dian'qi
时控开关,shi'kong'kai'guan
失灵保护,shi'ling'bao'hu
失去同步,shi'qu'tong'bu
试验静拉力,shi'yan'jing'la'li
试验人,shi'yan'ren
试验日期,shi'yan'ri'qi
试验时间,shi'yan'shi'jian
失真,shi'zhen
受端,shou'duan
首末端断路器编号,shou'mo'duan'duan'lu'qi'bian'hao
输变电分公司,shu'bian'dian'fen'gong'si
输电距离,shu'dian'ju'li
输电系统,shu'dian'xi'tong
输电线,shu'dian'xian
输电线路故障,shu'dian'xian'lu'gu'zhang
数量,shu'liang
数字万用表,shu'zi'wan'yong'biao
双电源,shuang'dian'yuan
双回同杆并架,shuang'hui'tong'gan'bing'jia
双绕组变压器,shuang'rao'zu'bian'ya'qi
双水内冷,shuang'shui'nei'leng
水冷,shui'leng
水平档距,shui'ping'dang'ju
水氢氢,shui'qing'qing
四分线损,si'fen'xian'sun
松嘎线,song'ga'xian
送配电装置系统调试,song'pei'dian'zhuang'zhi'xi'tong'tiao'shi
松树,song'shu
算法,suan'fa
损坏,sun'huai
塔材被盗,ta'cai'bei'dao
塔材损伤,ta'cai'sun'shang
塔脚,ta'jiao
塔脚回填土,ta'jiao'hui'tian'tu
藤子,teng'zi
填报单位,tian'bao'dan'wei
填报人,tian'bao'ren
填报日期,tian'bao'ri'qi
调节,tiao'jie
调节仪,tiao'jie'yi
条例,tiao'li
铁损,tie'sun
铁塔,tie'ta
铁芯,tie'xin
铁心,tie'xin
停机备用,ting'ji'bei'yong
听洒线,ting'sa'xian
铜鼻子,tong'bi'zi
同步,tong'bu
铜电偶,tong'dian'ou
统计,tong'ji
铜铝鼻子,tong'lv'bi'zi
铜排,tong'pai
铜损,tong'sun
投运,tou'yun
投运时间,tou'yun'shi'jian
土质,tu'zhi
碗头推板,wan'tou'tui'ban
万用表,wan'yong'biao
微动开关,wei'dong'kai'guan
危险,wei'xian
位移,wei'yi
稳定,wen'ding
温度,wen'du
温度环境,wen'du'huan'jing
温控仪,wen'kong'yi
误动作,wu'dong'zuo
无功,wu'gong
无功补偿,wu'gong'bu'chang
无功电流,wu'gong'dian'liu
无功负载,wu'gong'fu'zai
无功功率,wu'gong'gong'lv
无功损耗,wu'gong'sun'hao
无刷励磁机,wu'shua'li'ci'ji
西北电力设计院,xi'bei'dian'li'she'ji'yuan
西门子,xi'men'zi
西屋,xi'wu
下沉,xia'chen
下降率,xia'jiang'lv
下降特性,xia'jiang'te'xing
下限,xia'xian
线夹,xian'jia
线径,xian'jing
线路,xian'lu
线路补偿器,xian'lu'bu'chang'qi
线路长度,xian'lu'chang'du
线路快速接地刀闸,xian'lu'kuai'su'jie'di'dao'zha
线路名称,xian'lu'ming'cheng
相别,xiang'bie
相减运算,xiang'jian'yun'suan
橡胶树,xiang'jiao'shu
项目名称,xiang'mu'ming'cheng
项目依据,xiang'mu'yi'ju
箱式变压器,xiang'shi'bian'ya'qi
小波变换,xiao'bo'bian'huan
硝厂,xiao'chang
消除合计,xiao'chu'he'ji
消除及时率,xiao'chu'ji'shi'lv
削皮器,xiao'pi'qi
消缺率,xiao'que'lv
小水电,xiao'shui'dian
消谐器,xiao'xie'qi
小型断路器,xiao'xing'duan'lu'qi
谐波电流,xie'bo'dian'liu
泄漏电流,xie'lou'dian'liu
斜率,xie'lv
楔型线夹,xie'xing'xian'jia
楔形线夹,xie'xing'xian'jia
信号灯,xin'hao'deng
行程开关,xing'cheng'kai'guan
型环,xing'huan
型螺栓,xing'luo'shuan
型线夹,xing'xian'jia
修改的,xiu'gai'de
修砍树木,xiu'kan'shu'mu
须更换,xu'geng'huan
序号,xu'hao
需修,xu'xiu
悬锤线夹,xuan'chui'xian'jia
悬挂,xuan'gua
悬式绝缘子,xuan'shi'jue'yuan'zi
学报,xue'bao
压模,ya'mo
延迟变换,yan'chi'bian'huan
延迟时间,yan'chi'shi'jian
研究方向,yan'jiu'fang'xiang
样本集合,yang'ben'ji'he
样本空间,yang'ben'kong'jian
摇摆,yao'bai
遥测,yao'ce
遥信,yao'xin
液压冲孔机压模,ye'ya'chong'kong'ji'ya'mo
液压机压模,ye'ya'ji'ya'mo
液压接续管,ye'ya'jie'xu'guan
液压钳,ye'ya'qian
遗留问题,yi'liu'wen'ti
一蓬,yi'peng
一松线,yi'song'xian
一窝蜂,yi'wo'feng
银粉漆,yin'fen'qi
引流线,yin'liu'xian
引下线,yin'xia'xian
荧光灯,ying'guang'deng
应急灯,ying'ji'deng
用电需求管理,yong'dian'xu'qiu'guan'li
有功,you'gong
有功负载,you'gong'fu'zai
有功功率,you'gong'gong'lv
有功损耗,you'gong'sun'hao
油漆刷,you'qi'shua
裕度,yu'du
预付费电度表,yu'fu'fei'dian'du'biao
玉米,yu'mi
运行,yun'xing
运行单位,yun'xing'dan'wei
运行转速,yun'xing'zhuan'su
允许使用荷重,yun'xu'shi'yong'he'zhong
杂草,za'cao
杂树,za'shu
暂态分量,zan'tai'fen'liang
暂态行波,zan'tai'hang'bo
暂态稳定,zan'tai'wen'ding
责任有限公司,ze'ren'you'xian'gong'si
照明灯具,zhao'ming'deng'ju
兆瓦,zhao'wa
针式瓷瓶,zhen'shi'ci'ping
正泰冶炼厂,zheng'tai'ye'lian'chang
正序阻抗,zheng'xu'zu'kang
之间,zhi'jian
直角挂板,zhi'jiao'gua'ban
直流电抗器,zhi'liu'dian'kang'qi
植物,zhi'wu
直线单杆,zhi'xian'dan'gan
重大缺陷,zhong'da'que'xian
中电投集团公司,zhong'dian'tou'ji'tuan'gong'si
中国大唐集团公司,zhong'guo'da'tang'ji'tuan'gong'si
中国电力,zhong'guo'dian'li
中间继电器,zhong'jian'ji'dian'qi
中线电流,zhong'xian'dian'liu
中心环,zhong'xin'huan
中压,zhong'ya
轴承,zhou'cheng
轴瓦,zhou'wa
主变中性点刀闸,zhu'bian'zhong'xing'dian'dao'zha
珠海供电局,zhu'hai'gong'dian'ju
主令开关,zhu'ling'kai'guan
主配拒动,zhu'pei'ju'dong
柱上变压器,zhu'shang'bian'ya'qi
柱上开关,zhu'shang'kai'guan
竹子,zhu'zi
转换开关,zhuan'huan'kai'guan
转子,zhuan'zi
转子电枢,zhuan'zi'dian'shu
装机容量,zhuang'ji'rong'liang
自动开关,zi'dong'kai'guan
自适应控制方法,zi'shi'ying'kong'zhi'fang'fa
自适应系统,zi'shi'ying'xi'tong
子系统,zi'xi'tong
自学习功能,zi'xue'xi'gong'neng
组合开关,zu'he'kai'guan
阻抗,zu'kang
阻尼,zu'ni
最低电流,zui'di'dian'liu
最低电压,zui'di'dian'ya
最高电流,zui'gao'dian'liu
最高电压,zui'gao'dian'ya
