耙耧地,ba'lou'di
脊梁杆子,ji'liang'gan'zi
虮蝇,ji'ying
夹箭窝,jia'jian'wo
家里,jia'li
家雀,jia'qiao
肩膀头子,jian'bang'tou'zi
犍牛,jian'niu
将媳妇儿,jiang'xi'fu'er
铰指头盖儿,jiao'zhi'tou'gai'er
角猪,jiao'zhu
接留猴,jie'liu'hou
街门,jie'men
金壳儿螂,jin'ke'er'lang
精识,jing'shi
舅儿,jiu'er
觉闸车,jue'zha'che
卡不眼,ka'bu'yan
块子,kuai'zi
拉干,la'gan
拉施,la'shi
来来蛛,lai'lai'zhu
老嫚儿,lao'man'er
老母枕头,lao'mu'zhen'tou
老娘婆,lao'niang'po
肋刺骨,lei'ci'gu
理什,li'shen
邻宿家,lin'su'jia
搂不够,lou'bu'gou
耧地,lou'di
篓子,lou'zi
炉包儿,lu'bao'er
麻虎,ma'hu
马腾,ma'teng
马住儿菜儿,ma'zhu'er'cai'er
煤锨儿,mei'xian'er
迷虫子,mi'chong'zi
面汤,mian'tang
棉靴,mian'xue
明日,ming'ri
喃壶,nan'hu
牛咪儿,niu'mi'er
皮锤,pi'chui
破唇儿,po'chun'er
蒲蒲丁,pu'pu'ding
起来,qi'lai
前日,qian'ri
惬下,qie'xia
青酱,qing'jiang
日头,ri'tou
日头地儿,ri'tou'di'er
晒阳阳,shai'yang'yang
闪着啦,shan'zhe'la
上年,shang'nian
上坡,shang'po
晌午儿,shang'wu'er
晌午儿饭,shang'wu'er'fan
晌午儿头,shang'wu'er'tou
烧虹,shao'hong
烧了,shao'le
神气,shen'qi
生分,sheng'fen
实诚,shi'cheng
手戳,shou'chuo
树不墩儿,shu'bu'dun'er
书房,shu'fang
树梃,shu'ting
水狼,shui'lang
水湾子,shui'wan'zi
水鞋,shui'xie
顺溜,shun'liu
四季儿豆儿,si'ji'er'dou'er
踢蹬了,ti'deng'le
剃头,ti'tou
舔腚沟,tian'ding'gou
天井,tian'jing
听说,ting'shuo
蜓蜓,ting'ting
铜盆,tong'pen
头晌,tou'shang
吞食眼子,tun'shi'yan'zi
外后年,wai'hou'nian
外头,wai'tou
苇笠,wei'li
温习,wen'xi
稳下,wen'xia
雾露,wu'lu
雾露雨儿,wu'lu'yu'er
媳妇儿,xi'fu'er
媳妇脸儿,xi'fu'lian'er
戏匣子,xi'xia'zi
下黑儿,xia'hei'er
下黑儿饭,xia'hei'er'fan
下黑儿烧红,xia'hei'er'shao'hong
瞎了,xia'le
下针,xia'zhen
乡熊,xiang'xiong
小坑儿,xiao'keng'er
小嫚儿,xiao'man'er
小末郎儿,xiao'mo'lang'er
小厮子,xiao'si'zi
鞋刹,xie'sha
信思,xin'si
兄儿,xiong'er
熊人,xiong'ren
熊真吼儿,xiong'zhen'hou'er
暄透,xuan'tou
雪豆儿,xue'dou'er
鸭巴子,ya'ba'zi
牙狗,ya'gou
鸦雀,ya'que
眼儿毛,yan'er'mao
檐灰儿,yan'hui'er
眼娄盖,yan'lou'gai
羊噶疯儿,yang'ga'feng'er
洋火,yang'huo
仰棚儿,yang'peng'er
仰位儿蹬,yang'wei'er'deng
腰布子,yao'bu'zi
夜来,ye'lai
姨姨,yi'yi
茔盘,ying'pan
玉黍,yu'shu
月母,yue'mu
月母地儿,yue'mu'di'er
早起,zao'qi
早起饭,zao'qi'fan
早起烧红,zao'qi'shao'hong
贼儿星,zei'er'xing
扎固,zha'gu
扎古扎古,zha'gu'zha'gu
粘煮,zhan'zhu
胀饱,zhang'bao
丈人,zhang'ren
障子,zhang'zi
照壁,zhao'bi
整下黑儿,zheng'xia'hei'er
知怨,zhi'yuan
转莲,zhuan'lian
转莲种儿,zhuan'lian'zhong'er
牸牛,zi'niu
左不来子,zuo'bu'lai'zi
