安达泰,an'da'tai
光圈大小,guang'quan'da'xiao
广西办事处,guang'xi'ban'shi'chu
光学变倍,guang'xue'bian'bei
光学透镜,guang'xue'tou'jing
广州瀚祺,guang'zhou'han'qi
海康威视,hai'kang'wei'shi
瀚祺,han'qi
豪恩,hao'en
黑白,hei'bai
黑白可视,hei'bai'ke'shi
黑白摄像机,hei'bai'she'xiang'ji
恒速球,heng'su'qiu
红外灯,hong'wai'deng
红外对射,hong'wai'dui'she
红外距离,hong'wai'ju'li
红外探测器,hong'wai'tan'ce'qi
红外线,hong'wai'xian
红外照射距离,hong'wai'zhao'she'ju'li
后备电池,hou'bei'dian'chi
会议,hui'yi
会议签到管理,hui'yi'qian'dao'guan'li
会议签到管理系统,hui'yi'qian'dao'guan'li'xi'tong
会议系统,hui'yi'xi'tong
霍尼韦尔,huo'ni'wei'er
继电器,ji'dian'qi
机芯,ji'xin
记忆,ji'yi
监控,jian'kong
监控系统,jian'kong'xi'tong
监控中心,jian'kong'zhong'xin
监视器,jian'shi'qi
脚挑式紧急按钮,jiao'tiao'shi'jin'ji'an'niu
接警机,jie'jing'ji
接警中心,jie'jing'zhong'xin
解决方案,jie'jue'fang'an
接口,jie'kou
捷顺,jie'shun
紧急按钮,jin'ji'an'niu
精工,jing'gong
镜头,jing'tou
镜像,jing'xiang
镜像功能,jing'xiang'gong'neng
酒店门锁,jiu'dian'men'suo
聚焦,ju'jiao
聚焦模式,ju'jiao'mo'shi
距离,ju'li
矩阵,ju'zhen
矩阵结构,ju'zhen'jie'gou
卡片存储量,ka'pian'cun'chu'liang
抗静电干扰,kang'jing'dian'gan'rao
抗雷电冲击,kang'lei'dian'chong'ji
考勤管理系统,kao'qin'guan'li'xi'tong
考勤机,kao'qin'ji
可视对讲,ke'shi'dui'jiang
科松,ke'song
可调,ke'tiao
可选,ke'xuan
可选英文,ke'xuan'ying'wen
控制,kong'zhi
控制方式,kong'zhi'fang'shi
控制机制,kong'zhi'ji'zhi
控制键盘,kong'zhi'jian'pan
快门,kuai'men
快球,kuai'qiu
宽动态,kuan'dong'tai
蓝牙读卡器,lan'ya'du'ka'qi
离散巡更管理系统,li'san'xun'geng'guan'li'xi'tong
联动,lian'dong
临时访客系统,lin'shi'fang'ke'xi'tong
滤光片,lv'guang'pian
马斯康电子,ma'si'kang'dian'zi
美电贝尔,mei'dian'bei'er
门磁探测器,men'ci'tan'ce'qi
门吉利,men'ji'li
门禁管理系统,men'jin'guan'li'xi'tong
门禁控制器,men'jin'kong'zhi'qi
门口机,men'kou'ji
密码键盘,mi'ma'jian'pan
面板,mian'ban
面板设置,mian'ban'she'zhi
模式,mo'shi
能道智能,neng'dao'zhi'neng
旁路防区,pang'lu'fang'qu
披克,pi'ke
披克电子,pi'ke'dian'zi
票据打印机,piao'ju'da'yin'ji
平安,ping'an
平安城市,ping'an'cheng'shi
屏蔽防区,ping'bi'fang'qu
屏幕,ping'mu
嵌入式,qian'ru'shi
强光,qiang'guang
强光反转,qiang'guang'fan'zhuan
强光抑制,qiang'guang'yi'zhi
枪机,qiang'ji
枪型摄像机,qiang'xing'she'xiang'ji
曲杆道闸,qu'gan'dao'zha
全天候,quan'tian'hou
全天候监控,quan'tian'hou'jian'kong
权限,quan'xian
全中文菜单,quan'zhong'wen'cai'dan
日夜转换,ri'ye'zhuan'huan
锐度,rui'du
锐度可调,rui'du'ke'tiao
三辊闸,san'gun'zha
三台合一,san'tai'he'yi
三星,san'xing
三星光电子,san'xing'guang'dian'zi
三星泰科光电子,san'xing'tai'ke'guang'dian'zi
色彩还原,se'cai'huan'yuan
色温,se'wen
色序,se'xu
上海地区最具影响力门禁品牌,shang'hai'di'qu'zui'ju'ying'xiang'li'men'jin'pin'pai
上下无框电插锁支架,shang'xia'wu'kuang'dian'cha'suo'zhi'jia
摄像机,she'xiang'ji
身份认证管理系统,shen'fen'ren'zheng'guan'li'xi'tong
深圳披克,shen'zhen'pi'ke
深圳市披克电子有限公司,shen'zhen'shi'pi'ke'dian'zi'you'xian'gong'si
声光警号,sheng'guang'jing'hao
视得安,shi'de'an
室内机,shi'nei'ji
视频,shi'pin
视频服务器,shi'pin'fu'wu'qi
适时录像,shi'shi'lu'xiang
手持机,shou'chi'ji
手动,shou'dong
手动快门,shou'dong'kuai'men
售后服务,shou'hou'fu'wu
授权,shou'quan
输出接口,shu'chu'jie'kou
数据,shu'ju
输入接口,shu'ru'jie'kou
数字处理器,shu'zi'chu'li'qi
数字降噪,shu'zi'jiang'zao
数字信号处理器,shu'zi'xin'hao'chu'li'qi
双光束周界,shuang'guang'shu'zhou'jie
双鉴移动探测器,shuang'jian'yi'dong'tan'ce'qi
双门磁力锁,shuang'men'ci'li'suo
双门互锁,shuang'men'hu'suo
双门控制器,shuang'men'kong'zhi'qi
水控机,shui'kong'ji
四光束周界,si'guang'shu'zhou'jie
四门控制器,si'men'kong'zhi'qi
松下,song'xia
探测范围,tan'ce'fan'wei
腾龙,teng'long
天地伟业,tian'di'wei'ye
天津亚安,tian'jin'ya'an
停车场管理系统,ting'che'chang'guan'li'xi'tong
通道管理系统,tong'dao'guan'li'xi'tong
通道控制管理,tong'dao'kong'zhi'guan'li
通信协议,tong'xin'xie'yi
通讯接口,tong'xun'jie'kou
透雾镜头,tou'wu'jing'tou
图书管理,tu'shu'guan'li
图像,tu'xiang
图雅丽,tu'ya'li
脱机数据保存,tuo'ji'shu'ju'bao'cun
网络,wang'luo
网络控制器,wang'luo'kong'zhi'qi
网络扩展器,wang'luo'kuo'zhan'qi
无缝,wu'feng
无缝链接,wu'feng'lian'jie
无缝拼接,wu'feng'pin'jie
无线报警主机,wu'xian'bao'jing'zhu'ji
西科姆,xi'ke'mu
系统软件,xi'tong'ruan'jian
下无框电插锁支架,xia'wu'kuang'dian'cha'suo'zhi'jia
线材,xian'cai
显示,xian'shi
显示器,xian'shi'qi
消防联动,xiao'fang'lian'dong
消费管理系统,xiao'fei'guan'li'xi'tong
消费机,xiao'fei'ji
小区一卡通,xiao'qu'yi'ka'tong
校园一卡通,xiao'yuan'yi'ka'tong
泄露电缆,xie'lou'dian'lan
协议,xie'yi
巡更机,xun'geng'ji
压力电波,ya'li'dian'bo
烟感探测器,yan'gan'tan'ce'qi
液晶拼接,ye'jing'pin'jie
一卡通,yi'ka'tong
一卡通系统,yi'ka'tong'xi'tong
医疗管理,yi'liao'guan'li
医疗管理系统,yi'liao'guan'li'xi'tong
一体化,yi'ti'hua
一体化机芯,yi'ti'hua'ji'xin
一体化门禁,yi'ti'hua'men'jin
一体化摄像机,yi'ti'hua'she'xiang'ji
一体机,yi'ti'ji
翼闸快速通道,yi'zha'kuai'su'tong'dao
英飞拓,ying'fei'tuo
硬盘录像机,ying'pan'lu'xiang'ji
英文,ying'wen
英文菜单,ying'wen'cai'dan
优化,you'hua
有线报警主机,you'xian'bao'jing'zhu'ji
语音提示,yu'yin'ti'shi
远距离读卡器,yuan'ju'li'du'ka'qi
匀速球,yun'su'qiu
云台,yun'tai
在线巡更管理系统,zai'xian'xun'geng'guan'li'xi'tong
噪音,zao'yin
增益,zeng'yi
增益可调,zeng'yi'ke'tiao
栅栏杆道闸,zha'lan'gan'dao'zha
照度,zhao'du
照射,zhao'she
浙江大华,zhe'jiang'da'hua
震动探测器,zhen'dong'tan'ce'qi
阵列,zhen'lie
直杆道闸,zhi'gan'dao'zha
指挥中心,zhi'hui'zhong'xin
智能化,zhi'neng'hua
指纹读取器,zhi'wen'du'qu'qi
中国安防杰出民族品牌,zhong'guo'an'fang'jie'chu'min'zu'pin'pai
中国安防十大品牌,zhong'guo'an'fang'shi'da'pin'pai
终极低照度,zhong'ji'di'zhao'du
中文菜单,zhong'wen'cai'dan
中文显示屏,zhong'wen'xian'shi'ping
周界,zhou'jie
主机,zhu'ji
抓车牌,zhua'che'pai
转换卡,zhuan'huan'ka
自动,zi'dong
自动曝光,zi'dong'bao'guang
自动光圈镜头,zi'dong'guang'quan'jing'tou
自动快门,zi'dong'kuai'men
自动增益,zi'dong'zeng'yi
自动转换,zi'dong'zhuan'huan
自动追踪,zi'dong'zhui'zong
最低照度,zui'di'zhao'du
