八角楼社区,ba'jiao'lou'she'qu
新地开发区变台,xin'di'kai'fa'qu'bian'tai
新地七队,xin'di'qi'dui
新地七队北,xin'di'qi'dui'bei
新地三组,xin'di'san'zu
新地三组北,xin'di'san'zu'bei
新地四组,xin'di'si'zu
新地一组,xin'di'yi'zu
新地组团,xin'di'zu'tuan
新华街社区,xin'hua'jie'she'qu
新华社区,xin'hua'she'qu
兴隆街社区,xing'long'jie'she'qu
学院社区,xue'yuan'she'qu
姚家洼社区,yao'jia'wa'she'qu
益华社区,yi'hua'she'qu
医疗器械,yi'liao'qi'xie
一西街社区,yi'xi'jie'she'qu
一中街社区,yi'zhong'jie'she'qu
银马社区,yin'ma'she'qu
迎宾路,ying'bin'lu
迎宾路社区,ying'bin'lu'she'qu
迎宾桥社区,ying'bin'qiao'she'qu
永巨办事处,yong'ju'ban'shi'chu
永巨社区,yong'ju'she'qu
油库家属院,you'ku'jia'shu'yuan
园丁社区,yuan'ding'she'qu
站东社区,zhan'dong'she'qu
站前办事处,zhan'qian'ban'shi'chu
站西社区,zhan'xi'she'qu
昭乌达社区,zhao'wu'da'she'qu
植物园社区,zhi'wu'yuan'she'qu
钟楼社区,zhong'lou'she'qu
