阿比可糖,a'bi'ke'tang
别构配体,bie'gou'pei'ti
别构调节,bie'gou'tiao'jie
别构效应,bie'gou'xiao'ying
别构抑制,bie'gou'yi'zhi
别构抑制剂,bie'gou'yi'zhi'ji
别构转换变构,bie'gou'zhuan'huan'bian'gou
别构作用,bie'gou'zuo'yong
别嘌呤醇,bie'piao'ling'chun
病毒,bing'du
丙酮,bing'tong
丙烯腈,bing'xi'jing
丙烯醛类聚合物,bing'xi'quan'lei'ju'he'wu
丙烯醛树脂,bing'xi'quan'shu'zhi
丙烯酸,bing'xi'suan
丙烯酸酯类聚合物,bing'xi'suan'zhi'lei'ju'he'wu
丙烯酸酯类树脂,bing'xi'suan'zhi'lei'shu'zhi
丙烯酮,bing'xi'tong
病原学,bing'yuan'xue
不规则端基,bu'gui'ze'duan'ji
不生氧光合作用,bu'sheng'yang'guang'he'zuo'yong
补体旁路,bu'ti'pang'lu
补体旁路途径,bu'ti'pang'lu'tu'jing
层析,ceng'xi
差向异构体,cha'xiang'yi'gou'ti
产前诊断,chan'qian'zhen'duan
产雄,chan'xiong
产雄孢子,chan'xiong'bao'zi
产乙酸菌,chan'yi'suan'jun
超前控制,chao'qian'kong'zhi
超氧化物,chao'yang'hua'wu
衬蛋白胞,chen'dan'bai'bao
沉淀反应,chen'dian'fan'ying
陈化,chen'hua
成花刺激,cheng'hua'ci'ji
成花素,cheng'hua'su
成花诱导,cheng'hua'you'dao
成人腹泻,cheng'ren'fu'xie
程序变流,cheng'xu'bian'liu
程序变流层析,cheng'xu'bian'liu'ceng'xi
除沫剂,chu'mo'ji
传入神经,chuan'ru'shen'jing
垂体前叶,chui'ti'qian'ye
垂体前叶激素,chui'ti'qian'ye'ji'su
垂周壁,chui'zhou'bi
垂周分裂,chui'zhou'fen'lie
醇脱氢酶,chun'tuo'qing'mei
刺激物,ci'ji'wu
雌雄同体,ci'xiong'tong'ti
雌雄同柱,ci'xiong'tong'zhu
醋化作用,cu'hua'zuo'yong
促卵泡激素,cu'luan'pao'ji'su
促卵泡素,cu'luan'pao'su
促滤泡激素,cu'lv'pao'ji'su
促滤泡素,cu'lv'pao'su
促滤泡素释放素,cu'lv'pao'su'shi'fang'su
促肾上腺皮质激素,cu'shen'shang'xian'pi'zhi'ji'su
醋酸菌,cu'suan'jun
催化剂,cui'hua'ji
催眠,cui'mian
代谢,dai'xie
蛋白急相反应,dan'bai'ji'xiang'fan'ying
蛋白前体,dan'bai'qian'ti
蛋白微丝,dan'bai'wei'si
蛋白质,dan'bai'zhi
蛋白质定量法,dan'bai'zhi'ding'liang'fa
蛋白足迹试验,dan'bai'zu'ji'shi'yan
单倍体,dan'bei'ti
单雄生殖,dan'xiong'sheng'zhi
单藻类,dan'zao'lei
等份,deng'fen
等分,deng'fen
等位基因变异,deng'wei'ji'yin'bian'yi
等位基因等位性,deng'wei'ji'yin'deng'wei'xing
等位基因多样化,deng'wei'ji'yin'duo'yang'hua
等位基因互补,deng'wei'ji'yin'hu'bu
等位基因连锁反应,deng'wei'ji'yin'lian'suo'fan'ying
等位基因排斥,deng'wei'ji'yin'pai'chi
等位基因失活,deng'wei'ji'yin'shi'huo
等位基因相容,deng'wei'ji'yin'xiang'rong
等位基因置换,deng'wei'ji'yin'zhi'huan
等位性,deng'wei'xing
底板区,di'ban'qu
淀粉,dian'fen
淀粉发酵法,dian'fen'fa'jiao'fa
淀粉分解,dian'fen'fen'jie
淀粉合成,dian'fen'he'cheng
淀粉酶,dian'fen'mei
淀粉样,dian'fen'yang
淀粉质环,dian'fen'zhi'huan
电泳,dian'yong
叠中间体,die'zhong'jian'ti
顶体蛋白酶,ding'ti'dan'bai'mei
顶体反应,ding'ti'fan'ying
顶体反应顶体,ding'ti'fan'ying'ding'ti
定向克隆前肠,ding'xiang'ke'long'qian'chang
动物细胞,dong'wu'xi'bao
动作电流,dong'zuo'dian'liu
动作电位,dong'zuo'dian'wei
动作光谱,dong'zuo'guang'pu
端基异构效应,duan'ji'yi'gou'xiao'ying
多倍体,duo'bei'ti
多角体病毒,duo'jiao'ti'bing'du
鹅肌肽,e'ji'tai
蒽杀炭疽菌素,en'sha'tan'ju'jun'su
发生论,fa'sheng'lun
发育,fa'yu
反编码链,fan'bian'ma'lian
反错构象,fan'cuo'gou'xiang
反叠构象,fan'die'gou'xiang
反键轨道,fan'jian'gui'dao
反竞争抑制,fan'jing'zheng'yi'zhi
反密码子,fan'mi'ma'zi
反密码子臂,fan'mi'ma'zi'bi
反密码子环,fan'mi'ma'zi'huan
矾明,fan'ming
反式构象,fan'shi'gou'xiang
反向转运,fan'xiang'zhuan'yun
矾氧化,fan'yang'hua
反义,fan'yi
反义寡核苷酸,fan'yi'gua'he'gan'suan
反义寡脱氧核苷酸,fan'yi'gua'tuo'yang'he'gan'suan
反义链防腐消毒剂,fan'yi'lian'fang'fu'xiao'du'ji
反足核,fan'zu'he
反足细胞,fan'zu'xi'bao
防暴沸棒,fang'bao'fei'bang
防腐剂抗血清,fang'fu'ji'kang'xue'qing
放线菌,fang'xian'jun
放线菌素,fang'xian'jun'su
放线壮观素,fang'xian'zhuang'guan'su
非单着丝粒,fei'dan'zhe'si'li
肺泡,fei'pao
肥酸,fei'suan
非整倍单倍体,fei'zheng'bei'dan'bei'ti
非整倍单倍性,fei'zheng'bei'dan'bei'xing
非整倍体细胞系,fei'zheng'bei'ti'xi'bao'xi
非整倍性,fei'zheng'bei'xing
非正态分布,fei'zheng'tai'fen'bu
非组蛋白,fei'zu'dan'bai
分析物,fen'xi'wu
分析型,fen'xi'xing
分析柱,fen'xi'zhu
风虫媒,feng'chong'mei
丰度,feng'du
风媒,feng'mei
风媒传粉,feng'mei'chuan'fen
风媒花,feng'mei'hua
风媒植物,feng'mei'zhi'wu
副核,fu'he
氟化氟乙酸,fu'hua'fu'yi'suan
附加单倍体,fu'jia'dan'bei'ti
附加亲和,fu'jia'qin'he
附加系,fu'jia'xi
氟磷灰石莹蒽芴芴甲氧羰基,fu'lin'hui'shi'ying'en'wu'wu'jia'yang'tang'ji
福林试剂,fu'lin'shi'ji
腹面的,fu'mian'de
氟尿苷三磷酸,fu'niao'gan'san'lin'suan
副染色体,fu'ran'se'ti
辐射对称,fu'she'dui'chen
氟脱氧尿苷,fu'tuo'yang'niao'gan
氟硝安定,fu'xiao'an'ding
氟胸苷氟尿嘧啶,fu'xiong'gan'fu'niao'mi'ding
氟乙酸盐酯根,fu'yi'suan'yan'zhi'gen
氟乙酰辅酶,fu'yi'xian'fu'mei
辅助色素,fu'zhu'se'su
辅助因子,fu'zhu'yin'zi
杆菌素,gan'jun'su
感染,gan'ran
苷元,gan'yuan
高丰度,gao'feng'du
高丰度的,gao'feng'du'de
高级糖基化,gao'ji'tang'ji'hua
各向异性,ge'xiang'yi'xing
各向异性膜,ge'xiang'yi'xing'mo
根癌农杆菌,gen'ai'nong'gan'jun
根瘤土壤杆菌,gen'liu'tu'rang'gan'jun
汞齐,gong'qi
孤雌生殖,gu'ci'sheng'zhi
固氮,gu'dan
孤雄发育,gu'xiong'fa'yu
固着,gu'zhuo
光度法,guang'du'fa
光度计,guang'du'ji
过继免疫,guo'ji'mian'yi
过继转移,guo'ji'zhuan'yi
过硫酸氨,guo'liu'suan'an
过敏毒素,guo'min'du'su
过敏反应,guo'min'fan'ying
过敏性,guo'min'xing
核苷酸,he'gan'suan
核糖基化,he'tang'ji'hua
核糖基化因子,he'tang'ji'hua'yin'zi
核糖基转移酶,he'tang'ji'zhuan'yi'mei
红细胞,hong'xi'bao
红藻淀粉成花素浮选浮式离心,hong'zao'dian'fen'cheng'hua'su'fu'xuan'fu'shi'li'xin
糊粉,hu'fen
糊粉层,hu'fen'ceng
糊粉粒,hu'fen'li
琥珀密码子,hu'po'mi'ma'zi
琥珀突变,hu'po'tu'bian
琥珀突变体,hu'po'tu'bian'ti
琥珀突变型,hu'po'tu'bian'xing
琥珀抑制,hu'po'yi'zhi
花放线菌,hua'fang'xian'jun
花青苷,hua'qing'gan
花青素,hua'qing'su
花色素,hua'se'su
花色素苷,hua'se'su'gan
花色素酶,hua'se'su'mei
化学光度计,hua'xue'guang'du'ji
花药培养,hua'yao'pei'yang
环己酰亚胺,huan'ji'xian'ya'an
环节动物门,huan'jie'dong'wu'men
环孔片层,huan'kong'pian'ceng
环孔片层复数,huan'kong'pian'ceng'fu'shu
黄曲酶毒素,huang'qu'mei'du'su
茴香霉素,hui'xiang'mei'su
获得性免疫吖啶,huo'de'xing'mian'yi'a'ding
获得性状,huo'de'xing'zhuang
活动扳手,huo'dong'ban'shou
活化分析,huo'hua'fen'xi
活化基团,huo'hua'ji'tuan
活化能激,huo'hua'neng'ji
活化支持体,huo'hua'zhi'chi'ti
活剂激活蛋白,huo'ji'ji'huo'dan'bai
活生物质,huo'sheng'wu'zhi
活物激,huo'wu'ji
活性部位,huo'xing'bu'wei
活性干酵母,huo'xing'gan'jiao'mu
活性氢,huo'xing'qing
活性氢化合物,huo'xing'qing'hua'he'wu
活性染色质,huo'xing'ran'se'zhi
活性碳,huo'xing'tan
活性污泥,huo'xing'wu'ni
活性氧,huo'xing'yang
活性支链,huo'xing'zhi'lian
活性中心,huo'xing'zhong'xin
畸变,ji'bian
肌动蛋白,ji'dong'dan'bai
肌动蛋白丝,ji'dong'dan'bai'si
激动剂,ji'dong'ji
己二酸,ji'er'suan
激活蛋白,ji'huo'dan'bai
激活活化,ji'huo'huo'hua
激活因子,ji'huo'yin'zi
集聚蛋白,ji'ju'dan'bai
急相蛋白,ji'xiang'dan'bai
急相反应,ji'xiang'fan'ying
畸形,ji'xing
急性毒性无环鸟苷,ji'xing'du'xing'wu'huan'niao'gan
急性感染,ji'xing'gan'ran
急性期,ji'xing'qi
急性期蛋白,ji'xing'qi'dan'bai
急性期反应,ji'xing'qi'fan'ying
基因,ji'yin
基因送递,ji'yin'song'di
加成化合物,jia'cheng'hua'he'wu
加合离子,jia'he'li'zi
加帽蛋白肌动,jia'mao'dan'bai'ji'dong
加气装置,jia'qi'zhuang'zhi
加速流动法,jia'su'liu'dong'fa
加性效应,jia'xing'xiao'ying
加性遗传方差,jia'xing'yi'chuan'fang'cha
家族,jia'zu
碱变性法,jian'bian'xing'fa
碱基,jian'ji
剪接受体,jian'jie'shou'ti
碱金属碱的,jian'jin'shu'jian'de
碱裂解法,jian'lie'jie'fa
碱水解作用,jian'shui'jie'zuo'yong
碱土金属,jian'tu'jin'shu
碱性氨基酸,jian'xing'an'ji'suan
碱性蛋白质,jian'xing'dan'bai'zhi
碱性磷酸酶,jian'xing'lin'suan'mei
碱性凝胶电泳,jian'xing'ning'jiao'dian'yong
搅拌,jiao'ban
搅拌器,jiao'ban'qi
角甲基脱水酶酸酐,jiao'jia'ji'tuo'shui'mei'suan'gan
交替共聚合,jiao'ti'gong'ju'he
交替共聚物,jiao'ti'gong'ju'wu
角转头埃蛇形毒素,jiao'zhuan'tou'ai'she'xing'du'su
结合蛋白,jie'he'dan'bai
拮抗剂,jie'kang'ji
拮抗物,jie'kang'wu
拮抗作用,jie'kang'zuo'yong
拮抗作用前质,jie'kang'zuo'yong'qian'zhi
接纳位点,jie'na'wei'dian
接受位点,jie'shou'wei'dian
介质凝集,jie'zhi'ning'ji
近端着丝染色体丙烯醛,jin'duan'zhuo'si'ran'se'ti'bing'xi'quan
金刚烷胺,jin'gang'wan'an
竞争,jing'zheng
酒精,jiu'jing
聚合酶,ju'he'mei
绝对测量,jue'dui'ce'liang
绝对构型,jue'dui'gou'xing
绝对误差,jue'dui'wu'cha
开花,kai'hua
抗癌剂,kang'ai'ji
抗癌基因,kang'ai'ji'yin
抗癌药物,kang'ai'yao'wu
抗病毒剂,kang'bing'du'ji
抗雌激素,kang'ci'ji'su
抗蛋白酶,kang'dan'bai'mei
抗冻蛋白,kang'dong'dan'bai
抗冻肽,kang'dong'tai
抗冻糖蛋白,kang'dong'tang'dan'bai
抗冻糖肽,kang'dong'tang'tai
抗毒素抗,kang'du'su'kang
抗辐射效应,kang'fu'she'xiao'ying
抗高血压剂,kang'gao'xue'ya'ji
抗黄体溶解蛋白,kang'huang'ti'rong'jie'dan'bai
抗寄生虫免疫,kang'ji'sheng'chong'mian'yi
抗激素,kang'ji'su
抗精神病药物,kang'jing'shen'bing'yao'wu
抗菌剂,kang'jun'ji
抗菌肽,kang'jun'tai
抗利尿素,kang'li'niao'su
抗利尿作用,kang'li'niao'zuo'yong
抗链球菌溶血素试验,kang'lian'qiu'jun'rong'xue'su'shi'yan
抗淋巴细胞血清,kang'lin'ba'xi'bao'xue'qing
抗霉素,kang'mei'su
抗凝蛋白,kang'ning'dan'bai
抗凝剂,kang'ning'ji
抗凝物,kang'ning'wu
抗凝血酶,kang'ning'xue'mei
抗凝作用,kang'ning'zuo'yong
抗排卵肽,kang'pai'luan'tai
抗球蛋白,kang'qiu'dan'bai
抗溶菌素抗代谢物,kang'rong'jun'su'kang'dai'xie'wu
抗蠕霉素,kang'ru'mei'su
抗生谱抗生素,kang'sheng'pu'kang'sheng'su
抗生素,kang'sheng'su
抗生素抗性,kang'sheng'su'kang'xing
抗生素敏感性抗体,kang'sheng'su'min'gan'xing'kang'ti
抗生素修饰,kang'sheng'su'xiu'shi
抗生物肽,kang'sheng'wu'tai
抗生长素,kang'sheng'zhang'su
抗疏水剂,kang'shu'shui'ji
抗体捕捉,kang'ti'bu'zhuo
抗体产生,kang'ti'chan'sheng
抗体催化,kang'ti'cui'hua
抗体反基因组,kang'ti'fan'ji'yin'zu
抗体反应,kang'ti'fan'ying
抗体工程,kang'ti'gong'cheng
抗体过量,kang'ti'guo'liang
抗体花结法,kang'ti'hua'jie'fa
抗体基因克隆,kang'ti'ji'yin'ke'long
抗体结构,kang'ti'jie'gou
抗体结合部位,kang'ti'jie'he'bu'wei
抗体酶,kang'ti'mei
抗体谱,kang'ti'pu
抗体融合蛋白质,kang'ti'rong'he'dan'bai'zhi
抗体试验,kang'ti'shi'yan
抗体文库,kang'ti'wen'ku
抗体应答,kang'ti'ying'da
抗体指纹,kang'ti'zhi'wen
抗突变剂,kang'tu'bian'ji
抗突变基因,kang'tu'bian'ji'yin
抗微生物剂,kang'wei'sheng'wu'ji
抗细菌免疫锚蛋白,kang'xi'jun'mian'yi'mao'dan'bai
抗纤溶酶,kang'xian'rong'mei
抗心律不齐药,kang'xin'lv'bu'qi'yao
抗性基因,kang'xing'ji'yin
抗性基因筛选,kang'xing'ji'yin'shai'xuan
抗血清,kang'xue'qing
抗血友病因子,kang'xue'you'bing'yin'zi
抗炎作用,kang'yan'zuo'yong
抗氧化剂,kang'yang'hua'ji
抗氧化酶防臭氧剂,kang'yang'hua'mei'fang'chou'yang'ji
抗胰凝乳蛋白酶,kang'yi'ning'ru'dan'bai'mei
抗抑郁剂,kang'yi'yu'ji
抗原呈递,kang'yuan'cheng'di
抗原刺激,kang'yuan'ci'ji
抗原化,kang'yuan'hua
抗原加工,kang'yuan'jia'gong
抗原交联,kang'yuan'jiao'lian
抗原决定簇,kang'yuan'jue'ding'cu
抗原模拟,kang'yuan'mo'ni
抗原识别,kang'yuan'shi'bie
抗原受体,kang'yuan'shou'ti
抗原细胞,kang'yuan'xi'bao
抗原性,kang'yuan'xing
抗原性变异,kang'yuan'xing'bian'yi
抗原性漂移,kang'yuan'xing'piao'yi
抗原性转变,kang'yuan'xing'zhuan'bian
抗原选择,kang'yuan'xuan'ze
抗原异质性,kang'yuan'yi'zhi'xing
抗增殖活性,kang'zeng'zhi'huo'xing
抗真菌剂,kang'zhen'jun'ji
抗真菌免疫,kang'zhen'jun'mian'yi
抗真菌免疫抗原,kang'zhen'jun'mian'yi'kang'yuan
抗肿瘤剂,kang'zhong'liu'ji
抗组胺剂,kang'zu'an'ji
抗阻抑物反义,kang'zu'yi'wu'fan'yi
抗阻抑作用,kang'zu'yi'zuo'yong
可变加工,ke'bian'jia'gong
可变剪接,ke'bian'jian'jie
可变剪接的阿卓糖,ke'bian'jian'jie'de'a'zhuo'tang
可变剪接因子,ke'bian'jian'jie'yin'zi
可变聚腺苷酸化,ke'bian'ju'xian'gan'suan'hua
可变转录,ke'bian'zhuan'lu
可变转录起始,ke'bian'zhuan'lu'qi'shi
可调微量移液管,ke'tiao'wei'liang'yi'ye'guan
空气除菌气流,kong'qi'chu'jun'qi'liu
空气峰气泡峰,kong'qi'feng'qi'pao'feng
空气监测,kong'qi'jian'ce
空气滤器,kong'qi'lv'qi
苦杏仁苷,ku'xing'ren'gan
昆虫,kun'chong
扩散试验,kuo'san'shi'yan
扩增,kuo'zeng
扩增引物,kuo'zeng'yin'wu
扩增子,kuo'zeng'zi
老化,lao'hua
老年色素剂,lao'nian'se'su'ji
老年性痴呆,lao'nian'xing'chi'dai
类似蛋白质,lei'si'dan'bai'zhi
类似物,lei'si'wu
联会,lian'hui
链式反应,lian'shi'fan'ying
两栖纲,liang'qi'gang
磷酸核糖,lin'suan'he'tang
邻助作用,lin'zhu'zuo'yong
流产,liu'chan
流产素,liu'chan'su
流产转导,liu'chan'zhuan'dao
硫代磷酸反义,liu'dai'lin'suan'fan'yi
流动层析谱,liu'dong'ceng'xi'pu
流动池,liu'dong'chi
流动性,liu'dong'xing
流动注射分析,liu'dong'zhu'she'fen'xi
流度,liu'du
流化,liu'hua
流式细胞分选仪,liu'shi'xi'bao'fen'xuan'yi
流式细胞计量术,liu'shi'xi'bao'ji'liang'shu
流式细胞仪,liu'shi'xi'bao'yi
硫酸铵,liu'suan'an
硫酸铵分级分离,liu'suan'an'fen'ji'fen'li
卵块发育,luan'kuai'fa'yu
轮状病毒,lun'zhuang'bing'du
铝矾土,lv'fan'tu
麦芽糖化酶糊精,mai'ya'tang'hua'mei'hu'jing
锚蛋白重复序列,mao'dan'bai'chong'fu'xu'lie
锚定,mao'ding
毛根农杆菌,mao'gen'nong'gan'jun
毛根土壤杆菌,mao'gen'tu'rang'gan'jun
锚式,mao'shi
锚着,mao'zhe
美登木素,mei'deng'mu'su
美国食品与药品管理署,mei'guo'shi'pin'yu'yao'pin'guan'li'shu
霉菌糖化法,mei'jun'tang'hua'fa
膜的流动,mo'de'liu'dong
蘑菇素,mo'gu'su
蘑菇酸,mo'gu'suan
膜联蛋白,mo'lian'dan'bai
模拟,mo'ni
母,mu
苜蓿花叶病毒,mu'xu'hua'ye'bing'du
耐氧菌厌氧菌,nai'yang'jun'yan'yang'jun
粘附分子,nian'fu'fen'zi
粘附性细胞,nian'fu'xing'xi'bao
粘附因子,nian'fu'yin'zi
粘着斑,nian'zhuo'ban
粘着斑激酶,nian'zhuo'ban'ji'mei
粘着蛋白,nian'zhuo'dan'bai
粘着分子,nian'zhuo'fen'zi
粘着受体,nian'zhuo'shou'ti
粘着糖蛋白,nian'zhuo'tang'dan'bai
粘着性细胞,nian'zhuo'xing'xi'bao
粘着因子,nian'zhuo'yin'zi
农杆菌属,nong'gan'jun'shu
农业废物,nong'ye'fei'wu
农业垃圾,nong'ye'la'ji
农用化学品,nong'yong'hua'xue'pin
偶然变异,ou'ran'bian'yi
彷徨变,pang'huang'bian
旁路剪接,pang'lu'jian'jie
配基,pei'ji
贫血,pin'xue
平端流动融化,ping'duan'liu'dong'rong'hua
启动子,qi'dong'zi
岐化酶,qi'hua'mei
气流计,qi'liu'ji
气流监控仪,qi'liu'jian'kong'yi
气流显示器,qi'liu'xian'shi'qi
奇霉素作用,qi'mei'su'zuo'yong
气溶胶,qi'rong'jiao
气升式发酵,qi'sheng'shi'fa'jiao
气升式发酵罐,qi'sheng'shi'fa'jiao'guan
气升式生物反应器,qi'sheng'shi'sheng'wu'fan'ying'qi
气锁无核细胞,qi'suo'wu'he'xi'bao
气体交换,qi'ti'jiao'huan
七叶苷,qi'ye'gan
七叶灵,qi'ye'ling
前馈控制,qian'kui'kong'zhi
茜素碱,qian'su'jian
强碱,qiang'jian
强碱的,qiang'jian'de
羟醛缩合,qiang'quan'suo'he
强制克隆,qiang'zhi'ke'long
亲和,qin'he
亲和标记,qin'he'biao'ji
亲和层析,qin'he'ceng'xi
亲和沉淀,qin'he'chen'dian
亲和纯化法,qin'he'chun'hua'fa
亲和萃取,qin'he'cui'qu
亲和电镜术,qin'he'dian'jing'shu
亲和分配,qin'he'fen'pei
亲和共电泳,qin'he'gong'dian'yong
亲和过滤,qin'he'guo'lv
亲和力,qin'he'li
亲和偶联,qin'he'ou'lian
亲和配体,qin'he'pei'ti
亲和提取,qin'he'ti'qu
亲和吸附剂,qin'he'xi'fu'ji
亲和性,qin'he'xing
亲和柱,qin'he'zhu
梫木毒素,qin'mu'du'su
青霉素,qing'mei'su
氢氧化铵氨水,qing'yang'hua'an'an'shui
琼脂,qiong'zhi
琼脂胶,qiong'zhi'jiao
琼脂平板,qiong'zhi'ping'ban
琼脂糖,qiong'zhi'tang
琼脂糖凝胶,qiong'zhi'tang'ning'jiao
琼脂糖平板,qiong'zhi'tang'ping'ban
全反构型,quan'fan'gou'xing
醛固醇,quan'gu'chun
醛缩酶,quan'suo'mei
醛糖,quan'tang
醛糖酸,quan'tang'suan
醛脱氢酶,quan'tuo'qing'mei
醛亚胺糖,quan'ya'an'tang
醛氧化酶,quan'yang'hua'mei
群,qun
染色体,ran'se'ti
三磷酸腺,san'lin'suan'xian
三乙酰甘油酯,san'yi'xian'gan'you'zhi
杀螨剂,sha'man'ji
杀藻剂,sha'zao'ji
山莨菪樟柳碱,shan'liang'dang'zhang'liu'jian
商树脂级球形介质氨基,shang'shu'zhi'ji'qiu'xing'jie'zhi'an'ji
神经逆向传导,shen'jing'ni'xiang'chuan'dao
肾上腺皮质,shen'shang'xian'pi'zhi
肾上腺皮质激素,shen'shang'xian'pi'zhi'ji'su
肾上腺素,shen'shang'xian'su
肾上腺素受体,shen'shang'xian'su'shou'ti
生醇发酵醛,sheng'chun'fa'jiao'quan
生物碱,sheng'wu'jian
失常,shi'chang
嗜酸菌,shi'suan'jun
石蒜科,shi'suan'ke
试验,shi'yan
适应酶,shi'ying'mei
适应性行为,shi'ying'xing'xing'wei
始祖,shi'zu
受体,shou'ti
属,shu
衰老,shuai'lao
双二价体,shuang'er'jia'ti
双星,shuang'xing
双义基因组,shuang'yi'ji'yin'zu
顺乌头酸酶,shun'wu'tou'suan'mei
顺序排列,shun'xu'pai'lie
酸催化,suan'cui'hua
算法公式,suan'fa'gong'shi
酸化作用,suan'hua'zuo'yong
酸解嗜酸性,suan'jie'shi'suan'xing
酸奶,suan'nai
酸水解酪蛋白,suan'shui'jie'lao'dan'bai
酸性氨基酸,suan'xing'an'ji'suan
酸性蛋白酶,suan'xing'dan'bai'mei
酸性蛋白质,suan'xing'dan'bai'zhi
酸性反式激活蛋白,suan'xing'fan'shi'ji'huo'dan'bai
酸性磷酸酶,suan'xing'lin'suan'mei
酸性培养基,suan'xing'pei'yang'ji
酸性品红,suan'xing'pin'hong
酸性溶剂酸,suan'xing'rong'ji'suan
酸性糖蛋白,suan'xing'tang'dan'bai
酸性粘多糖,suan'xing'zhan'duo'tang
酸性转录激活蛋白,suan'xing'zhuan'lu'ji'huo'dan'bai
缩醛树脂,suo'quan'shu'zhi
缩醛乙醛,suo'quan'yi'quan
肽鹅膏毒素,tai'e'gao'du'su
胎儿,tai'er
胎儿叶酸,tai'er'ye'suan
炭疽菌素,tan'ju'jun'su
炭疽霉素,tan'ju'mei'su
探头消泡剂,tan'tou'xiao'pao'ji
糖苷,tang'gan
糖化酶,tang'hua'mei
糖醛酸,tang'quan'suan
特征性抗体,te'zheng'xing'kang'ti
体积佐剂,ti'ji'zuo'ji
体接受体,ti'jie'shou'ti
体液免疫系统,ti'ye'mian'yi'xi'tong
添补反应,tian'bu'fan'ying
添加剂,tian'jia'ji
添加物,tian'jia'wu
天线色素前的,tian'xian'se'su'qian'de
调整保留,tiao'zheng'bao'liu
调整保留时间,tiao'zheng'bao'liu'shi'jian
贴壁培养,tie'bi'pei'yang
贴壁细胞,tie'bi'xi'bao
铁氧还蛋白,tie'yang'hai'dan'bai
同功器官,tong'gong'qi'guan
通气加气仪,tong'qi'jia'qi'yi
同素异形体,tong'su'yi'xing'ti
酮体,tong'ti
同种异体抗原,tong'zhong'yi'ti'kang'yuan
同种异体移植,tong'zhong'yi'ti'yi'zhi
同种异体移植排斥,tong'zhong'yi'ti'yi'zhi'pai'chi
同种异相间分离,tong'zhong'yi'xiang'jian'fen'li
同种异型,tong'zhong'yi'xing
