阿鼻元珠,a'bi'yuan'zhu
二气环,er'qi'huan
而生,er'sheng
二相环,er'xiang'huan
法宝,fa'bao
法广,fa'guang
法华金刚轮,fa'hua'jin'gang'lun
发火,fa'huo
法胜,fa'sheng
法通,fa'tong
法元,fa'yuan
犯规,fan'gui
返魂香,fan'hun'xiang
樊量,fan'liang
反目,fan'mu
梵拿伽音二,fan'na'jia'yin'er
烦恼圈,fan'nao'quan
樊森,fan'sen
番僧,fan'seng
反舌神君,fan'she'shen'jun
方还,fang'hai
方良,fang'liang
芳淑,fang'shu
方瑛,fang'ying
方玉柔,fang'yu'rou
飞叉真人,fei'cha'zhen'ren
飞刀真人,fei'dao'zhen'ren
飞遁,fei'dun
飞虹涧,fei'hong'jian
飞剑,fei'jian
飞鲸岛,fei'jing'dao
飞来峰,fei'lai'feng
飞雷洞,fei'lei'dong
飞雷岭,fei'lei'ling
飞龙岛,fei'long'dao
飞龙岭,fei'long'ling
飞龙师太,fei'long'shi'tai
飞龙真人,fei'long'zhen'ren
飞娘,fei'niang
飞麒麟,fei'qi'lin
飞升,fei'sheng
飞天蜈蚣,fei'tian'wu'gong
飞天夜叉,fei'tian'ye'cha
粉孩儿,fen'hai'er
粉牡丹,fen'mu'dan
分水犀牛,fen'shui'xi'niu
芬陀,fen'tuo
芬陀大师,fen'tuo'da'shi
风火道人,feng'huo'dao'ren
封禁,feng'jin
风雷针,feng'lei'zhen
凤四姑,feng'si'gu
冯吾,feng'wu
风梧,feng'wu
风箱峡,feng'xiang'xia
佛火,fo'huo
佛家,fo'jia
佛奴,fo'nu
伏波崖,fu'bo'ya
伏瓜拔老神魔,fu'gua'ba'lao'shen'mo
伏魔金环,fu'mo'jin'huan
伏魔旗门,fu'mo'qi'men
伏魔真人,fu'mo'zhen'ren
伏牛岛,fu'niu'dao
芙蓉行者,fu'rong'xing'zhe
伏尸峡,fu'shi'xia
附体,fu'ti
伏羲镜,fu'xi'jing
福仙潭,fu'xian'tan
改邪归正,gai'xie'gui'zheng
甘碧梧,gan'bi'wu
干神蛛,gan'shen'zhu
甘象,gan'xiang
甘熊,gan'xiong
高丽贡,gao'li'gong
高黎贡山,gao'li'gong'shan
高僧,gao'seng
犵雕,ge'diao
戈符,ge'fu
根器,gen'qi
庚甲运化天芒神针,geng'jia'yun'hua'tian'mang'shen'zhen
耿鲲,geng'kun
功德,gong'de
宫琳,gong'lin
巩霜鬟,gong'shuang'huan
公孙道明,gong'sun'dao'ming
公孙武,gong'sun'wu
公冶黄,gong'ye'huang
勾魂姹女,gou'hun'cha'nv
勾显,gou'xian
谷辰,gu'chen
古陈仓,gu'chen'cang
蛊惑,gu'huo
姑婆岭,gu'po'ling
古铁令符,gu'tie'ling'fu
谷王峰,gu'wang'feng
固形丸,gu'xing'wan
古玉符,gu'yu'fu
古正,gu'zheng
怪叫花,guai'jiao'hua
乖僻,guai'pi
怪僻,guai'pi
怪蛇,guai'she
关帝庙,guan'di'miao
关临,guan'lin
贯明扬,guan'ming'yang
管青衣,guan'qing'yi
观在,guan'zai
广成子,guang'cheng'zi
广慧师太,guang'hui'shi'tai
光明境,guang'ming'jing
广明师太,guang'ming'shi'tai
归藏袋,gui'cang'dai
归大年,gui'da'nian
鬼道人,gui'dao'ren
桂花山,gui'hua'shan
鬼魂,gui'hun
鬼姥,gui'lao
鬼母,gui'mu
鬼母山,gui'mu'shan
鬼女,gui'nv
癸水雷珠,gui'shui'lei'zhu
鬼王,gui'wang
归吾,gui'wu
鬼眼毒针,gui'yan'du'zhen
鬼婴儿,gui'ying'er
归元箭,gui'yuan'jian
归元寺,gui'yuan'si
郭云璞,guo'yun'pu
哈葛尼布,ha'ge'ni'bu
哈哈,ha'ha
哈哈老祖,ha'ha'lao'zu
哈哈僧,ha'ha'seng
哈延,ha'yan
海仙洞,hai'xian'dong
海心礁二,hai'xin'jiao'er
寒碧,han'bi
寒碧剑,han'bi'jian
寒萼,han'e
寒光,han'guang
寒光道人,han'guang'dao'ren
寒琼仙子,han'qiong'xian'zi
寒山妖道,han'shan'yao'dao
韩松,han'song
寒犀照,han'xi'zhao
寒霞障,han'xia'zhang
韩仙子,han'xian'zi
韩玄,han'xuan
寒氤宝鼎,han'yin'bao'ding
寒月禅师,han'yue'chan'shi
郝敬,hao'jing
郝宽,hao'kuan
郝潜夫,hao'qian'fu
昊天鉴,hao'tian'jian
郝行健,hao'xing'jian
何焕,he'huan
合欢莲,he'huan'lian
贺萍子,he'ping'zi
喝泉崖,he'quan'ya
何渭,he'wei
何小山,he'xiao'shan
何兴,he'xing
何永亮,he'yong'liang
黑丑,hei'chou
黑狗钉,hei'gou'ding
黑海,hei'hai
黑孩儿,hei'hai'er
黑伽三童,hei'jia'san'tong
黑伽山,hei'jia'shan
黑蛮山,hei'man'shan
黑霉钉,hei'mei'ding
黑讫姥,hei'qi'lao
黑煞剑,hei'sha'jian
黑煞落魂砂,hei'sha'luo'hun'sha
黑煞丝,hei'sha'si
黑神女,hei'shen'nv
黑手仙长,hei'shou'xian'chang
黑猿,hei'yuan
恒山,heng'shan
恒山三凶,heng'shan'san'xiong
洪长豹,hong'chang'bao
洪大肚,hong'da'du
红发,hong'fa
红发老祖,hong'fa'lao'zu
红花,hong'hua
红花鬼母,hong'hua'gui'mu
红花和尚,hong'hua'he'shang
红花姥姥,hong'hua'lao'lao
红蛟剪,hong'jiao'jian
红菱磴,hong'ling'deng
红毛,hong'mao
虹霓剑,hong'ni'jian
红影,hong'ying
红欲袋,hong'yu'dai
宏愿,hong'yuan
红云大师,hong'yun'da'shi
红云针,hong'yun'zhen
洪真武,hong'zhen'wu
红蛛剑,hong'zhu'jian
侯曾,hou'ceng
后进,hou'jin
侯显,hou'xian
后羿射阳弩,hou'yi'she'yang'nu
呼侗,hu'dong
胡嘉,hu'jia
呼加卓图,hu'jia'zhuo'tu
胡览,hu'lan
虎面伽蓝,hu'mian'qie'lan
湖神观,hu'shen'guan
护神牌,hu'shen'pai
胡式,hu'shi
虎头禅师,hu'tou'chan'shi
虎爪山,hu'zhao'shan
花绿绮,hua'lv'qi
花奇,hua'qi
化去,hua'qu
化去天生异禀,hua'qu'tian'sheng'yi'bing
华山,hua'shan
华山派,hua'shan'pai
花无邪,hua'wu'xie
化血宝刀,hua'xue'bao'dao
化血神钉,hua'xue'shen'ding
华瑶崧,hua'yao'song
华岳仙童,hua'yue'xian'tong
花云崖,hua'yun'ya
幻波池,huan'bo'chi
欢喜神魔,huan'xi'shen'mo
桓玉,huan'yu
黄风,huang'feng
黄风道人,huang'feng'dao'ren
黄贡,huang'gong
黄精剑,huang'jing'jian
黄龙山,huang'long'shan
黄猛,huang'meng
黄人龙,huang'ren'long
黄人瑜,huang'ren'yu
黄山,huang'shan
黄石洞,huang'shi'dong
黄骕,huang'su
黄畹秋,huang'wan'qiu
黄玄极,huang'xuan'ji
黄鱼岛,huang'yu'dao
黄璋,huang'zhang
黄肿道人,huang'zhong'dao'ren
慧明,hui'ming
慧能,hui'neng
慧性,hui'xing
慧行,hui'xing
慧珠,hui'zhu
混元幡,hun'yuan'fan
混元老祖,hun'yuan'lao'zu
混元一气球,hun'yuan'yi'qi'qiu
混元终气套,hun'yuan'zhong'qi'tao
混元祖师,hun'yuan'zu'shi
火蝙蝠,huo'bian'fu
火德星君,huo'de'xing'jun
火法师,huo'fa'shi
火法真人,huo'fa'zhen'ren
火海,huo'hai
霍合,huo'he
火解,huo'jie
火龙钗,huo'long'chai
火龙礁,huo'long'jiao
火鲁齐,huo'lu'qi
火狮子,huo'shi'zi
火太岁,huo'tai'sui
火无害,huo'wu'hai
火无量,huo'wu'liang
火星,huo'xing
火行者,huo'xing'zhe
火修罗,huo'xiu'luo
火眼金狮,huo'yan'jin'shi
火殃神,huo'yang'shen
火翼金刚,huo'yi'jin'gang
火月,huo'yue
火云冲,huo'yun'chong
火云洞,huo'yun'dong
火云链,huo'yun'lian
火云岭,huo'yun'ling
火真经,huo'zhen'jing
火珠原,huo'zhu'yuan
几百年,ji'bai'nian
积翠崖,ji'cui'ya
纪登,ji'deng
姬繁,ji'fan
极光球,ji'guang'qiu
极乐真人,ji'le'zhen'ren
寂灭神钟,ji'mie'shen'zhong
记名弟子,ji'ming'di'zi
丌南公,ji'nan'gong
姬蜃,ji'shen
姬旋,ji'xuan
稽一鸥,ji'yi'ou
吉永,ji'yong
汲占,ji'zhan
伽难珠,jia'nan'zhu
迦叶金光镜,jia'ye'jin'guang'jing
甲子,jia'zi
简冰如,jian'bing'ru
健儿,jian'er
简清华,jian'qing'hua
剑仙,jian'xian
简瑶华,jian'yao'hua
蒋诚言,jiang'cheng'yan
蒋三姑,jiang'san'gu
姜庶,jiang'shu
江涛,jiang'tao
姜渭,jiang'wei
姜渭渔,jiang'wei'yu
蒋仙子,jiang'xian'zi
蒋诩,jiang'xu
绛雪,jiang'xue
姜雪君,jiang'xue'jun
绛云真人,jiang'yun'zhen'ren
姜真人,jiang'zhen'ren
江芷云,jiang'zhi'yun
鲛人岛,jiao'ren'dao
介道人,jie'dao'ren
介乎,jie'hu
借体重生,jie'ti'zhong'sheng
解脱庵,jie'tuo'an
芥子藏身法,jie'zi'cang'shen'fa
金贝叶,jin'bei'ye
金碧神锋,jin'bi'shen'feng
金臂行者,jin'bi'xing'zhe
金鞭崖,jin'bian'ya
金蝉,jin'chan
锦春谷,jin'chun'gu
金刀仙子,jin'dao'xian'zi
锦枫谷,jin'feng'gu
金风老人,jin'feng'lao'ren
金峰山,jin'feng'shan
金风寺,jin'feng'si
金佛寺,jin'fo'si
金蚨剑,jin'fu'jian
金凫仙子,jin'fu'xian'zi
金刚杵,jin'gang'chu
金刚护身之法,jin'gang'hu'shen'zhi'fa
金刚神火箭,jin'gang'shen'huo'jian
金刚神砂,jin'gang'shen'sha
金戈,jin'ge
金光大手,jin'guang'da'shou
金光鼎,jin'guang'ding
金光洞,jin'guang'dong
金光烈火剑,jin'guang'lie'huo'jian
金虹,jin'hong
金花,jin'hua
金花教主,jin'hua'jiao'zhu
金精神臂,jin'jing'shen'bi
金姥姥,jin'lao'lao
金姥姥罗紫烟,jin'lao'lao'luo'zi'yan
金莲神座,jin'lian'shen'zuo
金麟剑,jin'lin'jian
金龙梭,jin'long'suo
金萍,jin'ping
金菩提,jin'pu'ti
金神君,jin'shen'jun
金身罗汉,jin'shen'luo'han
金沈子,jin'shen'zi
金狮神佛,jin'shi'shen'fo
金石峡,jin'shi'xia
金姝,jin'shu
金泰,jin'tai
金庭山,jin'ting'shan
金头仙娘,jin'tou'xian'niang
金驼,jin'tuo
金鼍剑,jin'tuo'jian
金乌神火,jin'wu'shen'huo
金乌障,jin'wu'zhang
金犀剑,jin'xi'jian
金霞洞,jin'xia'dong
金线神姥,jin'xian'shen'lao
金须奴,jin'xu'nu
金燕,jin'yan
金眼狒狒,jin'yan'fei'fei
金银串,jin'yin'chuan
金银岛,jin'yin'dao
金银沙剑,jin'yin'sha'jian
金莺,jin'ying
金鸳神剪,jin'yuan'shen'jian
锦云兜,jin'yun'dou
锦云衣,jin'yun'yi
金针圣母,jin'zhen'sheng'mu
金钟岛,jin'zhong'dao
金钟岛主,jin'zhong'dao'zhu
镜波寺,jing'bo'si
镜澄,jing'cheng
警戒,jing'jie
荆门山,jing'men'shan
精气,jing'qi
镜天湖,jing'tian'hu
鲸涎锤,jing'xian'chui
静修,jing'xiu
九宫宝镜,jiu'gong'bao'jing
九宫环,jiu'gong'huan
九宫朱灵旗,jiu'gong'zhu'ling'qi
九还岭,jiu'hai'ling
九寒沙,jiu'han'sha
九华山,jiu'hua'shan
九戒仙幢,jiu'jie'xian'zhuang
九九修罗刀,jiu'jiu'xiu'luo'dao
九烈,jiu'lie
九烈神君,jiu'lie'shen'jun
九六宙灵梭,jiu'liu'zhou'ling'suo
九龙梭,jiu'long'suo
九龙真人,jiu'long'zhen'ren
鸠盘婆,jiu'pan'po
九曲柔丝,jiu'qu'rou'si
九世,jiu'shi
九天,jiu'tian
九天都罗神锋,jiu'tian'dou'luo'shen'feng
九天都篆阴魔大法,jiu'tian'dou'zhuan'yin'mo'da'fa
九天勾魂神君,jiu'tian'gou'hun'shen'jun
九天寒魄珠,jiu'tian'han'po'zhu
九天十地辟魔神梭,jiu'tian'shi'di'pi'mo'shen'suo
九天元阳尺,jiu'tian'yuan'yang'chi
九天云网,jiu'tian'yun'wang
九尾天狐,jiu'wei'tian'hu
九仙洞,jiu'xian'dong
九疑鼎,jiu'yi'ding
九疑鼎下,jiu'yi'ding'xia
九转百炼灵丹,jiu'zhuan'bai'lian'ling'dan
九转还金丹,jiu'zhuan'hai'jin'dan
九转轮,jiu'zhuan'lun
九子母阴魂剑,jiu'zi'mu'yin'hun'jian
九子母阴魔销魂大法,jiu'zi'mu'yin'mo'xiao'hun'da'fa
九子母元阳针,jiu'zi'mu'yuan'yang'zhen
巨洪,ju'hong
巨魁,ju'kui
聚奎剑,ju'kui'jian
居罗岛,ju'luo'dao
巨木神君,ju'mu'shen'jun
绝尘崖,jue'chen'ya
绝顶,jue'ding
绝尊者,jue'zun'zhe
喀音沙布,ka'yin'sha'bu
开府,kai'fu
开山祖师,kai'shan'zu'shi
开元寺,kai'yuan'si
坎离丹,kan'li'dan
坎离梭,kan'li'suo
坎离真,kan'li'zhen
坎离真人,kan'li'zhen'ren
可一子,ke'yi'zi
孔凌霄,kong'ling'xiao
孔灵子,kong'ling'zi
崆峒派,kong'tong'pai
空陀神僧,kong'tuo'shen'seng
苦孩儿,ku'hai'er
苦炼,ku'lian
苦铁长老,ku'tie'zhang'lao
苦行头陀,ku'xing'tou'tuo
苦修,ku'xiu
枯竹,ku'zhu
枯竹庵,ku'zhu'an
苦竹庵,ku'zhu'an
枯竹老人,ku'zhu'lao'ren
苦竹峡,ku'zhu'xia
快活村,kuai'huo'cun
葵香,kui'xiang
坤灵针,kun'ling'zhen
困龙珠,kun'long'zhu
昆仑,kun'lun
昆仑三友,kun'lun'san'you
括苍山,kuo'cang'shan
拉蛮,la'man
癞姑,lai'gu
蓝敕令,lan'chi'ling
蓝二龙,lan'er'long
蓝佬石,lan'lao'shi
蓝老铁,lan'lao'tie
蓝髯客,lan'ran'ke
蓝天狗,lan'tian'gou
郎飞,lang'fei
琅缳秘笈,lang'huan'mi'ji
琅嬛天府,lang'huan'tian'fu
老蚌,lao'bang
老疙疽,lao'ge'ju
姥姥,lao'lao
老魔,lao'mo
崂山,lao'shan
乐三官,le'san'guan
乐众,le'zhong
雷二娘,lei'er'niang
雷火,lei'huo
雷起龙,lei'qi'long
雷去恶,lei'qu'e
雷音,lei'yin
雷音椎,lei'yin'zhui
雷泽神剑,lei'ze'shen'jian
雷泽神砂,lei'ze'shen'sha
雷抓子,lei'zhua'zi
冷蝉沙,leng'chan'sha
冷光珠,leng'guang'zhu
冷魂峪,leng'hun'yu
冷焰寒雷,leng'yan'han'lei
冷焰九寒针,leng'yan'jiu'han'zhen
冷云丹,leng'yun'dan
冷云仙子,leng'yun'xian'zi
黎半风,li'ban'feng
黎成,li'cheng
离垢钟,li'gou'zhong
利害,li'hai
离合神光,li'he'shen'guang
离合五云圭,li'he'wu'yun'gui
李洪,li'hong
厉吼,li'hou
李厚,li'hou
李健,li'jian
李静虚,li'jing'xu
李昆吾,li'kun'wu
黎母岭,li'mu'ling
黎母真传,li'mu'zhen'chuan
李宁,li'ning
李如烟,li'ru'yan
丽山,li'shan
丽山七老,li'shan'qi'lao
黎绍,li'shao
李四姑,li'si'gu
黎望,li'wang
李文衎,li'wen'kan
离依岛,li'yi'dao
李英琼,li'ying'qiong
李玉玉,li'yu'yu
李元化,li'yuan'hua
郦芸,li'yun
李震川,li'zhen'chuan
离珠宫,li'zhu'gong
炼刚柔,lian'gang'rou
廉红药,lian'hong'yao
炼化,lian'hua
莲花峰,lian'hua'feng
炼就,lian'jiu
炼魔神针,lian'mo'shen'zhen
连山大师,lian'shan'da'shi
两翅,liang'chi
两极圈,liang'ji'quan
两极宙光盘,liang'ji'zhou'guang'pan
两界牌,liang'jie'pai
梁武帝,liang'wu'di
两仪幡,liang'yi'fan
两仪分光锉,liang'yi'fen'guang'cuo
两仪天昙镜,liang'yi'tian'tan'jing
辽东二魔,liao'dong'er'mo
了了和尚,liao'liao'he'shang
了一,liao'yi
列霸多,lie'ba'duo
烈火,lie'huo
烈火雷音剑,lie'huo'lei'yin'jian
烈火毛虫,lie'huo'mao'chong
烈火神珠,lie'huo'shen'zhu
烈火祖师,lie'huo'zu'shi
列缺双钩,lie'que'shuang'gou
林成祖,lin'cheng'zu
林寒,lin'han
林鹤,lin'he
林驾,lin'jia
林绿华,lin'lv'hua
林明淑,lin'ming'shu
林秋水,lin'qiu'shui
林瑞,lin'rui
林素娥,lin'su'e
林映雪,lin'ying'xue
林渊,lin'yuan
林总,lin'zong
凌操,ling'cao
灵光驭,ling'guang'yu
