暗堡,an'bao
灯火伪装,deng'huo'wei'zhuang
地堡,di'bao
地道,di'dao
地道工事,di'dao'gong'shi
地雷,di'lei
地雷爆破器材,di'lei'bao'po'qi'cai
地雷场,di'lei'chang
地雷群,di'lei'qun
低水桥,di'shui'qiao
电发,dian'fa
点火,dian'huo
点火法,dian'huo'fa
点火管,dian'huo'guan
点火机,dian'huo'ji
点火站,dian'huo'zhan
电雷管,dian'lei'guan
电网,dian'wang
碉堡,diao'bao
吊桥,diao'qiao
定点保障,ding'dian'bao'zhang
定时地雷,ding'shi'de'lei
定向爆破,ding'xiang'bao'po
定向地雷,ding'xiang'di'lei
定向器,ding'xiang'qi
峒室爆破,dong'shi'bao'po
动作拉力,dong'zuo'la'li
动作压力,dong'zuo'ya'li
渡场,du'chang
渡场长,du'chang'chang
渡场撤收,du'chang'che'shou
渡场出发线,du'chang'chu'fa'xian
渡场救护打捞站,du'chang'jiu'hu'da'lao'zhan
渡场勤务,du'chang'qin'wu
渡场水上巡逻队,du'chang'shui'shang'xun'luo'dui
渡场调整哨,du'chang'tiao'zheng'shao
渡场指挥所,du'chang'zhi'hui'suo
渡河,du'he
渡河地段,du'he'di'duan
渡河地区,du'he'di'qu
渡河机械,du'he'ji'xie
渡河架桥机械,du'he'jia'qiao'ji'xie
渡河检查站,du'he'jian'cha'zhan
渡河器材,du'he'qi'cai
渡河器材集结场,du'he'qi'cai'ji'jie'chang
毒剂地雷,du'ji'di'lei
渡江,du'jiang
渡口,du'kou
独立工程兵,du'li'gong'cheng'bing
短洞,duan'dong
断崖,duan'ya
对壕作业,dui'hao'zuo'ye
堆积式工事,dui'ji'shi'gong'shi
队属工兵,dui'shu'gong'bing
队属工程兵,dui'shu'gong'cheng'bing
钝化太安,dun'hua'tai'an
钝化泰恩,dun'hua'tai'en
发航点,fa'hang'dian
发火方式,fa'huo'fang'shi
发火拉力,fa'huo'la'li
发火装置,fa'huo'zhuang'zhi
筏子,fa'zi
反铲,fan'chan
泛水,fan'shui
泛水线,fan'shui'xian
反坦克手雷,fan'tan'ke'shou'lei
防步兵地雷,fang'bu'bing'di'lei
防步兵障碍物,fang'bu'bing'zhang'ai'wu
防登陆障碍物,fang'deng'lu'zhang'ai'wu
防光学侦察伪装,fang'guang'xue'zhen'cha'wei'zhuang
防护门,fang'hu'men
防护密闭门,fang'hu'mi'bi'men
防空降地雷,fang'kong'jiang'di'lei
防空降障碍物,fang'kong'jiang'zhang'ai'wu
防雷达伪装网,fang'lei'da'wei'zhuang'wang
防雷达侦察伪装,fang'lei'da'zhen'cha'wei'zhuang
防热红外线侦察伪装,fang're'hong'wai'xian'zhen'cha'wei'zhuang
防坦克地雷,fang'tan'ke'di'lei
防坦克壕,fang'tan'ke'hao
防坦克减速沟坝,fang'tan'ke'jian'su'gou'ba
防坦克三角沟,fang'tan'ke'san'jiao'gou
防坦克三角锥,fang'tan'ke'san'jiao'zhui
防坦克障碍物,fang'tan'ke'zhang'ai'wu
防探性,fang'tan'xing
方形舟,fang'xing'zhou
方舟,fang'zhou
非爆炸性障碍物,fei'bao'zha'xing'zhang'ai'wu
非操纵,fei'cao'zong
非耐爆,fei'nai'bao
飞散爆破,fei'san'bao'po
飞散角,fei'san'jiao
封闭通路,feng'bi'tong'lu
浮囊,fu'nang
浮桥,fu'qiao
浮游部分,fu'you'bu'fen
浮游拦障,fu'you'lan'zhang
浮游桥脚,fu'you'qiao'jiao
干扰遮障,gan'rao'zhe'zhang
钢珠,gang'zhu
高桩铁丝网,gao'zhuang'tie'si'wang
隔绝遮障,ge'jue'zhe'zhang
工兵,gong'bing
工兵部队,gong'bing'bu'dui
工程保障,gong'cheng'bao'zhang
工程保障计划,gong'cheng'bao'zhang'ji'hua
工程保障指示,gong'cheng'bao'zhang'zhi'shi
工程兵,gong'cheng'bing
工程兵预备队,gong'cheng'bing'yu'bei'dui
工程兵战术,gong'cheng'bing'zhan'shu
工程兵专业技术,gong'cheng'bing'zhuan'ye'ji'shu
工程措施,gong'cheng'cuo'shi
工程构筑,gong'cheng'gou'zhu
工程观察哨,gong'cheng'guan'cha'shao
工程机具,gong'cheng'ji'ju
工程机械,gong'cheng'ji'xie
工程机械管理,gong'cheng'ji'xie'guan'li
工程机械载运,gong'cheng'ji'xie'zai'yun
工程决心,gong'cheng'jue'xin
工程勘察,gong'cheng'kan'cha
工程量,gong'cheng'liang
工程器材,gong'cheng'qi'cai
工程设施,gong'cheng'she'shi
工程维护部队,gong'cheng'wei'hu'bu'dui
工程维护总队,gong'cheng'wei'hu'zong'dui
工程障碍物,gong'cheng'zhang'ai'wu
工程侦察,gong'cheng'zhen'cha
工程侦察群,gong'cheng'zhen'cha'qun
工程侦察组,gong'cheng'zhen'cha'zu
工程装备,gong'cheng'zhuang'bei
工程作业,gong'cheng'zuo'ye
攻坚爆破,gong'jian'bao'po
工事,gong'shi
工事防护等级,gong'shi'fang'hu'deng'ji
工事抗力,gong'shi'kang'li
工事抗力等级,gong'shi'kang'li'deng'ji
供水标准,gong'shui'biao'zhun
构筑防步兵障碍物,gou'zhu'fang'bu'bing'zhang'ai'wu
构筑防登陆障碍物,gou'zhu'fang'deng'lu'zhang'ai'wu
构筑防空降障碍物,gou'zhu'fang'kong'jiang'zhang'ai'wu
构筑防坦克障碍物,gou'zhu'fang'tan'ke'zhang'ai'wu
构筑工事,gou'zhu'gong'shi
构筑给水站,gou'zhu'ji'shui'zhan
构筑障碍物,gou'zhu'zhang'ai'wu
固定桥脚,gu'ding'qiao'jiao
挂弹,gua'tan
观察工事,guan'cha'gong'shi
灌注,guan'zhu
光面爆破,guang'mian'bao'po
诡雷,gui'lei
轨条砦,gui'tiao'zhai
滚筒码头,gun'tong'ma'tou
过水路面,guo'shui'lu'mian
壕底,hao'di
壕宽,hao'kuan
壕深,hao'shen
核心工事,he'xin'gong'shi
河中舟,he'zhong'zhou
黑色火药,hei'se'huo'yao
黑色炸药,hei'se'zha'yao
黑索今,hei'suo'jin
横桁,heng'heng
桁架滚送器,heng'jia'gun'song'qi
桁架连接器,heng'jia'lian'jie'qi
横向路,heng'xiang'lu
化学地雷,hua'xue'di'lei
回流,hui'liu
回填,hui'tian
混合地雷场,hun'he'di'lei'chang
混合雷场,hun'he'lei'chang
火工品,huo'gong'pin
火箭爆破器,huo'jian'bao'po'qi
火箭爆破弹,huo'jian'bao'po'tan
火箭布雷弹,huo'jian'bu'lei'tan
火具,huo'ju
火雷管,huo'lei'guan
火帽,huo'mao
火药,huo'yao
火障,huo'zhang
火障碍物,huo'zhang'ai'wu
机动设置障碍物,ji'dong'she'zhi'zhang'ai'wu
击发机构,ji'fa'ji'gou
汲水,ji'shui
给水点,ji'shui'dian
给水器材,ji'shui'qi'cai
给水勤务,ji'shui'qin'wu
给水站,ji'shui'zhan
集团药包,ji'tuan'yao'bao
机械场,ji'xie'chang
机械场勤务,ji'xie'chang'qin'wu
机械化桥,ji'xie'hua'qiao
机械技术检查站,ji'xie'ji'shu'jian'cha'zhan
急造军路,ji'zao'jun'lu
假目标,jia'mu'biao
架桥,jia'qiao
架桥车,jia'qiao'che
架设桥梁,jia'she'qiao'liang
加隙板,jia'xi'ban
架柱栈桥,jia'zhu'zhan'qiao
尖形舟,jian'xing'zhou
尖舟,jian'zhou
建筑部队,jian'zhu'bu'dui
江河水雷,jiang'he'shui'lei
角反射器,jiao'fan'she'qi
交通壕,jiao'tong'hao
交通量,jiao'tong'liang
脚线,jiao'xian
接近路,jie'jin'lu
街垒,jie'lei
进出口,jin'chu'kou
进出口桁,jin'chu'kou'heng
进出路,jin'chu'lu
近迫作业,jin'po'zuo'ye
经始,jing'shi
净水,jing'shui
就便器材,jiu'bian'qi'cai
拒马,ju'ma
掘进,jue'jin
掘开式工事,jue'kai'shi'gong'shi
军事工程学术,jun'shi'gong'cheng'xue'shu
军用道路,jun'yong'dao'lu
军用桥梁,jun'yong'qiao'liang
开辟通路,kai'pi'tong'lu
开设渡场,kai'she'du'chang
康铜桥丝,kang'tong'qiao'si
康铜桥丝电雷管,kang'tong'qiao'si'dian'lei'guan
可撒布地雷,ke'sa'bu'di'lei
坑道,keng'dao
坑道爆破,keng'dao'bao'po
坑道工事,keng'dao'gong'shi
坑道维护,keng'dao'wei'hu
控制标示绳,kong'zhi'biao'shi'sheng
扩爆药,kuo'bao'yao
扩爆药柱,kuo'bao'yao'zhu
拉火柄,la'huo'bing
拉火管,la'huo'guan
拉火拴,la'huo'shuan
拉火丝,la'huo'si
拦障,lan'zhang
雷场,lei'chang
雷场勤务,lei'chang'qin'wu
雷场文件,lei'chang'wen'jian
雷达散射网,lei'da'san'she'wang
雷带,lei'dai
雷锭,lei'ding
雷汞,lei'gong
雷管,lei'guan
雷壳,lei'ke
雷列,lei'lie
雷区,lei'qu
雷索,lei'suo
雷体,lei'ti
连环雷,lian'huan'lei
流线,liu'xian
路面构件,lu'mian'gou'jian
露天工事,lu'tian'gong'shi
鹿砦,lu'zhai
路障,lu'zhang
卵形工事,luan'xing'gong'shi
轮式荷载,lun'shi'he'zai
轮式轴压,lun'shi'zhou'ya
螺旋固定桩,luo'xuan'gu'ding'zhuang
履带接地长,lv'dai'jie'di'chang
履带式荷载,lv'dai'shi'he'zai
帽堡,mao'bao
锚定门桥,mao'ding'men'qiao
锚定水雷,mao'ding'shui'lei
门桥,men'qiao
门桥长,men'qiao'chang
门桥渡场,men'qiao'du'chang
门桥渡河,men'qiao'du'he
密闭门,mi'bi'men
迷彩,mi'cai
迷彩服,mi'cai'fu
迷彩伪装,mi'cai'wei'zhuang
密集杀伤半径,mi'ji'sha'shang'ban'jing
密集杀伤角,mi'ji'sha'shang'jiao
密集杀伤距离,mi'ji'sha'shang'ju'li
民舟,min'zhou
摩擦药,mo'ca'yao
目标暴露征候,mu'biao'bao'lu'zheng'hou
目标伪装,mu'biao'wei'zhuang
耐爆,nai'bao
耐爆性,nai'bao'xing
耐爆性能,nai'bao'xing'neng
镍铬桥丝,nie'ge'qiao'si
镍铬桥丝电雷管,nie'ge'qiao'si'dian'lei'guan
排除防步兵障碍物,pai'chu'fang'bu'bing'zhang'ai'wu
排除防登陆障碍物,pai'chu'fang'deng'lu'zhang'ai'wu
排除防空降障碍物,pai'chu'fang'kong'jiang'zhang'ai'wu
排除防坦克障碍物,pai'chu'fang'tan'ke'zhang'ai'wu
排除障碍物,pai'chu'zhang'ai'wu
排雷,pai'lei
排弹,pai'tan
抛射药包,pao'she'yao'bao
配水,pei'shui
喷火距离,pen'huo'ju'li
喷火时间,pen'huo'shi'jian
偏流距离,pian'liu'ju'li
漂雷,piao'lei
破坏药,po'huai'yao
破坏作业,po'huai'zuo'ye
破片地雷,po'pian'di'lei
起爆,qi'bao
起爆电流,qi'bao'dian'liu
起爆能力,qi'bao'neng'li
起爆器,qi'bao'qi
起爆药,qi'bao'yao
器材集结场,qi'cai'ji'jie'chang
堑壕,qian'hao
前沿前,qian'yan'qian
牵引汽艇,qian'yin'qi'ting
强行爆破,qiang'xing'bao'po
桥板,qiao'ban
桥础,qiao'chu
桥础材,qiao'chu'cai
桥渡场,qiao'du'chang
桥桁,qiao'heng
桥脚,qiao'jiao
桥脚舟,qiao'jiao'zhou
桥节,qiao'jie
桥节车,qiao'jie'che
桥节门桥,qiao'jie'men'qiao
桥梁渡河,qiao'liang'du'he
桥梁渡河器材,qiao'liang'du'he'qi'cai
桥梁跨径,qiao'liang'kua'jing
桥梁维护,qiao'liang'wei'hu
桥头,qiao'tou
桥轴线,qiao'zhou'xian
轻便器材渡场,qing'bian'qi'cai'du'chang
轻便器材渡河,qing'bian'qi'cai'du'he
轻便桥,qing'bian'qiao
倾斜遮障,qing'xie'zhe'zhang
轻型舟桥,qing'xing'zhou'qiao
泅渡,qiu'du
泅渡场,qiu'du'chang
球形工事,qiu'xing'gong'shi
全备弹,quan'bei'tan
全形舟,quan'xing'zhou
燃料空气炸药,ran'liao'kong'qi'zha'yao
燃烧地雷,ran'shao'di'lei
燃速,ran'su
人工伪装,ren'gong'wei'zhuang
人工障碍物,ren'gong'zhang'ai'wu
人工遮障,ren'gong'zhe'zhang
散兵坑,san'bing'keng
三角码头,san'jiao'ma'tou
三角锥,san'jiao'zhui
扫雷,sao'lei
扫雷锚,sao'lei'mao
扫雷器,sao'lei'qi
扫雷器材,sao'lei'qi'cai
上部结构,shang'bu'jie'gou
射程,she'cheng
蛇腹性铁丝网,she'fu'xing'tie'si'wang
射击工事,she'ji'gong'shi
射界,she'jie
伸缩门桥,shen'suo'men'qiao
实施工程侦察,shi'shi'gong'cheng'zhen'cha
实施破坏作业,shi'shi'po'huai'zuo'ye
实施伪装,shi'shi'wei'zhuang
首脑工程,shou'nao'gong'cheng
首舟,shou'zhou
水面上桥,shui'mian'shang'qiao
水面下桥,shui'mian'xia'qiao
水平遮障,shui'ping'zhe'zhang
水源污染,shui'yuan'wu'ran
水障,shui'zhang
水障碍物,shui'zhang'ai'wu
水质改善,shui'zhi'gai'shan
水质鉴定,shui'zhi'jian'ding
水中爆破,shui'zhong'bao'po
水中障碍物,shui'zhong'zhang'ai'wu
瞬发,shun'fa
松发,song'fa
松散爆破,song'san'bao'po
塑性炸药,su'xing'zha'yao
遂行工程保障,sui'xing'gong'cheng'bao'zhang
索道桥,suo'dao'qiao
塌方,ta'fang
弹长,tan'chang
弹径,tan'jing
探雷器,tan'lei'qi
探雷器材,tan'lei'qi'cai
探雷针,tan'lei'zhen
特屈儿,te'qu'er
特种地雷,te'zhong'di'lei
特种舟桥,te'zhong'zhou'qiao
腾炸高度,teng'zha'gao'du
梯恩梯,ti'en'ti
天然伪装,tian'ran'wei'zhuang
天然障碍物,tian'ran'zhang'ai'wu
天然遮障,tian'ran'zhe'zhang
跳板,tiao'ban
跳雷,tiao'lei
铁丝网,tie'si'wang
通路勤务,tong'lu'qin'wu
通路通行能力,tong'lu'tong'xing'neng'li
透水路基,tou'shui'lu'ji
透水路提,tou'shui'lu'ti
徒步浮桥,tu'bu'fu'qiao
徒步桥,tu'bu'qiao
土工作业,tu'gong'zuo'ye
徒涉,tu'she
徒涉场,tu'she'chang
徒涉渡河,tu'she'du'he
屯兵工事,tun'bing'gong'shi
外壕,wai'hao
尾舟,wei'zhou
伪装,wei'zhuang
伪装部队,wei'zhuang'bu'dui
伪装器材,wei'zhuang'qi'cai
伪装伞,wei'zhuang'san
伪装蚀片,wei'zhuang'shi'pian
伪装网,wei'zhuang'wang
伪装衣,wei'zhuang'yi
陷阱,xian'jing
橡皮舟,xiang'pi'zhou
硝铵炸药,xiao'an'zha'yao
斜撑桥,xie'cheng'qiao
信号地雷,xin'hao'di'lei
行车密度,xing'che'mi'du
行军角,xing'jun'jiao
修筑道路,xiu'zhu'dao'lu
削壁,xue'bi
雪垒,xue'lei
巡回保障,xun'hui'bao'zhang
压板,ya'ban
崖壁,ya'bi
压发,ya'fa
崖孔,ya'kong
压缩爆破,ya'suo'bao'po
掩蔽部,yan'bi'bu
掩蔽工事,yan'bi'gong'shi
掩蔽所,yan'bi'suo
掩盖工事,yan'gai'gong'shi
掩盖遮障,yan'gai'zhe'zhang
掩壕,yan'hao
烟幕伪装,yan'mu'wei'zhuang
延期地雷,yan'qi'di'lei
延期电雷管,yan'qi'dian'lei'guan
延期时间,yan'qi'shi'jian
延期时间误差,yan'qi'shi'jian'wu'cha
掩体,yan'ti
养护,yang'hu
药包,yao'bao
药壶,yao'hu
遥控距离,yao'kong'ju'li
遥控起爆器,yao'kong'qi'bao'qi
药块,yao'kuai
药室,yao'shi
液体炸药,ye'ti'zha'yao
野战工程给水,ye'zhan'gong'cheng'ji'shui
野战工程机械,ye'zhan'gong'cheng'ji'xie
野战工事,ye'zhan'gong'shi
野战给水,ye'zhan'ji'shui
野战给水工程分队,ye'zhan'ji'shui'gong'cheng'fen'dui
野战筑城,ye'zhan'zhu'cheng
移动性障碍物,yi'dong'xing'zhang'ai'wu
隐蔽爆破,yin'bi'bao'po
音响伪装,yin'xiang'wei'zhuang
应用地雷,ying'yong'di'lei
应用水雷,ying'yong'shui'lei
永备工事,yong'bei'gong'shi
永备筑城,yong'bei'zhu'cheng
永备筑城工程机械,yong'bei'zhu'cheng'gong'cheng'ji'xie
有效杀伤半径,you'xiao'sha'shang'ban'jing
有效杀伤距离,you'xiao'sha'shang'ju'li
预备路,yu'bei'lu
迂回路,yu'hui'lu
预制构件,yu'zhi'gou'jian
缘材,yuan'cai
运动保障,yun'dong'bao'zhang
运动保障队,yun'dong'bao'zhang'dui
炸药,zha'yao
炸药包,zha'yao'bao
战斗保险期,zhan'dou'bao'xian'qi
战斗部,zhan'dou'bu
战斗工事,zhan'dou'gong'shi
栈桥,zhan'qiao
障碍排除队,zhang'ai'pai'chu'dui
障碍设置队,zhang'ai'she'zhi'dui
障碍深,zhang'ai'shen
障碍物,zhang'ai'wu
障碍物密度,zhang'ai'wu'mi'du
障碍物配系,zhang'ai'wu'pei'xi
障碍物体系,zhang'ai'wu'ti'xi
照明地雷,zhao'ming'di'lei
遮障,zhe'zhang
阵地机械,zhen'di'ji'xie
正铲,zheng'chan
整体式工事,zheng'ti'shi'gong'shi
指挥防护工程,zhi'hui'fang'hu'gong'cheng
指挥工事,zhi'hui'gong'shi
指挥所掩蔽工事,zhi'hui'suo'yan'bi'gong'shi
直列药包,zhi'lie'yao'bao
制式地雷,zhi'shi'di'lei
制式器材,zhi'shi'qi'cai
制式桥,zhi'shi'qiao
制式桥梁器材,zhi'shi'qiao'liang'qi'cai
制式药块,zhi'shi'yao'kuai
植物伪装,zhi'wu'wei'zhuang
中间舟,zhong'jian'zhou
重型舟桥,zhong'xing'zhou'qiao
舟车,zhou'che
轴荷分配,zhou'he'fen'pei
舟桥,zhou'qiao
舟桥部队,zhou'qiao'bu'dui
舟桥器材,zhou'qiao'qi'cai
舟桥器材泛水,zhou'qiao'qi'cai'fan'shui
轴压力,zhou'ya'li
筑城,zhu'cheng
筑城障碍物,zhu'cheng'zhang'ai'wu
筑路机械,zhu'lu'ji'xie
竹签桩,zhu'qian'zhuang
贮水,zhu'shui
助旋发动机,zhu'xuan'fa'dong'ji
主装药,zhu'zhuang'yao
装配式公路钢桥,zhuang'pei'shi'gong'lu'gang'qiao
装配式工事,zhuang'pei'shi'gong'shi
装药,zhuang'yao
装药重,zhuang'yao'zhong
桩砦,zhuang'zhai
准爆电流,zhun'bao'dian'liu
自行舟桥,zi'xing'zhou'qiao
自由航速,zi'you'hang'su
纵长米,zong'chang'mi
纵向路,zong'xiang'lu
最大飞散角,zui'da'fei'san'jiao
作业力,zuo'ye'li
作业量,zuo'ye'liang
作业率,zuo'ye'lv
