艾子村,ai'zi'cun
新贤村,xin'xian'cun
辛庄村,xin'zhuang'cun
杏湾村,xing'wan'cun
兴裕村,xing'yu'cun
宣柴堡村,xuan'chai'bao'cun
崖头村,ya'tou'cun
堰头村,yan'tou'cun
演武村,yan'wu'cun
杨家庄村,yang'jia'zhuang'cun
阳泉村,yang'quan'cun
窑头村,yao'tou'cun
义安村,yi'an'cun
义丰北村,yi'feng'bei'cun
义丰南村,yi'feng'nan'cun
永安村,yong'an'cun
虞城村,yu'cheng'cun
余家垣村,yu'jia'yuan'cun
峪口村,yu'kou'cun
玉兰村,yu'lan'cun
原家社村,yuan'jia'she'cun
垣头村,yuan'tou'cun
员庄村,yuan'zhuang'cun
张多村,zhang'duo'cun
张家堡村,zhang'jia'bao'cun
张家坡村,zhang'jia'po'cun
张家庄村,zhang'jia'zhuang'cun
张新堡村,zhang'xin'bao'cun
张兴村,zhang'xing'cun
赵家堡村,zhao'jia'bao'cun
赵家街村,zhao'jia'jie'cun
赵家庄村,zhao'jia'zhuang'cun
招贤村,zhao'xian'cun
朝阳坡村,zhao'yang'po'cun
赵庄村,zhao'zhuang'cun
中上达村,zhong'shang'da'cun
中西庄村,zhong'xi'zhuang'cun
中寨村,zhong'zhai'cun
中庄村,zhong'zhuang'cun
潴城村,zhu'cheng'cun
庄上村,zhuang'shang'cun
庄子村,zhuang'zi'cun
籽城坊村,zi'cheng'fang'cun
紫家堰村,zi'jia'yan'cun
