按照本款处理,an'zhao'ben'kuan'chu'li
就成为,jiu'cheng'wei
九道直线,jiu'dao'zhi'xian
九宫,jiu'gong
就决定判和,jiu'jue'ding'pan'he
就可,jiu'ke
九炮,jiu'pao
就算和棋,jiu'suan'he'qi
就算输棋,jiu'suan'shu'qi
局面属实,ju'mian'shu'shi
局面无关时,ju'mian'wu'guan'shi
卷下,juan'xia
均为拒绝,jun'wei'ju'jue
均在马蹄之下,jun'zai'ma'ti'zhi'xia
看的是,kan'de'shi
可打死红兵,ke'da'si'hong'bing
可见黑第,ke'jian'hei'di
可进可退,ke'jin'ke'tui
可以有效地,ke'yi'you'xiao'de
可以直进,ke'yi'zhi'jin
可由任何一方,ke'you'ren'he'yi'fang
可走,ke'zou
控局,kong'ju
控局得胜,kong'ju'de'sheng
控局制胜,kong'ju'zhi'sheng
控制红兵,kong'zhi'hong'bing
控制局势,kong'zhi'ju'shi
口头不同意,kou'tou'bu'tong'yi
困毙,kun'bi
困法,kun'fa
来表示,lai'biao'shi
来代表,lai'dai'biao
拦炮,lan'pao
老兵建功,lao'bing'jian'gong
老棋王,lao'qi'wang
李来群,li'lai'qun
利用时间差,li'yong'shi'jian'cha
两款属于提和,liang'kuan'shu'yu'ti'he
另一方必须回避,ling'yi'fang'bi'xu'hui'bi
另一方已,ling'yi'fang'yi
柳大华,liu'da'hua
刘殿中,liu'dian'zhong
六士,liu'shi
六十回合规则,liu'shi'hui'he'gui'ze
路边卒,lu'bian'zu
路车,lu'che
路河头,lu'he'tou
路炮,lu'pao
掠黑,lue'hei
掠仕获胜,lue'shi'huo'sheng
掠相,lue'xiang
轮到走棋的一方,lun'dao'zou'qi'de'yi'fang
轮走的,lun'zou'de
落家老练之着,luo'jia'lao'lian'zhi'zhe
吕钦,lv'qin
马八进九,ma'ba'jin'jiu
马八进六,ma'ba'jin'liu
马八进七,ma'ba'jin'qi
马八进七车,ma'ba'jin'qi'che
马八退九,ma'ba'tui'jiu
马八退六,ma'ba'tui'liu
马八退七,ma'ba'tui'qi
马长捉兵,ma'chang'zhuo'bing
马出路,ma'chu'lu
马二进三,ma'er'jin'san
马二进四,ma'er'jin'si
马二进一,ma'er'jin'yi
马二退三,ma'er'tui'san
马二退四,ma'er'tui'si
马后炮,ma'hou'pao
马九进八,ma'jiu'jin'ba
马九进七,ma'jiu'jin'qi
马九进七车,ma'jiu'jin'qi'che
马九退八,ma'jiu'tui'ba
马九退七,ma'jiu'tui'qi
马六进八,ma'liu'jin'ba
马六进七,ma'liu'jin'qi
马六进四,ma'liu'jin'si
马六进五,ma'liu'jin'wu
马六进五车,ma'liu'jin'wu'che
马六退八,ma'liu'tui'ba
马六退七,ma'liu'tui'qi
马六退四,ma'liu'tui'si
马六退五,ma'liu'tui'wu
马每着走,ma'mei'zhe'zou
马炮,ma'pao
马炮兵,ma'pao'bing
马炮双兵,ma'pao'shuang'bing
马炮双卒士象,ma'pao'shuang'zu'shi'xiang
马七进八,ma'qi'jin'ba
马七进九,ma'qi'jin'jiu
马七进六,ma'qi'jin'liu
马七进五,ma'qi'jin'wu
马七进五车,ma'qi'jin'wu'che
马七退八,ma'qi'tui'ba
马七退九,ma'qi'tui'jiu
马七退六,ma'qi'tui'liu
马七退五,ma'qi'tui'wu
马前卒,ma'qian'zu
马三进二,ma'san'jin'er
马三进四,ma'san'jin'si
马三进五,ma'san'jin'wu
马三进五车,ma'san'jin'wu'che
马三进一,ma'san'jin'yi
马三退二,ma'san'tui'er
马三退四,ma'san'tui'si
马三退五,ma'san'tui'wu
马三退一,ma'san'tui'yi
马四进二,ma'si'jin'er
马四进六,ma'si'jin'liu
马四进三,ma'si'jin'san
马四进五,ma'si'jin'wu
马四进五车,ma'si'jin'wu'che
马四退二,ma'si'tui'er
马四退六,ma'si'tui'liu
马四退三,ma'si'tui'san
马四退五,ma'si'tui'wu
马五进六,ma'wu'jin'liu
马五进六车,ma'wu'jin'liu'che
马五进七,ma'wu'jin'qi
马五进三,ma'wu'jin'san
马五进四,ma'wu'jin'si
马五退六,ma'wu'tui'liu
马五退七,ma'wu'tui'qi
马五退三,ma'wu'tui'san
马五退四,ma'wu'tui'si
马一进二,ma'yi'jin'er
马一进三,ma'yi'jin'san
马亦难逃遁,ma'yi'nan'tao'dun
马一退二,ma'yi'tui'er
马一退三,ma'yi'tui'san
马走日字,ma'zou'ri'zi
马卒,ma'zu
埋下伏笔,mai'xia'fu'bi
梅花谱,mei'hua'pu
每一着,mei'yi'zhe
没有划通直线的地方,mei'you'hua'tong'zhi'xian'de'di'fang
每着,mei'zhe
每着可以,mei'zhe'ke'yi
每组十六个,mei'zu'shi'liu'ge
闷杀,men'sha
孟昭忠,meng'zhao'zhong
孟昭忠对,meng'zhao'zhong'dui
瞄打,miao'da
妙用,miao'yong
妙用马,miao'yong'ma
妙用炮,miao'yong'pao
妙用双马,miao'yong'shuang'ma
妙用双炮,miao'yong'shuang'pao
秒钟的,miao'zhong'de
明为,ming'wei
名为献马,ming'wei'xian'ma
明知是火坑,ming'zhi'shi'huo'keng
末着,mo'zhao
谋兵取胜,mou'bing'qu'sheng
那需要大约,na'xu'yao'da'yue
年第三届,nian'di'san'jie
年全国,nian'quan'guo
年全国个人赛,nian'quan'guo'ge'ren'sai
年全国个人赛黑龙江,nian'quan'guo'ge'ren'sai'hei'long'jiang
判和,pan'he
炮八进,pao'ba'jin
炮八平,pao'ba'ping
炮八平七,pao'ba'ping'qi
炮八平五,pao'ba'ping'wu
炮八退,pao'ba'tui
炮打隔子,pao'da'ge'zi
炮二进,pao'er'jin
炮二进四,pao'er'jin'si
跑二平,pao'er'ping
炮二平三,pao'er'ping'san
炮二平四,pao'er'ping'si
炮二平五,pao'er'ping'wu
炮二退,pao'er'tui
炮管制,pao'guan'zhi
炮架,pao'jia
炮九进,pao'jiu'jin
炮九进四,pao'jiu'jin'si
炮九平,pao'jiu'ping
炮九平八,pao'jiu'ping'ba
炮九平六,pao'jiu'ping'liu
炮九平三,pao'jiu'ping'san
炮九平五,pao'jiu'ping'wu
炮九退,pao'jiu'tui
炮口,pao'kou
炮六进,pao'liu'jin
炮六进二,pao'liu'jin'er
炮六平,pao'liu'ping
炮六平八,pao'liu'ping'ba
炮六平九,pao'liu'ping'jiu
炮六平四,pao'liu'ping'si
炮六平五,pao'liu'ping'wu
炮六退,pao'liu'tui
炮七进,pao'qi'jin
炮七平,pao'qi'ping
炮七平四,pao'qi'ping'si
炮七平四将,pao'qi'ping'si'jiang
炮七平五,pao'qi'ping'wu
炮七退,pao'qi'tui
炮三进,pao'san'jin
炮三平,pao'san'ping
炮三平四,pao'san'ping'si
炮三平五,pao'san'ping'wu
炮三退,pao'san'tui
炮四进,pao'si'jin
炮四进五,pao'si'jin'wu
炮四平,pao'si'ping
炮四平二,pao'si'ping'er
炮四平三,pao'si'ping'san
炮四平五,pao'si'ping'wu
炮四退,pao'si'tui
炮四退八,pao'si'tui'ba
炮四退二,pao'si'tui'er
炮五进,pao'wu'jin
炮五进四,pao'wu'jin'si
炮五平,pao'wu'ping
炮五平八,pao'wu'ping'ba
炮五平二,pao'wu'ping'er
炮五平六,pao'wu'ping'liu
炮五平四,pao'wu'ping'si
炮五退,pao'wu'tui
炮五退二,pao'wu'tui'er
炮一进,pao'yi'jin
炮一平,pao'yi'ping
炮一平二,pao'yi'ping'er
炮一平五,pao'yi'ping'wu
炮一退,pao'yi'tui
炮在,pao'zai
炮镇中路,pao'zhen'zhong'lu
炮卒,pao'zu
平八,ping'ba
平二,ping'er
平九,ping'jiu
平六,ping'liu
平炮,ping'pao
平炮打扫,ping'pao'da'sao
平七,ping'qi
平七马,ping'qi'ma
平三,ping'san
平四,ping'si
平五,ping'wu
平五卒,ping'wu'zu
平一,ping'yi
平中炮,ping'zhong'pao
破仕,po'shi
破仕夺关,po'shi'duo'guan
破仕掠相,po'shi'lue'xiang
弃兵,qi'bing
弃兵争先,qi'bing'zheng'xian
棋方面,qi'fang'mian
棋例,qi'li
七马,qi'ma
其名称和数目如下,qi'ming'cheng'he'shu'mu'ru'xia
棋盘和棋子,qi'pan'he'qi'zi
棋盘上,qi'pan'shang
棋盘中间,qi'pan'zhong'jian
棋谱来源,qi'pu'lai'yuan
其它棋子,qi'ta'qi'zi
棋王赛,qi'wang'sai
棋子吃掉,qi'zi'chi'diao
棋子共有,qi'zi'gong'you
棋子能够,qi'zi'neng'gou
七卒,qi'zu
弃卒破仕,qi'zu'po'shi
前兵进一,qian'bing'jin'yi
前兵平,qian'bing'ping
前兵平六,qian'bing'ping'liu
前马进,qian'ma'jin
前马退,qian'ma'tui
前卒进一,qian'zu'jin'yi
前卒平,qian'zu'ping
巧妙地,qiao'miao'de
请按,qing'an
请稍等,qing'shao'deng
去化解被,qu'hua'jie'bei
去炮,qu'pao
取胜,qu'sheng
取胜较难,qu'sheng'jiao'nan
取胜可能,qu'sheng'ke'neng
去卒,qu'zu
全国个人赛,quan'guo'ge'ren'sai
全国个人赛广东,quan'guo'ge'ren'sai'guang'dong
然后亮帅助攻,ran'hou'liang'shuai'zhu'gong
任何一方,ren'he'yi'fang
如被对方拒绝,ru'bei'dui'fang'ju'jue
如改走,ru'gai'zou
如改走兵,ru'gai'zou'bing
如改走车,ru'gai'zou'che
如改走马,ru'gai'zou'ma
如改走炮,ru'gai'zou'pao
如果被,ru'guo'bei
如果己方,ru'guo'ji'fang
如果你,ru'guo'ni
如果提示,ru'guo'ti'shi
如果在,ru'guo'zai
如黑,ru'hei
如急于走,ru'ji'yu'zou
如双方,ru'shuang'fang
如图是泰州杯,ru'tu'shi'tai'zhou'bei
如误走,ru'wu'zou
如一方,ru'yi'fang
锐不可挡,rui'bu'ke'dang
若不,ruo'bu
若双方,ruo'shuang'fang
赛北京,sai'bei'jing
赛吉林,sai'ji'lin
塞相眼,sai'xiang'yan
三马,san'ma
三炮,san'pao
三杀,san'sha
三十二个,san'shi'er'ge
三卒,san'zu
杀势取胜,sha'shi'qu'sheng
上海杯,shang'hai'bei
上仕,shang'shi
深厚的功夫,shen'hou'de'gong'fu
甚为巧妙,shen'wei'qiao'miao
胜定,sheng'ding
升将三楼,sheng'jiang'san'lou
胜局已定,sheng'ju'yi'ding
胜炮,sheng'pao
胜双,sheng'shuang
是残棋,shi'can'qi
使对方,shi'dui'fang
士各两个,shi'ge'liang'ge
实力均等,shi'li'jun'deng
仕六进五,shi'liu'jin'wu
仕六进五车,shi'liu'jin'wu'che
仕六退五,shi'liu'tui'wu
仕六退五车,shi'liu'tui'wu'che
仕六退五卒,shi'liu'tui'wu'zu
士每一着只许沿,shi'mei'yi'zhe'zhi'xu'yan
实乃讹诈,shi'nai'e'zha
仕四进五,shi'si'jin'wu
仕四进五车,shi'si'jin'wu'che
仕四进五将,shi'si'jin'wu'jiang
仕四进五炮,shi'si'jin'wu'pao
仕四退五,shi'si'tui'wu
仕四退五车,shi'si'tui'wu'che
仕四退五士,shi'si'tui'wu'shi
仕四退五卒,shi'si'tui'wu'zu
仕五进六,shi'wu'jin'liu
仕五进六车,shi'wu'jin'liu'che
仕五进六马,shi'wu'jin'liu'ma
仕五进六炮,shi'wu'jin'liu'pao
仕五进六士,shi'wu'jin'liu'shi
仕五进六卒,shi'wu'jin'liu'zu
仕五进四,shi'wu'jin'si
仕五进四炮,shi'wu'jin'si'pao
仕五退六,shi'wu'tui'liu
仕五退四,shi'wu'tui'si
仕五退四车,shi'wu'tui'si'che
仕五退四炮,shi'wu'tui'si'pao
仕五退四士,shi'wu'tui'si'shi
仕相,shi'xiang
士象,shi'xiang
仕相全,shi'xiang'quan
士象全,shi'xiang'quan
实则为亮帅,shi'ze'wei'liang'shuai
实战着法是,shi'zhan'zhe'fa'shi
使中炮的威力,shi'zhong'pao'de'wei'li
首着,shou'zhe
束手无策,shu'shou'wu'ce
属于理论上公认的,shu'yu'li'lun'shang'gong'ren'de
帅和将,shuai'he'jiang
帅六进一,shuai'liu'jin'yi
帅六进一将,shuai'liu'jin'yi'jiang
帅六平五,shuai'liu'ping'wu
帅六平五车,shuai'liu'ping'wu'che
帅六平五将,shuai'liu'ping'wu'jiang
帅六平五马,shuai'liu'ping'wu'ma
帅六平五炮,shuai'liu'ping'wu'pao
帅六平五士,shuai'liu'ping'wu'shi
帅六平五象,shuai'liu'ping'wu'xiang
帅六平五卒,shuai'liu'ping'wu'zu
帅六退一,shuai'liu'tui'yi
帅六退一车,shuai'liu'tui'yi'che
帅六退一马,shuai'liu'tui'yi'ma
帅每一着,shuai'mei'yi'zhe
帅四进一,shuai'si'jin'yi
帅四平五,shuai'si'ping'wu
帅四平五车,shuai'si'ping'wu'che
帅四平五马,shuai'si'ping'wu'ma
帅四平五炮,shuai'si'ping'wu'pao
帅四平五象,shuai'si'ping'wu'xiang
帅四平五卒,shuai'si'ping'wu'zu
帅四退一,shuai'si'tui'yi
帅五进一,shuai'wu'jin'yi
帅五进一车,shuai'wu'jin'yi'che
帅五进一炮,shuai'wu'jin'yi'pao
帅五平六车,shuai'wu'ping'liu'che
帅五平六将,shuai'wu'ping'liu'jiang
帅五平六马,shuai'wu'ping'liu'ma
帅五平六炮,shuai'wu'ping'liu'pao
帅五平六士,shuai'wu'ping'liu'shi
帅五平六象,shuai'wu'ping'liu'xiang
帅五平六卒,shuai'wu'ping'liu'zu
帅五平四,shuai'wu'ping'si
帅五平四车,shuai'wu'ping'si'che
帅五平四马,shuai'wu'ping'si'ma
帅五平四炮,shuai'wu'ping'si'pao
帅五退一,shuai'wu'tui'yi
帅五退一车,shuai'wu'tui'yi'che
帅五退一马,shuai'wu'tui'yi'ma
帅五退一炮,shuai'wu'tui'yi'pao
拴住对方将,shuan'zhu'dui'fang'jiang
双兵,shuang'bing
双方都,shuang'fang'dou
双方各走了一着,shuang'fang'ge'zou'le'yi'zhao
双方均无,shuang'fang'jun'wu
双方轮流各走一着,shuang'fang'lun'liu'ge'zou'yi'zhao
双方虽,shuang'fang'sui
双方同意,shuang'fang'tong'yi
双方走棋,shuang'fang'zou'qi
双马,shuang'ma
双炮,shuang'pao
双卒,shuang'zu
四马,si'ma
四炮,si'pao
算准入局,suan'zhun'ru'ju
虽没被对方却被,sui'mei'bei'dui'fang'que'bei
所以急忙,suo'yi'ji'mang
所走着法,suo'zou'zhe'fa
陶汉明,tao'han'ming
提和,ti'he
提和次数对等,ti'he'ci'shu'dui'deng
提和的一方,ti'he'de'yi'fang
提议作和,ti'yi'zuo'he
跳吃,tiao'chi
贴将,tie'jiang
铁门栓妙杀,tie'men'shuan'miao'sha
铁门栓妙杀例,tie'men'shuan'miao'sha'li
铁门栓杀法获胜,tie'men'shuan'sha'fa'huo'sheng
听任对方吃,ting'ren'dui'fang'chi
同对方将,tong'dui'fang'jiang
同时己方其它棋子,tong'shi'ji'fang'qi'ta'qi'zi
图是,tu'shi
退八,tui'ba
退车,tui'che
退二,tui'er
退九,tui'jiu
退六,tui'liu
退炮,tui'pao
退七,tui'qi
退三,tui'san
退四,tui'si
退五,tui'wu
退一,tui'yi
为夺取胜利,wei'duo'qu'sheng'li
未免得不偿失,wei'mian'de'bu'chang'shi
为形成,wei'xing'cheng
未走满,wei'zou'man
稳操胜券,wen'cao'sheng'quan
