安居小区,an'ju'xiao'qu
马祖岩小学,ma'zu'yan'xiao'xue
贸易广场,mao'yi'guang'chang
名流大酒店,ming'liu'da'jiu'dian
木材厂,mu'cai'chang
南北大市场,nan'bei'da'shi'chang
南河路,nan'he'lu
南河路口,nan'he'lu'kou
南京路,nan'jing'lu
南康东门客运站,nan'kang'dong'men'ke'yun'zhan
南康汽车东站,nan'kang'qi'che'dong'zhan
南门广场,nan'men'guang'chang
南桥新村,nan'qiao'xin'cun
南塘,nan'tang
宁振纸业,ning'zhen'zhi'ye
宁振纸业路口,ning'zhen'zhi'ye'lu'kou
农场,nong'chang
农校,nong'xiao
农药厂,nong'yao'chang
农资饲料市场,nong'zi'si'liao'shi'chang
欧潭,ou'tan
蟠龙,pan'long
皮肤病医院,pi'fu'bing'yi'yuan
坪路村,ping'lu'cun
汽车南站,qi'che'nan'zhan
启德家电超市,qi'de'jia'dian'chao'shi
七里镇,qi'li'zhen
青少年科技馆,qing'shao'nian'ke'ji'guan
区保险公司,qu'bao'xian'gong'si
区公安局,qu'gong'an'ju
区工商局,qu'gong'shang'ju
区检察院,qu'jian'cha'yuan
全球通大厦,quan'qiu'tong'da'sha
人民广场,ren'min'guang'chang
人民医院,ren'min'yi'yuan
人民医院分院,ren'min'yi'yuan'fen'yuan
榕树苑小区,rong'shu'yuan'xiao'qu
瑞金大道,rui'jin'da'dao
三厂,san'chang
三康庙,san'kang'miao
三六二医院,san'liu'er'yi'yuan
沙河工业园,sha'he'gong'ye'yuan
沙河工业园路口,sha'he'gong'ye'yuan'lu'kou
沙石路口,sha'shi'lu'kou
沙石镇,sha'shi'zhen
商会大厦,shang'hui'da'sha
社保大厦,she'bao'da'sha
审计局,shen'ji'ju
市保育院,shi'bao'yu'yuan
市二医院,shi'er'yi'yuan
师范专科部,shi'fan'zhuan'ke'bu
市疾控中心,shi'ji'kong'zhong'xin
市检察院,shi'jian'cha'yuan
时间公园,shi'jian'gong'yuan
市立医院,shi'li'yi'yuan
市人才市场,shi'ren'cai'shi'chang
市三医院,shi'san'yi'yuan
市体育中心,shi'ti'yu'zhong'xin
石油公司,shi'you'gong'si
师院黄金校区,shi'yuan'huang'jin'xiao'qu
师院科技学院,shi'yuan'ke'ji'xue'yuan
师院专科部,shi'yuan'zhuan'ke'bu
市政中心,shi'zheng'zhong'xin
市中医院,shi'zhong'yi'yuan
寿量寺,shou'liang'si
双胞胎集团,shuang'bao'tai'ji'tuan
水岸新村小区,shui'an'xin'cun'xiao'qu
水岸新天,shui'an'xin'tian
水岸新天小区,shui'an'xin'tian'xiao'qu
水碓,shui'dui
水碓村卫生所,shui'dui'cun'wei'sheng'suo
水轮泵,shui'lun'beng
水轮机厂,shui'lun'ji'chang
水文站,shui'wen'zhan
水西,shui'xi
水韵花都,shui'yun'hua'du
宋城花园,song'cheng'hua'yuan
潭东镇政府,tan'dong'zhen'zheng'fu
潭口金塘,tan'kou'jin'tang
潭口老街,tan'kou'lao'jie
桃子园市场,tao'zi'yuan'shi'chang
体育中心,ti'yu'zhong'xin
天赐良园,tian'ci'liang'yuan
铁路隧道,tie'lu'sui'dao
铁路小区,tie'lu'xiao'qu
通天岩,tong'tian'yan
卫府里市场,wei'fu'li'shi'chang
蔚蓝半岛,wei'lan'ban'dao
蔚蓝半岛侧门,wei'lan'ban'dao'ce'men
卫校新区,wei'xiao'xin'qu
文明加油站,wen'ming'jia'you'zhan
文清路,wen'qing'lu
文清实验学校,wen'qing'shi'yan'xue'xiao
西河车站,xi'he'che'zhan
西郊路,xi'jiao'lu
西津路,xi'jin'lu
西园,xi'yuan
香港工业园厂房,xiang'gang'gong'ye'yuan'chang'fang
消防大队,xiao'fang'da'dui
新地税服务中心,xin'di'shui'fu'wu'zhong'xin
新华书店,xin'hua'shu'dian
新华医院,xin'hua'yi'yuan
新市民公寓,xin'shi'min'gong'yu
新闻中心,xin'wen'zhong'xin
鑫业公司,xin'ye'gong'si
行政服务中心,xing'zheng'fu'wu'zhong'xin
沿垇小区,yan'ao'xiao'qu
羊城酒家,yang'cheng'jiu'jia
杨公路口,yang'gong'lu'kou
杨坑,yang'keng
杨梅渡大桥,yang'mei'du'da'qiao
一厂,yi'chang
移动大厅,yi'dong'da'ting
银盛花园,yin'sheng'hua'yuan
营角上路,ying'jiao'shang'lu
应用技术学院,ying'yong'ji'shu'xue'yuan
应用科学学院,ying'yong'ke'xue'xue'yuan
永安南城百货,yong'an'nan'cheng'bai'huo
涌金门,yong'jin'men
涌泉,yong'quan
郁孤台,yu'gu'tai
娱乐城,yu'le'cheng
越秀花苑,yue'xiu'hua'yuan
灶儿巷,zao'er'xiang
站前大道,zhan'qian'da'dao
章贡路,zhang'gong'lu
张家围,zhang'jia'wei
张家围路,zhang'jia'wei'lu
张家围路口,zhang'jia'wei'lu'kou
章江北大道,zhang'jiang'bei'da'dao
正大公司,zheng'da'gong'si
中保大厦,zhong'bao'da'sha
中航城,zhong'hang'cheng
中级人民法院,zhong'ji'ren'min'fa'yuan
贮木场,zhu'mu'chang
自立站,zi'li'zhan
