八方连,ba'fang'lian
快递签条,kuai'di'qian'tiao
快递邮票,kuai'di'you'piao
快信邮票,kuai'xin'you'piao
老票,lao'piao
联合封,lian'he'feng
量齿尺,liang'chi'chi
磷光邮票,lin'guang'you'piao
漏齿,lou'chi
漏盖,lou'gai
轮船邮戳,lun'chuan'you'chuo
落地戳,luo'di'chuo
铝箔邮票,lv'bo'you'piao
马耳他十字邮戳,ma'er'ta'shi'zi'you'chuo
盲齿,mang'chi
毛齿,mao'chi
枚数,mei'shu
美术邮资信封,mei'shu'you'zi'xin'feng
没有粘贴过,mei'you'zhan'tie'guo
面值,mian'zhi
面值二分,mian'zhi'er'fen
面值二十分,mian'zhi'er'shi'fen
面值三分,mian'zhi'san'fen
面值一元,mian'zhi'yi'yuan
免资明信片,mian'zi'ming'xin'pian
目录,mu'lu
目录价,mu'lu'jia
母模,mu'mo
木质邮票,mu'zhi'you'piao
尼龙邮票,ni'long'you'piao
派生品,pai'sheng'pin
盘卷邮票,pan'juan'you'piao
片幅,pian'fu
片源,pian'yuan
片中片,pian'zhong'pian
票后片,piao'hou'pian
票前片,piao'qian'pian
品相,pin'xiang
普通邮票,pu'tong'you'piao
普通邮资明信片,pu'tong'you'zi'ming'xin'pian
普通邮资信封,pu'tong'you'zi'xin'feng
普通邮资邮简,pu'tong'you'zi'you'jian
汽车邮局戳,qi'che'you'ju'chuo
前日封,qian'ri'feng
欠资戳,qian'zi'chuo
欠资封,qian'zi'feng
欠资邮票,qian'zi'you'piao
青少年集邮,qing'shao'nian'ji'you
全对位,quan'dui'wei
全张,quan'zhang
缺角,que'jiao
日戳,ri'chuo
三角形邮票,san'jiao'xing'you'piao
三连张,san'lian'zhang
三一致,san'yi'zhi
色度,se'du
摄影片,she'ying'pian
十方连,shi'fang'lian
实寄封,shi'ji'feng
实寄片,shi'ji'pian
世界集邮展览,shi'jie'ji'you'zhan'lan
首航封,shou'hang'feng
首日封,shou'ri'feng
首日实寄封,shou'ri'shi'ji'feng
首尾封,shou'wei'feng
手写注销,shou'xie'zhu'xiao
双连,shuang'lian
双面印,shuang'mian'yin
双色,shuang'se
水印,shui'yin
水印错误,shui'yin'cuo'wu
水印检查器,shui'yin'jian'cha'qi
水印盘,shui'yin'pan
私白,si'bai
丝绸邮票,si'chou'you'piao
四方连,si'fang'lian
四方张,si'fang'zhang
台湾邮票,tai'wan'you'piao
特种邮票,te'zhong'you'piao
特字头,te'zi'tou
调戳,tiao'chuo
贴票册,tie'piao'ce
铜箔邮票,tong'bo'you'piao
同步片,tong'bu'pian
同名片,tong'ming'pian
图幅,tu'fu
图幅居中,tu'fu'ju'zhong
涂销,tu'xiao
退回封,tui'hui'feng
褪色,tui'se
伪票,wei'piao
尾日封,wei'ri'feng
伪造背胶,wei'zao'bei'jiao
伪造齿孔,wei'zao'chi'kong
伪造品,wei'zao'pin
伪造实寄封,wei'zao'shi'ji'feng
伪造颜色,wei'zao'yan'se
文献集邮,wen'xian'ji'you
无背胶,wu'bei'jiao
无齿孔邮票,wu'chi'kong'you'piao
无格片,wu'ge'pian
无面值邮票,wu'mian'zhi'you'piao
无票封,wu'piao'feng
洗去背胶,xi'qu'bei'jiao
下品,xia'pin
镶嵌封,xiang'qian'feng
相似片,xiang'si'pian
小本票,xiao'ben'piao
销戳,xiao'chuo
小龙,xiao'long
小全张,xiao'quan'zhang
肖像票,xiao'xiang'piao
小型张,xiao'xing'zhang
新票,xin'piao
新闻纸邮票,xin'wen'zhi'you'piao
信销票,xin'xiao'piao
宣传戳,xuan'chuan'chuo
样票,yang'piao
已销邮戳,yi'xiao'you'chuo
异形邮票,yi'xing'you'piao
臆造品,yi'zao'pin
银箔邮票,yin'bo'you'piao
影写版,ying'xie'ban
邮德,you'de
有格片,you'ge'pian
邮花,you'hua
邮集,you'ji
邮局代封条,you'ju'dai'feng'tiao
邮局全张,you'ju'quan'zhang
邮卡,you'ka
右阔边,you'kuo'bian
邮票,you'piao
邮票背胶,you'piao'bei'jiao
邮票册,you'piao'ce
邮票齿孔,you'piao'chi'kong
邮票面值,you'piao'mian'zhi
邮票名称,you'piao'ming'cheng
邮票铭记,you'piao'ming'ji
邮票镊子,you'piao'nie'zi
邮票票幅,you'piao'piao'fu
邮票票形,you'piao'piao'xing
邮票刷色,you'piao'shua'se
邮票水印,you'piao'shui'yin
邮票图案,you'piao'tu'an
邮票图幅,you'piao'tu'fu
邮票有皱纹,you'piao'you'zhou'wen
邮票志号,you'piao'zhi'hao
邮票纸质,you'piao'zhi'zhi
邮票种类,you'piao'zhong'lei
有色纸,you'se'zhi
有声信函,you'sheng'xin'han
邮学家,you'xue'jia
邮折,you'zhe
邮政史集邮,you'zheng'shi'ji'you
邮政用品集邮,you'zheng'yong'pin'ji'you
邮制极限片,you'zhi'ji'xian'pian
邮资明信片,you'zi'ming'xin'pian
邮资凭证,you'zi'ping'zheng
邮资信封,you'zi'xin'feng
原地戳,yuan'di'chuo
原地封,yuan'di'feng
原胶,yuan'jiao
早期片,zao'qi'pian
展品评审,zhan'pin'ping'shen
照相版,zhao'xiang'ban
折白,zhe'bai
珍罕,zhen'han
珍品,zhen'pin
真品,zhen'pin
正面戳记,zheng'mian'chuo'ji
直缝漏齿,zhi'feng'lou'chi
植物胶,zhi'wu'jiao
直中缝漏齿,zhi'zhong'feng'lou'chi
中缝漏齿,zhong'feng'lou'chi
中心错位,zhong'xin'cuo'wei
中心方连,zhong'xin'fang'lian
主图,zhu'tu
专题集邮,zhuan'ti'ji'you
专印片,zhuan'yin'pian
自然片,zi'ran'pian
自制封,zi'zhi'feng
自制极限片,zi'zhi'ji'xian'pian
左阔边,zuo'kuo'bian
