阿党相为,a'dang'xiang'wei
安之若命,an'zhi'ruo'ming
安之若素,an'zhi'ruo'su
暗中摸索,an'zhong'mo'suo
安坐待毙,an'zuo'dai'bi
昂藏七尺,ang'cang'qi'chi
昂然自得,ang'ran'zi'de
昂首阔步,ang'shou'kuo'bu
昂首伸眉,ang'shou'shen'mei
昂首天外,ang'shou'tian'wai
昂首挺胸,ang'shou'ting'xiong
昂首望天,ang'shou'wang'tian
盎盂相击,ang'yu'xiang'ji
盎盂相敲,ang'yu'xiang'qiao
嗷嗷待哺,ao'ao'dai'bu
傲不可长,ao'bu'ke'chang
熬肠刮肚,ao'chang'gua'du
熬更守夜,ao'geng'shou'ye
傲骨嶙嶙,ao'gu'lin'lin
懊悔无及,ao'hui'wu'ji
熬姜呷醋,ao'jiang'ga'cu
傲慢不逊,ao'man'bu'xun
傲慢少礼,ao'man'shao'li
奥妙无穷,ao'miao'wu'qiong
傲睨得志,ao'ni'de'zhi
傲睨万物,ao'ni'wan'wu
傲睨一世,ao'ni'yi'shi
傲睨自若,ao'ni'zi'ruo
熬清守淡,ao'qing'shou'dan
傲然屹立,ao'ran'yi'li
傲世轻物,ao'shi'qing'wu
傲霜斗雪,ao'shuang'dou'xue
傲头傲脑,ao'tou'ao'nao
傲贤慢士,ao'xian'man'shi
熬心费力,ao'xin'fei'li
傲雪凌霜,ao'xue'ling'shuang
傲雪欺霜,ao'xue'qi'shuang
八百孤寒,ba'bai'gu'han
八拜之交,ba'bai'zhi'jiao
拔本塞源,ba'ben'sai'yuan
把臂入林,ba'bi'ru'lin
把持不定,ba'chi'bu'ding
罢黜百家,ba'chu'bai'jia
拔萃出群,ba'cui'chu'qun
拔刀相助,ba'dao'xiang'zhu
拔地摇山,ba'di'yao'shan
拔地倚天,ba'di'yi'tian
拔丁抽楔,ba'ding'chou'xie
八斗之才,ba'dou'zhi'cai
把饭叫饥,ba'fan'jiao'ji
八方呼应,ba'fang'hu'ying
巴高望上,ba'gao'wang'shang
八公山上草木皆兵,ba'gong'shan'shang'cao'mu'jie'bing
跋扈自恣,ba'hu'zi'zi
八荒之外,ba'huang'zhi'wai
八街九陌,ba'jie'jiu'mo
八九不离十,ba'jiu'bu'li'shi
拔葵啖枣,ba'kui'dan'zao
拔葵去织,ba'kui'qu'zhi
拔来报往,ba'lai'bao'wang
拔了萝卜地皮宽,ba'le'luo'bu'di'pi'kuan
霸陵醉尉,ba'ling'zui'wei
拔茅连茹,ba'mao'lian'ru
八面见光,ba'mian'jian'guang
八面玲珑,ba'mian'ling'long
八面威风,ba'mian'wei'feng
八面莹澈,ba'mian'ying'che
八面圆通,ba'mian'yuan'tong
八面张罗,ba'mian'zhang'luo
拔苗助长,ba'miao'zhu'chang
巴前算后,ba'qian'suan'hou
跋前踬后,ba'qian'zhi'hou
巴三览四,ba'san'lan'si
拔山超海,ba'shan'chao'hai
拔山盖世,ba'shan'gai'shi
拔山扛鼎,ba'shan'kang'ding
跋山涉水,ba'shan'she'shui
巴山蜀水,ba'shan'shu'shui
巴山夜雨,ba'shan'ye'yu
拔十得五,ba'shi'de'wu
拔树寻根,ba'shu'xun'gen
把素持斋,ba'su'chi'zhai
巴头探脑,ba'tou'tan'nao
把玩无厌,ba'wan'wu'yan
霸王别姬,ba'wang'bie'ji
霸王风月,ba'wang'feng'yue
拔犀擢象,ba'xi'zhuo'xiang
八仙过海各显神通,ba'xian'guo'hai'ge'xian'shen'tong
拔新领异,ba'xin'ling'yi
八音迭奏,ba'yin'die'zou
拔宅上升,ba'zhai'shang'sheng
八珍玉食,ba'zhen'yu'shi
拔帜易帜,ba'zhi'yi'zhi
八字打开,ba'zi'da'kai
八字没一撇,ba'zi'mei'yi'pie
百般刁难,bai'ban'diao'nan
百般奉承,bai'ban'feng'cheng
百弊丛生,bai'bi'cong'sheng
白璧青蝇,bai'bi'qing'ying
白璧微瑕,bai'bi'wei'xia
白璧无瑕,bai'bi'wu'xia
百步穿杨,bai'bu'chuan'yang
百不失一,bai'bu'shi'yi
百不一存,bai'bu'yi'cun
百尺竿头更进一步,bai'chi'gan'tou'geng'jin'yi'bu
百川归海,bai'chuan'gui'hai
百辞莫辩,bai'ci'mo'bian
百代过客,bai'dai'guo'ke
百代文宗,bai'dai'wen'zong
拜倒辕门,bai'dao'yuan'men
败德辱行,bai'de'ru'xing
白丁俗客,bai'ding'su'ke
百读不厌,bai'du'bu'yan
百堵皆作,bai'du'jie'zuo
百端待举,bai'duan'dai'ju
拜恩私室,bai'en'si'shi
百发百中,bai'fa'bai'zhong
白发苍颜,bai'fa'cang'yan
白发红颜,bai'fa'hong'yan
白发千丈,bai'fa'qian'zhang
白发青衫,bai'fa'qing'shan
白饭青刍,bai'fan'qing'chu
百废待举,bai'fei'dai'ju
百废俱兴,bai'fei'ju'xing
百感交集,bai'gan'jiao'ji
败鼓之皮,bai'gu'zhi'pi
稗官野史,bai'guan'ye'shi
白圭之玷,bai'gui'zhi'dian
白黑分明,bai'hei'fen'ming
白虹贯日,bai'hong'guan'ri
百花齐放,bai'hua'qi'fang
百花生日,bai'hua'sheng'ri
白华之怨,bai'hua'zhi'yuan
百卉千葩,bai'hui'qian'pa
百家争鸣,bai'jia'zheng'ming
拜将封侯,bai'jiang'feng'hou
百举百全,bai'ju'bai'quan
白驹过隙,bai'ju'guo'xi
白驹空谷,bai'ju'kong'gu
败军之将,bai'jun'zhi'jiang
百孔千疮,bai'kong'qian'chuang
百口莫辩,bai'kou'mo'bian
白蜡明经,bai'la'ming'jing
百了千当,bai'le'qian'dang
百里挑一,bai'li'tiao'yi
百炼成钢,bai'lian'cheng'gang
败鳞残甲,bai'lin'can'jia
百伶百俐,bai'ling'bai'li
百龄眉寿,bai'ling'mei'shou
败柳残花,bai'liu'can'hua
白龙鱼服,bai'long'yu'fu
白旄黄钺,bai'mao'huang'yue
白眉赤眼,bai'mei'chi'yan
白面书生,bai'mian'shu'sheng
百年不遇,bai'nian'bu'yu
百年大计,bai'nian'da'ji
百念皆灰,bai'nian'jie'hui
百年难遇,bai'nian'nan'yu
百年树人,bai'nian'shu'ren
百年偕老,bai'nian'xie'lao
百年之柄,bai'nian'zhi'bing
百年之好,bai'nian'zhi'hao
百年之后,bai'nian'zhi'hou
百鸟朝凤,bai'niao'chao'feng
百巧千穷,bai'qiao'qian'qiong
白日见鬼,bai'ri'jian'gui
白日升天,bai'ri'sheng'tian
白日衣绣,bai'ri'yi'xiu
白日做梦,bai'ri'zuo'meng
白山黑水,bai'shan'hei'shui
百舍重茧,bai'she'chong'jian
百舌之声,bai'she'zhi'sheng
百身何赎,bai'shen'he'shu
百身莫赎,bai'shen'mo'shu
百世不磨,bai'shi'bu'mo
百世师,bai'shi'shi
白首北面,bai'shou'bei'mian
白首空归,bai'shou'kong'gui
白手起家,bai'shou'qi'jia
白首穷经,bai'shou'qiong'jing
白首相知,bai'shou'xiang'zhi
白首之心,bai'shou'zhi'xin
白水鉴心,bai'shui'jian'xin
百思不解,bai'si'bu'jie
百岁千秋,bai'sui'qian'qiu
白头如新,bai'tou'ru'xin
白头相守,bai'tou'xiang'shou
白头偕老,bai'tou'xie'lao
百万买宅千万买邻,bai'wan'mai'zhai'qian'wan'mai'lin
百万雄师,bai'wan'xiong'shi
白往黑来,bai'wang'hei'lai
百闻不如一见,bai'wen'bu'ru'yi'jian
白屋寒门,bai'wu'han'men
百无禁忌,bai'wu'jin'ji
百无聊赖,bai'wu'liao'lai
百无一能,bai'wu'yi'neng
百无一失,bai'wu'yi'shi
百无一是,bai'wu'yi'shi
百无一用,bai'wu'yi'yong
百星不如一月,bai'xing'bu'ru'yi'yue
摆袖却金,bai'xiu'que'jin
白雪皑皑,bai'xue'ai'ai
白眼相看,bai'yan'xiang'kan
百业萧条,bai'ye'xiao'tiao
百依百顺,bai'yi'bai'shun
百衣百随,bai'yi'bai'sui
白衣公卿,bai'yi'gong'qing
白衣卿相,bai'yi'qing'xiang
白衣秀士,bai'yi'xiu'shi
白鱼入舟,bai'yu'ru'zhou
白云苍狗,bai'yun'cang'gou
白云孤飞,bai'yun'gu'fei
白云亲舍,bai'yun'qin'she
百战百胜,bai'zhan'bai'sheng
百战不殆,bai'zhan'bu'dai
百折不回,bai'zhe'bu'hui
百折不挠,bai'zhe'bu'nao
白纸黑字,bai'zhi'hei'zi
百足之虫死而不僵,bai'zu'zhi'chong'si'er'bu'jiang
版版六十四,ban'ban'liu'shi'si
半壁江山,ban'bi'jiang'shan
斑驳陆离,ban'bo'lu'li
半部论语,ban'bu'lun'yu
半筹不纳,ban'chou'bu'na
搬唇递舌,ban'chun'di'she
半间不界,ban'jian'bu'jie
半截入土,ban'jie'ru'tu
半斤八两,ban'jin'ba'liang
搬斤播两,ban'jin'bo'liang
班荆道故,ban'jing'dao'gu
半路出家,ban'lu'chu'jia
班门弄斧,ban'men'nong'fu
半面之交,ban'mian'zhi'jiao
半面之旧,ban'mian'zhi'jiu
搬弄是非,ban'nong'shi'fei
半青半黄,ban'qing'ban'huang
板上钉钉,ban'shang'ding'ding
阪上走丸,ban'shang'zou'wan
半身不遂,ban'shen'bu'sui
班师回朝,ban'shi'hui'chao
搬石砸脚,ban'shi'za'jiao
伴食宰相,ban'shi'zai'xiang
半死不活,ban'si'bu'huo
半途而废,ban'tu'er'fei
半推半就,ban'tui'ban'jiu
半吞半吐,ban'tun'ban'tu
半信半疑,ban'xin'ban'yi
半夜三更,ban'ye'san'geng
蚌病成珠,bang'bing'cheng'zhu
棒打鸳鸯,bang'da'yuan'yang
傍观冷眼,bang'guan'leng'yan
帮虎吃食,bang'hu'chi'shi
傍花随柳,bang'hua'sui'liu
傍人篱壁,bang'ren'li'bi
傍人门户,bang'ren'men'hu
榜上无名,bang'shang'wu'ming
帮闲钻懒,bang'xian'zuan'lan
报本反始,bao'ben'fan'shi
报冰公事,bao'bing'gong'shi
抱布贸丝,bao'bu'mao'si
抱残守缺,bao'can'shou'que
包藏祸心,bao'cang'huo'xin
抱诚守真,bao'cheng'shou'zhen
报仇雪恨,bao'chou'xue'hen
宝刀不老,bao'dao'bu'lao
抱法处势,bao'fa'chu'shi
暴风骤雨,bao'feng'zhou'yu
刨根问底,bao'gen'wen'di
抱关击柝,bao'guan'ji'tuo
保国安民,bao'guo'an'min
抱恨黄泉,bao'hen'huang'quan
抱恨终天,bao'hen'zhong'tian
暴虎冯河,bao'hu'feng'he
饱经沧桑,bao'jing'cang'sang
饱经风霜,bao'jing'feng'shuang
保境息民,bao'jing'xi'min
苞苴竿牍,bao'ju'gan'du
包举宇内,bao'ju'yu'nei
暴戾恣睢,bao'li'zi'sui
抱令守律,bao'ling'shou'lv
暴露无遗,bao'lu'wu'yi
包罗万象,bao'luo'wan'xiang
宝马香车,bao'ma'xiang'che
抱蔓摘瓜,bao'man'zhai'gua
饱暖思淫欲,bao'nuan'si'yin'yu
暴虐无道,bao'nue'wu'dao
暴取豪夺,bao'qu'hao'duo
暴腮龙门,bao'sai'long'men
褒善贬恶,bao'shan'bian'e
宝山空回,bao'shan'kong'hui
饱食暖衣,bao'shi'nuan'yi
饱食终日,bao'shi'zhong'ri
豹死留皮,bao'si'liu'pi
暴殄天物,bao'tian'tian'wu
暴跳如雷,bao'tiao'ru'lei
抱头大哭,bao'tou'da'ku
豹头环眼,bao'tou'huan'yan
抱头鼠窜,bao'tou'shu'cuan
抱瓮出灌,bao'weng'chu'guan
抱薪救火,bao'xin'jiu'huo
包羞忍耻,bao'xiu'ren'chi
饱学之士,bao'xue'zhi'shi
褒衣博带,bao'yi'bo'dai
饱以老拳,bao'yi'lao'quan
褒衣危冠,bao'yi'wei'guan
鲍鱼之肆,bao'yu'zhi'si
抱怨雪耻,bao'yuan'xue'chi
宝珠市饼,bao'zhu'shi'bing
抱子弄孙,bao'zi'nong'sun
背本趋末,bei'ben'qu'mo
卑鄙龌龊,bei'bi'wo'chuo
卑鄙无耻,bei'bi'wu'chi
悲不自胜,bei'bu'zi'sheng
卑谄足恭,bei'chan'ju'gong
备尝艰苦,bei'chang'jian'ku
备尝辛苦,bei'chang'xin'ku
背城借一,bei'cheng'jie'yi
背城一战,bei'cheng'yi'zhan
悲愁垂涕,bei'chou'chui'ti
卑辞重币,bei'ci'chong'bi
背道而驰,bei'dao'er'chi
倍道而进,bei'dao'er'jin
北道主人,bei'dao'zhu'ren
北斗之尊,bei'dou'zhi'zun
备多力分,bei'duo'li'fen
背恩忘义,bei'en'wang'yi
备而不用,bei'er'bu'yong
悲愤填膺,bei'fen'tian'ying
北风之恋,bei'feng'zhi'lian
杯觥交错,bei'gong'jiao'cuo
卑躬屈膝,bei'gong'qu'xi
杯弓蛇影,bei'gong'she'ying
北宫婴儿,bei'gong'ying'er
陂湖禀量,bei'hu'bing'liang
悲欢离合,bei'huan'li'he
背井离乡,bei'jing'li'xiang
杯酒戈矛,bei'jiu'ge'mao
杯酒释兵权,bei'jiu'shi'bing'quan
杯酒言欢,bei'jiu'yan'huan
卑礼厚币,bei'li'hou'bi
北门南牙,bei'men'nan'ya
北门锁钥,bei'men'suo'yao
背盟败约,bei'meng'bai'yue
北面称臣,bei'mian'cheng'chen
杯盘狼藉,bei'pan'lang'ji
贝阙珠宫,bei'que'zhu'gong
倍日并行,bei'ri'bing'xing
悖入悖出,bei'ru'bei'chu
背山起楼,bei'shan'qi'lou
杯水车薪,bei'shui'che'xin
背水一战,bei'shui'yi'zhan
北叟失马,bei'sou'shi'ma
悲天悯人,bei'tian'min'ren
备位充数,bei'wei'chong'shu
悲喜交集,bei'xi'jiao'ji
背信弃义,bei'xin'qi'yi
北辕适楚,bei'yuan'shi'chu
卑之无甚高论,bei'zhi'wu'shen'gao'lun
杯中物,bei'zhong'wu
本来面目,ben'lai'mian'mu
本末倒置,ben'mo'dao'zhi
笨鸟先飞,ben'niao'xian'fei
本同末异,ben'tong'mo'yi
本相毕露,ben'xiang'bi'lu
本小利微,ben'xiao'li'wei
本性难移,ben'xing'nan'yi
奔逸绝尘,ben'yi'jue'chen
奔走呼号,ben'zou'hu'hao
奔走相告,ben'zou'xiang'gao
奔走钻营,ben'zou'zuan'ying
笨嘴拙舌,ben'zui'zhuo'she
笔饱墨酣,bi'bao'mo'han
比比皆是,bi'bi'jie'shi
必不挠北,bi'bu'nao'bei
匕鬯不惊,bi'chang'bu'jing
彼倡此和,bi'chang'ci'he
弊车羸马,bi'che'lei'ma
避重就轻,bi'chong'jiu'qing
币重言甘,bi'chong'yan'gan
蔽聪塞明,bi'cong'sai'ming
笔大如椽,bi'da'ru'chuan
避而不谈,bi'er'bu'tan
笔耕砚田,bi'geng'yan'tian
必恭必敬,bi'gong'bi'jing
毕恭毕敬,bi'gong'bi'jing
敝鼓丧豚,bi'gu'sang'tun
闭关却扫,bi'guan'que'sao
闭关锁国,bi'guan'suo'guo
闭关自守,bi'guan'zi'shou
避害就利,bi'hai'jiu'li
碧海青天,bi'hai'qing'tian
闭户读书,bi'hu'du'shu
避祸就福,bi'huo'jiu'fu
比肩并起,bi'jian'bing'qi
比肩而立,bi'jian'er'li
比肩继踵,bi'jian'ji'zhong
比肩齐声,bi'jian'qi'sheng
彼竭我盈,bi'jie'wo'ying
弊绝风清,bi'jue'feng'qing
避坑落井,bi'keng'luo'jing
闭口不言,bi'kou'bu'yan
闭口藏舌,bi'kou'cang'she
比类从事,bi'lei'cong'shi
壁垒森严,bi'lei'sen'yan
必里迟离,bi'li'chi'li
壁立千仞,bi'li'qian'ren
髀里肉生,bi'li'rou'sheng
鄙吝复萌,bi'lin'fu'meng
筚路蓝缕,bi'lu'lan'lv
碧落黄泉,bi'luo'huang'quan
闭门羹,bi'men'geng
筚门闺窦,bi'men'gui'dou
闭门酣歌,bi'men'han'ge
闭门觅句,bi'men'mi'ju
闭门却扫,bi'men'que'sao
闭门思过,bi'men'si'guo
闭门投辖,bi'men'tou'xia
闭门造车,bi'men'zao'che
笔墨官司,bi'mo'guan'si
闭目塞听,bi'mu'sai'ting
毕其功于一役,bi'qi'gong'yu'yi'yi
避其锐气击其惰归,bi'qi'rui'qi'ji'qi'duo'gui
避让贤路,bi'rang'xian'lu
蔽日干云,bi'ri'gan'yun
髀肉复生,bi'rou'fu'sheng
闭塞眼睛捉麻雀,bi'sai'yan'jing'zhuo'ma'que
笔扫千军,bi'sao'qian'jun
比上不足比下有余,bi'shang'bu'zu'bi'xia'you'yu
逼上梁山,bi'shang'liang'shan
避实击虚,bi'shi'ji'xu
避实就虚,bi'shi'jiu'xu
避世绝俗,bi'shi'jue'su
比物此志,bi'wu'ci'zhi
比屋可封,bi'wu'ke'feng
鼻息如雷,bi'xi'ru'lei
笔下超生,bi'xia'chao'sheng
笔下生花,bi'xia'sheng'hua
避凶趋吉,bi'xiong'qu'ji
碧血丹心,bi'xue'dan'xin
比翼连枝,bi'yi'lian'zhi
比翼齐飞,bi'yi'qi'fei
彼一时此一时,bi'yi'shi'ci'yi'shi
比翼双飞,bi'yi'shuang'fei
必由之路,bi'you'zhi'lu
鄙于不屑,bi'yu'bu'xie
闭月羞花,bi'yue'xiu'hua
必争之地,bi'zheng'zhi'di
彼众我寡,bi'zhong'wo'gua
敝帚千金,bi'zhou'qian'jin
敝帚自珍,bi'zhou'zi'zhen
俾昼作夜,bi'zhou'zuo'ye
笔诛墨伐,bi'zhu'mo'fa
笔走龙蛇,bi'zou'long'she
婢作夫人,bi'zuo'fu'ren
变本加厉,bian'ben'jia'li
辩才无碍,bian'cai'wu'ai
鞭长莫及,bian'chang'mo'ji
便辞巧说,bian'ci'qiao'shuo
遍地开花,bian'di'kai'hua
抃风舞润,bian'feng'wu'run
变古易常,bian'gu'yi'chang
变化多端,bian'hua'duo'duan
变化莫测,bian'hua'mo'ce
变化无常,bian'hua'wu'chang
变化无穷,bian'hua'wu'qiong
变幻莫测,bian'huan'mo'ce
变幻无常,bian'huan'wu'chang
变名易姓,bian'ming'yi'xing
鞭辟近里,bian'pi'jin'li
鞭辟入里,bian'pi'ru'li
变色易容,bian'se'yi'rong
变色之言,bian'se'zhi'yan
变生不测,bian'sheng'bu'ce
变生肘腋,bian'sheng'zhou'ye
遍体鳞伤,bian'ti'lin'shang
变危为安,bian'wei'wei'an
便宜行事,bian'yi'xing'shi
彪炳千古,biao'bing'qian'gu
飙举电至,biao'ju'dian'zhi
表里如一,biao'li'ru'yi
表里山河,biao'li'shan'he
表里受敌,biao'li'shou'di
表里为奸,biao'li'wei'jian
摽梅之年,biao'mei'zhi'nian
表面文章,biao'mian'wen'zhang
标同伐异,biao'tong'fa'yi
标新立异,biao'xin'li'yi
彪形大汉,biao'xing'da'han
表壮不如里壮,biao'zhuang'bu'ru'li'zhuang
别出机杼,bie'chu'ji'zhu
别出心裁,bie'chu'xin'cai
别风淮雨,bie'feng'huai'yu
别鹤孤鸾,bie'he'gu'luan
别具肺肠,bie'ju'fei'chang
别具匠心,bie'ju'jiang'xin
别具一格,bie'ju'yi'ge
别具只眼,bie'ju'zhi'yan
别开生面,bie'kai'sheng'mian
别来无恙,bie'lai'wu'yang
别树一帜,bie'shu'yi'zhi
别无长物,bie'wu'chang'wu
别有洞天,bie'you'dong'tian
别有肺肠,bie'you'fei'chang
别有风趣,bie'you'feng'qu
别有风味,bie'you'feng'wei
别有天地,bie'you'tian'di
别有用心,bie'you'yong'xin
彬彬有礼,bin'bin'you'li
宾客如云,bin'ke'ru'yun
鬓乱钗横,bin'luan'chai'heng
宾至如归,bin'zhi'ru'gui
兵败如山倒,bing'bai'ru'shan'dao
秉笔直书,bing'bi'zhi'shu
病病歪歪,bing'bing'wai'wai
兵不血刃,bing'bu'xue'ren
兵不厌诈,bing'bu'yan'zha
兵不由将,bing'bu'you'jiang
兵车之会,bing'che'zhi'hui
病从口入,bing'cong'kou'ru
并蒂芙蓉,bing'di'fu'rong
冰冻三尺非一日之寒,bing'dong'san'chi'fei'yi'ri'zhi'han
兵多将广,bing'duo'jiang'guang
兵多者败,bing'duo'zhe'bai
秉公办理,bing'gong'ban'li
秉公无私,bing'gong'wu'si
病骨支离,bing'gu'zhi'li
兵贵神速,bing'gui'shen'su
兵贵先声,bing'gui'xian'sheng
冰寒于水,bing'han'yu'shui
冰壶秋月,bing'hu'qiu'yue
兵荒马乱,bing'huang'ma'luan
冰魂雪魄,bing'hun'xue'po
病急乱投医,bing'ji'luan'tou'yi
冰肌雪肠,bing'ji'xue'chang
冰肌玉骨,bing'ji'yu'gu
并驾齐驱,bing'jia'qi'qu
冰解冻释,bing'jie'dong'shi
兵来将挡水来土掩,bing'lai'jiang'dang'shui'lai'tu'yan
兵连祸结,bing'lian'huo'jie
兵临城下,bing'lin'cheng'xia
兵马未动粮草先行,bing'ma'wei'dong'liang'cao'xian'xing
病民蛊国,bing'min'gu'guo
病魔缠身,bing'mo'chan'shen
兵强马壮,bing'qiang'ma'zhuang
冰清玉洁,bing'qing'yu'jie
冰清玉润,bing'qing'yu'run
并日而食,bing'ri'er'shi
兵戎相见,bing'rong'xiang'jian
病入膏肓,bing'ru'gao'huang
病入骨髓,bing'ru'gu'sui
冰山难靠,bing'shan'nan'kao
冰炭不同器,bing'tan'bu'tong'qi
冰炭不投,bing'tan'bu'tou
冰炭不言冷热自明,bing'tan'bu'yan'leng're'zi'ming
冰天雪地,bing'tian'xue'di
冰天雪窑,bing'tian'xue'yao
兵微将寡,bing'wei'jiang'gua
并为一谈,bing'wei'yi'tan
兵无常势,bing'wu'chang'shi
冰消瓦解,bing'xiao'wa'jie
并行不悖,bing'xing'bu'bei
兵行诡道,bing'xing'gui'dao
禀性难移,bing'xing'nan'yi
冰雪聪明,bing'xue'cong'ming
秉要执本,bing'yao'zhi'ben
兵在其颈,bing'zai'qi'jing
秉烛待旦,bing'zhu'dai'dan
炳烛夜游,bing'zhu'ye'you
秉烛夜游,bing'zhu'ye'you
跛鳖千里,bo'bie'qian'li
博采众长,bo'cai'zhong'chang
拨草寻蛇,bo'cao'xun'she
剥床及肤,bo'chuang'ji'fu
薄唇轻言,bo'chun'qing'yan
博大精深,bo'da'jing'shen
伯道无儿,bo'dao'wu'er
博而不精,bo'er'bu'jing
