阿比拉玛勒达,a'bi'la'ma'le'da
唐观音寺,tang'guan'yin'si
藤孔雀,teng'kong'que
缇鲁蒂桑达薇琪,ti'lu'di'sang'da'wei'qi
天狗丸,tian'gou'wan
阗岚,tian'lan
天谴,tian'qian
天谴明王,tian'qian'ming'wang
天锁斩月,tian'suo'zhan'yue
天踏绚,tian'ta'xuan
天挺空罗,tian'ting'kong'luo
天相从临时,tian'xiang'cong'lin'shi
铁浆蜻蜓,tie'jiang'qing'ting
铁斋,tie'zhai
同步认知,tong'bu'ren'zhi
通廷证,tong'ting'zheng
瓦史托德,wa'shi'tuo'de
歪面反应,wai'mian'fan'ying
卍解,wan'jie
卍禁,wan'jin
卍禁太封,wan'jin'tai'feng
汪达怀斯,wang'da'huai'si
汪达怀斯马尔杰拉,wang'da'huai'si'ma'er'jie'la
王键,wang'jian
王虚的闪光,wang'xu'de'shan'guang
握菱铁斋,wo'ling'tie'zhai
乌尔奇奥拉,wu'er'qi'ao'la
乌尔奇奥拉西法,wu'er'qi'ao'la'xi'fa
五番队,wu'fan'dui
五铗虫,wu'jia'chong
五架缚,wu'jia'fu
无限的滑行,wu'xian'de'hua'xing
无限装填虚闪,wu'xian'zhuang'tian'xu'shan
五形头,wu'xing'tou
五柱铁贯,wu'zhu'tie'guan
喜助,xi'zhu
夏梨,xia'li
夏洛特库鲁风,xia'luo'te'ku'lu'feng
现世,xian'shi
响转,xiang'zhuan
小八,xiao'ba
小菖,xiao'chang
小椿仙太郎,xiao'chun'xian'tai'lang
小岛水色,xiao'dao'shui'se
萧隆库方,xiao'long'ku'fang
小雨,xiao'yu
邪恶玩偶,xie'e'wan'ou
邪淫妃,xie'yin'fei
刑军,xing'jun
袖白雪,xiu'bai'xue
修兵,xiu'bing
朽木,xiu'mu
朽木白哉,xiu'mu'bai'zai
朽木绯真,xiu'mu'fei'zhen
朽木露琪亚,xiu'mu'lu'qi'ya
朽木银铃,xiu'mu'yin'ling
虚弹,xu'dan
虚化,xu'hua
虚圈,xu'quan
虚闪,xu'shan
虚闪重奏,xu'shan'chong'zou
虚夜宫,xu'ye'gong
血霞之盾,xue'xia'zhi'dun
牙铠士,ya'kai'shi
亚罗尼洛,ya'luo'ni'luo
亚罗尼洛艾鲁鲁耶利,ya'luo'ni'luo'ai'lu'lu'ye'li
牙密,ya'mi
牙密里亚尔戈,ya'mi'li'ya'er'ge
亚丘卡斯,ya'qiu'ka'si
犽翁,ya'weng
岩鹫,yan'jiu
严灵丸,yan'ling'wan
阎魔蟋蟀,yan'mo'xi'shuai
炎热地狱,yan're'di'yu
夜一,ye'yi
一刀火葬,yi'dao'huo'zang
伊尔弗特格兰兹,yi'er'fu'te'ge'lan'zi
一番队,yi'fan'dui
义骸,yi'hai
一护,yi'hu
义魂丸,yi'hun'wan
伊江村八十千和,yi'jiang'cun'ba'shi'qian'he
一角,yi'jiao
伊势七绪,yi'shi'qi'xu
一心,yi'xin
因果之锁,yin'guo'zhi'suo
银岭弧雀,yin'ling'hu'que
音梦,yin'meng
隐秘机动,yin'mi'ji'dong
银筒,yin'tong
银彦,yin'yan
影鬼,ying'gui
萤蔓,ying'man
勇音,yong'yin
有泽龙贵,you'ze'long'gui
有昭田钵玄,you'zhao'tian'bo'xuan
游子,you'zi
雨龙,yu'long
羽织,yu'zhi
元柳斋,yuan'liu'zhai
猿柿日世里,yuan'shi'ri'shi'li
圆闸扇,yuan'zha'shan
月白,yue'bai
月牙天冲,yue'ya'tian'chong
葬讨部队,zang'tao'bu'dui
崭鬼,zhan'gui
战雫,zhan'na
斩魄刀,zhan'po'dao
斩术,zhan'shu
斩月,zhan'yue
蛰刀流断,zhe'dao'liu'duan
这绳,zhe'sheng
真咲,zhen'xiao
真央灵术院,zhen'yang'ling'shu'yuan
止绷,zhi'beng
志波,zhi'bo
志波都,zhi'bo'dou
志波海燕,zhi'bo'hai'yan
志波空鹤,zhi'bo'kong'he
志波岩鹫,zhi'bo'yan'jiu
织姬,zhi'ji
终景,zhong'jing
中央四十六室,zhong'yang'si'shi'liu'shi
咒眼僧伽,zhou'yan'seng'ga
主啊还请宽恕吾等,zhu'a'hai'qing'kuan'shu'wu'deng
缀雷电,zhui'lei'dian
灼海流,zhuo'hai'liu
惣右介,zong'you'jie
嘴突三闪,zui'tu'san'shan
佐马利,zuo'ma'li
佐马利路鲁,zuo'ma'li'lu'lu
左阵,zuo'zhen
