安胎养血先为主,an'tai'yang'xue'xian'wei'zhu
呃逆因寒中气戕,e'ni'yin'han'zhong'qi'qiang
二便通调肿胀除,er'bian'tong'tiao'zhong'zhang'chu
二参熟地覆盆子,er'can'shu'di'fu'pen'zi
二陈汤,er'chen'tang
二陈汤用半夏陈,er'chen'tang'yong'ban'xia'chen
二地二冬枇斛参,er'di'er'dong'pi'hu'can
二地天冬杜柏从,er'di'tian'dong'du'bai'cong
二冬生地与归身,er'dong'sheng'di'yu'gui'shen
二冬熟地兼瓜蒌,er'dong'shu'di'jian'gua'lou
二方均是疡科宝,er'fang'jun'shi'yang'ke'bao
二茯芎归柏子寻,er'fu'xiong'gui'bai'zi'xun
二苓参术姜黄合,er'ling'can'shu'jiang'huang'he
二苓参术蔻青陈,er'ling'can'shu'kou'qing'chen
耳聋目障服之清,er'long'mu'zhang'fu'zhi'qing
二妙丸,er'miao'wan
二妙丸中苍柏煎,er'miao'wan'zhong'cang'bai'jian
二术苦参知母草,er'shu'ku'shen'zhi'mu'cao
二味加入桂枝汤,er'wei'jia'ru'gui'zhi'tang
二香合入香苏饮,er'xiang'he'ru'xiang'su'yin
二阳合利枣加烹,er'yang'he'li'zao'jia'peng
二者药异治略同,er'zhe'yao'yi'zhi'lue'tong
二汁百部及生姜,er'zhi'bai'bu'ji'sheng'jiang
二汁交拦各自妙,er'zhi'jiao'lan'ge'zi'miao
发表温经两法彰,fa'biao'wen'jing'liang'fa'zhang
发表温中通经脉,fa'biao'wen'zhong'tong'jing'mai
发汗升阳有异功,fa'han'sheng'yang'you'yi'gong
发热恶寒头项痛,fa're'e'han'tou'xiang'tong
法在降阳而和阳,fa'zai'jiang'yang'er'he'yang
防独车前及槟榔,fang'du'che'qian'ji'bing'lang
防独芎归又茯神,fang'du'xiong'gui'you'fu'shen
防风白术煎丸酌,fang'feng'bai'zhu'jian'wan'zhuo
防风此枳芎归比,fang'feng'ci'zhi'xiong'gui'bi
防风桂附羚羊角,fang'feng'gui'fu'ling'yang'jiao
防风解毒荆薄荷,fang'feng'jie'du'jing'bo'he
防风解毒汤,fang'feng'jie'du'tang
防风通圣大黄硝,fang'feng'tong'sheng'da'huang'xiao
防风通圣散,fang'feng'tong'sheng'san
方名妇宝调经专,fang'ming'fu'bao'tiao'jing'zhuan
方内若加僵蚕菊,fang'nei'ruo'jia'jiang'can'ju
方由金匮此方辟,fang'you'jin'kui'ci'fang'pi
防芷归陈草节加,fang'zhi'gui'chen'cao'jie'jia
肥儿丸,fei'er'wan
肥儿丸用术参甘,fei'er'wan'yong'shu'can'gan
肺感风寒头目颦,fei'gan'feng'han'tou'mu'pin
肺寒膈热喘哮尝,fei'han'ge're'chuan'xiao'chang
肺枯干咳虚劳症,fei'ku'gan'ke'xu'lao'zheng
肺劳蒸嗽服之谐,fei'lao'zheng'sou'fu'zhi'xie
肺脾气血补方先,fei'pi'qi'xue'bu'fang'xian
肺虚火盛人当服,fei'xu'huo'sheng'ren'dang'fu
肺炎喘嗽此方施,fei'yan'chuan'sou'ci'fang'shi
肺痈吐脓或咽干,fei'yong'tu'nong'huo'yan'gan
风寒两解此为良,feng'han'liang'jie'ci'wei'liang
风寒泄泻总堪尝,feng'han'xie'xie'zong'kan'chang
风化芒硝枳半并,feng'hua'mang'xiao'zhi'ban'bing
风六合汤加艽羌,feng'lu'he'tang'jia'jiao'qiang
风秘血秘善通肠,feng'mi'xue'mi'shan'tong'chang
风能胜湿升能降,feng'neng'sheng'shi'sheng'neng'jiang
风湿防风与苍术,feng'shi'fang'feng'yu'cang'zhu
封髓丹,feng'sui'dan
风痰瘫痪小儿惊,feng'tan'tan'huan'xiao'er'jing
风温初感此方宜,feng'wen'chu'gan'ci'fang'yi
风温痧疹肺经多,feng'wen'sha'zhen'fei'jing'duo
风邪散见可通尝,feng'xie'san'jian'ke'tong'chang
风中痰升人眩仆,feng'zhong'tan'sheng'ren'xuan'pu
附桂当除易麦龟,fu'gui'dang'chu'yi'mai'gui
附桂山萸杜仲施,fu'gui'shan'yu'du'zhong'shi
茯苓甘草白术襄,fu'ling'gan'cao'bai'zhu'xiang
茯苓甘草汤名彰,fu'ling'gan'cao'tang'ming'zhang
茯苓术芍附生姜,fu'ling'shu'shao'fu'sheng'jiang
茯苓煮晒和黄蜡,fu'ling'zhu'shai'he'huang'la
妇人良方单胶艾,fu'ren'liang'fang'dan'jiao'ai
妇人胎动可安痊,fu'ren'tai'dong'ke'an'quan
茯神远志白薇草,fu'shen'yuan'zhi'bai'wei'cao
茯菟丸,fu'tu'wan
茯菟丸疗精滑脱,fu'tu'wan'liao'jing'hua'tuo
复元活血汤,fu'yuan'huo'xue'tang
复元活血汤柴胡,fu'yuan'huo'xue'tang'chai'hu
附子泻心汤,fu'zi'xie'xin'tang
附子泻心用三黄,fu'zi'xie'xin'yong'san'huang
甘草当归硝大黄,gan'cao'dang'gui'xiao'da'huang
甘草二冬平胃热,gan'cao'er'dong'ping'wei're
甘草葛根扁豆加,gan'cao'ge'gen'bian'dou'jia
甘草粳米四般宜,gan'cao'jing'mi'si'ban'yi
甘草橘红参茯苓,gan'cao'ju'hong'can'fu'ling
甘草木香大腹加,gan'cao'mu'xiang'da'fu'jia
甘草芪术芍芎偶,gan'cao'qi'shu'shao'xiong'ou
甘草人参术黑姜,gan'cao'ren'shen'shu'hei'jiang
甘草生姜兼粳米,gan'cao'sheng'jiang'jian'jing'mi
甘草四般治二阳,gan'cao'si'ban'zhi'er'yang
甘草硝黄并桂枝,gan'cao'xiao'huang'bing'gui'zhi
干葛木香甘桔茯,gan'ge'mu'xiang'gan'ju'fu
甘缓微和将胃保,gan'huan'wei'he'jiang'wei'bao
干姜草蔻木香停,gan'jiang'cao'kou'mu'xiang'ting
干姜附桂与良姜,gan'jiang'fu'gui'yu'liang'jiang
干姜附子兼葱白,gan'jiang'fu'zi'jian'cong'bai
干姜甘草与人参,gan'jiang'gan'cao'yu'ren'shen
肝经湿热力能排,gan'jing'shi're'li'neng'pai
肝经炎郁吐吞酸,gan'jing'yan'yu'tu'tun'suan
甘桔参归妙不同,gan'ju'can'gui'miao'bu'tong
甘桔陈苓术朴俱,gan'ju'chen'ling'shu'pu'ju
甘桔二茯远志随,gan'ju'er'fu'yuan'zhi'sui
甘桔厚朴酒调服,gan'ju'hou'pu'jiu'diao'fu
甘桔连翘知木枳,gan'ju'lian'qiao'zhi'mu'zhi
甘桔芦根凉解法,gan'ju'lu'gen'liang'jie'fa
甘桔桑皮劳热宜,gan'ju'sang'pi'lao're'yi
甘桔芎归膏滑石,gan'ju'xiong'gui'gao'hua'shi
甘苓橘半栀砂仁,gan'ling'ju'ban'zhi'sha'ren
甘露两地与茵陈,gan'lu'liang'di'yu'yin'chen
甘露消毒丹,gan'lu'xiao'du'dan
甘露消毒蔻藿香,gan'lu'xiao'du'kou'huo'xiang
甘露饮,gan'lu'yin
甘蔓藁木与防风,gan'man'gao'mu'yu'fang'feng
感冒咳嗽此方先,gan'mao'ke'sou'ci'fang'xian
感伤岚瘴并能驱,gan'shang'lan'zhang'bing'neng'qu
感伤内外亦堪施,gan'shang'nei'wai'yi'kan'shi
甘遂硝黄一泻柔,gan'sui'xiao'huang'yi'xie'rou
甘枳当归薏杏仁,gan'zhi'dang'gui'yi'xing'ren
绀珠正气天香散,gan'zhu'zheng'qi'tian'xiang'san
葛根黄芩黄连汤,ge'gen'huang'qin'huang'lian'tang
葛根汤,ge'gen'tang
葛根汤内麻黄襄,ge'gen'tang'nei'ma'huang'xiang
葛花解酲汤,ge'hua'jie'cheng'tang
葛花解酲香砂仁,ge'hua'jie'cheng'xiang'sha'ren
各走一经祛风湿,ge'zou'yi'jing'qu'feng'shi
更合使君研细末,geng'he'shi'jun'yan'xi'mo
更加草果姜煎服,geng'jia'cao'guo'jiang'jian'fu
更加蜂蜜竹茹煎,geng'jia'feng'mi'zhu'ru'jian
更加饴糖补中脏,geng'jia'yi'tang'bu'zhong'zang
更截实疟木贼煎,geng'jie'shi'nue'mu'zei'jian
更衣利便治津干,geng'yi'li'bian'zhi'jin'gan
更衣丸,geng'yi'wan
更用赤金法亦超,geng'yong'chi'jin'fa'yi'chao
更用桂枝兼大枣,geng'yong'gui'zhi'jian'da'zao
更用黄芩加姜枣,geng'yong'huang'qin'jia'jiang'zao
更用黄芩知母入,geng'yong'huang'qin'zhi'mu'ru
更有芪防同白术,geng'you'qi'fang'tong'bai'zhu
更有知柏与杞菊,geng'you'zhi'bai'yu'qi'ju
更有驻车归醋用,geng'you'zhu'che'gui'cu'yong
更知赤豆当归散,geng'zhi'chi'dou'dang'gui'san
共末为丸好醋参,gong'mo'wei'wan'hao'cu'can
功效称奇莫浪讥,gong'xiao'cheng'qi'mo'lang'ji
固冲汤,gu'chong'tang
固冲汤中芪术龙,gu'chong'tang'zhong'qi'shu'long
骨灰固齿散,gu'hui'gu'chi'san
骨灰固齿猪羊骨,gu'hui'gu'chi'zhu'yang'gu
固经丸,gu'jing'wan
固经丸用龟板君,gu'jing'wan'yong'gui'ban'jun
骨能补骨咸补肾,gu'neng'bu'gu'xian'bu'shen
古人尚有烧盐方,gu'ren'shang'you'shao'yan'fang
古人治暑多用温,gu'ren'zhi'shu'duo'yong'wen
骨蒸劳热保无虞,gu'zheng'lao're'bao'wu'yu
骨脂枸杞当归合,gu'zhi'gou'qi'dang'gui'he
瓜瓣桃仁四味邻,gua'ban'tao'ren'si'wei'lin
瓜蒂散,gua'di'san
瓜蒂散中赤小豆,gua'di'san'zhong'chi'xiao'dou
