奥巴家族,ao'ba'jia'zu
加玛帝国皇室,jia'ma'di'guo'huang'shi
加玛皇室,jia'ma'huang'shi
加玛三巨头,jia'ma'san'ju'tou
迦南学院,jia'nan'xue'yuan
迦南学院内院,jia'nan'xue'yuan'nei'yuan
迦南学院外院,jia'nan'xue'yuan'wai'yuan
加刑天,jia'xing'tian
剑尊者,jian'zun'zhe
剑尊者小剑,jian'zun'zhe'xiao'jian
金帝焚天炎,jin'di'fen'tian'yan
金手指,jin'shou'zhi
金属内甲,jin'shu'nei'jia
金银二老,jin'yin'er'lao
精钢铁棍,jing'gang'tie'gun
净莲妖火,jing'lian'yao'huo
净莲妖圣,jing'lian'yao'sheng
经脉,jing'mai
九阶魔兽,jiu'jie'mo'shou
九龙雷罡火,jiu'long'lei'gang'huo
九品宝丹,jiu'pin'bao'dan
九品金丹,jiu'pin'jin'dan
九品玄丹,jiu'pin'xuan'dan
九星大斗师,jiu'xing'da'dou'shi
九星斗皇,jiu'xing'dou'huang
九星斗灵,jiu'xing'dou'ling
九星斗圣,jiu'xing'dou'sheng
九星斗师,jiu'xing'dou'shi
九星斗王,jiu'xing'dou'wang
九星斗者,jiu'xing'dou'zhe
九星斗宗,jiu'xing'dou'zong
九星斗尊,jiu'xing'dou'zun
九星一体,jiu'xing'yi'ti
九玄金雷,jiu'xuan'jin'lei
九阴黄泉丹,jiu'yin'huang'quan'dan
九幽地冥蟒族,jiu'you'di'ming'mang'zu
九幽风炎,jiu'you'feng'yan
九幽黄泉,jiu'you'huang'quan
九幽金祖火,jiu'you'jin'zu'huo
聚灵草,ju'ling'cao
聚气散,ju'qi'san
岢立,ke'li
克鲁,ke'lu
柯学长,ke'xue'zhang
空间挪位,kong'jian'nuo'wei
狂狮怒罡,kuang'shi'nu'gang
蓝夫人,lan'fu'ren
蓝花酒馆,lan'hua'jiu'guan
蓝鹰,lan'ying
浪重叠,lang'chong'die
狼头佣兵团,lang'tou'yong'bing'tuan
狼牙,lang'ya
雷劫丹,lei'jie'dan
雷族,lei'zu
雷族族长,lei'zu'zu'zhang
雷尊者,lei'zun'zhe
冷面人萧旱,leng'mian'ren'xiao'han
莉菲,li'fei
炼火焚,lian'huo'fen
炼药师,lian'yao'shi
炼药师协会,lian'yao'shi'xie'hui
炼药师协会会长,lian'yao'shi'xie'hui'hui'zhang
两口之鼎,liang'kou'zhi'ding
疗伤药,liao'shang'yao
裂风旋舞,lie'feng'xuan'wu
裂爪击,lie'zhao'ji
林顿,lin'dun
琳菲,lin'fei
林喃,lin'nan
林修崖,lin'xiu'ya
林焱,lin'yan
灵魂感知力,ling'hun'gan'zhi'li
灵魂灵境者,ling'hun'ling'jing'zhe
灵魂体,ling'hun'ti
灵境,ling'jing
灵琳,ling'lin
翎泉,ling'quan
凌师,ling'shi
凌影,ling'ying
灵族,ling'zu
灵族族长,ling'zu'zu'zhang
六道轮回炎,liu'dao'lun'hui'yan
六阶魔兽,liu'jie'mo'shou
琉璃莲心火,liu'li'lian'xin'huo
六品炼药师,liu'pin'lian'yao'shi
柳擎,liu'qing
柳席,liu'xi
六星大斗师,liu'xing'da'dou'shi
六星斗皇,liu'xing'dou'huang
六星斗灵,liu'xing'dou'ling
六星斗圣,liu'xing'dou'sheng
六星斗师,liu'xing'dou'shi
六星斗王,liu'xing'dou'wang
六星斗者,liu'xing'dou'zhe
六星斗宗,liu'xing'dou'zong
六星斗尊,liu'xing'dou'zun
龙凤焱,long'feng'yan
龙凰本源果,long'huang'ben'yuan'guo
龙凰晶层,long'huang'jing'ceng
龙魂鼎,long'hun'ding
轮回天尊,lun'hui'tian'zun
轮回尊者,lun'hui'zun'zhe
罗布,luo'bu
绿蛮,lv'man
马四,ma'si
脉门,mai'men
邙天尺,mang'tian'chi
美杜莎,mei'du'sha
美杜莎女王,mei'du'sha'nv'wang
梦魇天雾,meng'yan'tian'wu
盟主,meng'zhu
米特尔家族,mi'te'er'jia'zu
米特尔腾山,mi'te'er'teng'shan
灭雷锤,mie'lei'chui
冥蛇地脉,ming'she'di'mai
墨承,mo'cheng
魔毒斑,mo'du'ban
魔核,mo'he
魔核武器,mo'he'wu'qi
墨胶,mo'jiao
魔金钻,mo'jin'zuan
魔晶,mo'jing
魔狼,mo'lang
魔蛇,mo'she
魔石碑,mo'shi'bei
魔兽,mo'shou
魔兽家族,mo'shou'jia'zu
魔兽三大族,mo'shou'san'da'zu
魔兽山脉,mo'shou'shan'mai
魔兽小镇,mo'shou'xiao'zhen
莫天行,mo'tian'xing
漠铁佣兵团,mo'tie'yong'bing'tuan
漠铁佣兵团二团长,mo'tie'yong'bing'tuan'er'tuan'zhang
漠铁佣兵团团长,mo'tie'yong'bing'tuan'tuan'zhang
莫崖,mo'ya
魔炎谷,mo'yan'gu
墨叶莲,mo'ye'lian
魔猿,mo'yuan
墨竹,mo'zhu
木辰,mu'chen
慕骨,mu'gu
慕骨老人,mu'gu'lao'ren
穆力,mu'li
慕青鸾,mu'qing'luan
穆蛇,mu'she
木属性,mu'shu'xing
木系,mu'xi
木之硬化,mu'zhi'ying'hua
纳戒,na'jie
纳兰,na'lan
纳兰家族,na'lan'jia'zu
纳兰桀,na'lan'jie
纳兰师姐,na'lan'shi'jie
纳兰肃,na'lan'su
纳兰嫣然,na'lan'yan'ran
纳石,na'shi
内甲,nei'jia
内视,nei'shi
内院,nei'yuan
凝血草,ning'xue'cao
凝血散,ning'xue'san
弄炎决,nong'yan'jue
怒狮狂罡,nu'shi'kuang'gang
爬山虎,pa'shan'hu
磐门,pan'men
佩恩,pei'en
劈山掌,pi'shan'zhang
劈石腿,pi'shi'tui
破魇之符,po'yan'zhi'fu
菩提化体涎,pu'ti'hua'ti'xian
七彩毒经,qi'cai'du'jing
七彩吞天蟒,qi'cai'tun'tian'mang
栖凤山,qi'feng'shan
七阶魔兽,qi'jie'mo'shou
七星大斗师,qi'xing'da'dou'shi
七星斗皇,qi'xing'dou'huang
七星斗灵,qi'xing'dou'ling
七星斗圣,qi'xing'dou'sheng
七星斗师,qi'xing'dou'shi
七星斗王,qi'xing'dou'wang
七星斗者,qi'xing'dou'zhe
七星斗宗,qi'xing'dou'zong
七星斗尊,qi'xing'dou'zun
气旋,qi'xuan
七叶花,qi'ye'hua
千百二老,qian'bai'er'lao
潜力值,qian'li'zhi
切克家族,qie'ke'jia'zu
青风旋拳,qing'feng'xuan'quan
青莲地心火,qing'lian'di'xin'huo
青莲火,qing'lian'huo
青莲座,qing'lian'zuo
青鳞,qing'lin
青冥幽炎决,qing'ming'you'yan'jue
青木剑诀,qing'mu'jian'jue
青木鼠,qing'mu'shu
青山镇,qing'shan'zhen
驱虫散,qu'chong'san
入圣,ru'sheng
若琳,ruo'lin
若琳导师,ruo'lin'dao'shi
三阶魔兽,san'jie'mo'shou
三品炼药师,san'pin'lian'yao'shi
三千莲心火,san'qian'lian'xin'huo
三千星空体质,san'qian'xing'kong'ti'zhi
三千星空焱炎火,san'qian'xing'kong'yan'yan'huo
三千焱炎火,san'qian'yan'yan'huo
三星大斗师,san'xing'da'dou'shi
三星斗皇,san'xing'dou'huang
三星斗灵,san'xing'dou'ling
三星斗圣,san'xing'dou'sheng
三星斗师,san'xing'dou'shi
三星斗王,san'xing'dou'wang
三星斗者,san'xing'dou'zhe
三星斗宗,san'xing'dou'zong
三星斗尊,san'xing'dou'zun
山熔鼎,shan'rong'ding
少团长,shao'tuan'zhang
蛇女,she'nv
蛇女月媚,she'nv'yue'mei
蛇人,she'ren
蛇人部落,she'ren'bu'luo
蛇人族,she'ren'zu
蛇尾豹,she'wei'bao
蛇涎果,she'xian'guo
蛇欲果,she'yu'guo
身法斗技,shen'fa'dou'ji
深海之灵,shen'hai'zhi'ling
神农老人,shen'nong'lao'ren
沈云,shen'yun
生骨花,sheng'gu'hua
生灵之焱,sheng'ling'zhi'yan
圣耀鼎,sheng'yao'ding
石漠城,shi'mo'cheng
狮山裂,shi'shan'lie
噬石魔蚁,shi'shi'mo'yi
噬尸蚁,shi'shi'yi
石属性,shi'shu'xing
嗜血鼠,shi'xue'shu
兽火,shou'huo
首席拍卖师,shou'xi'pai'mai'shi
双帝之战,shuang'di'zhi'zhan
双头火灵蛇,shuang'tou'huo'ling'she
双月同现,shuang'yue'tong'xian
水曼陀罗,shui'man'tuo'luo
水属性,shui'shu'xing
水系,shui'xi
四方阁,si'fang'ge
死寂之门,si'ji'zhi'men
四阶魔兽,si'jie'mo'shou
四品炼药师,si'pin'lian'yao'shi
四星大斗师,si'xing'da'dou'shi
四星斗皇,si'xing'dou'huang
四星斗灵,si'xing'dou'ling
四星斗圣,si'xing'dou'sheng
四星斗师,si'xing'dou'shi
四星斗王,si'xing'dou'wang
四星斗者,si'xing'dou'zhe
四星斗宗,si'xing'dou'zong
四星斗尊,si'xing'dou'zun
宋清,song'qing
宋青,song'qing
苏千长老,su'qian'zhang'lao
碎石掌,sui'shi'zhang
塔戈尔大沙漠,ta'ge'er'da'sha'mo
太上长老,tai'shang'zhang'lao
太上长老火云,tai'shang'zhang'lao'huo'yun
太虚古龙,tai'xu'gu'long
太虚古龙族,tai'xu'gu'long'zu
太虚古龙族族长,tai'xu'gu'long'zu'zu'zhang
唐火儿,tang'huo'er
唐鹰,tang'ying
唐震,tang'zhen
特兰城,te'lan'cheng
特米尔家族,te'mi'er'jia'zu
特米尔拍卖场,te'mi'er'pai'mai'chang
特米尔拍卖会,te'mi'er'pai'mai'hui
天蚕土豆,tian'can'tu'dou
天地潮汐,tian'di'chao'xi
天地玄黄,tian'di'xuan'huang
天鼎,tian'ding
天鼎榜,tian'ding'bang
天毒蝎龙兽,tian'du'xie'long'shou
天焚炼气塔,tian'fen'lian'qi'ta
天府联盟,tian'fu'lian'meng
天罡殿,tian'gang'dian
天凰,tian'huang
天凰祖魂,tian'huang'zu'hun
天魂融血丹,tian'hun'rong'xue'dan
天火尊者,tian'huo'zun'zhe
天阶低级,tian'jie'di'ji
天阶斗技,tian'jie'dou'ji
天阶斗气功法,tian'jie'dou'qi'gong'fa
天阶高级,tian'jie'gao'ji
天阶中级,tian'jie'zhong'ji
天境,tian'jing
天境者,tian'jing'zhe
天龙,tian'long
天罗封魔阵,tian'luo'feng'mo'zhen
天冥子,tian'ming'zi
天冥宗,tian'ming'zong
天魔蟒,tian'mo'mang
天目山脉,tian'mu'shan'mai
天墓之魂,tian'mu'zhi'hun
天山血潭,tian'shan'xue'tan
天蛇帝国,tian'she'di'guo
天蛇府,tian'she'fu
天妖凰族,tian'yao'huang'zu
铁剑尊者,tie'jian'zun'zhe
铁山拳,tie'shan'quan
屠龙剑,tu'long'jian
土属性,tu'shu'xing
吞灵族,tun'ling'zu
吞灵族族长,tun'ling'zu'zu'zhang
吞木狐,tun'mu'hu
吞噬异火,tun'shi'yi'huo
陀舍古帝,tuo'she'gu'di
万火长老,wan'huo'zhang'lao
万剑阁,wan'jian'ge
万兽鼎,wan'shou'ding
万兽灵火,wan'shou'ling'huo
万兽之魂,wan'shou'zhi'hun
万兽之血,wan'shou'zhi'xue
万药斋,wan'yao'zhai
王尘,wang'chen
亡魂山脉,wang'hun'shan'mai
温养脉络,wen'yang'mai'luo
吴昊,wu'hao
五阶魔兽,wu'jie'mo'shou
五品炼药师,wu'pin'lian'yao'shi
乌坦城,wu'tan'cheng
五纹紫金卡,wu'wen'zi'jin'ka
五星大斗师,wu'xing'da'dou'shi
五星斗皇,wu'xing'dou'huang
五星斗灵,wu'xing'dou'ling
五星斗圣,wu'xing'dou'sheng
五星斗师,wu'xing'dou'shi
五星斗王,wu'xing'dou'wang
五星斗者,wu'xing'dou'zhe
五星斗宗,wu'xing'dou'zong
五星斗尊,wu'xing'dou'zun
西北大陆,xi'bei'da'lu
洗骨花,xi'gu'hua
吸掌,xi'zhang
萧晨,xiao'chen
萧鼎,xiao'ding
小坊主,xiao'fang'zhu
萧旱,xiao'han
萧家族徽,xiao'jia'zu'hui
萧克,xiao'ke
小岚,xiao'lan
萧力,xiao'li
萧厉,xiao'li
萧霖,xiao'lin
萧媚,xiao'mei
萧门,xiao'men
萧宁,xiao'ning
萧潇,xiao'xiao
萧玄,xiao'xuan
萧薰儿,xiao'xun'er
萧炎,xiao'yan
小妖女,xiao'yao'nv
小医仙,xiao'yi'xian
萧鹰,xiao'ying
萧玉,xiao'yu
萧战,xiao'zhan
萧族,xiao'zu
萧族长,xiao'zu'zhang
卸力水镜,xie'li'shui'jing
信号弹,xin'hao'dan
心火,xin'huo
星陨阁,xing'yun'ge
星陨阁阁主,xing'yun'ge'ge'zhu
修炼作弊器,xiu'lian'zuo'bi'qi
蓄力丸,xu'li'wan
虚无吞炎,xu'wu'tun'yan
玄黄炎,xuan'huang'yan
玄阶低级,xuan'jie'di'ji
玄阶斗技,xuan'jie'dou'ji
玄阶斗气功法,xuan'jie'dou'qi'gong'fa
玄阶高级,xuan'jie'gao'ji
玄阶中级,xuan'jie'zhong'ji
玄冥宗,xuan'ming'zong
玄衣,xuan'yi
玄重尺,xuan'zhong'chi
血刀圣者,xue'dao'sheng'zhe
雪狐,xue'hu
血魂印记,xue'hun'yin'ji
血枷,xue'jia
血剑吴昊,xue'jian'wu'hao
血精妖果,xue'jing'yao'guo
雪梨,xue'li
血莲丹,xue'lian'dan
血莲精,xue'lian'jing
雪莲子,xue'lian'zi
雪魅,xue'mei
雪妮,xue'ni
学院妖女,xue'yuan'yao'nv
血宗,xue'zong
薰儿,xun'er
雅妃,ya'fei
炎帝,yan'di
炎帝萧炎,yan'di'xiao'yan
炎儿,yan'er
燕返击,yan'fan'ji
焰分噬浪尺,yan'fen'shi'lang'chi
炎火,yan'huo
炎烬,yan'jin
炎盟,yan'meng
炎日,yan'ri
岩蛇,yan'she
焰陨玄铁,yan'yun'xuan'tie
焰紫云雕,yan'zi'yun'diao
炎族,yan'zu
炎族族长,yan'zu'zu'zhang
阳火,yang'huo
阳火古坛,yang'huo'gu'tan
养气散,yang'qi'san
药材,yao'cai
药尘,yao'chen
药典大会,yao'dian'da'hui
药鼎,yao'ding
妖花邪君,yao'hua'xie'jun
妖凰圣像,yao'huang'sheng'xiang
妖凰钟,yao'huang'zhong
妖火降世,yao'huo'jiang'shi
妖火空间,yao'huo'kong'jian
药老,yao'lao
妖暝,yao'ming
妖女,yao'nv
药圣药尘,yao'sheng'yao'chen
药圣者,yao'sheng'zhe
药圣者药尘,yao'sheng'zhe'yao'chen
药天,yao'tian
曜天火,yao'tian'huo
药万归,yao'wan'gui
姚先生,yao'xian'sheng
妖啸天,yao'xiao'tian
药星极,yao'xing'ji
药岩,yao'yan
药族,yao'zu
药族族长,yao'zu'zu'zhang
药尊者,yao'zun'zhe
药尊者药尘,yao'zun'zhe'yao'chen
叶家,ye'jia
夜岚,ye'lan
夜明珠,ye'ming'zhu
异火,yi'huo
异火榜,yi'huo'bang
异火广场,yi'huo'guang'chang
一阶魔兽,yi'jie'mo'shou
一品炼药师,yi'pin'lian'yao'shi
医师,yi'shi
一星大斗师,yi'xing'da'dou'shi
一星斗皇,yi'xing'dou'huang
一星斗灵,yi'xing'dou'ling
一星斗圣,yi'xing'dou'sheng
一星斗师,yi'xing'dou'shi
一星斗王,yi'xing'dou'wang
一星斗者,yi'xing'dou'zhe
一星斗宗,yi'xing'dou'zong
一星斗尊,yi'xing'dou'zun
音谷,yin'gu
因特尔家族,yin'te'er'jia'zu
阴阳命魂丹,yin'yang'ming'hun'dan
罂粟花,ying'su'hua
鹰之翼,ying'zhi'yi
佣兵,yong'bing
佣兵团,yong'bing'tuan
幽冥杖,you'ming'zhang
幽泉,you'quan
羽翅,yu'chi
玉儿,yu'er
玉牌,yu'pai
欲望花,yu'wang'hua
远古八族,yuan'gu'ba'zu
远古凤凰,yuan'gu'feng'huang
月白裙袍,yue'bai'qun'pao
月光石,yue'guang'shi
月媚,yue'mei
云岚山,yun'lan'shan
云岚宗,yun'lan'zong
云岚宗少宗主,yun'lan'zong'shao'zong'zhu
云岚宗宗主,yun'lan'zong'zong'zhu
云棱,yun'leng
陨落心炎,yun'luo'xin'yan
陨落之巅,yun'luo'zhi'dian
云山,yun'shan
陨星鼎,yun'xing'ding
云烟覆日阵,yun'yan'fu'ri'zhen
云韵,yun'yun
云芝,yun'zhi
云之岚,yun'zhi'lan
造化圣者,zao'hua'sheng'zhe
增气散,zeng'qi'san
摘星老鬼,zhai'xing'lao'gui
镇谷功法,zhen'gu'gong'fa
镇鬼关,zhen'gui'guan
中级半圣,zhong'ji'ban'sheng
中州,zhong'zhou
重肘击,zhong'zhou'ji
中州明面势力,zhong'zhou'ming'mian'shi'li
中州四方阁,zhong'zhou'si'fang'ge
中州隐藏势力,zhong'zhou'yin'cang'shi'li
筑基灵液,zhu'ji'ling'ye
烛坤,zhu'kun
紫晶,zi'jing
紫晶封印,zi'jing'feng'yin
紫晶翼狮王,zi'jing'yi'shi'wang
紫蓝叶,zi'lan'ye
紫灵晶,zi'ling'jing
紫灵石,zi'ling'shi
紫妍,zi'yan
紫研,zi'yan
紫叶兰草,zi'ye'lan'cao
紫渊鼎,zi'yuan'ding
紫云翼,zi'yun'yi
宗主,zong'zhu
族人,zu'ren
族长,zu'zhang
醉龙草,zui'long'cao
作弊器,zuo'bi'qi
