爱见,ai'jian
见了么,jian'le'me
见你不说话,jian'ni'bu'shuo'hua
绛县,jiang'xian
绛县吧,jiang'xian'ba
绛县的,jiang'xian'de
绛中,jiang'zhong
绛州,jiang'zhou
角杯,jiao'bei
角杯乡,jiao'bei'xiang
较少不下,jiao'shao'bu'xia
叫我这,jiao'wo'zhe
借不下,jie'bu'xia
解州,jie'zhou
解州镇,jie'zhou'zhen
晋糕,jin'gao
金丝鸟,jin'si'niao
金鑫大酒店,jin'xin'da'jiu'dian
锦绣花城,jin'xiu'hua'cheng
景胜,jing'sheng
舅爸,jiu'ba
就好着,jiu'hao'zhe
就好着呢,jiu'hao'zhe'ne
就是该,jiu'shi'gai
就运城,jiu'yun'cheng
就在运城,jiu'zai'yun'cheng
居民组,ju'min'zu
开过年,kai'guo'nian
开张镇,kai'zhang'zhen
康家庄,kang'jia'zhuang
康杰中学,kang'jie'zhong'xue
康踏,kang'ta
考不下,kao'bu'xia
栲栳镇,kao'lao'zhen
克罗克,ke'luo'ke
瞌睡滴,ke'shui'di
空港,kong'gang
空港新区,kong'gang'xin'qu
扣套餐,kou'tao'can
来河津,lai'he'jin
来闻喜,lai'wen'xi
来我村,lai'wo'cun
来我家来,lai'wo'jia'lai
来永济,lai'yong'ji
来运城,lai'yun'cheng
来运城了,lai'yun'cheng'le
老爸驾到,lao'ba'jia'dao
老不要,lao'bu'yao
老汉呢,lao'han'ne
老是这,lao'shi'zhe
乐彩网,le'cai'wang
冷口,leng'kou
里村,li'cun
李海碧,li'hai'bi
李家大院,li'jia'da'yuan
历山,li'shan
礼元,li'yuan
礼元镇,li'yuan'zhen
莲湖公园,lian'hu'gong'yuan
联校,lian'xiao
梁思源,liang'si'yuan
临汾了,lin'fen'le
临晋,lin'jin
临晋镇,lin'jin'zhen
临晋中学,lin'jin'zhong'xue
临猗,lin'yi
临猗吧,lin'yi'ba
临猗的,lin'yi'de
临猗县,lin'yi'xian
临猗中学,lin'yi'zhong'xue
令花,ling'hua
灵通咨询,ling'tong'zi'xun
刘家庄,liu'jia'zhuang
柳泉,liu'quan
柳园,liu'yuan
龙居,long'ju
龙居镇,long'ju'zhen
龙门村,long'men'cun
龙门大道,long'men'da'dao
龙门大厦,long'men'da'sha
龙门广场,long'men'guang'chang
龙兴镇,long'xing'zhen
楼搜,lou'sou
路村,lu'cun
潞村街,lu'cun'jie
落果,luo'guo
铝厂,lv'chang
铝厂的,lv'chang'de
妈别,ma'bie
买饼子,mai'bing'zi
麦克汉姆,mai'ke'han'mu
麦可馨,mai'ke'xin
买下了吗,mai'xia'le'ma
麦香斯,mai'xiang'si
慢胡,man'hu
茅津,mao'jin
猫娃,mao'wa
镁厂,mei'chang
眉户,mei'hu
没看下,mei'kan'xia
没买下,mei'mai'xia
没事该,mei'shi'gai
没事个,mei'shi'ge
美太太,mei'tai'tai
没心劲,mei'xin'jin
眉阳,mei'yang
嵋阳镇,mei'yang'zhen
没有该,mei'you'gai
没找下,mei'zhao'xia
门不开,men'bu'kai
米家湾,mi'jia'wan
庙村,miao'cun
庙前,miao'qian
庙上,miao'shang
咩到,mie'dao
灭个,mie'ge
名人港湾,ming'ren'gang'wan
明天去运城,ming'tian'qu'yun'cheng
明天着,ming'tian'zhe
明珠小区,ming'zhu'xiao'qu
馍干,mo'gan
馍花,mo'hua
馍夹菜,mo'jia'cai
馍夹肉,mo'jia'rou
馍馍菜,mo'mo'cai
陌南,mo'nan
摩托街,mo'tuo'jie
木木不哭,mu'mu'bu'ku
牧香原,mu'xiang'yuan
哪块的,na'kuai'de
那里朋友,na'li'peng'you
那你咋失宠,na'ni'za'shi'chong
那我睡觉呀,na'wo'shui'jiao'ya
那也不搞,na'ye'bu'gao
南大里,nan'da'li
南凡,nan'fan
南方广场,nan'fang'guang'chang
南风,nan'feng
南风百货,nan'feng'bai'huo
南风广场,nan'feng'guang'chang
南关村,nan'guan'cun
南街小学,nan'jie'xiao'xue
南山华庭,nan'shan'hua'ting
难受地,nan'shou'di
南午芹,nan'wu'qin
能买下,neng'mai'xia
能找下,neng'zhao'xia
你爱见,ni'ai'jian
你不爱见,ni'bu'ai'jian
你才憨,ni'cai'han
你到运城,ni'dao'yun'cheng
你的豆多里吧,ni'de'dou'duo'li'ba
你多会回来,ni'duo'hui'hui'lai
你多会开学,ni'duo'hui'kai'xue
你多回去,ni'duo'hui'qu
你多会走,ni'duo'hui'zou
你个憨憨,ni'ge'han'han
你给他说下,ni'gei'ta'shuo'xia
你憨憨,ni'han'han
你和谁呢,ni'he'shui'ne
你和谁在家,ni'he'shui'zai'jia
你和谁在家呢,ni'he'shui'zai'jia'ne
你和谁在一块,ni'he'shui'zai'yi'kuai
你可当,ni'ke'dang
你瞌睡的,ni'ke'shui'de
你可以为,ni'ke'yi'wei
你来运城,ni'lai'yun'cheng
你妈白,ni'ma'bai
你妈别,ni'ma'bie
你买下,ni'mai'xia
你么白,ni'me'bai
你么别,ni'me'bie
你那下雨吗,ni'na'xia'yu'ma
你能完吗,ni'neng'wan'ma
你恰,ni'qia
你去太原,ni'qu'tai'yuan
你去运城,ni'qu'yun'cheng
你是运城,ni'shi'yun'cheng
你谁呢,ni'shui'ne
你说不忙吗,ni'shuo'bu'mang'ma
你死老,ni'si'lao
你死呀,ni'si'ya
你一个在家,ni'yi'ge'zai'jia
你赢不了吗,ni'ying'bu'le'ma
你运城,ni'yun'cheng
你在村,ni'zai'cun
你在河津,ni'zai'he'jin
你在临汾,ni'zai'lin'fen
你在闻喜,ni'zai'wen'xi
你在县,ni'zai'xian
你在永济,ni'zai'yong'ji
你在运城,ni'zai'yun'cheng
你作业完了,ni'zuo'ye'wan'le
你作业完了吗,ni'zuo'ye'wan'le'ma
年哈,nian'ha
年女,nian'nv
牛杜,niu'du
弄不下,nong'bu'xia
农廉,nong'lian
农廉网,nong'lian'wang
诺维兰,nuo'wei'lan
哦爱不好啊,o'ai'bu'hao'a
爬恰,pa'qia
爬远,pa'yuan
爬远远,pa'yuan'yuan
潘记,pan'ji
裴村,pei'cun
裴介,pei'jie
裴介镇,pei'jie'zhen
裴庄,pei'zhuang
片会,pian'hui
飘字,piao'zi
撇打,pie'da
撇站,pie'zhan
贫啥,pin'sha
平陆,ping'lu
平陆吧,ping'lu'ba
平陆的,ping'lu'de
平陆县,ping'lu'xian
瓶坯,ping'pi
坡底,po'di
坡底乡,po'di'xiang
破烦的,po'fan'de
破烦了,po'fan'le
破烦死了,po'fan'si'le
铺安街,pu'an'jie
普救寺,pu'jiu'si
蒲剧,pu'ju
葡萄园,pu'tao'yuan
蒲乡红,pu'xiang'hong
蒲园,pu'yuan
蒲州镇,pu'zhou'zhen
骑电摩,qi'dian'mo
七级镇,qi'ji'zhen
祁家河,qi'jia'he
恰爸,qia'ba
恰哥,qia'ge
恰姐,qia'jie
恰俩,qia'lia
恰两,qia'liang
恰妈,qia'ma
恰人,qia'ren
恰屋,qia'wu
恰县,qia'xian
欠皮,qian'pi
乔村,qiao'cun
乔家庄,qiao'jia'zhuang
秦村,qin'cun
亲女,qin'nv
轻工城,qing'gong'cheng
青谷,qing'gu
情空,qing'kong
卿头,qing'tou
卿头镇,qing'tou'zhen
穷草,qiong'cao
曲村,qu'cun
去地理,qu'di'li
去东镇,qu'dong'zhen
去河津,qu'he'jin
去侯马,qu'hou'ma
去绛县,qu'jiang'xian
去临汾,qu'lin'fen
去哪念,qu'na'nian
去你村,qu'ni'cun
去三门峡,qu'san'men'xia
去太原,qu'tai'yuan
去太原了,qu'tai'yuan'le
去万荣,qu'wan'rong
去闻喜,qu'wen'xi
去夏县,qu'xia'xian
去县,qu'xian
去永济,qu'yong'ji
去运城,qu'yun'cheng
去运城了,qu'yun'cheng'le
全泰,quan'tai
泉掌,quan'zhang
任村,ren'cun
任家庄,ren'jia'zhuang
日别,ri'bie
日你么,ri'ni'me
荣河,rong'he
荣河镇,rong'he'zhen
芮城,rui'cheng
芮城吧,rui'cheng'ba
芮城的,rui'cheng'de
芮城县,rui'cheng'xian
芮城中学,rui'cheng'zhong'xue
三家庄,san'jia'zhuang
三路里,san'lu'li
三毛图库,san'mao'tu'ku
三门峡,san'men'xia
三门峡了,san'men'xia'le
三门镇,san'men'zhen
三泉,san'quan
三泉镇,san'quan'zhen
三市场,san'shi'chang
三味奇,san'wei'qi
骚白,sao'bai
僧楼,seng'lou
山西铝厂,shan'xi'lv'chang
山西人事,shan'xi'ren'shi
山西省河津市,shan'xi'sheng'he'jin'shi
山西省运城市,shan'xi'sheng'yun'cheng'shi
山西一,shan'xi'yi
山西移动,shan'xi'yi'dong
山西医科大,shan'xi'yi'ke'da
山西一区,shan'xi'yi'qu
山西永济,shan'xi'yong'ji
山西运城,shan'xi'yun'cheng
山西招生,shan'xi'zhao'sheng
山西招生考试网,shan'xi'zhao'sheng'kao'shi'wang
山西招生网,shan'xi'zhao'sheng'wang
尚东城,shang'dong'cheng
上郭,shang'guo
上郭乡,shang'guo'xiang
上麦了,shang'mai'le
少你妈,shao'ni'ma
申超,shen'chao
什么牌呢,shen'me'pai'ne
圣惠,sheng'hui
圣惠公园,sheng'hui'gong'yuan
圣惠路,sheng'hui'lu
圣惠南路,sheng'hui'nan'lu
圣惠桥,sheng'hui'qiao
圣人涧,sheng'ren'jian
圣人涧镇,sheng'ren'jian'zhen
圣天湖,sheng'tian'hu
是不是呢,shi'bu'shi'ne
史村,shi'cun
是多会,shi'duo'hui
世纪朝阳,shi'ji'zhao'yang
是挺辛苦的,shi'ting'xin'ku'de
是运城,shi'yun'cheng
受死啦,shou'si'la
受死了,shou'si'le
受症,shou'zheng
熟熟的,shu'shu'de
书香华庭,shu'xiang'hua'ting
输药,shu'yao
双合成,shuang'he'cheng
水岸华庭,shui'an'hua'ting
睡觉家,shui'jiao'jia
水头镇,shui'tou'zhen
谁知呢,shui'zhi'ne
舜帝,shun'di
舜帝陵,shun'di'ling
舜都,shun'dou
四冯,si'feng
四季绿城,si'ji'lv'cheng
泗交镇,si'jiao'zhen
斯麦尔,si'mai'er
死女,si'nv
送女,song'nv
涑北,su'bei
苏村,su'cun
粟海,su'hai
苏晋玉,su'jin'yu
涑水,su'shui
孙吉,sun'ji
孙吉镇,sun'ji'zhen
所家,suo'jia
所时候,suo'shi'hou
所意思,suo'yi'si
他滴,ta'di
他在运城,ta'zai'yun'cheng
太贾,tai'jia
太阳乡,tai'yang'xiang
太原号,tai'yuan'hao
太原回来,tai'yuan'hui'lai
太原科技,tai'yuan'ke'ji
太原师范,tai'yuan'shi'fan
唐回,tang'hui
陶村,tao'cun
陶村镇,tao'cun'zhen
套带,tao'dai
天就回来了,tian'jiu'hui'lai'le
条山,tiao'shan
条山街,tiao'shan'jie
桐城镇,tong'cheng'zhen
铜矿峪,tong'kuang'yu
同善,tong'shan
外滩首府,wai'tan'shou'fu
万福花园,wan'fu'hua'yuan
万固寺,wan'gu'si
万荣,wan'rong
万荣的,wan'rong'de
万荣了,wan'rong'le
万荣人,wan'rong'ren
万荣县,wan'rong'xian
玩咋,wan'za
王范乡,wang'fan'xiang
望湖新村,wang'hu'xin'cun
王家岭,wang'jia'ling
王茅,wang'mao
尉郭,wei'guo
尉郭乡,wei'guo'xiang
为所,wei'suo
维之王,wei'zhi'wang
文典,wen'dian
问了生活买办法,wen'le'sheng'huo'mai'ban'fa
问那干嘛,wen'na'gan'ma
闻喜,wen'xi
闻喜的,wen'xi'de
闻喜了,wen'xi'le
闻喜人,wen'xi'ren
闻喜县,wen'xi'xian
闻垣,wen'yuan
我爱见,wo'ai'jian
我爱见你,wo'ai'jian'ni
我不在我家,wo'bu'zai'wo'jia
我吃饭呀,wo'chi'fan'ya
我出呀,wo'chu'ya
我村的,wo'cun'de
我大爸,wo'da'ba
我到运城,wo'dao'yun'cheng
我到运城了,wo'dao'yun'cheng'le
我的号小弟,wo'de'hao'xiao'di
我等你这,wo'deng'ni'zhe
我干活呀,wo'gan'huo'ya
我寡的,wo'gua'de
我回村,wo'hui'cun
我见啦,wo'jian'la
我就爱见,wo'jiu'ai'jian
我看电视呀,wo'kan'dian'shi'ya
我瞌睡的,wo'ke'shui'de
我老班,wo'lao'ban
我没出来啊,wo'mei'chu'lai'a
我们隔得太远,wo'men'ge'de'tai'yuan
我起床呀,wo'qi'chuang'ya
我去太原,wo'qu'tai'yuan
我去运城,wo'qu'yun'cheng
我山西,wo'shan'xi
我山西的,wo'shan'xi'de
我是山西,wo'shi'shan'xi
我是山西的,wo'shi'shan'xi'de
我是运城,wo'shi'yun'cheng
我是运城的,wo'shi'yun'cheng'de
我睡觉家,wo'shui'jiao'jia
我睡觉呀,wo'shui'jiao'ya
我死呀,wo'si'ya
我玩呀,wo'wan'ya
我熄火,wo'xi'huo
我洗呀,wo'xi'ya
我洗澡呀,wo'xi'zao'ya
我写作业呀,wo'xie'zuo'ye'ya
我也俩孩子,wo'ye'lia'hai'zi
我也睡觉呀,wo'ye'shui'jiao'ya
我运城,wo'yun'cheng
我运城的,wo'yun'cheng'de
我在村,wo'zai'cun
我在村里,wo'zai'cun'li
我在河津,wo'zai'he'jin
我在临汾,wo'zai'lin'fen
我在山西,wo'zai'shan'xi
我在闻喜,wo'zai'wen'xi
我在县,wo'zai'xian
我在永济,wo'zai'yong'ji
我在运城,wo'zai'yun'cheng
我找不下,wo'zhao'bu'xia
我走呀,wo'zou'ya
吴村,wu'cun
坞堆,wu'dui
吴家关,wu'jia'guan
五老峰,wu'lao'feng
无聊滴,wu'liao'di
五七五,wu'qi'wu
五四一,wu'si'yi
西城办,xi'cheng'ban
席村,xi'cun
西韩窑,xi'han'yao
西湖小区,xi'hu'xiao'qu
西花园,xi'hua'yuan
稀活,xi'huo
熄火啊,xi'huo'a
熄火吧,xi'huo'ba
熄火的,xi'huo'de
熄火滴,xi'huo'di
西活力,xi'huo'li
熄火死,xi'huo'si
熄火死啦,xi'huo'si'la
熄火死了,xi'huo'si'le
西街小学,xi'jie'xiao'xue
西矿路,xi'kuang'lu
西陌,xi'mo
西社镇,xi'she'zhen
西滩,xi'tan
西姚,xi'yao
席张,xi'zhang
下迪,xia'di
下化,xia'hua
下苦,xia'ku
下苦的,xia'ku'de
夏县,xia'xian
夏县吧,xia'xian'ba
夏县的,xia'xian'de
想不下,xiang'bu'xia
襄汾,xiang'fen
想着也是,xiang'zhe'ye'shi
小北山,xiao'bei'shan
小不下,xiao'bu'xia
小李村,xiao'li'cun
小魔鱼,xiao'mo'yu
小娃家,xiao'wa'jia
鑫大,xin'da
心乏,xin'fa
新纺,xin'fang
新耿,xin'geng
新湖村,xin'hu'cun
新绛,xin'jiang
新绛的,xin'jiang'de
新绛县,xin'jiang'xian
新视点,xin'shi'dian
新新家园,xin'xin'jia'yuan
鑫源服装城,xin'yuan'fu'zhuang'cheng
行村,xing'cun
性惯,xing'guan
修村,xiu'cun
许家营,xu'jia'ying
续鲁,xu'lu
学府城,xue'fu'cheng
学府嘉园,xue'fu'jia'yuan
雪话,xue'hua
雪花山,xue'hua'shan
薛辽,xue'liao
学特长,xue'te'chang
学院附中,xue'yuan'fu'zhong
学张,xue'zhang
亚宝,ya'bao
丫个,ya'ge
盐池,yan'chi
盐湖,yan'hu
盐湖城,yan'hu'cheng
盐湖二中,yan'hu'er'zhong
盐湖区,yan'hu'qu
盐湖五中,yan'hu'wu'zhong
盐湖中学,yan'hu'zhong'xue
盐化,yan'hua
盐化中学,yan'hua'zhong'xue
闫家庄,yan'jia'zhuang
阳城镇,yang'cheng'zhen
姚村,yao'cun
窑洞,yao'dong
姚孟,yao'meng
要输了吧,yao'shu'le'ba
窑头,yao'tou
逸夫中学,yi'fu'zhong'xue
一会找你啊,yi'hui'zhao'ni'a
一会这,yi'hui'zhe
怡景华庭,yi'jing'hua'ting
亿适家,yi'shi'jia
异世小说,yi'shi'xiao'shuo
一天就是不见你,yi'tian'jiu'shi'bu'jian'ni
一外,yi'wai
一尊黄牛,yi'zun'huang'niu
印白色字,yin'bai'se'zi
尹村,yin'cun
印大红色字,yin'da'hong'se'zi
樱花园,ying'hua'yuan
英言,ying'yan
英言乡,ying'yan'xiang
莺莺塔,ying'ying'ta
永济,yong'ji
永济的,yong'ji'de
永济了,yong'ji'le
永济市,yong'ji'shi
永乐宫,yong'le'gong
由不了,you'bu'liao
又没人说话了,you'mei'ren'shuo'hua'le
有运城,you'yun'cheng
禹都,yu'dou
禹都大道,yu'dou'da'dao
禹都花园,yu'dou'hua'yuan
鱼加面,yu'jia'mian
雨林乐园,yu'lin'le'yuan
雨林乐园护肤品,yu'lin'le'yuan'hu'fu'pin
禹门口,yu'men'kou
御沁园,yu'qin'yuan
禹王一品,yu'wang'yi'pin
禹西路,yu'xi'lu
御溪苑,yu'xi'yuan
禹香苑,yu'xiang'yuan
御泽苑,yu'ze'yuan
原村,yuan'cun
园丽园,yuan'li'yuan
垣曲,yuan'qu
垣曲吧,yuan'qu'ba
垣曲的,yuan'qu'de
垣曲县,yuan'qu'xian
原王庄,yuan'wang'zhuang
月底忙吗,yue'di'mang'ma
越野一族,yue'ye'yi'zu
粤珍轩,yue'zhen'xuan
运吧,yun'ba
运城,yun'cheng
运城啊,yun'cheng'a
运城吧,yun'cheng'ba
运城百家乐,yun'cheng'bai'jia'le
运城到,yun'cheng'dao
运城的,yun'cheng'de
运城地区,yun'cheng'di'qu
运城号,yun'cheng'hao
运城话,yun'cheng'hua
运城回来,yun'cheng'hui'lai
运城啦,yun'cheng'la
运城了,yun'cheng'le
运城吗,yun'cheng'ma
运城么,yun'cheng'me
运城哪的,yun'cheng'na'de
运城哪里,yun'cheng'na'li
运城呢,yun'cheng'ne
运城人,yun'cheng'ren
运城日报,yun'cheng'ri'bao
运城市,yun'cheng'shi
运城搜搜,yun'cheng'sou'sou
运城天气,yun'cheng'tian'qi
运城天气预报,yun'cheng'tian'qi'yu'bao
运城学院,yun'cheng'xue'yuan
运城呀,yun'cheng'ya
运城烟草,yun'cheng'yan'cao
运城有,yun'cheng'you
运城站,yun'cheng'zhan
运城中学,yun'cheng'zhong'xue
运临路,yun'lin'lu
云丘山,yun'qiu'shan
咋爸,za'ba
咋村,za'cun
咋啦呢,za'la'ne
咋妈,za'ma
咋县,za'xian
在百大,zai'bai'da
在城,zai'cheng
在村,zai'cun
在东镇,zai'dong'zhen
在河津,zai'he'jin
在侯马,zai'hou'ma
在稷山,zai'ji'shan
在家还只在县城,zai'jia'hai'zhi'zai'xian'cheng
在家无聊的,zai'jia'wu'liao'de
在家坐着,zai'jia'zuo'zhe
在家坐着呢,zai'jia'zuo'zhe'ne
在绛县,zai'jiang'xian
在空港,zai'kong'gang
在临汾,zai'lin'fen
在临猗,zai'lin'yi
在铝厂,zai'lv'chang
在哪快,zai'na'kuai
在哪块呢,zai'na'kuai'ne
在南风广场,zai'nan'feng'guang'chang
在你村,zai'ni'cun
在片,zai'pian
在芮城,zai'rui'cheng
在万荣,zai'wan'rong
在闻喜,zai'wen'xi
在我村,zai'wo'cun
在夏县,zai'xia'xian
在新绛,zai'xin'jiang
在永济,zai'yong'ji
在禹都,zai'yu'dou
在垣曲,zai'yuan'qu
在运城,zai'yun'cheng
