顺虏邦昌,shun'lu'bang'chang
舜目重瞳,shun'mu'chong'tong
舜钦斗酒,shun'qin'dou'jiu
说相殷高,shuo'xiang'yin'gao
似鬼曹瞒,si'gui'cao'man
四皓衣冠,si'hao'yi'guan
斯立吟哦,si'li'yin'e
司马琴心,si'ma'qin'xin
司马青衫,si'ma'qing'shan
司马山川,si'ma'shan'chuan
司马微讥,si'ma'wei'ji
司马淹迟,si'ma'yan'chi
思曼风姿,si'man'feng'zi
松柏世林,song'bai'shi'lin
崧避杖撞,song'bi'zhang'zhuang
宋臣宗泽,song'chen'zong'ze
宋景贤君,song'jing'xian'jun
宋均渡虎,song'jun'du'hu
宋玉悲秋,song'yu'bei'qiu
宋玉披襟,song'yu'pi'jin
苏耽桔井,su'dan'ju'jing
苏秦刺股,su'qin'ci'gu
苏轼奇才,su'shi'qi'cai
苏轼为悭,su'shi'wei'qian
苏轼文心,su'shi'wen'xin
苏武餐毡,su'wu'can'zhan
苏章二天,su'zhang'er'tian
睢阳嚼齿,sui'yang'jiao'chi
孙登坐啸,sun'deng'zuo'xiao
孙昉四休,sun'fang'si'xiu
孙非识面,sun'fei'shi'mian
孙济酤缗,sun'ji'gu'min
孙敬悬梁,sun'jing'xuan'liang
孙琏织屦,sun'lian'zhi'ju
孙阳识马,sun'yang'shi'ma
太初日月,tai'chu'ri'yue
太公钓渭,tai'gong'diao'wei
太昊制琴,tai'hao'zhi'qin
台乌成兆,tai'wu'cheng'zhao
太子牵裾,tai'zi'qian'ju
太宗怀鹞,tai'zong'huai'yao
昙辍丝竹,tan'chuo'si'zhu
昙迁营葬,tan'qian'ying'zang
谭峭行歌,tan'qiao'xing'ge
谭尚相攻,tan'shang'xiang'gong
谈天邹衍,tan'tian'zou'yan
唐举善相,tang'ju'shan'xiang
堂开洛水,tang'kai'luo'shui
唐羡三宗,tang'xian'san'zong
唐宗三鉴,tang'zong'san'jian
