艾仓村,ai'cang'cun
佛堂掌村,fo'tang'zhang'cun
附城村,fu'cheng'cun
附城镇,fu'cheng'zhen
复庄村,fu'zhuang'cun
盖城村,gai'cheng'cun
甘井掌村,gan'jing'zhang'cun
赶马双村,gan'ma'shuang'cun
高谷堆村,gao'gu'dui'cun
高家村,gao'jia'cun
高庄村,gao'zhuang'cun
圪塔村,ge'ta'cun
圪台河村,ge'tai'he'cun
圪坨村,ge'tuo'cun
拱池村,gong'chi'cun
拱山底村,gong'shan'di'cun
古郊村,gu'jiao'cun
古郊乡,gu'jiao'xiang
古石村,gu'shi'cun
郭家川村,guo'jia'chuan'cun
韩庄村,han'zhuang'cun
和村,he'cun
和家脚村,he'jia'jiao'cun
河头村,he'tou'cun
河头庄村,he'tou'zhuang'cun
河元村,he'yuan'cun
黑土门村,hei'tu'men'cun
横水村,heng'shui'cun
洪河头村,hong'he'tou'cun
红马背村,hong'ma'bei'cun
后川村,hou'chuan'cun
后沟村,hou'gou'cun
后河村,hou'he'cun
侯家岭村,hou'jia'ling'cun
候家庄村,hou'jia'zhuang'cun
后郊村,hou'jiao'cun
后山村,hou'shan'cun
后西沟村,hou'xi'gou'cun
侯庄村,hou'zhuang'cun
花落村,hua'luo'cun
槐树岭村,huai'shu'ling'cun
黄虎掌村,huang'hu'zhang'cun
黄松背村,huang'song'bei'cun
黄庄村,huang'zhuang'cun
汲好水村,ji'hao'shui'cun
积善村,ji'shan'cun
贾家岭村,jia'jia'ling'cun
箭眼山村,jian'yan'shan'cun
郊底村,jiao'di'cun
焦会村,jiao'hui'cun
脚头村,jiao'tou'cun
金家岭村,jin'jia'ling'cun
井郊村,jing'jiao'cun
井坡村,jing'po'cun
九光村,jiu'guang'cun
九章村,jiu'zhang'cun
库头村,ku'tou'cun
昆山村,kun'shan'cun
了池村,le'chi'cun
里达沟村,li'da'gou'cun
里进掌村,li'jin'zhang'cun
梨树掌村,li'shu'zhang'cun
礼义镇,li'yi'zhen
李庄村,li'zhuang'cun
莲花村,lian'hua'cun
梁泉村,liang'quan'cun
林峦岭村,lin'luan'ling'cun
岭北村,ling'bei'cun
岭北底村,ling'bei'di'cun
岭常村,ling'chang'cun
陵川县,ling'chuan'xian
岭东村,ling'dong'cun
岭后村,ling'hou'cun
岭后底村,ling'hou'di'cun
岭南村,ling'nan'cun
岭西村,ling'xi'cun
灵岩寺村,ling'yan'si'cun
刘家庄村,liu'jia'zhuang'cun
六泉村,liu'quan'cun
六泉乡,liu'quan'xiang
柳义村,liu'yi'cun
龙泉村,long'quan'cun
龙头沟村,long'tou'gou'cun
龙王村,long'wang'cun
娄头村,lou'tou'cun
潞城村,lu'cheng'cun
潞城镇,lu'cheng'zhen
炉家村,lu'jia'cun
鲁山村,lu'shan'cun
罗古掌村,luo'gu'zhang'cun
吕家河村,lv'jia'he'cun
马圪当乡,ma'ge'dang'xiang
马家庄村,ma'jia'zhuang'cun
马圈村,ma'juan'cun
马武寨村,ma'wu'zhai'cun
马新庄村,ma'xin'zhuang'cun
马庄村,ma'zhuang'cun
脉龙村,mai'long'cun
漫流坡村,man'liu'po'cun
庙怀村,miao'huai'cun
南边村,nan'bian'cun
南川村,nan'chuan'cun
南村,nan'cun
南垛村,nan'duo'cun
南沟村,nan'gou'cun
南河村,nan'he'cun
南河庄村,nan'he'zhuang'cun
南黑山底村,nan'hei'shan'di'cun
南街村,nan'jie'cun
南炉河村,nan'lu'he'cun
南马村,nan'ma'cun
南坪村,nan'ping'cun
南坡村,nan'po'cun
南四渠村,nan'si'qu'cun
南窑村,nan'yao'cun
南窑头村,nan'yao'tou'cun
南营村,nan'ying'cun
南召村,nan'zhao'cun
碾帮水村,nian'bang'shui'cun
牛家川村,niu'jia'chuan'cun
牛家河村,niu'jia'he'cun
潘家掌村,pan'jia'zhang'cun
庞家川村,pang'jia'chuan'cun
琵琶河村,pi'pa'he'cun
偏桥底村,pian'qiao'di'cun
平城镇,ping'cheng'zhen
平川村,ping'chuan'cun
平道村,ping'dao'cun
平居村,ping'ju'cun
铺上村,pu'shang'cun
蒲水村,pu'shui'cun
七峪村,qi'yu'cun
前郊村,qian'jiao'cun
桥将村,qiao'jiang'cun
乔山村,qiao'shan'cun
桥西村,qiao'xi'cun
秦家河村,qin'jia'he'cun
秦家庄村,qin'jia'zhuang'cun
秦家庄乡,qin'jia'zhuang'xiang
勤泉村,qin'quan'cun
秦山村,qin'shan'cun
青杨庄村,qing'yang'zhuang'cun
秋子掌村,qiu'zi'zhang'cun
泉头村,quan'tou'cun
任家掌村,ren'jia'zhang'cun
瑞马村,rui'ma'cun
三道河村,san'dao'he'cun
三泉村,san'quan'cun
桑家坪村,sang'jia'ping'cun
桑树河村,sang'shu'he'cun
沙泊池村,sha'bo'chi'cun
沙场村,sha'chang'cun
沙河村,sha'he'cun
沙上头村,sha'shang'tou'cun
山后村,shan'hou'cun
上背村,shang'bei'cun
上郊村,shang'jiao'cun
上上河村,shang'shang'he'cun
社葡萄村,she'pu'tao'cun
申家沟村,shen'jia'gou'cun
神山头村,shen'shan'tou'cun
神眼岭村,shen'yan'ling'cun
申庄村,shen'zhuang'cun
石圪峦村,shi'ge'luan'cun
石家坡村,shi'jia'po'cun
侍家掌村,shi'jia'zhang'cun
石井村,shi'jing'cun
仕林苑社区,shi'lin'yuan'she'qu
石门村,shi'men'cun
石头村,shi'tou'cun
仕图苑社区,shi'tu'yuan'she'qu
石掌村,shi'zhang'cun
石字岭村,shi'zi'ling'cun
双底村,shuang'di'cun
双庙村,shuang'miao'cun
双头泉村,shuang'tou'quan'cun
水草沟村,shui'cao'gou'cun
水洼村,shui'wa'cun
水章村,shui'zhang'cun
寺背村,si'bei'cun
寺湖村,si'hu'cun
司家河村,si'jia'he'cun
司家岭村,si'jia'ling'cun
寺郎岗村,si'lang'gang'cun
寺南岭村,si'nan'ling'cun
寺润村,si'run'cun
四义村,si'yi'cun
四义庄村,si'yi'zhuang'cun
松根铺村,song'gen'pu'cun
宋家坡村,song'jia'po'cun
松庙村,song'miao'cun
松山村,song'shan'cun
苏村,su'cun
苏家井村,su'jia'jing'cun
塔水河村,ta'shui'he'cun
塔题掌村,ta'ti'zhang'cun
台北村,tai'bei'cun
太和村,tai'he'cun
台南村,tai'nan'cun
汤庄村,tang'zhuang'cun
桃山头村,tao'shan'tou'cun
天池村,tian'chi'cun
田庄村,tian'zhuang'cun
洼窑村,wa'yao'cun
瓦窑上村,wa'yao'shang'cun
万章村,wan'zhang'cun
王教村,wang'jiao'cun
望洛村,wang'luo'cun
王早岭村,wang'zao'ling'cun
苇水村,wei'shui'cun
尉寨村,wei'zhai'cun
委庄村,wei'zhuang'cun
武家湾村,wu'jia'wan'cun
吴水村,wu'shui'cun
梧桐村,wu'tong'cun
西八渠村,xi'ba'qu'cun
西仓村,xi'cang'cun
西大佛掌村,xi'da'fo'zhang'cun
西沟村,xi'gou'cun
西河村,xi'he'cun
西河底村,xi'he'di'cun
西河底镇,xi'he'di'zhen
西脚村,xi'jiao'cun
西街村,xi'jie'cun
西井头村,xi'jing'tou'cun
西岭村,xi'ling'cun
西龙门村,xi'long'men'cun
西坡村,xi'po'cun
西伞村,xi'san'cun
西石门村,xi'shi'men'cun
西石盆村,xi'shi'pen'cun
西四庄村,xi'si'zhuang'cun
西头村,xi'tou'cun
西湾村,xi'wan'cun
西下河村,xi'xia'he'cun
锡崖沟村,xi'ya'gou'cun
西要辿村,xi'yao'chan'cun
西尧村,xi'yao'cun
西瑶泉村,xi'yao'quan'cun
西闸水村,xi'zha'shui'cun
西掌村,xi'zhang'cun
西庄上村,xi'zhuang'shang'cun
下壁村,xia'bi'cun
下川村,xia'chuan'cun
下东河村,xia'dong'he'cun
下河村,xia'he'cun
仙红双村,xian'hong'shuang'cun
现岭村,xian'ling'cun
仙泉村,xian'quan'cun
相公池村,xiang'gong'chi'cun
小番底村,xiao'fan'di'cun
小会村,xiao'hui'cun
小郊村,xiao'jiao'cun
小平村,xiao'ping'cun
小王村,xiao'wang'cun
小义井村,xiao'yi'jing'cun
小召村,xiao'zhao'cun
小庄上村,xiao'zhuang'shang'cun
新村,xin'cun
新庄村,xin'zhuang'cun
徐社村,xu'she'cun
巡家村,xun'jia'cun
沿沟村,yan'gou'cun
闫家沟村,yan'jia'gou'cun
杨村,yang'cun
杨村镇,yang'cun'zhen
杨家河村,yang'jia'he'cun
杨家岭村,yang'jia'ling'cun
杨幸河村,yang'xing'he'cun
杨寨村,yang'zhai'cun
杨庄村,yang'zhuang'cun
腰带村,yao'dai'cun
窑岭村,yao'ling'cun
窑上村,yao'shang'cun
尧庄村,yao'zhuang'cun
野川底村,ye'chuan'di'cun
冶南村,ye'nan'cun
冶头村,ye'tou'cun
冶子村,ye'zi'cun
义汉村,yi'han'cun
义门村,yi'men'cun
椅掌村,yi'zhang'cun
营里村,ying'li'cun
营盘村,ying'pan'cun
鱼池村,yu'chi'cun
余家沟村,yu'jia'gou'cun
玉泉村,yu'quan'cun
榆树沟村,yu'shu'gou'cun
原庄村,yuan'zhuang'cun
窄相村,zhai'xiang'cun
寨则村,zhai'ze'cun
张寸村,zhang'cun'cun
丈河村,zhang'he'cun
张家庄村,zhang'jia'zhuang'cun
掌里村,zhang'li'cun
张仰村,zhang'yang'cun
张庄村,zhang'zhuang'cun
赵活池村,zhao'huo'chi'cun
赵家背村,zhao'jia'bei'cun
赵章水村,zhao'zhang'shui'cun
赵振村,zhao'zhen'cun
浙水村,zhe'shui'cun
郑家岭村,zheng'jia'ling'cun
朱圈郊村,zhu'quan'jiao'cun
诸神观村,zhu'shen'guan'cun
庄河村,zhuang'he'cun
庄里村,zhuang'li'cun
庄头村,zhuang'tou'cun
