阿魏无真,a'wei'wu'zhen
春来无处不花香,chun'lai'wu'chu'bu'hua'xiang
从俭入奢易,cong'jian'ru'she'yi
从前恩爱反为仇,cong'qian'en'ai'fan'wei'chou
从奢入俭难,cong'she'ru'jian'nan
大抵选他肌骨好,da'di'xuan'ta'ji'gu'hao
大海终须纳细流,da'hai'zhong'xu'na'xi'liu
大家都是命,da'jia'dou'shi'ming
达人知命,da'ren'zhi'ming
大厦千间,da'sha'qian'jian
大限来时各自飞,da'xian'lai'shi'ge'zi'fei
但存方寸土,dan'cun'fang'cun'tu
但将冷眼看螃蟹,dan'jiang'leng'yan'kan'pang'xie
但看三五日,dan'kan'san'wu'ri
但能依本分,dan'neng'yi'ben'fen
但行好事,dan'xing'hao'shi
但有绿杨堪系马,dan'you'lv'yang'kan'xi'ma
但愿儿孙个个贤,dan'yuan'er'sun'ge'ge'xian
当时若不登高望,dang'shi'ruo'bu'deng'gao'wang
到老终无怨恨心,dao'lao'zhong'wu'yuan'hen'xin
刀利伤人指,dao'li'shang'ren'zhi
道路各别,dao'lu'ge'bie
道吾恶者是吾师,dao'wu'e'zhe'shi'wu'shi
道吾好者是吾贼,dao'wu'hao'zhe'shi'wu'zei
道院僧堂终不如,dao'yuan'seng'tang'zhong'bu'ru
道院迎仙客,dao'yuan'ying'xian'ke
盗贼出于贫穷,dao'zei'chu'yu'pin'qiong
得宠思辱,de'chong'si'ru
得高歌处且高歌,de'gao'ge'chu'qie'gao'ge
得耐且耐,de'nai'qie'nai
得忍且忍,de'ren'qie'ren
得缩头时且缩头,de'suo'tou'shi'qie'suo'tou
得意浓时便可休,de'yi'nong'shi'bian'ke'xiu
地利不如人和,di'li'bu'ru'ren'he
第一莫欺心,di'yi'mo'qi'xin
点石化为金,dian'shi'hua'wei'jin
点塔七层,dian'ta'qi'ceng
洞口桃花也笑人,dong'kou'tao'hua'ye'xiao'ren
妒财莫妒食,du'cai'mo'du'shi
读书须用意,du'shu'xu'yong'yi
多见多闻,duo'jian'duo'wen
多少少年亡,duo'shao'shao'nian'wang
恶必早亡,e'bi'zao'wang
恶妇令夫败,e'fu'ling'fu'bai
恶化有余,e'hua'you'yu
恶人须用恶人磨,e'ren'xu'yong'e'ren'mo
恶事传千里,e'shi'chuan'qian'li
恶事莫为,e'shi'mo'wei
恶有恶报,e'you'e'bao
恶语伤人恨不消,e'yu'shang'ren'hen'bu'xiao
恶语易施,e'yu'yi'shi
儿孙自有儿孙福,er'sun'zi'you'er'sun'fu
耳闻不如目见,er'wen'bu'ru'mu'jian
翻覆之水,fan'fu'zhi'shui
反顾无益,fan'gu'wu'yi
烦恼皆因强出头,fan'nao'jie'yin'qiang'chu'tou
凡人不可貌相,fan'ren'bu'ke'mao'xiang
凡事要好,fan'shi'yao'hao
反失一肘羊,fan'shi'yi'zhou'yang
反以我为仇,fan'yi'wo'wei'chou
防意如城,fang'yi'ru'cheng
非亲却是亲,fei'qin'que'shi'qin
风流不用着衣多,feng'liu'bu'yong'zhuo'yi'duo
风流浪子莫教贫,feng'liu'lang'zi'mo'jiao'pin
奉劝君子,feng'quan'jun'zi
逢人且说三分话,feng'ren'qie'shuo'san'fen'hua
富从升合起,fu'cong'sheng'he'qi
富贵定要安本分,fu'gui'ding'yao'an'ben'fen
富贵多忧,fu'gui'duo'you
富贵似花枝,fu'gui'si'hua'zhi
富贵在天,fu'gui'zai'tian
父母恩深终有别,fu'mu'en'shen'zhong'you'bie
夫妻相合好,fu'qi'xiang'he'hao
夫妻义重也分离,fu'qi'yi'zhong'ye'fen'li
富人思来年,fu'ren'si'lai'nian
浮生空白茫,fu'sheng'kong'bai'mang
覆水难收,fu'shui'nan'shou
富在深山有远亲,fu'zai'shen'shan'you'yuan'qin
父子和而家不退,fu'zi'he'er'jia'bu'tui
各宜守己,ge'yi'shou'ji
根深不怕风摇动,gen'shen'bu'pa'feng'yao'dong
更有早行人,geng'you'zao'xing'ren
公道世间唯白发,gong'dao'shi'jian'wei'bai'fa
公候肚里好撑船,gong'hou'du'li'hao'cheng'chuan
官从何处来,guan'cong'he'chu'lai
官法如炉,guan'fa'ru'lu
观今宜鉴古,guan'jin'yi'jian'gu
观看容颜便得知,guan'kan'rong'yan'bian'de'zhi
官清书吏瘦,guan'qing'shu'li'shou
官有正条,guan'you'zheng'tiao
光阴黄金难买,guang'yin'huang'jin'nan'mai
光阴似箭,guang'yin'si'jian
贵人头上不曾饶,gui'ren'tou'shang'bu'ceng'rao
国乱思良将,guo'luan'si'liang'jiang
国清才子贵,guo'qing'cai'zi'gui
海水不可斗量,hai'shui'bu'ke'dou'liang
蒿草之下,hao'cao'zhi'xia
好事不出门,hao'shi'bu'chu'men
好事不如无,hao'shi'bu'ru'wu
好言难得,hao'yan'nan'de
何不回头把自量,he'bu'hui'tou'ba'zi'liang
合理可作,he'li'ke'zuo
河狭水急,he'xia'shui'ji
黑发不知勤学早,hei'fa'bu'zhi'qin'xue'zao
红粉佳人休使老,hong'fen'jia'ren'xiu'shi'lao
虎落平阳被犬欺,hu'luo'ping'yang'bei'quan'qi
虎生豹儿,hu'sheng'bao'er
虎生犹可近,hu'sheng'you'ke'jin
壶中日月长,hu'zhong'ri'yue'chang
画虎画皮难画骨,hua'hu'hua'pi'nan'hua'gu
画水无风空作浪,hua'shui'wu'feng'kong'zuo'lang
花无百日红,hua'wu'bai'ri'hong
黄河尚有澄清日,huang'he'shang'you'deng'qing'ri
黄金散尽为收书,huang'jin'san'jin'wei'shou'shu
黄金未为贵,huang'jin'wei'wei'gui
黄金无假,huang'jin'wu'jia
诲汝谆谆,hui'ru'zhun'zhun
会使不在家豪富,hui'shi'bu'zai'jia'hao'fu
会说说都是,hui'shuo'shuo'dou'shi
昏昏醉到酉,hun'hun'zui'dao'you
或有侯王,huo'you'hou'wang
或有兰香,huo'you'lan'xiang
记得少年骑竹马,ji'de'shao'nian'qi'zhu'ma
及第必争先,ji'di'bi'zheng'xian
几多白屋出卿,ji'duo'bai'wu'chu'qing
积谷防饥,ji'gu'fang'ji
济济之士,ji'ji'zhi'shi
积金千两,ji'jin'qian'liang
鸡鸣早看天,ji'ming'zao'kan'tian
急难何曾见一人,ji'nan'he'ceng'jian'yi'ren
济人须济急时无,ji'ren'xu'ji'ji'shi'wu
急时抱佛脚,ji'shi'bao'fo'jiao
击石原有火,ji'shi'yuan'you'huo
鸡豚狗彘之畜,ji'tun'gou'zhi'zhi'chu
急行慢行,ji'xing'man'xing
集韵增文,ji'yun'zeng'wen
既坠釜甑,ji'zhui'fu'zeng
假缎染就真红色,jia'duan'ran'jiu'zhen'hong'se
家富小儿骄,jia'fu'xiao'er'jiao
家计渐渐退,jia'ji'jian'jian'tui
家贫思贤妻,jia'pin'si'xian'qi
家中无才子,jia'zhong'wu'cai'zi
见恶如探汤,jian'e'ru'tan'tang
见官莫向前,jian'guan'mo'xiang'qian
见善如不及,jian'shan'ru'bu'ji
见事莫说,jian'shi'mo'shuo
见者易,jian'zhe'yi
将相胸前堪走马,jiang'xiang'xiong'qian'kan'zou'ma
将心比心,jiang'xin'bi'xin
结交须胜己,jie'jiao'xu'sheng'ji
近来学得乌龟法,jin'lai'xue'de'wu'gui'fa
近山识鸟音,jin'shan'shi'niao'yin
近水楼台先得月,jin'shui'lou'tai'xian'de'yue
近水知鱼性,jin'shui'zhi'yu'xing
今朝有酒今朝醉,jin'zhao'you'jiu'jin'zhao'zui
酒不解真愁,jiu'bu'jie'zhen'chou
酒逢知己饮,jiu'feng'zhi'ji'yin
九牛拖不出,jiu'niu'tuo'bu'chu
救人一命,jiu'ren'yi'ming
酒债寻常行处有,jiu'zhai'xun'chang'xing'chu'you
酒中不语真君子,jiu'zhong'bu'yu'zhen'jun'zi
久住令人贱,jiu'zhu'ling'ren'jian
久住难为人,jiu'zhu'nan'wei'ren
惧法朝朝乐,ju'fa'zhao'zhao'le
举头三尺有神明,ju'tou'san'chi'you'shen'ming
君子爱财,jun'zi'ai'cai
君子安平,jun'zi'an'ping
君子固穷,jun'zi'gu'qiong
看看又是白头翁,kan'kan'you'shi'bai'tou'weng
看你横行到几时,kan'ni'heng'xing'dao'ji'shi
客来主不顾,ke'lai'zhu'bu'gu
渴时一滴如甘露,ke'shi'yi'di'ru'gan'lu
可以无饥矣,ke'yi'wu'ji'yi
恐逢年老不多时,kong'feng'nian'lao'bu'duo'shi
口说不如身逢,kou'shuo'bu'ru'shen'feng
枯木逢春犹再发,ku'mu'feng'chun'you'zai'fa
快心事过恐生殃,kuai'xin'shi'guo'kong'sheng'yang
来如风雨去似微尘,lai'ru'feng'yu'qu'si'wei'chen
来说是非者,lai'shuo'shi'fei'zhe
老大徒悲伤,lao'da'tu'bei'shang
利刀割体痕易合,li'dao'ge'ti'hen'yi'he
礼轻仁义重,li'qing'ren'yi'zhong
利如刀割,li'ru'dao'ge
力微休负重,li'wei'xiu'fu'zhong
礼义生于富足,li'yi'sheng'yu'fu'zu
两人一般心,liang'ren'yi'ban'xin
良田万倾,liang'tian'wan'qing
良药苦口利于病,liang'yao'ku'kou'li'yu'bing
临老始看经,lin'lao'shi'kan'jing
留得五湖明月在,liu'de'wu'hu'ming'yue'zai
流水下滩非有意,liu'shui'xia'tan'fei'you'yi
留与子孙耕,liu'yu'zi'sun'geng
龙归晚洞云犹湿,long'gui'wan'dong'yun'you'shi
龙生龙子,long'sheng'long'zi
龙游浅水遭虾戏,long'you'qian'shui'zao'xia'xi
路不行不到,lu'bu'xing'bu'dao
路逢侠客须呈剑,lu'feng'xia'ke'xu'cheng'jian
路逢险处难回避,lu'feng'xian'chu'nan'hui'bi
路遥知马力,lu'yao'zhi'ma'li
马行无力皆因瘦,ma'hang'wu'li'jie'yin'shou
马牛如襟裾,ma'niu'ru'jin'ju
马善被人骑,ma'shan'bei'ren'qi
马瘦毛长,ma'shou'mao'chang
马无野草不肥,ma'wu'ye'cao'bu'fei
卖了屋,mai'le'wu
茫茫四海人无数,mang'mang'si'hai'ren'wu'shu
茅茨之屋,mao'ci'zhi'wu
美不美乡中水亲不亲故乡人,mei'bu'mei'xiang'zhong'shui'qin'bu'qin'gu'xiang'ren
懵懵作公卿,meng'meng'zuo'gong'qing
免得百日之忧,mian'de'bai'ri'zhi'you
苗从地发,miao'cong'di'fa
灭却心头火,mie'que'xin'tou'huo
民有和约,min'you'he'yue
命里无时莫强求,ming'li'wu'shi'mo'qiang'qiu
命里有时终须有,ming'li'you'shi'zhong'xu'you
明日愁来明日忧,ming'ri'chou'lai'ming'ri'you
明知山有虎,ming'zhi'shan'you'hu
莫把无时当有时,mo'ba'wu'shi'dang'you'shi
莫把真心空计较,mo'ba'zhen'xin'kong'ji'jiao
莫待是非来入耳,mo'dai'shi'fei'lai'ru'er
磨刀恨不利,mo'dao'hen'bu'li
莫道君行早,mo'dao'jun'xing'zao
莫将容易得,mo'jiang'rong'yi'de
莫恋浅滩头,mo'lian'qian'tan'tou
莫骂酉时妻,mo'ma'you'shi'qi
莫添一口,mo'tian'yi'kou
莫为儿孙作马牛,mo'wei'er'sun'zuo'ma'niu
莫问前程,mo'wen'qian'cheng
莫向虎山行,mo'xiang'hu'shan'xing
莫笑他人老,mo'xiao'ta'ren'lao
莫信直中直,mo'xin'zhi'zhong'zhi
莫饮卯时酒,mo'yin'mao'shi'jiu
莫怨太阳偏,mo'yuan'tai'yang'pian
牡丹花好空入目,mu'dan'hua'hao'kong'ru'mu
哪个男儿是丈夫,na'ge'nan'er'shi'zhang'fu
哪个人前不说人,na'ge'ren'qian'bu'shuo'ren
纳之以礼,na'zhi'yi'li
闹里有钱静处安身,nao'li'you'qian'jing'chu'an'shen
你急他未急,ni'ji'ta'wei'ji
逆天者亡,ni'tian'zhe'wang
年年防饥,nian'nian'fang'ji
念念有如临敌日,nian'nian'you'ru'lin'di'ri
鸟为食亡,niao'wei'shi'wang
宁可人负我,ning'ke'ren'fu'wo
宁可信其有,ning'ke'xin'qi'you
宁可正而不足,ning'ke'zheng'er'bu'zu
宁添一斗,ning'tian'yi'dou
宁向直中取,ning'xiang'zhi'zhong'qu
贫居闹市无人问,pin'ju'nao'shi'wu'ren'wen
频来亲也疏,pin'lai'qin'ye'shu
贫穷不必枉思量,pin'qiong'bu'bi'wang'si'liang
贫穷自在,pin'qiong'zi'zai
贫无达士将金赠,pin'wu'da'shi'jiang'jin'zeng
贫因不算来,pin'yin'bu'suan'lai
平生莫作皱眉事,ping'sheng'mo'zuo'zhou'mei'shi
平生只会量人短,ping'sheng'zhi'hui'liang'ren'duan
其不善者而改之,qi'bu'shan'zhe'er'gai'zhi
欺公日日忧,qi'gong'ri'ri'you
岂可教人枉度春,qi'ke'jiao'ren'wang'du'chun
岂可人无得运时,qi'ke'ren'wu'de'yun'shi
欺老莫欺小,qi'lao'mo'qi'xiao
欺人是祸,qi'ren'shi'huo
欺人心不明,qi'ren'xin'bu'ming
妻贤夫祸少,qi'xian'fu'huo'shao
岂知黄雀在后,qi'zhi'huang'que'zai'hou
钱财如粪土,qian'cai'ru'fen'tu
前程暗似漆,qian'cheng'an'si'qi
前程只有多少路,qian'cheng'zhi'you'duo'shao'lu
千金不移,qian'jin'bu'yi
千经万典,qian'jing'wan'dian
千里送毫毛,qian'li'song'hao'mao
千人传实,qian'ren'chuan'shi
千世修来共枕眠,qian'shi'xiu'lai'gong'zhen'mian
墙有逢,qiang'you'feng
强中更有强中手,qiang'zhong'geng'you'qiang'zhong'shou
切莫我负人,qie'mo'wo'fu'ren
琴瑟与笙簧,qin'se'yu'sheng'huang
情理难容,qing'li'nan'rong
清清之水,qing'qing'zhi'shui
晴天不肯去,qing'tian'bu'ken'qu
穷人思眼前,qiong'ren'si'yan'qian
求财恨不得,qiu'cai'hen'bu'de
求人不如求己,qiu'ren'bu'ru'qiu'ji
求人须求大丈夫,qiu'ren'xu'qiu'da'zhang'fu
秋至满山多秀色,qiu'zhi'man'shan'duo'xiu'se
去时终须去,qu'shi'zhong'xu'qu
取之有道,qu'zhi'you'dao
劝人架屋,quan'ren'jia'wu
劝人莫作,quan'ren'mo'zuo
劝人养鹅,quan'ren'yang'e
饶人不是痴汉,rao'ren'bu'shi'chi'han
饶人是福,rao'ren'shi'fu
饶人算人之本,rao'ren'suan'ren'zhi'ben
饶一着,rao'yi'zhao
人不风流只为贫,ren'bu'feng'liu'zhi'wei'pin
人不劝不善,ren'bu'quan'bu'shan
人不通今古,ren'bu'tong'jin'gu
人到中年万事休,ren'dao'zhong'nian'wan'shi'xiu
忍得一时之气,ren'de'yi'shi'zhi'qi
人恶人怕天不怕,ren'e'ren'pa'tian'bu'pa
人而无信,ren'er'wu'xin
人各有心,ren'ge'you'xin
人急计生,ren'ji'ji'sheng
人见白头嗔,ren'jian'bai'tou'chen
人间私语,ren'jian'si'yu
人老偷闲且是闲,ren'lao'tou'xian'qie'shi'xian
人老心未老,ren'lao'xin'wei'lao
人贫不语,ren'pin'bu'yu
人贫志短,ren'pin'zhi'duan
人情莫道春光好,ren'qing'mo'dao'chun'guang'hao
人情似水分高下,ren'qing'si'shui'fen'gao'xia
人情似纸张张薄,ren'qing'si'zhi'zhang'zhang'bao
人穷志莫穷,ren'qiong'zhi'mo'qiong
人善被人欺,ren'shan'bei'ren'qi
人善人欺天不欺,ren'shan'ren'qi'tian'bu'qi
人生不满百,ren'sheng'bu'man'bai
人生七十古来稀,ren'sheng'qi'shi'gu'lai'xi
人生似鸟同林宿,ren'sheng'si'niao'tong'lin'su
人生一世,ren'sheng'yi'shi
人生知足何时足,ren'sheng'zhi'zu'he'shi'zu
人熟不堪亲,ren'shu'bu'kan'qin
人为财死,ren'wei'cai'si
人无横财不富,ren'wu'heng'cai'bu'fu
人无两度再少年,ren'wu'liang'du'zai'shao'nian
人无千日好,ren'wu'qian'ri'hao
人无远虑,ren'wu'yuan'lv
人闲心不闲,ren'xian'xin'bu'xian
人心似铁,ren'xin'si'tie
人心犹未足,ren'xin'you'wei'zu
忍一句,ren'yi'ju
仁义值千金,ren'yi'zhi'qian'jin
人有善愿,ren'you'shan'yuan
人至察则无徒,ren'zhi'cha'ze'wu'tu
日食一升,ri'shi'yi'sheng
日月如梭,ri'yue'ru'suo
日子不到,ri'zi'bu'dao
入门休问荣枯事,ru'men'xiu'wen'rong'ku'shi
入山不怕伤人虎,ru'shan'bu'pa'shang'ren'hu
儒为席上珍,ru'wei'xi'shang'zhen
若登高必自卑,ruo'deng'gao'bi'zi'bei
若涉远必自迩,ruo'she'yuan'bi'zi'er
若要断酒法,ruo'yao'duan'jiu'fa
若争小可,ruo'zheng'xiao'ke
三杯通大道,san'bei'tong'da'dao
三人同行,san'ren'tong'hang
三十不豪,san'shi'bu'hao
三思而行,san'si'er'xing
杀人可恕,sha'ren'ke'shu
杀人一万,sha'ren'yi'wan
善必寿老,shan'bi'shou'lao
善恶到头终有报,shan'e'dao'tou'zhong'you'bao
善化不足,shan'hua'bu'zu
善事可作,shan'shi'ke'zuo
善有善报,shan'you'shan'bao
山中也有千年树,shan'zhong'ye'you'qian'nian'shu
山中有直树,shan'zhong'you'zhi'shu
伤人一语,shang'ren'yi'yu
少壮不努力,shao'zhuang'bu'nu'li
麝过春山草木香,she'guo'chun'shan'cao'mu'xiang
赊去物件莫取钱,she'qu'wu'jian'mo'qu'qian
神灵庙祝肥,shen'ling'miao'zhu'fei
神目如电,shen'mu'ru'dian
神钦鬼伏,shen'qin'gui'fu
深山毕竟藏猛虎,shen'shan'bi'jing'cang'meng'hu
生不论魂,sheng'bu'lun'hun
胜读十年书,sheng'du'shi'nian'shu
圣贤言语,sheng'xian'yan'yu
胜造七级浮屠,sheng'zao'qi'ji'fu'tu
省者全无,sheng'zhe'quan'wu
事不为不成,shi'bu'wei'bu'cheng
事到头来不自由,shi'dao'tou'lai'bu'zi'you
是非只为多开口,shi'fei'zhi'wei'duo'kai'kou
是非终日有,shi'fei'zhong'ri'you
事过心清凉,shi'guo'xin'qing'liang
世间好语书说尽,shi'jian'hao'yu'shu'shuo'jin
世间无水不朝东,shi'jian'wu'shui'bu'chao'dong
事久见人心,shi'jiu'jian'ren'xin
使口不如自走,shi'kou'bu'ru'zi'zou
时来风送腾王阁,shi'lai'feng'song'teng'wang'ge
时来铁似金,shi'lai'tie'si'jin
十年窗下无人问,shi'nian'chuang'xia'wu'ren'wen
十年身到风凰池,shi'nian'shen'dao'feng'huang'chi
是亲不是亲,shi'qin'bu'shi'qin
失却半年粮,shi'que'ban'nian'liang
识人多处是非多,shi'ren'duo'chu'shi'fei'duo
世上难逢百岁人,shi'shang'nan'feng'bai'sui'ren
世上若要人情好,shi'shang'ruo'yao'ren'qing'hao
世上万般皆下品,shi'shang'wan'ban'jie'xia'pin
世上无直人,shi'shang'wu'zhi'ren
世上新人赶旧人,shi'shang'xin'ren'gan'jiu'ren
世上应无切齿人,shi'shang'ying'wu'qie'chi'ren
世事明如镜,shi'shi'ming'ru'jing
世事如棋局局新,shi'shi'ru'qi'ju'ju'xin
世事如云任卷舒,shi'shi'ru'yun'ren'juan'shu
诗向会人吟,shi'xiang'hui'ren'yin
士者国之宝,shi'zhe'guo'zhi'bao
失之千里,shi'zhi'qian'li
受恩深处宜先退,shou'en'shen'chu'yi'xian'tui
守口如瓶,shou'kou'ru'ping
收之实难,shou'zhi'shi'nan
疏而不漏,shu'er'bu'lou
恕己之心恕人,shu'ji'zhi'xin'shu'ren
数家之口,shu'jia'zhi'kou
输人算人之机,shu'ren'suan'ren'zhi'ji
书堂隐相儒,shu'tang'yin'xiang'ru
树向枝分,shu'xiang'zhi'fen
树正无愁月影斜,shu'zheng'wu'chou'yue'ying'xie
爽口食多偏作药,shuang'kou'shi'duo'pian'zuo'yao
水平不流,shui'ping'bu'liu
谁人背后无人说,shui'ren'bei'hou'wu'ren'shuo
谁人不爱千钟粟,shui'ren'bu'ai'qian'zhong'su
谁人不爱子孙贤,shui'ren'bu'ai'zi'sun'xian
水太清则无鱼,shui'tai'qing'ze'wu'yu
谁信东流海洋深,shui'xin'dong'liu'hai'yang'shen
顺天者存,shun'tian'zhe'cun
死不认尸,si'bu'ren'shi
思量唯有读书高,si'liang'wei'you'du'shu'gao
驷马难追,si'ma'nan'zhui
死生有命,si'sheng'you'ming
四十不富,si'shi'bu'fu
似我不如无,si'wo'bu'ru'wu
送君千里,song'jun'qian'li
随分耕锄收地利,sui'fen'geng'chu'shou'di'li
笋因落箨方成竹,sun'yin'luo'tuo'fang'cheng'zhu
他人观花,ta'ren'guan'hua
他人碌碌,ta'ren'lu'lu
他人未知忙,ta'ren'wei'zhi'mang
他时饱满谢苍天,ta'shi'bao'man'xie'cang'tian
贪他一斗米,tan'ta'yi'dou'mi
螳螂捕蝉,tang'lang'bu'chan
剔起佛前灯,ti'qi'fo'qian'deng
天必佑之,tian'bi'you'zhi
田地勤耕足养家,tian'di'qin'geng'zu'yang'jia
天上众星皆拱北,tian'shang'zhong'xing'jie'gong'bei
天时不如地利,tian'shi'bu'ru'di'li
天闻若雷,tian'wen'ruo'lei
天下名山僧占多,tian'xia'ming'shan'seng'zhan'duo
天眼恢恢,tian'yan'hui'hui
庭前生瑞草,ting'qian'sheng'rui'cao
庭栽栖凤竹,ting'zai'qi'feng'zhu
同君一席话,tong'jun'yi'xi'hua
退步思量事事难,tui'bu'si'liang'shi'shi'nan
退一步,tui'yi'bu
万事不由人计较,wan'shi'bu'you'ren'ji'jiao
万事皆已定,wan'shi'jie'yi'ding
万事劝人休瞒昧,wan'shi'quan'ren'xiu'man'mei
万无一失,wan'wu'yi'shi
为恶难逃,wei'e'nan'tao
为官须作相,wei'guan'xu'zuo'xiang
为酒所伤,wei'jiu'suo'shang
未可全抛一片心,wei'ke'quan'pao'yi'pian'xin
为善最乐,wei'shan'zui'le
为土所防,wei'tu'suo'fang
未晚先投宿,wei'wan'xian'tou'su
为学始知道,wei'xue'shi'zhi'dao
问事不知,wen'shi'bu'zhi
我见白头喜,wo'jian'bai'tou'xi
无福伤己,wu'fu'shang'ji
无古不成今,wu'gu'bu'cheng'jin
屋漏更遭连年雨,wu'lou'geng'zao'lian'nian'yu
无钱方断酒,wu'qian'fang'duan'jiu
无钱堪买金,wu'qian'kan'mai'jin
无钱休入众,wu'qian'xiu'ru'zhong
无钱语不真,wu'qian'yu'bu'zhen
无求到处人情好,wu'qiu'dao'chu'ren'qing'hao
五十将来寻死路,wu'shi'jiang'lai'xun'si'lu
无失其时,wu'shi'qi'shi
无事早归,wu'shi'zao'gui
无限朱门生饿殍,wu'xian'zhu'men'sheng'e'piao
无心插柳柳成阴,wu'xin'cha'liu'liu'cheng'yin
五行不是这题目,wu'xing'bu'shi'zhe'ti'mu
无衣懒出门,wu'yi'lan'chu'men
无月不登楼,wu'yue'bu'deng'lou
无子富不长,wu'zi'fu'bu'chang
惜花须检点,xi'hua'xu'jian'dian
息却雷霆之怒,xi'que'lei'ting'zhi'nu
昔时贤文,xi'shi'xian'wen
息一怒,xi'yi'nu
贤妇令夫贵,xian'fu'ling'fu'gui
贤女敬夫,xian'nv'jing'fu
闲时不烧香,xian'shi'bu'shao'xiang
闲事休管,xian'shi'xiu'guan
相逢不饮空归去,xiang'feng'bu'yin'kong'gui'qu
相逢好似初相识,xiang'feng'hao'si'chu'xiang'shi
相见不如初,xiang'jian'bu'ru'chu
相见易得好,xiang'jian'yi'de'hao
相论逞英雄,xiang'lun'cheng'ying'xiong
相识满天下,xiang'shi'man'tian'xia
向阳花木早逢春,xiang'yang'hua'mu'zao'feng'chun
小利莫争,xiao'li'mo'zheng
小人穷斯滥也,xiao'ren'qiong'si'lan'ye
小事成大,xiao'shi'cheng'da
小时是兄弟,xiao'shi'shi'xiong'di
孝义为先,xiao'yi'wei'xian
心各有见,xin'ge'you'jian
信了肚,xin'le'du
心心常似过桥时,xin'xin'chang'si'guo'qiao'shi
行船又遇打头风,xing'chuan'you'yu'da'tou'feng
幸生太平无事日,xing'sheng'tai'ping'wu'shi'ri
惺惺常不足,xing'xing'chang'bu'zu
醒眼看醉人,xing'yan'kan'zui'ren
兄弟和而家不分,xiong'di'he'er'jia'bu'fen
兄弟相害,xiong'di'xiang'hai
休别有鱼处,xiu'bie'you'yu'chu
绣花虽好不闻香,xiu'hua'sui'hao'bu'wen'xiang
须防仁不仁,xu'fang'ren'bu'ren
许人一物,xu'ren'yi'wu
须问三老,xu'wen'san'lao
须下死工夫,xu'xia'si'gong'fu
学者难,xue'zhe'nan
