暗插销,an'cha'xiao
地下停车场,di'xia'ting'che'chang
地下通道,di'xia'tong'dao
地下通风道,di'xia'tong'feng'dao
地形图,di'xing'tu
低压保护,di'ya'bao'hu
低压电缆,di'ya'dian'lan
低压开关,di'ya'kai'guan
低压开关柜,di'ya'kai'guan'gui
低压配电盘,di'ya'pei'dian'pan
低压照明控制,di'ya'zhao'ming'kong'zhi
低音喇叭,di'yin'la'ba
电报,dian'bao
电报局,dian'bao'ju
电表,dian'biao
电池,dian'chi
电池组,dian'chi'zu
电传打字电报机,dian'chuan'da'zi'dian'bao'ji
电传打字机,dian'chuan'da'zi'ji
电磁定门器,dian'ci'ding'men'qi
电磁铁,dian'ci'tie
电灯,dian'deng
电动泵,dian'dong'beng
电动传送机,dian'dong'chuan'song'ji
电动发电机组,dian'dong'fa'dian'ji'zu
电动葫芦,dian'dong'hu'lu
电动记分牌,dian'dong'ji'fen'pai
电动卷扬机,dian'dong'juan'yang'ji
电动开门器,dian'dong'kai'men'qi
电动缆车,dian'dong'lan'che
电镀,dian'du
电感器,dian'gan'qi
电工,dian'gong
电工车间,dian'gong'che'jian
点光源,dian'guang'yuan
电焊工,dian'han'gong
电焊机,dian'han'ji
电话,dian'hua
电话出线口,dian'hua'chu'xian'kou
电话电缆,dian'hua'dian'lan
电话分机,dian'hua'fen'ji
电话分线盒,dian'hua'fen'xian'he
电话机,dian'hua'ji
电话间,dian'hua'jian
电话交换机,dian'hua'jiao'huan'ji
电话交换台,dian'hua'jiao'huan'tai
电话局,dian'hua'ju
电话系统,dian'hua'xi'tong
电话线,dian'hua'xian
电话总机室,dian'hua'zong'ji'shi
电话组线箱,dian'hua'zu'xian'xiang
电缆,dian'lan
电缆吊架,dian'lan'diao'jia
电缆敷设,dian'lan'fu'she
电缆沟,dian'lan'gou
电缆管道,dian'lan'guan'dao
电缆架,dian'lan'jia
电缆室,dian'lan'shi
电缆竖井,dian'lan'shu'jing
电缆隧道,dian'lan'sui'dao
电缆箱,dian'lan'xiang
电力,dian'li
电力变压器,dian'li'bian'ya'qi
电力电缆,dian'li'dian'lan
电力工程,dian'li'gong'cheng
电力供应,dian'li'gong'ying
电力配电盘,dian'li'pei'dian'pan
电力系统,dian'li'xi'tong
电铃,dian'ling
电铃按钮,dian'ling'an'niu
电铃变压器,dian'ling'bian'ya'qi
电流计,dian'liu'ji
电炉,dian'lu
电路设计,dian'lu'she'ji
电路图,dian'lu'tu
电路转换开关,dian'lu'zhuan'huan'kai'guan
电脑,dian'nao
电脑化,dian'nao'hua
电能表,dian'neng'biao
电气安装,dian'qi'an'zhuang
电气除尘器,dian'qi'chu'chen'qi
电气出线口,dian'qi'chu'xian'kou
电气工程,dian'qi'gong'cheng
电气工程师,dian'qi'gong'cheng'shi
电气化,dian'qi'hua
电气设备,dian'qi'she'bei
电气设计,dian'qi'she'ji
电气设计安装,dian'qi'she'ji'an'zhuang
电气图纸,dian'qi'tu'zhi
电气系统,dian'qi'xi'tong
电气照明,dian'qi'zhao'ming
电热水器,dian're'shui'qi
电热装置,dian're'zhuang'zhi
电容器,dian'rong'qi
电熔丝,dian'rong'si
电扇,dian'shan
电扇出线口,dian'shan'chu'xian'kou
电声系统,dian'sheng'xi'tong
电视,dian'shi
电视出线口,dian'shi'chu'xian'kou
电视电话,dian'shi'dian'hua
电视电话系统,dian'shi'dian'hua'xi'tong
电视广播室,dian'shi'guang'bo'shi
电视演播室,dian'shi'yan'bo'shi
电梯,dian'ti
电梯安全装置,dian'ti'an'quan'zhuang'zhi
电梯机房,dian'ti'ji'fang
电梯井,dian'ti'jing
电梯井坑,dian'ti'jing'keng
电梯平台,dian'ti'ping'tai
电梯组,dian'ti'zu
电线,dian'xian
电线槽,dian'xian'cao
电线杆,dian'xian'gan
电信,dian'xin
电信局,dian'xin'ju
电信设备,dian'xin'she'bei
典型,dian'xing
电压,dian'ya
电压表,dian'ya'biao
电影放映机,dian'ying'fang'ying'ji
电影院,dian'ying'yuan
电源,dian'yuan
电源变压器,dian'yuan'bian'ya'qi
电源插座,dian'yuan'cha'zuo
电钟,dian'zhong
电钟插座,dian'zhong'cha'zuo
电钟系统,dian'zhong'xi'tong
电子计算机,dian'zi'ji'suan'ji
电子计算机化,dian'zi'ji'suan'ji'hua
吊车,diao'che
调车场,diao'che'chang
吊车梁,diao'che'liang
吊灯,diao'deng
吊顶,diao'ding
调度室,diao'du'shi
吊杆,diao'gan
吊钩,diao'gou
吊管架,diao'guan'jia
调光器,diao'guang'qi
吊轨,diao'gui
吊架,diao'jia
吊幕,diao'mu
吊扇,diao'shan
吊索,diao'suo
吊装,diao'zhuang
吊装夹具,diao'zhuang'jia'ju
吊装荧光灯带,diao'zhuang'ying'guang'deng'dai
顶板,ding'ban
顶部采光,ding'bu'cai'guang
顶部照明,ding'bu'zhao'ming
顶灯,ding'deng
顶点,ding'dian
定额,ding'e
顶棚采光,ding'peng'cai'guang
顶棚检查孔,ding'peng'jian'cha'kong
定时开关,ding'shi'kai'guan
定时器,ding'shi'qi
定向天线,ding'xiang'tian'xian
定向照明,ding'xiang'zhao'ming
定型产品,ding'xing'chan'pin
定型设计,ding'xing'she'ji
定型图,ding'xing'tu
定型详图,ding'xing'xiang'tu
丁字街,ding'zi'jie
冬季施工,dong'ji'shi'gong
洞口尺寸,dong'kou'chi'cun
动力电缆,dong'li'dian'lan
东立面,dong'li'mian
动力配电盘,dong'li'pei'dian'pan
动力设备,dong'li'she'bei
动力系统,dong'li'xi'tong
动力钻,dong'li'zuan
镀铬,du'ge
镀镉,du'ge
镀金,du'jin
镀克罗米,du'ke'luo'mi
镀铝,du'lv
镀膜,du'mo
镀镍,du'nie
毒气柜,du'qi'gui
毒气警报,du'qi'jing'bao
镀铅铁板,du'qian'tie'ban
镀铜,du'tong
镀锡,du'xi
镀锡线,du'xi'xian
镀锌钢,du'xin'gang
镀锌钢板,du'xin'gang'ban
镀锌钢管,du'xin'gang'guan
镀锌钢筋网,du'xin'gang'jin'wang
镀锌钢丝,du'xin'gang'si
镀锌管,du'xin'guan
锻工车间,duan'gong'che'jian
断路,duan'lu
短路,duan'lu
短路保护,duan'lu'bao'hu
断路器,duan'lu'qi
断面,duan'mian
端子,duan'zi
端子板,duan'zi'ban
端子箱,duan'zi'xiang
对讲电话,dui'jiang'dian'hua
对讲电话系统,dui'jiang'dian'hua'xi'tong
多层厂房,duo'ceng'chang'fang
多层地下室,duo'ceng'di'xia'shi
多层公寓,duo'ceng'gong'yu
多层建筑,duo'ceng'jian'zhu
多层停车场,duo'ceng'ting'che'chang
剁斧石做法,duo'fu'shi'zuo'fa
多功能建筑,duo'gong'neng'jian'zhu
额定功率,e'ding'gong'lv
额定容量,e'ding'rong'liang
耳鼻喉科,er'bi'hou'ke
二层平面,er'ceng'ping'mian
二次回路,er'ci'hui'lu
耳光,er'guang
耳机,er'ji
儿科病房,er'ke'bing'fang
二四墙,er'si'qiang
儿童活动中心,er'tong'huo'dong'zhong'xin
儿童医院,er'tong'yi'yuan
儿童游戏场,er'tong'you'xi'chang
儿童游戏室,er'tong'you'xi'shi
儿童阅览室,er'tong'yue'lan'shi
二氧化碳,er'yang'hua'tan
二氧化碳灭火器,er'yang'hua'tan'mie'huo'qi
发电厂,fa'dian'chang
发电机,fa'dian'ji
发电机房,fa'dian'ji'fang
发电机容量,fa'dian'ji'rong'liang
发电机组,fa'dian'ji'zu
发光顶棚,fa'guang'ding'peng
发光开关,fa'guang'kai'guan
发光信号系统,fa'guang'xin'hao'xi'tong
法兰接头,fa'lan'jie'tou
法兰连接,fa'lan'lian'jie
法兰盘,fa'lan'pan
法院,fa'yuan
翻窗,fan'chuang
翻斗车,fan'dou'che
反光灯,fan'guang'deng
泛光灯,fan'guang'deng
泛光照明,fan'guang'zhao'ming
反水弯,fan'shui'wan
方案,fang'an
方案比较,fang'an'bi'jiao
方案设计,fang'an'she'ji
方案设计阶段,fang'an'she'ji'jie'duan
方案图,fang'an'tu
防爆,fang'bao
防爆灯,fang'bao'deng
防爆系统,fang'bao'xi'tong
防潮层,fang'chao'ceng
防潮地下室,fang'chao'di'xia'shi
防潮基础,fang'chao'ji'chu
放大图,fang'da'tu
防盗警报系统,fang'dao'jing'bao'xi'tong
防盗警铃,fang'dao'jing'ling
防盗设备,fang'dao'she'bei
放电灯,fang'dian'deng
防护设备,fang'hu'she'bei
防护式开关,fang'hu'shi'kai'guan
防护式照明,fang'hu'shi'zhao'ming
防护套,fang'hu'tao
防火,fang'huo
放火标准,fang'huo'biao'zhun
防火材料,fang'huo'cai'liao
防火等级,fang'huo'deng'ji
防火分区,fang'huo'fen'qu
防火隔断,fang'huo'ge'duan
防火规范,fang'huo'gui'fan
防火建筑,fang'huo'jian'zhu
防火卷帘门,fang'huo'juan'lian'men
防火设计,fang'huo'she'ji
防火系统,fang'huo'xi'tong
防静电,fang'jing'dian
防静电地面,fang'jing'dian'di'mian
防静电橡胶,fang'jing'dian'xiang'jiao
防空洞,fang'kong'dong
防空工程,fang'kong'gong'cheng
防雷,fang'lei
房内服务,fang'nei'fu'wu
防水材料,fang'shui'cai'liao
防水层,fang'shui'ceng
防水插座,fang'shui'cha'zuo
防水地下室,fang'shui'di'xia'shi
防水电气设备,fang'shui'dian'qi'she'bei
防水涂层,fang'shui'tu'ceng
防水做法,fang'shui'zuo'fa
防松螺栓,fang'song'luo'shuan
房屋,fang'wu
房屋高度,fang'wu'gao'du
防锈处理,fang'xiu'chu'li
防锈漆,fang'xiu'qi
防烟楼梯,fang'yan'lou'ti
防烟门,fang'yan'men
防疫站,fang'yi'zhan
放映机,fang'ying'ji
放映设备,fang'ying'she'bei
放映室,fang'ying'shi
防雨,fang'yu
防雨开关,fang'yu'kai'guan
仿云石,fang'yun'shi
非标注构件,fei'biao'zhu'gou'jian
飞机场,fei'ji'chang
飞机库,fei'ji'ku
分层夯实,fen'ceng'hang'shi
分娩室,fen'mian'shi
酚醛树脂,fen'quan'shu'zhi
粉刷,fen'shua
分线盒,fen'xian'he
分支,fen'zhi
分支电路,fen'zhi'dian'lu
封闭,feng'bi
封闭处理,feng'bi'chu'li
封闭楼梯,feng'bi'lou'ti
风荷载,feng'he'zai
风机,feng'ji
风力发电机,feng'li'fa'dian'ji
缝纫车间,feng'ren'che'jian
妇产科,fu'chan'ke
妇产医院,fu'chan'yi'yuan
符号,fu'hao
负荷,fu'he
复合材料,fu'he'cai'liao
附件,fu'jian
附录,fu'lu
敷设,fu'she
辐射管道,fu'she'guan'dao
副食店,fu'shi'dian
副食加工厂,fu'shi'jia'gong'chang
副食加工间,fu'shi'jia'gong'jian
扶手,fu'shou
附属工程,fu'shu'gong'cheng
附属建筑,fu'shu'jian'zhu
附属设备,fu'shu'she'bei
附属医院,fu'shu'yi'yuan
附图,fu'tu
附文,fu'wen
服务半径,fu'wu'ban'jing
服务电梯,fu'wu'dian'ti
服务范围,fu'wu'fan'wei
服务柜台,fu'wu'gui'tai
服务楼梯,fu'wu'lou'ti
服务台,fu'wu'tai
服务中心,fu'wu'zhong'xin
服务走廊,fu'wu'zou'lang
敷线,fu'xian
复印,fu'yin
复印机,fu'yin'ji
复印室,fu'yin'shi
辅助光,fu'zhu'guang
辅助光源,fu'zhu'guang'yuan
辅助开关,fu'zhu'kai'guan
辅助设备,fu'zhu'she'bei
辅助设计,fu'zhu'she'ji
辅助照明,fu'zhu'zhao'ming
服装厂,fu'zhuang'chang
服装商店,fu'zhuang'shang'dian
改建工程,gai'jian'gong'cheng
