巴里,ba'li
舒苑,shu'yuan
双东,shuang'dong
双湖,shuang'hu
双乐,shuang'le
双马,shuang'ma
双庆浦,shuang'qing'pu
双潭,shuang'tan
水南,shui'nan
水湘,shui'xiang
水云浦,shui'yun'pu
四界,si'jie
寺山路,si'shan'lu
四塘南,si'tang'nan
四灶,si'zao
四灶浦,si'zao'pu
宋家漕,song'jia'cao
淞浦,song'pu
孙方,sun'fang
孙家境,sun'jia'jing
孙塘,sun'tang
太平闸,tai'ping'zha
太屺,tai'qi
潭北,tan'bei
潭东,tan'dong
潭河,tan'he
潭河沿,tan'he'yan
潭南,tan'nan
塘下,tang'xia
天灯舍,tian'deng'she
天妃宫,tian'fei'gong
天潭,tian'tan
天香桥,tian'xiang'qiao
田央,tian'yang
天元,tian'yuan
童岙,tong'ao
团圈,tuan'quan
万安庄,wan'an'zhuang
湾底,wan'di
万寿寺,wan'shou'si
王家埭,wang'jia'dai
王家路,wang'jia'lu
王叶,wang'ye
卫北,wei'bei
卫东,wei'dong
卫南,wei'nan
卫西,wei'xi
五洞闸,wu'dong'zha
五丰,wu'feng
五里,wu'li
武陵桥,wu'ling'qiao
伍梅,wu'mei
乌山,wu'shan
五塘南,wu'tang'nan
五塘新,wu'tang'xin
五姓,wu'xing
五姓点,wu'xing'dian
乌玉桥,wu'yu'qiao
西华头,xi'hua'tou
西街,xi'jie
西门外,xi'men'wai
西洋寺,xi'yang'si
下吴家路,xia'wu'jia'lu
下洋浦,xia'yang'pu
贤江,xian'jiang
相公殿,xiang'gong'dian
相士地,xiang'shi'di
小安,xiao'an
逍林街,xiao'lin'jie
逍林镇,xiao'lin'zhen
逍路沿,xiao'lu'yan
小桥头,xiao'qiao'tou
小施山,xiao'shi'shan
小团浦,xiao'tuan'pu
新潮,xin'chao
新潮塘,xin'chao'tang
新东,xin'dong
新横江,xin'heng'jiang
新华,xin'hua
新江路,xin'jiang'lu
新界,xin'jie
新街,xin'jie
新联,xin'lian
新缪路,xin'miu'lu
新浦街,xin'pu'jie
新浦镇,xin'pu'zhen
新塘,xin'tang
新西,xin'xi
新园,xin'yuan
新泽,xin'ze
新闸,xin'zha
兴柴,xing'chai
徐福,xu'fu
烟墩,yan'dun
淹浦,yan'pu
杨高,yang'gao
洋龙,yang'long
阳明,yang'ming
漾山,yang'shan
洋山岗,yang'shan'gang
腰塘,yao'tang
叶家,ye'jia
宜青桥,yi'qing'qiao
怡园,yi'yuan
一灶,yi'zao
虞波,yu'bo
余家路,yu'jia'lu
虞家路,yu'jia'lu
园丁,yuan'ding
元甲,yuan'jia
云城,yun'cheng
云海,yun'hai
泽山,ze'shan
掌起,zhang'qi
掌起镇,zhang'qi'zhen
樟树,zhang'shu
昭十三房,zhao'shi'san'fang
镇东新,zhen'dong'xin
镇前,zhen'qian
振兴,zhen'xing
直塘,zhi'tang
周家段,zhou'jia'duan
周邵,zhou'shao
周塘东,zhou'tang'dong
周塘西,zhou'tang'xi
周西,zhou'xi
周巷镇,zhou'xiang'zhen
子陵,zi'ling
宗汉街道,zong'han'jie'dao
