阿斗,a'dou
初来乍到,chu'lai'zha'dao
处理区,chu'li'qu
出牌,chu'pai
出牌阶段,chu'pai'jie'duan
出牌阶段开始时,chu'pai'jie'duan'kai'shi'shi
出杀,chu'sha
出闪,chu'shan
初试身手,chu'shi'shen'shou
垂问秦雍,chui'wen'qin'yong
春哥,chun'ge
醇醪,chun'lao
此火可助我军大获全胜,ci'huo'ke'zhu'wo'jun'da'huo'quan'sheng
刺美人,ci'mei'ren
此乃驱虎吞狼之计,ci'nai'qu'hu'tun'lang'zhi'ji
雌雄,ci'xiong
雌雄双股剑,ci'xiong'shuang'gu'jian
萃毒,cui'du
打出,da'chu
大都督,da'du'du
大汉天下已半入我手,da'han'tian'xia'yi'ban'ru'wo'shou
大将,da'jiang
大将军,da'jiang'jun
打酱油的,da'jiang'you'de
大佬荣,da'lao'rong
大乔,da'qiao
大乔小乔,da'qiao'xiao'qiao
大师,da'shi
大事化小,da'shi'hua'xiao
打铁匠,da'tie'jiang
大宛,da'wan
大雾,da'wu
大雾标记,da'wu'biao'ji
大爷胃疼胃疼啊,da'ye'wei'teng'wei'teng'a
大姨妈,da'yi'ma
大丈夫当带三尺之剑立不世之功,da'zhang'fu'dang'dai'san'chi'zhi'jian'li'bu'shi'zhi'gong
代替,dai'ti
单角色结算原则,dan'jue'se'jie'suan'yuan'ze
啖酪,dan'lao
单骑,dan'qi
但是没牌是万万不楞的,dan'shi'mei'pai'shi'wan'wan'bu'leng'de
但是没牌是万万不能的,dan'shi'mei'pai'shi'wan'wan'bu'neng'de
胆守,dan'shou
单挑,dan'tiao
当前的体力值,dang'qian'de'ti'li'zhi
当前体力,dang'qian'ti'li
当先,dang'xian
悼良会之永绝兮,dao'liang'hui'zhi'yong'jue'xi
悼良会之永绝兮哀一逝而异乡,dao'liang'hui'zhi'yong'jue'xi'ai'yi'shi'er'yi'xiang
刀枪不入,dao'qiang'bu'ru
邓艾,deng'ai
邓红桃,deng'hong'tao
的卢,di'lu
缔盟,di'meng
抵消,di'xiao
地狱许,di'yu'xu
点点,dian'dian
点数,dian'shu
典韦,dian'wei
貂蝉,diao'chan
雕虫小计,diao'chong'xiao'ji
掉上限,diao'shang'xian
掉线,diao'xian
掉血,diao'xue
叠置,die'zhi
丁奉,ding'feng
洞察一切,dong'cha'yi'qie
董卓,dong'zhuo
毒菜,du'cai
独断的外交家,du'duan'de'wai'jiao'jia
笃烈之士,du'lie'zhi'shi
度势,du'shi
黩武,du'wu
独眼的罗刹,du'yan'de'luo'cha
短兵,duan'bing
断肠,duan'chang
断粮,duan'liang
夺刀,duo'dao
多角色结算原则,duo'jue'se'jie'suan'yuan'ze
恩怨,en'yuan
二刀,er'dao
尔等敢应战否,er'deng'gan'ying'zhan'fou
二哥,er'ge
二号位,er'hao'wei
二将成名,er'jiang'cheng'ming
耳畔之鱼,er'pan'zhi'yu
二十年后又是一条好汉,er'shi'nian'hou'you'shi'yi'tiao'hao'han
二血,er'xue
二张,er'zhang
法正,fa'zheng
反间,fan'jian
反馈,fan'kui
翻面,fan'mian
反贼,fan'zei
反装忠,fan'zhuang'zhong
仿佛兮若轻云之蔽月,fang'fu'xi'ruo'qing'yun'zhi'bi'yue
仿佛兮若青云之逼月,fang'fu'xi'ruo'qing'yun'zhi'bi'yue
防具,fang'ju
方块,fang'kuai
方块闪,fang'kuai'shan
方块桃,fang'kuai'tao
方片周,fang'pian'zhou
放权,fang'quan
方天,fang'tian
方天画戟,fang'tian'hua'ji
防御马,fang'yu'ma
放逐,fang'zhu
飞将,fei'jiang
非延时类锦囊,fei'yan'shi'lei'jin'nang
非延时类锦囊牌,fei'yan'shi'lei'jin'nang'pai
飞扬跋扈,fei'yang'ba'hu
飞影,fei'ying
奋强突固,fen'qiang'tu'gu
焚天,fen'tian
焚心,fen'xin
奋迅,fen'xun
风包,feng'bao
风驰电掣,feng'chi'dian'che
凤雏,feng'chu
凤雏岂能消亡,feng'chu'qi'neng'xiao'wang
凤飞逆天,feng'fei'ni'tian
疯狗,feng'gou
风火林山,feng'huo'lin'shan
锋芒毕露,feng'mang'bi'lu
锋线杀手,feng'xian'sha'shou
伏皇后,fu'huang'hou
父魂,fu'hun
复活,fu'huo
福将,fu'jiang
夫君你要替妾身做主啊,fu'jun'ni'yao'ti'qie'shen'zuo'zhu'a
夫君身体要紧,fu'jun'shen'ti'yao'jin
伏枥,fu'li
父亲大哥仲谋愧矣,fu'qin'da'ge'zhong'mou'kui'yi
父亲大哥仲谋溃矣,fu'qin'da'ge'zhong'mou'kui'yi
父亲大人对不起,fu'qin'da'ren'dui'bu'qi
伏完,fu'wan
改判,gai'pan
甘夫人,gan'fu'ren
甘露,gan'lu
甘宁,gan'ning
刚烈,gang'lie
刚直壮烈,gang'zhi'zhuang'lie
高达,gao'da
高达一号,gao'da'yi'hao
高富帅,gao'fu'shuai
高贵的名门,gao'gui'de'ming'men
高级杀手,gao'ji'sha'shou
高顺,gao'shun
高玩,gao'wan
给牌,gei'pai
更大的炮灰,geng'da'de'pao'hui
攻击范围,gong'ji'fan'wei
弓箭手准备放箭,gong'jian'shou'zhun'bei'fang'jian
公瑾我先走一步,gong'jin'wo'xian'zou'yi'bu
公瑾我先走一步了,gong'jin'wo'xian'zou'yi'bu'le
弓骑,gong'qi
攻其不备,gong'qi'bu'bei
公孙瓒,gong'sun'zan
攻无不克,gong'wu'bu'ke
攻心,gong'xin
弓腰姬,gong'yao'ji
狗货,gou'huo
苟或,gou'huo
苟延残喘,gou'yan'can'chuan
古锭,gu'ding
古锭刀,gu'ding'dao
蛊惑,gu'huo
蛊惑联营,gu'huo'lian'ying
蛊惑连营,gu'huo'lian'ying
蛊连,gu'lian
固若金汤,gu'ruo'jin'tang
孤善于千里袭人,gu'shan'yu'qian'li'xi'ren
蛊于质司,gu'yu'zhi'si
固政,gu'zheng
古之恶来,gu'zhi'e'lai
孤注一掷,gu'zhu'yi'zhi
观不到,guan'bu'dao
关东煮,guan'dong'zhu
观尔乃插标卖首,guan'er'nai'cha'biao'mai'shou
观好,guan'hao
观今夜之天象,guan'jin'ye'zhi'tian'xiang
观今夜之天象知天下之大事,guan'jin'ye'zhi'tian'xiang'zhi'tian'xia'zhi'da'shi
观看,guan'kan
关平,guan'ping
贯石,guan'shi
贯石斧,guan'shi'fu
观五张,guan'wu'zhang
观星,guan'xing
关兴张苞,guan'xing'zhang'bao
关银屏,guan'yin'ping
关羽,guan'yu
关羽在吃二等寿司,guan'yu'zai'chi'er'deng'shou'si
关羽在此尔等受死,guan'yu'zai'ci'er'deng'shou'si
管乐,guan'yue
关张,guan'zhang
鬼才,gui'cai
鬼道,gui'dao
鬼道洛神,gui'dao'luo'shen
鬼神再临,gui'shen'zai'lin
归心,gui'xin
归隐的杰女,gui'yin'de'jie'nv
过河,guo'he
过河拆桥,guo'he'chai'qiao
郭淮,guo'huai
郭嘉,guo'jia
国色,guo'se
国无懈,guo'wu'xie
国战,guo'zhan
还不够,hai'bu'gou
咳咳,hai'hai
旱魃,han'ba
寒冰,han'bing
寒冰剑,han'bing'jian
韩当,han'dang
汉寿亭侯,han'shou'ting'hou
汉献帝,han'xian'di
韩旭,han'xu
毫发无伤,hao'fa'wu'shang
好冷啊,hao'leng'a
好鲁仁刘,hao'lu'ren'liu
豪情烈胆,hao'qing'lie'dan
好施,hao'shi
河北瑰杰,he'bei'gui'jie
呵呵,he'he
何进,he'jin
喝酒,he'jiu
合天地之造化,he'tian'di'zhi'zao'hua
何以解忧,he'yi'jie'you
黑色,hei'se
黑杀,hei'sha
黑桃,hei'tao
黑月乱,hei'yue'luan
横扫千军,heng'sao'qian'jun
横置,heng'zhi
红莲业火,hong'lian'ye'huo
红色,hong'se
红杀,hong'sha
红桃,hong'tao
红桃邓,hong'tao'deng
红桃闪,hong'tao'shan
红颜,hong'yan
弘援,hong'yuan
鸿运当头,hong'yun'dang'tou
后发制人,hou'fa'zhi'ren
虎痴,hu'chi
护国军师,hu'guo'jun'shi
护驾,hu'jia
虎狼兄弟,hu'lang'xiong'di
虎牢关,hu'lao'guan
虎牢关吕布,hu'lao'guan'lv'bu
虎威,hu'wei
虎啸,hu'xiao
骅骝,hua'liu
花色,hua'se
化身,hua'shen
华佗,hua'tuo
华雄,hua'xiong
怀才自负,huai'cai'zi'fu
幻岛,huan'dao
换斗移星,huan'dou'yi'xing
缓释,huan'shi
换桃,huan'tao
黄盖,huang'gai
黄天,huang'tian
黄天也死了,huang'tian'ye'si'le
黄须儿,huang'xu'er
黄月英,huang'yue'ying
黄忠,huang'zhong
回复,hui'fu
回合,hui'he
回合结束阶段,hui'he'jie'shu'jie'duan
回合结束阶段开始时,hui'he'jie'shu'jie'duan'kai'shi'shi
回合开始阶段,hui'he'kai'shi'jie'duan
回合开始阶段开始时,hui'he'kai'shi'jie'duan'kai'shi'shi
回合外,hui'he'wai
挥泪,hui'lei
回血,hui'xue
昏君,hun'jun
浑身是胆,hun'shen'shi'dan
魂姿,hun'zi
火包,huo'bao
获得牌,huo'de'pai
火攻,huo'gong
火计,huo'ji
火杀,huo'sha
火扇,huo'shan
祸首,huo'shou
祸水,huo'shui
惑心之魅,huo'xin'zhi'mei
激昂,ji'ang
吉本,ji'ben
基本牌,ji'ben'pai
饥肠辘辘,ji'chang'lu'lu
激将,ji'jiang
急救,ji'jiu
极乐世界,ji'le'shi'jie
鸡肋,ji'lei
鸡肋武将,ji'lei'wu'jiang
纪灵,ji'ling
极略,ji'lue
技能,ji'neng
技能表述,ji'neng'biao'shu
既生瑜何生,ji'sheng'yu'he'sheng
棘途壮志,ji'tu'zhuang'zhi
急袭,ji'xi
疾行的猎豹,ji'xing'de'lie'bao
集智,ji'zhi
贾诩,jia'xu
坚城宿将,jian'cheng'su'jiang
箭无虚发,jian'wu'xu'fa
奸雄,jian'xiong
简雍,jian'yong
将弛,jiang'chi
江东的铁壁,jiang'dong'de'tie'bi
江东的小霸王,jiang'dong'de'xiao'ba'wang
江东小霸王,jiang'dong'xiao'ba'wang
江东小白板,jiang'dong'xiao'bai'ban
江东之虎,jiang'dong'zhi'hu
江东之花,jiang'dong'zhi'hua
将门虎子,jiang'men'hu'zi
姜维,jiang'wei
酱油内,jiang'you'nei
骄才,jiao'cai
交给,jiao'gei
交给你了,jiao'gei'ni'le
交换,jiao'huan
矫情之花,jiao'qing'zhi'hua
矫然的壮士,jiao'ran'de'zhuang'shi
教主,jiao'zhu
桀骜的野心家,jie'ao'de'ye'xin'jia
借刀,jie'dao
借刀杀人,jie'dao'sha'ren
阶段,jie'duan
解烦,jie'fan
结婚,jie'hun
节命,jie'ming
借你之手与他一搏吧,jie'ni'zhi'shou'yu'ta'yi'bo'ba
结束阶段,jie'shu'jie'duan
结束阶段开始时,jie'shu'jie'duan'kai'shi'shi
结算,jie'suan
结算的原则,jie'suan'de'yuan'ze
结姻,jie'yin
竭缘,jie'yuan
接招吧,jie'zhao'ba
接着哦,jie'zhe'o
竭智尽忠,jie'zhi'jin'zhong
接住哦,jie'zhu'o
金璧之才,jin'bi'zhi'cai
矜持之花,jin'chi'zhi'hua
锦帆游侠,jin'fan'you'xia
进攻马,jin'gong'ma
尽管来吧,jin'guan'lai'ba
巾帼英雄,jin'guo'ying'xiong
晋国之祖,jin'guo'zhi'zu
进化论,jin'hua'lun
禁酒,jin'jiu
锦囊袋,jin'nang'dai
锦囊牌,jin'nang'pai
金枪不倒,jin'qiang'bu'dao
精策,jing'ce
荆楚之高俊,jing'chu'zhi'gao'jun
竟敢伤我,jing'gan'shang'wo
竞技场,jing'ji'chang
竟然被猜到了,jing'ran'bei'cai'dao'le
竟然比我还快,jing'ran'bi'wo'hai'kuai
惊天逆转,jing'tian'ni'zhuan
经天纬地,jing'tian'wei'di
酒池,jiu'chi
酒火杀,jiu'huo'sha
纠结之心,jiu'jie'zhi'xin
酒杀,jiu'sha
酒诗,jiu'shi
救我,jiu'wo
救援,jiu'yuan
就这样吧,jiu'zhe'yang'ba
救主,jiu'zhu
菊花刀,ju'hua'dao
举荐,ju'jian
距离,ju'li
距离不够,ju'li'bu'gou
居然被猜到了,ju'ran'bei'cai'dao'le
据守,ju'shou
巨象,ju'xiang
局长,ju'zhang
决策,jue'ce
绝处逢生,jue'chu'feng'sheng
决斗,jue'dou
绝对零度,jue'dui'ling'du
绝境,jue'jing
绝情,jue'qing
角色的牌,jue'se'de'pai
角色的区域,jue'se'de'qu'yu
绝世的舞姬,jue'shi'de'wu'ji
觉醒技,jue'xing'ji
决意的巾帼,jue'yi'de'jin'guo
绝影,jue'ying
君临天下,jun'lin'tian'xia
峻刑,jun'xing
军争包,jun'zheng'bao
军争场,jun'zheng'chang
军争篇,jun'zheng'pian
看来我命中注定将丧命于此,kan'lai'wo'ming'zhong'zhu'ding'jiang'sang'ming'yu'ci
看脸,kan'lian
看破,kan'po
看我三步之内取你小命,kan'wo'san'bu'zhi'nei'qu'ni'xiao'ming
克己,ke'ji
可恶就差一步了,ke'wu'jiu'cha'yi'bu'le
可以,ke'yi
控场,kong'chang
控场内,kong'chang'nei
空城,kong'cheng
空城绝唱,kong'cheng'jue'chang
空酒杯,kong'jiu'bei
孔融,kong'rong
扣减体力,kou'jian'ti'li
扣减体力后,kou'jian'ti'li'hou
扣减体力前,kou'jian'ti'li'qian
苦肉,ku'rou
跨蹈江南,kua'dao'jiang'nan
快来与我等决一死战,kuai'lai'yu'wo'deng'jue'yi'si'zhan
快速场,kuai'su'chang
狂暴,kuang'bao
狂奔的蜗牛,kuang'ben'de'wo'niu
狂风,kuang'feng
狂风标记,kuang'feng'biao'ji
狂斧,kuang'fu
狂骨,kuang'gu
狂直之士,kuang'zhi'zhi'shi
溃围,kui'wei
垃圾技能,la'ji'ji'neng
辣手摧花,la'shou'cui'hua
来人护驾,lai'ren'hu'jia
来源,lai'yuan
狼顾之鬼,lang'gu'zhi'gui
狼虎兄弟,lang'hu'xiong'di
老不死的,lao'bu'si'de
老当益壮,lao'dang'yi'zhuang
老奸巨猾,lao'jian'ju'hua
老将的逆袭,lao'jiang'de'ni'xi
老谋深算,lao'mou'shen'suan
老天不助我袁家啊,lao'tian'bu'zhu'wo'yuan'jia'a
老头,lao'tou
老诸葛,lao'zhu'ge
乐不思蜀,le'bu'si'shu
乐进,le'jin
雷公助我,lei'gong'zhu'wo
雷击,lei'ji
雷没才,lei'mei'cai
雷杀,lei'sha
冷好冷啊,leng'hao'leng'a
楞进楞退乃真正法器,leng'jin'leng'tui'nai'zhen'zheng'fa'qi
冷酷的毒士,leng'ku'de'du'shi
冷色,leng'se
冷血皇后,leng'xue'huang'hou
离貂反周,li'diao'fan'zhou
离魂,li'hun
疬火,li'huo
离间,li'jian
历尽沧桑,li'jin'cang'sang
礼让,li'rang
李儒,li'ru
离线,li'xian
黎阳大将蒋义渠,li'yang'da'jiang'jiang'yi'qu
历战之躯,li'zhan'zhi'qu
连环,lian'huan
联军上将,lian'jun'shang'jiang
联盟的维系者,lian'meng'de'wei'xi'zhe
连绵不绝,lian'mian'bu'jue
连弩,lian'nu
连破,lian'po
连清人,lian'qing'ren
怜香惜玉,lian'xiang'xi'yu
联姻,lian'yin
联营,lian'ying
连营,lian'ying
炼狱武神,lian'yu'wu'shen
两边都看不见啦,liang'bian'dou'kan'bu'jian'la
亮出,liang'chu
粮尽援绝,liang'jin'yuan'jue
两张牌,liang'zhang'pai
料敌机先,liao'di'ji'xian
廖化,liao'hua
烈弓,lie'gong
烈刃,lie'ren
林包,lin'bao
凛然重义,lin'ran'zhong'yi
临危受命,lin'wei'shou'ming
凌波微步,ling'bo'wei'bu
凌波微步罗袜生尘,ling'bo'wei'bu'luo'wa'sheng'chen
灵雎,ling'ju
凌天翼,ling'tian'yi
凌统,ling'tong
另一名角色,ling'yi'ming'jue'se
刘备,liu'bei
刘表,liu'biao
六灯土豪,liu'deng'tu'hao
刘封,liu'feng
遛狗,liu'gou
六号位,liu'hao'wei
流离,liu'li
六人局,liu'ren'ju
刘禅,liu'shan
刘协,liu'xie
刘周,liu'zhou
龙胆,long'dan
龙的衣钵,long'de'yi'bo
龙魂,long'hun
龙吟,long'yin
鲁大师,lu'da'shi
陆连清,lu'lian'qing
陆神,lu'shen
陆神将,lu'shen'jiang
鲁肃,lu'su
陆逊,lu'xun
乱臣贼子,luan'chen'zei'zi
乱击,luan'ji
乱箭肃敌,luan'jian'su'di
乱世的奸雄,luan'shi'de'jian'xiong
乱世的枭雄,luan'shi'de'xiao'xiong
乱世名医,luan'shi'ming'yi
乱世枭雄,luan'shi'xiao'xiong
乱武,luan'wu
乱舞,luan'wu
裸奔,luo'ben
落井下石,luo'jing'xia'shi
罗森,luo'sen
洛神,luo'shen
洛神赋,luo'shen'fu
罗袜生尘,luo'wa'sheng'chen
落雁,luo'yan
裸衣,luo'yi
落英,luo'ying
吕布,lv'bu
吕蒙,lv'meng
马参军,ma'can'jun
马超,ma'chao
马岱,ma'dai
马庞马马,ma'pang'ma'ma
马术,ma'shu
马谡,ma'su
马腾,ma'teng
妈我冷,ma'wo'leng
卖血,mai'xue
满宠,man'chong
漫卷,man'juan
慢苦流,man'ku'liu
满血,man'xue
蛮裔,man'yi
梅花,mei'hua
每回合,mei'hui'he
美髯公,mei'ran'gong
没想到吧,mei'xiang'dao'ba
孟获,meng'huo
猛进,meng'jin
猛庞铁马,meng'pang'tie'ma
蒙太奇,meng'tai'qi
梦魇标记,meng'yan'biao'ji
梦醉良缘,meng'zui'liang'yuan
秘计,mi'ji
密诏,mi'zhao
谜之仙人,mi'zhi'xian'ren
面杀,mian'sha
妙脆角,miao'cui'jiao
苗裔,miao'yi
灭计,mie'ji
命不该绝,ming'bu'gai'jue
明策,ming'ce
名士,ming'shi
明哲,ming'zhe
明置,ming'zhi
魔鬼鱼,mo'gui'yu
魔将,mo'jiang
摸牌,mo'pai
摸牌阶段,mo'pai'jie'duan
摸牌阶段结束时,mo'pai'jie'duan'jie'shu'shi
摸牌阶段开始时,mo'pai'jie'duan'kai'shi'shi
摸牌阶段摸牌时,mo'pai'jie'duan'mo'pai'shi
魔仕,mo'shi
魔王,mo'wang
谋略过人,mou'lue'guo'ren
谋诛,mou'zhu
目标角色,mu'biao'jue'se
木美人,mu'mei'ren
穆顺,mu'shun
难道被看穿了吗,nan'dao'bei'kan'chuan'le'ma
难道这就是失败的滋味,nan'dao'zhe'jiu'shi'shi'bai'de'zi'wei
难道这就是失败的滋味吗,nan'dao'zhe'jiu'shi'shi'bai'de'zi'wei'ma
难道这就是桃园吗,nan'dao'zhe'jiu'shi'tao'yuan'ma
难道真的是天命难违,nan'dao'zhen'de'shi'tian'ming'nan'wei
南蛮,nan'man
南蛮入侵,nan'man'ru'qin
南蛮王,nan'man'wang
内奸,nei'jian
能进能退乃真正法器,neng'jin'neng'tui'nai'zhen'zheng'fa'qi
你的计谋被识破了,ni'de'ji'mou'bei'shi'po'le
你的牌太多啦,ni'de'pai'tai'duo'la
你可敢挡我,ni'ke'gan'dang'wo
你可识得此阵,ni'ke'shi'de'ci'zhen
你死我活,ni'si'wo'huo
你信吗,ni'xin'ma
你信么,ni'xin'me
年轻的贤君,nian'qing'de'xian'jun
涅槃,nie'pan
宁可我负天下人,ning'ke'wo'fu'tian'xia'ren
宁可我负天下人休教天下人负我,ning'ke'wo'fu'tian'xia'ren'xiu'jiao'tian'xia'ren'fu'wo
暖色,nuan'se
诺思冥羽,nuo'si'ming'yu
女王,nv'wang
牌不是万楞的,pai'bu'shi'wan'leng'de
牌不是万能的,pai'bu'shi'wan'neng'de
牌堆,pai'dui
牌堆底,pai'dui'di
牌堆顶,pai'dui'ding
牌面信息,pai'mian'xin'xi
排异,pai'yi
判定,pan'ding
判定阶段,pan'ding'jie'duan
判定牌,pan'ding'pai
判定区,pan'ding'qu
潘凤,pan'feng
潘马,pan'ma
潘璋马忠,pan'zhang'ma'zhong
庞德,pang'de
庞统,pang'tong
炮灰,pao'hui
咆哮,pao'xiao
劈中,pi'zhong
翩仪,pian'yi
飘飘兮若流风之回雪,piao'piao'xi'ruo'liu'feng'zhi'hui'xue
飘飘兮若牛风之回血,piao'piao'xi'ruo'niu'feng'zhi'hui'xue
拼点,pin'dian
平反大将,ping'fan'da'jiang
平置,ping'zhi
破军,po'jun
破掳大将军,po'lu'da'jiang'jun
破一个,po'yi'ge
破竹之咒,po'zhu'zhi'zhou
普通杀,pu'tong'sha
普通伤害,pu'tong'shang'hai
奇才,qi'cai
奇策,qi'ce
七号位,qi'hao'wei
骑虎之殇,qi'hu'zhi'shang
旗开得胜,qi'kai'de'sheng
其利断金,qi'li'duan'jin
麒麟,qi'lin
麒麟弓,qi'lin'gong
弃牌,qi'pai
弃牌堆,qi'pai'dui
弃牌阶段,qi'pai'jie'duan
弃牌阶段结束时,qi'pai'jie'duan'jie'shu'shi
弃牌阶段开始时,qi'pai'jie'duan'kai'shi'shi
七擒七纵,qi'qin'qi'zong
七人局,qi'ren'ju
弃桃,qi'tao
奇袭,qi'xi
七星,qi'xing
弃置,qi'zhi
前锋,qian'feng
前将军,qian'jiang'jun
潜龙勿用,qian'long'wu'yong
迁迁婷婷,qian'qian'ting'ting
潜袭,qian'xi
谦逊,qian'xun
强命,qiang'ming
强袭,qiang'xi
巧变,qiao'bian
巧说,qiao'shuo
擒龙伏虎,qin'long'fu'hu
琴音,qin'yin
请鞭挞我吧公瑾,qing'bian'ta'wo'ba'gong'jin
清侧重臣,qing'ce'zhong'chen
倾城,qing'cheng
青釭,qing'gang
青釭剑,qing'gang'jian
倾国,qing'guo
倾国倾城,qing'guo'qing'cheng
青龙,qing'long
青龙刀,qing'long'dao
青龙偃月刀,qing'long'yan'yue'dao
青囊,qing'nang
轻身为国,qing'shen'wei'guo
情随梦逝,qing'sui'meng'shi
请休息吧,qing'xiu'xi'ba
请助我一臂之力,qing'zhu'wo'yi'bi'zhi'li
求桃,qiu'tao
求援,qiu'yuan
驱虎,qu'hu
驱虎吞狼,qu'hu'tun'lang
取汝首级如探囊取物,qu'ru'shou'ji'ru'tan'nang'qu'wu
取汝首级犹如探囊取物,qu'ru'shou'ji'you'ru'tan'nang'qu'wu
屈身为国,qu'shen'wei'guo
取消,qu'xiao
区域,qu'yu
全都去死吧,quan'dou'qu'si'ba
权计,quan'ji
全军突击,quan'jun'tu'ji
全职杀手,quan'zhi'sha'shou
群马超,qun'ma'chao
群雄,qun'xiong
群雄霸者,qun'xiong'ba'zhe
群雄将,qun'xiong'jiang
群雄武者,qun'xiong'wu'zhe
然后,ran'hou
燃烧吧,ran'shao'ba
惹火上身,re'huo'shang'shen
仁爱的神童,ren'ai'de'shen'tong
仁德,ren'de
忍戒,ren'jie
人马一体,ren'ma'yi'ti
仁王,ren'wang
仁王盾,ren'wang'dun
仁心,ren'xin
任意张牌,ren'yi'zhang'pai
日经,ri'jing
容我三思,rong'wo'san'si
肉林,rou'lin
肉山,rou'shan
汝等给我看好了,ru'deng'gei'wo'kan'hao'le
儒生雄才,ru'sheng'xiong'cai
若愚,ruo'yu
塞翁失马,sai'weng'shi'ma
三国杀,san'guo'sha
三国杀吧,san'guo'sha'ba
三国杀国战,san'guo'sha'guo'zhan
三国杀双将,san'guo'sha'shuang'jiang
三国杀双将模式,san'guo'sha'shuang'jiang'mo'shi
三国斩,san'guo'zhan
三号位,san'hao'wei
三尖两刃刀,san'jian'liang'ren'dao
三将成名,san'jiang'cheng'ming
三禁,san'jin
三三,san'san
三血,san'xue
三原色,san'yuan'se
三张牌,san'zhang'pai
三朝虎臣,san'zhao'hu'chen
色厉内荏,se'li'nei'ren
