哀兵必胜,ai'bing'bi'sheng
趁热打铁,chen're'da'tie
称体裁衣,chen'ti'cai'yi
称心如意,chen'xin'ru'yi
晨钟暮鼓,chen'zhong'mu'gu
惩恶劝善,cheng'e'quan'shan
乘风破浪,cheng'feng'po'lang
成家立业,cheng'jia'li'ye
城门失火,cheng'men'shi'huo
瞠目结舌,cheng'mu'jie'she
惩前毖后,cheng'qian'bi'hou
承前启后,cheng'qian'qi'hou
成千上万,cheng'qian'shang'wan
成群结队,cheng'qun'jie'dui
乘人之危,cheng'ren'zhi'wei
承上启下,cheng'shang'qi'xia
成事不足,cheng'shi'bu'zu
成双作对,cheng'shuang'zuo'dui
称王称霸,cheng'wang'cheng'ba
逞性妄为,cheng'xing'wang'wei
称兄道弟,cheng'xiong'dao'di
乘虚而入,cheng'xu'er'ru
惩一儆百,cheng'yi'jing'bai
成竹在胸,cheng'zhu'zai'xiong
赤膊上阵,chi'bo'shang'zhen
赤胆忠心,chi'dan'zhong'xin
尺短寸长,chi'duan'cun'chang
吃里爬外,chi'li'pa'wai
痴人说梦,chi'ren'shuo'meng
赤心报国,chi'xin'bao'guo
痴心妄想,chi'xin'wang'xiang
池鱼笼鸟,chi'yu'long'niao
嗤之以鼻,chi'zhi'yi'bi
持之以恒,chi'zhi'yi'heng
赤子之心,chi'zi'zhi'xin
充耳不闻,chong'er'bu'wen
冲锋陷阵,chong'feng'xian'zhen
重见天日,chong'jian'tian'ri
冲口而出,chong'kou'er'chu
宠辱不惊,chong'ru'bu'jing
崇山峻岭,chong'shan'jun'ling
臭不可当,chou'bu'ke'dang
踌躇满志,chou'chu'man'zhi
愁眉不展,chou'mei'bu'zhan
臭名远扬,chou'ming'yuan'yang
仇深似海,chou'shen'si'hai
丑态百出,chou'tai'bai'chu
楚楚可怜,chu'chu'ke'lian
初出茅庐,chu'chu'mao'lu
出将入相,chu'jiang'ru'xiang
触景生情,chu'jing'sheng'qing
除旧布新,chu'jiu'bu'xin
出口成章,chu'kou'cheng'zhang
出类拔萃,chu'lei'ba'cui
初露锋芒,chu'lu'feng'mang
出没无常,chu'mo'wu'chang
触目皆是,chu'mu'jie'shi
触目惊心,chu'mu'jing'xin
出其不意,chu'qi'bu'yi
出奇制胜,chu'qi'zhi'sheng
锄强扶弱,chu'qiang'fu'ruo
出人头地,chu'ren'tou'di
出神入化,chu'shen'ru'hua
出生入死,chu'sheng'ru'si
出水芙蓉,chu'shui'fu'rong
出头露面,chu'tou'lou'mian
处心积虑,chu'xin'ji'lv
出言不逊,chu'yan'bu'xun
川流不息,chuan'liu'bu'xi
串通一气,chuan'tong'yi'qi
穿针引线,chuan'zhen'yin'xian
窗明几净,chuang'ming'ji'jing
垂死挣扎,chui'si'zheng'zha
垂头丧气,chui'tou'sang'qi
垂涎三尺,chui'xian'san'chi
唇齿相依,chun'chi'xiang'yi
春风得意,chun'feng'de'yi
春风满面,chun'feng'man'mian
春暖花开,chun'nuan'hua'kai
唇枪舌剑,chun'qiang'she'jian
春蚓秋蛇,chun'yin'qiu'she
绰绰有余,chuo'chuo'you'yu
词不达意,ci'bu'da'yi
刺股悬梁,ci'gu'xuan'liang
此起彼伏,ci'qi'bi'fu
聪明才智,cong'ming'cai'zhi
从容不迫,cong'rong'bu'po
从容就义,cong'rong'jiu'yi
从天而下,cong'tian'er'xia
从头至尾,cong'tou'zhi'wei
粗茶淡饭,cu'cha'dan'fan
促膝谈心,cu'xi'tan'xin
粗心大意,cu'xin'da'yi
粗枝大叶,cu'zhi'da'ye
粗制滥造,cu'zhi'lan'zao
寸草不留,cun'cao'bu'liu
寸丝不挂,cun'si'bu'gua
措手不及,cuo'shou'bu'ji
错综复杂,cuo'zong'fu'za
打抱不平,da'bao'bu'ping
大材小用,da'cai'xiao'yong
打草惊蛇,da'cao'jing'she
打成一片,da'cheng'yi'pian
大吹大擂,da'chui'da'lei
答非所问,da'fei'suo'wen
达官贵人,da'guan'gui'ren
打退堂鼓,da'tui'tang'gu
谬以千里,miu'yi'qian'li
殃及池鱼,yang'ji'chi'yu
