白霜,bai'shuang
雨量,yu'liang
雨量过程线,yu'liang'guo'cheng'xian
雨量计,yu'liang'ji
雨量器,yu'liang'qi
雨量器防护罩,yu'liang'qi'fang'hu'zhao
雨量图,yu'liang'tu
雨量站,yu'liang'zhan
雨量折算系数,yu'liang'zhe'suan'xi'shu
余水量,yu'shui'liang
雨影,yu'ying
云顶温度,yun'ding'wen'du
阵雨,zhen'yu
正常年,zheng'chang'nian
蒸发机会,zheng'fa'ji'hui
蒸发率,zheng'fa'lv
蒸发能力,zheng'fa'neng'li
蒸发强度,zheng'fa'qiang'du
蒸散,zheng'san
蒸散发量,zheng'san'fa'liang
蒸散发能力,zheng'san'fa'neng'li
蒸渗仪,zheng'shen'yi
滞后时间,zhi'hou'shi'jian
直接降水,zhi'jie'jiang'shui
质量转移法,zhi'liang'zhuan'yi'fa
滞流量,zhi'liu'liang
滞留时间,zhi'liu'shi'jian
终极沉降速度,zhong'ji'chen'jiang'su'du
总截留损失,zong'jie'liu'sun'shi
总蒸发量,zong'zheng'fa'liang
组合单位线,zu'he'dan'wei'xian
最大可能降水,zui'da'ke'neng'jiang'shui
最大蒸散发量,zui'da'zheng'san'fa'liang
