白鹭洲公园,bai'lu'zhou'gong'yuan
青原山中学,qing'yuan'shan'zhong'xue
区公安局,qu'gong'an'ju
区建设局,qu'jian'she'ju
人民广场,ren'min'guang'chang
肉联厂,rou'lian'chang
三角塘,san'jiao'tang
韶山路口,shao'shan'lu'kou
生物研究厂,sheng'wu'yan'jiu'chang
生物研究所,sheng'wu'yan'jiu'suo
生资公司,sheng'zi'gong'si
市地税局,shi'di'shui'ju
市高新区,shi'gao'xin'qu
石虎岭,shi'hu'ling
市技校,shi'ji'xiao
市水务局,shi'shui'wu'ju
石溪头粮库,shi'xi'tou'liang'ku
师院路口,shi'yuan'lu'kou
市政府,shi'zheng'fu
孰厚镇政府,shu'hou'zhen'zheng'fu
书街口,shu'jie'kou
水务局,shui'wu'ju
四方圆,si'fang'yuan
宋家坊,song'jia'fang
天立花园,tian'li'hua'yuan
天人集团,tian'ren'ji'tuan
天外天,tian'wai'tian
田心村,tian'xin'cun
天一园,tian'yi'yuan
天玉镇,tian'yu'zhen
卫生学校,wei'sheng'xue'xiao
文天祥纪念馆,wen'tian'xiang'ji'nian'guan
武警支队,wu'jing'zhi'dui
五岳观市场,wu'yue'guan'shi'chang
西苑小区,xi'yuan'xiao'qu
下村,xia'cun
县茶叶果品公司,xian'cha'ye'guo'pin'gong'si
县车站,xian'che'zhan
县二中,xian'er'zhong
县妇保,xian'fu'bao
县公安局,xian'gong'an'ju
县广场,xian'guang'chang
县交警大队,xian'jiao'jing'da'dui
县委党校,xian'wei'dang'xiao
县医院,xian'yi'yuan
县政府,xian'zheng'fu
县中医院,xian'zhong'yi'yuan
湘赣酒家,xiang'gan'jiu'jia
消防大队,xiao'fang'da'dui
消防支队,xiao'fang'zhi'dui
小湖江,xiao'hu'jiang
小天鹅,xiao'tian'e
新村小学,xin'cun'xiao'xue
新华路口,xin'hua'lu'kou
新华书店,xin'hua'shu'dian
兴桥镇,xing'qiao'zhen
兴中路口,xing'zhong'lu'kou
畜牧兽医局,xu'mu'shou'yi'ju
阳光医院,yang'guang'yi'yuan
杨家,yang'jia
阳明路,yang'ming'lu
阳明路口,yang'ming'lu'kou
阳明商城,yang'ming'shang'cheng
阳明西路,yang'ming'xi'lu
阳明西路口,yang'ming'xi'lu'kou
壹街区,yi'jie'qu
永和镇,yong'he'zhen
永叔路小学,yong'shu'lu'xiao'xue
邮电大楼,you'dian'da'lou
友利电,you'li'dian
有线电厂,you'xian'dian'chang
云天宾馆,yun'tian'bin'guan
造纸厂,zao'zhi'chang
曾家,zeng'jia
斋楼,zhai'lou
张家坊,zhang'jia'fang
樟山镇,zhang'shan'zhen
赵公堂,zhao'gong'tang
圳背村,zhen'bei'cun
镇政府,zhen'zheng'fu
正丙角恒荣新村,zheng'bing'jiao'heng'rong'xin'cun
中环小区,zhong'huan'xiao'qu
中山路口,zhong'shan'lu'kou
中心车站,zhong'xin'che'zhan
中心人民医院,zhong'xin'ren'min'yi'yuan
中心医院,zhong'xin'yi'yuan
中医护理,zhong'yi'hu'li
中医院,zhong'yi'yuan
众源药厂,zhong'yuan'yao'chang
庄塘,zhuang'tang
