安得广厦千万间,an'de'guang'sha'qian'wan'jian
沉舟侧畔千帆过,chen'zhou'ce'pan'qian'fan'guo
赤壁,chi'bi
祇辱于奴隶之手,chi'ru'yu'nu'li'zhi'shou
池上碧苔三四点,chi'shang'bi'tai'san'si'dian
宠辱偕忘,chong'ru'xie'wang
虫声新透绿窗纱,chong'sheng'xin'tou'lv'chuang'sha
酬乐天扬州初逢席上见赠,chou'le'tian'yang'zhou'chu'feng'xi'shang'jian'zeng
愁云惨淡万里凝,chou'yun'can'dan'wan'li'ning
俶尔远逝,chu'er'yuan'shi
处江湖之远则忧其君,chu'jiang'hu'zhi'yuan'ze'you'qi'jun
滁人游也,chu'ren'you'ye
床头屋漏无干处,chuang'tou'wu'lou'wu'gan'chu
唇焦口燥呼不得,chun'jiao'kou'zao'hu'bu'de
此乐何极,ci'le'he'ji
辞甚畅达,ci'shen'chang'da
此事古难全,ci'shi'gu'nan'quan
此则岳阳楼之大观也,ci'ze'yue'yang'lou'zhi'da'guan'ye
此中有真意,ci'zhong'you'zhen'yi
从流飘荡,cong'liu'piao'dang
从小丘西行百二十步,cong'xiao'qiu'xi'xing'bai'er'shi'bu
崔氏二小生,cui'shi'er'xiao'sheng
村南村北响缲车,cun'nan'cun'bei'xiang'qiao'che
大庇天下寒士俱欢颜,da'bi'tian'xia'han'shi'ju'huan'yan
大雪深数尺,da'xue'shen'shu'chi
大醉,da'zui
戴朱缨宝饰之帽,dai'zhu'ying'bao'shi'zhi'mao
但惜夏日长,dan'xi'xia'ri'chang
但愿人长久,dan'yuan'ren'chang'jiu
当余之从师也,dang'yu'zhi'cong'shi'ye
到乡翻似烂柯人,dao'xiang'fan'si'lan'ke'ren
得无异乎,de'wu'yi'hu
德有不成者,de'you'bu'cheng'zhe
得之心而寓之酒也,de'zhi'xin'er'yu'zhi'jiu'ye
登斯楼也,deng'si'lou'ye
低绮户,di'qi'hu
簟瓢屡空,dian'piao'lv'kong
丁壮在南冈,ding'zhuang'zai'nan'gang
东风不与周郎便,dong'feng'bu'yu'zhou'lang'bian
冻风时作,dong'feng'shi'zuo
东篱把酒黄昏后,dong'li'ba'jiu'huang'hun'hou
东阳马生君则在太学已二年,dong'yang'ma'sheng'jun'ze'zai'tai'xue'yi'er'nian
斗折蛇行,dou'zhe'she'xing
都护铁衣冷难着,du'hu'tie'yi'leng'nan'zhe
杜牧,du'mu
短褐穿结,duan'he'chuan'jie
多会于此,duo'hui'yu'ci
多歧路,duo'qi'lu
俄顷风定云墨色,e'qing'feng'ding'yun'mo'se
而伯乐不常有,er'bo'le'bu'chang'you
而不知人之乐,er'bu'zhi'ren'zhi'le
而不知太守之乐其乐也,er'bu'zhi'tai'shou'zhi'le'qi'le'ye
而城居者未之知也,er'cheng'ju'zhe'wei'zhi'zhi'ye
而或长烟一空,er'huo'chang'yan'yi'kong
而乐亦无穷也,er'le'yi'wu'qiong'ye
而年又最高,er'nian'you'zui'gao
二十三年弃置身,er'shi'san'nian'qi'zhi'shen
而无车马喧,er'wu'che'ma'xuan
而泄出于两峰之间者,er'xie'chu'yu'liang'feng'zhi'jian'zhe
伐竹取道,fa'zhu'qu'dao
凡曝沙之鸟,fan'bao'sha'zhi'niao
凡所宜有之书皆集于此,fan'suo'yi'you'zhi'shu'jie'ji'yu'ci
范仲淹,fan'zhong'yan
飞鸟相与还,fei'niao'xiang'yu'hai
非丝非竹,fei'si'fei'zhu
非天质之卑,fei'tian'zhi'zhi'bei
纷纷暮雪下辕门,fen'fen'mu'xue'xia'yuan'men
风掣红旗冻不翻,feng'che'hong'qi'dong'bu'fan
峰回路转,feng'hui'lu'zhuan
风力虽尚劲,feng'li'sui'shang'jing
峰峦如聚,feng'luan'ru'ju
风霜高洁,feng'shuang'gao'jie
风烟俱净,feng'yan'ju'jing
风雨不动安如山,feng'yu'bu'dong'an'ru'shan
妇姑荷箪食,fu'gu'he'dan'si
浮光跃金,fu'guang'yue'jin
父母岁有裘葛之遗,fu'mu'sui'you'qiu'ge'zhi'yi
负箧曳屣,fu'qie'ye'xi
俯身倾耳以请,fu'shen'qing'er'yi'qing
负势竞上,fu'shi'jing'shang
凫雁满回塘,fu'yan'man'hui'tang
复有贫妇人,fu'you'pin'fu'ren
弗之怠,fu'zhi'dai
呷浪之鳞,ga'lang'zhi'lin
盖余之勤且艰苦此,gai'yu'zhi'qin'qie'jian'ku'ci
干戈寥落四周星,gan'ge'liao'luo'si'zhou'xing
感极而悲者矣,gan'ji'er'bei'zhe'yi
高处不胜寒,gao'chu'bu'sheng'han
高柳夹提,gao'liu'jia'ti
高者挂罥长林梢,gao'zhe'gua'juan'chang'lin'shao
隔篁竹,ge'huang'zhu
葛天氏之民欤,ge'tian'shi'zhi'min'yu
更深月色半人家,geng'shen'yue'se'ban'ren'jia
更著风和雨,geng'zhu'feng'he'yu
觥筹交错,gong'chou'jiao'cuo
龚古,gong'gu
宫阙万间都做了土,gong'que'wan'jian'dou'zuo'le'tu
公然抱茅入竹去,gong'ran'bao'mao'ru'zhu'qu
龚自珍,gong'zi'zhen
故虽有名马,gu'sui'you'ming'ma
故余虽愚,gu'yu'sui'yu
故自号曰醉翁也,gu'zi'hao'yue'zui'weng'ye
观冰坚,guan'bing'jian
观刈麦,guan'yi'mai
归来倚杖自叹息,gui'lai'yi'zhang'zi'tan'xi
过零丁洋,guo'ling'ding'yang
瀚海阑干百丈冰,han'hai'lan'gan'bai'zhang'bing
韩愈,han'yu
浩荡离愁白日斜,hao'dang'li'chou'bai'ri'xie
好读书,hao'du'shu
浩浩汤汤,hao'hao'shang'shang
好鸟相鸣,hao'niao'xiang'ming
皓月千里,hao'yue'qian'li
何处望神州,he'chu'wang'shen'zhou
何事长向别时圆,he'shi'chang'xiang'bie'shi'yuan
何时眼前突兀见此屋,he'shi'yan'qian'tu'wu'jian'ci'wu
何似在人间,he'si'zai'ren'jian
何哉,he'zai
横柯上蔽,heng'ke'shang'bi
横无际涯,heng'wu'ji'ya
红装而蹇者,hong'zhuang'er'jian'zhe
后天下之乐而乐乎,hou'tian'xia'zhi'le'er'le'hu
后者应,hou'zhe'ying
忽复乘舟梦日边,hu'fu'cheng'zhou'meng'ri'bian
胡琴琵琶与羌笛,hu'qin'pi'pa'yu'qiang'di
狐裘不暖锦衾薄,hu'qiu'bu'nuan'jin'qin'bao
忽如一夜春风来,hu'ru'yi'ye'chun'feng'lai
胡天八月即飞雪,hu'tian'ba'yue'ji'fei'xue
互相轩邈,hu'xiang'xuan'miao
虎啸猿啼,hu'xiao'yuan'ti
槲叶落山路,hu'ye'luo'shan'lu
花朝节后,hua'zhao'jie'hou
化作春泥更护花,hua'zuo'chun'ni'geng'hu'hua
怀旧空吟闻笛赋,huai'jiu'kong'yin'wen'di'fu
环滁皆山也,huan'chu'jie'shan'ye
环堵萧然,huan'du'xiao'ran
浣溪沙,huan'xi'sha
欢饮达旦,huan'yin'da'dan
惶恐滩头说惶恐,huang'kong'tan'tou'shuo'huang'kong
晦明变化者,hui'ming'bian'hua'zhe
或异二者之为,huo'yi'er'zhe'zhi'wei
或遇其叱咄,huo'yu'qi'chi'duo
或置酒而招之,huo'zhi'jiu'er'zhao'zhi
己亥杂诗,ji'hai'za'shi
既加冠,ji'jia'guan
寂寥无人,ji'liao'wu'ren
寂寞开无主,ji'mo'kai'wu'zhu
计日以还,ji'ri'yi'huan
鸡声茅店月,ji'sheng'mao'dian'yue
急湍甚箭,ji'tuan'shen'jian
既醉而退,ji'zui'er'tui
夹岸高山,jia'an'gao'shan
佳节又重阳,jia'jie'you'chong'yang
佳木秀而繁阴,jia'mu'xiu'er'fan'yin
家贫,jia'pin
家田输税尽,jia'tian'shu'shui'jin
假诸人而后见也,jia'zhu'ren'er'hou'jian'ye
兼怀子由,jian'huai'zi'you
渐闻水声潺潺,jian'wen'shui'sheng'chan'chan
将登太行雪满山,jiang'deng'tai'hang'xue'man'shan
将军角弓不得控,jiang'jun'jiao'gong'bu'de'kong
娇儿恶卧踏里裂,jiao'er'e'wo'ta'li'lie
嗟夫,jie'fu
结庐在人境,jie'lu'zai'ren'jing
皆若空游无所依,jie'ruo'kong'you'wu'suo'yi
皆生寒树,jie'sheng'han'shu
皆有喜气,jie'you'xi'qi
近岸,jin'an
今安在,jin'an'zai
锦鳞游泳,jin'lin'you'yong
尽日不能忘,jin'ri'bu'neng'wang
今日听君歌一曲,jin'ri'ting'jun'ge'yi'qu
今我何功德,jin'wo'he'gong'de
今夕是何年,jin'xi'shi'he'nian
今夜偏知春气暖,jin'ye'pian'zhi'chun'qi'nuan
今诸生学于太学,jin'zhu'sheng'xue'yu'tai'xue
金樽清酒斗十千,jin'zun'qing'jiu'dou'shi'qian
晶晶然如镜之新开而冷光乍出于匣也,jing'jing'ran'ru'jing'zhi'xin'kai'er'leng'guang'zha'chu'yu'xia'ye
经纶世务者,jing'lun'shi'wu'zhe
静影沉璧,jing'ying'chen'bi
久而乃和,jiu'er'nai'he
酒困路长惟欲睡,jiu'kun'lu'chang'wei'yu'shui
局促一室之内,ju'cu'yi'shi'zhi'nei
居庙堂之高则忧其民,ju'miao'tang'zhi'gao'ze'you'qi'min
娟然如拭,juan'ran'ru'shi
卷石底以出,juan'shi'di'yi'chu
卷我屋上三重茅,juan'wo'wu'shang'san'chong'mao
刻唐贤今人诗赋于其上,ke'tang'xian'jin'ren'shi'fu'yu'qi'shang
课外古诗词,ke'wai'gu'shi'ci
客行悲故乡,ke'xing'bei'gu'xiang
窥欲忘反,kui'yu'wang'fan
览物之情,lan'wu'zhi'qing
琅琊也,lang'ya'ye
罍而歌者,lei'er'ge'zhe
力不足,li'bu'zu
隶而从者,li'er'cong'zhe
梨花落后清明,li'hua'luo'hou'qing'ming
力尽不知热,li'jin'bu'zhi're
吏禄三百石,li'lu'san'bai'shi
李清照,li'qing'zhao
礼愈至,li'yu'zhi
帘卷西风,lian'juan'xi'feng
连月不开,lian'yue'bu'kai
林壑尤美,lin'he'you'mei
鳞浪层层,lin'lang'ceng'ceng
临溪而渔,lin'xi'er'yu
零丁洋里叹零丁,ling'ding'yang'li'tan'ling'ding
泠泠作响,ling'ling'zuo'xiang
零落成泥碾作尘,ling'luo'cheng'ni'nian'zuo'chen
流辈甚称其贤,liu'bei'shen'cheng'qi'xian
刘方平,liu'fang'ping
留取丹心照汗青,liu'qu'dan'xin'zhao'han'qing
柳条将舒未舒,liu'tiao'jiang'shu'wei'shu
刘禹锡,liu'yu'xi
柳宗元,liu'zong'yuan
录毕,lu'bi
庐陵欧阳修也,lu'ling'ou'yang'xiu'ye
陆游,lu'you
略无慕艳意,lue'wu'mu'yan'yi
轮台东门送君去,lun'tai'dong'men'song'jun'qu
落红不是无情物,luo'hong'bu'shi'wu'qing'wu
马说,ma'shuo
马之千里者,ma'zhi'qian'li'zhe
麦田浅鬣寸许,mai'tian'qian'lie'cun'xu
满井游记,man'jing'you'ji
满目萧然,man'mu'xiao'ran
满眼风光北固楼,man'yan'feng'guang'bei'gu'lou
茅飞渡江洒江郊,mao'fei'du'jiang'sa'jiang'jiao
茅屋为秋风所破歌,mao'wu'wei'qiu'feng'suo'po'ge
毛羽鳞鬣之间,mao'yu'lin'lie'zhi'jian
每假借于藏书之家,mei'jia'jie'yu'cang'shu'zhi'jia
每冒风驰行,mei'mao'feng'chi'xing
每有会意,mei'you'hui'yi
门人弟子填其室,men'ren'di'zi'tian'qi'shi
猛浪若奔,meng'lang'ruo'ben
蒙络摇缀,meng'luo'yao'zhui
明灭可见,ming'mie'ke'jian
鸣声上下,ming'sheng'shang'xia
明月几时有,ming'yue'ji'shi'you
鸣之而不能通其意,ming'zhi'er'bu'neng'tong'qi'yi
名之者谁,ming'zhi'zhe'shui
莫道不消魂,mo'dao'bu'xiao'hun
暮而归,mu'er'gui
乃重修岳阳楼,nai'chong'xiu'yue'yang'lou
乃记之而去,nai'ji'zhi'er'qu
南村群童欺我老无力,nan'cun'qun'tong'qi'wo'lao'wu'li
南极潇湘,nan'ji'xiao'xiang
南乡子登京口北固亭有怀,nan'xiang'zi'deng'jing'kou'bei'gu'ting'you'huai
念此私自愧,nian'ci'si'zi'kui
廿二日,nian'er'ri
酿泉为酒,niang'quan'wei'jiu
酿泉也,niang'quan'ye
牛衣古柳卖黄瓜,niu'yi'gu'liu'mai'huang'gua
欧阳修,ou'yang'xiu
骈死于槽枥之间不以千里称也,pian'si'yu'cao'li'zhi'jian'bu'yi'qian'li'cheng'ye
颇示己志,po'shi'ji'zhi
破阵子,po'zhen'zi
其岸势犬牙差互,qi'an'shi'quan'ya'cha'hu
其必曰,qi'bi'yue
其将归见其亲也,qi'jiang'gui'jian'qi'qin'ye
奇山异水,qi'shan'yi'shui
凄神寒骨,qi'shen'han'gu
岂他人之过哉,qi'ta'ren'zhi'guo'zai
起舞弄清影,qi'wu'nong'qing'ying
其西南诸峰,qi'xi'nan'zhu'feng
气象万千,qi'xiang'wan'qian
其言兹若人之俦乎,qi'yan'zi'ruo'ren'zhi'chou'hu
其业有不精,qi'ye'you'bu'jing
期在必醉,qi'zai'bi'zui
其真不知马也,qi'zhen'bu'zhi'ma'ye
其真无马耶,qi'zhen'wu'ma'ye
千百成峰,qian'bai'cheng'feng
千古兴亡多少事,qian'gu'xing'wang'duo'shao'shi
迁客骚人,qian'ke'sao'ren
千里共婵娟,qian'li'gong'chan'juan
千里马常有,qian'li'ma'chang'you
黔娄之妻有言,qian'lou'zhi'qi'you'yan
前人之述备矣,qian'ren'zhi'shu'bei'yi
千树万树梨花开,qian'shu'wan'shu'li'hua'kai
千丈见底,qian'zhang'jian'di
前者呼,qian'zhe'hu
樯倾楫摧,qiang'qing'ji'cui
悄怆幽邃,qiao'chuang'you'sui
敲门试问野人家,qiao'men'shi'wen'ye'ren'jia
巧笑东邻女伴,qiao'xiao'dong'lin'nv'ban
且欲与常马等不可得安求其能千里也,qie'yu'yu'chang'ma'deng'bu'ke'de'an'qiu'qi'neng'qian'li'ye
亲旧知其如此,qin'jiu'zhi'qi'ru'ci
清澈见底,qing'che'jian'di
庆历四年春,qing'li'si'nian'chun
青树翠蔓,qing'shu'cui'man
穷冬烈风,qiong'dong'lie'feng
求而不得者也,qiu'er'bu'de'zhe'ye
秋天漠漠向昏黑,qiu'tian'mo'mo'xiang'hun'hei
去时雪满天山路,qu'shi'xue'man'tian'shan'lu
泉而茗者,quan'er'ming'zhe
全石以为底,quan'shi'yi'wei'di
泉水激石,quan'shui'ji'shi
泉香而酒冽,quan'xiang'er'jiu'lie
然而禽鸟知山林之乐,ran'er'qin'niao'zhi'shan'lin'zhi'le
然后有千里马,ran'hou'you'qian'li'ma
然徒步则汗出浃背,ran'tu'bu'ze'han'chu'jia'bei
然则北通巫峡,ran'ze'bei'tong'wu'xia
然则何时而乐耶,ran'ze'he'shi'er'le'ye
人比黄花瘦,ren'bi'huang'hua'shou
人迹板桥霜,ren'ji'ban'qiao'shuang
忍能对面为盗贼,ren'neng'dui'mian'wei'dao'zei
人生自古谁无死,ren'sheng'zi'gu'shui'wu'si
任意东西,ren'yi'dong'xi
人影散乱,ren'ying'san'luan
人有悲欢离合,ren'you'bei'huan'li'he
人知从太守游而乐,ren'zhi'cong'tai'shou'you'er'le
日长飞絮轻,ri'chang'fei'xu'qing
日高人渴漫思茶,ri'gao'ren'ke'man'si'cha
日光下彻,ri'guang'xia'che
日星隐耀,ri'xing'yin'yao
柔梢披风,rou'shao'pi'feng
如鸣佩环,ru'ming'pei'huan
如倩女之靧面而髻鬟之始掠也,ru'qian'nv'zhi'hui'mian'er'ji'huan'zhi'shi'lue'ye
瑞脑消金兽,rui'nao'xiao'jin'shou
若夫日出而林霏开,ruo'fu'ri'chu'er'lin'fei'kai
若夫霪雨霏霏,ruo'fu'yin'yu'fei'fei
若脱笼之鹄,ruo'tuo'long'zhi'hu
散入珠帘湿罗幕,san'ru'zhu'lian'shi'luo'mu
色愈恭,se'yu'gong
沙鸥翔集,sha'ou'xiang'ji
山河表里潼关路,shan'he'biao'li'tong'guan'lu
山河破碎风飘絮,shan'he'po'sui'feng'piao'xu
山回路转不见君,shan'hui'lu'zhuan'bu'jian'jun
山间之四时也,shan'jian'zhi'si'shi'ye
山间之朝暮也,shan'jian'zhi'zhao'mu'ye
山峦为晴雪所洗,shan'luan'wei'qing'xue'suo'xi
山坡羊潼关怀古,shan'po'yang'tong'guan'huai'gu
山气日夕佳,shan'qi'ri'xi'jia
山水之乐,shan'shui'zhi'le
山行六七里,shan'xing'liu'qi'li
山肴野蔌,shan'yao'ye'su
山岳潜形,shan'yue'qian'xing
山之僧智仙也,shan'zhi'seng'zhi'xian'ye
商旅不行,shang'lv'bu'xing
商山早行,shang'shan'zao'xing
上下天光,shang'xia'tian'guang
伤心秦汉经行处,shang'xin'qin'han'jing'xing'chu
射者中,she'zhe'zhong
身世浮沉雨打萍,shen'shi'fu'chen'yu'da'ping
生以乡人子谒余,sheng'yi'xiang'ren'zi'ye'yu
食不饱,shi'bu'bao
拾此充饥肠,shi'ci'chong'ji'chang
是进亦忧,shi'jin'yi'you
是可谓善学者矣,shi'ke'wei'shan'xue'zhe'yi
时六年九月十五日,shi'liu'nian'jiu'yue'shi'wu'ri
是马也,shi'ma'ye
食马者,shi'ma'zhe
世有伯乐,shi'you'bo'le
食之不能尽其材,shi'zhi'bu'neng'jin'qi'cai
始知郊田之外未始无春,shi'zhi'jiao'tian'zhi'wai'wei'shi'wu'chun
手指不可屈伸,shou'zhi'bu'ke'qu'shen
手自笔录,shou'zi'bi'lu
树林阴翳,shu'lin'yin'yi
疏条交映,shu'tiao'jiao'ying
属予作文以记之,shu'yu'zuo'wen'yi'ji'zhi
水调歌头,shui'diao'ge'tou
水皆缥碧,shui'jie'piao'bi
水落而石出者,shui'luo'er'shi'chu'zhe
水尤清洌,shui'you'qing'lie
四面竹树环合,si'mian'zhu'shu'huan'he
俟其欣悦,si'qi'xin'yue
四时之景不同,si'shi'zhi'jing'bu'tong
似与游者相乐,si'yu'you'zhe'xiang'le
四支僵劲不能动,si'zhi'jiang'jin'bu'neng'dong
送东阳马生序,song'dong'yang'ma'sheng'xu
宋濂,song'lian
苏轼,su'shi
簌簌衣巾落枣花,su'su'yi'jin'luo'zao'hua
岁晏有余粮,sui'yan'you'yu'liang
虽有千里之能,sui'you'qian'li'zhi'neng
太守归而宾客从也,tai'shou'gui'er'bin'ke'cong'ye
太守谓谁,tai'shou'wei'shui
太守宴也,tai'shou'yan'ye
太守也,tai'shou'ye
太守与客来饮于此,tai'shou'yu'ke'lai'yin'yu'ci
太守自谓也,tai'shou'zi'wei'ye
太守醉也,tai'shou'zui'ye
潭西南而望,tan'xi'nan'er'wang
潭中鱼可百许头,tan'zhong'yu'ke'bai'xu'tou
陶渊明,tao'yuan'ming
滕子京谪守巴陵郡,teng'zi'jing'zhe'shou'ba'ling'jun
天大寒,tian'da'han
田家少闲月,tian'jia'shao'xian'yue
天山共色,tian'shan'gong'se
天稍和,tian'shao'he
天下独绝,tian'xia'du'jue
天下无马,tian'xia'wu'ma
停杯投箸不能食,ting'bei'tou'zhu'bu'neng'shi
听其相顾言,ting'qi'xiang'gu'yan
铜雀春深锁二乔,tong'que'chun'shen'suo'er'qiao
同舍生皆被绮绣,tong'she'sheng'jie'bei'qi'xiu
同游者,tong'you'zhe
童稚携壶浆,tong'zhi'xie'hu'jiang
土膏微润,tu'gao'wei'run
颓乎其中者,tui'hu'qi'zhong'zhe
退亦忧,tui'yi'you
吞长江,tun'chang'jiang
亡百姓苦,wang'bai'xing'ku
望峰息心,wang'feng'xi'xin
忘怀得失,wang'huai'de'shi
往来而不绝者,wang'lai'er'bu'jue'zhe
往来翕忽,wang'lai'xi'hu
望西都,wang'xi'du
望之蔚然而深秀者,wang'zhi'wei'ran'er'shen'xiu'zhe
未百步辄返,wei'bai'bu'zhe'fan
未尝稍降辞色,wei'chang'shao'jiang'ci'se
为坻,wei'di
为嵁,wei'kan
为岩,wei'yan
未有问而不告,wei'you'wen'er'bu'gao
为屿,wei'yu
问君何能尔,wen'jun'he'neng'er
闻水声,wen'shui'sheng
文天祥,wen'tian'xiang
温庭筠,wen'ting'jun
闻者为悲伤,wen'zhe'wei'bei'shang
我欲乘风归去,wo'yu'cheng'feng'gui'qu
无奔走之劳矣,wu'ben'zou'zhi'lao'yi
无冻馁之患矣,wu'dong'nei'zhi'huan'yi
呜呼,wu'hu
无怀氏之民欤,wu'huai'shi'zhi'min'yu
吴均,wu'jun
五柳先生传,wu'liu'xian'sheng'chuan
吾庐独破受冻死亦足,wu'lu'du'po'shou'dong'si'yi'zu
吾谁与归,wu'shui'yu'gui
吴武陵,wu'wu'ling
无鲜肥滋味之享,wu'xian'fei'zi'wei'zhi'xiang
无意苦争春,wu'yi'ku'zheng'chun
五月人倍忙,wu'yue'ren'bei'mang
无致书以观,wu'zhi'shu'yi'guan
溪深而鱼肥,xi'shen'er'yu'fei
下见小潭,xia'jian'xiao'tan
下者飘转沉塘坳,xia'zhe'piao'zhuan'chen'tang'ao
先达德隆望尊,xian'da'de'long'wang'zun
县官日有禀销之供,xian'guan'ri'you'bing'xiao'zhi'gong
闲静少言,xian'jing'shao'yan
闲来垂钓碧溪上,xian'lai'chui'diao'bi'xi'shang
衔觞赋诗,xian'shang'fu'shi
先生不知何许人也,xian'sheng'bu'zhi'he'xu'ren'ye
先天下之忧而忧,xian'tian'xia'zhi'you'er'you
鲜妍明媚,xian'yan'ming'mei
衔远山,xian'yuan'shan
相随饷田去,xiang'sui'xiang'tian'qu
笑从双脸生,xiao'cong'shuang'lian'sheng
小麦覆陇黄,xiao'mai'fu'long'huang
小石潭记,xiao'shi'tan'ji
偕数友出东直,xie'shu'you'chu'dong'zhi
辛苦遭逢起一经,xin'ku'zao'feng'qi'yi'jing
心乐之,xin'le'zhi
辛弃疾,xin'qi'ji
心远地自偏,xin'yuan'di'zi'pian
兴百姓苦,xing'bai'xing'ku
行路难,xing'lu'nan
醒能述其文者,xing'neng'shu'qi'wen'zhe
行深山巨谷中,xing'shen'shan'ju'gu'zhong
性嗜酒,xing'shi'jiu
行者休于树,xing'zhe'xiu'yu'shu
雪上空留马行处,xue'shang'kong'liu'ma'hang'chu
燕地寒,yan'di'han
宴酣之乐,yan'han'zhi'le
言和而色夷,yan'he'er'se'yi
晏如也,yan'ru'ye
晏殊,yan'shu
燕子来时新社,yan'zi'lai'shi'xin'she
腰白玉之环,yao'bai'yu'zhi'huan
叶底黄鹂一两声,ye'di'huang'li'yi'liang'sheng
野芳发而幽香,ye'fang'fa'er'you'xiang
夜来南风起,ye'lai'nan'feng'qi
烨然若神人,ye'ran'ruo'shen'ren
一百许里,yi'bai'xu'li
一碧万顷,yi'bi'wan'qing
亦不详其姓字,yi'bu'xiang'qi'xing'zi
意踌躇,yi'chou'chu
以此自终,yi'ci'zi'zhong
已而夕阳在山,yi'er'xi'yang'zai'shan
疑怪昨宵春梦好,yi'guai'zuo'xiao'chun'meng'hao
以乐其志,yi'le'qi'zhi
益慕圣贤之道,yi'mu'sheng'xian'zhi'dao
以其境过清,yi'qi'jing'guo'qing
以衾拥覆,yi'qin'yong'fu
佁然不动,yi'ran'bu'dong
一任群芳妒,yi'ren'qun'fang'du
已是黄昏独自愁,yi'shi'huang'hun'du'zi'chou
一食或尽粟一石,yi'shi'huo'jin'su'yi'dan
以是人多以书假余,yi'shi'ren'duo'yi'shu'jia'yu
亦时时有,yi'shi'shi'you
驿外断桥边,yi'wai'duan'qiao'bian
一望空阔,yi'wang'kong'kuo
噫微斯人,yi'wei'si'ren
弈者胜,yi'zhe'sheng
以中有足乐者,yi'zhong'you'zu'le'zhe
吟鞭东指即天涯,yin'bian'dong'zhi'ji'tian'ya
阴风怒号,yin'feng'nu'hao
饮酒其五,yin'jiu'qi'wu
饮少辄醉,yin'shao'zhe'zui
因思杜陵梦,yin'si'du'ling'meng
因以为号焉,yin'yi'wei'hao'yan
影布石上,ying'bu'shi'shang
媵人持汤沃灌,ying'ren'chi'tang'wo'guan
嘤嘤成韵,ying'ying'cheng'yun
有暗香盈袖,you'an'xiang'ying'xiu
右备容臭,you'bei'rong'xiu
忧谗畏讥,you'chan'wei'ji
又患无硕师名人与游,you'huan'wu'shuo'shi'ming'ren'yu'you
又恐琼楼玉宇,you'kong'qiong'lou'yu'yu
悠然见南山,you'ran'jian'nan'shan
悠然自得,you'ran'zi'de
游人去而禽鸟乐也,you'ren'qu'er'qin'niao'le'ye
游人虽未盛,you'ren'sui'wei'sheng
有时见日,you'shi'jian'ri
右手秉遗穗,you'shou'bing'yi'sui
有司业博士为之师,you'si'ye'bo'shi'wei'zhi'shi
