半衰期,ban'shuai'qi
聚四甲基对亚苯基硅氧烷,ju'si'jia'ji'dui'ya'ben'ji'gui'yang'wan
聚缩醛,ju'suo'quan
聚碳酸脂,ju'tan'suan'zhi
聚烯胺,ju'xi'an
聚酰亚胺,ju'xian'ya'an
聚氧化乙烯,ju'yang'hua'yi'xi
聚异丁烯,ju'yi'ding'xi
聚已二酰已二胺,ju'yi'er'xian'yi'er'an
聚乙炔,ju'yi'que
聚乙酸乙烯脂,ju'yi'suan'yi'xi'zhi
聚异戊二烯,ju'yi'wu'er'xi
聚乙烯,ju'yi'xi
聚乙烯醇,ju'yi'xi'chun
聚乙烯基甲基醚,ju'yi'xi'ji'jia'ji'mi
聚脂,ju'zhi
均方,jun'fang
均聚物,jun'ju'wu
抗拉强度,kang'la'qiang'du
莱氏体,lai'shi'ti
立构,li'gou
离心力,li'xin'li
链段,lian'duan
链节,lian'jie
连锁聚合反应,lian'suo'ju'he'fan'ying
链转移剂,lian'zhuan'yi'ji
茏蔽,long'bi
茏蔽效应,long'bi'xiao'ying
洛氏,luo'shi
氯丁二烯,lv'ding'er'xi
氯乙烯,lv'yi'xi
马来酸酐,ma'lai'suan'gan
马氏体,ma'shi'ti
弥散,mi'san
弥散强化,mi'san'qiang'hua
模孔,mo'kong
耐磨性,nai'mo'xing
挠曲,nao'qu
内聚能,nei'ju'neng
内旋转,nei'xuan'zhuan
黏度,nian'du
黏均,nian'jun
黏弹,nian'tan
黏弹性,nian'tan'xing
黏性,nian'xing
尿素,niao'su
牛顿流体,niu'dun'liu'ti
偶合终止,ou'he'zhong'zhi
爬杆效应,pa'gan'xiao'ying
偏二氯乙烯,pian'er'lv'yi'xi
偏氟乙烯,pian'fu'yi'xi
普适,pu'shi
器壁,qi'bi
歧化,qi'hua
歧化终止,qi'hua'zhong'zhi
嵌段,qian'duan
切变,qie'bian
切变模量,qie'bian'mo'liang
球晶,qiu'jing
取代基,qu'dai'ji
屈服点,qu'fu'dian
屈服强度,qu'fu'qiang'du
屈氏体,qu'shi'ti
全同,quan'tong
全同立构,quan'tong'li'gou
热塑性,re'su'xing
溶度,rong'du
溶度参数,rong'du'can'shu
柔顺性,rou'shun'xing
蠕变,ru'bian
时温,shi'wen
时温等效,shi'wen'deng'xiao
数均,shu'jun
衰减,shuai'jian
双节线,shuang'jie'xian
顺式,shun'shi
四氟乙烯,si'fu'yi'xi
塑化,su'hua
缩聚,suo'ju
索氏体,suo'shi'ti
碳链,tan'lian
碳链聚合物,tan'lian'ju'he'wu
铁素体,tie'su'ti
湍流,tuan'liu
位错,wei'cuo
未端距,wei'duan'ju
维氏,wei'shi
无规,wu'gui
无规立构,wu'gui'li'gou
细颈,xi'jing
稀溶液,xi'rong'ye
相分离,xiang'fen'li
相互作用参数,xiang'hu'zuo'yong'can'shu
向心力,xiang'xin'li
形核剂,xing'he'ji
序列结构,xu'lie'jie'gou
旋光,xuan'guang
旋节线,xuan'jie'xian
杨氏,yang'shi
杨氏模量,yang'shi'mo'liang
异丁烯,yi'ding'xi
乙炔,yi'que
乙酸乙烯脂,yi'suan'yi'xi'zhi
异戊二烯,yi'wu'er'xi
乙烯,yi'xi
乙烯醇,yi'xi'chun
乙烯基甲基醚,yi'xi'ji'jia'ji'mi
引发剂,yin'fa'ji
银纹,yin'wen
应力松弛,ying'li'song'chi
诱导分解,you'dao'fen'jie
元素有机聚合物,yuan'su'you'ji'ju'he'wu
杂链,za'lian
杂链聚合物,za'lian'ju'he'wu
增容剂,zeng'rong'ji
粘均,zhan'jun
粘流态,zhan'liu'tai
占有体积,zhan'you'ti'ji
脂肪族,zhi'fang'zu
支化,zhi'hua
支链,zhi'lian
织态,zhi'tai
重均,zhong'jun
逐步聚合反应,zhu'bu'ju'he'fan'ying
珠光体,zhu'guang'ti
柱晶,zhu'jing
主族,zhu'zu
转化率,zhuan'hua'lv
自由基,zi'you'ji
自由体积,zi'you'ti'ji
阻聚,zu'ju
阻聚剂,zu'ju'ji
最可几,zui'ke'ji
