安插铸道,an'cha'zhu'dao
多次灌模技术,duo'ci'guan'mo'ji'shu
多孔的,duo'kong'de
多孔喷头,duo'kong'pen'tou
多面嵌体,duo'mian'qian'ti
腭板,e'ban
腭杆,e'gan
腭隆突,e'long'tu
腭穹窿,e'qiong'long
腭小凹,e'xiao'ao
腭皱,e'zhou
二次上釉,er'ci'shang'you
二色性色盲,er'se'xing'se'mang
二氧化硅,er'yang'hua'gui
发育性的,fa'yu'xing'de
反回力卡环,fan'hui'li'ka'huan
反射比,fan'she'bi
反射系数,fan'she'xi'shu
凡士林,fan'shi'lin
返压性气孔,fan'ya'xing'qi'kong
防护罩,fang'hu'zhao
方石英,fang'shi'ying
非倒凹区,fei'dao'ao'qu
非刚性的,fei'gang'xing'de
非刚性附着体,fei'gang'xing'fu'zhuo'ti
非工作侧牙合干扰,fei'gong'zuo'ce'ya'he'gan'rao
非贵金属,fei'gui'jin'shu
非解剖式牙,fei'jie'pou'shi'ya
非金属全冠,fei'jin'shu'quan'guan
非压力印模,fei'ya'li'yin'mo
非正中牙合平衡,fei'zheng'zhong'ya'he'ping'heng
分层印模法,fen'ceng'yin'mo'fa
分光光谱测色仪,fen'guang'guang'pu'ce'se'yi
分离剂,fen'li'ji
分区印模法,fen'qu'yin'mo'fa
封闭,feng'bi
副承托区,fu'cheng'tuo'qu
覆盖螺丝,fu'gai'luo'si
覆盖义齿,fu'gai'yi'chi
复合固定桥,fu'he'gu'ding'qiao
复合树脂水门汀,fu'he'shu'zhi'shui'men'ting
复合树脂牙,fu'he'shu'zhi'ya
复合种植体,fu'he'zhong'zhi'ti
氟化物,fu'hua'wu
副嵴,fu'ji
浮石粉,fu'shi'fen
复位,fu'wei
复诊,fu'zhen
辅助临床检查,fu'zhu'lin'chuang'jian'cha
附着力,fu'zhuo'li
附着体,fu'zhuo'ti
附着体衔铁,fu'zhuo'ti'xian'tie
附着体义齿,fu'zhuo'ti'yi'chi
盖嵴部,gai'ji'bu
改良盖嵴式桥体,gai'liang'gai'ji'shi'qiao'ti
坩锅,gan'guo
杆卡式附着体,gan'ka'shi'fu'zhuo'ti
感染控制,gan'ran'kong'zhi
杆形卡环,gan'xing'ka'huan
感应电流,gan'ying'dian'liu
刚度,gang'du
刚性附着体,gang'xing'fu'zhuo'ti
刚性约束,gang'xing'yue'shu
高贵金属合金,gao'gui'jin'shu'he'jin
高膨胀超硬石膏,gao'peng'zhang'chao'ying'shi'gao
高嵌体,gao'qian'ti
高强度树脂,gao'qiang'du'shu'zhi
高熔合金铸造,gao'rong'he'jin'zhu'zao
个别托盘,ge'bie'tuo'pan
铬镍不锈钢,ge'nie'bu'xiu'gang
铬镍不锈钢丝,ge'nie'bu'xiu'gang'si
隔湿,ge'shi
哥特式弓,ge'te'shi'gong
根管内种植体,gen'guan'nei'zhong'zhi'ti
根帽,gen'mao
根面附着体,gen'mian'fu'zhuo'ti
工程塑料牙,gong'cheng'su'liao'ya
功能稳定性,gong'neng'wen'ding'xing
功能性修整,gong'neng'xing'xiu'zheng
工作代型,gong'zuo'dai'xing
工作模型,gong'zuo'mo'xing
构造,gou'zao
固定夹板,gu'ding'jia'ban
固定局部义齿,gu'ding'ju'bu'yi'chi
固定可摘联合固定桥,gu'ding'ke'zhai'lian'he'gu'ding'qiao
固定可摘修复体,gu'ding'ke'zhai'xiu'fu'ti
固定可摘义齿,gu'ding'ke'zhai'yi'chi
固定螺丝,gu'ding'luo'si
固定桥,gu'ding'qiao
固定式种植义齿,gu'ding'shi'zhong'zhi'yi'chi
钴铬铸造合金,gu'ge'zhu'zao'he'jin
固化,gu'hua
固化膨胀,gu'hua'peng'zhang
固化气孔,gu'hua'qi'kong
骨隆突,gu'long'tu
骨内种植体,gu'nei'zhong'zhi'ti
固溶体,gu'rong'ti
固位,gu'wei
固位体,gu'wei'ti
固位形,gu'wei'xing
固位指,gu'wei'zhi
刮匙,gua'chi
观测器,guan'ce'qi
观测线,guan'ce'xian
观察者,guan'cha'zhe
关节的,guan'jie'de
冠内附着体,guan'nei'fu'zhuo'ti
冠内固位体,guan'nei'gu'wei'ti
冠内支托,guan'nei'zhi'tuo
冠外附着体,guan'wai'fu'zhuo'ti
冠外固位体,guan'wai'gu'wei'ti
光感受体细胞,guang'gan'shou'ti'xi'bao
光固化基托材料,guang'gu'hua'ji'tuo'cai'liao
光谱,guang'pu
光源,guang'yuan
光泽,guang'ze
贵金属合金,gui'jin'shu'he'jin
硅树脂,gui'shu'zhi
硅酸钠结合包埋材料,gui'suan'na'jie'he'bao'mai'cai'liao
硅酸乙酯结合包埋材料,gui'suan'yi'zhi'jie'he'bao'mai'cai'liao
硅酮,gui'tong
硅烷偶联剂,gui'wan'ou'lian'ji
硅橡胶,gui'xiang'jiao
硅橡胶义齿软衬材料,gui'xiang'jiao'yi'chi'ruan'chen'cai'liao
硅橡胶印模材料,gui'xiang'jiao'yin'mu'cai'liao
硅藻土,gui'zao'tu
过渡性或临时修复,guo'du'xing'huo'lin'shi'xiu'fu
国际标准化组织,guo'ji'biao'zhun'hua'zu'zhi
国际牙科联盟,guo'ji'ya'ke'lian'meng
过滤抽吸机,guo'lv'chou'xi'ji
过凸的外形,guo'tu'de'wai'xing
焊接,han'jie
焊接包埋材料,han'jie'bao'mai'cai'liao
焊接程序,han'jie'cheng'xu
焊接的,han'jie'de
焊接复位记录,han'jie'fu'wei'ji'lu
焊接合金,han'jie'he'jin
焊媒,han'mei
合成橡胶,he'cheng'xiang'jiao
颌骨缺损的修复体,he'gu'que'sun'de'xiu'fu'ti
合金,he'jin
核孔种植体,he'kong'zhong'zhi'ti
颌面赝复学,he'mian'yan'fu'xue
颌舌骨线,he'she'gu'xian
颌位关系记录,he'wei'guan'xi'ji'lu
横切面,heng'qie'mian
横切片,heng'qie'pian
红绿色弱,hong'lv'se'ruo
后堤区,hou'di'qu
后腭杆,hou'e'gan
后退接触位,hou'tui'jie'chu'wei
互补色,hu'bu'se
糊剂,hu'ji
滑动摩擦力,hua'dong'mo'ca'li
化学加固,hua'xue'jia'gu
缓冲区,huan'chong'qu
环氧树脂,huan'yang'shu'zhi
挥发,hui'fa
会聚,hui'ju
回力卡环,hui'li'ka'huan
回切,hui'qie
回弹性,hui'tan'xing
回吸,hui'xi
混合,hun'he
混合支持式,hun'he'zhi'chi'shi
活动连接体,huo'dong'lian'jie'ti
火花蚀刻,huo'hua'shi'ke
活髓的,huo'sui'de
基板,ji'ban
基底结构,ji'di'jie'gou
肌功能整塑,ji'gong'neng'zheng'su
肌监测仪,ji'jian'ce'yi
即刻覆盖义齿,ji'ke'fu'gai'yi'chi
即刻全口义齿,ji'ke'quan'kou'yi'chi
即刻义齿,ji'ke'yi'chi
记录模型,ji'lu'mo'xing
肌肉接触位,ji'rou'jie'chu'wei
肌松弛咬合板,ji'song'chi'yao'he'ban
计算机辅助设计,ji'suan'ji'fu'zhu'she'ji
计算机辅助制作,ji'suan'ji'fu'zhu'zhi'zuo
基托,ji'tuo
基托蜡,ji'tuo'la
极限抗张强度,ji'xian'kang'zhang'qiang'du
极限强度,ji'xian'qiang'du
机械式附着体,ji'xie'shi'fu'zhuo'ti
机械性能,ji'xie'xing'neng
基牙,ji'ya
基牙条件,ji'ya'tiao'jian
肌正中,ji'zheng'zhong
基桩,ji'zhuang
基桩代型,ji'zhuang'dai'xing
夹板,jia'ban
颊侧翼缘区,jia'ce'yi'yuan'qu
加工,jia'gong
甲硅烷,jia'gui'wan
颊间隙,jia'jian'xi
颊面嵌体,jia'mian'qian'ti
颊棚区,jia'peng'qu
加热固化型基托材料,jia're'gu'hua'xing'ji'tuo'cai'liao
加热烘炉,jia're'hong'lu
颊系带,jia'xi'dai
颊牙合嵌体,jia'ya'he'qian'ti
简单牙合架,jian'dan'ya'he'jia
键角,jian'jiao
间接法,jian'jie'fa
间接固位,jian'jie'gu'wei
间接固位体,jian'jie'gu'wei'ti
贱金属,jian'jin'shu
贱金属为主的合金,jian'jin'shu'wei'zhu'de'he'jin
肩领,jian'ling
剪切应力,jian'qie'ying'li
减色体系,jian'se'ti'xi
肩台,jian'tai
尖窝咬合,jian'wo'yao'he
角度基桩,jiao'du'ji'zhuang
交互作用,jiao'hu'zuo'yong
胶凝作用,jiao'ning'zuo'yong
矫治器,jiao'zhi'qi
结构,jie'gou
结构因素,jie'gou'yin'su
结晶,jie'jing
结晶加固,jie'jing'jia'gu
界面破坏,jie'mian'po'huai
解剖式牙,jie'pou'shi'ya
解剖式印模,jie'pou'shi'yin'mo
金瓷结合部,jin'ci'jie'he'bu
金瓷修复体,jin'ci'xiu'fu'ti
劲度,jin'du
金焊合金,jin'han'he'jin
浸泡,jin'pao
浸润,jin'run
金属成品冠,jin'shu'cheng'pin'guan
金属箍,jin'shu'gu
金属基托,jin'shu'ji'tuo
金属烤瓷粉,jin'shu'kao'ci'fen
金属清洁剂,jin'shu'qing'jie'ji
金属全冠,jin'shu'quan'guan
金属牙,jin'shu'ya
金属氧化层,jin'shu'yang'hua'ceng
金属一树脂混合全冠,jin'shu'yi'shu'zhi'hun'he'quan'guan
金属种植体,jin'shu'zhong'zhi'ti
金属铸造合金,jin'shu'zhu'zao'he'jin
金属桩,jin'shu'zhuang
近中牙合嵌体,jin'zhong'ya'he'qian'ti
颈部,jing'bu
精度,jing'du
晶格结构,jing'ge'jie'gou
晶界,jing'jie
晶粒细化,jing'li'xi'hua
精密附着体,jing'mi'fu'zhuo'ti
晶相,jing'xiang
精修完成,jing'xiu'wan'cheng
鸠尾,jiu'wei
就位道,jiu'wei'dao
鸠尾型,jiu'wei'xing
聚氨基甲酸乙酯代型,ju'an'ji'jia'suan'yi'zhi'dai'xing
锯齿状器械,ju'chi'zhuang'qi'xie
聚合瓷,ju'he'ci
聚合瓷牙,ju'he'ci'ya
聚合的,ju'he'de
聚合粉,ju'he'fen
聚合体种植体,ju'he'ti'zhong'zhi'ti
咀嚼功能,ju'jue'gong'neng
咀嚼效率,ju'jue'xiao'lv
聚醚,ju'mi
聚羧酸锌,ju'suo'suan'xin
聚羧酸锌水门汀,ju'suo'suan'xin'shui'men'ting
聚乙烯,ju'yi'xi
聚乙烯乙二醇凝胶,ju'yi'xi'yi'er'chun'ning'jiao
聚酯成品冠,ju'zhi'cheng'pin'guan
卡环臂,ka'huan'bi
卡环肩部,ka'huan'jian'bu
卡环体,ka'huan'ti
卡环型固位体,ka'huan'xing'gu'wei'ti
开放式磁场,kai'fang'shi'ci'chang
开放逸气道,kai'fang'yi'qi'dao
开口式印模,kai'kou'shi'yin'mo
抗力形,kang'li'xing
烤瓷瓷料,kao'ci'ci'liao
烤瓷合金,kao'ci'he'jin
烤瓷炉,kao'ci'lu
烤瓷熔附金属冠桥,kao'ci'rong'fu'jin'shu'guan'qiao
烤瓷熔附金属用合金,kao'ci'rong'fu'jin'shu'yong'he'jin
可拆卸式种植义齿,ke'chai'xie'shi'zhong'zhi'yi'chi
髁道斜度,ke'dao'xie'du
可见光谱,ke'jian'guang'pu
克里斯坦森现象,ke'li'si'tan'sen'xian'xiang
刻压机,ke'ya'ji
可压缩性,ke'ya'suo'xing
可摘局部义齿,ke'zhai'ju'bu'yi'chi
可摘式恒久夹板,ke'zhai'shi'heng'jiu'jia'ban
可摘式种植义齿,ke'zhai'shi'zhong'zhi'yi'chi
空气喷灯,kong'qi'pen'deng
空气烧结,kong'qi'shao'jie
口内检查,kou'nei'jian'cha
口腔前庭,kou'qiang'qian'ting
口腔陶瓷材料,kou'qiang'tao'ci'cai'liao
口腔修复材料,kou'qiang'xiu'fu'cai'liao
口腔修复学,kou'qiang'xiu'fu'xue
口腔预备,kou'qiang'yu'bei
拉应力,la'ying'li
离心铸造,li'xin'zhu'zao
离心铸造机,li'xin'zhu'zao'ji
联合卡环,lian'he'ka'huan
联合印模,lian'he'yin'mo
连接体,lian'jie'ti
连接体位置,lian'jie'ti'wei'zhi
连续光谱,lian'xu'guang'pu
连续卡环,lian'xu'ka'huan
两相材料,liang'xiang'cai'liao
裂钻,lie'zuan
临床牙冠,lin'chuang'ya'guan
邻面接触,lin'mian'jie'chu
邻面接触区,lin'mian'jie'chu'qu
邻面预备,lin'mian'yu'bei
临时夹板,lin'shi'jia'ban
磷酸锌,lin'suan'xin
磷酸锌水门汀,lin'suan'xin'shui'men'ting
磷酸盐,lin'suan'yan
磷酸盐粘结剂包埋材料,lin'suan'yan'nian'jie'ji'bao'mai'cai'liao
邻牙合嵌体,lin'ya'he'qian'ti
邻轴沟的预备,lin'zhou'gou'de'yu'bei
领圈,ling'quan
领圈预备,ling'quan'yu'bei
六角转移器,liu'jiao'zhuan'yi'qi
卵圆形桥体,luan'yuan'xing'qiao'ti
轮形石,lun'xing'shi
螺栓,luo'shuan
螺旋充填器,luo'xuan'chong'tian'qi
麻醉剂,ma'zui'ji
盲端逸气道,mang'duan'yi'qi'dao
毛细管作用,mao'xi'guan'zuo'yong
美国牙科协会,mei'guo'ya'ke'xie'hui
煤气灯,mei'qi'deng
美学,mei'xue
孟塞尔颜色体系,meng'sai'er'yan'shai'ti'xi
明度,ming'du
摩擦力,mo'ca'li
末端板,mo'duan'ban
磨光面,mo'guang'mian
磨料,mo'liao
磨屑,mo'xie
模型,mo'xing
模型材料,mo'xing'cai'liao
模型清洁剂,mo'xing'qing'jie'ji
模型修整刀,mo'xing'xiu'zheng'dao
磨牙后垫,mo'ya'hou'dian
膜引导组织再生技术,mo'yin'dao'zu'zhi'zai'sheng'ji'shu
內冠聚合度,na'guan'ju'he'du
耐腐蚀性,nai'fu'shi'xing
耐火材料,nai'huo'cai'liao
耐火模型,nai'huo'mo'xing
奶油色的,nai'you'se'de
内聚力,nei'ju'li
内染色,nei'ran'se
内应力,nei'ying'li
粘附体,nian'fu'ti
粘合体,nian'he'ti
粘结,nian'jie
粘结材料,nian'jie'cai'liao
粘结促进剂,nian'jie'cu'jin'ji
粘结固定桥,nian'jie'gu'ding'qiao
粘结剂,nian'jie'ji
粘结剂破坏,nian'jie'ji'po'huai
粘结间隙,nian'jie'jian'xi
粘结角度,nian'jie'jiao'du
粘结力,nian'jie'li
粘结强度,nian'jie'qiang'du
粘结失败,nian'jie'shi'bai
粘结性树脂,nian'jie'xing'shu'zhi
粘结修复体,nian'jie'xiu'fu'ti
黏膜静止印模法,nian'mo'jing'zhi'yin'mo'fa
碾磨磨碎,nian'mo'mo'sui
黏膜运动式印模,nian'mo'yun'dong'shi'yin'mo
黏膜支持,nian'mo'zhi'chi
黏土,nian'tu
粘滞,nian'zhi
镍铬铸造金属,nie'ge'zhu'zao'jin'shu
镍钛形状记忆合金丝,nie'tai'xing'zhuang'ji'yi'he'jin'si
镊子,nie'zi
凝固,ning'gu
凝胶,ning'jiao
努氏硬度测量,nu'shi'ying'du'ce'liang
排列人工牙,pai'lie'ren'gong'ya
排气,pai'qi
抛光,pao'guang
抛光剂,pao'guang'ji
配色,pei'se
喷孔,pen'kong
喷气头,pen'qi'tou
喷砂,pen'sha
喷雾法,pen'wu'fa
硼砂,peng'sha
疲劳,pi'lao
平衡牙合,ping'heng'ya'he
平均值耠架,ping'jun'zhi'huo'jia
平面板,ping'mian'ban
气孔率,qi'kong'lv
前腭杆,qian'e'gan
潜没牙根覆盖义齿,qian'mei'ya'gen'fu'gai'yi'chi
前伸髁导斜度,qian'shen'ke'dao'xie'du
前伸牙合干扰,qian'shen'ya'he'gan'rao
前伸牙合平衡,qian'shen'ya'he'ping'heng
嵌体,qian'ti
嵌体蜡,qian'ti'la
前庭沟加深,qian'ting'gou'jia'shen
前牙拾垫,qian'ya'shi'dian
钳子,qian'zi
羟基磷灰石,qiang'ji'lin'hui'shi
桥体,qiao'ti
切道斜度,qie'dao'xie'du
切导斜度,qie'dao'xie'du
切端瓷,qie'duan'ci
切断面,qie'duan'mian
切沟预备,qie'gou'yu'bei
切迹,qie'ji
切削和研磨材料,qie'xiao'he'yan'mo'cai'liao
切牙乳头,qie'ya'ru'tou
切缘预备,qie'yuan'yu'bei
切支托,qie'zhi'tuo
亲和力,qin'he'li
氢氟酸,qing'fu'suan
氰基丙烯酸酯,qing'ji'bing'xi'suan'zhi
琼脂,qiong'zhi
琼脂印模材料,qiong'zhi'yin'mu'cai'liao
屈矩,qu'ju
屈应力,qu'ying'li
全瓷材料,quan'ci'cai'liao
全瓷底冠材料,quan'ci'di'guan'cai'liao
全瓷固定桥,quan'ci'gu'ding'qiao
全瓷冠,quan'ci'guan
全瓷饰面瓷粉,quan'ci'shi'mian'ci'fen
圈卡,quan'ka
全可调节牙合架,quan'ke'tiao'jie'ya'he'jia
全口义齿,quan'kou'yi'chi
全色盲,quan'se'mang
颧突,quan'tu
确定颌位关系,que'ding'he'wei'guan'xi
染料,ran'liao
热回火,re'hui'huo
热膨胀,re'peng'zhang
热膨胀系数,re'peng'zhang'xi'shu
热收缩,re'shou'suo
热塑性的,re'su'xing'de
热塑性塑料,re'su'xing'su'liao
热压法,re'ya'fa
热压全瓷材料,re'ya'quan'ci'cai'liao
热源,re'yuan
热中心,re'zhong'xin
韧度,ren'du
人工器官,ren'gong'qi'guan
人工牙,ren'gong'ya
人工装置,ren'gong'zhuang'zhi
人造石,ren'zao'shi
人造石代型,ren'zao'shi'dai'xing
熔点,rong'dian
溶剂,rong'ji
熔模回切技术,rong'mo'hui'qie'ji'shu
乳白色,ru'bai'se
蠕变,ru'bian
软膏刀,ruan'gao'dao
软化温度,ruan'hua'wen'du
软弹性咬合板,ruan'tan'xing'yao'he'ban
赛珞璐冠,sai'luo'lu'guan
三臂卡环,san'bi'ka'huan
三刺激值测色计,san'ci'ji'zhi'ce'se'ji
三角嵴,san'jiao'ji
三角架,san'jiao'jia
三原色,san'yuan'se
三元色体系,san'yuan'se'ti'xi
色饱和度,se'bao'he'du
色彩校正,se'cai'jiao'zheng
色调,se'diao
色盲,se'mang
色弱,se'ruo
色素,se'su
色温,se'wen
上部结构,shang'bu'jie'gou
上颌结节,shang'he'jie'jie
上颌硬区,shang'he'ying'qu
上牙合架,shang'ya'he'jia
上牙合架检查牙合平衡,shang'ya'he'jia'jian'cha'ya'he'ping'heng
上釉,shang'you
烧结,shao'jie
烧结全瓷材料,shao'jie'quan'ci'cai'liao
设备,she'bei
舌侧翼缘区,she'ce'yi'yuan'qu
舌杆,she'gan
社会因素,she'hui'yin'su
设计,she'ji
舌隆突支托,she'long'tu'zhi'tuo
舌面预备,she'mian'yu'bei
舌系带,she'xi'dai
舌下腺,she'xia'xian
射线不可透过的,she'xian'bu'ke'tou'guo'de
射线可穿透的,she'xian'ke'chuan'tou'de
舌牙合嵌体,she'ya'he'qian'ti
舌支托,she'zhi'tuo
渗透玻璃,shen'tou'bo'li
渗透陶瓷冠,shen'tou'tao'ci'guan
渗透性,shen'tou'xing
生物力学,sheng'wu'li'xue
生物陶瓷涂层种植体,sheng'wu'tao'ci'tu'ceng'zhong'zhi'ti
生物相容性,sheng'wu'xiang'rong'xing
剩余牙槽嵴,sheng'yu'ya'cao'ji
剩余牙槽嵴的吸收,sheng'yu'ya'cao'ji'de'xi'shou
试戴,shi'dai
石膏,shi'gao
石膏产品,shi'gao'chan'pin
石膏代型,shi'gao'dai'xing
石膏结合包埋材料,shi'gao'jie'he'bao'mai'cai'liao
石膏模型,shi'gao'mo'xing
适合性,shi'he'xing
视幻觉原理,shi'huan'jue'yuan'li
失蜡,shi'la
失蜡法,shi'la'fa
失蜡铸造法,shi'la'zhu'zao'fa
石棉,shi'mian
试烧结,shi'shao'jie
室温固化型基托材料,shi'wen'gu'hua'xing'ji'tuo'cai'liao
食物嵌塞,shi'wu'qian'sai
实验室检查,shi'yan'shi'jian'cha
石英,shi'ying
使用和保养,shi'yong'he'bao'yang
手术刀,shou'shu'dao
收缩,shou'suo
收缩气孔,shou'suo'qi'kong
熟石膏,shu'shi'gao
树脂粘结固定义齿,shu'zhi'nian'jie'gu'ding'yi'chi
树脂粘结修复体,shu'zhi'nian'jie'xiu'fu'ti
栓道,shuan'dao
栓道式,shuan'dao'shi
栓体,shuan'ti
栓体栓道,shuan'ti'shuan'dao
双臂卡环,shuang'bi'ka'huan
双端固定桥,shuang'duan'gu'ding'qiao
双面嵌体,shuang'mian'qian'ti
双目显微镜,shuang'mu'xian'wei'jing
水门汀,shui'men'ting
司比曲线,si'bi'qu'xian
四环素着色,si'huan'su'zhuo'se
松动度,song'dong'du
松动牙,song'dong'ya
松软牙槽嵴,song'ruan'ya'cao'ji
塑料基托材料,su'liao'ji'tuo'cai'liao
塑料牙,su'liao'ya
塑料牙列,su'liao'ya'lie
酸蚀,suan'shi
酸蚀技术,suan'shi'ji'shu
酸蚀凝胶,suan'shi'ning'jiao
酸蚀液,suan'shi'ye
锁结,suo'jie
钛合金,tai'he'jin
钛及钛合金铸造包埋材料,tai'ji'tai'he'jin'zhu'zao'bao'mai'cai'liao
碳化,tan'hua
弹性的,tan'xing'de
弹性附着体,tan'xing'fu'zhuo'ti
弹性极限,tan'xing'ji'xian
弹性模量,tan'xing'mo'liang
弹性体,tan'xing'ti
探针,tan'zhen
陶瓷,tao'ci
陶瓷摄子,tao'ci'she'zi
陶瓷牙,tao'ci'ya
陶瓷种植体,tao'ci'zhong'zhi'ti
陶瓷铸块,tao'ci'zhu'kuai
套筒,tao'tong
套筒冠,tao'tong'guan
套筒冠固位体,tao'tong'guan'gu'wei'ti
套筒冠义齿,tao'tong'guan'yi'chi
体部,ti'bu
体瓷,ti'ci
体积稳定性,ti'ji'wen'ding'xing
填倒凹,tian'dao'ao
填压槌,tian'ya'chui
调拌,tiao'ban
调拌刀,tiao'ban'dao
调拌器,tiao'ban'qi
调牙合,tiao'ya'he
贴面,tie'mian
贴面修复,tie'mian'xiu'fu
铁氧体,tie'yang'ti
同色异谱,tong'se'yi'pu
透过性,tou'guo'xing
透明的,tou'ming'de
透明度,tou'ming'du
凸度,tu'du
凸面,tu'mian
褪色,tui'shai
推型卡环,tui'xing'ka'huan
托架,tuo'jia
脱矿,tuo'kuang
驼毛刷,tuo'mao'shua
托盘,tuo'pan
脱色,tuo'se
外形高点,wai'xing'gao'dian
外形过凸的,wai'xing'guo'tu'de
外形轮廓,wai'xing'lun'kuo
外形修整,wai'xing'xiu'zheng
弯制法制作支架,wan'zhi'fa'zhi'zuo'zhi'jia
王水,wang'shui
威尔逊曲线,wei'er'xun'qu'xian
微孔,wei'kong
微裂纹,wei'lie'wen
围模,wei'mo
微渗漏,wei'shen'lou
卫生螺丝,wei'sheng'luo'si
卫生帽,wei'sheng'mao
卫生桥体,wei'sheng'qiao'ti
卫生设备,wei'sheng'she'bei
维氏硬度,wei'shi'ying'du
微突,wei'tu
稳定性,wen'ding'xing
无金属领圈的烤瓷修复体,wu'jin'shu'ling'quan'de'kao'ci'xiu'fu'ti
污染物,wu'ran'wu
无牙颌,wu'ya'he
