白噪,bai'zao
高阻盖层,gao'zu'gai'ceng
高阻区,gao'zu'qu
高阻区域,gao'zu'qu'yu
高阻异常,gao'zu'yi'chang
高阻异常带,gao'zu'yi'chang'dai
工程勘探,gong'cheng'kan'tan
共反射面,gong'fan'she'mian
共炮点,gong'pao'dian
共中心点,gong'zhong'xin'dian
工作频率,gong'zuo'pin'lv
工作区,gong'zuo'qu
构造破碎带,gou'zao'po'sui'dai
固定点源,gu'ding'dian'yuan
固定点源测深装置,gu'ding'dian'yuan'ce'shen'zhuang'zhi
固定点源装置,gu'ding'dian'yuan'zhuang'zhi
孤石,gu'shi
管线报告,guan'xian'bao'gao
管线种类,guan'xian'zhong'lei
光电波,guang'dian'bo
归一化,gui'yi'hua
海上鸣震,hai'shang'ming'zhen
海上物探,hai'shang'wu'tan
海洋物探,hai'yang'wu'tan
含水丰富,han'shui'feng'fu
核磁共振,he'ci'gong'zhen
河道断面,he'dao'duan'mian
横波,heng'bo
横穿,heng'chuan
横向距离,heng'xiang'ju'li
后一档,hou'yi'dang
滑动面,hua'dong'mian
滑动平均,hua'dong'ping'jun
滑坡,hua'po
滑坡带,hua'po'dai
滑坡面,hua'po'mian
滑移,hua'yi
灰度图,hui'du'tu
畸变,ji'bian
激波,ji'bo
激电异常,ji'dian'yi'chang
激发极化法,ji'fa'ji'hua'fa
计费单位,ji'fei'dan'wei
几何形态,ji'he'xing'tai
集水区,ji'shui'qu
积水区,ji'shui'qu
机械波,ji'xie'bo
极性,ji'xing
极性相反,ji'xing'xiang'fan
激震方式,ji'zhen'fang'shi
激震源,ji'zhen'yuan
检波器,jian'bo'qi
键盘触发,jian'pan'chu'fa
剪切波,jian'qie'bo
降噪,jiang'zao
交变场,jiao'bian'chang
交流激电法,jiao'liu'ji'dian'fa
接地电阻,jie'di'dian'zu
介电常数,jie'dian'chang'shu
节理裂隙,jie'li'lie'xi
解释图,jie'shi'tu
接收天线,jie'shou'tian'xian
介质,jie'zhi
近场源,jin'chang'yuan
近场源装置,jin'chang'yuan'zhuang'zhi
近地表,jin'di'biao
近炮,jin'pao
近炮点,jin'pao'dian
金属管道,jin'shu'guan'dao
井壁取芯,jing'bi'qu'xin
井径,jing'jing
静态时移,jing'tai'shi'yi
静态效应,jing'tai'xiao'ying
井温,jing'wen
静校正,jing'xiao'zheng
井中物探,jing'zhong'wu'tan
喀斯特,ka'si'te
喀斯特地貌,ka'si'te'di'mao
勘查地球物理,kan'cha'di'qiu'wu'li
勘查区,kan'cha'qu
可见光,ke'jian'guang
可控源,ke'kong'yuan
克希霍夫,ke'xi'huo'fu
克希霍夫积分,ke'xi'huo'fu'ji'fen
空洞,kong'dong
空间分布,kong'jian'fen'bu
空间域,kong'jian'yu
孔内电视,kong'nei'dian'shi
孔内摄影,kong'nei'she'ying
孔中电阻率,kong'zhong'dian'zu'lv
孔中电阻率法,kong'zhong'dian'zu'lv'fa
孔中雷达,kong'zhong'lei'da
孔中物探,kong'zhong'wu'tan
跨孔,kua'kong
跨孔探测,kua'kong'tan'ce
跨孔弹性波,kua'kong'tan'xing'bo
矿化体,kuang'hua'ti
勒夫波,le'fu'bo
雷达测线,lei'da'ce'xian
雷达剖面,lei'da'pou'mian
理论模型,li'lun'mo'xing
离散化,li'san'hua
离散信号,li'san'xin'hao
理想震源,li'xiang'zhen'yuan
联合剖面法,lian'he'pou'mian'fa
联剖,lian'pou
联剖法,lian'pou'fa
良导体,liang'dao'ti
漏水点探测,lou'shui'dian'tan'ce
陆地物探,lu'di'wu'tan
露头测定法,lu'tou'ce'ding'fa
落重震源,luo'zhong'zhen'yuan
滤波,lv'bo
埋深,mai'shen
漫反射,man'fan'she
盲探,mang'tan
盲探管线,mang'tan'guan'xian
密实度,mi'shi'du
面波,mian'bo
面波点,mian'bo'dian
模数转换,mo'shu'zhuan'huan
拟断面图,ni'duan'mian'tu
拟选用,ni'xuan'yong
粘滞性,nian'zhi'xing
扭转向,niu'zhuan'xiang
扭转向强迫振动,niu'zhuan'xiang'qiang'po'zhen'dong
暖气管道,nuan'qi'guan'dao
偶极偶极装置,ou'ji'ou'ji'zhuang'zhi
偶极装置,ou'ji'zhuang'zhi
排列,pai'lie
排列长度,pai'lie'chang'du
炮点,pao'dian
炮检距,pao'jian'ju
抛物线,pao'wu'xian
膨胀,peng'zhang
膨胀波,peng'zhang'bo
偏移波,pian'yi'bo
偏移成像,pian'yi'cheng'xiang
偏移距,pian'yi'ju
偏振,pian'zhen
偏振光,pian'zhen'guang
偏振现象,pian'zhen'xian'xiang
频档,pin'dang
频率域,pin'lv'yu
频谱图,pin'pu'tu
频散曲线,pin'san'qu'xian
屏蔽天线,ping'bi'tian'xian
破碎带,po'sui'dai
剖面法,pou'mian'fa
剖面图,pou'mian'tu
浅层地震,qian'ceng'di'zhen
浅层地震反射波,qian'ceng'di'zhen'fan'she'bo
浅层地震反射波法,qian'ceng'di'zhen'fan'she'bo'fa
浅层地震折射波,qian'ceng'di'zhen'zhe'she'bo
浅层地震折射波法,qian'ceng'di'zhen'zhe'she'bo'fa
浅层反射,qian'ceng'fan'she
浅层反射波,qian'ceng'fan'she'bo
浅层反射波法,qian'ceng'fan'she'bo'fa
浅层折射,qian'ceng'zhe'she
浅层折射波,qian'ceng'zhe'she'bo
浅层折射波法,qian'ceng'zhe'she'bo'fa
前一档,qian'yi'dang
强迫振动,qiang'po'zhen'dong
敲击,qiao'ji
倾角,qing'jiao
去零漂,qu'ling'piao
取芯,qu'xin
绕射波,rao'she'bo
绕射曲线,rao'she'qu'xian
热效应,re'xiao'ying
人工场,ren'gong'chang
人工场源,ren'gong'chang'yuan
人工触发,ren'gong'chu'fa
人工触发方式,ren'gong'chu'fa'fang'shi
人工清除,ren'gong'qing'chu
人工修路,ren'gong'xiu'lu
溶槽,rong'cao
溶洞,rong'dong
溶沟,rong'gou
溶蚀带,rong'shi'dai
溶蚀发育,rong'shi'fa'yu
软弱夹层,ruan'ruo'jia'ceng
瑞雷波,rui'lei'bo
瑞利波,rui'li'bo
三分量,san'fen'liang
三分量检波器,san'fen'liang'jian'bo'qi
三极法,san'ji'fa
散射,san'she
上下水,shang'xia'shui
射线对,she'xian'dui
甚低频,shen'di'pin
甚低频大地,shen'di'pin'da'di
甚低频大地法,shen'di'pin'da'di'fa
甚低频电磁法,shen'di'pin'dian'ci'fa
声波,sheng'bo
声频大地,sheng'pin'da'di
声频大地法,sheng'pin'da'di'fa
蚀变类型,shi'bian'lei'xing
时窗,shi'chuang
视电阻率,shi'dian'zu'lv
视极化率,shi'ji'hua'lv
时间触发,shi'jian'chu'fa
时间触发方式,shi'jian'chu'fa'fang'shi
时间窗口,shi'jian'chuang'kou
时间域,shi'jian'yu
时距曲线,shi'ju'qu'xian
试坑,shi'keng
试坑开挖,shi'keng'kai'wa
拾取初至,shi'qu'chu'zhi
拾取初至波,shi'qu'chu'zhi'bo
视速度,shi'su'du
手动触发,shou'dong'chu'fa
手动触发方式,shou'dong'chu'fa'fang'shi
收发距,shou'fa'ju
收费基价,shou'fei'ji'jia
收敛,shou'lian
数据转换,shu'ju'zhuan'huan
输入道,shu'ru'dao
数字化,shu'zi'hua
衰减,shuai'jian
衰减系数,shuai'jian'xi'shu
双程,shuang'cheng
双程时间,shuang'cheng'shi'jian
双程走时,shuang'cheng'zou'shi
双曲线,shuang'qu'xian
水底布点,shui'di'bu'dian
水面布点,shui'mian'bu'dian
水平回转向,shui'ping'hui'zhuan'xiang
水平回转向强迫振动,shui'ping'hui'zhuan'xiang'qiang'po'zhen'dong
水平向,shui'ping'xiang
水上物探,shui'shang'wu'tan
水文测井,shui'wen'ce'jing
瞬变电磁,shun'bian'dian'ci
顺流,shun'liu
斯通利波,si'tong'li'bo
速度谱,su'du'pu
台班,tai'ban
探测深度,tan'ce'shen'du
探地雷达,tan'di'lei'da
弹性波,tan'xing'bo
弹性介质,tan'xing'jie'zhi
天然场源,tian'ran'chang'yuan
天线距,tian'xian'ju
调零,tiao'ling
调零值,tiao'ling'zhi
调整系数,tiao'zheng'xi'shu
通视条件,tong'shi'tiao'jian
同相轴,tong'xiang'zhou
通行困难,tong'xing'kun'nan
土洞,tu'dong
土石方,tu'shi'fang
土石方量,tu'shi'fang'liang
土石分层,tu'shi'fen'ceng
土岩分界面,tu'yan'fen'jie'mian
土岩界面,tu'yan'jie'mian
完整性,wan'zheng'xing
维纳滤波,wei'na'lv'bo
维纳滤波器,wei'na'lv'bo'qi
微重力勘探,wei'zhong'li'kan'tan
稳定性,wen'ding'xing
温纳,wen'na
温纳法,wen'na'fa
温纳装置,wen'na'zhuang'zhi
稳态面波,wen'tai'mian'bo
物探测线,wu'tan'ce'xian
物探解释,wu'tan'jie'shi
物探勘查,wu'tan'kan'cha
物探线,wu'tan'xian
物探异常,wu'tan'yi'chang
无线电波,wu'xian'dian'bo
无限远,wu'xian'yuan
吸波材料,xi'bo'cai'liao
陷波,xian'bo
相干性,xiang'gan'xing
相关分析,xiang'guan'fen'xi
相位,xiang'wei
小波,xiao'bo
小波变换,xiao'bo'bian'huan
消除毛刺,xiao'chu'mao'ci
小应变,xiao'ying'bian
谐波,xie'bo
泄露探测,xie'lou'tan'ce
信号发生器,xin'hao'fa'sheng'qi
信号增益,xin'hao'zeng'yi
压缩波,ya'suo'bo
岩块,yan'kuai
岩矿石,yan'kuang'shi
岩溶区,yan'rong'qu
衍射,yan'she
岩石波速,yan'shi'bo'su
岩体,yan'ti
岩体波速,yan'ti'bo'su
岩体破碎,yan'ti'po'sui
野外观测系统,ye'wai'guan'ce'xi'tong
野外静校正,ye'wai'jing'xiao'zheng
异常形态,yi'chang'xing'tai
一致性检查,yi'zhi'xing'jian'cha
隐蔽程度,yin'bi'cheng'du
隐伏矿体,yin'fu'kuang'ti
窨井,yin'jing
引力波,yin'li'bo
音频大地,yin'pin'da'di
音频大地法,yin'pin'da'di'fa
应立波,ying'li'bo
应用地球物理,ying'yong'di'qiu'wu'li
游离辐射,you'li'fu'she
游离化,you'li'hua
右手螺旋,you'shou'luo'xuan
右手螺旋定则,you'shou'luo'xuan'ding'ze
右手螺旋法则,you'shou'luo'xuan'fa'ze
有限差分,you'xian'cha'fen
预测步长,yu'ce'bu'chang
预处理,yu'chu'li
远炮,yuan'pao
远炮点,yuan'pao'dian
增益,zeng'yi
炸药震源,zha'yao'zhen'yuan
掌子面,zhang'zi'mian
沼泽区,zhao'ze'qu
褶积,zhe'ji
折射,zhe'she
折射法,zhe'she'fa
振动波,zhen'dong'bo
振幅,zhen'fu
震源,zhen'yuan
正演,zheng'yan
正演合成,zheng'yan'he'cheng
植被发育,zhi'bei'fa'yu
直达波,zhi'da'bo
直流激电法,zhi'liu'ji'dian'fa
重磁电震,zhong'ci'dian'zhen
中间梯度,zhong'jian'ti'du
中间梯度装置,zhong'jian'ti'du'zhuang'zhi
重力,zhong'li
重力测线,zhong'li'ce'xian
重力勘探,zhong'li'kan'tan
重力仪,zhong'li'yi
重力仪器,zhong'li'yi'qi
中炮,zhong'pao
中炮点,zhong'pao'dian
中心频率,zhong'xin'pin'lv
中值滤波,zhong'zhi'lv'bo
主机,zhu'ji
桩号,zhuang'hao
子波,zi'bo
子波处理,zi'bo'chu'li
自电,zi'dian
自动触发,zi'dong'chu'fa
自然场,zi'ran'chang
自相关,zi'xiang'guan
自旋,zi'xuan
自由振动,zi'you'zhen'dong
纵波,zong'bo
总方量,zong'fang'liang
综合解释,zong'he'jie'shi
走向,zou'xiang
组日,zu'ri
钻孔波速测试,zuan'kong'bo'su'ce'shi
