保赤新书,bao'chi'xin'shu
庞安时,pang'an'shi
彭胜权,peng'sheng'quan
片玉痘疹,pian'yu'dou'zhen
片玉心书,pian'yu'xin'shu
蒲辅周,pu'fu'zhou
普济方,pu'ji'fang
齐德之,qi'de'zhi
奇经八脉考,qi'jing'ba'mai'kao
齐仲甫,qi'zhong'fu
千金要方,qian'jin'yao'fang
千金翼方,qian'jin'yi'fang
钱秀昌,qian'xiu'chang
钱乙,qian'yi
钱仲阳,qian'zhong'yang
秦昌遇,qin'chang'yu
秦景明,qin'jing'ming
全幼心鉴,quan'you'xin'jian
任继学,ren'ji'xue
儒门事亲,ru'men'shi'qin
阮岩,ruan'yan
三消论,san'xiao'lun
伤寒标本心法类萃,shang'han'biao'ben'xin'fa'lei'cui
伤寒论纲目,shang'han'lun'gang'mu
伤寒论浅注补正,shang'han'lun'qian'zhu'bu'zheng
伤寒瘟疫条辨,shang'han'wen'yi'tiao'bian
伤寒直格,shang'han'zhi'ge
伤寒卒病论,shang'han'zu'bing'lun
伤科补要,shang'ke'bu'yao
伤科汇纂,shang'ke'hui'zuan
伤暑全书,shang'shu'quan'shu
尚天裕,shang'tian'yu
沈汲门,shen'ji'men
沈金鳌,shen'jin'ao
谌宁生,shen'ning'sheng
神农本草经,shen'nong'ben'cao'jing
沈芊绿,shen'qian'lv
沈氏尊生书,shen'shi'zun'sheng'shu
沈尧封,shen'yao'feng
沈再平,shen'zai'ping
圣济总录,sheng'ji'zong'lu
十产论,shi'chan'lun
施今墨,shi'jin'mo
世医得效方,shi'yi'de'xiao'fang
是斋百一选方,shi'zhai'bai'yi'xuan'fang
寿世保元,shou'shi'bao'yuan
宋慈,song'ci
宋惠父,song'hui'fu
苏敬,su'jing
苏颂,su'song
素问,su'wen
素问病机气宜保命集,su'wen'bing'ji'qi'yi'bao'ming'ji
素问玄机原病式,su'wen'xuan'ji'yuan'bing'shi
素问要旨论,su'wen'yao'zhi'lun
孙思邈,sun'si'miao
孙真人,sun'zhen'ren
胎产心法,tai'chan'xin'fa
太平惠民和剂局方,tai'ping'hui'min'he'ji'ju'fang
太平圣惠方,tai'ping'sheng'hui'fang
唐本草,tang'ben'cao
唐步琪,tang'bu'qi
唐容川,tang'rong'chuan
唐宗海,tang'zong'hai
陶弘景,tao'hong'jing
天病论,tian'bing'lun
推求师意,tui'qiu'shi'yi
退思庐医书,tui'si'lu'yi'shu
外科传薪集,wai'ke'chuan'xin'ji
外科精义,wai'ke'jing'yi
外科理例,wai'ke'li'li
外科证治全生集,wai'ke'zheng'zhi'quan'sheng'ji
外科正宗,wai'ke'zheng'zong
外台秘要,wai'tai'mi'yao
万密斋,wan'mi'zhai
万全,wan'quan
汪逢春,wang'feng'chun
王付,wang'fu
王好古,wang'hao'gu
王洪图,wang'hong'tu
王怀隐,wang'huai'yin
汪机,wang'ji
王进之,wang'jin'zhi
王肯堂,wang'ken'tang
王孟英,wang'meng'ying
王冕之,wang'mian'zhi
王清任,wang'qing'ren
汪省之,wang'sheng'zhi
王士雄,wang'shi'xiong
王叔和,wang'shu'he
王焘,wang'tao
王维德,wang'wei'de
王勋臣,wang'xun'chen
卫生家宝产科备要,wei'sheng'jia'bao'chan'ke'bei'yao
危亦林,wei'yi'lin
温热论,wen're'lun
温疫论,wen'yi'lun
吴安业,wu'an'ye
吴鞠通,wu'ju'tong
吴佩衡,wu'pei'heng
吴谦,wu'qian
吴尚先,wu'shang'xian
吴师机,wu'shi'ji
武叔卿,wu'shu'qing
吴塘,wu'tang
吴文吉,wu'wen'ji
吴又可,wu'you'ke
吴有性,wu'you'xing
武之望,wu'zhi'wang
洗冤集录,xi'yuan'ji'lu
息园医隐记,xi'yuan'yi'yin'ji
夏禹铸,xia'yu'zhu
现代医案选,xian'dai'yi'an'xuan
仙授理伤续断秘方,xian'shou'li'shang'xu'duan'mi'fang
小儿斑疹备急方论,xiao'er'ban'zhen'bei'ji'fang'lun
小儿病源方论,xiao'er'bing'yuan'fang'lun
小儿痘疹方论,xiao'er'dou'zhen'fang'lun
小儿卫生总微论方,xiao'er'wei'sheng'zong'wei'lun'fang
小儿药证直诀,xiao'er'yao'zheng'zhi'jue
萧方骏,xiao'fang'jun
萧龙友,xiao'long'you
肖慎斋,xiao'shen'zhai
谢玉琼,xie'yu'qiong
新修本草,xin'xiu'ben'cao
熊曼琪,xiong'man'qi
袖珍小儿方,xiu'zhen'xiao'er'fang
徐大椿,xu'da'chun
徐灵胎,xu'ling'tai
续名医类案,xu'ming'yi'lei'an
徐用宣,xu'yong'xuan
徐之才,xu'zhi'cai
禤国维,xuan'guo'wei
宣明论方,xuan'ming'lun'fang
薛己,xue'ji
薛铠,xue'kai
薛生白,xue'sheng'bai
薛新甫,xue'xin'fu
薛轩,xue'xuan
薛雪,xue'xue
血证论,xue'zheng'lun
薛仲昂,xue'zhong'ang
阎诚斋,yan'cheng'zhai
阎纯玺,yan'chun'xi
严鸿志,yan'hong'zhi
阎季忠,yan'ji'zhong
杨康候,yang'kang'hou
疡科纲要,yang'ke'gang'yao
疡科心得集,yang'ke'xin'de'ji
杨栗山,yang'li'shan
杨璇,yang'xuan
杨玉衡,yang'yu'heng
杨子健,yang'zi'jian
要药分剂,yao'yao'fen'ji
药注难经,yao'zhu'nan'jing
叶桂,ye'gui
叶天士,ye'tian'shi
医案,yi'an
医碥,yi'bian
医方,yi'fang
医话,yi'hua
医林改错,yi'lin'gai'cuo
医门法律,yi'men'fa'lv
易水学派,yi'shui'xue'pai
医说,yi'shuo
医学见能,yi'xue'jian'neng
医学启源,yi'xue'qi'yuan
医学衷中参西录,yi'xue'zhong'zhong'can'xi'lu
医易通说,yi'yi'tong'shuo
医宗金鉴,yi'zong'jin'jian
婴童百问,ying'tong'bai'wen
用药式,yong'yao'shi
幼科发挥,you'ke'fa'hui
幼科释迷,you'ke'shi'mi
幼科铁镜,you'ke'tie'jing
幼幼集成,you'you'ji'cheng
幼幼新书,you'you'xin'shu
喻昌,yu'chang
喻嘉言,yu'jia'yan
余景和,yu'jing'he
俞茂鲲,yu'mao'kun
余师愚,yu'shi'yu
余听鸿,yu'ting'hong
寓意草,yu'yi'cao
育婴家秘,yu'ying'jia'mi
岳美中,yue'mei'zhong
恽树珏,yun'shu'jue
恽铁樵,yun'tie'qiao
杂病源流犀烛,za'bing'yuan'liu'xi'zhu
昝殷,zan'yin
脏腑标本寒热虚实,zang'fu'biao'ben'han're'xu'shi
詹宇坚,zhan'yu'jian
张步桃,zhang'bu'tao
张从正,zhang'cong'zheng
张戴人,zhang'dai'ren
张风逵,zhang'feng'kui
张鹤腾,zhang'he'teng
张家维,zhang'jia'wei
张介宾,zhang'jie'bin
张洁古,zhang'jie'gu
张景岳,zhang'jing'yue
张山雷,zhang'shan'lei
张少珍,zhang'shao'zhen
张寿甫,zhang'shou'fu
张寿颐,zhang'shou'yi
张司农,zhang'si'nong
张锡纯,zhang'xi'chun
张琰,zhang'yan
张元素,zhang'yuan'su
张赞臣,zhang'zan'chen
张子和,zhang'zi'he
赵开美,zhao'kai'mei
赵绍琴,zhao'shao'qin
赵献可,zhao'xian'ke
赵养葵,zhao'yang'kui
珍珠囊药性赋,zhen'zhu'nang'yao'xing'fu
整理中国医药学意见书,zheng'li'zhong'guo'yi'yao'xue'yi'jian'shu
郑梅涧,zheng'mei'jian
郑钦安,zheng'qin'an
郑寿全,zheng'shou'quan
症因脉治,zheng'yin'mai'zhi
证治要诀,zheng'zhi'yao'jue
证治要诀类方,zheng'zhi'yao'jue'lei'fang
种痘心法,zhong'dou'xin'fa
种痘新书,zhong'dou'xin'shu
中西汇通医经精义,zhong'xi'hui'tong'yi'jing'jing'yi
中医病理学,zhong'yi'bing'li'xue
周岱翰,zhou'dai'han
朱丹溪,zhu'dan'xi
朱端章,zhu'duan'zhang
诸脉主病诗,zhu'mai'zhu'bing'shi
朱沛文,zhu'pei'wen
朱少廉,zhu'shao'lian
祝谌予,zhu'shen'yu
朱橚,zhu'su
祝味菊,zhu'wei'ju
朱小南,zhu'xiao'nan
朱奕梁,zhu'yi'liang
逐月养胎方,zhu'yue'yang'tai'fang
朱震亨,zhu'zhen'heng
遵生老人,zun'sheng'lao'ren
