朝阳峰,chao'yang'feng
玄穹宝殿,xuan'qiong'bao'dian
玄素庄,xuan'su'zhuang
演教寺,yan'jiao'si
延庆寺,yan'qing'si
燕子坞,yan'zi'wu
养性殿,yang'xing'dian
药王院,yao'wang'yuan
业斗峰,ye'dou'feng
异娼庙,yi'chang'miao
怡情院,yi'qing'yuan
一苇亭,yi'wei'ting
英华殿,ying'hua'dian
涌泉寺,yong'quan'si
永寿宫,yong'shou'gong
幽兰涧,you'lan'jian
佑圣宫,you'sheng'gong
佑圣观,you'sheng'guan
有所不为轩,you'suo'bu'wei'xuan
玉笔山庄,yu'bi'shan'zhuang
雨花阁,yu'hua'ge
玉垒峰,yu'lei'feng
玉女祠,yu'nv'ci
玉清池,yu'qing'chi
玉虚洞,yu'xu'dong
玉虚观,yu'xu'guan
沅陵,yuan'ling
鸳鸯湖,yuan'yang'hu
月华峰,yue'hua'feng
云锦楼,yun'jin'lou
云栖寺,yun'qi'si
赵王府,zhao'wang'fu
证道院,zheng'dao'yuan
正气轩,zheng'qi'xuan
止观寺,zhi'guan'si
钟粹宫,zhong'cui'gong
种德堂,zhong'de'tang
中岳神庙,zhong'yue'shen'miao
中指峰,zhong'zhi'feng
朱武连环庄,zhu'wu'lian'huan'zhuang
紫烟岛,zi'yan'dao
醉仙楼,zui'xian'lou
坐忘峰,zuo'wang'feng
