阿尔泰葱,a'er'tai'cong
斑叶堇菜,ban'ye'jin'cai
斑叶蒲公英,ban'ye'pu'gong'ying
斑叶猪牙花,ban'ye'zhu'ya'hua
斑种草,ban'zhong'cao
半钟铁线莲,ban'zhong'tie'xian'lian
抱草,bao'cao
报春花科,bao'chun'hua'ke
苞蔊菜,bao'han'cai
抱茎苦荬菜,bao'jing'ku'mai'cai
枹栎,bao'li
暴马丁香,bao'ma'ding'xiang
苞叶杜鹃,bao'ye'du'juan
宝珠草,bao'zhu'cao
爆竹柳,bao'zhu'liu
抱子甘蓝,bao'zi'gan'lan
北白头翁,bei'bai'tou'weng
北捕虫堇,bei'bu'chong'jin
北侧金盏花,bei'ce'jin'zhan'hua
北柴胡,bei'chai'hu
北车前,bei'che'qian
北齿缘草,bei'chi'yuan'cao
北重楼,bei'chong'lou
北葱,bei'cong
北方枸杞,bei'fang'gou'qi
北方卷柏,bei'fang'juan'bai
北方拉拉藤,bei'fang'la'la'teng
北方老鹳草,bei'fang'lao'guan'cao
北方沙参,bei'fang'sha'shen
北方石龙尾,bei'fang'shi'long'wei
北方小阴地蕨,bei'fang'xiao'yin'di'jue
北方羊耳蒜,bei'fang'yang'er'suan
北风毛菊,bei'feng'mao'ju
北附地菜,bei'fu'di'cai
北狗舌草,bei'gou'she'cao
北黄花菜,bei'huang'hua'cai
北黄芪,bei'huang'qi
北极花,bei'ji'hua
贝加尔鼠曲草,bei'jia'er'shu'qu'cao
贝加尔乌头,bei'jia'er'wu'tou
贝加尔亚麻,bei'jia'er'ya'ma
贝加尔野豌豆,bei'jia'er'ye'wan'dou
北锦葵,bei'jin'kui
北京丁香,bei'jing'ding'xiang
北京虎耳草,bei'jing'hu'er'cao
北京石韦,bei'jing'shi'wei
北景天,bei'jing'tian
北京铁角蕨,bei'jing'tie'jiao'jue
北京杨,bei'jing'yang
北京隐子草,bei'jing'yin'zi'cao
北陵白前,bei'ling'bai'qian
北陵鸢尾,bei'ling'yuan'wei
北马兜铃,bei'ma'dou'ling
北美短叶松,bei'mei'duan'ye'song
北美鹅掌楸,bei'mei'e'zhang'qiu
北美假阴地蕨,bei'mei'jia'yin'di'jue
北美乔松,bei'mei'qiao'song
北美苋,bei'mei'xian
北美香柏,bei'mei'xiang'bai
北桑寄生,bei'sang'ji'sheng
北山莴苣,bei'shan'wo'ju
北丝石竹,bei'si'shi'zhu
北莎草,bei'suo'cao
北薹草,bei'tai'cao
北委陵菜,bei'wei'ling'cai
北乌头,bei'wu'tou
北缬草,bei'xie'cao
北兴安薹草,bei'xing'an'tai'cao
北悬钩子,bei'xuan'gou'zi
北玄参,bei'xuan'shen
北亚灯心草,bei'ya'deng'xin'cao
北野豌豆,bei'ye'wan'dou
北异燕麦,bei'yi'yan'mai
北泽苔草,bei'ze'tai'cao
北紫堇,bei'zi'jin
本氏蓼,ben'shi'liao
篦齿眼子菜,bi'chi'yan'zi'cai
碧冬茄,bi'dong'qie
笔管草,bi'guan'cao
鼻花,bi'hua
笔龙胆,bi'long'dan
蓖麻,bi'ma
笔直石松,bi'zhi'shi'song
扁担木,bian'dan'mu
扁豆,bian'dou
变豆菜,bian'dou'cai
蝙蝠葛,bian'fu'ge
扁秆藨草,bian'gan'biao'cao
扁梗黄花忍冬,bian'geng'huang'hua'ren'dong
扁果笃斯越桔,bian'guo'du'si'yue'ju
变蒿,bian'hao
扁核木,bian'he'mu
扁基荸荠,bian'ji'bi'qi
扁茎黄芪,bian'jing'huang'qi
扁蕾,bian'lei
扁囊薹草,bian'nang'tai'cao
变色白前,bian'se'bai'qian
变色紫花地丁,bian'se'zi'hua'di'ding
扁莎,bian'sha
扁穗草,bian'sui'cao
扁穗莎草,bian'sui'suo'cao
扁蓿豆,bian'xu'dou
萹蓄蓼,bian'xu'liao
扁叶刺芹,bian'ye'ci'qin
扁枝石松,bian'zhi'shi'song
藨草,biao'cao
杓兰,biao'lan
滨灯心草,bin'deng'xin'cao
滨海珍珠叶,bin'hai'zhen'zhu'ye
滨藜,bin'li
滨麦,bin'mai
滨蛇床,bin'she'chuang
滨紫草,bin'zi'cao
冰草,bing'cao
柄薹草,bing'tai'cao
并头黄芩,bing'tou'huang'qin
菠菜,bo'cai
薄荷,bo'he
擘蓝,bo'lan
波兰号杨,bo'lan'hao'yang
玻璃生菜,bo'li'sheng'cai
薄毛旱麦瓶草,bo'mao'han'mai'ping'cao
播娘蒿,bo'niang'hao
薄皮野丁香,bo'pi'ye'ding'xiang
波叶车前,bo'ye'che'qian
波叶大黄,bo'ye'da'huang
薄叶荠苨,bo'ye'ji'ni
薄叶驴蹄草,bo'ye'lv'ti'cao
薄叶麻花头,bo'ye'ma'hua'tou
波叶忍冬,bo'ye'ren'dong
薄叶委陵菜,bo'ye'wei'ling'cai
薄叶乌头,bo'ye'wu'tou
薄皱叶委陵菜,bo'zhou'ye'wei'ling'cai
布袋兰,bu'dai'lan
布朗耳蕨,bu'lang'er'jue
布留克,bu'liu'ke
补血草,bu'xue'cao
菜豆,cai'dou
菜瓜,cai'gua
菜花,cai'hua
菜椒,cai'jiao
蚕豆,can'dou
苍耳,cang'er
藏花忍冬,cang'hua'ren'dong
苍术,cang'zhu
糙草,cao'cao
草苁蓉,cao'cong'rong
草地风毛菊,cao'di'feng'mao'ju
草地麻花头,cao'di'ma'hua'tou
草地毛茛,cao'di'mao'gen
草地糖芥,cao'di'tang'jie
草地早熟禾,cao'di'zao'shu'he
草甸箭叶蓼,cao'dian'jian'ye'liao
草甸老鹳草,cao'dian'lao'guan'cao
草甸碎米荠,cao'dian'sui'mi'ji
草甸羊茅,cao'dian'yang'mao
槽秆荸荠,cao'gan'bi'qi
槽鳞扁莎,cao'lin'bian'sha
草麻黄,cao'ma'huang
糙毛野青茅,cao'mao'ye'qing'mao
草莓,cao'mei
草木犀,cao'mu'xi
草木犀黄芪,cao'mu'xi'huang'qi
糙皮桦,cao'pi'hua
草瑞香,cao'rui'xiang
草芍药,cao'shao'yao
糙苏,cao'su
糙葶韭,cao'ting'jiu
草问荆,cao'wen'jing
糙叶败酱,cao'ye'bai'jiang
糙叶黄芪,cao'ye'huang'qi
糙叶堇菜,cao'ye'jin'cai
糙隐子草,cao'yin'zi'cao
草原黄芪,cao'yuan'huang'qi
草原勿忘草,cao'yuan'wu'wang'cao
草泽泻,cao'ze'xie
草珠黄芪,cao'zhu'huang'qi
草茱萸,cao'zhu'yu
侧柏,ce'bai
侧金盏花,ce'jin'zhan'hua
梣叶槭,cen'ye'qi
叉唇角盘兰,cha'chun'jiao'pan'lan
叉繁缕,cha'fan'lv
茶菱,cha'ling
茶条槭,cha'tiao'qi
叉子圆柏,cha'zi'yuan'bai
柴桦,chai'hua
缠绕白毛乌头,chan'rao'bai'mao'wu'tou
长白茶藨,chang'bai'cha'biao
长白灯心草,chang'bai'deng'xin'cao
长白地杨梅,chang'bai'di'yang'mei
长白蜂斗菜,chang'bai'feng'dou'cai
长白风毛菊,chang'bai'feng'mao'ju
长白高山芹,chang'bai'gao'shan'qin
长白狗舌草,chang'bai'gou'she'cao
长白旱麦瓶草,chang'bai'han'mai'ping'cao
长白红景天,chang'bai'hong'jing'tian
长白虎耳草,chang'bai'hu'er'cao
长白棘豆,chang'bai'ji'dou
长白金莲花,chang'bai'jin'lian'hua
长白卷耳,chang'bai'juan'er
长白老鹳草,chang'bai'lao'guan'cao
长白柳,chang'bai'liu
长白耧斗菜,chang'bai'lou'dou'cai
长白鹿蹄草,chang'bai'lu'ti'cao
长白米努草,chang'bai'mi'nu'cao
长白婆婆纳,chang'bai'po'po'na
长白蔷薇,chang'bai'qiang'wei
长白忍冬,chang'bai'ren'dong
长白瑞香,chang'bai'rui'xiang
长白沙参,chang'bai'sha'shen
长白舌唇兰,chang'bai'she'chun'lan
长白石杉,chang'bai'shi'shan
长白松,chang'bai'song
长白碎米荠,chang'bai'sui'mi'ji
长白薹草,chang'bai'tai'cao
长白乌头,chang'bai'wu'tou
长白岩菖蒲,chang'bai'yan'chang'pu
长白岩黄芪,chang'bai'yan'huang'qi
长白鱼鳞云杉,chang'bai'yu'lin'yun'shan
长白鸢尾,chang'bai'yuan'wei
长瓣金莲花,chang'ban'jin'lian'hua
长瓣铁线莲,chang'ban'tie'xian'lian
长苞灯心草,chang'bao'deng'xin'cao
长苞毒芹,chang'bao'du'qin
长苞谷精草,chang'bao'gu'jing'cao
长苞黄精,chang'bao'huang'jing
长苞黄毛棘豆,chang'bao'huang'mao'ji'dou
长苞石竹,chang'bao'shi'zhu
长苞头蕊兰,chang'bao'tou'rui'lan
长苞榛,chang'bao'zhen
长齿百里香,chang'chi'bai'li'xiang
长齿歪头菜,chang'chi'wai'tou'cai
长春蒲公英,chang'chun'pu'gong'ying
长萼鹿蹄草,chang'e'lu'ti'cao
长萼蒙古堇菜,chang'e'meng'gu'jin'cai
长萼石竹,chang'e'shi'zhu
长稃碱茅,chang'fu'jian'mao
长秆薹草,chang'gan'tai'cao
长梗百蕊草,chang'geng'bai'rui'cao
长梗黄花忍冬,chang'geng'huang'hua'ren'dong
长梗韭,chang'geng'jiu
长梗亚欧唐松草,chang'geng'ya'ou'tang'song'cao
长梗郁李,chang'geng'yu'li
长冠女娄菜,chang'guan'nv'lou'cai
长果笃斯越桔,chang'guo'du'si'yue'ju
长果婆婆纳,chang'guo'po'po'na
长果山刺玫,chang'guo'shan'ci'mei
长喙婆罗门参,chang'hui'po'luo'men'can
长豇豆,chang'jiang'dou
长茎飞蓬,chang'jing'fei'peng
长茎毛茛,chang'jing'mao'gen
长鳞薹草,chang'lin'tai'cao
长芒草,chang'mang'cao
长芒看麦娘,chang'mang'kan'mai'niang
长芒薹草,chang'mang'tai'cao
长芒野稗,chang'mang'ye'bai
长毛婆婆纳,chang'mao'po'po'na
长毛三桠乌药,chang'mao'san'ya'wu'yao
长毛银莲花,chang'mao'yin'lian'hua
菖蒲,chang'pu
长蕊丝石竹,chang'rui'si'shi'zhu
长穗虫实,chang'sui'chong'shi
长穗地榆,chang'sui'di'yu
长穗飘拂草,chang'sui'piao'fu'cao
长穗水蓼,chang'sui'shui'liao
长筒瞿麦,chang'tong'qu'mai
长尾婆婆纳,chang'wei'po'po'na
长尾叶蓼,chang'wei'ye'liao
长尾鸢尾,chang'wei'yuan'wei
长腺小米草,chang'xian'xiao'mi'cao
长药八宝,chang'yao'ba'bao
长圆果菘蓝,chang'yuan'guo'song'lan
长圆叶柳,chang'yuan'ye'liu
长柱金丝桃,chang'zhu'jin'si'tao
长柱柳,chang'zhu'liu
长柱麦瓶草,chang'zhu'mai'ping'cao
长柱沙参,chang'zhu'sha'shen
潮风草,chao'feng'cao
朝天椒,chao'tian'jiao
朝鲜艾蒿,chao'xian'ai'hao
朝鲜百合,chao'xian'bai'he
朝鲜白头翁,chao'xian'bai'tou'weng
朝鲜苍术,chao'xian'cang'zhu
朝鲜垂柳,chao'xian'chui'liu
朝鲜当归,chao'xian'dang'gui
朝鲜地瓜苗,chao'xian'di'gua'miao
朝鲜顶冰花,chao'xian'ding'bing'hua
朝鲜丁香,chao'xian'ding'xiang
朝鲜蛾眉蕨,chao'xian'e'mei'jue
朝鲜华千里光,chao'xian'hua'qian'li'guang
朝鲜荚蒾,chao'xian'jia'mi
朝鲜碱茅,chao'xian'jian'mao
朝鲜接骨木,chao'xian'jie'gu'mu
朝鲜堇菜,chao'xian'jin'cai
朝鲜老鹳草,chao'xian'lao'guan'cao
朝鲜蓼,chao'xian'liao
朝鲜柳,chao'xian'liu
朝鲜六道木,chao'xian'liu'dao'mu
朝鲜龙牙草,chao'xian'long'ya'cao
朝鲜落新妇,chao'xian'luo'xin'fu
朝鲜麦瓶草,chao'xian'mai'ping'cao
朝鲜婆婆纳,chao'xian'po'po'na
朝鲜蒲公英,chao'xian'pu'gong'ying
朝鲜山茱萸,chao'xian'shan'zhu'yu
朝鲜鼠李,chao'xian'shu'li
朝鲜唐松草,chao'xian'tang'song'cao
朝鲜天南星,chao'xian'tian'nan'xing
朝鲜铁线莲,chao'xian'tie'xian'lian
朝鲜猬草,chao'xian'wei'cao
朝鲜新蹄盖蕨,chao'xian'xin'ti'gai'jue
朝鲜萱草,chao'xian'xuan'cao
朝鲜崖柏,chao'xian'ya'bai
朝鲜一枝黄花,chao'xian'yi'zhi'huang'hua
朝鲜淫羊藿,chao'xian'yin'yang'huo
朝鲜越桔,chao'xian'yue'ju
朝鲜紫椴,chao'xian'zi'duan
扯根菜,che'gen'cai
车前,che'qian
车前科,che'qian'ke
橙果大叶朴,cheng'guo'da'ye'pu
橙红茑萝,cheng'hong'niao'luo
橙红罂粟,cheng'hong'ying'su
柽柳,cheng'liu
柽柳科,cheng'liu'ke
齿瓣延胡索,chi'ban'yan'hu'suo
齿苞风毛菊,chi'bao'feng'mao'ju
赤瓟,chi'bo
齿翅蓼,chi'chi'liao
匙荠,chi'ji
齿裂东北延胡索,chi'lie'dong'bei'yan'hu'suo
赤松,chi'song
翅卫矛,chi'wei'mao
齿叶白鹃梅,chi'ye'bai'juan'mei
齿叶东北天南星,chi'ye'dong'bei'tian'nan'xing
齿叶风毛菊,chi'ye'feng'mao'ju
齿叶碱毛茛,chi'ye'jian'mao'gen
齿叶蓍,chi'ye'shi
齿叶铁线莲,chi'ye'tie'xian'lian
齿叶紫苞朝鲜天南星,chi'ye'zi'bao'chao'xian'tian'nan'xing
翅轴介蕨,chi'zhou'jie'jue
臭草,chou'cao
臭椿,chou'chun
臭春黄菊,chou'chun'huang'ju
臭冷杉,chou'leng'shan
稠李,chou'li
臭菘,chou'song
臭檀吴茱萸,chou'tan'wu'zhu'yu
除虫菊,chu'chong'ju
雏菊,chu'ju
雏田薹草,chu'tian'tai'cao
穿龙薯蓣,chuan'long'shu'yu
川蔓藻,chuan'man'zao
川西云杉,chuan'xi'yun'shan
川续断,chuan'xu'duan
川续断科,chuan'xu'duan'ke
穿叶独行菜,chuan'ye'du'xing'cai
穿叶蓼,chuan'ye'liao
穿叶忍冬,chuan'ye'ren'dong
串叶松香草,chuan'ye'song'xiang'cao
穿叶眼子菜,chuan'ye'yan'zi'cai
串珠黄芩,chuan'zhu'huang'qin
垂梗繁缕,chui'geng'fan'lv
垂果大蒜芥,chui'guo'da'suan'jie
垂果南芥,chui'guo'nan'jie
垂花百合,chui'hua'bai'he
垂花青兰,chui'hua'qing'lan
垂柳,chui'liu
垂盆草,chui'pen'cao
垂丝海棠,chui'si'hai'tang
垂穗粉花地榆,chui'sui'fen'hua'di'yu
垂笑君子兰,chui'xiao'jun'zi'lan
垂枝旱樱,chui'zhi'han'ying
垂枝胡枝子,chui'zhi'hu'zhi'zi
垂枝连翘,chui'zhi'lian'qiao
垂枝山杨,chui'zhi'shan'yang
垂枝小叶杨,chui'zhi'xiao'ye'yang
垂枝杏,chui'zhi'xing
垂枝榆,chui'zhi'yu
垂枝圆柏,chui'zhi'yuan'bai
唇花翠雀,chun'hua'cui'que
春龙胆,chun'long'dan
唇形科,chun'xing'ke
春榆,chun'yu
刺苍耳,ci'cang'er
刺儿菜,ci'er'cai
刺稃大麦草,ci'fu'da'mai'cao
刺果茶藨,ci'guo'cha'biao
刺果刺蔷薇,ci'guo'ci'qiang'wei
刺果甘草,ci'guo'gan'cao
刺果拉拉藤,ci'guo'la'la'teng
刺虎耳草,ci'hu'er'cao
刺槐,ci'huai
刺尖石防风,ci'jian'shi'fang'feng
刺藜,ci'li
刺蓼,ci'liao
刺南蛇藤,ci'nan'she'teng
刺蔷薇,ci'qiang'wei
刺楸,ci'qiu
刺沙蓬,ci'sha'peng
刺参,ci'shen
刺五加,ci'wu'jia
刺岩黄芪,ci'yan'huang'qi
刺叶石松,ci'ye'shi'song
刺叶小檗,ci'ye'xiao'bo
茨藻,ci'zao
茨藻科,ci'zao'ke
丛生大叶藻,cong'sheng'da'ye'zao
丛生隐子草,cong'sheng'yin'zi'cao
丛薹草,cong'tai'cao
粗柄糖芥,cu'bing'tang'jie
粗齿蒙古栎,cu'chi'meng'gu'li
粗等齿委陵菜,cu'deng'chi'wei'ling'cai
粗根老鹳草,cu'gen'lao'guan'cao
粗根鸢尾,cu'gen'yuan'wei
粗茎鳞毛蕨,cu'jing'lin'mao'jue
簇茎石竹,cu'jing'shi'zhu
粗脉薹草,cu'mai'tai'cao
粗毛鹅观草,cu'mao'e'guan'cao
粗毛山柳菊,cu'mao'shan'liu'ju
粗毛野罂粟,cu'mao'ye'ying'su
簇生椒,cu'sheng'jiao
粗壮阴地蕨,cu'zhuang'yin'di'jue
翠菊,cui'ju
翠蓝绣线菊,cui'lan'xiu'xian'ju
翠南报春,cui'nan'bao'chun
翠雀,cui'que
翠云草,cui'yun'cao
寸草,cun'cao
大阿尔泰狗娃花,da'a'er'tai'gou'wa'hua
大白花杓兰,da'bai'hua'biao'lan
大白花地榆,da'bai'hua'di'yu
大白柳,da'bai'liu
大苞柴胡,da'bao'chai'hu
大苞点地梅,da'bao'dian'di'mei
大苞乌头,da'bao'wu'tou
大苞香蒲,da'bao'xiang'pu
大苞萱草,da'bao'xuan'cao
大车前,da'che'qian
大臭草,da'chou'cao
大刺儿菜,da'ci'er'cai
大粗根鸢尾,da'cu'gen'yuan'wei
大地锦,da'di'jin
大丁草,da'ding'cao
大顶叶碎米荠,da'ding'ye'sui'mi'ji
大豆,da'dou
大耳叶蟹甲草,da'er'ye'xie'jia'cao
大拂子茅,da'fu'zi'mao
大狗尾草,da'gou'wei'cao
大果虫实,da'guo'chong'shi
大果地杨梅,da'guo'di'yang'mei
大果琉璃草,da'guo'liu'li'cao
大果毛蒿豆,da'guo'mao'hao'dou
大果蒙古栎,da'guo'meng'gu'li
大果山楂,da'guo'shan'zha
大果酸浆,da'guo'suan'jiang
大果榆,da'guo'yu
大花百合,da'hua'bai'he
大华北乌头,da'hua'bei'wu'tou
大花杓兰,da'hua'biao'lan
大花臭草,da'hua'chou'cao
大花棘豆,da'hua'ji'dou
大花剪秋萝,da'hua'jian'qiu'luo
大花金挖耳,da'hua'jin'wa'er
大花巨紫堇,da'hua'ju'zi'jin
大花卷丹,da'hua'juan'dan
大花葵,da'hua'kui
大花老鹳草,da'hua'lao'guan'cao
大花藜芦,da'hua'li'lu
大花驴蹄草,da'hua'lv'ti'cao
大花马齿苋,da'hua'ma'chi'xian
大画眉草,da'hua'mei'cao
大花千里光,da'hua'qian'li'guang
大花沙参,da'hua'sha'shen
大花睡莲,da'hua'shui'lian
大花溲疏,da'hua'sou'shu
大花铁线莲,da'hua'tie'xian'lian
大花野豌豆,da'hua'ye'wan'dou
大花益母草,da'hua'yi'mu'cao
大花银莲花,da'hua'yin'lian'hua
大花圆锥绣球,da'hua'yuan'zhui'xiu'qiu
大黄花堇菜,da'huang'hua'jin'cai
大黄柳,da'huang'liu
大活,da'huo
大戟,da'ji
大基荸荠,da'ji'bi'qi
大戟科,da'ji'ke
大看麦娘,da'kan'mai'niang
大丽花,da'li'hua
大麻,da'ma
大芒鹅观草,da'mang'e'guan'cao
大米草,da'mi'cao
大囊岩蕨,da'nang'yan'jue
大婆婆纳,da'po'po'na
大青杨,da'qing'yang
大全叶山芹,da'quan'ye'shan'qin
大三叶升麻,da'san'ye'sheng'ma
大山伽罗木,da'shan'ga'luo'mu
大山尖子,da'shan'jian'zi
大山黧豆,da'shan'li'dou
大山樱,da'shan'ying
大穗薹草,da'sui'tai'cao
大穗异燕麦,da'sui'yi'yan'mai
大头委陵菜,da'tou'wei'ling'cai
打碗花,da'wan'hua
达乌里风毛菊,da'wu'li'feng'mao'ju
达乌里龙胆,da'wu'li'long'dan
达乌里芯芭,da'wu'li'xin'ba
达乌里羊茅,da'wu'li'yang'mao
大细梗胡枝子,da'xi'geng'hu'zhi'zi
达香蒲,da'xiang'pu
大兴安岭乌头,da'xing'an'ling'wu'tou
大玄参,da'xuan'shen
大岩茴香,da'yan'hui'xiang
大叶糙苏,da'ye'cao'su
大叶茶藨,da'ye'cha'biao
大叶柴胡,da'ye'chai'hu
大叶槲树,da'ye'hu'shu
大叶堇菜,da'ye'jin'cai
大叶藜,da'ye'li
大叶龙胆,da'ye'long'dan
大叶棉团铁线莲,da'ye'mian'tuan'tie'xian'lian
大叶欧椴,da'ye'ou'duan
大叶朴,da'ye'pu
大叶芹,da'ye'qin
大野苏子马先蒿,da'ye'su'zi'ma'xian'hao
大叶铁线莲,da'ye'tie'xian'lian
大叶小檗,da'ye'xiao'bo
大叶蟹甲草,da'ye'xie'jia'cao
大叶野豌豆,da'ye'ye'wan'dou
大叶银莲花,da'ye'yin'lian'hua
大叶藻,da'ye'zao
大叶藻科,da'ye'zao'ke
大叶章,da'ye'zhang
大油芒,da'you'mang
大羽节蕨,da'yu'jie'jue
大爪草,da'zhao'cao
大针茅,da'zhen'mao
大针薹草,da'zhen'tai'cao
大字杜鹃,da'zi'du'juan
大籽蒿,da'zi'hao
带岭蹄盖蕨,dai'ling'ti'gai'jue
带岭乌头,dai'ling'wu'tou
单瓣黄刺玫,dan'ban'huang'ci'mei
