八角楼,ba'jiao'lou
立交桥,li'jiao'qiao
莲花村,lian'hua'cun
联通街,lian'tong'jie
凉风坳,liang'feng'ao
粮食局,liang'shi'ju
林海巷,lin'hai'xiang
临江路,lin'jiang'lu
硫磺口,liu'huang'kou
流沙坡,liu'sha'po
龙洞,long'dong
龙江明珠,long'jiang'ming'zhu
龙箐花园,long'jing'hua'yuan
龙潭沟,long'tan'gou
路歇桥,lu'xie'qiao
炉窑加工厂,lu'yao'jia'gong'chang
倮果,luo'guo
倮果大桥,luo'guo'da'qiao
倮果大桥北,luo'guo'da'qiao'bei
倮果大桥南,luo'guo'da'qiao'nan
倮果花园,luo'guo'hua'yuan
倮果三村,luo'guo'san'cun
倮果一村,luo'guo'yi'cun
螺丝嘴,luo'si'zui
马家桥,ma'jia'qiao
马家田,ma'jia'tian
马家湾,ma'jia'wan
马坎,ma'kan
马鹿箐,ma'lu'jing
密地村,mi'di'cun
密地村小学,mi'di'cun'xiao'xue
密地大桥北,mi'di'da'qiao'bei
密地大桥南,mi'di'da'qiao'nan
密地二社,mi'di'er'she
棉沙湾,mian'sha'wan
民福巷,min'fu'xiang
民乐社区,min'yue'she'qu
摩梭河,mo'suo'he
南山,nan'shan
南山宾馆,nan'shan'bin'guan
农贸市场,nong'mao'shi'chang
弄弄沟,nong'nong'gou
弄弄坪,nong'nong'ping
农园巷,nong'yuan'xiang
攀达宏基,pan'da'hong'ji
攀钢,pan'gang
攀钢党校,pan'gang'dang'xiao
攀钢集团,pan'gang'ji'tuan
攀钢汽修总厂,pan'gang'qi'xiu'zong'chang
攀钢总医院,pan'gang'zong'yi'yuan
攀煤供应处,pan'mei'gong'ying'chu
攀西建材城,pan'xi'jian'cai'cheng
攀枝花报社,pan'zhi'hua'bao'she
攀枝花宾馆,pan'zhi'hua'bin'guan
攀枝花电大,pan'zhi'hua'dian'da
攀枝花公园,pan'zhi'hua'gong'yuan
攀枝花火车站,pan'zhi'hua'huo'che'zhan
攀枝花学院,pan'zhi'hua'xue'yuan
青龙山,qing'long'shan
清香坪,qing'xiang'ping
清香坪东街,qing'xiang'ping'dong'jie
泉福路,quan'fu'lu
人保财险,ren'bao'cai'xian
人防办,ren'fang'ban
仁和区交通局,ren'he'qu'jiao'tong'ju
仁和区政府,ren'he'qu'zheng'fu
榕树街,rong'shu'jie
三岔路口,san'cha'lu'kou
三堆子,san'dui'zi
三公里,san'gong'li
三十九处,san'shi'jiu'chu
沙沟,sha'gou
沙砖厂,sha'zhuan'chang
市二医院,shi'er'yi'yuan
十九冶物业公司,shi'jiu'ye'wu'ye'gong'si
市三医院,shi'san'yi'yuan
十三中小学校,shi'san'zhong'xiao'xue'xiao
市十五中,shi'shi'wu'zhong
市十小,shi'shi'xiao
市四医院,shi'si'yi'yuan
水厂,shui'chang
水泥厂,shui'ni'chang
水文站,shui'wen'zhan
四海汽车装饰,si'hai'qi'che'zhuang'shi
四季花城,si'ji'hua'cheng
钛白路,tai'bai'lu
太平北路,tai'ping'bei'lu
太平矿,tai'ping'kuang
陶花路,tao'hua'lu
陶家渡,tao'jia'du
体育馆,ti'yu'guan
田房箐,tian'fang'jing
天宇汽配城,tian'yu'qi'pei'cheng
田庄巷,tian'zhuang'xiang
土城街,tu'cheng'jie
土城南街,tu'cheng'nan'jie
团结路,tuan'jie'lu
团结社区,tuan'jie'she'qu
团山路,tuan'shan'lu
万立桥,wan'li'qiao
弯腰树,wan'yao'shu
尾矿路,wei'kuang'lu
卫生站,wei'sheng'zhan
文景巷,wen'jing'xiang
文体楼,wen'ti'lou
五道河,wu'dao'he
乌龟井,wu'gui'jing
五十一,wu'shi'yi
五十一广场,wu'shi'yi'guang'chang
西路小学,xi'lu'xiao'xue
洗煤厂,xi'mei'chang
西区政府,xi'qu'zheng'fu
下沙沟,xia'sha'gou
向阳村,xiang'yang'cun
小宝鼎,xiao'bao'ding
消防队,xiao'fang'dui
小攀枝花,xiao'pan'zhi'hua
小鲊石,xiao'zha'shi
鑫岛,xin'dao
新街口,xin'jie'kou
新开源,xin'kai'yuan
新农村,xin'nong'cun
兴隆花园,xing'long'hua'yuan
修建公司,xiu'jian'gong'si
雅江大桥,ya'jiang'da'qiao
雅竹苑,ya'zhu'yuan
岩神山,yan'shen'shan
阳光家园,yang'guang'jia'yuan
阳光骊景,yang'guang'li'jing
阳秋巷,yang'qiu'xiang
迤沙拉大道,yi'sha'la'da'dao
医院,yi'yuan
银江,yin'jiang
银江镇,yin'jiang'zhen
邮电局,you'dian'ju
幼儿园,you'er'yuan
有线电视中心,you'xian'dian'shi'zhong'xin
游泳池,you'yong'chi
玉泉,yu'quan
远达花园,yuan'da'hua'yuan
云盘路,yun'pan'lu
云盘山,yun'pan'shan
枣子坪,zao'zi'ping
枣子坪下街,zao'zi'ping'xia'jie
招待所,zhao'dai'suo
招呼站,zhao'hu'zhan
政务中心,zheng'wu'zhong'xin
智学北路,zhi'xue'bei'lu
重啤集团,zhong'pi'ji'tuan
中盛汽贸,zhong'sheng'qi'mao
中心广场,zhong'xin'guang'chang
中心医院,zhong'xin'yi'yuan
铸钢厂,zhu'gang'chang
竹湖园,zhu'hu'yuan
转盘,zhuan'pan
紫荆山,zi'jing'shan
